machine_id,hour,day_type,drinks_sold,beans_level,milk_level,pressure,last_clean_hours,water_temp
81,23,0,18,68.2,23.2,6.31,13,91.9
94,14,0,8,29.4,95.0,8.35,6,90.1
37,22,0,9,75.6,2.8,7.01,58,81.4
31,22,0,12,68.1,13.9,6.87,101,81.4
10,17,0,18,98.7,57.0,6.1,48,82.7
44,12,0,5,29.3,73.8,6.43,32,75.7
88,8,0,16,63.8,53.8,7.63,11,92.5
32,15,0,15,80.2,35.5,8.85,81,89.4
40,7,1,12,40.5,97.8,7.57,5,90.4
7,8,1,13,44.2,70.4,6.95,6,89.7
10,21,0,13,89.9,83.1,2.95,74,79.5
85,7,1,11,46.4,4.0,7.72,117,80.4
50,15,0,14,66.2,23.6,7.15,97,79.9
87,11,0,20,90.0,37.4,7.39,94,85.9
40,16,1,17,28.9,18.3,3.62,21,87.5
16,12,1,10,98.4,7.3,8.32,42,84.9
