season,weekday,guests,nights,stars,dist_center,breakfast,early_book,cancel_days,price
2,2,6,14,4,2.29,0,235,-1,3042.0
3,5,2,20,,7.12,0,346,-1,5341.52
4,6,5,21,4,10.86,1,163,26,4927.44
3,2,5,15,3,2.79,1,287,5,4152.6
4,0,6,3,4,2.21,1,358,-1,3336.94
4,3,3,1,3,9.33,1,56,-1,3237.08
1,6,5,15,,3.69,1,28,-1,3861.28
3,3,5,20,,7.35,1,86,12,4517.14
1,1,1,2,4,1.05,1,78,-1,4249.87
3,4,6,18,4,10.31,0,362,14,5514.14
3,1,5,1,5,8.26,0,307,20,5522.62
1,1,5,9,5,9.82,0,88,-1,4505.84
1,4,1,3,5,4.35,1,178,24,4924.89
3,5,5,2,,4.4,1,286,-1,6769.32
2,0,1,4,,12.08,0,83,-1,3764.56
4,3,3,16,5,10.86,0,222,-1,4930.7
1,1,4,1,4,8.82,0,143,-1,2313.72
4,4,1,9,3,9.53,1,163,7,3439.84
2,2,1,8,3,1.68,0,294,-1,1957.44
2,1,5,6,4,12.89,0,138,-1,2101.32
2,3,1,20,5,11.62,0,147,-1,4265.27
1,0,6,18,,8.98,1,311,-1,2948.47
2,1,2,16,4,13.8,1,240,-1,3288.0
1,1,2,8,3,2.78,1,242,9,2494.17
2,5,3,4,,10.39,0,169,1,1981.12
4,4,1,3,4,14.46,0,46,-1,2708.21
4,2,6,15,5,4.86,0,5,-1,4217.72
3,2,5,6,,0.52,0,364,-1,4174.28
4,6,5,1,5,11.1,1,34,-1,5464.59
3,0,4,18,3,0.4,0,70,10,4557.12
4,6,3,11,4,13.13,1,292,-1,4112.67
1,3,6,3,4,1.13,0,177,-1,3840.12
4,0,6,13,5,9.9,1,122,-1,5326.95
3,1,5,17,3,5.84,0,244,-1,3388.32
3,1,4,18,3,3.29,0,8,-1,3056.57
2,2,5,14,3,13.5,1,330,-1,2178.84
1,3,4,7,5,11.27,1,212,-1,5691.42
4,4,2,7,3,5.3,0,315,-1,1861.4
2,3,6,14,3,4.48,1,50,-1,2112.67
4,1,2,15,4,11.12,0,301,18,3697.69
4,4,5,12,4,12.6,0,326,-1,3105.4
2,3,3,12,5,10.82,1,63,-1,4526.15
2,3,1,8,,9.71,0,231,-1,3204.12
2,4,3,16,4,3.65,0,20,-1,2919.89
2,1,3,9,5,12.84,1,4,-1,4587.53
2,3,1,2,4,11.32,1,5,-1,2880.1
4,4,6,14,3,7.9,0,42,12,1957.68
2,5,2,16,5,7.82,0,281,21,5832.16
1,5,2,5,4,8.67,0,348,-1,3963.43
3,1,6,5,4,12.48,0,53,-1,4072.23
2,4,1,20,4,11.21,1,130,-1,4000.39
2,5,4,21,,12.89,0,138,-1,2996.09
4,4,3,18,,7.76,0,214,-1,2418.49
2,3,5,18,4,9.48,1,24,13,3892.67
2,1,2,5,5,12.86,1,64,-1,4160.23
2,5,6,11,4,3.72,1,259,12,5370.02
4,6,5,13,3,6.83,0,197,28,3213.98
2,3,1,3,5,9.42,1,108,-1,5119.04
3,6,5,17,3,13.75,0,15,21,4002.62
4,6,5,18,4,0.53,0,202,-1,4159.56
3,0,3,14,3,3.42,1,141,-1,4033.49
4,0,1,12,,3.75,0,357,-1,2844.37
2,1,5,14,4,5.1,1,112,-1,3506.92
3,5,2,18,4,4.44,0,73,0,6161.71
4,5,1,20,5,8.98,1,52,16,6171.38
1,5,2,2,5,13.32,0,117,-1,4574.03
2,4,6,7,5,9.66,1,185,-1,4283.93
4,3,6,15,4,3.85,1,62,-1,3850.86
1,5,4,10,4,13.0,1,140,-1,3391.61
4,3,6,15,5,9.59,0,300,-1,4398.03
1,1,5,17,,3.52,1,225,-1,3574.8
2,6,1,11,4,5.62,0,224,-1,3105.23
3,5,6,2,,11.91,0,182,-1,3992.19
1,1,2,21,4,11.16,1,160,-1,3078.28
4,5,5,18,4,8.78,0,61,-1,5066.86
2,0,6,4,4,2.43,0,80,-1,3348.74
1,2,3,9,,12.11,1,328,-1,2761.44
4,1,2,17,4,4.82,0,15,-1,3696.1
4,5,2,17,4,11.64,1,228,28,5871.33
4,2,4,17,5,9.82,1,96,-1,4766.0
1,1,3,16,5,4.18,0,359,-1,3954.24
1,4,4,20,3,3.42,0,319,-1,2433.94
1,5,6,8,3,2.22,1,325,-1,4480.65
3,4,3,15,,3.86,1,139,-1,4972.0
1,0,2,1,4,2.62,0,129,-1,2845.25
1,5,4,19,3,9.37,0,142,0,2093.84
1,6,5,15,4,9.1,0,336,-1,3153.25
3,0,3,9,5,8.92,1,179,8,5718.7
1,2,2,5,4,9.74,1,162,-1,2932.4
4,1,1,16,4,12.28,0,350,-1,4151.45
1,3,3,13,4,13.73,1,122,-1,1555.05
4,0,3,16,4,3.69,1,37,-1,5021.2
4,3,6,11,3,8.94,0,297,15,2873.9
4,3,5,13,,1.45,1,364,-1,4072.89
3,1,6,6,3,2.07,1,231,5,4466.2
3,2,3,20,4,9.92,1,336,-1,4408.69
3,1,3,17,4,7.45,0,251,-1,5472.59
1,5,5,5,4,11.45,0,6,-1,2525.16
4,0,5,17,4,6.56,1,55,-1,2936.46
3,3,4,1,4,2.18,0,167,-1,4738.42
3,1,2,5,3,13.12,0,316,-1,3212.77
1,1,2,5,3,1.52,0,218,-1,2268.82
3,1,4,7,,3.08,1,64,-1,4705.2
1,0,2,16,3,4.37,0,193,-1,1725.88
2,2,3,18,3,14.93,1,92,-1,1585.79
3,6,4,6,4,6.43,0,340,-1,5880.65
2,1,4,2,4,7.68,1,169,-1,3755.73
1,0,2,13,4,11.61,0,225,0,3174.26
4,3,1,10,4,9.66,0,230,17,3007.98
3,5,2,21,5,12.67,0,280,-1,5883.21
1,6,6,20,5,7.45,1,5,-1,6331.18
4,4,1,11,4,14.59,0,263,-1,2256.4
4,6,4,21,5,12.01,1,52,17,5589.09
2,6,1,2,4,6.2,1,18,-1,4075.16
1,0,3,8,5,5.9,0,264,4,6102.57
4,4,5,19,4,13.96,1,160,-1,3309.28
3,1,1,20,4,10.36,0,263,16,4628.59
3,1,6,17,4,9.44,1,293,-1,5099.95
2,6,5,16,4,11.44,0,159,-1,3888.77
4,0,3,10,4,8.54,1,22,-1,4042.39
1,4,6,5,,2.64,1,161,-1,2681.49
3,1,5,14,3,4.99,0,342,-1,3737.38
4,3,3,19,,8.5,0,6,-1,3456.33
4,2,5,4,5,0.57,0,362,-1,5111.47
2,2,5,20,4,6.73,1,23,9,1750.28
3,1,2,16,4,11.41,0,129,-1,3591.7
3,4,6,15,,2.71,0,254,-1,4937.72
1,5,6,9,3,1.25,0,255,22,2709.84
3,1,1,3,4,12.59,1,249,9,4635.76
1,5,6,9,,9.37,0,338,-1,3511.39
3,5,6,18,5,2.9,0,105,-1,6478.89
2,4,5,4,3,12.15,1,355,-1,2534.76
3,5,4,19,4,9.97,1,311,-1,5707.45
1,3,2,4,3,5.21,1,347,-1,2542.45
1,4,1,9,3,5.83,0,31,28,1500.0
2,1,2,1,4,2.59,0,76,-1,2025.2
3,6,1,1,4,12.58,0,325,17,5247.71
3,3,3,20,3,7.78,0,92,-1,2601.72
2,0,5,19,3,8.49,0,9,-1,1911.56
3,2,6,3,4,13.29,1,329,21,4364.11
3,1,6,10,5,0.53,1,33,-1,6186.89
1,1,4,12,4,1.28,1,339,-1,2907.84
3,1,2,18,,2.68,0,110,-1,4297.31
3,3,2,14,3,0.74,1,288,26,3271.57
2,0,2,10,5,9.97,0,343,-1,3763.47
2,6,6,10,4,9.62,0,96,-1,3075.82
4,4,2,18,5,3.4,0,312,-1,5416.5
1,0,5,1,3,2.5,0,149,-1,1990.35
3,3,1,15,4,2.44,0,203,-1,4628.56
3,1,6,8,4,14.31,0,221,-1,4459.25
4,2,5,3,,10.49,0,31,22,1653.17
3,1,3,18,,8.91,0,124,-1,3184.26
1,4,5,9,,5.04,0,107,-1,2211.71
4,5,5,16,4,6.67,1,210,17,4675.22
1,2,3,21,3,1.61,1,1,11,2005.72
4,1,5,15,4,14.97,1,182,17,3615.7
4,6,1,5,3,11.4,1,58,2,3435.08
2,2,6,13,3,9.44,1,288,-1,2620.21
1,5,4,20,4,8.94,1,95,-1,3576.4
3,0,3,7,4,7.71,1,249,-1,5204.14
3,3,6,16,4,4.08,1,104,-1,4900.62
1,1,2,7,4,3.63,1,210,25,3402.23
3,4,1,16,4,8.38,0,269,10,4226.11
3,0,4,13,4,1.33,1,58,9,5288.17
1,1,1,17,5,1.39,1,270,-1,5346.19
4,0,1,9,4,8.54,0,28,5,2849.24
1,4,2,12,4,13.82,0,202,-1,3308.31
4,1,4,13,3,13.74,0,111,-1,1500.0
3,5,1,9,,0.46,1,364,-1,5696.03
3,5,2,5,4,1.88,1,122,8,5260.66
3,4,3,7,4,8.87,0,200,-1,3778.79
2,2,2,1,4,12.77,0,302,-1,2411.5
4,4,5,4,3,14.33,1,184,-1,3373.88
2,2,6,4,3,12.95,1,57,14,1500.0
2,1,2,16,3,10.26,0,348,-1,1959.75
1,2,2,5,4,3.25,1,254,-1,3746.56
2,1,2,4,4,1.37,0,228,-1,3863.41
1,1,1,6,3,1.0,0,340,21,2524.15
1,6,4,3,4,9.3,1,52,-1,4250.64
2,3,2,8,3,0.83,1,341,-1,3663.97
4,1,2,17,3,11.17,0,319,-1,1885.47
4,2,5,18,4,10.77,0,243,-1,3212.38
4,3,5,18,4,1.47,0,337,-1,3387.86
4,3,3,12,3,13.63,1,257,11,1638.25
4,1,3,1,3,7.97,1,59,5,1808.89
2,4,5,12,5,13.6,0,228,-1,4102.39
2,4,4,11,3,13.55,0,339,-1,1500.0
3,5,3,13,4,3.2,0,303,-1,5060.45
4,3,6,3,4,5.89,1,117,-1,4266.8
2,1,6,8,,2.28,0,25,26,3053.12
3,6,4,3,4,11.69,0,339,-1,5638.42
4,4,5,17,5,7.71,1,149,4,5377.31
1,6,3,13,3,13.95,0,170,-1,2250.61
3,1,2,10,4,3.36,0,252,-1,5239.44
2,1,5,17,,10.42,0,19,-1,1500.0
1,3,3,3,4,14.84,1,348,-1,3246.44
1,6,4,13,5,10.08,1,303,-1,5352.6
1,5,6,6,4,1.31,0,350,-1,4037.11
3,3,4,14,4,8.95,0,60,-1,3837.51
2,0,3,10,5,2.94,0,150,1,4499.71
1,6,4,20,3,0.75,0,235,-1,2397.66
4,4,3,16,4,5.22,0,316,-1,3380.78
1,4,3,18,5,4.21,0,229,-1,4948.32
1,4,4,13,4,11.89,1,335,-1,2592.27
3,2,1,10,3,5.79,1,190,18,4260.89
3,1,2,6,,11.07,1,274,-1,4241.94
2,3,5,10,3,0.54,1,202,-1,3490.53
4,4,6,5,3,0.52,1,203,-1,2639.65
3,0,2,6,4,0.73,1,227,29,4999.33
1,4,5,7,3,3.52,1,268,-1,2986.9
2,5,5,11,3,5.8,0,178,-1,2217.28
1,1,6,16,4,9.24,0,330,-1,2482.97
1,6,2,12,4,14.79,0,256,-1,3340.04
3,1,6,12,,5.51,1,168,-1,4524.37
2,6,3,20,4,1.12,0,2,-1,3964.27
4,6,6,5,3,3.17,0,7,25,2753.18
4,3,4,16,3,13.5,1,335,-1,2452.8
3,2,1,6,3,10.58,0,106,1,2972.2
3,6,1,9,4,11.92,1,39,19,5057.88
2,6,1,5,,2.13,0,187,6,2545.51
4,3,2,21,4,2.28,1,263,-1,3500.35
4,4,2,16,3,1.95,1,329,-1,3420.48
4,5,3,18,,12.9,1,242,16,5719.55
1,0,1,19,4,3.39,0,164,27,2864.98
4,3,3,12,4,9.75,1,282,-1,3161.7
1,2,1,2,4,7.89,0,94,-1,3019.55
2,3,2,10,4,8.3,0,130,25,2554.8
1,1,4,12,4,3.17,0,261,17,2900.24
2,4,4,14,5,9.64,1,208,-1,5630.96
4,4,4,18,4,0.93,0,9,27,3110.96
4,6,6,19,5,14.9,0,28,-1,5256.18
2,4,4,6,4,0.69,0,147,-1,3095.52
3,4,5,5,5,1.04,0,334,-1,5940.7
2,4,1,16,3,5.07,0,65,-1,1699.2
3,4,4,14,3,12.52,0,11,-1,2941.1
1,0,5,13,4,4.08,1,12,22,3528.81
1,2,5,21,3,7.24,0,363,-1,1893.88
1,6,5,2,3,0.56,0,101,-1,2834.77
4,4,3,2,,1.46,1,172,-1,4067.88
1,6,3,12,4,9.24,0,212,-1,2499.94
3,2,5,1,5,3.16,0,168,-1,5609.74
1,5,6,19,,10.51,0,207,-1,3629.73
2,4,4,16,5,11.85,1,346,-1,3474.76
2,6,1,7,4,12.8,1,61,-1,3717.33
4,3,6,21,3,2.27,0,8,-1,3373.85
2,6,2,7,3,7.0,0,124,-1,2824.59
3,4,3,16,4,14.22,0,161,23,3388.99
1,1,4,6,,11.65,0,18,14,3529.32
4,0,4,18,3,2.02,0,345,12,1982.84
1,3,2,1,4,7.69,1,86,8,2838.12
1,3,2,1,4,13.86,0,17,-1,2967.15
3,1,4,14,4,6.77,1,236,-1,4970.61
2,4,2,6,5,12.61,0,173,-1,4257.87
2,0,4,6,4,7.59,1,103,-1,3630.62
1,3,6,4,4,1.87,0,236,-1,3613.88
4,0,2,12,5,2.47,1,125,-1,4707.12
2,3,6,18,,0.99,1,48,-1,2074.8
4,4,6,10,4,3.17,1,101,-1,3729.12
2,5,2,3,5,13.44,0,73,-1,4883.09
4,3,4,3,,9.86,0,170,-1,3001.6
3,5,5,8,4,11.16,1,137,-1,4744.84
4,3,4,1,4,9.44,1,84,-1,3251.69
3,2,1,18,4,5.98,0,165,16,4612.57
3,4,2,15,3,3.49,0,37,17,2193.94
4,1,3,21,5,13.91,0,248,22,4553.5
3,5,2,20,5,7.87,1,267,-1,7675.95
1,1,1,17,5,7.37,1,307,7,5499.99
3,4,6,11,4,14.94,1,104,-1,3325.59
2,6,3,13,3,5.94,0,347,-1,2417.73
4,1,3,20,3,12.86,0,23,-1,2715.19
1,4,4,10,5,12.98,1,286,13,3895.16
4,1,5,13,4,3.72,0,81,-1,3532.97
2,5,4,17,3,1.69,0,254,4,3488.62
2,2,3,21,4,14.64,0,22,7,2621.18
2,1,3,1,4,6.56,0,326,-1,3233.0
3,5,5,20,4,0.33,1,71,18,5782.49
3,3,2,16,4,7.64,0,117,-1,4210.74
4,4,5,16,,9.4,0,37,14,2550.41
4,0,6,21,,11.71,0,155,-1,4465.48
1,6,4,3,3,14.16,1,346,15,3452.0
1,0,2,2,4,13.75,0,126,-1,1519.93
4,4,4,6,4,14.12,1,276,-1,3420.61
3,2,5,11,5,0.77,0,26,19,5566.07
2,1,2,3,4,10.76,0,55,17,3003.65
4,2,5,1,4,3.62,0,124,-1,3055.7
1,0,6,11,4,3.06,1,361,4,4816.56
3,6,1,13,,12.06,0,20,-1,5505.75
4,5,3,5,5,6.43,1,13,-1,5493.24
4,6,2,18,5,13.77,1,240,-1,5345.26
3,4,3,15,4,0.92,0,106,-1,5112.8
4,4,1,18,4,12.09,1,69,-1,3294.05
3,2,2,15,,2.31,0,203,9,3112.76
2,5,3,20,4,2.9,0,27,18,3068.67
3,2,3,20,4,7.32,0,220,-1,5026.93
3,1,2,20,4,6.12,1,101,-1,4814.49
3,3,3,7,3,7.45,0,66,-1,2582.83
4,5,3,17,5,14.12,0,123,-1,5099.7
4,3,2,8,4,9.96,0,288,-1,3272.28
3,6,3,13,4,4.57,0,241,-1,5798.36
4,1,3,16,3,2.84,1,11,23,2423.43
1,3,4,10,4,6.47,0,202,17,2609.61
1,0,6,14,5,6.94,1,219,12,4698.68
4,6,4,6,4,9.14,1,178,-1,4549.86
4,3,1,20,4,4.21,1,225,1,3453.36
3,1,4,7,3,11.58,0,213,25,3622.97
2,3,4,6,4,1.75,0,358,-1,3022.16
4,4,1,17,,8.54,0,267,-1,5403.38
1,2,3,21,4,9.47,0,18,9,1965.27
3,0,3,8,,3.34,0,350,-1,6026.42
4,4,4,12,,12.44,0,314,-1,4414.98
1,4,1,4,,9.35,1,268,-1,5964.24
1,1,3,10,,9.79,0,274,-1,4348.48
2,2,5,6,3,7.62,0,163,-1,1500.0
3,2,2,7,,13.67,1,213,29,5188.12
3,5,2,21,,10.5,0,221,-1,4255.85
2,6,6,8,3,5.91,0,268,-1,2437.22
2,0,2,3,3,3.81,0,83,6,1500.0
3,6,4,8,4,1.34,0,230,-1,5861.82
3,1,2,15,4,2.73,0,43,18,4286.28
4,0,2,21,4,14.89,0,75,8,2847.57
4,5,5,1,3,6.28,0,364,-1,3319.47
2,3,3,13,4,13.51,0,336,-1,2511.31
4,4,5,18,,2.81,0,160,-1,3970.1
1,0,4,15,4,6.55,1,235,25,2515.8
4,6,2,7,3,14.42,0,307,-1,2028.31
4,4,3,15,3,1.64,0,358,-1,2426.06
1,1,6,3,3,9.03,1,116,22,2211.93
2,6,6,14,4,13.81,1,89,-1,3919.68
1,3,2,20,4,14.26,0,338,-1,1834.94
4,1,2,4,4,12.74,1,268,16,4252.74
2,3,6,4,4,12.88,1,253,-1,4230.12
4,3,6,3,4,9.89,0,137,-1,3178.46
1,4,4,5,4,3.54,1,94,2,3067.33
1,1,2,11,5,11.04,0,154,-1,4446.49
4,1,6,8,3,14.68,1,194,-1,3147.64
3,0,1,2,5,8.03,0,324,4,5734.13
3,6,6,16,4,4.13,0,4,-1,4875.22
1,1,3,10,3,8.73,1,70,11,2044.81
1,0,3,18,5,10.45,0,103,-1,4419.5
3,2,1,7,4,3.36,0,55,-1,4840.0
3,2,4,5,,10.87,1,306,-1,4644.62
4,2,2,7,4,8.94,0,311,-1,3785.2
4,5,2,21,4,9.3,1,169,-1,4063.12
3,1,6,6,3,4.8,0,140,10,4291.39
4,5,3,1,3,2.58,1,33,-1,3174.38
4,6,4,11,5,9.46,0,355,-1,5973.8
2,1,4,13,5,8.92,0,52,-1,3941.41
4,0,4,12,3,5.27,0,2,-1,2134.14
1,5,6,1,4,4.65,1,329,-1,4224.99
4,5,2,21,4,5.4,0,249,-1,4004.36
4,6,4,15,3,7.5,0,106,-1,2521.05
3,5,6,1,4,14.63,0,98,-1,4063.03
1,3,6,3,4,11.52,0,292,-1,2663.85
4,0,1,15,4,12.82,0,179,-1,2896.66
4,2,5,9,,7.73,1,133,-1,4850.15
2,0,4,14,3,8.03,0,148,-1,1500.0
4,3,5,8,4,3.3,0,300,-1,3649.2
4,6,2,4,4,10.9,1,132,19,4174.16
2,6,6,20,4,6.5,1,258,14,4755.06
3,1,4,20,3,11.21,1,275,6,3676.73
4,0,3,6,4,6.31,1,203,10,4147.07
2,6,2,1,5,1.9,0,60,25,5799.16
1,5,1,18,4,2.84,1,159,-1,5149.87
3,6,1,6,4,12.23,0,146,27,4676.99
1,6,5,14,5,4.1,1,142,19,4968.18
1,6,6,11,3,4.19,0,329,-1,3602.11
2,6,5,17,5,13.96,0,312,16,3199.25
4,2,3,9,,9.97,1,153,19,2980.68
2,2,3,7,3,1.98,1,325,-1,2299.8
2,1,1,14,3,2.41,1,110,17,2753.17
2,6,4,17,3,4.3,0,89,-1,2505.89
2,0,1,8,3,9.03,0,48,11,1500.0
3,3,1,16,4,11.37,1,130,-1,5681.43
4,1,3,12,3,4.34,0,210,-1,2394.47
1,0,5,12,5,13.1,1,227,27,4075.49
1,6,3,5,4,1.9,0,252,-1,3393.07
4,4,6,5,,3.35,0,93,9,2722.41
1,6,3,14,4,14.57,1,164,5,3592.15
4,2,3,6,4,2.28,1,108,8,3632.37
1,3,1,7,4,13.36,1,59,6,2572.9
2,5,4,21,3,10.65,0,97,21,2329.76
1,3,1,17,5,1.37,1,186,-1,5117.06
4,5,2,9,4,7.41,1,235,-1,4875.07
4,3,3,13,,7.93,1,80,22,2453.97
4,2,3,9,4,14.0,1,41,-1,3135.23
4,5,2,16,4,6.49,1,150,-1,4078.99
4,0,3,4,,6.87,0,72,15,2082.15
3,5,3,2,,1.95,0,26,21,6968.46
3,1,6,13,4,9.7,1,80,24,4993.53
1,0,3,13,4,3.4,1,232,-1,3667.72
4,1,2,19,4,1.44,0,173,2,1728.87
1,6,1,12,5,14.95,1,272,-1,6148.58
4,3,3,4,3,4.26,1,112,-1,2440.01
4,0,4,10,4,2.37,0,249,-1,3716.94
3,3,2,16,4,10.58,0,250,-1,4571.2
3,6,5,19,4,12.38,1,14,27,5651.05
2,4,6,8,3,1.24,0,168,10,3274.36
3,3,2,6,3,1.85,0,72,-1,3527.68
2,6,1,4,5,1.63,1,269,-1,6381.38
2,3,2,7,4,0.99,1,263,-1,3863.56
2,6,5,14,4,9.99,0,331,-1,4101.97
2,1,6,13,,8.95,1,66,5,3563.68
2,6,4,21,,10.04,0,258,28,4248.99
1,5,5,5,,7.73,0,131,-1,1866.07
3,4,2,9,3,12.32,1,123,-1,3294.52
2,3,5,3,5,8.34,1,223,23,5395.39
4,6,2,10,4,13.81,0,173,-1,3501.93
3,6,4,15,4,7.44,0,269,-1,5462.14
3,3,4,20,5,11.92,1,140,-1,5986.28
2,4,1,21,4,6.29,1,135,-1,3071.88
1,4,4,17,3,6.7,0,229,-1,1500.0
2,6,3,6,3,12.78,0,101,-1,1864.96
1,0,5,3,4,1.88,0,301,26,3401.99
4,1,5,18,5,8.6,0,286,-1,4991.81
3,4,2,5,,10.98,0,90,-1,2757.5
4,4,4,13,3,11.33,0,208,-1,2113.03
1,2,1,1,5,8.99,0,34,-1,5092.56
1,5,1,17,3,6.89,0,61,6,2545.6
4,4,1,3,4,4.13,0,151,-1,2987.6
1,1,6,19,3,13.67,0,64,-1,1500.0
4,5,3,21,4,5.74,1,220,-1,5333.06
3,5,4,20,4,12.05,0,345,-1,5002.01
4,3,1,12,3,0.77,1,299,-1,2816.53
3,3,3,8,4,3.71,1,354,-1,4173.41
4,3,5,8,4,5.38,0,50,29,3168.1
1,3,2,15,4,10.17,0,107,-1,3503.92
4,2,4,11,4,4.99,1,343,22,4645.46
1,4,4,20,4,0.91,0,173,-1,2701.59
4,3,6,1,4,2.86,0,288,-1,3905.73
4,6,5,16,4,4.11,1,191,22,4175.95
2,0,4,14,4,2.89,0,356,-1,3052.6
1,3,6,7,,3.29,1,166,-1,3347.41
2,4,6,6,4,11.6,1,243,-1,2535.58
1,3,6,21,3,6.36,0,254,-1,1528.57
2,2,4,4,,6.26,0,57,-1,1500.0
3,1,4,8,,14.51,0,25,-1,2978.53
4,1,4,19,5,6.87,1,116,-1,5285.54
1,4,3,3,4,13.94,0,241,-1,2144.33
1,6,6,4,4,4.7,0,229,-1,4171.03
4,1,3,13,,6.19,0,330,-1,2497.9
1,1,2,21,3,6.13,0,252,6,2860.1
1,0,4,2,5,8.33,0,92,10,3454.12
2,4,5,11,5,8.89,0,220,-1,5164.77
1,6,1,16,3,3.95,0,194,-1,2661.77
3,4,2,10,4,11.97,1,200,10,5493.28
3,1,1,15,4,7.6,1,226,-1,5241.9
4,1,1,10,4,0.4,1,56,-1,3304.6
1,1,4,2,4,8.99,0,69,-1,2621.98
4,5,5,6,4,12.03,0,247,-1,4723.77
3,2,1,14,4,3.98,1,72,-1,4434.26
1,3,6,2,3,0.86,0,254,-1,2850.81
1,2,1,10,4,12.17,0,263,-1,3282.55
4,4,2,17,4,14.65,0,90,9,3546.84
3,0,5,8,4,1.43,0,125,29,4699.98
1,3,5,16,,14.09,0,289,-1,2223.5
4,0,1,14,3,5.58,0,239,-1,2885.16
3,6,5,10,4,14.14,0,324,-1,5497.78
4,5,2,13,4,9.84,1,9,-1,4724.63
2,4,2,1,4,13.39,0,211,-1,1543.76
1,5,2,10,,11.85,1,21,-1,3822.11
2,4,6,12,4,0.71,1,156,25,3824.76
3,0,4,17,3,1.26,1,158,-1,4694.33
2,0,1,14,4,8.03,1,261,23,2619.68
2,0,5,5,3,2.21,0,109,6,1500.0
3,4,2,19,,7.08,1,262,-1,3919.9
4,1,1,5,3,14.33,1,352,-1,3855.99
2,0,1,15,3,4.63,0,365,2,2458.18
4,5,4,13,4,7.49,0,12,-1,3566.42
2,6,6,17,5,5.95,0,62,26,4986.64
4,3,5,1,3,9.56,0,23,-1,2377.48
3,4,6,14,5,3.15,1,349,-1,6813.34
2,5,5,4,,4.12,0,352,8,3016.73
3,2,2,9,4,12.92,0,339,8,3933.38
2,6,2,17,4,12.23,1,18,-1,3494.57
3,2,1,3,5,11.9,0,338,-1,5889.92
3,3,5,13,3,11.63,1,229,-1,4036.49
2,1,5,12,4,7.05,1,87,-1,2249.53
2,0,6,16,3,11.01,1,68,-1,1864.19
2,4,2,4,4,5.99,1,149,7,3859.03
1,5,3,18,5,1.78,1,315,11,7105.19
4,0,1,3,4,6.08,1,277,7,4424.87
1,5,5,17,4,2.63,0,91,-1,3960.34
1,4,4,1,4,6.05,0,144,-1,3279.3
3,2,4,19,5,4.67,0,350,26,6242.5
2,0,3,4,4,9.11,1,174,-1,2463.04
4,3,2,17,3,5.61,1,144,3,2560.98
3,1,2,7,5,10.67,0,190,-1,5055.71
1,3,2,2,3,7.83,1,134,-1,2553.82
2,1,6,12,3,13.82,1,28,-1,1500.0
3,6,4,5,3,1.64,1,236,-1,5182.48
2,5,2,16,4,10.41,0,199,11,3798.11
3,0,4,8,4,10.18,0,259,-1,4278.49
2,0,3,8,,14.27,0,359,23,1500.0
