district,wall_type,street,price_per_sqm
Исторический центр,панель,Улица_23,137.7
Окраины,монолит,Улица_50,57.7
Окраины,панель,Улица_49,40.0
Центр,дерево,Улица_10,57.1
Исторический центр,панель,Улица_55,134.5
Окраины,дерево,Улица_41,40.0
Центр,монолит,Улица_38,170.5
Окраины,панель,Улица_47,45.8
Окраины,монолит,Улица_56,57.2
Исторический центр,кирпич,Улица_20,165.9
Окраины,дерево,Улица_19,40.0
Исторический центр,панель,Улица_14,141.8
Окраины,кирпич,Улица_50,61.6
Центр,панель,Улица_61,105.8
Окраины,дерево,Улица_36,40.0
Исторический центр,кирпич,Улица_5,140.9
Исторический центр,панель,Улица_25,153.3
Центр,монолит,Улица_7,150.5
Окраины,монолит,Улица_3,88.0
Окраины,панель,Улица_20,44.6
Центр,кирпич,Улица_30,125.4
Окраины,кирпич,Улица_20,111.9
Окраины,панель,Улица_24,40.0
Исторический центр,панель,Улица_14,149.1
Окраины,дерево,Улица_34,56.4
Окраины,кирпич,Улица_48,51.9
Центр,монолит,Улица_42,99.6
Центр,кирпич,Улица_40,119.3
Исторический центр,кирпич,Улица_36,199.7
Окраины,панель,Улица_56,40.4
Окраины,панель,Улица_41,41.6
Окраины,монолит,Улица_46,88.0
Исторический центр,дерево,Улица_60,124.6
Исторический центр,панель,Улица_13,126.4
Центр,дерево,Улица_52,121.0
Исторический центр,монолит,Улица_33,181.7
Окраины,панель,Улица_23,57.4
Окраины,монолит,Улица_19,64.4
Исторический центр,панель,Улица_29,137.0
Окраины,кирпич,Улица_6,109.4
Окраины,монолит,Улица_35,68.9
Исторический центр,кирпич,Улица_37,174.5
Исторический центр,панель,Улица_51,156.6
Окраины,монолит,Улица_14,72.9
Окраины,кирпич,Улица_45,97.7
Окраины,кирпич,Улица_22,79.0
Центр,дерево,Улица_11,67.3
Центр,панель,Улица_43,65.0
Центр,кирпич,Улица_14,148.4
Исторический центр,монолит,Улица_48,214.0
Центр,панель,Улица_20,97.4
Исторический центр,панель,Улица_14,130.9
Исторический центр,дерево,Улица_13,142.9
Центр,монолит,Улица_41,121.1
Центр,панель,Улица_14,100.2
Центр,монолит,Улица_62,106.3
Окраины,монолит,Улица_26,78.8
Центр,кирпич,Улица_52,131.0
Окраины,кирпич,Улица_51,100.7
Исторический центр,кирпич,Улица_62,155.9
Окраины,монолит,Улица_52,106.7
Центр,панель,Улица_56,89.8
Исторический центр,панель,Улица_51,153.5
Исторический центр,дерево,Улица_42,93.7
Исторический центр,монолит,Улица_6,188.2
Окраины,кирпич,Улица_41,73.3
Центр,кирпич,Улица_3,112.0
Исторический центр,панель,Улица_4,149.4
Исторический центр,панель,Улица_40,169.4
Исторический центр,монолит,Улица_3,168.0
Окраины,монолит,Улица_1,80.9
Окраины,кирпич,Улица_20,90.1
Центр,панель,Улица_42,86.1
Окраины,монолит,Улица_8,70.6
Исторический центр,панель,Улица_27,148.3
Центр,кирпич,Улица_25,158.7
Исторический центр,панель,Улица_2,175.9
Исторический центр,кирпич,Улица_48,192.5
Окраины,дерево,Улица_16,40.0
Центр,кирпич,Улица_62,124.0
Окраины,панель,Улица_54,67.6
Окраины,панель,Улица_22,91.9
Центр,дерево,Улица_33,90.1
Исторический центр,кирпич,Улица_14,185.3
Исторический центр,кирпич,Улица_46,177.8
Центр,кирпич,Улица_2,145.1
Исторический центр,кирпич,Улица_27,189.2
Центр,кирпич,Улица_2,143.7
Центр,панель,Улица_3,131.7
Окраины,кирпич,Улица_30,60.2
Центр,кирпич,Улица_44,213.7
Окраины,монолит,Улица_58,55.2
Исторический центр,панель,Улица_44,156.0
Исторический центр,панель,Улица_36,123.4
Исторический центр,кирпич,Улица_64,208.6
Исторический центр,дерево,Улица_8,146.2
Окраины,кирпич,Улица_16,92.3
Исторический центр,монолит,Улица_64,187.8
Центр,монолит,Улица_2,139.8
Центр,кирпич,Улица_25,122.2
Центр,дерево,Улица_52,128.8
Окраины,кирпич,Улица_30,62.2
Исторический центр,кирпич,Улица_25,185.9
Исторический центр,монолит,Улица_22,158.7
Исторический центр,монолит,Улица_29,167.1
Окраины,панель,Улица_9,68.4
Центр,кирпич,Улица_63,116.2
Центр,панель,Улица_21,125.1
Исторический центр,монолит,Улица_14,167.5
Центр,кирпич,Улица_55,149.8
Центр,кирпич,Улица_19,178.8
Окраины,кирпич,Улица_46,54.7
Окраины,кирпич,Улица_52,99.0
Окраины,монолит,Улица_52,66.7
Окраины,панель,Улица_0,40.0
Исторический центр,дерево,Улица_1,131.7
Окраины,панель,Улица_57,49.7
Центр,монолит,Улица_18,106.6
Исторический центр,кирпич,Улица_61,187.9
Центр,панель,Улица_11,78.0
Центр,кирпич,Улица_25,134.0
Центр,кирпич,Улица_26,134.0
Окраины,панель,Улица_28,75.9
Окраины,дерево,Улица_14,52.1
Исторический центр,монолит,Улица_45,202.5
Исторический центр,кирпич,Улица_0,189.6
Окраины,кирпич,Улица_59,116.4
Центр,кирпич,Улица_56,153.9
Исторический центр,панель,Улица_2,174.7
Окраины,монолит,Улица_17,50.4
Окраины,дерево,Улица_51,56.4
Окраины,кирпич,Улица_59,52.3
Центр,панель,Улица_33,121.3
Окраины,панель,Улица_59,50.1
Окраины,монолит,Улица_25,54.3
Окраины,панель,Улица_18,45.2
Окраины,монолит,Улица_21,59.9
Исторический центр,монолит,Улица_32,149.2
Исторический центр,кирпич,Улица_37,201.8
Окраины,монолит,Улица_34,105.2
Центр,кирпич,Улица_9,155.8
Исторический центр,монолит,Улица_14,211.8
Окраины,панель,Улица_10,73.4
Исторический центр,панель,Улица_23,121.4
Исторический центр,дерево,Улица_3,149.8
Центр,монолит,Улица_12,123.9
Окраины,монолит,Улица_56,66.5
Окраины,панель,Улица_36,40.0
Центр,монолит,Улица_47,103.9
Центр,панель,Улица_0,120.9
Окраины,монолит,Улица_59,53.7
Окраины,панель,Улица_11,59.0
Центр,дерево,Улица_20,81.1
Исторический центр,дерево,Улица_10,136.6
Исторический центр,монолит,Улица_43,181.4
Центр,кирпич,Улица_57,177.2
Исторический центр,кирпич,Улица_43,178.5
Центр,монолит,Улица_33,115.3
Исторический центр,кирпич,Улица_24,182.2
Исторический центр,монолит,Улица_3,186.7
Окраины,панель,Улица_63,78.7
Окраины,панель,Улица_15,46.2
Исторический центр,дерево,Улица_9,133.9
Исторический центр,панель,Улица_34,174.7
Окраины,панель,Улица_5,42.6
Окраины,панель,Улица_18,70.0
Окраины,панель,Улица_58,63.7
Центр,монолит,Улица_52,136.5
Исторический центр,кирпич,Улица_7,210.0
Окраины,дерево,Улица_9,82.9
Исторический центр,монолит,Улица_37,185.8
Центр,кирпич,Улица_28,147.5
Центр,монолит,Улица_14,147.2
Окраины,панель,Улица_22,88.0
Центр,кирпич,Улица_45,165.4
Исторический центр,дерево,Улица_27,173.4
Окраины,кирпич,Улица_25,64.8
Исторический центр,кирпич,Улица_9,231.0
Исторический центр,панель,Улица_46,164.3
Центр,панель,Улица_3,108.6
Центр,панель,Улица_54,102.2
Центр,монолит,Улица_6,105.7
Центр,панель,Улица_54,78.7
Центр,панель,Улица_30,116.0
Окраины,кирпич,Улица_18,80.3
Исторический центр,панель,Улица_27,174.4
Исторический центр,кирпич,Улица_27,218.7
Исторический центр,кирпич,Улица_18,193.4
Исторический центр,панель,Улица_19,167.1
Центр,кирпич,Улица_12,117.0
Исторический центр,кирпич,Улица_42,142.4
Окраины,кирпич,Улица_10,96.7
Окраины,дерево,Улица_47,40.2
Исторический центр,дерево,Улица_14,171.1
Исторический центр,панель,Улица_16,177.4
Окраины,дерево,Улица_53,40.0
Окраины,монолит,Улица_49,40.0
Центр,панель,Улица_27,87.1
Окраины,кирпич,Улица_3,81.6
Центр,монолит,Улица_21,136.0
Центр,монолит,Улица_38,137.3
Центр,панель,Улица_33,124.0
Центр,монолит,Улица_43,79.8
Центр,панель,Улица_41,124.5
Исторический центр,монолит,Улица_39,190.0
Окраины,дерево,Улица_11,40.0
Центр,панель,Улица_1,125.5
Окраины,монолит,Улица_27,116.5
Окраины,панель,Улица_9,73.1
Центр,монолит,Улица_56,119.6
Исторический центр,монолит,Улица_36,157.7
Центр,кирпич,Улица_63,136.8
Исторический центр,панель,Улица_39,160.7
Окраины,кирпич,Улица_59,66.2
Исторический центр,монолит,Улица_47,191.7
Исторический центр,панель,Улица_18,149.6
Исторический центр,монолит,Улица_32,183.4
Окраины,кирпич,Улица_43,68.6
Окраины,панель,Улица_36,40.0
Исторический центр,кирпич,Улица_35,155.5
Исторический центр,монолит,Улица_20,158.4
Центр,дерево,Улица_1,138.0
Исторический центр,дерево,Улица_30,126.3
Центр,монолит,Улица_29,154.0
Исторический центр,монолит,Улица_43,172.5
Центр,кирпич,Улица_11,125.3
Окраины,кирпич,Улица_50,87.0
Исторический центр,панель,Улица_48,135.4
Исторический центр,монолит,Улица_23,130.8
Исторический центр,дерево,Улица_23,133.3
Исторический центр,кирпич,Улица_59,173.2
Центр,дерево,Улица_10,93.1
Исторический центр,монолит,Улица_12,133.1
Окраины,панель,Улица_63,40.0
Окраины,кирпич,Улица_19,84.6
Исторический центр,кирпич,Улица_27,203.3
Окраины,панель,Улица_1,54.9
Исторический центр,монолит,Улица_42,152.9
Исторический центр,кирпич,Улица_7,211.3
Окраины,панель,Улица_12,51.0
Исторический центр,монолит,Улица_34,170.7
Окраины,монолит,Улица_22,65.3
Центр,дерево,Улица_45,100.8
Исторический центр,панель,Улица_14,172.2
Центр,кирпич,Улица_1,142.6
Окраины,монолит,Улица_60,96.3
Центр,панель,Улица_63,98.0
Центр,кирпич,Улица_51,148.5
Окраины,кирпич,Улица_35,55.4
Центр,панель,Улица_46,113.9
Центр,кирпич,Улица_1,161.3
Окраины,кирпич,Улица_43,70.1
Центр,кирпич,Улица_63,181.3
Окраины,кирпич,Улица_27,81.1
Центр,панель,Улица_53,115.4
Окраины,панель,Улица_35,40.0
Окраины,монолит,Улица_62,41.8
Центр,кирпич,Улица_24,120.2
Центр,кирпич,Улица_47,124.7
Центр,панель,Улица_38,124.5
Исторический центр,панель,Улица_46,160.5
Исторический центр,панель,Улица_20,134.7
Исторический центр,панель,Улица_29,143.3
Окраины,дерево,Улица_30,40.0
Центр,кирпич,Улица_25,121.1
Окраины,панель,Улица_21,55.8
Исторический центр,монолит,Улица_20,188.1
Центр,панель,Улица_0,116.3
Окраины,кирпич,Улица_36,81.9
Центр,панель,Улица_45,145.3
Окраины,монолит,Улица_8,84.9
Центр,кирпич,Улица_16,130.3
Исторический центр,кирпич,Улица_46,239.1
Исторический центр,кирпич,Улица_58,206.0
Центр,монолит,Улица_53,119.6
Окраины,кирпич,Улица_11,57.7
Исторический центр,дерево,Улица_63,147.7
Исторический центр,панель,Улица_5,151.9
Исторический центр,дерево,Улица_52,126.0
Центр,дерево,Улица_15,90.4
Центр,панель,Улица_4,61.6
Окраины,кирпич,Улица_45,102.9
Окраины,кирпич,Улица_13,75.1
Окраины,кирпич,Улица_43,96.2
Центр,монолит,Улица_62,118.0
Центр,кирпич,Улица_51,139.2
Окраины,кирпич,Улица_25,103.1
Окраины,панель,Улица_52,56.6
Центр,дерево,Улица_28,101.3
Окраины,кирпич,Улица_18,83.1
Исторический центр,кирпич,Улица_46,195.0
Центр,кирпич,Улица_7,134.8
Окраины,дерево,Улица_22,40.0
Центр,панель,Улица_34,90.5
Исторический центр,кирпич,Улица_52,196.4
Центр,кирпич,Улица_57,133.2
Центр,кирпич,Улица_4,135.4
Центр,кирпич,Улица_15,108.1
Центр,дерево,Улица_16,99.8
Исторический центр,монолит,Улица_31,150.4
Центр,панель,Улица_51,120.0
Центр,монолит,Улица_19,136.4
Окраины,кирпич,Улица_0,81.5
Центр,монолит,Улица_57,149.3
Окраины,монолит,Улица_43,92.4
Исторический центр,панель,Улица_5,117.4
Исторический центр,монолит,Улица_49,147.6
Исторический центр,кирпич,Улица_19,187.4
Исторический центр,кирпич,Улица_13,209.0
Окраины,кирпич,Улица_4,76.7
Центр,панель,Улица_40,89.3
Исторический центр,монолит,Улица_39,170.0
Центр,дерево,Улица_33,75.1
Окраины,панель,Улица_44,57.1
Окраины,монолит,Улица_26,91.6
Окраины,монолит,Улица_43,92.1
Исторический центр,кирпич,Улица_32,163.4
Центр,панель,Улица_32,114.6
Центр,кирпич,Улица_43,103.6
Центр,монолит,Улица_19,140.7
Окраины,дерево,Улица_35,45.1
Исторический центр,кирпич,Улица_6,173.2
Окраины,монолит,Улица_31,72.2
Окраины,панель,Улица_38,45.7
Центр,панель,Улица_23,77.0
Окраины,панель,Улица_53,69.9
Центр,панель,Улица_37,76.2
Исторический центр,кирпич,Улица_31,202.5
Центр,кирпич,Улица_44,159.1
Исторический центр,кирпич,Улица_60,162.4
Центр,панель,Улица_52,119.0
Окраины,кирпич,Улица_50,75.8
Окраины,монолит,Улица_55,81.3
Исторический центр,панель,Улица_26,157.8
Исторический центр,монолит,Улица_37,164.5
Исторический центр,панель,Улица_61,119.5
Центр,панель,Улица_17,83.7
Центр,дерево,Улица_63,100.8
Исторический центр,кирпич,Улица_29,135.7
Окраины,кирпич,Улица_48,85.5
Центр,монолит,Улица_40,129.5
Центр,кирпич,Улица_12,134.8
Центр,кирпич,Улица_33,138.6
Исторический центр,панель,Улица_24,158.5
Исторический центр,кирпич,Улица_17,166.4
Исторический центр,панель,Улица_4,98.1
Исторический центр,кирпич,Улица_18,204.5
Исторический центр,монолит,Улица_41,165.5
Окраины,монолит,Улица_17,126.0
Окраины,монолит,Улица_31,40.0
Исторический центр,панель,Улица_20,145.0
Центр,монолит,Улица_9,148.8
Исторический центр,кирпич,Улица_36,202.0
Окраины,монолит,Улица_48,46.9
Окраины,монолит,Улица_12,75.2
Центр,монолит,Улица_54,108.2
Окраины,панель,Улица_16,50.5
Исторический центр,кирпич,Улица_8,189.3
Центр,панель,Улица_43,112.6
Исторический центр,монолит,Улица_45,205.5
Исторический центр,кирпич,Улица_7,189.2
Центр,монолит,Улица_36,125.0
Исторический центр,кирпич,Улица_18,198.1
Окраины,кирпич,Улица_62,102.6
Исторический центр,кирпич,Улица_45,176.3
Центр,кирпич,Улица_25,154.4
Центр,панель,Улица_45,108.3
Центр,кирпич,Улица_45,136.5
Исторический центр,дерево,Улица_13,121.0
Центр,панель,Улица_62,97.9
Центр,кирпич,Улица_2,156.3
Исторический центр,монолит,Улица_27,164.7
Окраины,монолит,Улица_28,100.2
Исторический центр,монолит,Улица_17,189.6
Центр,кирпич,Улица_34,142.0
Центр,монолит,Улица_46,112.8
Исторический центр,монолит,Улица_4,151.9
Окраины,кирпич,Улица_58,77.4
Центр,кирпич,Улица_58,136.2
Центр,панель,Улица_46,103.7
Центр,кирпич,Улица_12,109.7
Исторический центр,монолит,Улица_32,191.4
Центр,панель,Улица_61,97.7
Окраины,дерево,Улица_15,66.4
Центр,панель,Улица_43,56.3
Центр,кирпич,Улица_57,139.0
Окраины,кирпич,Улица_5,107.6
Центр,панель,Улица_14,77.2
Исторический центр,монолит,Улица_3,167.6
Исторический центр,монолит,Улица_55,149.3
Исторический центр,кирпич,Улица_63,223.6
Окраины,кирпич,Улица_33,66.5
Центр,кирпич,Улица_55,135.5
Исторический центр,монолит,Улица_31,167.4
Окраины,кирпич,Улица_8,118.7
Центр,панель,Улица_62,81.3
Окраины,панель,Улица_32,61.5
Исторический центр,дерево,Улица_20,132.1
Исторический центр,кирпич,Улица_54,151.4
Исторический центр,кирпич,Улица_56,183.2
Окраины,монолит,Улица_1,78.8
Окраины,панель,Улица_12,40.0
Исторический центр,кирпич,Улица_3,179.1
Окраины,дерево,Улица_49,40.0
Исторический центр,монолит,Улица_47,175.3
Исторический центр,кирпич,Улица_29,190.2
Центр,кирпич,Улица_28,115.3
Окраины,панель,Улица_7,103.8
Исторический центр,монолит,Улица_11,173.9
Исторический центр,кирпич,Улица_40,188.7
Окраины,монолит,Улица_25,79.0
Центр,панель,Улица_49,48.8
Центр,кирпич,Улица_1,157.4
Исторический центр,монолит,Улица_54,162.3
Окраины,дерево,Улица_55,40.0
Центр,кирпич,Улица_13,125.9
Окраины,кирпич,Улица_5,79.1
Окраины,панель,Улица_60,44.1
Исторический центр,монолит,Улица_11,167.5
Центр,дерево,Улица_12,46.6
Исторический центр,панель,Улица_18,155.1
Центр,монолит,Улица_43,93.1
Центр,панель,Улица_58,92.8
Центр,панель,Улица_36,110.0
Центр,кирпич,Улица_24,134.3
Центр,кирпич,Улица_15,118.5
Окраины,кирпич,Улица_37,62.0
Исторический центр,панель,Улица_42,92.4
Окраины,кирпич,Улица_13,46.5
Центр,дерево,Улица_5,61.7
Исторический центр,кирпич,Улица_22,175.9
Центр,кирпич,Улица_59,132.7
Исторический центр,панель,Улица_11,107.4
Окраины,монолит,Улица_12,41.7
Исторический центр,кирпич,Улица_5,159.5
Исторический центр,кирпич,Улица_62,183.3
Исторический центр,дерево,Улица_37,107.9
Исторический центр,кирпич,Улица_49,154.3
Исторический центр,кирпич,Улица_51,178.4
Центр,монолит,Улица_39,150.0
Исторический центр,кирпич,Улица_7,192.1
Исторический центр,панель,Улица_60,130.8
Окраины,панель,Улица_7,120.4
Исторический центр,кирпич,Улица_33,196.4
Окраины,кирпич,Улица_59,74.9
Центр,кирпич,Улица_56,136.7
Исторический центр,кирпич,Улица_45,225.7
Окраины,кирпич,Улица_21,108.0
Окраины,монолит,Улица_39,105.9
Центр,панель,Улица_44,103.2
Исторический центр,панель,Улица_54,179.0
Исторический центр,монолит,Улица_50,143.8
Окраины,монолит,Улица_4,40.0
Исторический центр,кирпич,Улица_12,165.8
Окраины,дерево,Улица_27,40.4
Исторический центр,кирпич,Улица_61,188.8
Окраины,кирпич,Улица_23,55.1
Исторический центр,монолит,Улица_6,164.0
Центр,панель,Улица_37,88.4
Исторический центр,панель,Улица_36,127.8
Исторический центр,кирпич,Улица_41,173.6
Центр,панель,Улица_4,83.1
Исторический центр,кирпич,Улица_63,194.1
Центр,дерево,Улица_49,73.7
Исторический центр,кирпич,Улица_14,178.6
Окраины,монолит,Улица_52,103.5
Окраины,панель,Улица_24,63.4
Исторический центр,монолит,Улица_8,192.1
Исторический центр,монолит,Улица_37,153.7
Исторический центр,монолит,Улица_21,190.2
Окраины,кирпич,Улица_48,63.3
Исторический центр,кирпич,Улица_14,210.5
Окраины,кирпич,Улица_64,94.0
Центр,монолит,Улица_53,171.1
Окраины,монолит,Улица_29,48.7
Окраины,панель,Улица_19,77.1
Центр,кирпич,Улица_32,142.6
Окраины,панель,Улица_6,40.0
Исторический центр,панель,Улица_7,169.2
Исторический центр,панель,Улица_27,167.9
Окраины,монолит,Улица_44,93.0
Исторический центр,дерево,Улица_10,139.1
Окраины,кирпич,Улица_30,76.2
Исторический центр,панель,Улица_11,131.9
Исторический центр,панель,Улица_50,126.3
Окраины,кирпич,Улица_43,107.1
Исторический центр,кирпич,Улица_49,178.0
Окраины,кирпич,Улица_16,99.1
Исторический центр,монолит,Улица_34,141.8
Исторический центр,панель,Улица_0,148.6
Центр,панель,Улица_28,130.7
Центр,дерево,Улица_50,96.6
Окраины,монолит,Улица_63,105.7
Центр,кирпич,Улица_3,128.8
Окраины,панель,Улица_27,73.9
Центр,панель,Улица_15,129.9
Исторический центр,монолит,Улица_62,164.9
Окраины,монолит,Улица_52,64.7
Окраины,монолит,Улица_16,82.5
Исторический центр,кирпич,Улица_39,208.9
Окраины,монолит,Улица_12,40.0
Окраины,кирпич,Улица_51,102.1
Центр,кирпич,Улица_57,150.2
Окраины,кирпич,Улица_36,74.1
Исторический центр,кирпич,Улица_60,175.2
Центр,кирпич,Улица_33,132.2
Центр,монолит,Улица_16,112.4
Исторический центр,дерево,Улица_19,162.3
Исторический центр,кирпич,Улица_58,218.8
Центр,кирпич,Улица_32,136.5
Окраины,кирпич,Улица_16,101.0
Центр,кирпич,Улица_56,86.3
Исторический центр,кирпич,Улица_0,192.7
Центр,дерево,Улица_12,76.5
Исторический центр,кирпич,Улица_26,234.1
Центр,панель,Улица_58,85.8
Окраины,кирпич,Улица_5,48.8
Центр,монолит,Улица_22,129.6
Центр,монолит,Улица_9,147.4
Исторический центр,дерево,Улица_50,92.9
Исторический центр,монолит,Улица_18,222.0
Исторический центр,кирпич,Улица_50,155.9
Центр,кирпич,Улица_41,118.8
Окраины,монолит,Улица_56,40.0
Исторический центр,панель,Улица_37,153.3
Исторический центр,панель,Улица_61,137.1
Центр,кирпич,Улица_6,110.5
Исторический центр,кирпич,Улица_49,187.1
Окраины,панель,Улица_51,48.0
Окраины,панель,Улица_25,42.4
Исторический центр,монолит,Улица_25,181.9
Исторический центр,кирпич,Улица_18,207.1
Центр,панель,Улица_8,137.1
Окраины,кирпич,Улица_60,75.1
Окраины,кирпич,Улица_19,86.1
Исторический центр,панель,Улица_49,142.7
Центр,кирпич,Улица_21,156.1
Окраины,кирпич,Улица_12,78.6
Окраины,кирпич,Улица_11,69.2
Центр,кирпич,Улица_9,153.8
Центр,кирпич,Улица_64,155.1
Окраины,кирпич,Улица_29,106.3
Окраины,кирпич,Улица_7,82.0
Центр,кирпич,Улица_20,98.4
Окраины,панель,Улица_21,79.6
Исторический центр,кирпич,Улица_17,154.8
Исторический центр,кирпич,Улица_47,184.9
Центр,кирпич,Улица_43,144.6
Центр,монолит,Улица_8,166.7
Центр,монолит,Улица_53,128.5
Исторический центр,монолит,Улица_25,189.2
Окраины,монолит,Улица_25,82.2
Исторический центр,панель,Улица_33,175.7
Окраины,монолит,Улица_7,110.5
Исторический центр,панель,Улица_9,159.4
Окраины,кирпич,Улица_47,78.5
Исторический центр,кирпич,Улица_54,171.3
Центр,кирпич,Улица_53,140.3
Исторический центр,дерево,Улица_39,139.7
Окраины,панель,Улица_14,78.2
Исторический центр,монолит,Улица_17,135.7
Исторический центр,кирпич,Улица_22,195.2
Исторический центр,панель,Улица_61,143.8
Центр,кирпич,Улица_45,144.7
Исторический центр,кирпич,Улица_38,214.8
Центр,монолит,Улица_14,102.0
Центр,панель,Улица_52,125.8
Исторический центр,кирпич,Улица_63,220.4
Исторический центр,монолит,Улица_62,162.3
Исторический центр,кирпич,Улица_15,171.5
Окраины,дерево,Улица_12,49.9
Исторический центр,кирпич,Улица_46,197.0
Центр,кирпич,Улица_8,169.3
Исторический центр,кирпич,Улица_62,186.1
Окраины,кирпич,Улица_33,78.6
Исторический центр,кирпич,Улица_28,190.9
Окраины,панель,Улица_36,40.0
Окраины,монолит,Улица_42,40.0
Исторический центр,монолит,Улица_63,172.3
Центр,кирпич,Улица_23,101.0
Окраины,панель,Улица_33,71.9
Исторический центр,кирпич,Улица_47,151.0
Исторический центр,кирпич,Улица_11,183.9
Центр,монолит,Улица_22,142.7
Окраины,панель,Улица_12,40.0
Окраины,кирпич,Улица_44,63.2
Исторический центр,кирпич,Улица_64,225.6
Исторический центр,дерево,Улица_46,171.5
Центр,кирпич,Улица_57,147.3
Центр,панель,Улица_4,60.9
Окраины,панель,Улица_4,40.0
Окраины,кирпич,Улица_59,108.7
Исторический центр,кирпич,Улица_20,205.4
Окраины,панель,Улица_23,40.0
Центр,монолит,Улица_17,149.8
Центр,панель,Улица_20,71.4
Исторический центр,панель,Улица_53,165.8
Центр,дерево,Улица_9,97.8
Центр,монолит,Улица_23,104.8
Центр,панель,Улица_59,90.7
Центр,панель,Улица_56,76.5
