rating,cuisine_type,restaurant_name,avg_check,high_margin
Две звезды,итальянская,Чайхана,2091,0
Три звезды,русская,Грузинский дом,2241,0
Три звезды,азиатская,Студенческая столовая,1470,0
Пять звезд,русская,Пельмения,1940,0
Пять звезд,русская,Луковые кольца,615,1
Одна звезда,русская,СушиВок,1062,0
Четыре звезды,фастфуд,Фиш-н-чипс,622,0
Три звезды,итальянская,Утренний кофе,1446,1
Три звезды,итальянская,Утренний кофе,322,0
Две звезды,азиатская,Сытый студент,385,0
Три звезды,азиатская,Перекусич,1219,0
Пять звезд,итальянская,Суп-Суп,1828,1
Три звезды,фастфуд,Пельмения,382,0
Четыре звезды,итальянская,Мороженое-Софт,2118,0
Четыре звезды,русская,Пивной ресторан,415,0
Три звезды,итальянская,Суп-Суп,2387,0
Пять звезд,фастфуд,На углу,288,1
Пять звезд,итальянская,Вок-Вок,696,0
Три звезды,итальянская,Буррито-Кинг,1678,1
Четыре звезды,итальянская,Рыбный день,1655,0
Три звезды,русская,Пельмения,1515,0
Три звезды,азиатская,Кренделёк,2102,0
Одна звезда,фастфуд,Корн-дог,222,0
Четыре звезды,русская,Пельмения,312,0
Четыре звезды,итальянская,Пивной ресторан,372,0
Две звезды,итальянская,Кебаб-хаус,2147,0
Три звезды,азиатская,Добрая столовая,334,0
Пять звезд,азиатская,У Егора,244,0
Три звезды,азиатская,Горячий хлеб,833,1
Две звезды,русская,Халяль-гриль,1125,0
Четыре звезды,фастфуд,Квасная лавка,1464,0
Пять звезд,азиатская,Узбечка,210,1
Три звезды,итальянская,Винный погреб,2269,0
Четыре звезды,фастфуд,Русский аппетит,1610,0
Четыре звезды,итальянская,СушиВок,631,1
Три звезды,итальянская,Пельмения,264,0
Четыре звезды,фастфуд,Пончик-хаус,1379,0
Три звезды,русская,Винный погреб,1060,0
Четыре звезды,фастфуд,Такос-Амигос,703,0
Четыре звезды,азиатская,Горячий хлеб,2055,0
Четыре звезды,фастфуд,Вок-Вок,1705,1
Две звезды,азиатская,Мороженое-Софт,1324,0
Пять звезд,азиатская,Блинная №1,289,0
Три звезды,фастфуд,Мясной рай,639,0
Три звезды,фастфуд,Сырная тарелка,2080,0
Одна звезда,азиатская,Горячий хлеб,1046,1
Четыре звезды,итальянская,Капуччино-Бар,354,1
Четыре звезды,фастфуд,Винный погреб,2492,0
Одна звезда,русская,Халяль-гриль,1054,0
Четыре звезды,азиатская,Винный погреб,167,0
Три звезды,итальянская,Мама-печёт,770,0
Четыре звезды,фастфуд,Пивной ресторан,792,0
Три звезды,фастфуд,Квасная лавка,691,1
Четыре звезды,итальянская,Хлеб и масло,347,0
Три звезды,русская,Квасная лавка,1415,0
Пять звезд,азиатская,Шаурма-Экспресс,2288,1
Две звезды,фастфуд,Вечерний свет,1175,0
Три звезды,русская,Пельмения,937,0
Две звезды,азиатская,Капуччино-Бар,1126,0
Пять звезд,русская,Поварёшка,758,0
Пять звезд,азиатская,Поварёшка,614,0
Три звезды,азиатская,Ларек с хот-догами,2170,0
Четыре звезды,русская,Фиш-н-чипс,1177,0
Пять звезд,азиатская,Русский аппетит,1411,1
Четыре звезды,фастфуд,Деловой ланч,2179,0
Четыре звезды,фастфуд,Салатный бар,1967,0
Три звезды,русская,Бутербродная,390,0
Две звезды,русская,Морс-бар,1788,0
Пять звезд,азиатская,Бабушкины пирожки,1668,0
Пять звезд,азиатская,Сырная тарелка,1157,1
Четыре звезды,русская,Вареники,1911,1
Три звезды,итальянская,Обед-Бокс,1938,0
Три звезды,русская,Рамен-тайм,1625,0
Четыре звезды,итальянская,СушиВок,1332,1
Пять звезд,итальянская,Борщ-меню,2240,0
Пять звезд,русская,Добрая столовая,2090,0
Четыре звезды,русская,Обед-Бокс,562,0
Четыре звезды,русская,Грузинский дом,1487,0
Две звезды,итальянская,Добрая столовая,1253,0
Три звезды,фастфуд,Капуччино-Бар,1898,0
Пять звезд,фастфуд,Сырная тарелка,1623,0
Четыре звезды,русская,Сладкая жизнь,1559,0
Одна звезда,русская,Русский аппетит,1850,0
Две звезды,азиатская,Капуччино-Бар,314,0
Четыре звезды,азиатская,Кренделёк,858,0
Одна звезда,азиатская,Паста-Мания,2499,0
Три звезды,русская,Пельмения,923,1
Четыре звезды,фастфуд,Том-ям-бар,1221,0
Четыре звезды,фастфуд,Морс-бар,1300,1
Четыре звезды,русская,Рамен-тайм,517,0
Три звезды,русская,Луковые кольца,762,0
Четыре звезды,итальянская,Фиш-н-чипс,226,0
Три звезды,итальянская,Капуччино-Бар,217,0
Три звезды,фастфуд,Утренний кофе,1201,0
Четыре звезды,азиатская,Блинная №1,2254,0
Четыре звезды,фастфуд,На углу,1376,1
Пять звезд,итальянская,Пекарня у дома,716,1
Четыре звезды,фастфуд,Рыбный день,1424,0
Четыре звезды,итальянская,Лапшичная,588,1
Две звезды,итальянская,Добрая столовая,1021,0
Три звезды,азиатская,Студенческая столовая,2111,0
Три звезды,азиатская,Вегетарианский уголок,2330,0
Три звезды,итальянская,Поварёшка,1717,0
Пять звезд,русская,Луковые кольца,1783,0
Три звезды,азиатская,Сытый студент,2465,0
Пять звезд,итальянская,Ларек с хот-догами,2304,0
Четыре звезды,русская,Фиш-н-чипс,215,0
Четыре звезды,русская,Пекарня у дома,1225,0
Четыре звезды,фастфуд,Кебаб-хаус,2485,0
Четыре звезды,фастфуд,Вегетарианский уголок,2429,0
Четыре звезды,азиатская,Быстро и вкусно,1414,0
Три звезды,русская,Китайский квартал,2185,0
Четыре звезды,азиатская,Фиш-н-чипс,539,1
Три звезды,итальянская,Кулинария,1195,0
Одна звезда,азиатская,Сырная тарелка,878,0
Четыре звезды,русская,Суп-Суп,1857,0
Три звезды,фастфуд,Блинная №1,511,0
Пять звезд,азиатская,Перекусич,208,0
Пять звезд,фастфуд,СушиВок,634,0
Пять звезд,азиатская,Мясной рай,1274,0
Три звезды,итальянская,Пивной ресторан,1930,1
Одна звезда,русская,Кренделёк,489,0
Пять звезд,азиатская,Пельмения,635,0
Три звезды,итальянская,Вок-Вок,1985,0
Пять звезд,итальянская,Студенческая столовая,1189,1
Пять звезд,итальянская,Буррито-Кинг,270,1
Пять звезд,фастфуд,Вареники,2281,0
Три звезды,фастфуд,Фиш-н-чипс,894,0
Три звезды,итальянская,Котлетная,535,0
Пять звезд,итальянская,Пирожок на углу,597,1
Три звезды,азиатская,Суп-Суп,2270,1
Три звезды,азиатская,Горячий хлеб,2452,0
Четыре звезды,русская,Рыбный день,1172,0
Пять звезд,азиатская,Кренделёк,1014,1
Четыре звезды,русская,Сковородка,1925,0
Четыре звезды,русская,Деловой ланч,2058,0
Две звезды,русская,Ларек с хот-догами,737,0
Четыре звезды,фастфуд,Борщ-меню,2199,0
Пять звезд,азиатская,Том-ям-бар,2180,0
Две звезды,итальянская,Борщ-меню,532,0
Четыре звезды,русская,Перекусич,839,0
Пять звезд,итальянская,Лапшичная,1285,1
Четыре звезды,русская,Блинная №1,2058,0
Четыре звезды,азиатская,Вареники,353,0
Четыре звезды,русская,БургерХаус,1923,0
Три звезды,азиатская,Бутербродная,175,0
Три звезды,итальянская,Паста-Мания,2026,0
Пять звезд,азиатская,Винный погреб,2305,0
Пять звезд,итальянская,Паста-Мания,1850,0
Пять звезд,азиатская,Итальянский дворик,1740,1
Пять звезд,русская,Кофе-Брейк,1017,1
Четыре звезды,русская,Кофе-Брейк,423,0
Четыре звезды,азиатская,Халяль-гриль,1965,1
Четыре звезды,итальянская,Мама-печёт,1715,0
Четыре звезды,итальянская,Русский аппетит,2214,0
Четыре звезды,итальянская,Хинкальная,1637,1
Четыре звезды,азиатская,Мясной рай,2495,0
Пять звезд,азиатская,Лапшичная,1200,1
Три звезды,азиатская,Сковородка,2193,0
Три звезды,азиатская,Рамен-тайм,332,0
Две звезды,итальянская,Утренний кофе,2098,1
Четыре звезды,итальянская,Деловой ланч,1757,0
Одна звезда,фастфуд,Суп-Суп,1629,0
Четыре звезды,азиатская,Рис и лапша,569,1
Четыре звезды,фастфуд,Ларек с хот-догами,2437,0
Три звезды,азиатская,Перекусич,953,0
Четыре звезды,фастфуд,Котлетная,588,0
Одна звезда,итальянская,Пончик-хаус,1170,0
Одна звезда,итальянская,Блинная №1,672,0
Пять звезд,фастфуд,Быстро и вкусно,720,1
Три звезды,русская,Поварёшка,1432,0
Две звезды,азиатская,Добрая столовая,863,0
Четыре звезды,фастфуд,Хинкальная,262,1
Четыре звезды,фастфуд,Вечерний свет,1758,0
Три звезды,русская,Луковые кольца,2167,0
Четыре звезды,итальянская,Бутербродная,2091,0
Две звезды,фастфуд,На углу,2433,0
Две звезды,итальянская,Сладкая жизнь,1179,0
Четыре звезды,азиатская,Паста-Мания,996,1
Четыре звезды,русская,Салатный бар,1484,0
Четыре звезды,итальянская,Грузинский дом,2249,0
Четыре звезды,фастфуд,Китайский квартал,2061,0
Пять звезд,русская,Сырная тарелка,449,0
Четыре звезды,русская,Китайский квартал,1012,1
Три звезды,русская,Хинкальная,1235,0
Четыре звезды,русская,Утренний кофе,233,0
Три звезды,русская,Быстро и вкусно,1526,0
Три звезды,азиатская,Такос-Амигос,1842,0
Две звезды,азиатская,Пельмения,1168,0
Одна звезда,русская,Бабушкины пирожки,1073,0
Пять звезд,фастфуд,Трапеза,1039,0
Пять звезд,фастфуд,Рис и лапша,1648,1
Четыре звезды,азиатская,Сырная тарелка,1808,1
Три звезды,итальянская,Сковородка,1064,0
Три звезды,русская,Кондитерская-Кофе,2176,0
Три звезды,фастфуд,Халяль-гриль,652,0
Три звезды,азиатская,Кренделёк,843,0
Четыре звезды,азиатская,Квасная лавка,2296,0
Четыре звезды,итальянская,Квасная лавка,1875,0
Четыре звезды,итальянская,Сковородка,1059,1
Три звезды,фастфуд,Грузинский дом,1479,0
Пять звезд,итальянская,Итальянский дворик,1883,0
Четыре звезды,итальянская,Салатный бар,1615,1
Четыре звезды,русская,Винный погреб,2444,0
Четыре звезды,азиатская,Фиш-н-чипс,2462,0
Три звезды,азиатская,Трапеза,1742,1
Три звезды,итальянская,Такос-Амигос,574,1
Три звезды,азиатская,Том-ям-бар,944,0
Четыре звезды,азиатская,Узбечка,1231,0
Одна звезда,фастфуд,Добрая столовая,1657,0
Две звезды,азиатская,Хлеб и масло,1672,0
Одна звезда,итальянская,Кебаб-хаус,997,0
Одна звезда,фастфуд,Рыбный день,211,0
Пять звезд,азиатская,Вегетарианский уголок,1112,1
Четыре звезды,азиатская,Морс-бар,1934,0
Четыре звезды,фастфуд,Бабушкины пирожки,664,1
Две звезды,фастфуд,Пирожок на углу,897,0
Четыре звезды,азиатская,Фалафельная,2248,0
Четыре звезды,русская,Перекусич,766,0
Три звезды,русская,Студенческая столовая,248,0
Три звезды,азиатская,Квасная лавка,472,0
Три звезды,азиатская,Салатный бар,1614,0
Четыре звезды,фастфуд,У Егора,2075,0
Четыре звезды,фастфуд,Винный погреб,1590,0
Одна звезда,азиатская,Пончик-хаус,304,0
Три звезды,азиатская,Пицца-Прайм,691,1
Четыре звезды,азиатская,Кренделёк,295,0
Четыре звезды,азиатская,Кофе-Брейк,1408,0
Пять звезд,русская,Мороженое-Софт,1647,0
Четыре звезды,фастфуд,Перекусич,1572,0
Три звезды,итальянская,Бабушкины пирожки,1013,0
Две звезды,азиатская,Быстро и вкусно,1784,0
Четыре звезды,азиатская,Быстро и вкусно,1633,0
Одна звезда,азиатская,Рыбный день,938,0
Четыре звезды,итальянская,Пирожок на углу,2081,1
Пять звезд,фастфуд,Китайский квартал,406,0
Четыре звезды,фастфуд,Вегетарианский уголок,588,0
Три звезды,азиатская,На углу,686,0
Четыре звезды,азиатская,Фиш-н-чипс,2372,0
Четыре звезды,фастфуд,Добрая столовая,862,0
Четыре звезды,итальянская,Утренний кофе,1980,0
Пять звезд,азиатская,Пончик-хаус,1456,0
Три звезды,итальянская,Квасная лавка,368,0
Пять звезд,итальянская,Пирожок на углу,1329,1
Пять звезд,фастфуд,Сытый студент,206,0
Три звезды,азиатская,Салатный бар,1684,0
Две звезды,русская,Мороженое-Софт,892,0
Две звезды,фастфуд,Рамен-тайм,1445,0
Одна звезда,фастфуд,Обед-Бокс,1900,0
Две звезды,русская,Горячий хлеб,1139,0
Четыре звезды,азиатская,Суп-Суп,451,0
Две звезды,итальянская,Узбечка,1162,0
Три звезды,итальянская,Чайхана,396,0
Пять звезд,итальянская,Пончик-хаус,2213,0
Одна звезда,азиатская,Винный погреб,1508,0
Пять звезд,фастфуд,Пицца-Прайм,360,0
Три звезды,фастфуд,Перекусич,1759,0
Две звезды,фастфуд,Халяль-гриль,1546,0
Четыре звезды,фастфуд,Пицца-Прайм,1579,0
Четыре звезды,фастфуд,Утренний кофе,1195,0
Пять звезд,русская,Пекарня у дома,268,0
Четыре звезды,итальянская,Кондитерская-Кофе,1701,0
Пять звезд,итальянская,Корн-дог,1688,1
Три звезды,азиатская,Сырная тарелка,1665,1
Три звезды,русская,Узбечка,655,0
Четыре звезды,фастфуд,Пончик-хаус,1928,0
Пять звезд,фастфуд,Мороженое-Софт,586,1
Пять звезд,фастфуд,Капуччино-Бар,952,1
Три звезды,русская,Трапеза,252,0
Три звезды,азиатская,Кебаб-хаус,1834,1
Четыре звезды,русская,Паста-Мания,854,0
Три звезды,азиатская,Фалафельная,974,0
Пять звезд,итальянская,Сырная тарелка,1220,1
Пять звезд,азиатская,Лапшичная,2103,0
Три звезды,итальянская,Поварёшка,453,1
Четыре звезды,азиатская,Такос-Амигос,2364,0
Четыре звезды,итальянская,Узбечка,643,0
Две звезды,итальянская,Сладкая жизнь,236,0
Пять звезд,фастфуд,Деловой ланч,2317,0
Четыре звезды,азиатская,Сладкая жизнь,2099,0
Пять звезд,фастфуд,Мясной рай,1918,0
Три звезды,итальянская,Морс-бар,1688,0
Пять звезд,фастфуд,Быстро и вкусно,1167,0
Три звезды,русская,Суп-Суп,1199,0
Одна звезда,фастфуд,Вечерний свет,2493,0
Пять звезд,азиатская,Итальянский дворик,280,0
Две звезды,фастфуд,Блинная №1,2214,0
Три звезды,русская,Горячий хлеб,919,0
Пять звезд,фастфуд,Сладкая жизнь,2382,0
Пять звезд,итальянская,Горячий хлеб,973,1
Четыре звезды,итальянская,Кулинария,2273,0
Четыре звезды,итальянская,Мороженое-Софт,1962,0
Три звезды,азиатская,Пирожок на углу,677,1
Три звезды,фастфуд,Обед-Бокс,183,0
Три звезды,итальянская,Сладкая жизнь,2256,0
Четыре звезды,фастфуд,Студенческая столовая,1240,0
Четыре звезды,русская,Рис и лапша,2452,0
Четыре звезды,русская,Сладкая жизнь,2229,0
Четыре звезды,азиатская,Студенческая столовая,159,0
Две звезды,фастфуд,Рамен-тайм,1877,0
Четыре звезды,русская,Пицца-Прайм,1326,0
Две звезды,азиатская,Блинная №1,1458,0
Четыре звезды,азиатская,Вок-Вок,777,0
Три звезды,итальянская,Сытый студент,1423,0
Пять звезд,русская,Утренний кофе,1730,1
Три звезды,фастфуд,Буррито-Кинг,1459,0
Две звезды,русская,Вок-Вок,2491,0
Две звезды,русская,Горячий хлеб,593,0
Четыре звезды,фастфуд,Кулинария,437,1
Четыре звезды,фастфуд,Трапеза,2360,0
Две звезды,итальянская,Котлетная,1654,0
Две звезды,азиатская,Кофе-Брейк,2177,0
Четыре звезды,фастфуд,Сытый студент,780,0
Две звезды,фастфуд,Халяль-гриль,948,0
Пять звезд,русская,Кулинария,2149,0
Четыре звезды,фастфуд,Рыбный день,758,0
Две звезды,фастфуд,Корн-дог,1671,0
Две звезды,русская,Итальянский дворик,1174,0
Пять звезд,русская,Морс-бар,1771,1
Три звезды,русская,Вок-Вок,625,0
Три звезды,итальянская,Вечерний свет,2262,0
Пять звезд,азиатская,Русский аппетит,1060,1
Пять звезд,фастфуд,Пивной ресторан,764,0
Пять звезд,русская,Перекусич,2121,0
Четыре звезды,русская,Сковородка,571,0
Три звезды,азиатская,Шаурма-Экспресс,1154,0
Две звезды,итальянская,Обед-Бокс,2196,0
Четыре звезды,фастфуд,Кренделёк,1165,0
Четыре звезды,итальянская,У Егора,156,0
Три звезды,итальянская,Узбечка,1122,0
Пять звезд,итальянская,Рыбный день,1169,1
Две звезды,русская,У Егора,253,0
Четыре звезды,азиатская,Сырная тарелка,1767,0
Одна звезда,азиатская,Добрая столовая,1733,0
Четыре звезды,азиатская,Пивной ресторан,2066,1
Две звезды,итальянская,Борщ-меню,331,0
Две звезды,фастфуд,На углу,2440,0
Две звезды,итальянская,Обед-Бокс,369,0
Четыре звезды,азиатская,Бутербродная,1381,0
Четыре звезды,русская,БургерХаус,2041,0
Четыре звезды,итальянская,Капуччино-Бар,184,0
Пять звезд,русская,Грузинский дом,824,1
Три звезды,азиатская,Вечерний свет,1594,0
Три звезды,итальянская,Суп-Суп,1376,0
Пять звезд,русская,Кебаб-хаус,2050,0
Три звезды,итальянская,БургерХаус,557,0
Пять звезд,азиатская,У Егора,1522,0
Одна звезда,фастфуд,Суп-Суп,153,0
Пять звезд,азиатская,Суп-Суп,510,0
Одна звезда,фастфуд,Обед-Бокс,2119,0
Пять звезд,фастфуд,Пекарня у дома,739,0
Четыре звезды,азиатская,Кебаб-хаус,1531,0
Пять звезд,русская,Вареники,1801,0
Две звезды,итальянская,Фалафельная,2039,0
Четыре звезды,итальянская,Пивной ресторан,2482,0
Пять звезд,итальянская,Такос-Амигос,1209,0
Четыре звезды,фастфуд,Мама-печёт,544,0
Четыре звезды,фастфуд,Узбечка,716,0
Четыре звезды,азиатская,Мороженое-Софт,1222,0
Четыре звезды,русская,Вечерний свет,2154,0
Четыре звезды,азиатская,Том-ям-бар,2252,0
Четыре звезды,азиатская,Рис и лапша,991,0
Пять звезд,русская,Пицца-Прайм,409,0
Одна звезда,фастфуд,На углу,1026,0
Три звезды,азиатская,Китайский квартал,1815,0
Пять звезд,азиатская,Паста-Мания,1064,0
Пять звезд,фастфуд,Ларек с хот-догами,1261,1
Четыре звезды,итальянская,Рамен-тайм,1053,1
Четыре звезды,русская,Такос-Амигос,1493,0
Три звезды,русская,БургерХаус,2467,0
Три звезды,итальянская,Паста-Мания,2045,0
Четыре звезды,русская,Быстро и вкусно,1115,1
Три звезды,итальянская,Халяль-гриль,1299,0
Четыре звезды,азиатская,Котлетная,2382,0
Две звезды,русская,На углу,514,0
Пять звезд,русская,Кебаб-хаус,869,0
Пять звезд,азиатская,Пирожок на углу,1181,1
Четыре звезды,фастфуд,Добрая столовая,803,0
Четыре звезды,фастфуд,Русский аппетит,1989,0
Три звезды,азиатская,Перекусич,1529,0
Пять звезд,русская,Пирожок на углу,472,0
Четыре звезды,русская,Вареники,1055,0
Три звезды,русская,Грузинский дом,2299,0
Пять звезд,итальянская,Суп-Суп,944,1
Пять звезд,фастфуд,Рамен-тайм,1639,1
Пять звезд,русская,Борщ-меню,1602,0
Четыре звезды,фастфуд,Деловой ланч,2272,0
Четыре звезды,фастфуд,У Егора,1273,0
Три звезды,русская,Итальянский дворик,893,0
Пять звезд,азиатская,Вечерний свет,2433,0
Пять звезд,азиатская,Сковородка,1442,0
Одна звезда,фастфуд,Грузинский дом,1037,0
Одна звезда,итальянская,Кебаб-хаус,1427,0
Три звезды,фастфуд,Капуччино-Бар,876,0
Пять звезд,фастфуд,Халяль-гриль,960,1
Пять звезд,азиатская,Пончик-хаус,478,0
Три звезды,русская,Винный погреб,1981,0
Четыре звезды,русская,Борщ-меню,408,0
Три звезды,итальянская,Студенческая столовая,2425,0
Пять звезд,азиатская,Винный погреб,526,0
Пять звезд,азиатская,Итальянский дворик,294,0
Пять звезд,фастфуд,Кондитерская-Кофе,2277,0
Четыре звезды,азиатская,Кофе-Брейк,858,1
Три звезды,фастфуд,Сырная тарелка,2294,0
Три звезды,итальянская,Хинкальная,395,0
Две звезды,азиатская,Лапшичная,482,0
Пять звезд,азиатская,Кебаб-хаус,1761,0
Пять звезд,фастфуд,Сырная тарелка,427,0
Пять звезд,азиатская,Морс-бар,2173,0
Пять звезд,русская,Котлетная,1537,1
Четыре звезды,итальянская,Морс-бар,1884,0
Четыре звезды,русская,Рыбный день,401,0
Пять звезд,фастфуд,Кофе-Брейк,2181,0
Пять звезд,фастфуд,Котлетная,2155,0
Три звезды,фастфуд,Винный погреб,2215,0
Четыре звезды,итальянская,Буррито-Кинг,1426,0
Две звезды,азиатская,Пицца-Прайм,1177,0
Пять звезд,русская,Сладкая жизнь,1546,0
Четыре звезды,азиатская,Кофе-Брейк,1598,0
Три звезды,фастфуд,Мясной рай,1352,0
Четыре звезды,азиатская,Морс-бар,161,0
Четыре звезды,итальянская,Студенческая столовая,2053,0
Три звезды,фастфуд,Винный погреб,1466,0
Две звезды,азиатская,Рис и лапша,919,0
Четыре звезды,русская,Шаурма-Экспресс,2456,0
Четыре звезды,фастфуд,Лапшичная,578,0
Четыре звезды,фастфуд,Сладкая жизнь,2492,0
Четыре звезды,итальянская,Деловой ланч,1506,0
Пять звезд,итальянская,Буррито-Кинг,2123,0
Четыре звезды,русская,Пончик-хаус,2403,0
Четыре звезды,азиатская,Мороженое-Софт,2419,0
Пять звезд,азиатская,Горячий хлеб,1703,1
Три звезды,фастфуд,Мама-печёт,1186,0
Две звезды,фастфуд,Вок-Вок,1443,0
Одна звезда,азиатская,Пончик-хаус,2237,0
Четыре звезды,азиатская,Том-ям-бар,1904,0
Четыре звезды,азиатская,У Егора,1477,0
Четыре звезды,фастфуд,Трапеза,671,1
Три звезды,итальянская,Обед-Бокс,1294,0
Две звезды,итальянская,Сытый студент,1848,0
Одна звезда,русская,Вареники,1837,0
Три звезды,азиатская,Сытый студент,1632,0
Четыре звезды,азиатская,Итальянский дворик,2399,1
Три звезды,азиатская,Трапеза,369,0
Три звезды,русская,Том-ям-бар,1782,0
Пять звезд,азиатская,Фиш-н-чипс,760,0
Три звезды,итальянская,Узбечка,283,0
Четыре звезды,азиатская,СушиВок,977,0
Четыре звезды,русская,Луковые кольца,998,1
Три звезды,фастфуд,Сладкая жизнь,296,0
Четыре звезды,фастфуд,Ларек с хот-догами,2130,0
Пять звезд,итальянская,Ларек с хот-догами,582,0
Пять звезд,итальянская,Утренний кофе,211,0
Две звезды,итальянская,Мясной рай,2393,0
Пять звезд,фастфуд,Китайский квартал,236,0
Четыре звезды,азиатская,Лапшичная,1040,0
Три звезды,русская,Мама-печёт,1427,0
Четыре звезды,русская,Кренделёк,1300,0
Пять звезд,азиатская,Кофе-Брейк,1335,1
Четыре звезды,фастфуд,Рыбный день,1489,0
Три звезды,фастфуд,Пицца-Прайм,2369,0
Четыре звезды,русская,Горячий хлеб,548,0
Три звезды,итальянская,Винный погреб,2449,0
Две звезды,итальянская,СушиВок,1182,0
Две звезды,русская,Буррито-Кинг,912,0
Две звезды,русская,Трапеза,1412,0
Три звезды,азиатская,Утренний кофе,2232,0
Две звезды,азиатская,Борщ-меню,927,0
Четыре звезды,азиатская,Хлеб и масло,1083,0
Три звезды,азиатская,Шаурма-Экспресс,1556,0
Три звезды,азиатская,Хлеб и масло,1896,0
Пять звезд,азиатская,Том-ям-бар,1986,1
Четыре звезды,итальянская,Кебаб-хаус,2274,0
Четыре звезды,русская,На углу,1391,0
Три звезды,фастфуд,Горячий хлеб,2177,0
Три звезды,азиатская,Пельмения,202,0
Одна звезда,итальянская,Вареники,1769,0
Три звезды,русская,Хлеб и масло,407,0
Три звезды,русская,Горячий хлеб,2329,0
Три звезды,русская,Обед-Бокс,1884,1
Две звезды,азиатская,Лапшичная,1960,0
Две звезды,азиатская,Сковородка,744,0
Четыре звезды,фастфуд,Винный погреб,1077,0
Три звезды,азиатская,Китайский квартал,398,0
Три звезды,русская,Рамен-тайм,2266,0
Четыре звезды,русская,Корн-дог,803,0
Четыре звезды,итальянская,Пирожок на углу,1596,1
Одна звезда,итальянская,Халяль-гриль,1094,0
Четыре звезды,фастфуд,Квасная лавка,489,0
Четыре звезды,итальянская,Студенческая столовая,1034,1
Две звезды,фастфуд,Рамен-тайм,2454,0
Пять звезд,итальянская,Хинкальная,2095,0
Пять звезд,русская,Буррито-Кинг,1530,1
Две звезды,азиатская,Мороженое-Софт,996,0
Три звезды,азиатская,Ларек с хот-догами,751,0
Пять звезд,фастфуд,Халяль-гриль,1700,0
Четыре звезды,азиатская,Студенческая столовая,1821,0
Три звезды,азиатская,Кондитерская-Кофе,1971,0
Три звезды,итальянская,Сырная тарелка,788,0
Три звезды,русская,Ларек с хот-догами,856,0
Четыре звезды,азиатская,Мама-печёт,2395,0
Четыре звезды,русская,Утренний кофе,1524,0
Три звезды,итальянская,Сырная тарелка,1391,0
Четыре звезды,итальянская,Русский аппетит,1404,1
Четыре звезды,азиатская,Вегетарианский уголок,1876,1
Одна звезда,азиатская,Вок-Вок,806,0
Три звезды,итальянская,Вечерний свет,2213,0
Четыре звезды,итальянская,Вок-Вок,2187,0
Пять звезд,фастфуд,Буррито-Кинг,1369,0
Четыре звезды,фастфуд,Мороженое-Софт,967,1
Четыре звезды,русская,Такос-Амигос,1378,1
Две звезды,итальянская,Студенческая столовая,729,0
Три звезды,русская,Рамен-тайм,309,0
Четыре звезды,итальянская,Вареники,1639,0
