time_on_site,pages_viewed,breed_page_viewed,calculator_used,device_type,age_of_pet,previous_claims,visit_month,policy_purchased
18,7,0,0,1,2,0,8,0
175,3,0,0,2,6,0,8,0
283,3,1,1,1,5,1,5,0
190,14,1,1,0,5,0,5,0
76,4,1,1,0,1,0,8,0
100,1,1,0,2,0,0,9,0
88,6,0,0,1,2,0,3,0
25,4,0,0,2,3,1,8,0
60,8,0,0,0,2,0,6,0
185,7,0,0,0,2,0,11,0
246,6,1,1,0,4,0,4,0
77,9,0,0,0,5,1,9,0
103,7,1,0,0,4,1,8,0
52,10,0,1,0,10,0,8,0
84,12,0,0,1,0,0,6,0
112,16,0,1,0,2,0,10,0
82,6,0,0,0,4,0,5,0
105,4,0,0,1,1,0,2,0
339,9,0,0,0,3,0,3,0
21,7,1,1,1,10,0,10,0
78,3,0,0,0,3,1,7,0
21,8,0,0,2,8,0,2,0
89,17,1,1,1,4,1,5,0
160,16,1,0,2,3,0,7,0
31,10,1,0,0,7,0,8,0
32,2,0,1,0,3,0,1,1
350,4,0,0,0,3,1,7,0
43,5,1,0,0,4,0,6,0
88,1,1,0,0,5,0,4,0
32,7,1,0,1,2,0,8,0
243,5,0,0,0,7,0,6,0
241,8,1,0,1,10,0,12,0
10,5,0,0,1,5,0,5,1
180,5,0,1,1,4,0,9,0
302,3,0,0,0,3,0,12,0
267,2,1,0,2,5,0,7,0
257,7,0,0,0,2,1,10,1
54,6,0,0,0,6,0,5,0
314,14,0,1,2,1,0,8,1
74,9,0,0,0,0,0,2,0
32,16,1,1,1,1,0,8,0
397,10,0,0,0,10,0,5,0
385,1,0,0,0,2,0,7,0
117,13,0,0,0,4,1,3,0
253,10,0,0,0,6,1,11,0
113,5,0,0,0,8,0,11,0
146,12,0,0,0,1,0,10,0
87,7,0,0,1,3,0,6,0
73,14,1,0,1,1,0,6,0
141,9,0,0,2,3,0,4,0
110,5,1,0,2,1,0,2,0
196,5,1,0,0,2,0,6,0
415,13,1,0,2,3,0,7,0
277,17,0,1,0,2,0,5,0
190,2,1,1,0,4,0,10,0
60,2,0,1,1,9,0,7,0
205,7,1,1,0,2,0,7,0
206,2,0,0,1,2,0,7,0
109,5,0,0,0,9,0,6,0
297,9,1,1,0,4,0,4,0
188,3,1,1,0,3,0,7,0
72,3,1,1,0,9,0,12,0
208,5,1,0,2,2,0,7,0
80,8,0,0,2,3,0,2,0
60,10,0,0,0,10,0,7,0
90,13,1,1,0,5,0,5,0
174,11,1,0,0,0,0,8,0
429,4,1,1,2,3,0,5,0
385,1,1,0,0,6,0,7,0
407,7,0,1,2,7,0,5,0
74,12,0,0,1,2,0,6,0
29,17,0,1,2,4,0,6,0
194,14,1,1,1,9,0,6,0
50,14,1,0,1,0,0,4,0
148,4,1,1,1,3,0,6,1
208,8,1,1,2,8,0,12,0
238,9,0,0,2,3,0,11,0
255,14,0,1,1,4,0,5,0
280,5,1,1,1,3,0,7,0
293,14,0,0,2,13,0,12,0
191,5,0,1,2,0,0,1,0
216,8,1,0,1,2,0,6,0
245,2,0,1,0,0,1,3,0
135,2,0,0,0,4,0,8,0
555,9,1,0,2,4,0,4,0
62,3,1,0,0,3,0,12,0
32,12,0,1,0,5,0,8,0
344,3,1,0,0,2,1,3,0
175,4,0,1,1,4,0,4,0
188,12,1,0,1,4,0,5,0
253,5,1,0,0,2,0,8,0
10,9,0,0,0,1,0,6,0
172,17,0,0,1,5,1,7,0
69,5,1,0,2,1,1,7,1
127,10,0,0,0,3,0,9,0
51,8,1,0,0,2,0,9,0
130,13,0,1,1,6,0,9,0
114,11,0,0,2,5,0,7,1
77,13,1,1,1,3,0,4,0
64,3,1,1,1,5,0,11,0
308,21,0,1,2,9,0,2,0
190,18,1,1,0,6,0,7,0
257,2,0,0,0,1,0,2,1
201,2,1,0,1,4,0,8,0
150,9,0,0,2,5,0,6,0
282,17,1,1,1,6,0,3,0
188,8,0,0,2,10,0,5,0
87,7,1,0,1,2,0,2,0
336,9,0,0,1,6,0,2,0
301,5,0,0,0,6,0,6,0
56,8,1,1,0,5,0,4,0
348,1,1,1,1,4,0,8,0
130,3,1,1,0,2,0,3,0
190,6,0,1,0,2,0,4,0
194,17,0,0,2,0,0,8,0
10,13,0,1,2,15,0,12,0
89,3,1,0,0,2,0,7,0
278,16,1,1,1,6,0,8,0
124,8,1,1,0,2,1,5,0
115,1,1,0,0,6,0,6,0
134,3,0,0,1,8,0,9,0
135,13,1,1,1,7,0,12,0
667,2,1,1,0,1,0,6,1
453,18,0,1,0,1,0,10,0
29,4,1,0,0,1,0,4,0
89,16,0,1,2,11,0,12,0
364,13,1,0,1,9,0,10,0
77,6,0,0,0,1,0,4,0
261,2,0,0,0,3,1,4,0
216,3,0,0,1,6,0,4,0
16,5,1,0,1,7,0,3,1
337,5,1,0,2,8,0,11,1
44,9,0,0,0,3,0,6,0
212,24,0,1,2,5,0,8,0
135,9,0,1,0,3,0,4,1
193,1,0,0,0,3,0,10,0
312,4,0,0,0,1,0,6,0
199,6,1,1,0,3,0,8,0
257,16,1,1,2,8,0,4,0
138,21,0,0,1,6,0,9,0
224,1,1,0,1,2,0,5,0
337,7,1,0,0,1,0,6,0
268,9,1,1,0,5,0,4,1
84,16,0,1,0,4,0,1,0
125,16,0,0,1,9,0,6,0
201,9,0,0,1,0,0,5,0
158,20,0,0,0,7,0,4,0
300,14,1,1,0,2,0,2,0
82,3,1,0,0,2,0,11,0
364,11,0,0,2,1,1,5,0
262,10,1,1,0,3,0,10,0
213,9,0,1,0,3,1,8,0
169,10,0,1,0,6,0,2,0
337,2,1,1,0,4,0,8,0
157,4,1,1,0,3,0,5,0
112,3,1,1,1,3,0,11,0
267,13,0,1,2,2,0,4,0
66,26,0,0,0,11,1,8,0
47,2,1,1,0,2,0,8,0
262,9,0,0,1,2,0,7,0
314,7,0,0,1,2,0,7,0
47,3,0,0,0,8,0,4,0
73,8,1,0,2,4,0,1,0
200,8,0,0,2,1,1,6,0
74,17,0,0,0,4,1,5,0
100,10,0,0,1,5,0,11,1
258,1,1,1,1,0,0,6,0
251,10,1,1,1,4,0,3,1
260,4,0,1,0,5,0,8,0
62,7,0,0,0,6,0,7,0
228,16,1,0,0,8,0,9,0
103,12,0,1,1,4,0,4,0
46,13,1,0,0,1,0,7,0
176,12,0,0,0,0,0,7,0
142,17,0,1,1,7,0,11,0
141,12,1,1,0,3,1,6,0
44,5,1,0,1,6,0,8,0
35,6,1,1,0,10,1,12,0
672,12,0,0,0,1,0,8,0
291,13,0,0,0,5,0,7,0
308,9,1,0,2,4,1,7,0
100,1,1,0,1,1,0,6,0
212,21,1,0,0,11,0,10,0
95,4,0,0,2,1,0,8,0
505,1,1,1,1,1,0,4,0
308,5,0,1,0,1,1,6,0
338,2,0,0,0,5,0,8,0
172,10,0,0,0,7,0,3,0
112,8,1,1,1,4,1,8,0
579,15,0,0,1,4,0,6,0
379,4,1,1,0,6,0,12,0
193,10,0,1,0,1,0,5,0
190,8,1,0,0,2,0,8,0
286,5,0,0,0,9,0,6,0
298,3,0,1,0,1,0,3,0
252,1,1,0,0,3,0,10,0
153,6,0,1,0,3,1,7,0
183,7,0,1,2,3,0,8,1
303,1,0,1,0,2,0,2,0
185,2,1,1,0,2,0,6,0
362,1,0,0,0,7,0,11,0
63,7,0,0,0,1,0,7,0
238,12,0,0,1,6,0,4,0
265,8,0,0,1,6,0,8,0
300,6,0,0,0,2,0,2,0
349,10,0,1,0,1,1,4,0
310,7,1,1,0,3,0,2,0
329,7,0,0,0,2,0,5,1
166,10,0,1,1,2,0,7,0
282,14,1,0,0,5,0,9,0
118,4,0,1,1,3,0,3,0
68,7,1,0,1,4,0,8,0
70,4,0,0,0,15,0,7,0
373,4,1,1,0,6,0,5,1
151,2,0,0,2,4,0,10,0
424,11,0,0,0,0,0,3,1
374,16,1,0,0,11,0,8,0
200,7,1,0,0,7,0,12,0
178,3,1,0,1,0,0,4,0
193,4,0,1,0,6,0,10,0
207,10,0,0,2,2,0,10,0
230,1,1,0,1,2,0,4,0
174,5,0,0,2,7,0,10,0
99,23,1,1,0,7,0,9,0
200,2,1,0,2,1,0,4,0
240,11,0,1,0,5,0,5,0
433,11,1,1,0,8,0,8,1
175,15,0,1,2,10,1,9,0
73,4,0,0,0,10,1,7,0
94,4,1,0,2,6,0,3,0
56,8,1,1,0,2,0,4,1
89,8,0,0,2,4,0,5,0
375,21,1,0,0,6,0,8,0
111,2,1,1,1,3,0,9,0
155,6,0,0,0,6,0,7,0
50,16,0,0,0,3,0,12,1
215,21,1,1,1,9,0,9,0
383,10,0,1,1,2,0,7,0
186,13,1,0,0,12,1,12,0
40,16,1,0,0,7,0,2,0
166,5,1,0,0,1,0,9,0
84,7,0,0,0,5,0,5,0
140,13,1,1,0,9,0,8,0
112,12,0,1,2,11,0,6,0
177,6,0,1,0,3,0,4,0
178,21,1,1,0,8,0,4,0
312,4,0,0,2,0,0,3,0
61,7,0,0,0,9,0,7,0
138,8,0,1,1,2,0,7,0
103,7,0,0,1,3,0,1,0
117,2,0,0,1,2,0,12,1
326,6,1,0,1,2,0,10,0
58,10,0,0,1,1,0,8,0
264,6,1,0,0,2,0,10,0
30,19,0,1,0,10,0,7,0
246,4,0,1,1,2,0,11,0
257,14,0,1,0,6,0,7,0
234,1,0,0,0,3,1,7,0
50,15,0,0,2,1,0,7,0
250,3,0,0,1,4,0,11,0
235,7,1,0,0,3,0,4,0
290,3,0,0,2,5,0,8,1
294,15,1,1,1,6,0,10,0
22,3,1,0,2,3,0,3,0
224,17,1,0,2,3,0,7,0
202,15,1,1,0,9,0,9,0
169,8,1,1,1,10,0,12,0
197,4,1,0,1,1,0,8,0
407,17,1,1,2,3,0,9,0
411,4,0,0,1,2,0,6,0
623,16,0,1,0,7,0,6,0
332,7,0,0,0,9,0,11,0
234,12,1,0,0,3,0,5,0
110,4,0,0,2,0,0,8,0
85,4,1,1,2,6,0,7,0
223,12,0,1,0,1,0,6,0
175,7,1,0,1,4,0,9,0
156,13,0,0,2,3,0,6,0
191,2,0,1,0,2,0,7,0
368,4,0,0,0,4,0,11,0
23,5,0,1,0,7,0,12,0
161,2,1,0,2,6,0,5,1
296,5,0,0,1,7,0,9,0
134,8,0,0,0,4,0,3,1
37,2,1,0,0,6,0,10,0
155,3,0,0,1,7,0,9,0
43,2,1,0,2,11,0,12,0
368,16,1,1,1,4,0,3,0
112,13,1,0,0,1,0,3,0
463,18,0,0,0,5,0,10,1
478,14,0,1,2,7,0,4,0
196,3,0,0,0,1,0,9,0
70,5,0,0,0,2,0,11,0
17,7,0,1,2,1,0,7,0
247,8,0,0,2,3,0,5,1
178,11,0,1,1,6,0,8,0
150,15,1,1,1,6,0,7,0
196,2,1,0,0,5,0,6,1
185,5,0,1,0,2,0,3,0
207,14,1,0,0,6,0,9,0
15,7,1,0,1,5,0,4,1
479,15,1,1,0,2,0,4,0
27,4,0,0,2,5,0,8,0
120,4,0,1,0,1,0,10,0
143,11,0,1,0,6,0,5,0
32,9,0,1,0,5,0,3,0
201,12,0,0,1,5,0,8,0
270,5,0,0,0,7,1,12,0
77,2,1,0,2,2,0,5,0
240,9,0,0,0,6,0,6,0
25,13,1,1,1,1,0,4,0
268,13,0,0,1,6,0,5,0
177,8,1,0,0,3,0,9,0
208,10,0,1,1,4,0,4,0
484,6,1,0,1,2,0,2,0
242,4,0,1,2,5,0,5,0
207,8,0,0,2,0,0,7,0
97,9,0,1,0,6,0,6,0
34,8,1,0,0,4,0,4,0
222,7,1,1,0,2,0,5,1
183,7,1,0,2,9,0,12,0
183,3,1,0,0,5,0,12,0
281,5,0,1,1,3,0,9,1
63,6,0,0,1,1,0,11,1
10,13,0,1,1,1,0,2,0
10,11,0,0,0,4,0,10,0
267,10,0,1,0,0,0,8,0
57,9,1,1,0,11,1,12,1
108,8,0,1,0,4,0,9,0
53,12,0,0,0,7,0,10,0
116,6,0,1,0,4,1,7,0
283,11,0,0,1,11,0,12,0
82,6,0,0,0,2,0,12,1
104,3,1,0,0,9,0,10,0
156,5,0,0,0,3,0,9,0
217,9,1,1,0,4,0,7,0
238,8,1,0,0,5,0,7,0
79,9,1,1,0,3,1,8,0
208,6,1,0,1,2,0,9,0
79,4,0,0,0,2,0,6,0
193,12,0,1,2,3,0,9,0
30,15,0,1,0,11,0,10,0
126,18,1,0,2,9,0,9,0
173,18,1,1,2,5,0,4,0
165,12,0,0,1,6,0,6,0
183,10,1,0,2,3,0,6,0
436,1,1,0,0,4,0,8,0
431,3,1,1,0,0,0,8,1
10,2,0,0,0,2,0,6,0
172,3,0,0,0,9,0,10,0
232,7,0,1,0,2,0,5,0
153,9,0,0,1,1,0,4,0
123,20,0,0,0,6,1,10,1
364,9,1,1,0,3,1,5,0
116,7,0,0,0,3,0,8,0
280,15,0,0,1,1,1,4,0
513,7,0,0,2,0,0,5,0
537,5,1,0,0,1,0,6,0
242,7,1,0,0,1,0,6,0
115,2,0,1,0,2,0,7,1
28,5,1,0,1,4,1,10,0
313,4,1,1,0,3,0,5,0
500,7,1,1,2,5,0,9,1
13,8,0,1,0,4,0,3,0
554,15,1,1,0,1,0,5,0
47,13,0,0,2,11,0,12,1
59,8,0,0,2,5,0,4,0
227,18,1,1,1,5,1,7,0
82,3,1,1,0,2,0,6,1
105,6,1,0,1,1,0,4,0
349,9,0,1,0,1,0,6,0
181,3,0,0,0,1,0,7,0
14,5,0,0,0,6,0,8,0
82,1,0,1,0,7,1,9,1
261,3,0,1,1,1,0,9,0
68,10,1,0,0,0,0,4,0
346,8,1,0,2,4,0,8,0
328,14,0,1,0,2,0,3,0
130,6,1,0,0,7,0,4,0
179,15,0,0,1,5,0,7,0
191,10,1,0,2,2,1,4,0
343,4,1,1,2,8,0,11,0
152,6,0,0,1,1,1,5,1
282,3,0,0,0,0,1,7,0
419,18,0,1,2,3,0,7,0
50,9,0,0,2,12,0,10,0
121,8,0,0,0,10,0,12,0
250,6,1,1,1,5,1,5,0
132,19,1,1,1,14,0,12,0
155,11,1,0,0,6,0,6,0
82,4,1,1,2,9,0,12,1
216,10,1,1,0,5,0,11,0
451,2,1,0,1,2,0,5,0
44,4,1,0,0,6,0,6,0
47,4,0,1,0,1,0,3,0
139,2,0,1,1,5,0,12,0
244,12,0,1,0,4,0,7,0
118,11,0,0,0,9,0,9,0
118,13,0,1,2,9,0,9,0
346,12,1,0,1,2,0,4,0
88,6,0,1,1,3,0,5,0
103,15,0,1,0,10,0,10,0
84,4,0,1,0,0,0,5,0
10,14,0,1,1,7,0,7,0
144,11,0,0,2,6,1,4,0
143,1,0,1,0,5,0,9,0
208,10,0,0,1,2,0,7,0
48,15,1,1,0,7,0,12,0
65,5,0,0,0,2,0,1,0
377,24,1,0,0,4,0,3,0
88,3,0,1,0,3,0,6,1
74,5,0,0,0,2,0,11,1
418,13,1,1,1,8,0,8,0
138,3,1,0,0,2,0,7,0
249,11,0,0,1,9,0,7,1
205,1,1,0,1,2,0,7,0
359,3,0,0,1,5,0,5,0
205,2,1,0,0,1,0,3,0
66,8,1,0,0,4,0,6,0
23,8,0,0,1,3,0,4,0
174,3,1,0,0,2,0,8,0
236,11,1,0,2,3,0,7,1
260,13,0,1,0,8,0,10,0
179,12,0,1,0,1,0,8,0
25,11,0,0,1,4,0,4,0
502,7,0,0,2,5,1,8,0
216,10,1,1,0,9,1,12,0
136,16,1,0,0,1,0,5,0
489,7,1,1,2,5,0,10,1
201,12,0,0,0,0,0,9,0
230,10,0,0,0,5,0,4,0
39,8,1,0,0,6,0,5,0
130,9,0,1,0,8,0,2,0
52,13,1,1,1,6,0,3,0
141,2,1,0,0,5,0,6,0
37,9,1,1,2,6,0,8,0
21,11,0,1,1,4,1,3,0
26,10,1,0,2,4,0,10,0
633,13,0,1,0,3,0,5,0
69,11,0,0,0,11,0,7,0
41,11,1,0,2,5,0,8,0
97,5,1,0,0,3,1,9,0
84,9,1,1,1,2,1,7,0
277,14,0,1,0,5,0,3,0
253,11,0,0,1,2,0,3,0
73,11,1,0,2,8,0,10,0
54,8,0,1,0,2,0,12,1
107,5,1,1,0,6,0,9,0
159,5,0,0,0,4,0,5,0
84,11,0,0,0,4,0,7,0
109,12,1,0,0,4,0,10,0
257,6,1,0,1,12,0,12,0
42,14,0,0,0,5,1,5,0
159,20,1,0,0,1,0,5,1
312,11,0,0,0,10,0,12,0
185,9,0,1,0,1,1,8,0
378,3,1,1,0,3,0,8,0
295,12,1,1,1,1,0,5,0
196,7,0,0,2,4,0,5,0
25,4,0,1,0,3,0,4,1
50,8,0,0,0,4,0,4,0
238,10,1,1,1,8,0,12,0
189,6,1,0,0,4,0,6,0
518,8,1,1,0,7,0,8,0
186,3,0,0,1,0,0,1,0
94,18,1,0,0,3,0,5,0
204,7,1,1,0,5,0,6,0
24,16,0,1,2,6,0,7,0
142,7,1,0,0,4,0,6,0
473,10,0,1,2,5,0,9,0
467,12,1,1,0,1,0,8,0
188,9,1,1,2,0,0,11,0
35,19,0,1,0,1,0,4,0
461,9,1,0,0,6,0,11,0
370,8,0,0,1,3,1,9,0
70,3,1,0,2,8,0,11,0
231,13,0,0,0,3,0,6,0
69,9,0,1,1,3,0,8,0
181,10,0,1,0,2,0,6,0
161,14,0,0,1,0,0,6,0
172,3,0,1,1,7,0,7,0
28,2,1,1,0,10,0,2,1
45,6,0,0,0,9,0,5,0
79,4,1,0,0,1,0,9,1
295,6,1,1,2,9,0,12,1
203,11,1,1,0,5,1,8,0
248,2,1,1,1,1,0,5,0
229,9,0,0,0,2,0,2,0
289,3,1,0,1,0,1,7,0
480,11,0,0,1,12,0,12,0
126,12,1,0,1,1,0,10,0
328,4,1,0,2,5,0,8,0
12,5,1,1,0,4,0,7,0
162,3,0,1,0,3,0,8,0
69,2,0,1,2,4,0,9,0
317,6,0,1,0,2,0,7,0
206,8,1,0,1,2,0,5,0
259,7,1,0,1,3,0,8,0
379,14,1,0,1,0,0,5,0
62,5,0,0,0,9,0,8,1
166,1,0,1,0,3,0,12,0
70,13,0,0,1,5,0,7,0
10,8,0,0,0,4,0,2,0
345,5,1,0,1,5,0,5,0
193,5,0,0,0,3,0,12,0
406,14,0,0,0,9,0,9,1
202,1,0,0,0,8,0,10,0
111,7,1,0,2,4,0,8,0
150,10,1,1,0,4,0,5,0
