brand,mileage_km,load_weight,route_type,driver_exp,terrain,speed_avg,temp_outside,fuel_consumption_l_100km
2,10109,9.0,2,5,1,40.9,21,38.3
0,13711,12.0,0,25,1,63.3,33,32.3
2,20845,10.0,1,2,1,79.9,-1,34.1
1,12832,2.7,0,11,1,90.9,22,31.1
2,5282,16.9,2,29,1,63.2,31,38.6
0,14390,3.8,1,23,0,82.1,7,31.2
0,8500,16.0,1,26,0,62.9,-22,36.7
0,10700,7.9,2,28,1,64.9,-23,35.6
0,14840,15.1,0,4,2,42.2,-2,37.6
1,9727,20.2,2,11,2,75.0,-20,37.9
3,17945,6.5,2,17,0,65.5,15,26.4
1,5416,8.9,1,20,1,54.5,34,29.8
2,19384,20.6,1,30,2,75.2,-25,42.3
1,6622,9.0,1,29,2,45.8,32,31.9
1,10313,3.5,2,16,2,60.7,-3,32.3
2,21529,21.4,0,14,0,74.0,-18,43.0
1,16031,20.7,0,22,1,60.9,8,34.0
2,14732,10.8,1,27,1,71.6,5,36.4
3,24298,8.1,1,26,1,57.0,-25,32.4
3,18946,17.5,1,24,2,40.0,-10,32.7
2,13508,10.7,0,27,0,52.1,-4,33.2
2,21075,17.5,2,28,1,61.4,-9,39.5
1,22892,8.5,1,7,0,94.8,-23,31.7
0,19537,23.8,2,10,2,62.7,-10,40.7
0,14350,6.9,0,30,2,71.6,1,33.3
0,21722,4.9,1,26,2,74.4,40,29.5
2,15308,14.6,1,28,0,47.6,22,37.5
2,17900,3.6,2,2,2,83.6,16,37.5
3,14978,5.6,1,14,1,61.5,24,30.0
0,15086,17.8,0,26,0,55.0,14,33.3
0,15832,16.8,1,5,0,52.1,-13,39.5
2,12779,6.6,2,1,1,44.9,-19,34.1
3,24128,20.2,0,2,1,70.8,-15,37.5
0,13422,17.1,1,24,2,86.9,10,39.2
2,8072,20.2,2,17,0,60.0,5,36.7
3,10314,7.2,2,20,2,44.1,35,28.3
2,12451,15.1,0,20,2,40.2,9,32.6
0,15599,4.1,1,5,0,79.1,2,30.0
1,12819,21.8,1,21,2,44.7,20,36.3
1,23568,13.1,1,20,0,43.2,15,28.1
1,7938,23.5,0,21,1,59.7,23,36.3
0,20010,19.1,0,24,1,86.3,14,35.8
0,15773,5.5,1,23,1,58.5,19,31.8
2,12386,18.6,1,28,0,93.5,-2,34.8
3,8186,20.6,1,11,1,68.6,-15,37.0
0,19494,21.8,1,25,2,43.0,-12,40.5
2,12082,5.8,2,15,2,53.1,-15,29.5
1,14846,9.4,2,7,0,53.4,4,26.7
2,18488,14.0,0,21,0,40.6,-2,35.6
1,19622,19.1,2,15,0,55.9,11,31.6
3,20965,2.5,2,15,1,59.1,15,25.4
1,8970,20.9,2,11,1,84.7,38,34.0
2,5951,8.9,0,12,2,80.8,-6,33.4
1,9048,20.6,2,16,0,48.1,-19,30.7
3,5801,19.7,2,19,0,82.1,-24,32.8
3,15039,2.4,0,4,0,56.6,2,32.6
1,20898,17.8,2,19,0,41.1,17,30.0
3,12409,7.0,1,22,0,49.2,3,29.4
3,15819,7.1,2,22,1,80.0,21,27.3
3,10191,20.0,2,28,0,77.6,13,32.6
3,18004,2.2,0,18,1,71.0,25,27.5
0,14063,3.6,1,29,1,84.4,16,29.1
0,7409,4.8,1,27,1,87.8,-13,30.9
2,13653,12.0,1,29,2,77.2,18,34.7
1,15399,8.4,2,18,2,62.0,-14,30.7
0,23086,18.7,2,24,0,67.3,-1,37.2
3,15382,8.0,2,4,0,90.3,39,27.4
3,18060,18.6,0,18,0,65.9,-23,34.1
0,9425,15.4,1,18,1,52.7,24,36.2
1,15655,23.6,2,16,1,93.1,24,37.3
1,21357,12.8,0,11,0,70.1,22,33.0
1,10759,21.6,0,13,2,79.8,13,40.0
0,19438,17.9,2,22,2,81.6,26,39.4
3,9864,2.7,2,18,2,62.3,-19,33.3
2,17975,15.8,0,26,2,66.9,35,35.8
0,17168,5.3,1,28,0,78.7,0,29.9
0,21104,6.6,0,13,2,76.8,-21,33.4
0,16280,8.2,1,21,2,75.2,-10,33.4
2,18325,22.0,0,27,1,63.7,-15,39.1
3,23121,20.8,0,6,2,94.6,17,36.1
3,21308,18.3,0,27,0,40.6,0,36.1
3,23023,3.0,0,21,0,55.0,23,25.9
1,7603,18.6,0,2,1,40.8,-16,31.8
3,21203,7.5,0,25,2,55.3,34,26.3
0,9269,18.9,0,14,1,45.0,5,35.5
1,8161,22.2,2,11,1,57.0,-23,33.7
0,9739,10.3,2,15,2,68.0,27,32.9
2,14844,6.3,2,23,0,89.0,37,38.9
1,12638,6.8,1,21,1,56.1,-2,30.1
0,21920,17.3,2,23,1,52.3,-15,36.9
1,19826,17.7,1,4,0,74.8,23,33.1
0,19688,3.7,2,30,2,42.4,-11,32.4
0,6015,10.9,2,16,1,85.6,9,33.2
1,11747,4.2,0,8,1,69.1,-25,27.9
3,22711,3.2,0,21,2,43.1,-6,29.4
1,20789,5.1,1,4,1,70.6,7,31.6
2,23090,20.2,1,1,2,86.0,-15,38.8
3,13325,19.7,0,5,2,70.6,25,36.9
2,11649,22.8,1,16,2,61.5,10,36.8
2,12595,3.4,2,15,1,46.6,-20,35.4
0,19356,11.4,1,8,0,62.8,19,34.5
2,10632,3.5,1,12,0,49.0,-13,30.6
3,6403,22.5,2,17,0,72.6,11,29.4
3,23073,2.9,0,20,2,94.6,23,27.5
3,11131,22.0,2,19,2,50.7,-8,36.3
0,21002,5.5,0,16,2,72.2,-11,30.1
2,21491,21.1,1,30,2,76.6,-13,38.6
0,15776,14.5,1,3,2,68.8,-10,36.3
3,9021,20.7,1,8,2,44.3,-22,39.6
2,11942,23.3,2,15,0,75.3,17,36.9
0,7429,17.4,1,29,2,75.3,17,38.4
1,12802,7.7,0,3,1,81.1,9,32.2
3,13858,20.0,0,29,0,61.3,5,32.2
3,5932,14.9,0,11,0,90.1,8,30.8
3,23050,15.5,0,16,0,81.2,0,31.5
3,21506,6.8,2,14,2,79.7,31,30.6
0,15488,23.4,0,10,0,58.6,-7,38.5
1,20985,18.3,2,30,0,90.7,-24,31.7
1,20866,22.4,1,22,2,67.9,1,37.5
2,15714,4.8,2,21,2,89.2,-20,38.6
2,23634,24.0,0,20,1,55.0,-1,39.1
3,19557,20.8,1,20,0,43.7,-13,33.4
0,24817,19.1,1,22,0,52.6,-12,38.7
1,9683,6.2,2,11,1,57.0,5,30.2
0,19206,13.5,0,18,2,71.4,-14,35.7
2,21580,16.2,0,13,0,79.2,33,36.2
2,5851,22.0,2,1,1,45.0,-15,40.4
0,11477,7.4,1,29,0,86.7,23,32.5
1,14250,17.3,2,5,1,66.5,40,32.5
0,17133,3.2,2,16,1,63.4,-21,29.9
3,19109,19.1,1,9,2,41.3,36,31.8
0,7555,23.5,0,16,1,94.3,-11,42.3
3,11909,18.1,2,1,2,53.2,-13,36.2
3,9804,8.7,1,28,1,73.8,-10,32.8
3,22405,21.8,2,2,1,40.3,18,32.1
1,16291,20.7,0,11,1,72.9,40,34.0
3,23980,16.6,2,23,0,49.3,-15,32.5
2,10848,17.6,1,1,0,72.8,26,33.6
3,23452,4.3,0,16,1,57.3,-7,29.7
3,8059,20.1,1,8,2,62.0,8,32.6
0,6200,6.8,0,21,0,50.3,40,32.3
1,5468,12.4,1,4,1,58.2,13,29.6
3,12096,19.4,0,24,1,51.6,21,30.4
3,12071,8.0,0,18,1,67.8,40,24.2
3,17518,13.1,2,27,0,47.1,4,29.7
1,6730,17.7,0,14,0,69.3,-12,32.1
3,19096,4.5,0,1,0,48.0,35,25.0
2,17342,18.2,1,9,0,71.0,-8,37.9
2,22600,17.3,2,28,0,91.6,25,39.2
3,23836,12.1,0,9,0,71.1,40,28.4
1,5945,6.2,0,25,1,79.8,14,30.0
1,17980,7.6,2,29,2,76.1,7,34.7
0,7854,6.9,0,9,0,73.3,9,32.9
3,7751,17.8,2,13,1,48.0,32,30.2
0,23295,23.7,2,27,0,41.5,-23,40.7
0,9803,8.2,2,24,2,67.3,24,33.7
3,10188,7.7,2,1,1,58.8,25,32.7
3,21315,9.3,0,15,1,90.7,35,28.1
0,6902,8.7,1,17,1,71.1,-25,34.5
1,11547,21.8,2,9,1,83.1,34,35.9
2,13616,12.9,1,30,0,73.7,-7,35.2
1,21475,17.1,1,12,1,48.8,24,33.5
0,8692,17.1,0,15,2,72.7,24,37.5
0,16208,23.5,0,25,2,49.9,12,38.8
2,18102,12.7,0,24,0,79.1,28,31.3
2,9142,16.3,0,14,1,86.3,26,34.8
3,20435,6.2,2,2,1,88.0,37,27.7
2,15353,23.5,1,2,0,58.7,-1,43.2
1,7214,3.8,2,20,2,81.2,14,30.1
3,6930,7.1,0,16,2,68.1,24,30.1
2,16518,17.0,0,25,0,60.3,29,38.9
1,23704,20.0,0,14,2,45.2,-22,33.5
1,12832,9.7,2,4,0,66.8,22,28.4
1,6337,8.2,2,14,1,43.9,-14,28.9
2,14049,2.2,2,22,1,87.0,-19,36.2
0,22218,4.3,1,28,0,81.4,19,28.5
3,16911,7.5,2,20,2,58.6,34,28.7
3,24247,21.8,1,14,2,82.9,0,36.1
2,20567,15.5,1,25,1,55.1,1,41.4
1,20176,18.6,1,18,2,66.9,-23,34.6
3,9102,16.1,0,18,0,68.0,38,29.5
2,17598,4.7,2,10,2,43.5,-7,35.0
2,7127,18.0,0,24,2,80.8,27,36.1
0,10890,3.5,0,29,1,67.3,-1,29.1
2,8919,2.1,0,6,1,53.4,-18,32.1
3,6563,2.1,2,6,2,94.9,-9,34.9
1,14797,19.2,2,3,0,41.2,-13,30.1
3,16842,6.1,0,9,2,47.5,-14,32.3
0,18490,22.1,2,17,0,57.1,5,40.6
2,11092,20.7,1,14,0,49.8,21,34.8
3,22036,4.9,2,21,0,88.3,8,28.8
1,14568,15.2,0,9,1,53.6,37,31.4
2,6413,22.0,1,14,2,58.5,14,36.4
2,19789,2.7,1,13,0,80.5,33,33.1
2,23697,2.5,0,11,1,63.0,19,36.0
1,18262,9.9,2,22,1,62.5,22,31.8
1,13980,23.1,2,6,0,75.7,5,34.3
2,5593,17.8,0,20,2,42.4,21,34.9
1,13704,4.0,2,4,1,60.8,39,29.3
2,8812,9.1,0,27,1,94.6,8,32.6
1,18173,17.4,2,25,1,73.5,25,34.4
0,8538,4.8,0,26,2,66.5,33,29.5
2,20330,17.7,2,20,2,83.3,15,37.3
2,15185,10.4,2,28,1,67.7,32,33.5
2,14704,21.0,2,9,2,72.6,-2,40.6
0,12979,6.1,0,30,0,90.8,-20,29.7
0,16300,10.7,0,11,2,88.6,33,36.2
2,7572,14.7,1,10,0,59.0,-17,37.5
0,13081,14.7,2,16,1,85.0,-25,36.6
0,21259,4.7,0,16,1,84.3,2,31.1
3,15282,22.1,0,30,2,61.9,-4,33.5
2,18090,2.1,0,8,1,50.3,-6,35.3
1,13124,14.2,0,23,2,41.0,-1,34.1
1,14647,5.1,2,15,1,64.5,0,30.8
0,21807,21.3,2,23,0,74.4,13,40.3
1,11880,8.2,2,18,1,90.5,-7,31.9
0,13131,19.8,1,1,1,89.9,-4,36.2
2,20445,10.4,1,15,0,66.1,8,36.5
3,24502,16.0,1,7,2,83.5,-24,35.0
0,19818,18.5,1,6,0,67.7,10,35.9
3,5251,6.9,1,27,0,54.9,-7,29.6
2,15664,18.8,2,23,0,57.4,0,40.5
2,20819,3.1,2,8,2,84.3,25,36.1
2,11173,2.7,1,1,2,80.9,26,36.3
2,6265,10.3,1,28,2,78.0,8,36.5
0,15536,6.0,0,9,1,82.9,13,32.2
2,5965,22.2,0,10,1,72.5,37,34.2
2,9182,14.0,1,2,1,86.6,27,37.0
1,11897,18.4,1,11,0,54.5,-12,32.3
3,24879,5.7,2,22,0,60.4,31,27.6
3,13110,19.0,2,5,1,94.3,-10,37.0
3,12992,14.2,1,28,2,81.9,-9,33.9
2,14958,16.9,2,30,1,68.5,23,34.6
1,10831,14.7,1,26,1,80.3,12,33.3
0,15610,8.9,2,5,2,46.7,-18,34.0
3,19037,7.1,1,20,1,75.7,1,28.7
3,22230,16.7,1,19,1,71.2,11,33.0
2,19235,16.7,1,1,0,43.5,-18,36.9
0,8693,4.9,2,28,1,61.0,15,31.5
1,13169,23.6,2,14,1,56.1,5,32.4
1,10034,20.9,1,15,1,65.4,-16,36.1
2,7386,11.1,0,19,2,89.0,-19,35.3
2,21355,8.4,1,18,2,72.5,-11,37.8
2,14751,15.0,1,12,2,65.3,-17,38.1
3,5544,14.9,0,27,0,68.8,28,29.9
0,20390,5.3,0,29,2,51.3,39,34.0
2,23046,23.1,2,30,1,70.6,-13,42.5
2,19279,6.7,2,3,2,92.2,25,38.2
0,20873,3.7,1,10,0,84.6,22,33.6
3,13973,15.2,1,24,0,75.4,4,30.5
2,14522,3.1,0,14,0,93.9,5,34.1
3,15827,4.5,0,20,2,79.3,4,33.4
0,21563,22.1,0,3,0,41.6,32,38.8
0,21783,11.7,0,8,2,63.6,36,38.8
1,19628,13.0,1,24,0,55.2,-22,31.1
0,18656,14.4,1,11,2,44.1,6,37.3
2,24699,5.5,0,23,2,76.4,18,36.6
0,22480,18.0,0,5,0,63.3,-11,34.6
2,7620,8.5,1,3,0,87.0,18,37.9
3,21671,11.9,0,19,1,52.6,18,32.0
1,16375,12.0,1,28,1,57.4,-21,29.5
3,16210,9.0,0,20,2,89.9,-14,33.0
1,8083,17.5,1,26,1,41.7,26,34.5
2,11137,3.0,1,13,1,56.0,1,36.9
3,8971,11.0,1,22,2,61.1,33,31.2
0,12319,22.9,1,17,0,81.4,33,42.4
0,15982,13.0,0,1,0,72.8,38,36.0
2,15642,22.1,1,8,1,90.5,40,38.3
1,24569,19.0,1,25,0,88.1,36,32.4
3,5280,8.5,1,5,2,93.0,27,30.3
0,16689,11.0,2,4,1,61.1,8,34.0
0,21644,15.3,2,4,1,50.9,-3,34.2
0,22082,7.5,0,20,0,50.4,11,33.8
1,8253,20.3,1,19,1,58.5,10,34.3
0,5022,19.5,1,22,1,50.8,3,38.4
3,12119,7.3,2,3,0,60.6,0,32.0
3,15208,20.9,0,24,1,50.0,-23,35.7
0,10371,22.2,2,9,1,41.0,-17,41.0
0,16635,15.6,0,6,0,94.1,21,36.0
3,7457,3.7,2,1,1,57.8,27,31.2
1,11597,23.7,2,19,0,76.2,34,33.7
1,17256,13.1,0,12,0,73.8,-10,31.5
0,14404,4.0,0,24,0,67.4,31,29.2
3,22954,11.5,1,24,0,52.5,-24,32.9
2,22775,4.9,2,17,0,50.9,23,38.4
0,24211,23.2,2,19,1,76.8,39,38.2
1,13819,8.6,2,16,2,40.5,-4,31.1
3,5017,17.8,2,1,2,82.7,-11,35.4
3,16893,22.5,1,19,0,45.3,24,33.4
3,21634,22.2,1,10,2,84.0,5,34.4
0,14008,12.2,1,13,1,82.6,15,34.6
2,10892,2.7,2,13,0,88.6,26,35.6
0,9299,7.5,2,25,0,51.2,-20,31.4
3,9400,7.1,2,14,1,64.7,14,28.3
2,6797,14.3,2,26,1,42.6,33,37.7
0,10038,22.9,2,13,1,72.1,-22,41.2
1,13026,4.4,2,30,2,52.2,5,30.4
0,6911,11.8,0,20,2,55.9,-20,34.9
1,14916,6.6,2,22,2,81.4,7,31.7
1,8421,16.1,0,11,0,59.7,-6,31.1
3,6329,3.2,2,10,2,40.7,29,29.5
2,6058,21.4,0,8,0,80.0,0,29.1
3,21072,10.4,2,10,0,87.0,-3,32.7
2,23914,3.4,0,12,2,68.4,-13,34.1
2,20464,16.6,1,22,1,80.5,35,36.4
3,12882,17.6,0,12,2,54.7,1,36.3
0,23354,3.8,0,4,0,75.9,33,31.8
1,14796,10.5,0,4,2,59.2,-15,33.0
2,17417,10.8,2,18,2,42.4,24,36.8
3,8358,11.8,1,21,0,65.9,37,26.8
1,24452,23.0,2,2,0,66.5,40,33.9
0,23099,12.2,0,29,1,68.0,13,32.5
1,6744,11.4,2,1,2,60.1,8,34.5
3,12599,18.5,0,30,0,89.6,-24,34.4
1,7507,6.6,0,6,0,42.6,-16,26.0
2,10342,8.4,2,2,1,75.8,11,36.2
3,9491,7.1,1,22,2,77.8,6,29.9
2,5480,11.9,2,14,1,91.4,25,38.2
1,16657,21.6,1,28,0,74.5,7,33.2
3,22433,19.9,0,10,0,94.5,37,33.2
0,14201,9.3,0,9,0,50.7,9,32.0
2,22131,23.7,0,20,2,79.6,15,38.5
3,20022,21.9,2,13,1,76.7,-24,39.2
2,15508,22.0,1,9,0,86.2,36,39.1
1,21837,19.3,2,13,1,41.2,32,34.5
0,14788,7.7,0,18,2,51.0,3,33.7
0,8870,6.8,0,5,2,66.7,-21,34.9
0,23097,16.6,1,11,0,86.4,30,33.3
1,13569,23.1,2,1,1,68.7,19,35.4
3,15971,18.7,0,8,2,62.5,8,37.3
2,18626,4.7,1,1,2,90.6,-19,34.8
1,13754,11.8,0,21,1,83.0,-6,30.5
2,14326,14.7,2,15,1,94.4,-12,38.1
1,24121,10.7,1,12,1,75.8,-20,31.4
3,5911,15.8,1,12,0,68.9,23,28.0
1,5531,9.6,0,2,1,52.2,32,30.7
0,6235,21.6,1,12,2,78.4,-9,40.1
3,20323,10.1,1,6,2,71.2,-11,32.7
1,5428,23.1,1,29,2,78.4,-9,39.5
1,11190,15.1,2,25,0,54.0,-11,29.8
2,21945,19.2,2,11,2,80.7,14,36.7
2,12763,16.2,2,6,1,48.7,-12,36.0
2,5894,19.5,0,18,0,47.0,29,36.0
3,24602,14.6,0,10,1,62.3,16,33.5
0,24606,13.8,0,6,2,83.6,-12,37.3
0,24188,11.8,0,28,1,59.6,16,34.3
1,6353,8.6,0,23,2,63.4,0,31.9
0,11310,10.6,0,16,1,56.5,-21,34.7
1,21378,4.9,2,20,2,92.8,-6,33.2
0,10732,15.8,0,9,2,45.4,19,37.2
0,6432,10.4,1,26,0,77.5,-2,35.6
2,7461,9.9,0,19,0,66.3,-20,33.7
1,11736,15.3,0,9,1,58.1,19,31.6
1,12110,11.4,0,7,0,54.1,27,26.8
0,13737,19.0,1,28,1,92.0,4,38.4
3,15322,10.6,2,22,1,75.9,-5,30.1
3,7410,14.8,0,11,0,52.2,19,31.6
1,21191,17.1,1,30,1,86.8,3,33.5
3,24773,11.3,0,6,0,69.9,30,30.9
2,8736,21.9,1,29,1,81.1,15,35.4
2,6128,17.7,2,25,2,41.5,-21,37.7
3,14290,2.2,0,23,1,41.9,39,26.4
3,18280,23.0,1,3,1,74.1,-4,37.9
0,7281,16.9,0,30,1,69.9,38,35.7
3,13122,15.9,1,23,2,94.2,4,34.0
0,16978,21.5,2,17,2,91.6,-16,38.5
3,14724,15.0,0,8,2,66.6,-9,32.9
2,12403,8.9,1,28,2,93.6,1,33.3
2,23135,17.2,0,15,0,42.7,13,35.6
0,15960,16.3,2,11,2,47.5,25,37.5
0,20245,21.3,0,11,0,93.6,-6,38.3
1,16955,5.0,1,28,2,45.2,-21,28.8
2,19689,7.2,1,14,1,64.5,-12,38.2
1,9278,4.7,2,14,0,73.4,-13,29.1
2,15007,6.7,0,6,0,73.7,15,36.7
2,24783,3.6,2,25,0,88.6,10,35.6
0,19520,17.2,2,5,1,61.4,31,37.6
0,19856,3.2,1,15,1,51.3,-11,29.1
0,19830,6.1,0,18,2,77.9,38,34.9
1,8440,14.9,0,7,2,66.4,20,34.9
0,24318,14.3,0,3,1,59.9,16,34.8
2,16768,19.3,1,1,1,62.1,-12,40.1
0,20131,12.0,0,9,0,66.8,21,35.8
1,8230,7.9,1,10,1,73.8,-10,31.5
2,15806,11.2,2,6,2,70.1,24,38.5
1,22800,19.9,2,11,1,53.5,16,35.0
0,7792,15.5,2,1,2,66.2,32,36.3
1,19993,12.4,1,18,2,57.1,32,34.5
2,8088,9.7,2,27,2,91.7,27,33.7
3,10282,9.5,0,19,2,55.8,35,29.3
3,17664,19.6,0,28,1,69.1,0,33.3
1,23877,21.0,2,20,2,63.5,-24,36.8
2,23499,20.1,0,19,0,79.8,-19,37.9
0,11414,10.8,1,16,2,78.7,31,37.0
2,10303,3.7,0,3,1,54.4,6,32.1
1,6924,12.3,1,13,0,77.9,36,30.2
3,12242,21.6,0,4,0,52.7,18,34.6
2,14398,3.2,0,29,2,77.2,3,30.1
3,21739,23.0,2,22,0,69.4,8,31.8
0,12543,19.0,2,22,2,79.9,29,37.8
3,18757,17.2,1,13,0,73.9,-13,33.9
1,20695,16.0,2,17,1,56.4,-14,36.2
1,19547,8.3,1,5,0,56.7,22,29.3
0,24861,18.5,1,28,2,56.8,36,38.6
3,19560,13.6,1,4,0,81.1,9,32.1
2,19922,18.7,2,19,2,55.4,24,39.9
0,19177,21.9,0,15,0,42.1,33,41.5
0,22642,15.2,1,13,0,87.9,-4,36.1
2,7775,15.9,0,15,2,69.0,-15,30.4
2,15738,5.9,2,27,0,61.2,0,36.3
1,10629,14.0,1,22,2,78.7,32,32.6
1,24769,19.7,0,26,2,71.0,-5,36.1
1,12749,7.4,1,7,1,80.4,23,31.1
2,14694,5.2,0,14,1,85.3,-7,35.1
2,19798,9.3,1,25,0,67.7,-8,34.2
0,6055,3.4,0,8,0,87.5,30,32.9
1,16973,20.6,0,26,0,83.1,-17,33.7
3,10014,21.1,1,21,0,57.9,40,30.3
0,8823,20.7,0,7,2,66.5,-15,40.9
2,22730,6.4,1,15,1,49.7,39,37.2
2,19983,6.7,2,17,0,46.0,-23,35.8
3,24876,20.6,2,7,1,94.0,-20,37.2
1,18849,9.6,1,18,1,41.3,0,31.8
0,24165,2.5,0,18,1,63.6,-19,27.4
