age,gender,membership_months,distance_to_club,trainer_exp,num_visits_last_30d,avg_session_duration,group_lesson,calories_burned,high_intensity,early_renewal
42,1,3,5.2,6,2,95.7,0,781,1,0
56,0,6,14.3,97,6,43.1,1,539,0,0
50,0,3,2.3,56,8,78.7,0,522,0,0
18,0,1,0.8,0,6,39.5,0,499,0,0
44,1,13,13.6,102,3,91.5,0,656,1,0
69,0,21,1.5,27,6,82.5,0,557,0,1
30,1,14,14.9,111,5,99.8,1,800,1,0
58,0,13,14.3,2,10,26.8,0,391,0,0
20,0,4,2.5,0,13,41.0,1,568,0,0
56,1,7,8.3,61,4,35.4,0,408,0,0
23,1,22,3.2,70,7,39.1,1,414,0,1
25,0,10,6.7,16,7,30.3,1,439,0,0
44,1,7,1.4,70,2,76.2,0,663,1,0
26,1,21,3.7,10,3,79.3,0,584,1,1
54,1,15,5.8,0,3,104.3,1,622,1,0
50,0,15,6.9,60,0,61.8,0,551,0,0
68,1,4,14.7,113,3,73.2,1,518,1,0
59,1,23,12.2,37,7,119.1,1,800,1,1
61,1,23,11.2,0,7,73.2,0,527,0,0
41,0,6,8.3,51,3,77.4,1,644,1,0
32,0,24,12.7,61,4,119.6,0,694,1,1
49,0,20,5.4,0,11,119.4,0,797,1,1
49,1,5,10.8,20,5,62.4,0,560,0,0
41,0,20,14.9,69,10,83.5,0,673,1,1
58,1,12,5.1,0,2,68.1,1,615,0,0
69,1,1,10.3,0,9,92.1,0,556,0,0
66,0,8,12.7,112,7,113.8,1,800,1,0
66,1,1,13.8,0,6,51.0,1,400,0,0
69,0,5,10.9,0,10,101.9,0,546,0,0
29,1,22,4.6,0,4,85.5,0,755,1,0
56,0,6,5.2,119,13,48.0,1,557,0,0
19,1,21,0.8,0,5,99.7,1,800,1,1
20,1,3,11.5,0,4,62.7,0,525,0,0
66,1,15,1.1,58,5,32.0,1,461,0,0
54,1,5,13.0,19,10,119.3,0,800,1,0
66,1,24,2.2,4,7,62.6,0,554,0,1
34,1,14,3.0,0,3,74.2,1,552,1,0
66,1,18,7.4,0,7,100.8,0,609,1,0
19,1,16,11.2,110,10,116.1,0,800,1,0
19,0,6,2.5,65,6,107.3,1,693,1,0
45,1,24,6.9,19,9,72.5,1,564,1,1
40,1,14,7.5,0,8,74.6,1,637,1,0
54,1,24,3.6,4,8,48.1,0,498,0,1
49,0,8,2.2,111,9,66.3,0,595,0,0
50,1,7,12.6,62,6,114.7,0,754,1,0
18,0,8,7.8,0,7,92.7,1,637,1,0
36,1,13,0.7,0,4,21.2,1,422,0,0
19,0,6,12.1,41,10,31.7,1,400,0,0
70,1,18,14.7,49,3,112.4,1,732,1,0
61,1,2,9.3,0,3,104.9,0,636,1,0
43,0,8,7.8,48,8,68.6,0,560,0,0
49,1,11,13.2,0,8,81.7,0,713,0,0
23,0,1,14.3,0,8,49.0,1,409,0,0
49,1,22,11.4,72,5,99.3,0,779,1,1
21,1,6,7.0,40,4,80.3,0,710,1,0
28,1,16,9.1,84,4,89.5,0,776,1,0
34,1,20,10.7,43,7,57.5,1,764,1,0
55,1,12,3.3,0,6,63.0,1,632,0,0
41,0,11,7.0,0,6,40.8,0,472,0,0
22,0,10,12.5,112,6,114.8,1,707,1,0
69,1,3,10.0,41,5,114.7,0,682,1,0
51,1,13,6.5,99,4,101.8,0,735,1,0
23,1,3,10.1,0,4,113.6,0,640,1,0
39,1,15,2.2,81,7,86.5,1,740,1,1
28,0,16,6.3,0,7,43.5,0,307,0,0
65,1,13,12.0,100,6,96.0,0,746,1,0
33,0,17,3.7,44,5,52.5,0,487,0,0
50,1,3,3.2,0,5,64.0,0,528,0,0
26,0,20,14.3,0,8,47.4,0,415,0,0
23,0,11,3.5,112,5,62.4,0,439,0,0
33,0,21,4.3,0,1,87.9,1,697,1,0
46,0,19,14.6,10,2,31.1,1,511,0,0
20,1,22,11.2,2,7,30.5,0,447,0,0
37,0,11,10.6,0,11,88.4,1,667,1,0
53,0,16,12.9,101,9,98.0,1,682,1,0
36,0,21,2.2,47,9,75.1,1,630,1,1
43,0,3,10.7,44,6,38.2,0,494,0,0
20,0,22,7.8,15,2,63.1,0,592,0,1
36,0,6,12.5,96,6,95.8,1,787,1,0
37,1,14,7.9,119,10,88.6,1,728,1,1
49,1,24,9.5,17,6,31.0,0,440,0,1
24,1,18,7.4,24,8,116.9,0,745,1,1
69,0,17,7.4,0,8,42.3,1,395,0,0
58,0,4,11.6,91,8,42.0,0,497,0,0
50,1,23,9.6,60,8,66.0,0,480,0,1
57,1,15,9.7,20,3,52.7,0,579,0,0
56,0,11,7.0,59,1,118.4,0,728,1,0
35,0,3,8.2,0,7,27.6,0,320,0,0
57,0,3,11.3,0,6,50.6,0,370,0,0
18,0,16,12.5,21,6,58.3,0,581,0,0
28,0,5,10.6,0,4,69.3,0,538,0,0
45,1,21,13.9,48,12,21.6,0,504,0,0
42,1,10,12.4,14,6,28.2,0,355,0,0
67,1,19,8.6,37,6,45.8,0,446,0,0
40,1,4,10.2,0,7,75.4,0,571,0,0
48,1,19,13.9,82,6,96.8,0,651,1,0
47,1,11,9.5,80,5,88.6,0,679,1,0
59,1,2,12.5,40,3,76.7,0,622,0,0
52,0,10,10.5,65,8,59.7,1,567,0,0
24,0,11,8.5,19,8,107.1,0,800,1,0
33,0,20,4.0,38,5,66.0,1,515,1,1
43,1,16,6.7,0,4,49.9,0,506,0,0
65,1,19,14.5,110,6,82.9,1,626,1,0
69,0,23,10.0,79,6,89.2,0,640,0,1
66,1,24,8.7,0,12,59.8,0,529,0,0
19,0,11,14.0,54,5,22.8,0,334,0,0
18,1,14,9.0,39,0,29.4,1,435,0,0
65,0,2,8.1,71,6,104.6,0,730,1,0
29,0,23,11.5,0,4,25.7,1,388,0,0
22,1,5,10.8,6,4,79.2,0,634,1,0
54,0,5,3.3,10,2,38.4,1,498,0,0
49,0,19,7.3,113,11,42.9,1,533,0,1
26,0,21,7.4,52,3,47.3,1,484,0,0
58,1,12,6.0,0,4,23.8,1,332,0,0
52,1,18,8.0,0,9,37.7,0,354,0,0
36,0,4,6.5,17,2,85.0,0,646,1,0
65,1,22,3.4,118,7,69.9,0,488,0,1
33,1,17,6.5,0,10,99.7,0,687,1,0
20,0,10,1.5,93,6,26.1,0,487,0,0
37,0,20,8.8,43,6,108.9,0,716,1,1
41,0,6,12.9,114,6,119.6,1,759,1,0
50,0,14,11.0,0,7,21.6,0,441,0,0
41,1,11,5.7,25,3,116.8,0,800,1,0
69,0,11,1.8,36,4,43.6,0,389,0,0
28,1,18,3.4,64,8,89.3,1,724,1,1
66,1,23,8.4,0,4,49.2,0,477,0,0
25,0,22,3.5,0,7,72.2,0,570,0,1
53,1,18,8.4,114,6,71.0,1,732,1,1
55,0,24,3.9,20,4,56.1,0,508,0,1
57,1,23,12.8,77,3,91.8,1,721,1,1
37,1,11,6.3,57,8,80.0,1,720,1,0
52,1,21,4.1,87,8,70.8,0,670,0,1
65,1,12,12.3,0,4,118.3,1,800,1,0
42,0,5,5.5,10,3,114.0,1,796,1,0
52,1,23,2.1,42,6,115.5,0,678,1,1
42,1,9,8.8,0,9,108.1,0,678,1,0
46,1,9,8.9,0,8,45.5,0,511,0,0
35,1,22,10.9,3,9,55.0,1,590,1,0
63,1,10,4.0,75,5,43.1,0,533,0,0
35,0,22,6.9,49,5,118.6,1,800,1,1
19,0,19,4.6,36,6,35.3,0,375,0,0
52,1,1,1.7,0,4,56.7,1,588,0,0
33,0,7,13.2,0,4,39.9,1,416,0,0
58,1,4,11.1,51,4,42.3,0,535,0,0
53,1,1,4.9,43,3,44.7,0,481,0,0
50,0,15,9.2,0,1,84.0,1,734,1,0
21,0,8,3.4,3,4,27.6,0,425,0,0
50,1,12,13.4,41,5,77.3,1,603,1,0
31,0,22,2.2,44,8,101.9,0,722,1,1
38,1,22,0.6,0,8,96.7,1,704,1,1
65,0,18,7.8,0,7,35.1,1,460,0,0
37,1,15,9.0,82,4,111.5,0,786,1,0
25,0,17,8.9,112,3,97.0,1,800,1,0
24,1,14,1.3,85,7,20.5,0,413,0,0
20,0,14,5.1,26,3,93.7,1,697,1,0
34,1,18,7.7,109,8,93.7,0,668,1,1
50,0,20,3.6,0,3,69.7,0,534,0,0
65,1,18,13.2,116,7,24.6,1,431,0,0
29,1,16,1.8,36,8,78.0,1,691,1,1
68,0,1,7.6,0,7,96.6,0,612,0,0
39,0,23,10.5,87,7,47.1,1,478,0,1
39,0,11,4.3,85,5,86.7,1,618,1,0
63,1,15,9.6,41,7,55.4,1,532,0,0
47,1,12,12.5,0,5,77.4,0,648,0,0
55,1,8,3.3,108,4,58.5,0,631,0,0
55,0,22,13.8,113,4,50.4,0,476,0,0
62,0,20,8.5,16,5,105.6,1,654,1,1
68,1,6,4.8,113,5,95.4,0,674,1,0
25,1,3,6.7,110,7,54.5,1,703,1,0
44,1,24,5.0,120,7,63.5,1,652,1,1
44,0,13,11.0,12,11,89.2,0,686,1,0
51,1,13,12.0,34,7,101.1,0,777,1,0
38,0,2,12.6,0,6,88.4,0,696,0,0
47,0,5,14.8,0,8,74.1,1,503,1,0
50,1,17,12.0,105,8,115.4,0,740,1,0
45,1,6,9.2,75,6,97.4,1,701,1,0
64,1,2,5.4,0,3,31.6,0,422,0,0
50,0,4,8.4,0,4,75.8,1,589,0,0
22,0,22,1.1,17,5,61.0,0,602,0,1
65,1,11,11.3,0,5,99.5,0,634,1,0
36,1,8,7.0,42,2,24.5,0,496,0,0
21,0,12,0.8,92,10,61.1,1,570,1,1
52,0,8,1.4,83,5,51.8,0,528,0,0
66,0,11,6.1,92,10,34.1,1,495,0,0
34,1,22,9.0,71,5,57.9,0,621,0,0
61,0,20,7.2,52,1,87.3,1,679,1,1
45,0,8,9.5,42,8,56.2,1,584,0,0
47,0,8,7.5,30,5,78.0,1,737,1,0
46,0,17,10.1,8,11,79.3,0,639,1,1
63,0,20,3.7,65,6,78.7,0,538,0,1
70,1,20,2.1,111,8,73.0,1,638,1,1
23,0,23,9.1,94,3,31.7,0,432,0,0
52,1,16,7.5,0,4,41.8,1,328,0,0
58,0,14,0.9,106,3,100.0,1,731,1,1
54,1,11,6.0,68,3,70.2,0,591,0,0
41,1,7,2.0,91,6,90.6,0,757,1,0
46,1,16,8.2,93,9,77.0,0,575,1,1
66,1,13,6.2,22,5,23.9,0,314,0,0
63,0,15,9.4,52,4,99.6,1,711,1,0
70,0,24,12.2,95,4,26.4,1,425,0,0
48,1,16,4.8,0,6,114.3,0,741,1,0
52,1,21,14.5,46,4,41.5,1,495,0,0
50,1,23,8.3,0,6,71.2,0,502,0,0
69,1,24,9.5,69,9,26.4,0,400,0,1
38,1,9,10.4,83,3,109.5,0,733,1,0
49,0,3,10.2,49,5,118.0,1,800,1,0
40,0,19,7.9,82,11,34.6,1,485,0,1
50,1,20,6.7,0,8,49.6,0,448,0,0
20,1,5,1.3,94,10,21.6,0,534,0,0
35,0,10,0.8,0,3,98.7,0,635,1,0
42,1,17,5.7,83,3,51.1,1,575,0,0
59,0,15,5.3,0,7,78.9,0,551,0,0
48,1,23,6.1,64,4,23.9,0,512,0,1
20,0,8,2.5,35,3,91.5,1,694,1,0
57,0,15,11.2,4,4,72.9,0,568,0,0
63,1,21,12.9,56,6,92.5,0,660,1,1
41,0,14,14.1,71,4,99.0,0,708,1,0
67,1,20,7.6,78,9,28.9,1,519,0,1
49,1,7,10.7,17,5,77.8,1,705,1,0
64,1,21,12.9,85,6,85.0,0,651,1,1
39,0,23,6.6,106,5,71.7,0,674,0,1
40,0,12,5.0,3,4,38.2,0,489,0,0
19,0,17,14.1,85,5,99.6,0,678,1,0
44,1,17,8.0,0,5,119.7,0,678,1,0
59,1,10,7.7,0,6,116.9,0,712,1,0
19,1,19,3.1,0,4,97.8,0,714,1,0
43,1,14,2.1,112,7,61.8,1,621,1,1
34,1,11,12.7,72,5,53.7,0,620,0,0
57,1,2,9.4,0,5,26.9,1,338,0,0
50,0,18,5.2,0,6,61.6,0,452,0,0
26,1,7,3.3,0,9,35.6,0,357,0,0
60,0,12,8.6,0,3,45.4,0,336,0,0
65,1,2,9.0,43,6,109.2,0,698,1,0
56,1,20,3.5,39,7,116.9,1,800,1,1
46,1,18,12.8,110,5,114.9,1,800,1,0
59,0,6,1.7,65,10,39.3,0,370,0,0
43,0,24,5.7,79,8,110.1,1,700,1,1
52,0,10,10.4,0,4,34.2,1,292,0,0
67,0,20,4.5,10,6,70.8,0,570,0,1
42,0,15,12.5,117,10,84.4,0,583,1,0
41,1,5,11.2,0,7,66.2,0,643,0,0
30,1,20,11.9,15,2,115.2,1,800,1,0
24,0,3,2.2,95,5,53.3,0,515,0,0
53,0,5,2.5,89,5,72.7,0,530,0,0
62,0,8,4.7,119,3,27.5,0,299,0,0
37,1,8,8.0,0,5,105.2,0,631,1,0
18,1,8,11.3,26,4,61.3,1,566,1,0
25,1,12,12.6,0,8,90.1,0,614,1,0
63,1,24,10.7,0,9,88.2,0,560,0,0
33,1,23,14.0,60,8,87.6,1,731,1,1
31,1,8,11.2,0,5,70.7,0,601,0,0
29,0,11,4.9,0,7,47.8,0,415,0,0
68,1,14,4.3,18,7,82.5,1,774,1,1
40,0,8,10.6,0,7,116.2,1,640,1,0
32,1,24,3.3,110,9,103.4,0,745,1,1
45,0,10,1.8,0,6,30.9,0,367,0,0
51,1,7,8.2,0,5,22.3,1,345,0,0
19,1,17,12.4,0,9,69.9,1,551,1,0
49,1,4,2.0,1,6,97.6,1,724,1,0
40,1,13,12.0,105,5,51.4,1,542,1,0
39,0,4,12.3,0,10,90.1,0,597,1,0
68,0,5,7.5,71,7,113.2,1,670,1,0
42,0,22,1.3,68,4,65.9,0,462,0,1
39,0,4,3.0,0,8,44.4,1,437,0,0
39,1,18,10.8,101,9,111.8,1,772,1,1
66,0,6,10.8,38,4,67.2,0,537,0,0
69,1,24,13.5,0,6,60.8,0,489,0,0
59,1,24,8.9,0,4,55.3,0,464,0,0
23,1,23,2.3,63,8,62.3,0,572,1,1
32,0,22,2.3,10,5,87.4,0,594,1,1
60,1,2,11.0,0,2,63.4,1,640,0,0
54,1,23,3.2,0,8,52.4,0,421,0,0
50,1,11,5.3,0,7,94.4,0,625,1,0
25,1,14,7.6,45,9,40.3,1,481,0,0
70,1,5,0.9,71,6,40.2,0,416,0,0
61,0,6,4.1,21,3,89.6,1,668,1,0
61,1,10,6.4,69,9,106.7,0,715,1,0
22,0,8,4.6,104,6,44.1,0,450,0,0
56,0,14,2.5,9,6,39.1,0,415,0,0
21,0,24,11.1,76,5,87.0,1,641,1,1
23,0,3,12.3,0,6,82.1,0,613,1,0
62,0,12,4.2,24,6,64.7,0,651,0,0
49,0,16,11.7,54,8,29.6,0,351,0,0
69,1,23,6.1,49,7,29.2,1,461,0,1
47,1,17,7.8,0,4,97.7,0,670,1,0
64,1,1,12.9,84,6,65.2,1,627,1,0
52,0,23,11.4,10,3,105.8,1,769,1,1
57,0,10,12.2,0,7,77.5,0,570,0,0
69,1,23,2.5,94,6,81.9,0,626,0,1
33,0,10,1.5,15,4,113.4,0,726,1,0
30,0,21,13.5,78,7,36.5,0,403,0,0
67,1,24,6.1,0,2,74.3,1,570,0,0
59,0,2,4.7,39,6,25.8,0,305,0,0
47,1,9,11.0,0,5,55.9,0,471,0,0
36,1,22,12.6,16,6,34.8,0,538,0,0
34,0,13,13.0,30,13,38.8,0,446,0,0
36,0,16,5.1,70,5,113.5,0,800,1,1
45,1,18,12.9,10,8,81.1,1,749,1,0
43,0,19,1.1,42,10,109.2,0,704,1,1
54,0,12,1.2,41,3,64.4,0,545,0,0
43,1,8,9.5,0,2,79.8,0,581,0,0
70,0,17,1.4,73,6,23.2,0,317,0,0
40,1,15,5.2,85,11,67.0,0,525,1,1
26,1,10,10.3,0,9,76.4,1,670,1,0
29,0,15,5.4,0,9,21.7,0,353,0,0
70,0,15,3.1,19,6,98.9,1,800,1,1
18,0,23,4.6,0,5,49.5,1,547,0,0
18,0,7,7.1,0,10,65.2,0,486,0,0
64,0,13,7.4,36,5,73.6,1,641,1,0
51,1,17,11.9,48,14,119.2,0,772,1,1
49,0,9,11.4,0,11,29.9,0,445,0,0
65,1,8,7.1,4,4,75.5,0,566,0,0
42,1,20,12.8,15,2,73.1,1,563,1,0
57,1,21,2.2,10,9,26.9,0,366,0,1
62,1,18,4.2,0,5,83.4,1,581,1,0
70,0,13,12.5,0,9,48.7,0,375,0,0
18,1,16,6.0,57,6,30.4,0,421,0,0
33,1,9,14.7,88,3,37.9,0,520,0,0
56,0,12,7.3,47,5,102.4,1,800,1,0
22,0,12,12.0,97,10,30.4,0,337,0,0
39,1,6,6.3,0,8,66.7,0,627,0,0
46,0,19,6.7,0,3,39.5,0,370,0,0
20,0,7,6.1,13,2,36.2,0,466,0,0
29,0,3,10.9,0,4,40.6,0,324,0,0
43,0,16,8.4,34,3,69.3,0,597,0,0
33,1,18,14.2,93,8,43.8,0,379,0,0
68,1,16,4.1,81,6,29.7,0,444,0,0
54,1,23,2.0,0,6,100.1,0,680,1,1
39,0,7,6.2,41,4,74.0,1,626,1,0
46,0,4,9.4,109,5,35.7,0,392,0,0
31,1,8,13.0,23,8,67.1,0,619,1,0
45,0,13,5.5,3,5,26.8,1,437,0,0
22,0,13,10.0,92,6,78.0,0,606,1,0
64,1,17,5.6,0,9,54.0,1,534,0,0
66,0,17,9.4,0,4,30.4,0,347,0,0
47,1,5,13.3,18,4,38.4,1,531,0,0
63,0,6,3.9,49,6,54.6,1,505,0,0
69,0,19,6.4,0,8,100.6,1,677,1,0
