order_id,region,distance_km,weight_kg,delivery_time_days,estimated_time_days,delivery_cost,courier_id
513,South,213.4,1.61,2.9,2,380.49,107.0
497,South,132.2,3.47,,7,271.68,104.0
524,West,519.6,4.98,22.0,6,851.32,
300,Center,118.4,0.4,3.2,6,257.23,117.0
874,East,256.0,0.5,1.4,4,779.02,170.0
440,South,117.3,1.2,,5,675.94,106.0
431,North,62.5,10.51,15.7,6,822.21,
194,Center,19.2,0.93,3.1,2,967.19,121.0
942,West,121.6,1.5,2.4,3,487.17,118.0
795,Center,386.3,0.63,8.5,6,457.11,133.0
748,West,90.9,5.55,1.9,6,349.34,111.0
109,South,439.2,2.89,,6,614.23,176.0
438,East,54.4,0.93,9.1,3,697.9,
918,Center,205.8,0.1,4.1,6,161.13,190.0
595,West,112.8,7.55,4.2,8,586.26,164.0
941,North,103.7,4.94,1.3,8,183.18,140.0
603,West,13.6,6.39,0.9,2,336.75,193.0
710,South,157.1,20.25,,2,572.99,171.0
772,East,145.8,1.02,1.3,8,443.14,171.0
630,Center,150.8,3.46,3.1,8,552.51,108.0
66,North,45.1,7.41,2.5,6,954.25,133.0
970,West,102.8,6.84,1.3,5,932.24,183.0
735,North,105.6,2.49,5.4,5,426.01,176.0
417,South,119.2,1.84,29.1,4,375.94,
328,North,207.5,9.2,5.1,5,330.44,101.0
853,South,323.1,8.33,20.0,8,466.62,196.0
910,North,109.6,0.69,1.1,7,305.59,158.0
139,Center,0.4,8.3,1.9,8,902.83,163.0
166,South,89.8,18.13,,2,515.03,171.0
586,South,51.4,18.32,15.2,6,938.27,128.0
639,Center,66.8,4.37,1.4,7,819.99,172.0
631,Center,102.5,1.59,14.4,6,659.08,
636,Center,324.9,6.7,0.8,5,256.7,132.0
877,North,143.3,1.96,3.1,6,880.88,109.0
647,North,0.8,0.17,1.9,2,403.01,191.0
627,North,279.1,4.33,3.4,4,198.34,185.0
961,Center,7.4,1.79,2.5,7,187.93,129.0
217,East,218.4,0.66,3.3,5,962.18,147.0
972,East,263.9,0.05,2.8,2,428.5,133.0
412,North,88.2,8.99,1.1,3,914.19,137.0
569,West,291.5,2.13,6.1,9,782.27,167.0
742,Center,1263.4,9.68,16.1,7,837.22,
888,South,0.9,1.18,5.8,3,736.02,103.0
887,Center,154.3,5.22,12.5,5,695.96,
199,Center,24.6,4.95,9.8,9,768.97,
246,East,242.9,4.98,7.6,2,900.0,114.0
625,South,60.5,13.26,,3,891.71,171.0
405,East,802.3,27.99,7.6,9,670.36,
564,West,44.8,16.3,3.3,3,963.8,153.0
193,East,2.1,3.83,0.9,3,969.39,129.0
360,Center,74.5,5.82,8.0,9,703.86,
808,West,337.0,4.28,4.2,4,780.46,147.0
727,Center,160.7,1.7,3.0,9,672.29,106.0
815,North,61.3,4.58,7.3,2,896.61,
814,South,33.0,1.77,,7,878.29,148.0
149,South,60.9,,,3,184.11,165.0
938,West,236.8,4.69,10.4,3,408.58,
170,Center,9.7,1.47,4.3,7,251.55,107.0
882,Center,168.5,2.16,10.6,3,166.96,
709,Center,718.9,10.08,13.5,3,876.75,
873,North,66.2,4.95,4.5,9,486.39,187.0
356,South,46.7,2.84,,3,127.99,159.0
898,West,19.5,5.91,5.6,2,138.23,111.0
469,Center,225.5,13.37,7.2,6,858.23,155.0
552,West,341.4,7.38,10.3,5,396.97,116.0
580,East,14.4,10.72,5.8,8,604.86,199.0
248,West,199.5,2.34,4.8,8,679.2,126.0
628,East,3.6,4.05,1.9,7,954.04,125.0
277,North,97.7,1.04,1.8,7,260.64,161.0
203,North,223.6,20.38,9.2,2,497.66,
187,East,50.0,0.11,1.5,2,299.27,112.0
301,North,118.7,5.68,1.0,7,392.86,142.0
831,North,551.9,6.58,2.6,3,277.13,164.0
619,East,355.1,21.46,3.3,9,200.47,164.0
252,South,2.7,6.26,,9,879.52,166.0
694,South,1660.1,12.72,,5,429.7,122.0
979,North,121.1,10.37,1.4,9,813.62,183.0
290,Center,348.9,0.69,13.8,9,663.34,
488,North,82.0,2.71,11.6,9,602.11,166.0
721,South,34.1,6.92,,6,930.41,151.0
444,East,148.6,15.25,4.0,3,716.03,172.0
244,East,93.0,16.94,14.2,4,681.63,100.0
143,South,19.7,3.13,3.8,5,699.26,194.0
546,North,160.0,,4.7,8,171.65,169.0
911,West,235.1,0.13,16.5,9,480.73,
499,Center,59.9,3.78,2.0,5,737.21,156.0
778,Center,78.1,0.18,8.4,3,251.67,
40,East,498.0,,3.8,9,678.71,112.0
840,South,132.1,3.3,,2,791.27,168.0
939,Center,34.8,4.1,4.1,8,795.98,194.0
201,East,7.6,1.47,4.3,2,155.05,164.0
200,Center,98.4,2.51,3.1,5,295.25,104.0
288,East,201.8,2.15,10.3,4,302.91,
771,West,12.4,13.27,1.5,5,326.93,108.0
216,North,222.3,0.67,6.6,3,582.97,117.0
247,North,4.4,1.73,9.7,2,677.44,
737,West,26.7,15.47,3.2,9,935.92,168.0
24,East,17.1,4.23,2.6,2,812.95,124.0
2,West,327.4,3.04,3.3,2,492.26,157.0
22,South,419.6,12.7,4.7,6,701.18,198.0
446,East,187.1,3.53,8.3,7,736.19,
82,West,240.4,1.1,3.7,4,455.31,154.0
914,South,107.0,13.73,,8,759.49,114.0
254,Center,183.8,2.57,8.8,2,954.08,
541,West,479.5,,1.1,4,339.85,156.0
863,South,151.5,3.2,15.9,4,632.49,
729,North,64.2,1.69,11.7,9,215.65,100.0
960,West,4.3,2.57,4.0,9,335.01,166.0
137,West,44.4,7.08,10.1,7,569.64,
352,South,4.8,3.42,,5,368.54,194.0
676,North,0.8,0.99,3.9,5,572.13,126.0
380,Center,192.4,9.26,11.6,9,459.85,
666,East,435.8,2.62,3.1,7,371.44,187.0
730,East,102.2,1.74,2.5,6,178.96,162.0
297,Center,2.0,0.07,2.6,4,435.08,198.0
105,West,136.0,6.68,6.6,9,460.21,151.0
870,South,159.4,1.89,11.9,7,898.14,186.0
974,North,0.6,8.62,4.4,4,958.72,155.0
900,North,437.0,8.76,2.5,6,445.7,149.0
410,South,242.4,,5.1,6,651.45,107.0
538,South,191.5,9.49,6.2,3,622.47,189.0
798,West,234.1,9.06,3.6,6,204.26,165.0
579,North,590.8,9.1,3.9,7,522.83,106.0
655,West,82.9,0.48,8.4,7,415.09,
93,West,103.4,3.52,7.5,6,470.4,168.0
540,Center,99.0,10.9,1.7,6,361.78,193.0
759,North,329.6,3.08,9.8,6,791.28,
4,North,11.4,2.59,3.3,9,464.64,143.0
717,South,328.7,9.76,,5,339.22,152.0
279,East,109.5,0.42,0.1,6,142.85,151.0
318,South,186.5,2.75,0.6,2,765.56,161.0
147,Center,448.9,10.4,3.6,8,858.21,173.0
131,East,3.2,3.19,1.7,7,182.89,190.0
577,West,159.4,3.75,3.2,7,427.86,135.0
21,North,234.0,0.3,3.0,8,820.32,178.0
287,West,223.0,8.85,3.5,5,622.3,199.0
827,Center,15.6,0.49,1.1,9,443.9,147.0
495,Center,277.5,0.56,6.0,7,221.71,140.0
397,South,19.9,3.07,,5,492.65,198.0
909,North,409.1,11.41,4.5,3,693.77,195.0
858,Center,523.5,2.83,1.9,7,891.04,192.0
368,East,82.0,5.29,12.9,7,966.48,100.0
596,West,44.1,0.1,5.9,5,300.68,164.0
835,North,215.4,4.23,4.4,7,445.55,118.0
42,South,124.2,9.11,,2,973.88,138.0
568,North,302.4,6.54,3.3,3,475.73,159.0
71,North,184.7,7.25,5.3,5,415.06,161.0
327,South,234.3,7.52,4.3,2,493.74,123.0
494,East,272.2,4.63,35.3,9,490.8,
154,Center,311.1,2.73,1.9,6,476.2,150.0
219,Center,361.0,0.15,3.5,6,109.94,100.0
829,East,385.5,4.15,2.6,2,162.81,180.0
949,West,234.3,0.54,3.2,6,319.01,171.0
793,North,141.7,0.17,6.5,8,773.33,179.0
232,West,21.6,13.13,6.0,8,520.13,105.0
80,East,193.8,,7.7,4,847.93,
471,Center,261.7,6.43,0.8,5,752.01,147.0
934,East,92.1,5.39,9.6,8,490.66,124.0
989,North,539.9,0.54,0.6,3,753.94,101.0
590,Center,137.6,7.05,11.6,4,863.72,
123,East,169.6,3.04,9.4,3,591.87,
545,South,118.2,1.82,,3,725.31,188.0
551,North,59.8,9.41,0.5,8,504.08,166.0
570,East,720.1,5.71,6.0,6,453.91,177.0
485,South,195.3,1.73,,3,777.22,157.0
17,North,301.4,0.1,1.1,6,372.47,133.0
231,South,30.5,9.71,,4,567.5,174.0
578,Center,531.3,10.87,7.9,2,307.5,
342,North,378.2,0.69,9.2,8,484.44,181.0
769,Center,275.4,4.07,10.6,2,710.52,
493,South,55.1,14.22,,2,158.62,132.0
920,Center,69.2,12.32,5.9,5,997.48,155.0
325,North,22.5,5.76,7.7,9,989.18,
930,South,128.0,3.3,,7,732.07,135.0
732,North,566.8,9.57,2.5,4,869.96,138.0
265,South,231.0,10.11,,2,175.86,102.0
408,West,592.1,0.2,7.9,2,653.61,
345,West,116.1,1.79,0.5,4,726.89,168.0
355,North,275.7,0.47,7.2,7,602.55,
706,North,182.4,0.42,16.1,5,559.06,
294,West,62.5,7.51,0.9,4,404.87,168.0
668,North,273.9,0.58,0.5,3,138.7,123.0
733,North,395.9,3.47,3.0,7,847.94,118.0
161,North,62.4,0.55,10.7,8,971.59,183.0
712,East,146.8,7.75,0.6,4,965.32,163.0
411,East,382.1,10.14,6.6,6,303.02,196.0
381,South,219.2,3.67,5.6,9,130.64,149.0
341,South,164.9,8.37,12.5,8,357.33,134.0
38,South,256.6,3.01,,9,154.2,123.0
427,Center,89.2,6.46,7.8,3,366.04,
673,East,159.6,6.15,2.8,7,857.77,146.0
913,South,380.0,4.63,0.4,2,703.18,196.0
684,North,116.6,4.34,6.0,2,176.18,107.0
7,South,545.3,1.67,,7,780.33,167.0
41,Center,175.1,1.93,2.8,9,518.61,143.0
796,Center,113.1,5.19,4.1,9,474.45,114.0
101,West,45.3,3.55,5.3,5,327.53,175.0
163,South,166.8,0.53,,6,333.3,184.0
241,North,69.6,11.31,1.1,7,203.35,130.0
548,West,47.7,1.87,9.6,8,630.44,
689,South,384.1,22.9,,3,269.33,129.0
621,Center,187.0,13.61,2.5,5,727.29,117.0
766,East,322.0,15.31,15.0,9,121.76,
904,North,94.0,1.4,4.3,6,733.96,178.0
765,South,331.5,4.99,,2,897.93,107.0
312,North,200.0,9.68,6.4,5,850.94,150.0
113,Center,167.2,7.06,4.3,9,720.06,181.0
652,North,62.2,,1.8,6,185.73,105.0
997,South,72.1,6.12,1.5,4,239.11,144.0
633,South,229.0,4.85,,9,938.02,162.0
681,North,246.7,4.15,2.8,3,401.97,167.0
838,West,360.2,0.39,5.4,7,221.19,118.0
96,Center,223.3,5.33,4.5,4,102.4,141.0
253,East,90.2,3.27,27.5,6,768.18,129.0
522,South,12.4,13.48,11.4,2,973.5,101.0
848,East,198.2,,2.9,3,839.93,175.0
243,Center,242.2,2.15,0.9,5,431.44,187.0
740,West,60.2,1.14,5.3,2,729.6,164.0
797,North,97.6,1.44,5.1,5,255.08,105.0
433,East,362.5,15.83,9.1,7,367.59,
965,South,51.8,1.15,10.4,5,574.07,125.0
74,South,177.4,0.95,6.5,3,268.44,193.0
905,North,142.2,7.2,3.2,8,740.97,137.0
334,West,358.2,2.14,8.8,8,347.55,
467,West,127.6,5.36,2.6,2,203.88,149.0
609,South,317.9,1.9,0.1,2,616.23,188.0
188,Center,261.3,4.58,4.9,4,173.68,106.0
615,East,65.5,7.24,5.9,9,222.96,151.0
525,East,139.9,,1.8,2,148.01,150.0
752,South,633.6,1.42,8.1,7,353.42,
227,South,142.2,0.55,,9,468.9,162.0
739,North,233.2,13.59,12.2,6,458.57,
490,West,775.2,16.26,8.6,8,225.15,
984,South,397.5,3.81,,9,531.53,142.0
44,South,230.0,1.61,6.3,5,109.07,150.0
336,Center,209.2,0.42,6.0,8,364.5,145.0
358,South,42.0,3.63,3.9,5,516.48,100.0
313,Center,140.0,3.61,1.6,6,416.47,108.0
573,East,84.8,2.61,3.6,8,349.79,160.0
864,West,20.8,5.16,6.9,3,379.45,158.0
51,Center,146.5,3.33,11.3,4,330.38,145.0
527,North,487.5,6.37,5.1,2,666.56,106.0
903,West,69.3,41.3,12.3,8,977.76,
813,Center,73.2,20.82,7.6,3,357.1,
598,West,105.1,4.21,0.9,8,989.19,129.0
264,East,17.6,1.93,3.1,3,284.01,177.0
224,Center,378.7,24.53,2.8,5,417.72,113.0
616,Center,207.9,0.96,7.9,2,412.87,
881,Center,10.1,0.6,1.2,3,565.56,146.0
550,North,128.8,9.18,12.2,6,432.94,
998,East,126.1,12.13,5.9,7,897.8,150.0
86,South,127.5,5.34,,5,440.96,188.0
675,South,128.5,8.21,,2,784.95,197.0
255,West,377.6,0.82,23.2,7,946.11,
344,East,502.0,5.85,8.9,5,544.22,
574,East,272.0,0.6,4.0,9,570.14,116.0
434,East,35.7,10.76,14.6,5,152.71,
371,West,262.0,3.74,7.6,2,636.11,
872,Center,96.3,0.56,5.1,4,133.02,123.0
413,West,60.6,8.95,12.2,5,527.58,161.0
597,Center,115.3,11.06,3.1,5,466.43,120.0
847,Center,391.6,7.61,0.8,4,274.04,162.0
885,North,73.0,,8.2,4,675.48,105.0
682,North,39.2,3.63,1.1,7,403.65,104.0
484,West,250.7,8.88,0.2,8,273.14,152.0
367,West,29.5,1.04,2.0,8,385.64,161.0
145,South,188.8,6.63,,4,735.59,148.0
390,North,31.1,7.39,13.5,6,893.39,
626,West,417.1,0.95,2.3,3,419.74,121.0
670,East,171.2,13.18,10.2,3,878.67,147.0
768,West,294.1,6.28,4.8,6,573.76,174.0
508,West,103.3,2.15,2.7,6,638.33,136.0
418,West,318.4,0.1,4.2,5,850.85,197.0
821,West,130.1,0.08,7.1,6,596.49,
173,West,14.6,4.21,3.2,9,585.41,127.0
357,North,45.9,2.2,1.4,2,515.26,117.0
196,East,444.9,2.9,10.2,5,815.58,
421,South,280.3,9.62,4.4,7,412.9,104.0
394,Center,68.0,8.97,3.0,9,697.92,118.0
62,South,120.9,1.98,,8,318.52,147.0
624,West,8.9,1.55,4.8,3,562.68,148.0
511,Center,341.6,2.09,2.6,5,420.63,144.0
635,South,320.8,4.21,,9,457.24,113.0
542,Center,5.9,2.34,3.8,3,786.28,137.0
634,West,46.6,6.35,2.8,5,425.31,105.0
202,North,499.2,20.12,0.6,4,240.33,114.0
959,South,247.0,3.69,,4,859.29,115.0
460,West,385.8,3.35,5.3,9,768.7,135.0
757,North,11.2,4.77,10.8,4,870.8,
291,West,405.3,0.66,3.0,7,475.16,121.0
604,North,261.4,0.85,4.3,4,163.9,153.0
839,North,282.0,6.15,3.8,6,566.75,138.0
926,South,142.1,4.78,,3,620.15,125.0
781,Center,99.0,1.16,5.3,9,442.63,134.0
39,West,581.2,0.22,4.6,9,173.34,109.0
929,East,78.8,1.85,5.1,6,743.91,106.0
537,Center,237.6,0.25,7.1,2,714.77,
296,South,38.6,5.19,,5,633.8,165.0
809,West,53.3,2.57,8.5,4,188.31,
13,Center,163.0,1.39,9.7,9,721.6,132.0
280,West,19.8,24.65,2.0,3,963.22,172.0
563,East,109.9,13.04,13.6,3,369.41,
324,West,11.0,5.75,10.7,4,785.25,
692,East,113.8,0.24,2.2,3,568.47,104.0
957,West,36.5,9.26,3.1,5,883.65,135.0
138,Center,1760.0,7.08,1.2,2,274.13,158.0
588,East,239.1,2.2,0.4,5,336.21,105.0
378,North,135.0,2.83,1.8,9,429.4,129.0
55,Center,175.1,6.44,8.3,5,478.76,
800,South,22.7,0.73,9.9,3,427.86,
777,West,98.1,8.4,2.6,7,148.93,162.0
841,South,23.7,11.34,,7,247.87,151.0
18,South,37.4,18.05,4.4,5,545.16,190.0
818,North,82.0,1.99,13.4,6,205.72,
452,West,164.0,1.46,14.3,3,335.74,
156,East,439.2,11.64,12.3,6,184.75,
751,North,340.9,23.4,1.6,2,625.38,196.0
456,South,46.3,1.27,,7,552.6,113.0
896,Center,55.7,0.94,2.9,4,882.07,191.0
245,South,3.6,8.09,5.0,7,131.28,143.0
122,North,428.1,5.29,13.0,9,925.77,167.0
662,North,244.4,5.94,1.7,8,506.83,190.0
819,East,79.7,4.72,8.7,3,261.72,
892,South,31.8,24.08,4.9,7,818.65,130.0
592,East,257.8,0.64,6.1,8,846.96,162.0
350,West,216.0,4.4,3.9,8,672.82,135.0
119,North,34.8,2.2,4.7,5,566.06,152.0
723,North,75.0,6.92,10.0,4,386.48,
15,North,296.7,3.69,7.5,6,533.39,
722,East,3.0,4.98,6.9,7,216.32,146.0
53,East,26.4,3.75,6.1,3,367.05,192.0
322,West,174.2,2.25,5.5,7,658.87,153.0
266,Center,246.0,1.32,8.6,8,658.03,
102,North,273.8,1.92,8.5,5,782.9,131.0
767,North,538.0,3.89,5.8,9,444.58,193.0
260,North,83.8,5.52,1.0,9,428.09,138.0
503,Center,0.3,1.33,3.2,8,442.53,176.0
698,South,177.0,11.01,,8,953.14,122.0
716,North,143.2,3.17,11.1,4,783.02,
112,South,45.8,0.71,,7,163.21,185.0
894,Center,725.1,5.45,3.4,5,236.12,140.0
141,South,30.5,1.53,,7,905.86,187.0
807,North,412.4,0.07,1.9,2,206.56,119.0
292,North,106.9,4.83,8.6,3,660.24,
641,Center,254.3,3.1,1.1,5,462.91,186.0
333,North,61.9,0.12,4.6,8,134.59,120.0
501,East,67.2,5.63,4.8,9,445.12,148.0
883,Center,96.5,31.66,12.9,5,834.92,143.0
528,North,414.0,5.63,45.0,9,539.84,129.0
50,West,62.3,1.88,13.6,3,307.08,
3,Center,82.7,4.06,1.5,4,600.26,140.0
359,North,26.8,1.82,13.3,8,589.42,113.0
401,East,12.9,1.72,0.3,8,162.22,123.0
718,South,10.2,1.77,14.2,4,235.98,
89,Center,25.1,0.24,4.9,6,183.3,123.0
515,South,275.3,0.49,,7,500.6,196.0
104,South,219.1,1.7,9.6,6,370.2,196.0
32,South,262.6,3.71,24.3,3,490.25,
691,North,427.8,2.94,11.2,9,827.54,
409,South,133.4,11.59,,5,142.66,165.0
947,Center,99.5,2.12,5.9,4,217.56,153.0
26,West,223.2,1.49,0.5,3,369.98,108.0
1,Center,83.4,10.94,1.8,3,173.28,151.0
544,West,464.4,6.64,14.6,4,501.64,178.0
567,West,211.0,0.48,11.6,7,734.82,110.0
693,West,275.3,0.07,0.3,6,751.79,166.0
880,East,118.0,2.94,4.7,5,949.83,199.0
623,West,415.1,1.72,1.5,5,391.51,165.0
605,East,164.1,9.48,2.8,6,587.98,103.0
632,South,70.6,0.93,,6,103.18,194.0
353,Center,106.8,2.02,2.2,8,691.83,195.0
749,South,153.3,1.92,2.4,9,517.66,172.0
696,Center,24.2,2.95,3.9,9,913.9,173.0
88,West,269.7,4.24,1.8,7,921.55,131.0
638,South,66.7,10.71,,5,823.55,123.0
304,North,74.6,6.12,4.7,7,612.16,181.0
205,Center,428.8,7.7,15.7,8,442.8,139.0
962,East,465.7,8.13,7.3,3,654.34,
728,North,182.7,5.09,9.3,9,943.98,
660,East,2.5,0.28,3.0,9,769.23,114.0
477,East,24.5,9.04,3.6,5,214.59,154.0
221,North,298.4,5.39,0.9,3,993.58,122.0
442,West,106.0,3.5,3.2,6,874.54,126.0
780,South,90.3,5.42,,4,832.44,104.0
111,Center,119.6,4.89,10.1,7,821.24,
687,North,312.1,0.72,10.5,5,409.34,121.0
403,Center,52.4,16.18,17.8,5,724.8,
665,East,179.0,0.28,1.0,2,516.03,175.0
953,East,21.4,0.48,4.4,6,515.63,121.0
715,North,67.7,2.07,4.1,9,830.54,186.0
854,North,94.7,0.46,5.2,5,729.0,148.0
339,Center,30.3,4.1,3.5,4,484.68,105.0
555,East,43.5,4.61,2.6,8,966.66,139.0
299,South,299.1,20.97,,7,346.33,150.0
783,West,222.0,9.12,2.4,9,902.62,167.0
860,South,95.5,4.7,,3,936.22,188.0
94,South,1009.6,0.4,,5,242.88,199.0
474,East,89.1,2.79,12.4,9,463.67,
75,East,219.9,6.98,4.2,5,129.36,112.0
58,South,7.1,5.83,,3,632.29,157.0
317,North,42.8,1.77,3.6,3,612.14,187.0
924,Center,28.4,1.58,3.6,2,700.5,170.0
337,South,259.9,1.01,7.0,2,151.21,144.0
680,South,218.4,10.38,5.9,9,385.2,195.0
943,South,244.7,1.73,5.3,6,627.97,103.0
77,West,424.3,4.04,9.2,8,933.17,148.0
437,East,244.8,,4.6,5,758.09,131.0
653,Center,56.1,3.27,13.7,4,207.46,
489,West,146.4,6.9,14.9,5,328.49,
806,East,51.3,1.71,7.7,4,831.61,
514,East,83.5,6.61,4.6,2,991.54,139.0
661,East,33.4,0.78,3.4,3,405.17,116.0
379,East,15.7,8.51,12.6,7,846.28,
370,East,21.7,4.04,2.7,6,411.85,141.0
347,East,318.2,0.82,0.6,8,367.04,110.0
486,Center,705.0,10.39,4.3,9,943.38,136.0
866,East,402.0,2.87,2.4,4,134.48,132.0
110,East,12.7,4.72,11.3,3,328.36,
724,Center,177.4,2.88,6.1,5,149.31,153.0
184,East,99.1,7.01,3.3,8,748.6,114.0
192,West,41.5,3.27,1.2,4,421.64,149.0
492,West,222.9,1.36,1.1,3,619.99,186.0
646,Center,5.0,0.53,3.6,2,431.11,135.0
87,North,793.7,3.19,13.5,3,256.2,
171,Center,38.8,9.78,2.2,4,790.75,184.0
976,Center,330.9,4.72,3.8,6,811.22,119.0
995,East,118.7,2.89,10.4,6,129.93,
208,North,42.3,2.63,2.0,4,792.49,194.0
966,South,269.4,1.44,3.3,2,425.24,156.0
832,South,22.5,2.42,10.6,2,114.3,
654,South,51.6,0.08,,8,804.79,129.0
315,North,495.2,5.92,1.2,2,660.3,122.0
473,Center,16.7,9.35,0.9,2,967.9,158.0
449,South,7.3,7.86,,3,789.51,146.0
978,West,202.2,7.9,0.7,7,607.91,124.0
561,Center,217.4,5.09,2.3,7,188.99,192.0
426,Center,198.8,0.28,4.3,4,354.13,120.0
423,Center,155.3,3.93,5.5,5,135.01,111.0
754,East,166.4,9.3,0.8,6,230.58,156.0
982,West,1149.4,1.57,9.6,3,845.14,
994,North,29.1,6.21,1.9,4,521.08,142.0
816,South,111.6,7.49,6.7,5,140.44,173.0
282,South,107.0,12.75,,9,621.5,154.0
708,Center,13.3,13.76,2.9,4,401.6,186.0
846,West,228.2,1.96,5.1,9,976.54,135.0
212,East,398.4,0.25,2.3,4,767.49,121.0
270,Center,116.8,8.39,7.3,8,803.88,180.0
293,East,239.4,5.63,6.1,4,289.49,185.0
29,North,40.8,1.77,11.2,5,936.48,
12,South,150.1,2.46,,4,257.68,132.0
249,East,35.7,5.54,7.0,8,911.96,147.0
704,North,125.2,4.1,10.7,6,419.91,
794,West,102.6,12.2,3.2,8,993.02,138.0
157,West,235.9,10.28,8.8,7,340.6,165.0
482,East,138.5,,5.1,5,424.78,184.0
97,East,38.1,1.37,5.4,8,904.43,130.0
802,West,266.0,2.62,0.8,8,898.29,191.0
743,South,41.6,5.71,4.6,3,163.03,132.0
614,West,314.7,2.68,2.5,7,818.99,198.0
506,East,180.1,0.14,8.0,6,414.8,
225,North,155.8,5.38,5.9,2,972.39,137.0
