tariff_type,age,watch_hours_week,content_completion,device_type,promo_used,support_tickets,friend_referrals,subscription_renew
1,37,32.3,0.9,0,0,1,0,0
2,33,34.3,0.97,1,0,3,0,1
2,51,39.9,0.44,2,0,3,0,0
1,19,9.7,0.32,0,0,0,0,0
0,52,1.6,0.53,1,0,0,0,0
2,57,16.4,0.69,1,0,3,0,0
0,73,5.2,0.27,1,0,1,0,0
1,45,0.9,0.74,0,1,4,0,0
0,64,14.4,0.05,2,0,2,0,0
0,56,31.3,0.05,1,0,0,0,1
2,23,22.6,0.39,1,0,0,0,1
2,26,12.5,0.35,0,0,1,0,0
1,37,26.2,0.32,0,0,1,0,0
1,18,9.3,0.49,0,0,1,1,0
0,25,0.6,0.32,1,0,1,0,0
0,72,30.6,0.19,0,1,0,0,1
0,40,24.9,0.31,1,0,1,0,0
1,20,30.5,0.97,0,0,1,0,0
2,21,1.6,0.41,1,0,2,1,0
1,75,33.5,0.44,1,1,0,0,0
0,42,24.8,0.58,0,1,3,0,0
2,64,22.5,0.98,0,0,3,0,0
2,55,25.0,0.24,0,1,0,0,0
1,32,34.6,0.68,1,0,2,0,0
1,38,23.5,0.72,1,1,5,0,0
1,52,23.2,0.61,0,1,2,0,0
0,74,39.6,0.09,1,0,0,0,1
0,70,30.3,0.68,0,1,3,0,1
2,70,17.7,0.06,0,0,0,0,0
0,63,28.3,0.6,0,0,1,0,1
0,69,15.6,0.74,2,0,2,0,0
0,31,9.2,0.21,0,1,0,1,0
0,53,23.9,0.84,0,0,1,0,1
2,29,37.1,0.03,0,0,2,1,1
2,34,37.2,0.84,0,1,1,0,1
1,56,13.7,0.46,1,0,0,0,1
0,26,21.1,0.22,0,0,1,0,0
1,52,8.5,0.13,0,0,3,0,1
1,30,39.8,0.95,1,0,3,1,0
0,32,39.2,0.07,0,0,0,1,0
1,35,26.0,0.2,1,0,5,0,0
0,68,32.2,0.35,1,1,4,0,1
1,50,28.6,0.62,0,1,2,0,0
1,23,23.7,0.54,1,0,0,1,0
0,44,2.1,0.13,0,0,1,0,0
0,40,18.2,0.29,1,0,0,0,0
1,44,27.0,0.24,1,0,1,0,0
1,51,27.1,0.21,0,0,1,0,0
2,73,14.9,0.41,1,0,3,0,0
1,63,37.7,0.7,2,1,1,0,0
0,55,6.7,0.22,2,0,0,1,0
0,31,20.0,0.37,1,0,1,0,0
1,53,27.6,0.39,1,1,2,0,0
0,70,27.9,0.98,0,0,0,0,1
1,25,25.9,0.95,0,0,2,0,0
2,52,11.0,0.8,1,0,0,0,0
1,36,6.2,0.24,0,0,1,0,0
0,47,25.4,0.07,2,1,1,0,1
1,31,24.0,0.32,0,0,3,0,0
1,37,7.2,0.27,0,1,1,0,0
1,66,28.2,0.51,0,1,1,0,0
2,42,18.2,0.78,2,1,2,0,0
0,57,26.7,0.86,1,1,4,0,1
2,41,33.5,0.84,1,0,2,0,0
2,31,6.8,0.36,0,0,1,0,0
0,43,0.8,0.69,2,0,1,0,0
0,55,31.2,0.31,0,0,0,1,1
0,40,24.4,0.06,2,1,2,0,0
0,39,28.0,0.7,1,0,2,0,0
0,65,33.5,0.01,0,1,2,0,1
1,74,32.1,0.41,1,1,1,0,0
0,36,38.4,0.33,1,1,2,0,0
0,63,21.4,0.69,0,1,2,0,1
2,68,19.5,0.77,2,0,2,0,0
0,20,16.1,0.3,1,0,1,0,0
2,59,6.1,0.81,0,0,3,0,0
0,36,22.9,0.29,0,0,3,0,0
0,26,11.1,0.45,1,0,1,0,0
1,45,36.9,0.73,1,1,3,0,0
1,37,23.3,0.69,1,1,2,1,0
2,62,23.7,0.99,1,0,4,1,0
2,24,14.2,0.23,1,0,2,1,0
2,31,2.1,0.66,2,0,3,1,0
0,26,1.3,0.61,1,0,1,0,0
0,72,16.9,0.92,2,0,3,1,0
2,74,3.4,0.16,0,0,1,0,0
2,36,24.3,0.75,0,0,3,0,1
2,64,35.2,0.57,0,0,0,0,0
1,69,35.3,0.27,1,0,0,0,0
0,31,26.4,0.47,2,0,1,1,0
2,73,8.4,0.33,0,0,2,0,0
0,55,34.5,0.58,0,0,1,0,1
2,70,35.4,0.89,2,0,0,0,0
2,53,7.9,0.57,0,1,2,0,0
1,57,29.5,0.63,1,0,0,0,0
2,34,11.5,0.52,1,0,3,1,0
2,47,32.1,0.05,2,1,2,0,0
0,26,39.9,0.23,0,0,2,0,0
2,50,1.2,0.49,0,1,1,0,0
1,73,35.9,0.31,1,0,0,0,0
2,69,24.9,0.18,2,0,0,0,0
0,42,38.9,0.5,1,0,1,0,0
2,31,18.6,0.32,0,0,2,0,0
0,28,33.9,0.26,1,0,4,0,0
0,70,2.5,0.46,2,0,3,0,0
2,52,13.4,0.13,2,0,3,0,0
0,58,2.7,0.93,2,0,2,0,0
0,31,39.0,0.87,0,0,1,0,0
2,47,32.7,0.71,0,0,0,1,0
2,58,34.1,0.11,1,0,2,0,0
1,21,37.5,0.78,2,0,0,0,0
1,21,3.4,0.81,0,0,4,0,0
1,45,15.4,0.77,0,1,2,0,0
0,25,2.8,0.11,2,0,0,0,0
0,19,8.4,0.64,0,0,0,0,0
1,58,9.2,0.83,0,0,1,0,1
2,63,18.8,0.58,1,0,1,0,0
2,39,10.7,0.65,1,1,2,0,0
2,58,4.0,0.46,1,0,0,0,0
0,73,6.7,0.53,0,0,0,0,0
1,72,5.9,0.03,1,0,1,1,1
0,33,38.9,0.64,1,1,2,0,0
1,46,30.4,0.08,1,0,1,1,0
1,66,38.7,0.44,1,1,3,0,0
2,65,17.6,0.29,0,1,1,0,0
0,47,11.1,0.55,0,0,1,0,0
0,29,31.9,0.13,0,1,3,0,0
0,52,13.1,0.69,0,0,2,0,0
2,28,12.0,0.8,1,1,2,0,0
1,63,9.3,0.16,2,0,1,0,1
0,67,5.2,0.1,1,0,3,0,0
0,38,10.3,0.15,2,0,2,0,0
2,38,14.2,0.88,0,1,2,0,0
0,22,27.0,0.53,1,0,2,1,0
2,65,2.5,0.47,0,0,1,0,0
2,37,8.4,0.11,0,0,2,0,0
0,54,32.4,0.65,0,0,1,0,1
0,20,5.9,0.87,1,0,0,0,0
2,61,13.7,0.83,2,0,2,0,0
0,50,34.6,0.63,0,0,1,0,1
0,70,6.2,0.08,0,0,4,0,0
2,26,3.3,0.11,2,0,2,0,0
2,26,19.4,0.05,0,0,1,0,0
2,21,12.1,0.26,2,0,0,0,0
2,52,22.5,0.14,1,1,0,1,0
0,34,32.2,0.26,2,0,2,0,0
0,51,5.5,0.39,1,1,1,0,0
2,41,23.2,0.94,1,1,1,0,0
1,49,20.2,0.61,1,0,2,1,0
1,18,5.8,0.83,1,0,0,0,0
2,25,25.0,0.71,1,1,4,0,1
0,62,10.9,0.11,0,0,1,1,0
1,40,19.5,0.74,1,0,0,0,0
0,64,3.3,0.28,1,0,2,0,0
1,57,18.4,0.64,2,0,0,0,1
0,29,12.3,0.34,1,1,0,0,0
0,71,32.9,1.0,1,0,0,1,1
0,29,2.3,0.26,0,0,0,0,0
1,63,16.7,0.28,1,0,4,0,1
2,64,18.3,0.93,1,0,2,0,0
1,32,29.0,0.02,2,0,4,0,0
2,58,23.0,0.7,2,0,1,0,0
0,36,26.7,0.73,0,1,2,0,0
0,43,31.1,0.84,2,0,1,1,0
2,69,34.5,0.97,0,1,0,0,0
0,46,12.6,0.98,0,0,1,0,0
2,39,21.5,0.07,1,0,2,0,1
0,57,33.6,0.82,0,0,2,0,1
2,38,39.6,0.65,1,0,2,0,1
0,68,35.6,0.65,0,0,1,0,1
2,55,14.9,0.13,0,0,1,0,0
1,37,7.8,0.65,1,1,2,0,0
2,74,19.6,0.98,1,1,0,0,0
0,46,29.7,0.91,2,0,0,1,1
1,68,19.7,0.44,1,0,1,0,1
2,21,19.3,0.04,1,0,2,0,0
1,72,33.5,0.36,0,0,3,0,0
1,24,14.5,0.83,0,0,2,0,0
1,45,34.4,0.7,0,0,1,0,0
1,45,16.3,0.46,1,1,2,0,0
1,21,13.1,0.06,1,1,1,1,0
1,39,18.2,0.43,1,0,3,0,0
2,29,30.5,0.47,1,0,1,0,1
0,62,5.0,0.93,1,0,0,0,0
0,20,7.9,0.64,0,1,1,0,0
2,39,38.1,0.31,0,0,0,0,1
2,61,7.0,0.53,2,0,3,0,0
1,19,22.7,0.07,1,1,1,1,0
1,41,23.2,0.97,2,0,2,1,0
0,51,19.6,0.36,0,0,1,0,0
0,44,25.8,0.48,2,0,4,0,0
1,72,9.2,0.36,0,0,0,0,1
0,58,22.1,0.68,0,0,0,1,1
1,18,14.9,0.66,2,0,2,0,0
0,25,26.5,0.72,0,0,1,0,0
2,40,5.6,0.27,1,0,2,0,0
2,55,22.8,0.32,0,1,1,0,0
1,23,7.4,0.13,1,0,1,0,0
1,39,11.1,0.66,2,0,0,1,0
0,42,8.7,0.04,0,0,2,1,0
2,35,7.3,0.6,1,1,1,0,0
1,34,33.0,0.87,0,1,0,0,0
0,29,11.4,0.89,1,0,2,1,0
2,23,37.1,0.45,0,0,2,0,1
2,43,38.8,0.46,0,1,1,0,0
2,44,22.9,0.08,0,0,1,0,0
2,25,5.7,0.67,0,0,2,1,0
1,36,15.0,0.82,2,1,1,0,0
1,59,31.9,0.24,0,0,1,0,0
2,18,14.7,0.42,0,1,2,1,0
2,74,3.5,0.84,1,1,0,0,0
0,46,22.3,0.88,0,0,3,1,1
0,62,33.8,0.24,1,1,2,0,1
0,66,31.8,0.55,2,1,1,0,1
2,52,7.0,0.19,1,0,3,0,0
2,57,26.9,0.1,2,0,5,0,0
0,31,8.8,0.91,1,0,1,0,0
1,52,8.7,0.82,0,0,1,1,1
0,65,35.0,0.76,1,1,2,0,1
2,62,10.0,0.05,1,0,2,1,0
2,37,10.5,0.84,1,0,0,0,0
2,73,0.0,0.44,2,0,0,0,0
1,66,34.8,0.34,1,1,4,0,0
1,30,31.7,0.55,2,0,1,0,0
0,55,25.1,0.09,2,0,0,0,1
0,66,30.0,0.76,1,0,0,1,1
2,63,6.1,0.58,1,0,2,0,0
2,66,18.3,0.19,0,0,2,0,0
2,25,14.0,0.19,2,0,3,0,0
2,60,3.8,0.18,1,0,1,0,0
1,37,19.4,0.06,0,0,2,0,0
2,50,36.8,0.59,0,1,2,0,0
2,43,1.6,0.84,1,0,2,0,0
2,56,11.7,0.02,0,0,0,0,0
0,38,8.3,0.05,0,0,1,0,0
1,70,9.5,0.57,1,0,2,0,1
0,66,36.3,0.82,0,0,0,0,1
2,59,18.7,0.33,1,0,0,1,0
1,60,18.7,0.35,0,0,3,0,1
0,71,30.4,0.6,0,0,2,0,1
1,58,6.2,0.27,1,0,2,0,1
1,26,19.5,0.03,1,1,1,1,0
0,41,17.2,0.74,0,0,1,0,0
0,54,23.9,0.63,0,0,0,0,1
1,66,40.0,0.58,1,0,3,0,0
1,58,30.8,0.74,0,0,1,0,0
2,34,15.9,0.68,0,0,0,0,0
1,41,33.1,0.21,0,0,3,0,0
2,38,6.8,0.35,2,0,1,0,0
1,68,1.2,0.13,2,0,2,0,1
1,56,8.2,0.13,2,0,1,0,1
2,72,13.6,0.68,1,1,0,0,0
1,58,20.4,0.86,1,0,2,0,0
0,56,24.6,0.96,1,0,0,1,1
0,30,36.4,0.63,1,1,1,0,0
2,28,20.4,0.18,0,0,1,1,1
1,63,20.1,0.11,1,0,1,0,0
2,36,2.0,0.81,2,0,1,1,0
0,28,1.4,0.58,1,0,1,0,0
0,30,22.0,0.62,0,0,0,0,0
0,63,17.5,0.78,0,1,5,0,0
0,62,33.6,0.7,1,0,0,0,1
1,18,6.4,0.83,1,0,0,0,0
0,57,1.0,0.06,2,1,3,0,0
1,61,18.0,0.75,0,1,1,0,1
2,36,9.5,0.85,2,0,3,0,0
0,29,2.0,0.29,1,0,2,0,0
1,25,29.0,0.64,2,0,2,0,0
2,25,4.5,0.31,1,0,1,0,0
0,70,24.3,0.96,1,0,2,0,1
1,62,11.2,0.03,1,0,0,1,1
2,29,6.9,0.58,1,1,1,0,0
2,65,15.2,0.17,2,0,0,0,0
0,50,32.1,0.71,0,0,1,1,1
2,62,15.7,0.18,0,0,0,0,0
1,43,30.0,0.24,2,0,1,0,0
0,56,5.0,0.49,1,0,1,1,0
1,45,30.9,0.91,1,0,3,0,0
2,75,9.5,0.21,1,1,0,0,0
1,22,27.1,0.14,0,0,0,1,0
0,25,22.6,0.76,2,0,2,1,0
1,42,37.2,0.5,1,0,1,0,0
0,44,15.5,0.91,0,0,4,0,0
0,63,2.6,0.15,0,0,0,0,0
0,40,0.8,0.65,2,1,1,0,0
0,47,33.1,0.23,0,1,2,0,1
0,62,21.0,0.16,2,0,4,0,1
0,64,31.0,0.68,0,0,3,1,1
1,40,9.4,0.59,1,1,1,1,0
0,66,13.8,0.75,2,0,1,0,0
0,64,1.2,0.31,1,0,2,0,0
2,37,38.5,0.45,1,0,0,0,1
1,35,26.7,0.41,1,1,1,0,0
1,35,37.3,0.98,0,0,0,0,0
0,19,10.6,0.29,0,1,1,0,0
0,21,24.5,0.29,2,1,0,0,0
0,47,27.1,0.35,2,0,4,1,1
0,50,12.7,0.56,1,1,1,0,0
0,53,33.9,0.25,0,1,5,0,1
0,35,37.9,0.92,0,0,1,0,0
0,54,35.4,0.27,0,0,0,0,1
0,36,29.6,0.9,1,0,2,1,0
1,64,11.1,0.1,2,0,1,0,1
0,45,11.3,0.66,1,0,2,0,0
0,57,38.5,0.91,2,0,3,0,1
1,37,0.4,0.17,0,0,2,0,0
1,66,28.6,0.97,0,1,0,1,0
0,50,28.2,0.45,0,0,1,0,1
2,29,24.9,0.95,1,0,2,0,1
1,75,39.6,0.68,0,0,0,0,0
0,68,12.5,0.3,2,0,0,0,0
2,32,13.6,0.19,0,0,4,0,0
2,58,3.2,0.3,2,0,1,0,0
0,56,17.7,0.09,1,0,2,0,0
0,19,10.4,0.14,2,1,2,1,0
2,46,13.7,0.1,1,1,0,0,0
2,58,33.4,0.42,2,0,2,0,0
0,27,37.4,0.8,0,1,3,1,0
0,19,7.4,0.14,1,1,2,0,0
0,68,14.9,0.13,2,0,2,0,0
1,28,37.1,0.64,0,1,0,0,0
1,30,2.5,0.2,0,1,0,0,0
0,27,3.7,0.1,1,0,3,0,0
1,31,6.5,0.17,2,0,1,0,0
2,35,23.8,0.92,1,0,1,0,1
0,68,6.0,0.82,1,0,1,0,0
0,71,38.7,0.35,0,1,2,0,1
2,26,17.9,0.66,0,0,3,0,0
