role,exp_years,projects_count,hours_overtime,edu_level,team_size,client_feedback,certs_count,bonus_rub
0,6,3,314,1,8,3.4,0,521172.81
0,22,7,69,3,18,1.6,2,617498.32
2,4,16,133,2,19,3.0,5,373275.52
2,25,3,334,3,10,2.9,4,357308.17
1,4,2,19,1,14,1.5,1,375023.95
1,6,6,381,3,6,2.3,2,400657.94
1,5,11,171,2,15,3.7,3,471801.59
0,5,10,272,1,13,2.9,5,710887.84
0,5,13,333,1,13,4.8,3,884968.55
2,3,2,295,4,10,4.3,4,351633.78
0,5,6,338,3,16,3.1,3,600972.09
0,13,11,88,2,10,2.8,5,820109.52
0,23,16,152,1,3,2.6,1,1065686.76
1,21,9,103,3,9,1.5,5,452488.88
1,20,16,110,1,3,3.1,6,462365.45
2,4,7,96,1,7,4.1,0,232004.82
1,5,11,352,2,8,3.1,6,432993.7
3,13,16,156,4,7,2.9,3,757411.77
2,19,5,291,2,13,3.4,3,381874.51
2,10,9,37,2,10,2.7,1,238318.58
0,1,16,103,4,13,4.7,3,1157778.58
3,4,6,375,1,10,3.6,0,470411.35
1,19,15,295,1,13,2.8,5,530316.8
0,21,15,181,3,3,4.5,6,1038088.3
2,9,10,201,4,11,1.5,3,273745.1
0,11,7,385,3,20,2.9,2,596861.75
3,19,8,179,2,3,2.4,6,1012859.57
2,22,18,336,4,11,1.6,5,406444.85
3,17,8,256,4,15,2.6,2,681330.72
2,24,18,285,4,10,3.3,0,278375.8
1,22,18,113,2,8,4.1,3,623959.72
0,8,8,130,4,12,2.1,5,751748.18
2,18,8,348,4,3,3.2,2,349576.61
3,23,9,53,1,17,3.3,2,576132.97
1,3,15,287,4,16,4.3,3,547019.94
3,5,15,222,3,18,1.3,1,380412.15
1,1,16,196,4,13,2.0,1,445187.48
2,23,13,19,1,7,2.6,5,340240.06
2,20,13,279,1,12,3.3,2,312365.44
1,23,18,369,3,19,2.1,1,392872.58
1,22,12,3,2,15,3.8,4,574930.56
2,6,11,355,1,8,1.3,4,423620.45
2,21,11,341,1,8,3.9,1,339940.91
3,13,8,393,1,19,2.7,3,680171.23
1,22,12,192,3,6,4.1,4,621397.11
0,11,9,10,4,6,3.9,6,734050.09
2,15,6,311,1,6,3.2,2,338552.77
2,20,12,336,2,15,1.6,0,289673.95
0,8,18,128,1,13,3.4,0,1117726.02
2,3,4,228,4,14,4.9,5,307099.66
3,17,18,329,1,19,1.7,5,983627.44
3,24,9,148,1,7,3.8,5,1021866.48
0,13,16,287,2,18,4.7,6,1128832.13
1,21,8,269,3,9,2.2,1,500074.27
2,20,8,102,1,16,3.4,2,258819.7
3,13,3,130,1,13,2.4,6,1081879.52
3,17,5,348,2,15,3.5,4,714001.84
1,12,3,310,3,12,5.0,2,589591.36
3,3,8,301,4,19,2.6,4,821801.42
3,25,17,235,3,12,1.4,6,1139426.47
1,17,4,141,4,20,2.2,5,412485.6
0,25,17,192,1,16,1.2,6,1180925.02
3,5,6,379,2,9,4.5,5,815990.53
3,11,14,225,1,9,5.0,2,658699.39
1,21,14,365,2,13,1.7,1,403136.54
0,17,4,375,2,7,1.2,6,559827.26
3,17,11,177,2,19,1.6,2,537158.97
1,13,16,88,1,6,3.3,1,398773.31
2,9,4,225,4,12,4.2,0,237157.01
0,11,3,123,3,8,2.0,4,451879.61
0,16,14,283,1,15,4.4,4,945050.39
3,19,4,55,4,4,3.2,4,858716.05
2,16,9,91,1,18,3.8,2,255624.78
0,25,11,355,3,8,1.8,4,837483.83
1,7,5,257,2,15,3.0,6,418157.64
1,13,15,154,1,11,3.5,6,491652.11
2,7,11,232,4,4,2.4,3,337340.23
2,5,5,351,4,20,4.8,0,332116.59
1,1,15,191,3,14,4.0,2,533575.96
3,12,8,28,3,3,2.3,6,967977.39
2,2,15,225,1,6,2.7,4,374592.54
0,7,16,374,1,13,1.9,1,1033628.16
2,3,18,381,4,17,2.7,2,381690.09
3,6,6,386,3,3,2.3,5,835802.04
3,17,13,273,3,14,2.9,3,683148.34
1,25,18,92,1,10,4.1,5,557991.62
0,12,4,45,3,16,3.4,5,485165.38
3,20,5,8,2,18,3.0,6,957794.99
1,24,9,394,4,15,1.6,4,465083.37
1,18,15,94,2,13,3.8,0,571093.92
0,17,13,376,2,17,3.0,5,997500.68
3,20,2,201,4,20,2.3,1,586572.77
1,1,14,115,2,9,1.5,6,348063.43
1,14,16,105,3,14,1.4,2,445667.85
2,9,13,263,4,20,3.5,3,388610.08
1,15,8,83,4,6,3.4,5,582810.43
0,10,15,11,3,14,1.6,4,932740.61
2,19,15,355,1,10,4.5,4,387147.59
1,6,6,351,4,11,3.0,3,534290.81
1,19,4,92,2,17,2.0,3,472650.11
0,4,13,381,4,20,4.5,0,917462.63
3,21,3,227,2,17,4.6,5,885598.41
2,13,9,20,3,3,1.5,3,219193.61
3,23,11,13,2,4,1.7,4,837747.07
1,15,15,230,1,4,1.4,0,351061.92
2,25,3,162,1,7,2.3,3,254443.55
2,22,15,79,2,12,3.7,0,215666.14
0,5,9,170,4,3,2.0,5,776353.95
0,17,18,119,4,17,4.5,3,1179925.05
2,20,15,129,1,7,4.7,4,276893.04
0,21,6,160,1,16,3.8,3,618462.45
0,18,12,125,2,20,4.9,6,914900.51
1,23,13,293,4,15,1.6,1,300449.78
1,23,9,340,1,10,1.6,5,408272.7
1,1,12,113,2,19,4.3,6,520897.31
3,17,13,327,1,16,4.7,0,455080.16
0,16,6,360,2,4,5.0,5,579849.75
2,9,2,168,1,18,4.0,4,387079.89
3,2,7,131,2,8,4.6,4,783994.39
0,23,14,330,1,9,1.0,6,1062905.76
2,21,2,304,4,19,2.8,5,446923.09
1,11,4,109,2,12,4.0,0,562670.62
3,2,7,116,1,14,1.6,4,741184.27
2,12,5,270,3,18,3.2,5,372656.0
2,19,16,323,1,15,2.4,1,332222.96
1,4,17,372,4,16,2.2,6,493931.05
1,4,3,76,4,13,1.5,3,391455.74
1,7,14,158,3,19,3.3,1,464646.17
1,7,2,171,4,15,3.5,2,513048.35
0,23,10,25,1,17,3.4,1,766987.5
3,16,18,153,3,7,2.2,2,602743.93
3,7,11,344,2,6,1.6,6,914332.09
2,12,3,160,3,19,1.7,4,339143.72
2,3,8,159,3,12,2.0,4,325410.13
1,3,8,84,2,5,2.8,4,530988.37
2,9,18,279,4,16,1.4,1,329345.37
0,14,5,231,1,3,3.4,0,527526.79
3,1,7,195,1,19,4.3,3,620849.99
0,8,7,199,2,5,3.1,4,679868.65
1,3,7,129,3,14,3.6,0,475208.87
3,8,13,35,1,15,3.5,6,990187.0
0,23,17,105,2,18,1.0,3,1069999.06
1,13,9,117,1,10,4.1,0,551244.48
0,21,7,230,4,3,3.4,3,681405.43
1,4,2,150,2,15,2.4,4,444468.09
1,25,10,330,3,6,4.5,5,595757.16
1,5,11,11,3,19,1.5,1,389639.63
0,3,11,157,2,8,1.6,6,801043.85
0,3,3,346,2,5,2.4,3,477382.26
1,10,3,280,1,3,4.7,5,541649.76
2,9,7,24,1,4,1.3,1,260512.16
3,25,16,67,1,14,4.9,3,755946.09
1,6,12,253,2,7,4.1,1,436181.34
0,2,12,177,1,17,4.9,2,819943.68
2,16,17,251,1,6,3.5,0,306906.12
0,7,5,123,2,9,3.9,4,533174.63
0,3,8,154,4,16,1.7,4,730268.47
1,5,3,61,3,8,2.0,1,345561.75
0,1,14,212,2,20,3.5,4,991369.96
1,5,14,159,4,19,1.4,3,349995.36
3,23,5,33,4,18,3.9,2,764763.18
0,20,7,41,1,12,4.6,0,607772.5
0,1,3,59,4,3,4.4,1,385265.9
3,8,12,246,2,10,4.6,0,348572.86
3,13,6,86,1,10,1.2,0,412161.74
2,11,2,108,3,5,1.0,4,227413.42
2,14,5,138,4,17,4.8,2,288401.86
3,19,12,260,1,10,2.1,5,929437.86
0,8,9,328,2,17,1.8,0,698201.01
3,4,15,104,1,20,2.3,3,748309.03
2,16,3,10,2,17,1.4,1,286274.51
2,9,9,314,2,20,4.8,5,402469.95
2,14,18,375,1,5,3.7,5,432237.48
2,7,18,267,1,17,2.0,4,374937.35
2,12,12,255,2,13,2.1,3,393669.28
0,13,3,28,1,17,1.4,1,417123.94
3,12,14,277,3,7,3.4,2,518043.51
2,22,8,107,3,7,1.6,1,299338.33
3,5,4,387,4,5,2.6,1,484186.47
1,11,11,383,2,9,3.5,1,541965.26
3,4,11,89,2,14,4.0,5,834111.94
0,2,12,399,3,8,4.5,4,895420.45
3,20,11,23,2,5,1.6,5,879862.58
0,22,9,358,1,12,3.5,3,740790.3
0,23,8,3,1,16,3.9,4,591560.9
3,23,5,375,2,4,3.4,2,685559.86
0,14,14,75,2,8,1.8,3,902440.71
3,19,17,172,4,19,2.7,1,496504.97
3,15,12,312,4,15,1.7,5,902381.3
3,20,17,46,3,17,2.6,5,979305.17
1,16,6,60,2,20,1.7,2,435628.63
0,22,14,197,1,15,4.1,2,926098.17
2,5,6,48,1,12,4.7,3,219185.39
1,4,8,294,2,5,2.7,0,406227.19
0,20,5,212,2,14,1.2,5,545095.78
3,7,4,219,2,12,2.1,5,942412.2
1,12,10,300,4,13,1.3,1,355428.13
2,25,5,177,1,9,1.3,6,375944.68
2,21,11,153,4,16,3.9,1,285057.87
0,18,6,130,3,7,3.3,2,591353.23
3,25,10,160,2,6,2.7,0,444272.84
2,22,2,80,4,4,2.6,2,270375.45
0,2,7,197,2,3,2.7,4,626048.61
1,22,17,56,2,12,2.8,2,510466.17
3,15,9,293,4,12,4.9,2,724512.25
2,17,8,276,4,6,4.0,5,349508.73
1,9,9,57,4,19,1.1,0,362279.89
3,3,9,43,1,12,3.0,5,819164.99
2,18,12,196,3,13,1.8,1,205450.81
3,24,10,163,1,10,4.2,6,895722.14
1,12,3,262,4,5,2.5,2,478834.99
1,11,9,219,1,10,4.6,3,537872.34
1,6,15,245,3,11,4.2,5,559271.59
2,16,2,62,1,15,2.3,3,272249.95
2,5,4,352,4,4,1.8,5,440500.55
0,3,10,371,2,20,1.4,3,794016.92
2,12,13,212,4,4,4.3,3,256465.33
3,16,2,162,4,4,2.4,6,1038904.76
2,16,18,324,4,13,4.4,2,296512.54
2,1,17,65,3,10,1.0,6,351115.08
3,1,9,246,3,5,3.8,0,341110.23
2,6,16,190,1,5,4.1,4,356586.77
3,17,8,392,3,15,4.6,2,629077.0
0,6,3,375,2,8,1.9,4,391366.52
1,14,18,280,4,16,4.7,6,609696.87
1,16,15,386,2,11,4.4,4,599046.51
3,19,16,397,4,8,1.5,3,699428.45
3,17,10,319,1,16,3.4,2,660497.23
0,4,5,263,2,11,2.3,5,528304.2
0,24,17,61,1,18,1.1,2,1099817.57
0,21,6,303,4,7,3.4,0,566374.09
0,9,10,323,3,19,1.3,0,728578.87
2,20,9,20,3,8,3.4,4,283052.18
2,4,8,347,4,6,2.5,4,377632.91
0,1,9,86,2,8,4.6,1,609701.11
0,12,7,217,3,10,2.0,1,563084.13
2,16,14,339,4,19,3.1,5,400191.3
0,14,18,189,4,13,4.4,0,1172023.98
0,10,12,309,2,11,2.6,4,862923.5
0,9,18,343,1,9,3.3,6,1273659.53
2,11,14,126,2,15,2.6,3,297076.87
2,12,9,108,4,18,2.2,1,258370.37
1,18,3,323,2,3,2.8,1,447709.09
0,19,16,83,1,3,2.6,2,1042196.2
2,9,11,306,3,15,1.0,1,307009.21
2,22,10,376,3,5,3.9,2,361146.92
2,16,9,257,1,11,2.7,2,377032.37
2,1,14,356,1,19,1.9,0,338141.1
3,21,12,145,4,5,1.3,0,506602.84
0,6,13,353,4,5,2.8,3,933884.56
3,11,17,159,2,6,2.6,6,1041144.46
1,24,6,6,4,7,4.6,0,592421.38
1,18,4,125,3,19,1.4,4,405622.91
3,2,17,115,4,14,3.2,6,916021.81
0,24,4,74,1,6,1.4,5,511003.05
1,11,11,50,2,8,4.0,6,480255.08
1,5,11,123,1,5,4.6,3,540660.18
1,9,18,284,1,17,1.6,0,311964.95
3,5,6,304,1,4,1.7,4,708927.79
2,23,4,41,2,15,1.8,0,283865.28
0,12,12,358,4,3,3.3,4,905867.68
2,13,16,353,3,6,2.6,0,275926.98
1,25,6,340,4,7,2.9,3,542025.72
1,19,3,266,2,15,2.8,5,487622.02
3,5,18,183,4,11,4.5,3,651159.33
1,17,17,107,4,8,3.4,1,636885.89
1,24,16,202,4,20,3.9,4,507821.66
1,18,16,238,4,9,4.8,6,640232.24
3,8,7,322,3,7,3.0,5,871804.98
0,23,17,113,4,13,4.5,1,1042101.97
3,12,3,168,4,5,1.8,0,357360.71
1,15,4,18,2,10,5.0,6,643770.64
2,5,14,231,4,7,4.3,0,220315.26
2,1,5,34,2,10,2.6,1,224992.66
1,6,12,354,4,5,3.5,4,449403.89
0,2,14,60,3,8,2.2,0,984751.06
3,6,3,12,4,17,1.8,1,474619.63
2,3,9,214,2,9,2.9,0,213393.52
0,21,18,182,3,12,3.3,5,1154288.04
3,20,15,177,4,16,4.3,6,1090561.54
0,23,9,11,3,16,4.5,1,820183.0
2,11,10,203,1,17,1.4,0,239983.35
3,22,7,208,3,20,2.9,5,939895.84
0,12,12,120,1,13,2.1,2,854382.47
1,15,14,82,1,8,2.5,3,488797.62
2,5,18,185,3,3,4.7,0,275578.53
0,5,2,23,4,13,4.8,6,353779.8
0,9,13,292,2,19,2.4,6,801774.02
2,16,15,226,4,11,1.2,0,269891.18
0,18,6,396,4,4,1.8,0,638823.26
1,1,5,108,3,15,1.1,0,344683.77
3,8,8,291,2,5,2.3,3,690806.43
1,22,2,355,1,13,2.5,0,452603.42
0,22,11,52,4,17,4.3,5,814986.52
1,22,18,355,2,12,1.1,2,376472.87
2,6,18,267,2,13,4.5,1,372526.78
3,23,17,174,1,10,1.5,3,756447.43
2,22,11,186,3,11,1.5,5,290826.13
0,1,8,243,1,14,1.0,2,652343.35
0,4,14,134,4,17,3.7,2,955360.64
3,8,14,213,3,6,4.6,4,847528.12
0,2,3,204,3,14,1.2,1,557121.78
2,15,10,16,3,14,3.5,0,220954.18
1,25,11,300,3,13,4.9,3,683321.63
2,1,18,174,4,8,2.2,3,278471.7
0,15,10,173,2,19,4.7,3,727842.85
1,1,7,225,3,16,1.3,5,415281.55
1,22,15,201,2,15,2.8,2,477470.03
3,13,12,107,1,19,4.9,4,736032.17
1,11,13,69,1,18,3.5,3,496218.46
2,5,7,373,2,8,1.8,2,364214.54
0,2,18,106,3,18,4.9,6,1183699.21
1,4,16,93,1,13,3.7,2,472888.78
3,24,13,136,1,12,4.1,3,679177.57
3,8,3,54,4,18,1.4,4,815698.34
2,25,4,363,1,15,1.5,0,309048.0
0,7,18,322,4,5,1.2,6,1205151.51
2,14,18,273,1,20,3.6,1,320750.76
0,1,18,277,2,15,1.9,3,1183276.22
0,11,4,75,2,15,2.4,6,566012.85
2,10,16,241,4,15,3.4,0,255184.95
3,19,17,102,2,16,1.3,3,765793.78
0,3,16,279,3,10,1.2,3,1042531.85
1,24,11,3,3,4,4.5,6,586412.15
0,9,7,356,1,12,1.8,6,719508.3
1,21,4,383,3,17,1.8,3,448574.93
2,9,6,396,3,20,4.6,4,359192.21
0,16,15,184,2,18,4.6,5,937963.51
1,21,9,240,4,12,3.8,2,523331.16
1,9,18,138,4,12,2.9,0,389261.42
0,21,6,101,1,3,3.8,2,609846.74
3,17,10,382,4,4,3.8,6,1064384.01
2,7,18,250,1,11,2.4,5,374202.62
3,20,4,336,3,19,3.9,6,1120477.42
0,3,16,99,4,6,2.5,2,912631.63
2,20,4,77,2,3,4.9,4,308110.2
0,19,7,376,1,19,3.2,4,635256.97
0,5,17,389,4,15,4.8,5,1030132.85
2,11,11,88,4,6,3.5,1,285900.34
3,22,6,327,3,16,3.5,2,564898.33
3,1,18,11,2,13,1.8,3,694213.27
0,6,2,4,1,16,3.4,2,337118.84
0,19,6,378,2,17,2.5,0,603931.64
0,20,8,78,3,16,4.1,5,691823.65
0,25,9,217,2,12,1.7,5,734995.33
1,5,10,81,2,11,1.8,0,314138.83
1,2,4,207,2,12,3.8,1,458399.04
2,23,8,218,1,17,4.8,2,367999.82
2,20,4,366,2,4,3.8,5,388224.09
2,10,10,351,4,8,2.3,3,441736.65
2,22,17,378,4,6,3.8,0,280885.33
0,1,18,300,4,9,2.0,3,1192895.27
3,6,17,165,1,12,1.0,5,956800.89
1,3,16,270,4,11,2.8,2,498583.36
0,9,11,211,1,10,3.6,4,896272.7
2,15,16,62,1,16,2.1,1,237848.76
2,1,12,15,2,18,2.3,1,200648.4
1,19,5,318,1,16,2.6,5,498266.24
1,8,15,208,1,8,4.2,6,562991.63
0,1,6,136,2,4,3.5,2,629933.33
3,4,12,36,3,20,4.3,5,891784.51
3,11,14,259,2,9,1.2,5,949940.82
1,18,2,101,2,18,3.1,0,449939.47
1,21,8,108,3,5,4.2,0,522393.98
3,10,14,310,2,7,2.3,1,446702.42
0,10,8,335,1,19,1.4,0,712413.04
0,10,18,75,3,18,4.0,0,987169.97
2,22,10,284,3,7,2.6,5,378422.84
0,17,9,84,2,7,3.9,1,576326.28
1,22,2,208,2,13,3.9,2,521816.81
3,19,5,161,1,12,3.4,5,857532.23
2,23,16,245,3,17,4.0,2,241876.25
1,1,4,329,4,17,4.0,4,549913.36
1,2,14,245,1,4,1.1,6,333473.47
3,7,18,70,1,7,4.1,2,530271.34
2,17,8,308,1,19,3.4,2,331600.49
2,21,12,281,4,18,1.0,3,318725.28
0,24,2,92,1,18,1.8,3,448223.46
1,19,3,270,3,13,1.3,5,360272.91
0,8,17,193,4,10,4.5,3,1117193.9
2,20,18,172,2,4,3.1,5,327192.57
2,20,11,220,3,5,2.4,2,276121.51
3,20,12,121,3,13,4.7,5,1011939.32
2,2,18,392,4,4,4.1,6,443037.86
0,5,17,317,3,19,1.1,2,1079447.37
3,12,8,91,1,8,4.0,0,434359.82
0,4,11,244,2,12,2.2,4,760489.61
0,11,17,7,4,10,3.4,1,1083932.38
3,11,16,335,1,4,1.5,2,587779.19
1,23,18,383,2,8,3.1,2,513673.57
0,13,15,268,3,6,4.3,1,1031262.56
2,21,16,206,4,8,4.1,1,250170.15
3,8,2,164,3,8,2.7,2,661210.42
2,5,15,177,4,8,2.7,5,343069.33
0,7,9,76,2,20,4.4,2,736793.54
0,22,7,175,3,14,2.3,6,680123.3
2,13,4,350,3,18,2.6,0,341864.83
2,20,12,186,1,13,1.1,3,274954.38
1,14,18,355,4,17,3.0,1,501475.25
2,3,17,196,1,12,2.6,3,382407.01
2,25,17,210,3,13,4.7,6,367474.98
3,5,6,50,1,14,3.0,5,905302.94
0,14,12,287,3,20,2.4,5,936661.57
1,24,12,276,4,7,1.2,2,435658.52
1,22,2,63,3,6,2.7,3,531859.04
1,22,16,208,1,16,1.7,3,412434.01
3,22,7,130,4,15,1.6,4,769309.22
0,6,3,291,2,13,3.4,2,432828.23
3,20,17,317,3,9,3.0,2,624354.71
2,24,17,154,1,11,5.0,3,331989.34
2,23,9,206,3,16,2.3,6,346949.58
0,23,13,272,4,12,4.8,2,991123.34
2,12,3,250,4,20,2.1,1,304299.57
3,20,16,83,3,7,4.0,3,780498.44
1,8,11,38,4,19,2.4,4,393109.39
3,4,6,281,2,6,1.6,5,865170.85
2,11,15,95,2,7,2.9,1,220305.0
3,14,4,111,4,19,2.8,6,1056946.47
1,21,3,264,2,15,2.4,1,435318.39
2,12,9,400,3,12,2.3,6,446988.64
3,9,9,147,2,20,2.9,0,330200.95
2,12,13,37,3,9,1.5,1,245471.84
2,25,9,396,1,19,4.3,5,394892.52
2,13,15,94,2,6,4.9,0,198960.55
2,6,4,130,1,4,4.6,4,353068.48
1,8,9,317,1,8,2.5,2,474429.52
0,5,10,286,2,9,3.4,3,748350.37
0,13,11,113,1,15,1.9,3,698248.65
0,24,9,218,1,16,3.4,2,699369.11
1,15,14,228,1,18,3.5,5,583967.7
2,13,15,93,2,15,3.7,5,280364.9
0,16,18,115,3,11,2.9,3,1085458.36
3,1,10,181,3,3,4.2,2,555601.53
1,16,10,287,3,14,3.9,5,541993.95
2,8,11,189,3,13,3.3,6,394791.26
0,1,9,55,2,20,2.3,4,710903.38
0,17,4,370,3,19,2.3,1,593793.59
2,8,8,155,3,19,3.6,5,377873.07
0,19,5,213,2,19,2.1,1,467986.56
0,20,18,104,4,16,4.2,3,1085600.97
2,1,11,209,4,10,3.2,3,315765.8
3,24,17,369,4,8,1.2,0,492418.16
2,24,15,236,1,4,1.8,5,337757.61
1,10,10,281,4,10,3.3,2,453037.85
2,16,18,270,3,14,4.5,3,330667.13
1,15,3,350,2,14,4.6,6,546164.64
1,25,3,157,3,19,4.3,4,570433.5
1,1,7,252,3,16,3.4,5,503781.26
1,5,7,112,3,18,1.9,6,452586.76
3,18,4,213,4,5,2.6,1,548269.39
0,13,6,55,3,15,3.3,4,596318.35
0,16,3,359,4,13,3.1,3,506449.41
3,22,10,102,3,17,1.6,6,1060268.8
3,25,13,384,3,10,5.0,0,478682.0
1,10,16,208,2,8,4.6,5,495707.84
2,17,18,89,1,19,4.3,5,333152.15
1,15,9,142,2,15,2.8,4,497319.17
3,3,7,196,2,19,2.7,1,461574.25
3,6,7,58,4,20,4.9,0,346788.88
0,14,15,12,3,14,1.5,2,1008993.4
3,4,4,121,4,14,4.3,4,840619.18
0,17,8,362,2,3,2.8,3,804146.83
1,5,17,238,2,6,3.2,3,424429.12
3,4,14,345,4,15,3.8,2,568883.43
2,9,8,44,2,10,1.2,3,218827.69
2,7,11,124,1,18,2.6,1,250620.16
0,7,3,170,2,15,3.6,5,459554.01
1,24,15,107,4,8,2.0,1,455724.57
0,5,11,211,2,18,4.5,6,756566.91
2,10,12,298,1,6,2.3,0,260364.1
1,24,7,290,2,3,2.6,6,529878.6
2,13,11,2,1,14,3.6,0,139768.95
0,23,11,82,1,17,2.7,3,765168.17
3,23,3,236,4,18,2.8,1,496224.1
0,25,15,354,4,18,1.7,2,1014562.72
2,11,14,390,3,19,1.9,1,333521.1
1,11,17,240,3,20,4.4,2,578286.13
1,16,7,363,3,17,2.0,1,349451.95
2,22,3,314,3,17,2.1,6,466822.84
2,15,15,62,4,14,2.6,2,239421.4
3,4,9,324,2,18,1.8,5,903377.23
0,15,13,100,2,18,2.3,6,904453.11
0,3,16,227,3,16,3.2,4,1022525.75
1,21,6,26,3,8,2.4,1,525523.72
0,22,5,29,1,4,1.8,5,482546.43
1,4,16,328,3,8,2.0,6,366056.57
3,4,6,342,2,13,2.4,1,486426.74
3,12,3,76,2,11,1.6,6,1066698.38
0,19,3,186,4,12,2.7,3,422062.61
3,17,17,15,2,9,4.7,2,584344.04
0,4,8,366,2,14,1.2,0,683578.52
2,1,16,180,2,9,2.0,3,299741.29
1,17,3,304,4,4,3.3,5,535088.94
3,6,11,297,4,3,3.5,0,306780.41
1,16,14,21,1,20,1.2,0,402032.38
3,2,3,11,4,11,2.9,0,424187.14
3,20,8,59,2,3,3.7,3,757501.12
3,22,3,158,1,16,2.6,6,1048609.08
0,7,11,109,2,7,3.4,5,858695.78
1,12,7,35,1,6,3.9,6,544829.9
0,1,14,163,4,20,3.3,6,977507.92
3,13,17,186,1,6,2.3,2,591453.93
1,12,17,336,1,16,1.5,5,379540.11
3,15,13,400,1,17,3.0,4,800088.28
3,14,16,42,1,5,2.4,2,560387.14
1,22,9,396,3,5,4.6,4,596865.53
1,2,14,324,4,10,1.4,3,307731.52
3,23,12,53,4,13,3.1,1,435851.08
0,15,2,336,2,8,3.4,2,417468.66
