days_since_last_visit,visits_last_30d,avg_session_len_min,classes_attended,trainer_assigned,promo_used_last_90d,contract_type,days_to_expiry,feedback_score,missed_classes,churn_30d
9,6,46.56255806144471,3,0,0,5,22,3.433473435956563,2,0
19,2,70.9470159241644,2,1,0,4,11,3.171228894246129,0,0
25,4,64.39501696823615,2,0,1,5,26,4.323644301211649,2,0
2,10,86.61122658112453,8,0,2,2,21,5.0,0,0
18,4,92.9089054520299,1,1,2,3,31,5.0,0,0
37,4,71.93747131347399,3,1,1,1,56,3.468473622680085,3,0
12,7,56.093483268898765,4,1,1,3,60,3.3912943479086906,1,0
3,4,67.36010919760521,2,0,2,4,48,3.5916216198564963,4,0
2,8,68.72238938535142,10,1,0,3,26,3.1771751504578205,0,0
4,3,67.90076593896526,3,1,0,5,1,3.1463305235139316,2,0
1,9,,5,0,0,4,44,4.176682660895171,1,1
10,0,68.01202784750633,0,0,0,3,32,3.6463800046510175,6,1
1,10,75.7447300256253,6,0,2,4,25,3.9741834759657197,2,0
3,9,92.970050222906,10,0,0,2,27,3.4592505471121684,0,0
8,6,32.85979335681978,4,1,2,5,18,5.0,0,0
9,8,79.49605314282351,11,0,1,2,42,4.071255853613148,1,0
12,3,62.12372464070232,5,1,1,5,4,3.8865315819569544,3,0
18,3,48.15226434934433,1,0,1,5,32,3.3935665042626106,2,1
0,8,39.73805118561765,6,0,2,3,19,4.326601235082811,0,0
1,8,64.58267141240324,4,0,4,1,29,5.0,0,0
0,5,60.54029755614602,2,0,3,5,44,3.6399645424354876,2,0
8,4,43.819286121577754,2,0,2,5,7,4.571906811070881,0,0
0,7,59.539728751310626,3,1,1,5,37,4.438186557751053,1,0
20,4,75.55225934878253,5,0,0,5,60,3.476701990993626,1,0
3,7,83.2725465709394,2,0,1,2,16,4.031931959743423,0,0
42,2,61.911175352192615,2,0,1,4,43,4.426629093507663,3,0
9,6,61.866541670862034,7,0,0,2,0,5.0,1,0
8,5,69.34341079834617,4,0,2,5,2,4.577077542132489,4,0
22,4,77.47617648242682,3,1,0,4,45,4.486012784741868,0,1
18,6,62.75236434863434,2,0,1,3,25,3.6346030392716644,3,0
14,5,65.25399667148164,3,0,1,2,30,3.6866960624274583,1,0
41,4,54.01138424544159,2,1,1,3,7,4.245199761769505,0,0
8,5,57.63435811039055,5,0,1,3,42,3.5979608931018867,2,1
24,3,50.460871140582626,3,1,1,5,58,3.2197990441970044,0,0
7,6,,5,1,0,4,45,4.5392066958672235,0,1
27,4,41.92595444976412,2,1,0,5,7,4.039861199849852,2,0
4,6,47.068244632625635,7,0,0,4,60,4.084535916023959,0,0
5,5,46.03569506282365,5,0,2,2,34,3.8647315232848944,2,0
16,3,64.48106975908358,2,1,0,5,38,4.608179010597288,1,1
3,5,66.71947552760656,2,0,2,5,27,4.676642155168558,3,0
3,11,53.69111787498641,8,1,1,4,50,4.8339223297472484,0,0
5,4,47.41359530750708,2,0,0,5,3,4.5971423347725935,1,0
17,5,92.27700392631331,4,1,2,4,56,3.5910893887647948,0,1
33,2,53.38451153948848,0,0,3,4,15,4.704513536957,2,0
16,2,51.10106618638834,2,0,1,4,12,3.6693867259965796,3,1
26,1,36.40493363492797,0,0,0,1,19,4.263796358288067,4,1
11,6,67.75519234207346,3,0,0,2,50,2.8837702051454466,2,1
1,11,87.28713097491382,7,0,2,1,4,5.0,0,0
1,10,57.19997753276442,10,0,0,4,54,3.161538313128653,2,0
12,7,54.795716095589654,3,0,0,3,36,5.0,1,1
5,7,64.15032294162356,5,0,1,4,19,3.722215276243009,0,0
3,7,64.61280934951154,10,1,1,5,23,4.058432069021127,0,1
9,5,30.0,0,0,1,3,35,3.085794611538259,3,0
16,2,69.71304495434566,0,1,1,4,33,3.325537068106333,1,0
7,9,88.12617587650098,10,1,2,5,57,4.65238506194501,2,1
24,2,60.83858997739742,2,1,1,3,44,3.915324458051775,1,0
20,2,58.369997376542166,2,0,0,2,47,3.079245991043127,3,0
19,3,71.91997487845886,1,1,2,3,53,3.9348651247710857,2,0
63,2,70.13893259949052,0,0,0,3,33,4.12055251453137,2,0
5,3,62.59576977077743,2,0,2,5,18,3.8299051170390426,3,0
15,7,71.59548543223161,2,1,1,5,16,4.062104368776427,2,0
29,3,72.30748401939843,2,0,2,4,4,3.657281856252065,1,0
12,3,42.402404700287505,2,1,1,5,24,3.542840507072551,1,0
23,0,42.770407125830445,0,0,0,5,17,1.8209178489625462,2,0
8,4,40.62877525307559,4,0,0,3,59,5.0,2,0
13,5,37.29639481267367,4,0,0,5,54,4.99832924914859,0,0
0,7,72.15754979362633,6,1,0,4,52,3.8435113290008918,1,0
63,1,72.1932868725227,0,0,2,5,49,3.0604710038717933,0,1
24,4,66.71640545502449,1,0,0,5,7,3.7125611241018706,2,0
30,3,84.92892666722454,3,0,3,3,26,3.467384030829717,1,1
17,1,55.3748833650743,2,0,0,2,14,3.6778721059196013,2,0
3,14,,14,1,1,3,44,4.287485742963061,2,0
0,6,61.83957642158993,6,0,2,4,12,3.4798787721120217,2,0
29,3,77.13154934109261,3,1,1,5,15,3.6553554755812643,1,0
7,12,51.13751871909612,10,1,2,5,21,4.919946387537156,0,0
4,6,89.13044882167478,5,0,1,1,19,5.0,1,1
12,5,58.92435127250607,1,0,0,4,12,4.2046300576636915,2,0
8,3,67.69465770104995,0,0,0,4,19,3.529588301470672,2,0
15,8,62.438832481784615,6,1,0,3,1,4.686353076794143,1,0
9,2,54.0451862078029,0,0,0,2,34,3.523697114840745,3,0
17,2,73.6543483980797,1,0,0,3,46,4.310942324876368,1,1
28,5,30.0,0,0,3,5,54,3.6740801618613412,2,0
3,14,54.920821541134316,11,1,0,3,18,4.5677324679208455,0,0
5,6,71.92833621359735,5,0,2,4,44,4.192297932320933,1,0
8,7,38.22316734996378,6,1,2,5,36,3.7409564602551093,3,0
49,0,49.48697272989089,0,0,2,4,57,3.0060941586004644,2,0
6,2,52.60287582017401,1,0,2,5,53,3.9824207345862286,0,1
7,5,55.049111525258745,0,0,2,5,5,3.9034042696871825,2,0
15,0,50.96468586350601,0,0,0,3,13,4.254308019092995,0,0
8,8,44.720713736627786,4,0,0,4,3,4.484753338681974,0,0
45,3,58.935328427265134,0,0,2,3,21,4.718835613894421,1,0
33,2,72.08355595462096,1,0,0,3,50,3.562392172742123,1,0
10,6,65.73734600783615,6,0,0,1,54,4.349408115171735,2,1
15,7,75.40199239440419,9,1,2,4,38,4.044861059235339,2,0
0,6,56.99130526920908,1,0,0,4,35,3.6623046531795467,2,0
17,2,78.88774609129003,1,0,0,2,33,4.163027033699375,3,0
18,4,40.86433729186275,4,0,1,3,26,3.8490286201661887,0,0
6,6,79.66854353825101,6,1,1,5,6,3.8557538315740176,0,0
3,8,76.38291502651334,7,0,2,3,2,2.180875688734679,0,0
36,2,36.3355701054098,5,0,0,2,46,5.0,1,1
8,9,67.02201079864271,4,1,1,4,32,3.7532833371930585,1,0
15,6,58.106213534627884,4,1,1,5,1,4.751589086581364,0,0
0,16,58.40682337925148,13,0,1,3,41,3.969217828216123,0,0
8,2,60.990379023228165,1,0,1,5,15,3.4006339065631472,2,0
25,2,50.710642092271364,0,0,2,5,24,3.8201792530294436,1,0
7,7,74.08192900292664,10,0,1,3,59,4.5609246722511365,1,0
13,2,60.061329817625534,1,0,2,5,14,4.4519299195000235,2,0
3,8,43.13026688919963,7,0,2,4,23,4.394483959905139,0,1
8,9,,6,1,0,4,14,4.511292843138472,1,0
39,3,52.88689058303696,1,0,3,4,30,4.173469014108621,2,0
12,4,69.23843981829955,3,0,1,4,13,4.1946269141167045,2,0
34,2,40.27127962939407,1,0,1,2,53,3.9581987435787362,2,1
34,6,90.04135110018325,4,1,1,5,13,3.855977490917754,0,0
43,5,61.807916242614645,3,0,2,3,5,3.980207154278264,1,0
33,5,41.456280734892,3,1,1,3,13,4.6553406285477985,1,0
0,11,56.97137438389059,6,0,1,1,16,4.490831633928676,1,0
40,4,52.7608827876984,3,0,0,4,17,4.466286090896944,0,1
2,4,48.074470950420164,4,0,2,5,19,4.495423160664557,1,0
0,7,,8,0,1,1,50,4.803259991428576,3,0
0,16,93.45685995275005,13,1,0,4,16,4.825850614465507,0,0
6,6,88.04076991357677,4,0,1,3,15,3.6225000031794328,2,1
14,6,63.01946038497207,3,1,0,4,39,4.391259267739293,1,0
7,3,48.29072687479182,3,0,2,3,38,2.703632247240077,2,0
0,7,64.19851658416394,1,0,2,5,51,4.284368880089659,1,0
9,7,71.0712326241563,3,0,0,4,31,3.6872458748897317,2,0
8,8,63.054383322570686,2,0,1,5,59,4.466106565285365,0,0
21,3,71.17626445990263,1,0,0,2,43,4.3968411662725115,1,0
4,5,66.65833408276511,4,1,0,3,8,3.847008060515551,0,0
3,5,64.27028203627195,7,0,1,2,26,3.930464482639407,0,0
4,11,41.75682375146298,8,1,2,5,45,4.92664217637471,0,0
5,5,58.04487171190465,4,0,0,5,51,4.353919002556094,0,0
13,7,88.6624936758926,2,1,1,3,32,3.468736860484687,1,1
9,5,67.34558662538139,0,0,1,5,9,5.0,0,0
6,6,77.52545026723914,3,1,1,5,16,4.207114015958956,1,0
7,7,90.1698943351994,4,0,2,4,48,4.047297882269964,1,0
6,3,42.311414502687384,0,0,1,4,48,3.5223527388555764,3,0
53,1,98.98613483369267,1,0,1,3,35,3.217827638217003,2,0
3,7,74.5966464972628,2,0,1,2,16,3.8010246381445683,0,0
25,3,,3,0,0,5,17,3.4051090467257863,0,0
18,5,49.94815389048129,4,1,1,5,51,3.911609271977351,2,1
0,5,70.86305779798838,4,0,1,4,22,3.5145931418859875,1,1
74,3,47.981292667045295,3,0,1,3,33,3.1245861646275253,5,1
21,4,62.24432698871553,2,0,3,3,7,4.869345741212491,2,0
17,2,65.0525472262943,0,1,0,5,12,3.314759751418693,1,1
7,2,,2,0,2,5,22,3.5707881200345506,2,0
12,7,,6,0,1,5,56,4.277892968323307,1,0
4,9,52.20193082863694,5,1,2,5,53,4.532438838092231,0,0
0,4,30.0,1,0,0,4,19,4.16098228895519,0,0
27,3,,4,0,1,2,21,3.3799957269058645,4,1
34,5,78.80292612682129,7,1,1,3,46,3.2018809860790087,0,0
2,8,96.83848548237269,7,0,0,5,51,4.161560675865049,1,0
23,3,79.73556253663759,2,0,2,4,22,4.623732281866918,2,0
20,5,76.00305849461343,3,0,0,1,40,2.9970820675755694,2,0
2,7,54.32008500517961,4,0,0,2,34,4.090169968535891,0,0
8,7,94.55174267793068,9,1,2,5,2,3.0801894267767698,0,0
8,6,70.2645370936084,2,0,0,1,33,4.372630735474707,2,0
21,2,70.84981741454052,0,0,1,3,32,4.046216872634268,4,0
27,4,69.42328808713857,2,0,0,4,45,3.604422527516,1,0
1,5,42.626137422910986,3,0,1,5,16,4.065390315566899,1,0
12,5,65.75832432434447,6,0,0,5,44,4.139256495947085,3,0
21,1,38.17991391711684,0,0,0,3,18,3.8719656763743675,4,1
23,3,72.404703619515,0,0,0,5,29,4.193513388870995,1,0
2,13,65.04299464339127,11,1,2,3,22,4.482947093699541,0,0
11,4,50.51996251510098,1,0,1,3,14,5.0,3,0
29,1,76.89336307927395,1,0,1,5,58,4.459189035556977,3,1
5,8,54.62402341474855,4,1,0,4,56,4.336600357189237,0,0
8,5,54.986098059120295,4,0,1,5,13,3.9566243500298324,2,0
24,4,68.00955764543262,4,1,3,5,1,4.046117262456787,3,0
1,7,59.76243343716237,4,0,1,4,38,5.0,1,1
29,3,63.501054365121064,1,0,1,2,48,4.1352504202364795,4,1
5,9,75.48505836587316,8,0,0,4,17,5.0,2,1
0,6,48.92454721073278,9,1,2,3,5,4.669661664896282,0,0
4,10,,6,0,0,3,58,4.3188868548458315,1,0
1,14,56.50836361912763,7,1,0,5,31,3.952104031158952,0,0
1,5,59.05591981797393,5,0,1,4,20,4.769093246639568,1,0
17,6,69.63161792264812,4,0,1,5,39,3.6015981487070112,2,0
3,7,89.12652968076081,5,0,0,4,27,5.0,2,0
40,1,59.35800379834195,0,0,0,5,26,2.956089022709413,3,1
10,2,60.54310377130391,0,0,1,4,1,2.9729765165052653,3,0
9,8,50.227274803951836,5,1,1,4,32,4.256037971747424,1,1
8,6,48.406800618723295,2,0,1,4,15,4.320830896049784,0,0
17,3,70.15938227611417,0,0,0,3,38,4.633749462454213,3,1
9,5,60.5855845188324,3,0,0,5,21,4.7466201872374985,1,0
2,9,78.70557533202125,12,1,0,3,55,4.619369635189528,0,1
31,3,77.07261994815197,1,0,1,1,42,4.006257586074185,3,1
8,5,73.04171591762899,3,0,0,4,46,3.7442165846918356,5,1
1,6,38.08556242100735,5,0,0,3,12,4.506925625839857,0,0
11,3,70.24957842086285,3,0,4,5,55,4.000828459695726,1,0
15,5,45.97866176819714,2,1,0,5,1,3.354463583013225,1,0
4,11,31.741248050876372,6,1,3,5,13,3.0144197389445875,0,0
24,6,63.31424294500576,8,1,1,4,55,4.083876693747832,1,0
16,3,80.36946725514768,2,0,0,1,37,3.3952474328626114,5,0
15,5,70.67595844062117,5,0,1,5,40,2.503437229900113,3,0
8,5,46.77376969900563,2,0,2,4,27,4.838184143049802,3,0
49,2,101.94712603047059,3,1,2,5,6,3.374482113178179,2,1
4,6,72.25011937591425,4,0,1,5,17,3.7696330930994137,3,0
12,2,47.37380375576117,0,0,2,5,55,3.0959726252257656,6,0
5,3,30.0,1,0,1,3,40,3.6949812862608202,3,0
20,1,56.93149988441019,1,0,0,4,54,4.488348901627367,1,1
0,19,30.5403549649409,9,1,2,5,35,4.528137566246611,1,0
0,11,44.553391799243414,2,0,1,3,40,5.0,0,0
24,2,34.514949808696834,1,1,0,3,35,3.875425373914284,1,1
8,6,48.69546839221563,2,1,0,4,43,3.1787360971440797,1,0
6,6,51.996725654658434,8,0,0,5,3,3.76552051431678,0,0
14,1,46.894234066121854,1,0,1,5,56,2.8804012379280692,2,0
18,4,94.50312577595926,6,0,1,4,29,3.5238271677189967,5,0
3,7,57.199400144131616,7,0,0,2,23,3.4682503821101505,4,0
3,4,79.92192426966245,6,1,2,4,19,4.140881536080673,1,0
47,1,68.53884692470906,0,1,3,5,45,3.7718352777363977,1,1
13,3,56.89449078476883,3,0,0,2,55,2.8139626362580508,2,1
7,6,52.82804283313426,4,0,0,4,30,4.144512456413165,2,0
24,7,80.26509068522184,7,0,1,5,23,3.939483006978312,1,0
11,4,44.457678407159314,1,1,1,5,6,3.9082526541411142,1,0
4,7,50.59722585838523,6,0,2,5,25,3.4696972041992677,4,0
3,8,,10,1,3,5,12,4.776439797889747,1,0
7,3,61.12117713989893,2,0,1,4,53,2.92409190935367,4,1
29,2,46.36881080528004,3,0,0,3,7,4.002872371061654,3,0
0,11,74.05101485051057,11,1,2,5,54,3.6855747578659814,1,0
3,4,76.12075293388887,2,0,2,5,4,4.981450236441744,3,0
33,4,49.23312654295508,2,0,1,5,43,4.436181693571687,4,0
1,10,67.91145009899654,3,0,2,5,12,4.6580446883400874,0,0
14,3,47.398514522215464,3,0,0,4,28,4.672212931052005,1,0
3,16,62.68203629827977,15,1,0,4,19,5.0,0,0
13,3,77.55135732460604,4,0,2,5,13,3.0535815616695285,3,0
7,3,61.54912611626422,1,0,1,4,31,4.294341575649078,1,1
1,13,58.424076833463864,15,1,1,5,59,4.160357358080097,0,0
13,6,94.31495776237321,3,1,0,5,49,4.942517451975599,1,0
17,7,65.40433073583618,5,0,1,5,26,3.116115309585862,4,0
17,4,47.35331520932067,1,0,2,3,55,4.358974738840557,1,1
15,1,46.18693604926608,0,0,0,4,24,3.343467821829245,2,0
10,3,94.18969417846705,1,0,1,2,51,4.680439560081396,4,0
10,5,48.89074509639668,5,0,1,4,3,4.0681322809322005,0,0
15,4,,0,0,2,1,20,4.27285731333498,1,0
17,9,60.40181366891143,9,1,2,4,17,4.6792752445776555,0,0
15,7,70.97790417341633,5,1,0,4,38,3.4602242206288705,1,0
13,4,41.39159587194128,2,0,1,3,14,4.084371195269515,2,0
2,8,55.82231710947941,10,0,1,4,52,4.9908040318544415,1,1
3,4,39.87923517446333,3,0,2,1,37,4.30641067448103,1,0
4,4,57.707165223444335,2,0,2,1,47,3.3799165364097408,0,0
37,3,72.32297866147896,3,1,0,5,51,3.7146458463530307,0,1
21,6,56.23320474395268,5,1,0,4,23,5.0,2,1
12,5,89.54035388420213,5,0,0,2,7,4.701442900555642,1,0
4,8,47.29899383610591,3,0,1,4,27,4.80799266781656,0,0
1,7,63.26665298960388,6,1,0,5,20,3.749944574965481,0,1
34,6,79.611474189254,4,1,1,3,15,4.164197338807063,0,0
33,7,75.13353785247698,7,1,1,4,59,3.9215147977553433,0,0
1,4,99.63924296789786,4,0,0,2,53,3.4884824069449483,1,0
23,7,64.8566777393509,4,0,0,2,15,4.655147327855641,1,0
8,8,,6,0,0,4,34,3.853104356187719,0,0
5,6,61.25774027992437,6,0,0,4,16,3.5027644288025064,1,0
20,3,47.42787270142054,0,0,1,4,8,4.649423180411243,1,0
14,5,61.808109597172916,1,0,2,5,56,5.0,1,0
22,1,78.50262097132938,2,0,0,5,34,3.767240534762433,3,1
1,3,70.44977063785491,3,1,0,4,51,3.277318461666749,0,0
5,6,58.43393112418527,4,0,0,3,28,4.070693172853224,1,0
5,7,49.696222588199554,6,1,2,5,38,3.546287365566169,0,0
6,2,64.87665549198724,0,0,1,3,17,3.590671833963184,2,1
10,6,67.94651728331687,3,1,2,4,11,4.211191312855419,0,0
4,3,41.190142979217285,3,0,0,2,18,4.380553736706217,2,0
8,10,44.71345699976096,10,0,3,1,47,4.112643210423673,3,1
6,7,55.655641102549566,2,1,1,5,21,3.7601934967486237,0,0
19,4,40.02712262589326,5,0,2,5,58,5.0,0,1
13,8,32.836357074347895,4,0,1,5,55,4.549177654570619,1,1
15,5,44.540603996227745,5,0,0,4,48,5.0,1,0
3,3,65.73898418353397,1,0,0,3,51,4.00152193209499,1,0
5,7,61.52864399086774,4,1,0,3,14,4.389389655442965,1,0
0,11,53.32745804725471,12,1,0,3,0,3.568988775757415,0,0
1,9,45.957066906338476,6,0,1,4,1,4.667453793898785,1,0
4,6,65.53190570176562,2,0,1,5,7,3.455416794515787,1,0
1,5,,0,0,1,5,21,3.830306845365373,0,0
13,4,78.64319350319408,1,0,0,3,24,3.6537187392342383,2,0
90,1,30.0,0,0,1,5,1,3.902335250899229,3,1
1,11,33.810001540660636,3,0,3,5,50,3.332272725793498,4,0
25,2,74.07196805805,0,0,1,4,8,5.0,3,0
1,11,67.10258520202888,8,1,2,4,8,3.4291818736981856,2,0
16,5,74.01225224025067,2,0,1,4,12,2.5478806973904895,4,0
15,9,46.61785771797253,6,1,1,3,5,4.018768978076748,2,1
34,4,54.162806681156965,7,1,1,4,29,4.336845427563661,0,0
1,9,40.835366829357696,7,1,2,5,14,5.0,0,0
5,11,,6,0,0,1,50,4.9402162868624755,0,0
1,10,62.093394463075406,8,1,0,2,52,4.743283060786688,1,0
7,7,81.2349824487634,4,1,0,1,14,4.57463016230296,1,0
36,2,57.48634035189235,1,0,0,1,49,4.30719513962675,2,0
22,3,49.25511039493688,1,0,1,5,6,4.153530896313276,0,0
19,2,43.205911333804195,0,0,0,5,57,3.1822161354751604,2,1
11,11,76.70779542491348,6,0,0,4,10,3.5630222386522084,1,0
32,1,61.21628773648009,2,1,0,2,39,3.653815749356245,2,0
8,9,61.81894205267104,3,1,0,4,37,4.102430508530248,1,0
2,13,38.34106509869213,6,1,1,4,39,5.0,0,0
27,2,46.24763325891506,1,0,0,3,1,3.951300948066601,2,0
4,11,71.02266648745197,9,0,1,4,50,4.08168902491663,0,0
0,9,52.10576133201298,7,1,1,4,47,5.0,0,0
2,6,50.227135278361644,1,0,2,4,38,4.347894620707383,3,1
14,0,97.64319941118077,0,0,0,4,9,3.4888433594043464,1,0
14,9,61.04332015521897,3,0,0,1,43,3.934607629685355,1,0
4,7,57.415163561374676,4,0,1,4,16,2.5353959767686356,2,0
19,4,57.96330662599168,2,1,0,4,6,4.936870134213963,3,1
22,1,49.82942354743984,2,1,1,4,53,4.370704558502542,3,1
37,2,58.91228970695577,2,0,2,5,39,4.413445163356717,2,1
13,7,89.10159615668297,2,0,4,5,38,3.9004297929040352,0,0
22,3,66.19616741632193,1,0,2,3,3,5.0,0,0
20,4,36.069412096369135,1,0,2,2,34,4.1853456760813135,1,0
4,6,53.44044060545337,3,0,1,4,50,2.740436346242233,3,0
5,6,61.56385002862153,5,0,2,1,46,3.887442139601867,2,0
9,4,37.40518789708846,2,1,0,4,35,3.7456777681131155,0,1
0,14,52.98209444812259,12,1,2,5,30,4.055402911848805,0,0
5,6,45.58462841218912,3,0,1,4,24,3.110149216639287,0,0
9,8,54.05729121353682,13,1,1,4,40,4.423430378019896,0,0
1,3,61.05033644464429,0,0,0,4,12,2.8277311660300772,5,1
2,6,70.48020177125885,1,0,0,4,17,4.55326100603211,3,0
9,5,42.69210521224131,3,0,0,4,20,3.3223361898527157,2,0
19,3,58.714995878312294,4,0,2,5,47,3.3116039106460797,2,0
26,3,55.090556149268274,2,0,0,4,0,3.186796313397781,2,0
11,11,,6,0,2,5,35,4.716365351249115,2,0
9,4,47.7093502546606,2,0,1,5,49,4.01289954111235,1,0
7,11,59.28811252532731,1,0,2,3,7,4.266561448795667,0,0
3,9,67.4052764299044,4,0,1,2,51,4.081793313479382,1,0
2,9,39.12255371883569,5,0,0,2,47,4.867321694507049,0,0
23,4,85.92604997095063,2,0,0,1,20,5.0,0,1
9,4,74.12441298532846,2,0,1,2,42,3.7462830167423444,2,0
23,6,36.38112831996517,1,0,0,5,51,3.02889365857499,2,0
18,5,81.7026141022962,3,1,1,2,52,4.4268812729268845,1,1
3,4,82.71847776833171,3,0,1,3,52,4.2111404437426385,2,0
10,2,,0,0,2,5,20,3.4046770001553153,0,0
8,4,63.085073130388594,6,0,0,1,26,2.2048497619306264,3,0
8,5,61.35722066057977,1,0,1,5,18,2.9374130055197654,7,0
11,3,39.33755782342537,0,0,1,3,22,5.0,0,0
60,2,75.40458826225539,2,1,2,2,50,3.042075760151885,2,0
25,6,31.787050265976873,5,0,1,5,49,4.103022137120125,2,1
35,2,64.34083023551237,3,1,1,4,50,4.7033560971263375,2,1
0,15,83.51998054360601,8,0,2,5,42,3.78923122395041,0,0
2,10,34.6687803835696,5,0,0,5,34,4.0907250938876,1,0
1,12,55.60350762825971,7,0,0,5,39,4.134622981890674,3,0
4,6,77.09767723876172,3,0,0,3,51,4.718034736708255,0,1
8,6,66.03458436811003,4,0,1,3,50,3.622053586096743,1,0
15,6,72.50241819122428,8,1,0,5,41,3.308462472751819,0,1
10,7,49.69051483755667,5,1,0,5,47,4.755813211550101,2,0
35,1,45.88926219773659,0,0,0,5,4,3.907315015055147,1,1
42,2,57.004638964312996,1,0,1,4,51,2.7866709895786617,5,1
2,7,63.98005808757867,7,0,0,4,40,4.456866060974658,2,0
28,4,68.99799844373572,5,1,2,5,7,4.241262927334593,2,0
9,6,66.66908112409462,6,1,0,3,10,5.0,0,0
9,4,74.68108202989974,3,1,3,5,15,3.180027212577518,2,0
23,8,61.7372594893922,7,1,1,5,38,3.729586729566917,1,0
1,5,44.28636469995519,3,0,1,4,46,4.2677496464691265,1,0
32,3,39.67386550323336,3,1,0,5,23,4.974102786224669,0,1
16,8,,4,0,0,5,60,4.96994093827936,2,0
31,2,,0,0,1,2,20,4.340209787478594,3,0
77,1,89.57019072668578,0,1,2,5,51,3.507135401693524,1,1
10,8,96.35311878840682,5,0,2,4,22,3.722693194344971,1,0
1,20,74.58573686463063,12,1,0,5,48,4.6858628940799,1,0
2,12,65.49874942883113,7,0,1,3,37,3.0904550531986708,0,0
5,5,53.69296690554084,5,1,0,5,46,5.0,0,0
1,10,46.89359228487227,6,1,1,4,7,4.515745538997301,2,0
25,2,61.00250517851172,2,0,0,1,6,4.830996736712452,3,0
5,11,58.425998863581476,11,1,1,5,1,3.7381534186362533,0,0
55,1,88.57790555413524,3,0,2,2,29,3.3129307909616794,2,0
18,7,68.79022932215453,7,0,0,3,12,4.967219203900841,2,0
2,5,56.552568003489576,3,0,2,5,22,3.5954935539454325,4,0
