delivery_min,rest_dist,food_temp,rest_rating,items,order_sum,weather,promo,hour,late
44,18.25,62,1.96,15,3963.65,0,0,12,0
87,3.51,17,3.74,4,2311.1,1,0,22,0
90,12.72,53,2.18,12,640.75,0,0,8,0
45,1.06,26,1.04,8,4884.7,0,0,1,0
59,13.05,82,3.53,10,1880.35,2,0,14,1
113,5.9,77,1.45,3,5123.8,2,1,17,0
13,9.27,24,3.64,2,3730.13,1,1,22,1
11,7.23,33,4.7,9,2251.48,2,0,7,1
15,3.87,87,4.88,12,3646.63,0,0,2,0
63,12.63,59,1.94,11,3943.86,0,0,0,0
115,17.7,53,4.24,4,4298.76,0,0,6,1
13,19.2,86,2.41,9,4969.56,0,1,5,1
63,4.25,4,4.6,6,1126.58,0,0,0,0
102,14.49,35,4.15,1,5676.04,1,0,8,1
72,13.45,53,1.3,14,2582.88,0,0,10,1
27,7.2,87,2.63,11,5190.61,0,0,21,0
99,0.87,35,2.35,3,1478.78,1,0,4,0
53,13.95,68,4.14,7,368.37,0,0,2,0
43,18.94,38,2.64,9,3525.4,0,0,8,0
83,12.83,69,3.74,8,2083.06,0,1,6,1
71,8.99,3,3.41,12,5909.88,2,1,19,1
109,10.74,73,4.9,5,805.83,0,0,12,0
23,4.39,64,4.75,12,474.36,2,0,0,0
104,15.14,84,2.71,13,461.1,1,0,19,0
57,15.06,39,3.89,8,1457.87,0,1,2,0
24,3.34,36,4.32,2,3559.31,0,0,5,1
81,17.62,66,4.6,3,3132.27,1,0,10,1
87,5.75,30,1.27,8,2230.44,2,1,16,0
96,19.65,90,2.21,9,715.0,0,0,14,0
71,7.97,80,2.28,10,1555.68,0,0,3,0
49,3.97,86,2.74,8,1268.05,0,0,0,0
94,7.36,76,1.68,4,4524.87,0,0,0,0
89,9.08,46,2.98,13,4723.69,2,0,5,1
118,1.85,26,3.65,6,4706.68,0,0,21,1
91,11.78,50,2.99,11,5820.44,0,0,8,0
120,12.15,19,3.66,5,5328.58,2,0,13,0
62,14.91,12,1.27,12,3087.27,0,1,13,0
33,1.07,62,4.5,15,2606.63,1,0,6,0
35,11.05,43,4.76,4,5511.46,1,0,5,0
98,1.53,23,3.47,9,3745.11,0,0,18,1
69,14.17,2,4.53,10,1907.51,0,0,2,0
118,1.59,9,1.53,3,3473.89,0,0,4,1
50,18.28,64,4.19,1,5954.47,2,0,21,0
38,14.19,48,1.48,13,5126.93,1,1,5,1
24,10.39,57,2.63,7,1831.42,0,0,7,0
54,9.11,76,2.3,10,5727.14,1,0,23,1
74,3.05,77,3.34,8,5892.48,1,0,12,0
98,6.17,1,2.21,11,1540.77,0,0,12,1
80,17.44,65,3.55,13,5394.43,0,0,0,0
18,18.14,30,2.47,3,5322.58,1,1,18,0
97,0.51,67,4.44,3,430.57,0,0,20,1
10,12.09,82,3.54,14,4084.2,2,0,8,0
117,14.53,36,1.86,6,1970.63,1,0,3,1
17,12.57,72,2.34,15,4112.75,0,1,4,0
97,2.09,23,4.39,2,5498.64,2,1,16,1
72,4.75,76,2.55,6,3092.92,0,0,6,1
20,5.38,43,3.14,5,2603.59,2,0,17,0
90,16.72,82,3.6,14,5544.88,0,1,12,0
17,9.53,40,2.39,7,5849.87,1,1,0,0
44,9.99,73,2.18,15,560.97,1,0,13,0
44,18.73,50,2.9,9,5552.52,0,0,13,0
42,12.92,41,1.86,9,680.06,0,0,12,0
14,18.02,77,2.14,1,2156.26,1,0,17,0
115,9.4,39,1.25,7,4622.93,1,1,7,1
112,3.41,47,2.22,3,4706.81,0,1,0,0
50,18.63,83,2.28,4,4409.77,2,1,14,1
37,9.44,3,4.85,2,426.85,1,0,16,0
16,4.04,59,3.36,1,971.2,0,0,16,1
82,6.4,38,4.15,10,5630.06,1,0,1,0
81,1.49,4,1.18,14,672.48,0,1,13,0
21,9.63,5,1.43,3,655.57,2,0,0,0
43,17.14,13,4.26,10,5046.75,0,1,1,0
42,18.7,69,3.49,9,3919.34,0,0,6,1
57,18.69,77,1.76,1,2239.61,0,0,0,0
32,2.94,11,2.62,15,1161.12,2,1,9,0
71,7.95,61,3.15,3,5328.19,0,1,17,0
97,1.05,26,4.37,11,5933.52,0,1,2,0
46,17.18,53,1.24,5,489.84,0,0,17,0
108,7.5,89,3.39,3,3413.86,0,1,18,1
53,12.81,11,3.87,4,1715.56,0,0,12,1
113,14.44,7,4.91,4,5027.84,1,0,22,0
95,8.88,73,4.23,1,2207.22,0,1,1,1
100,6.48,15,2.1,6,4344.85,1,0,2,0
44,19.26,51,3.84,11,3329.24,0,0,21,1
74,19.31,25,4.05,12,3340.84,1,0,3,0
108,6.14,7,3.92,7,5176.4,0,0,16,1
110,9.85,44,4.28,12,2928.35,1,1,7,0
56,19.47,83,4.61,7,5104.48,0,1,22,0
87,0.59,80,1.39,13,2307.88,0,0,7,0
12,8.55,18,1.42,6,1213.74,0,0,2,0
10,2.46,16,4.19,7,2841.77,0,1,14,0
14,10.43,64,2.01,14,3090.46,0,0,10,1
99,0.98,28,1.23,3,2974.62,1,0,8,0
23,8.43,13,2.6,5,4888.32,1,0,10,1
112,4.8,16,4.28,14,3475.14,0,0,5,0
36,10.9,12,1.51,14,5352.98,0,0,9,0
18,19.92,90,3.69,7,3182.28,1,0,9,0
88,16.11,62,1.01,10,1503.35,2,0,17,1
24,16.99,32,1.44,5,951.08,0,0,12,0
99,12.89,28,2.4,14,5236.5,0,0,16,0
51,1.31,36,1.33,10,525.8,0,1,3,0
86,4.53,82,4.38,2,882.14,0,0,17,1
60,18.54,45,4.46,6,569.22,0,0,0,0
72,7.64,23,4.02,7,2657.66,2,0,17,0
105,2.52,13,1.97,11,3289.17,0,0,6,1
112,14.2,4,3.09,2,315.27,0,1,4,0
61,6.34,52,1.74,10,3190.4,2,0,15,1
105,5.74,87,2.13,8,2483.8,0,0,4,1
13,19.96,29,3.06,5,4687.14,0,0,9,1
103,17.23,59,3.94,11,5013.75,0,0,15,1
110,8.45,72,1.38,8,4172.81,0,0,3,0
32,19.62,90,2.19,15,2946.27,1,0,0,1
112,13.18,27,4.71,3,1453.66,0,0,7,0
118,14.97,25,2.72,2,5113.27,1,0,0,1
24,1.11,17,4.76,7,2181.68,1,1,2,0
52,2.87,35,4.97,5,2266.49,0,0,17,1
38,12.85,7,3.11,5,5512.87,1,0,1,0
45,18.03,17,2.15,13,5858.46,1,1,4,0
22,12.66,83,4.16,8,5409.16,2,0,10,0
41,3.11,57,1.64,13,5989.76,0,0,13,0
80,2.76,31,2.01,9,5239.67,0,0,17,1
68,16.96,48,4.14,15,4285.27,2,0,9,1
95,3.22,47,2.73,14,1904.15,0,0,6,0
37,10.64,81,1.81,8,5727.15,0,1,7,0
75,1.22,70,3.6,10,5284.44,1,0,19,0
51,2.07,64,3.93,2,1596.33,0,0,16,0
54,13.61,32,1.5,10,3037.14,0,0,6,0
71,13.94,49,2.11,11,606.32,2,0,22,1
66,7.16,3,1.89,7,5729.19,1,1,15,0
15,4.7,83,2.52,11,3522.06,1,0,16,1
37,16.37,35,4.05,5,1622.16,0,0,3,0
37,4.73,27,3.85,14,1895.92,1,0,3,1
117,11.07,2,3.65,7,5887.81,1,0,0,1
53,19.38,5,1.03,3,3770.56,0,1,22,0
93,3.38,44,1.57,4,2639.96,0,0,2,0
39,18.85,22,1.89,7,3099.1,1,0,11,0
71,4.07,6,2.09,2,771.59,0,1,16,0
84,11.57,60,1.59,2,635.13,0,1,15,1
101,7.85,64,2.64,1,3637.7,0,1,13,1
98,19.32,5,1.3,1,3169.62,0,1,22,0
112,5.83,23,4.0,12,2283.09,0,0,2,1
71,8.29,36,4.15,1,3483.46,2,1,18,1
106,19.67,44,3.3,6,621.52,0,1,18,0
10,10.96,50,1.36,13,5675.15,0,0,15,1
36,10.3,87,4.56,5,1903.53,0,0,3,0
71,5.53,44,4.86,15,616.32,0,0,20,1
86,14.18,62,1.81,10,1183.12,0,0,16,1
114,0.78,28,3.82,8,753.75,0,0,18,1
12,1.47,24,4.37,5,1235.91,0,0,11,0
112,12.19,9,3.16,1,2617.17,0,1,0,1
79,7.16,34,2.29,12,4480.7,0,0,18,0
81,19.09,54,2.91,8,1779.62,2,1,18,1
36,18.11,24,3.05,6,2728.37,0,1,19,0
18,14.42,90,2.6,8,5586.79,1,0,11,0
71,16.45,44,4.72,13,1915.77,0,0,11,0
46,13.51,11,3.98,2,4809.37,0,0,16,0
106,2.95,3,1.97,10,1115.34,1,1,4,1
60,15.43,89,3.34,8,1234.27,0,1,3,0
115,4.6,66,3.75,6,2845.69,0,1,4,0
53,6.81,16,1.56,1,1557.79,0,1,5,0
33,16.48,72,2.43,13,5437.56,0,0,2,0
88,10.96,64,4.62,1,494.36,1,0,14,0
68,17.27,81,3.27,10,3664.18,1,0,2,0
41,4.65,52,1.87,12,3704.53,0,0,12,1
105,12.35,83,1.49,5,582.95,0,0,4,0
97,2.13,56,3.07,7,4448.87,2,1,20,1
114,13.04,27,3.19,4,2919.61,0,0,8,1
61,15.37,15,2.34,14,4393.83,1,0,22,0
71,11.91,20,3.52,13,4996.16,2,1,14,0
67,5.69,76,1.27,10,2072.82,0,0,21,0
61,1.11,41,1.58,5,3010.02,0,0,1,1
21,2.83,53,3.19,10,1712.41,2,1,8,0
48,12.63,31,1.25,3,1368.78,0,0,14,0
11,18.72,37,4.52,2,203.45,0,0,2,0
12,4.53,69,1.57,2,5789.06,0,1,6,1
110,14.83,37,3.7,14,2757.39,0,0,7,1
65,17.4,53,2.56,5,275.8,2,1,12,0
90,10.66,59,2.6,4,251.84,0,1,20,0
68,13.55,76,4.06,2,1872.44,0,0,21,1
11,16.39,76,3.0,5,280.84,1,0,14,0
11,5.58,46,3.9,10,2372.18,0,1,5,0
101,6.29,11,3.02,9,565.04,1,1,20,1
63,0.51,52,3.37,8,427.66,2,1,12,1
96,19.28,32,4.04,9,4082.41,2,0,6,1
110,18.39,27,3.43,9,5459.68,0,0,16,0
105,15.41,2,3.46,8,2574.44,1,0,14,1
106,2.04,81,4.16,9,5053.27,0,0,4,0
10,9.23,25,4.8,4,369.74,0,1,9,0
28,2.49,53,2.51,8,4710.6,0,0,21,0
11,0.81,39,3.31,14,564.24,1,0,11,0
62,12.52,65,1.35,2,5062.95,0,0,18,1
53,19.24,67,2.44,9,5317.72,1,0,17,1
99,18.11,88,2.65,13,4758.65,0,0,3,0
41,14.09,89,4.34,9,4960.34,2,0,12,1
79,2.38,46,3.05,11,3456.61,0,0,2,1
41,5.85,1,3.92,3,1736.33,2,1,5,0
77,6.74,41,1.08,6,3930.74,1,0,5,0
64,15.38,33,2.86,12,2749.34,2,1,3,0
84,16.14,20,4.61,7,230.95,1,0,3,0
65,8.01,43,1.9,3,2965.59,1,0,12,0
26,8.65,86,1.13,5,3976.89,0,0,9,0
47,1.37,1,2.73,1,280.53,1,1,9,1
33,6.14,90,3.82,11,3803.89,0,1,10,0
78,9.3,58,2.82,3,3984.69,0,0,12,1
107,2.78,85,2.84,12,1117.02,1,0,9,1
79,9.34,15,3.68,8,2700.23,0,0,10,0
95,17.14,19,2.02,3,5793.13,0,1,17,0
20,11.84,25,4.01,8,5328.3,0,1,6,0
25,2.04,15,1.61,9,2582.76,0,0,8,1
106,4.24,69,2.58,6,2229.11,0,0,12,1
82,9.75,22,3.62,7,919.67,0,0,9,0
68,7.55,41,4.31,6,404.1,0,1,17,1
79,7.5,36,4.17,8,1925.28,1,0,14,0
89,10.82,71,3.89,14,5653.64,0,0,4,0
102,11.9,5,2.44,7,5759.96,2,0,14,0
12,16.04,36,1.49,10,4912.61,2,0,10,0
29,7.15,21,1.87,1,2234.78,0,1,5,0
68,16.21,5,4.46,3,1033.03,0,0,0,0
45,7.1,31,4.43,3,3654.09,0,0,13,0
28,1.58,16,4.81,15,3949.73,2,1,14,0
99,11.31,37,1.3,3,2662.53,1,0,6,0
76,11.96,16,3.15,4,4211.55,1,0,14,0
28,18.72,36,3.59,13,4530.75,2,1,15,1
29,14.66,22,3.84,1,4741.76,2,0,23,1
105,18.4,48,3.58,14,3113.33,2,0,4,1
80,18.21,60,4.08,11,4791.52,1,0,21,0
61,12.29,48,2.44,15,347.76,2,1,19,1
114,10.79,60,1.72,2,4146.35,2,0,18,0
42,11.37,76,1.82,12,1566.68,0,1,18,0
49,19.58,31,1.05,5,1769.02,2,0,17,0
48,15.58,85,2.4,11,729.55,1,0,5,0
91,2.57,62,1.37,6,1315.88,0,1,8,1
113,15.68,6,2.29,9,5953.65,0,0,2,1
10,3.83,21,3.51,2,2609.26,1,0,16,1
20,9.22,84,4.58,14,5581.04,0,0,9,0
101,4.6,5,4.36,12,1144.82,2,0,15,1
66,13.95,60,2.01,9,1383.54,0,0,0,1
98,17.61,13,1.54,7,3435.32,2,0,3,0
59,6.16,15,1.77,9,2227.29,0,0,0,0
32,2.1,2,4.88,4,3934.71,0,0,17,1
40,6.32,8,3.2,7,2647.87,2,0,19,1
103,13.61,46,1.73,1,4907.26,0,1,3,0
51,6.91,84,4.36,8,2703.04,2,0,10,1
108,5.92,41,2.58,7,3519.63,0,0,23,0
16,4.1,41,4.6,7,2062.22,2,0,3,1
25,10.2,22,2.04,2,4283.44,0,0,18,1
99,5.88,2,2.57,10,3997.46,0,0,3,1
69,14.75,0,3.02,15,2502.61,2,0,4,1
11,1.99,66,4.57,9,1800.99,0,0,20,0
10,13.45,70,4.48,11,3761.81,2,0,12,0
57,5.13,2,3.3,8,5670.28,2,1,3,0
21,10.04,48,1.89,1,969.33,0,0,9,0
78,6.08,66,2.61,11,4834.88,0,1,17,1
46,14.59,54,4.9,1,3349.35,0,0,2,0
41,18.93,3,3.43,14,3248.25,0,0,18,0
18,18.38,30,4.12,5,5777.77,0,0,4,0
114,11.88,65,2.8,2,3714.07,1,0,10,1
108,9.52,77,3.13,1,5017.0,2,0,1,1
28,16.46,63,2.72,10,3183.97,0,1,17,1
57,13.82,30,3.81,12,1649.15,0,0,10,1
89,4.08,62,4.41,13,4228.04,1,0,11,1
12,16.51,65,3.03,11,5554.43,0,0,15,0
29,8.86,30,2.92,8,5079.13,1,0,1,0
33,4.19,46,2.36,12,1350.51,0,0,21,0
63,6.0,21,1.71,13,2037.96,2,0,23,1
42,5.72,73,4.76,4,3197.91,1,0,15,1
33,10.62,82,2.26,2,3515.3,0,1,15,0
84,5.07,45,4.2,14,1324.12,1,0,21,1
81,2.91,88,3.86,5,1534.07,2,1,3,1
45,2.91,57,4.16,12,4601.22,2,0,7,0
47,11.87,60,4.75,11,4435.84,0,0,3,0
113,14.83,45,3.49,13,5067.41,0,0,10,0
93,6.77,0,4.59,13,5610.99,0,0,7,0
108,1.18,24,1.67,12,1987.91,0,0,11,0
98,2.98,60,3.51,6,5185.65,0,0,3,0
108,18.34,80,4.09,8,4062.87,1,0,6,0
34,10.12,13,2.09,15,5755.07,0,0,12,0
102,9.34,44,3.96,15,1778.03,0,1,10,0
27,1.24,76,4.11,7,1764.09,0,0,9,0
119,14.71,38,4.32,7,4284.9,0,0,8,0
91,10.8,65,2.25,1,5584.78,0,1,5,1
75,4.44,31,3.73,3,4982.42,1,0,16,1
63,2.65,57,2.22,3,4416.83,2,0,12,0
44,7.98,55,3.96,7,2446.39,1,0,5,1
89,16.82,5,2.85,12,4363.05,0,0,23,0
70,17.37,88,3.39,14,4846.35,2,0,16,1
50,12.26,66,2.66,2,4569.06,0,0,12,0
109,14.69,81,1.65,10,4125.5,0,0,20,0
42,2.75,49,1.71,7,473.36,0,0,14,0
77,11.97,37,1.31,9,4026.35,0,0,15,0
42,13.51,2,3.47,1,2974.11,1,0,20,0
23,4.41,4,4.39,12,5777.1,2,0,23,1
30,17.66,23,1.08,14,3721.7,1,0,6,1
57,4.3,53,1.26,2,3727.72,0,0,20,0
29,6.61,33,2.83,11,5965.52,0,0,12,0
17,12.6,38,3.95,6,742.81,0,1,5,0
16,12.95,87,1.63,2,1802.63,2,0,7,0
76,14.14,47,2.09,14,4005.26,0,0,21,1
26,2.68,48,1.93,12,2028.37,0,0,9,1
42,17.06,33,2.6,2,2207.67,0,0,20,0
57,10.89,79,1.9,5,5377.34,1,1,9,1
85,9.69,6,2.41,7,3560.25,1,1,0,0
68,19.63,17,3.91,4,796.62,0,1,11,1
95,14.94,69,3.44,13,2003.0,1,0,7,0
31,2.8,33,1.32,6,641.14,1,0,7,1
119,15.25,50,3.55,12,3425.55,1,0,21,1
39,2.36,67,2.91,3,1204.96,2,1,6,1
47,1.04,13,4.74,4,5171.27,2,0,6,1
111,8.37,68,2.16,4,3548.42,0,1,14,0
118,19.87,88,3.9,15,544.38,1,0,11,0
60,3.91,7,3.92,4,1945.08,1,1,15,0
63,13.62,14,1.89,12,3774.76,0,0,15,0
17,3.88,82,4.61,1,2145.89,2,0,1,0
36,14.63,58,2.96,13,3176.42,0,0,13,0
36,10.35,10,3.72,4,5474.3,1,1,15,0
107,13.76,19,1.58,4,2230.21,0,1,13,1
30,4.46,54,2.03,6,2148.06,1,1,5,1
39,15.04,35,3.34,9,4954.59,0,0,22,0
106,19.91,81,2.28,10,2048.79,0,0,23,0
37,13.48,13,3.0,6,652.16,0,1,17,0
120,10.12,57,2.5,6,1249.48,0,0,9,0
73,18.5,37,3.56,7,5703.04,2,0,23,0
106,0.81,88,2.95,7,5613.1,0,1,14,1
78,14.73,79,1.02,1,1503.91,0,0,17,0
70,17.83,81,3.6,8,3410.31,1,0,8,0
57,1.7,0,2.69,1,996.73,0,0,15,0
28,9.28,64,2.37,15,4113.13,0,0,15,0
13,4.49,0,1.38,9,1274.77,0,0,1,0
44,11.55,84,1.88,14,488.78,1,0,14,1
73,13.17,59,1.9,14,4984.4,2,0,18,0
58,6.4,24,4.74,15,2087.32,2,1,23,0
26,9.47,90,2.73,4,829.43,2,1,10,0
53,5.95,9,1.17,9,5036.64,1,1,21,0
101,7.7,49,1.56,8,4621.91,2,0,7,1
39,3.61,11,1.32,9,4165.8,0,0,9,0
102,17.77,31,3.36,15,5485.24,0,0,5,1
55,0.7,32,1.75,14,3037.51,0,0,18,0
15,17.71,71,2.99,6,942.73,0,0,2,0
108,11.65,25,2.48,9,555.81,2,0,17,0
114,6.97,41,4.22,4,2046.96,0,0,7,1
46,14.6,49,2.28,3,703.62,1,0,20,1
33,10.4,60,2.83,3,3305.95,0,0,8,0
102,10.23,40,3.89,8,284.09,0,1,4,0
55,2.65,56,2.73,2,2773.83,0,0,4,0
62,8.1,1,4.17,12,1235.07,0,1,23,0
104,5.2,69,3.65,6,2335.95,2,0,14,1
108,0.81,30,2.64,9,4115.2,1,0,23,1
69,7.52,22,3.02,15,2235.59,1,1,1,1
106,2.25,75,4.87,9,2179.77,0,0,23,0
72,5.51,53,3.65,8,5946.35,0,0,12,1
94,2.3,27,4.62,8,4369.13,0,0,22,0
41,2.47,78,1.72,1,3180.4,1,0,11,0
96,4.38,18,2.93,11,3560.38,0,0,21,1
42,20.0,75,4.63,7,3797.06,1,0,2,0
76,0.54,47,2.29,14,342.54,1,0,4,0
27,12.95,1,4.87,15,665.53,0,0,17,1
34,3.25,10,1.39,1,3965.3,1,0,10,1
115,18.45,43,4.61,9,2313.92,1,1,15,1
104,2.33,58,2.78,3,521.58,0,0,8,1
63,19.12,58,1.29,1,1925.58,1,0,20,0
67,12.41,37,4.52,8,955.64,1,0,23,1
76,0.52,24,2.01,7,5514.62,0,1,20,0
113,17.93,20,1.09,2,1376.97,0,1,8,1
55,10.67,41,1.54,14,1033.41,0,0,11,0
33,5.62,35,3.64,7,3831.78,2,0,10,0
41,15.46,8,4.91,5,3227.09,0,1,0,0
56,18.57,11,1.45,15,3540.41,0,0,5,0
95,9.93,9,2.85,7,2728.5,0,1,12,1
32,6.65,58,1.72,10,2909.58,0,1,23,0
75,15.88,4,3.98,12,4717.03,0,0,22,0
36,13.79,32,1.47,7,1475.55,0,1,1,0
115,17.83,68,1.96,2,2499.87,0,0,17,0
11,14.0,79,1.79,2,5755.39,2,1,15,1
99,5.25,62,3.21,15,1301.92,2,0,9,1
26,18.67,28,4.49,7,1903.89,0,0,16,0
113,2.54,17,3.04,3,1311.09,2,1,15,1
42,5.72,5,1.23,4,318.87,0,0,16,0
18,10.64,52,3.25,15,1765.01,1,1,14,0
52,11.53,81,4.19,14,469.51,0,1,2,0
57,0.8,31,1.53,7,1097.17,0,0,2,1
48,15.72,41,1.29,14,2303.56,0,0,23,0
102,7.55,46,1.75,2,320.18,0,0,8,1
51,8.43,30,3.98,13,4567.15,1,0,4,0
35,16.28,61,3.37,2,4814.42,0,0,16,0
108,7.9,55,3.16,9,2586.2,0,0,17,1
59,1.42,10,2.0,11,5911.06,2,1,15,0
34,3.94,25,2.33,1,4138.16,1,1,19,0
33,19.14,26,4.86,12,4513.59,0,0,8,0
22,1.87,82,1.96,12,1315.34,0,1,14,0
69,7.42,56,4.61,3,5057.14,2,1,20,0
16,10.31,26,3.32,10,5681.27,0,0,8,0
66,10.12,58,1.49,4,1570.6,1,0,12,1
45,0.58,61,2.87,5,4181.49,1,0,0,0
54,10.27,19,4.79,15,4532.26,0,0,15,1
29,7.98,2,2.67,3,1969.98,2,0,8,0
74,19.46,15,4.45,9,2955.05,0,0,23,0
17,3.6,43,2.03,5,765.73,2,1,12,1
119,7.41,78,3.28,7,1203.95,1,0,13,1
25,8.68,29,4.38,15,557.11,1,1,10,1
23,8.12,39,4.68,14,3448.96,2,0,0,0
85,13.48,64,2.94,11,3826.52,1,0,22,1
96,4.7,28,3.56,13,5513.49,1,0,13,1
24,4.81,29,1.01,7,3344.67,0,1,20,0
101,14.72,31,2.01,11,1711.55,2,0,23,1
107,10.26,9,2.11,9,544.95,1,0,19,0
75,8.6,90,1.37,2,5332.73,2,1,17,1
41,3.8,50,2.12,3,2977.38,2,0,0,0
96,4.16,7,2.28,4,4476.47,0,1,22,1
72,0.71,50,4.88,8,284.97,0,0,0,1
95,2.28,35,3.67,1,3031.21,2,1,16,1
60,11.36,54,2.7,9,2089.19,1,0,21,1
34,17.89,34,4.95,5,375.92,0,0,1,1
67,6.1,35,1.61,4,4698.9,0,0,21,1
72,6.89,55,2.9,13,3174.83,0,0,21,0
71,2.75,35,3.59,8,2132.45,1,1,15,1
31,8.08,88,1.22,14,4873.63,1,0,4,1
67,1.23,83,3.87,9,2792.16,0,1,4,0
67,18.39,60,1.4,3,220.29,0,0,23,0
95,13.63,61,1.56,14,5677.8,1,0,6,0
58,19.82,80,1.64,4,1682.96,2,0,20,0
61,17.72,86,4.72,1,5017.34,0,0,3,0
51,9.72,24,3.73,15,4935.21,2,0,0,0
79,10.63,63,3.62,12,1141.77,0,1,17,0
24,4.22,59,3.22,14,2949.22,2,0,9,1
63,9.51,56,2.17,3,433.15,1,0,6,0
116,18.11,69,3.48,10,2256.4,2,1,10,1
69,1.49,51,2.64,5,4439.68,1,0,0,0
110,17.34,55,1.58,15,1575.0,0,0,5,0
106,7.15,62,3.76,13,879.34,2,1,4,0
17,18.04,67,1.52,8,3141.32,1,0,21,0
62,18.85,19,1.76,14,3314.52,0,1,12,0
69,13.58,53,4.27,1,4119.81,0,0,16,0
117,13.46,0,3.64,1,4603.0,0,0,17,0
117,9.33,89,3.52,3,4235.7,1,1,6,0
14,16.79,9,2.67,9,5103.39,1,1,5,0
112,19.25,22,2.59,9,1492.86,1,0,6,0
77,15.61,50,3.76,1,3504.65,0,0,11,1
15,12.63,23,3.96,4,2288.55,0,0,5,0
118,12.33,12,3.04,12,5780.25,0,1,22,0
105,17.06,28,4.88,8,2753.62,0,1,15,0
103,11.05,57,4.82,2,5766.34,2,0,22,0
56,16.18,90,2.65,4,4660.58,2,1,21,1
108,10.42,42,4.28,7,4367.09,0,0,7,1
