delivery_min,rest_dist,food_temp,rest_rating,items,order_sum,weather,promo,hour
66,17.32,74,2.79,5,3054.27,0,0,15
120,4.65,78,1.72,10,2592.92,0,0,22
86,8.12,9,1.57,1,4700.84,0,0,20
24,6.7,41,2.57,14,2536.79,0,0,19
36,3.45,40,1.4,3,5211.85,1,0,21
77,6.15,2,4.83,4,755.86,0,0,14
89,5.04,54,1.19,14,2321.98,1,1,7
73,18.51,15,2.61,2,5616.86,0,0,20
103,14.95,43,1.65,12,268.03,1,1,1
117,6.66,80,3.76,6,2466.58,0,1,13
39,15.39,88,1.32,10,1706.28,2,0,3
45,0.93,29,3.19,4,3284.79,1,0,10
76,10.77,36,4.09,1,1816.85,0,0,16
95,5.38,59,4.8,3,5245.47,0,0,21
95,2.73,76,3.79,7,5635.4,0,0,6
58,17.73,23,1.4,14,5124.98,1,0,0
85,4.39,25,1.35,3,2511.69,0,1,20
64,16.54,57,3.93,13,5941.62,0,0,8
94,8.56,8,1.86,6,4463.21,0,0,16
65,0.78,60,2.79,11,2262.53,1,0,0
77,14.78,18,4.91,15,743.42,0,0,1
104,12.13,27,4.28,6,4068.87,2,0,18
53,7.21,6,4.39,1,4425.69,2,1,21
40,5.99,44,4.44,2,910.26,2,0,10
67,1.94,85,3.48,10,3388.47,0,0,21
96,18.86,62,3.98,11,5925.11,1,0,9
62,10.13,36,2.44,12,2092.2,0,0,9
93,2.17,15,4.99,11,1950.99,0,0,0
88,17.44,4,2.12,6,5439.15,2,1,2
32,5.94,28,3.36,2,881.01,0,0,15
37,4.47,51,2.13,15,5614.46,0,0,12
25,5.98,22,1.45,14,4721.02,1,0,8
46,11.51,5,3.27,13,2466.87,0,0,7
30,1.94,35,2.41,2,684.58,2,1,10
88,9.89,56,3.33,4,311.21,0,1,8
26,17.97,32,3.23,12,2379.82,1,1,10
46,4.17,48,3.17,13,4291.05,2,0,23
86,6.96,40,1.49,14,3027.67,1,0,22
28,8.22,79,2.76,8,4484.18,2,0,12
39,11.93,54,4.25,6,4089.31,0,0,13
54,18.43,25,2.26,14,3522.86,0,0,8
27,8.19,36,2.78,8,5811.49,1,0,2
87,1.85,76,2.98,15,4424.63,1,0,21
71,7.29,16,4.45,4,5504.76,0,0,5
45,4.21,31,3.62,11,1604.53,1,0,13
109,13.21,27,1.4,3,4339.11,0,0,12
93,1.07,24,4.46,7,3667.26,0,1,0
61,6.19,46,4.33,15,5560.92,0,1,13
28,11.13,21,4.01,7,3160.63,1,0,11
118,5.91,90,2.86,2,1821.92,2,0,22
53,11.24,60,4.03,1,2432.07,1,0,2
16,2.74,43,2.91,11,1469.21,1,1,13
53,18.88,19,3.95,8,1475.84,0,0,1
77,6.17,49,4.52,3,2928.45,0,0,22
43,18.5,87,4.56,6,5376.9,1,0,9
75,6.85,46,2.82,7,1312.84,0,0,3
78,15.75,46,4.44,8,1869.65,1,1,6
64,5.3,71,1.41,6,5147.33,0,1,16
19,13.56,50,1.41,7,2167.69,0,0,9
105,6.81,54,3.19,5,5782.0,1,1,23
51,10.43,77,3.61,3,1759.74,2,0,1
50,13.64,38,1.61,15,2764.43,0,0,23
86,11.98,13,2.89,2,754.54,0,0,23
112,11.74,68,1.38,7,5954.62,2,0,19
78,1.78,46,3.41,8,5362.82,1,0,14
19,5.36,20,4.42,14,4941.86,2,0,11
19,11.65,14,3.95,8,1112.59,0,1,0
111,0.86,80,2.51,13,5822.28,0,0,9
100,5.39,83,4.98,3,5589.08,0,0,23
69,4.97,0,3.65,2,2726.89,0,0,8
60,5.37,79,4.26,13,4153.49,0,0,13
30,10.94,81,3.68,9,5956.26,0,0,8
17,11.85,9,4.96,6,2576.52,2,0,21
74,18.23,22,4.29,10,855.66,0,1,23
101,8.03,17,3.08,3,5233.12,1,0,23
112,18.57,57,2.47,5,2963.61,2,0,20
87,13.21,72,3.73,1,5924.42,0,0,19
94,18.3,76,3.36,2,3395.18,0,0,9
39,16.75,51,3.52,9,370.97,0,0,9
94,13.91,45,2.37,10,3052.02,2,0,10
58,7.44,12,2.71,11,4364.76,1,1,17
18,5.2,16,3.23,10,350.97,0,0,2
26,4.84,66,4.36,3,2598.0,2,0,11
78,19.07,60,4.05,8,1102.25,0,0,2
67,19.19,64,1.47,10,3929.96,0,0,11
66,14.63,52,1.98,8,5752.61,1,1,21
71,17.73,4,1.11,15,3822.59,1,0,22
104,18.42,31,1.03,5,4230.29,0,1,21
61,10.48,88,1.9,8,2500.06,0,0,10
70,12.77,44,4.2,2,3466.22,0,1,13
49,8.67,55,4.62,2,3354.37,0,0,16
47,8.66,4,2.57,12,4605.72,1,1,22
52,1.25,86,3.25,4,5170.09,1,0,11
72,8.96,75,3.82,8,4044.74,1,0,23
28,13.63,33,4.81,2,5882.89,2,0,20
109,8.73,60,4.65,4,5004.07,1,0,3
59,17.51,86,1.23,8,922.95,0,0,4
42,6.98,79,1.99,3,3143.36,0,0,2
22,3.09,61,1.2,8,5438.77,0,0,14
87,16.33,68,3.47,12,5674.82,2,0,4
106,13.64,62,3.84,2,2405.19,1,0,22
71,5.22,43,2.23,14,4409.08,0,0,22
102,10.96,27,4.42,1,2581.16,2,0,16
52,8.34,69,2.81,14,917.23,0,1,21
58,18.81,12,4.99,14,5330.75,2,1,3
45,12.34,42,1.0,14,5605.33,0,0,18
117,3.59,29,1.44,6,3127.55,0,0,12
19,10.29,25,2.21,8,306.18,1,0,2
104,17.32,80,1.1,9,4933.01,0,0,13
15,13.59,62,4.13,10,2966.37,1,0,21
66,16.93,72,1.21,8,635.16,1,1,16
10,5.38,56,4.0,2,1298.47,1,1,20
80,17.82,63,1.21,1,1082.29,2,0,3
67,15.23,79,2.01,7,4180.42,1,1,9
100,14.71,48,4.37,7,1936.58,2,1,23
30,7.26,51,4.8,13,940.61,1,0,8
101,17.81,62,2.66,12,5522.36,1,0,23
89,12.94,81,4.88,13,5747.88,1,0,22
65,17.11,12,3.51,3,1003.74,2,0,18
119,7.54,87,2.66,6,1535.37,0,0,7
96,3.34,44,4.21,7,3634.3,1,0,0
29,6.98,45,2.18,14,1072.95,0,1,19
111,9.38,76,2.06,9,1119.83,0,1,2
63,10.9,88,3.63,1,2152.14,2,1,18
34,10.46,40,2.56,13,5705.19,0,1,17
37,11.15,45,1.54,3,5782.16,1,0,22
14,16.91,0,1.27,5,5082.37,0,0,13
30,3.82,72,4.15,3,4235.13,2,0,13
27,6.66,67,3.7,8,4379.91,1,0,9
56,17.83,11,2.65,10,2923.52,0,0,2
79,11.43,87,4.58,6,3274.9,0,0,22
66,11.88,72,2.64,2,3879.83,0,0,1
102,9.82,34,3.84,1,4441.46,0,1,18
28,11.21,32,4.64,10,761.71,1,1,18
106,4.36,57,4.36,5,1504.34,0,0,6
74,11.16,34,3.04,11,5785.07,2,0,3
118,19.94,45,3.72,9,2143.83,0,0,11
12,11.54,83,2.65,10,1757.15,0,0,6
51,1.37,65,3.59,9,2647.09,0,1,2
30,16.03,43,2.03,1,1887.34,0,0,1
108,8.23,25,2.74,3,728.85,0,0,11
114,3.5,41,1.84,13,1406.17,0,0,18
49,17.32,76,1.15,6,3912.93,2,0,5
76,4.36,29,3.35,5,1494.46,2,1,10
34,18.45,31,4.46,4,3956.47,1,0,12
118,9.12,35,1.1,13,780.47,1,1,14
111,14.98,18,1.78,2,442.88,2,0,21
118,11.17,21,2.84,12,5197.09,1,0,5
64,5.5,64,3.66,12,4608.15,0,0,7
93,13.59,56,1.68,12,4062.96,1,1,7
61,19.18,10,1.23,4,379.22,0,0,5
53,15.51,25,3.08,5,1588.25,0,1,7
118,12.28,47,4.27,15,4911.42,1,0,16
107,19.82,18,1.14,12,1039.07,1,0,6
94,5.67,82,2.4,2,4914.55,0,0,18
65,1.72,11,3.65,10,3588.55,0,0,2
64,1.13,66,1.52,1,4494.14,2,1,8
96,14.36,55,1.94,7,3938.14,2,0,16
79,16.69,17,3.14,7,2618.54,1,0,8
86,12.88,4,4.81,8,1893.47,1,0,20
96,18.15,23,2.15,10,4101.83,1,0,13
82,14.11,77,2.95,6,4880.09,0,0,0
90,7.73,37,2.6,1,459.45,0,0,5
75,4.03,66,4.59,8,2403.47,0,1,16
28,18.53,69,1.29,2,2234.23,2,1,16
92,2.52,75,3.26,12,3444.93,2,0,20
16,11.09,51,4.38,3,860.77,0,0,4
72,6.62,74,4.95,8,5613.83,0,0,16
51,5.79,38,3.79,4,3381.36,2,0,17
51,13.09,58,2.52,5,5557.77,1,0,18
68,5.01,25,2.65,9,4938.26,0,0,18
29,18.37,64,2.41,11,1311.51,0,1,22
82,8.42,79,3.41,7,967.57,1,1,17
26,13.71,47,3.96,10,5195.25,0,0,14
36,14.69,52,4.28,12,3309.38,1,0,2
56,13.82,8,2.67,7,314.51,1,0,13
11,18.12,4,3.87,1,5618.52,1,0,0
72,5.01,71,4.66,1,2943.56,1,0,16
71,2.18,60,4.68,15,1945.43,1,0,0
109,1.58,20,3.82,8,3196.27,0,1,16
28,17.62,62,3.55,10,4972.93,1,0,3
26,19.48,19,3.13,1,839.7,0,0,0
78,6.4,57,1.73,10,2281.81,0,1,19
48,14.02,44,1.49,15,2049.43,1,0,21
91,0.67,21,2.94,2,5069.97,1,1,2
80,4.18,76,1.64,4,4715.11,1,0,2
90,13.94,74,3.31,9,2520.6,1,0,11
48,1.78,81,3.58,7,4054.03,0,1,10
45,9.64,62,3.1,13,2487.78,0,0,4
49,13.42,29,1.15,13,3513.62,0,1,12
54,15.44,62,1.23,12,5949.05,0,0,11
13,9.35,43,1.45,7,3306.33,1,1,1
111,12.79,66,1.61,12,5933.73,0,0,19
34,11.02,57,4.96,10,4533.75,1,0,0
78,1.52,64,2.38,7,900.19,2,0,8
39,14.98,35,2.17,5,4816.6,1,0,2
85,3.86,5,1.21,1,1135.46,1,1,23
77,1.12,36,3.54,5,3287.51,2,0,19
97,9.3,74,3.61,8,3756.82,0,0,5
38,17.38,54,1.7,12,5374.94,1,0,10
82,3.44,76,4.68,12,1420.46,0,0,19
77,0.75,74,4.2,7,5280.46,0,1,19
60,2.64,58,1.92,15,5620.06,0,0,10
33,7.59,37,2.94,7,719.03,0,0,14
23,11.81,24,2.83,15,5334.65,1,0,5
78,4.26,78,2.39,2,1703.24,0,0,7
27,16.14,76,4.27,1,669.81,2,0,8
51,15.19,32,1.44,4,5759.73,2,1,17
66,14.07,12,2.66,8,2474.78,2,0,5
92,10.01,37,2.71,14,3813.3,2,0,16
21,7.62,57,2.87,1,3406.66,2,1,22
91,7.82,87,4.45,13,1436.46,0,1,15
26,10.31,19,1.87,2,4083.48,0,1,18
39,2.01,16,1.41,7,467.47,0,1,21
97,13.8,23,3.47,5,1377.95,1,0,15
84,7.35,25,1.7,15,5679.05,1,0,12
108,4.88,39,1.3,6,5730.34,0,0,11
32,5.93,31,2.71,12,2999.4,0,0,8
90,4.02,77,1.88,8,1180.62,1,0,5
10,18.08,36,2.44,12,2645.4,0,1,3
88,3.8,85,2.04,9,5287.01,1,0,5
41,17.72,90,1.37,15,607.59,0,0,16
18,11.66,85,3.24,8,941.64,2,0,23
24,17.42,59,1.11,12,5394.79,2,0,9
37,9.74,56,4.87,14,2609.22,0,0,7
33,18.59,57,2.37,1,684.06,2,1,2
69,4.62,66,3.78,14,1007.41,2,1,14
44,11.32,21,4.24,11,5318.2,1,0,20
95,2.95,57,2.12,4,3042.6,2,0,20
36,9.22,84,3.99,5,1145.37,0,0,18
92,11.61,79,4.33,13,5385.55,2,0,10
118,12.31,72,1.97,9,5102.62,0,1,5
85,7.63,76,4.97,6,333.54,2,1,8
29,1.99,73,1.08,14,3569.74,0,1,10
74,13.28,48,1.87,6,1617.15,1,1,2
94,10.02,84,4.12,14,3292.19,0,1,8
58,3.17,48,1.78,3,1819.76,0,0,12
118,18.75,41,3.79,12,2032.08,2,1,23
10,19.14,39,4.42,14,3690.74,1,0,4
19,17.2,70,4.84,2,3325.38,2,1,12
56,16.96,45,2.9,2,2492.12,1,1,14
68,2.42,21,4.88,15,823.89,2,0,8
105,19.87,81,2.65,7,5822.66,1,1,6
71,8.31,20,1.87,5,1212.71,0,0,2
112,3.68,50,3.06,12,3872.08,1,1,12
95,16.34,13,3.6,10,679.92,0,0,17
27,4.9,73,2.83,1,4192.21,2,0,10
55,10.76,8,3.27,12,750.07,0,0,20
41,3.0,17,2.67,5,1531.15,1,0,2
36,9.76,12,3.1,15,3952.51,1,0,15
101,11.38,16,4.81,11,1841.02,1,0,9
27,9.2,86,3.0,1,3290.53,1,0,8
48,1.85,24,2.01,9,922.13,2,0,14
58,9.96,53,4.03,8,1373.92,0,1,10
102,9.64,15,2.35,14,4455.9,1,0,22
91,5.6,23,4.26,4,403.81,0,0,9
53,18.47,74,1.23,15,848.44,0,0,23
81,8.65,22,2.33,11,1446.74,0,0,5
63,17.35,40,1.38,1,317.11,1,1,5
104,2.64,85,1.34,11,753.2,0,0,12
43,6.72,32,3.63,8,1832.07,2,0,14
80,3.94,41,2.54,5,738.92,0,0,12
45,8.46,47,4.49,1,5223.49,0,0,2
27,2.68,17,3.07,15,583.23,0,0,1
47,9.1,62,2.18,2,5193.71,0,0,0
68,7.4,77,3.88,15,4972.59,0,0,8
18,4.85,10,3.5,5,784.42,1,0,21
82,13.02,23,4.2,13,346.11,0,1,3
119,19.04,60,3.57,14,489.95,0,1,20
81,4.54,63,1.67,9,3624.19,0,0,13
60,14.38,35,3.68,10,4088.05,0,0,23
44,14.98,82,2.57,8,3799.79,1,0,13
91,10.21,76,2.85,11,3340.57,0,0,16
14,18.0,52,4.69,10,1213.17,0,1,13
23,19.34,82,2.44,8,5077.53,0,1,7
101,7.56,46,3.45,13,2099.82,2,0,6
39,13.2,51,2.45,9,5919.83,0,0,8
13,13.41,78,1.38,2,2432.18,0,0,19
48,8.37,56,2.81,7,1725.43,1,0,20
93,6.68,74,3.39,10,5386.65,2,0,7
73,18.71,22,2.63,5,3491.0,0,1,2
34,15.9,58,2.56,3,4386.73,1,1,0
37,2.73,68,4.28,10,2568.71,2,1,16
85,2.84,55,1.12,14,5344.11,0,0,10
75,18.49,85,2.18,8,5522.81,2,0,15
116,2.09,41,4.25,2,2733.26,1,1,5
87,13.92,17,4.68,4,1596.2,1,0,1
31,4.92,70,2.65,13,3956.49,2,0,8
40,1.19,32,4.56,12,5736.59,0,0,20
32,1.66,2,1.8,5,3810.19,1,0,10
57,7.78,27,1.89,5,5734.49,2,0,23
29,2.01,0,4.38,4,2194.09,0,0,23
47,12.13,62,4.61,15,5507.46,0,1,4
64,13.12,46,1.89,3,852.89,1,0,17
77,7.78,36,1.24,3,2281.24,0,0,10
88,14.99,85,1.36,5,3067.93,1,1,12
97,10.06,47,2.05,15,3988.04,1,1,10
98,8.89,18,4.05,15,1906.01,1,0,5
10,8.44,13,3.04,12,5560.59,1,0,20
16,8.91,66,2.82,10,5440.28,0,0,15
66,19.37,82,3.34,13,4836.15,0,1,18
104,13.79,84,4.56,6,863.3,2,1,13
21,6.65,64,1.36,13,654.09,0,0,8
115,14.81,25,3.78,1,3089.16,0,1,22
14,6.94,9,4.71,11,4638.99,2,0,12
117,2.95,76,1.85,4,914.77,0,0,13
59,9.77,69,4.35,10,3920.34,1,0,3
51,15.14,42,3.79,14,3261.56,0,0,2
111,7.86,69,1.06,15,4410.74,0,0,1
21,17.45,79,1.93,10,2725.18,1,0,20
112,8.05,71,3.42,6,4221.12,1,0,16
27,7.32,58,3.01,13,1125.73,2,0,5
75,19.97,2,3.11,2,1444.65,1,0,1
83,9.91,4,1.93,10,5439.34,0,1,11
88,16.2,84,3.7,5,2110.38,0,0,11
103,16.2,77,2.07,11,5915.93,0,1,20
117,18.56,82,2.56,9,467.99,0,0,17
26,2.16,36,2.48,3,3076.08,1,1,3
77,5.79,83,3.69,3,2084.93,0,0,5
80,15.47,51,1.36,9,5976.6,0,0,19
71,11.47,65,1.82,13,5942.2,2,0,20
50,11.41,62,1.8,3,1564.41,1,0,19
104,3.74,6,1.43,4,1750.09,0,0,19
112,5.98,52,1.83,12,4548.1,0,0,18
43,10.67,5,3.43,9,5360.11,2,1,2
79,5.91,6,3.93,4,4049.44,2,1,19
111,4.6,43,3.64,5,5215.31,1,0,7
54,2.21,17,2.9,2,567.1,0,1,20
67,3.54,53,1.21,8,3915.07,1,0,15
60,15.49,28,4.84,13,4260.99,2,1,22
43,14.52,82,1.67,9,1303.85,0,0,21
53,1.39,24,3.67,10,4712.23,2,0,0
24,4.46,62,4.65,4,5676.74,2,0,1
87,11.43,67,3.79,3,5408.21,0,0,9
79,6.79,12,1.87,15,1620.81,0,0,4
59,16.55,31,2.26,4,2079.16,1,0,18
110,15.81,26,1.12,13,3097.75,0,1,11
41,17.89,50,3.45,13,1118.49,0,0,23
76,11.48,33,3.45,7,5732.93,2,0,23
12,7.37,27,3.9,1,1137.26,0,0,17
95,12.32,72,1.04,11,4616.25,0,0,5
95,2.24,71,4.27,11,2180.28,0,0,22
83,0.69,84,3.95,2,3527.58,1,0,13
60,0.83,29,1.56,10,473.61,1,0,22
76,8.45,8,2.39,5,1389.07,0,0,2
85,4.95,12,3.55,9,2777.47,0,0,12
102,3.57,81,2.98,15,4127.71,0,0,6
57,12.5,63,1.46,13,4709.86,0,0,16
26,19.9,37,1.35,6,374.82,2,0,8
16,3.97,21,4.13,3,1084.44,0,1,5
22,11.16,30,1.62,3,4432.79,0,0,5
75,2.83,41,1.69,13,4915.72,1,0,22
13,18.72,61,4.32,7,1572.11,1,0,1
19,6.19,63,3.45,3,1531.99,0,1,10
112,17.63,73,3.42,15,710.57,1,0,1
97,6.02,8,2.92,10,1071.71,0,0,19
26,16.22,43,3.28,3,246.49,0,0,14
61,4.58,62,3.41,10,3621.02,0,0,1
15,6.21,39,4.87,12,5442.57,0,0,6
92,4.25,87,1.89,7,1067.54,0,0,9
78,5.65,40,1.86,9,4558.37,0,0,1
105,16.78,71,1.23,9,3527.22,0,0,16
83,12.96,49,3.63,3,5651.55,0,0,16
18,8.41,19,3.2,8,4829.11,1,1,17
100,19.44,80,1.44,1,5145.83,0,0,13
86,9.56,69,2.46,14,3907.02,0,1,2
92,19.41,41,1.71,12,4905.75,0,0,16
30,4.33,32,2.33,8,2235.04,1,0,23
33,18.14,62,4.81,11,1412.3,0,0,14
111,0.77,56,3.73,2,5492.62,1,1,21
13,11.13,64,1.03,4,4459.15,0,1,18
33,8.75,51,2.01,7,726.08,2,0,19
68,10.74,87,1.04,6,5228.08,1,1,15
108,11.29,5,3.86,12,2223.64,1,0,14
12,8.09,6,2.88,9,1930.01,0,1,4
77,19.96,8,4.98,14,3815.22,1,1,14
110,19.54,60,3.93,8,3497.87,1,1,14
49,19.25,79,3.07,2,3321.89,0,0,23
57,19.59,33,4.22,13,1678.29,2,0,17
63,15.96,34,3.82,4,5766.69,2,0,4
44,19.78,19,1.98,1,5710.7,0,0,0
104,17.9,57,3.12,7,224.14,2,0,0
65,8.61,86,3.22,15,2159.4,1,0,2
117,15.8,59,2.8,4,464.18,0,0,16
98,18.29,53,1.72,8,5131.44,0,0,21
49,14.4,34,1.89,2,5341.81,0,0,21
86,8.74,46,2.12,15,3206.13,2,0,20
77,1.78,45,1.04,8,5070.13,1,1,13
55,16.29,86,4.67,2,4279.49,0,0,8
87,19.08,3,3.74,11,3097.53,1,1,3
22,7.57,9,3.76,8,2310.11,1,0,18
36,3.46,74,3.29,13,1744.11,0,0,2
15,6.87,39,3.76,13,1704.69,0,0,0
26,11.86,54,4.93,1,3459.97,2,0,3
45,6.68,72,2.54,13,1167.49,2,0,22
113,12.41,39,3.85,2,1213.79,2,0,23
108,19.35,75,2.44,5,260.28,0,1,13
90,13.58,80,4.42,1,3757.3,1,1,21
114,7.57,22,4.43,12,5967.2,1,0,22
11,18.75,14,4.61,5,5357.47,1,0,20
86,11.53,4,1.02,5,4293.0,1,0,13
61,3.0,39,2.19,7,4756.05,0,0,7
75,10.23,17,1.54,2,2617.75,0,0,15
61,13.25,20,2.82,2,1928.86,0,0,2
101,16.85,78,2.98,15,2338.04,0,0,23
52,18.76,2,2.02,12,672.25,0,0,6
99,6.69,45,3.89,15,3876.01,2,0,5
31,3.53,89,2.08,6,1214.22,0,1,12
120,1.94,78,4.42,14,4624.69,0,1,1
116,14.9,52,1.71,11,1301.86,2,0,10
64,16.01,19,2.47,13,1523.12,1,0,20
76,8.48,58,3.49,10,5752.37,0,0,8
108,8.22,20,3.42,3,811.3,0,1,6
69,19.11,89,1.31,13,3093.29,1,1,11
67,18.38,86,4.39,13,563.58,0,0,10
21,5.05,50,3.39,8,724.27,2,0,14
97,15.73,24,4.48,3,3874.3,1,1,11
78,12.64,67,4.47,10,3858.22,1,0,2
93,3.51,9,3.18,4,1320.1,0,1,17
112,7.46,85,4.64,14,5260.42,2,0,23
48,3.96,66,4.39,13,4272.68,1,0,7
22,6.26,82,4.83,7,1943.54,1,0,14
50,12.5,8,4.4,1,1640.64,2,0,15
66,7.82,28,4.28,1,4574.85,2,0,16
62,8.18,36,2.88,9,4455.02,0,1,17
118,11.02,70,1.85,15,1063.23,0,0,20
21,2.2,37,4.64,12,2225.29,0,0,12
22,14.91,87,3.89,6,1456.73,0,0,20
83,8.33,71,2.13,5,1906.04,2,1,15
106,9.87,58,2.36,2,1867.87,0,0,6
66,19.5,56,3.74,2,5860.94,0,0,4
49,7.22,89,2.91,7,4551.23,0,0,11
89,13.14,59,1.33,6,4724.3,2,0,8
54,8.15,27,1.57,12,1809.05,2,1,0
44,17.94,27,3.98,14,203.06,1,0,20
12,17.01,45,2.31,13,537.31,1,1,2
14,5.21,70,3.03,8,3407.4,1,1,9
99,13.99,66,4.07,3,1855.79,1,0,10
20,1.77,85,4.0,3,1319.14,0,1,21
80,19.28,54,1.67,13,487.92,1,1,16
65,7.31,37,1.39,5,5280.11,1,1,17
19,16.72,17,3.36,10,3680.74,1,0,8
115,6.71,75,3.97,4,822.76,1,1,17
43,12.84,62,1.6,12,4645.14,2,0,19
76,19.68,4,2.49,8,4583.79,1,1,12
81,17.6,43,4.48,6,1878.54,1,0,9
40,3.63,28,4.78,8,1292.88,2,0,18
84,11.18,13,2.82,15,4921.09,0,0,23
118,7.3,57,1.32,7,2111.48,0,0,0
80,8.97,43,2.03,2,5115.08,1,1,8
118,7.04,17,1.93,9,453.18,1,1,19
75,7.05,6,1.96,11,3095.88,0,0,15
79,11.08,86,2.98,13,1241.65,1,0,13
50,4.24,61,3.33,6,4097.86,2,0,7
72,10.98,44,1.49,11,5983.84,1,0,7
41,5.94,15,4.56,11,2592.56,1,0,5
29,6.14,63,3.48,6,781.8,0,1,9
66,14.91,36,3.39,12,2042.5,2,1,7
107,1.08,24,4.95,2,5370.74,1,0,13
59,7.93,8,3.51,9,4641.41,0,0,18
89,8.45,54,4.72,1,1546.83,1,0,13
34,9.96,27,2.15,6,5730.87,0,0,5
21,13.55,8,1.96,14,3808.69,0,1,1
80,7.71,11,3.07,8,1174.69,0,0,16
48,4.66,17,3.03,2,3519.47,0,0,20
26,17.76,90,1.91,3,2817.41,1,0,6
