density,speed,traffic_type
200.0,7.16,Затор
19.28,71.79,Свободно
24.62,52.31,Свободно
30.04,70.1,Свободно
92.03,51.59,Динамичное движение
64.06,54.16,Динамичное движение
79.39,7.35,Авария/перекрытие
154.23,20.16,Затор
131.11,9.41,Затор
76.86,47.24,Динамичное движение
66.89,30.52,Динамичное движение
46.21,54.25,Динамичное движение
137.47,45.77,Динамичное движение
15.15,70.79,Свободно
142.44,17.97,Затор
86.4,60.03,Динамичное движение
150.26,13.74,Затор
14.7,77.6,Свободно
8.04,73.21,Свободно
133.27,23.52,Затор
147.22,15.47,Затор
108.16,41.07,Динамичное движение
53.82,9.01,Авария/перекрытие
32.67,66.1,Свободно
173.52,21.53,Затор
110.18,25.79,Затор
177.7,21.97,Затор
77.9,8.89,Авария/перекрытие
17.55,65.76,Свободно
56.48,5.52,Авария/перекрытие
69.5,60.01,Динамичное движение
109.66,8.54,Затор
67.23,10.05,Авария/перекрытие
149.32,8.0,Затор
29.15,72.73,Свободно
90.21,35.33,Динамичное движение
17.77,63.95,Свободно
58.03,5.0,Авария/перекрытие
79.13,48.82,Динамичное движение
23.57,78.3,Свободно
61.4,6.25,Авария/перекрытие
75.4,26.1,Динамичное движение
126.98,21.19,Затор
10.73,72.32,Свободно
21.86,66.92,Свободно
197.85,13.24,Затор
161.34,10.92,Затор
61.86,42.19,Динамичное движение
63.81,12.51,Авария/перекрытие
120.75,19.06,Затор
128.83,15.15,Затор
133.58,16.26,Затор
7.52,66.74,Свободно
39.45,12.28,Авария/перекрытие
72.96,53.5,Динамичное движение
29.31,61.98,Свободно
27.91,80.0,Свободно
27.59,76.04,Свободно
21.11,60.29,Свободно
19.64,80.0,Свободно
5.21,66.23,Свободно
13.47,68.38,Свободно
165.23,6.22,Затор
26.62,66.68,Свободно
83.24,7.56,Авария/перекрытие
55.08,5.0,Авария/перекрытие
149.62,24.22,Затор
8.0,50.23,Свободно
115.7,12.26,Затор
91.79,37.02,Динамичное движение
157.99,16.29,Затор
8.09,65.57,Свободно
88.22,11.79,Авария/перекрытие
60.54,52.6,Динамичное движение
62.3,6.43,Авария/перекрытие
117.4,51.33,Динамичное движение
130.75,17.11,Затор
15.21,74.15,Свободно
76.0,7.89,Авария/перекрытие
150.39,10.44,Затор
142.37,9.74,Затор
184.1,19.15,Затор
153.13,20.45,Затор
58.19,5.0,Авария/перекрытие
129.12,7.83,Затор
28.13,66.45,Свободно
190.71,5.0,Затор
141.14,38.87,Динамичное движение
96.36,47.03,Динамичное движение
66.33,47.19,Динамичное движение
95.52,34.77,Динамичное движение
5.0,75.69,Свободно
55.84,9.73,Авария/перекрытие
100.85,32.74,Динамичное движение
66.41,60.77,Динамичное движение
5.0,72.7,Свободно
27.75,66.63,Свободно
163.54,16.36,Затор
146.32,25.8,Затор
52.97,43.27,Динамичное движение
120.31,23.55,Затор
123.81,48.77,Динамичное движение
119.49,29.43,Динамичное движение
154.62,28.57,Затор
16.78,58.96,Свободно
81.48,45.46,Динамичное движение
82.66,47.79,Динамичное движение
56.8,9.08,Авария/перекрытие
158.04,9.9,Затор
81.52,12.5,Авария/перекрытие
195.65,11.98,Затор
132.45,19.87,Затор
8.57,58.94,Свободно
26.51,62.74,Свободно
27.95,50.7,Динамичное движение
76.05,40.11,Динамичное движение
25.15,70.39,Свободно
108.87,9.05,Затор
20.92,80.0,Свободно
17.08,75.03,Свободно
85.86,49.3,Динамичное движение
119.4,18.28,Затор
123.66,25.51,Затор
182.54,11.75,Затор
122.59,11.3,Затор
24.13,68.23,Свободно
62.46,7.33,Авария/перекрытие
106.33,53.84,Динамичное движение
186.78,26.31,Затор
33.56,66.79,Свободно
33.07,69.74,Свободно
33.6,5.0,Авария/перекрытие
176.0,25.65,Затор
151.01,11.83,Затор
118.24,39.69,Динамичное движение
142.63,14.42,Затор
24.05,65.17,Свободно
79.06,5.0,Авария/перекрытие
132.37,25.45,Затор
126.92,39.29,Динамичное движение
130.35,18.0,Затор
68.84,6.45,Авария/перекрытие
5.0,68.29,Свободно
79.5,6.96,Авария/перекрытие
26.48,75.98,Свободно
84.16,52.33,Динамичное движение
126.22,48.69,Динамичное движение
70.22,7.57,Авария/перекрытие
118.76,55.3,Динамичное движение
73.86,58.82,Динамичное движение
63.2,9.41,Авария/перекрытие
46.62,28.31,Динамичное движение
121.34,5.0,Затор
9.42,64.58,Свободно
38.52,62.82,Свободно
22.16,56.71,Свободно
77.94,10.58,Авария/перекрытие
22.14,70.62,Свободно
69.33,55.44,Динамичное движение
35.23,74.88,Свободно
6.22,64.79,Свободно
105.8,41.38,Динамичное движение
144.38,33.13,Затор
60.66,36.68,Динамичное движение
19.26,74.12,Свободно
84.9,52.86,Динамичное движение
17.01,71.47,Свободно
11.92,63.93,Свободно
18.48,66.33,Свободно
34.78,53.01,Свободно
22.36,11.02,Авария/перекрытие
154.26,7.53,Затор
41.45,7.65,Авария/перекрытие
103.1,44.54,Динамичное движение
113.64,37.69,Динамичное движение
106.64,48.47,Динамичное движение
103.42,5.0,Авария/перекрытие
47.55,5.0,Авария/перекрытие
17.66,70.94,Свободно
146.19,23.04,Затор
62.42,46.98,Динамичное движение
22.61,80.0,Свободно
36.32,53.7,Свободно
79.4,52.46,Динамичное движение
74.19,5.0,Авария/перекрытие
115.83,23.31,Затор
98.04,39.45,Динамичное движение
184.8,12.39,Затор
51.77,63.81,Динамичное движение
90.74,61.84,Динамичное движение
31.43,79.43,Свободно
5.94,10.79,Авария/перекрытие
7.39,70.69,Свободно
70.93,32.17,Динамичное движение
25.43,68.38,Свободно
11.16,61.7,Свободно
116.92,33.21,Затор
23.57,65.2,Свободно
187.27,22.21,Затор
119.31,26.25,Затор
173.36,21.9,Затор
28.52,65.38,Свободно
17.92,70.57,Свободно
31.36,69.6,Свободно
127.4,18.61,Затор
76.39,66.63,Динамичное движение
44.83,50.73,Динамичное движение
9.22,70.38,Свободно
98.02,5.0,Авария/перекрытие
53.62,9.51,Авария/перекрытие
86.15,13.69,Затор
67.1,48.96,Динамичное движение
108.73,62.36,Динамичное движение
79.18,47.49,Динамичное движение
64.33,41.8,Динамичное движение
30.85,5.0,Авария/перекрытие
66.51,29.16,Динамичное движение
27.67,65.27,Свободно
12.86,63.66,Свободно
96.87,44.63,Динамичное движение
33.98,47.08,Динамичное движение
89.5,48.99,Динамичное движение
46.3,53.41,Динамичное движение
119.76,15.47,Затор
60.43,7.79,Авария/перекрытие
54.7,51.82,Динамичное движение
157.57,29.39,Затор
61.65,18.58,Авария/перекрытие
148.56,16.88,Затор
145.67,17.8,Затор
46.39,41.51,Динамичное движение
160.55,20.71,Затор
160.48,9.38,Затор
64.71,39.29,Динамичное движение
106.34,38.53,Динамичное движение
12.85,72.08,Свободно
73.28,45.29,Динамичное движение
154.8,9.86,Затор
29.54,68.09,Свободно
5.0,63.53,Свободно
25.22,65.89,Свободно
101.74,38.63,Динамичное движение
125.29,8.79,Затор
146.4,23.97,Затор
85.55,44.74,Динамичное движение
73.51,55.67,Динамичное движение
107.02,60.74,Динамичное движение
151.9,9.77,Затор
24.74,75.74,Свободно
159.35,9.21,Затор
78.61,29.84,Динамичное движение
122.69,17.05,Затор
122.41,11.94,Затор
24.97,63.37,Свободно
82.73,47.86,Динамичное движение
191.81,21.4,Затор
141.38,25.02,Динамичное движение
74.78,6.77,Авария/перекрытие
54.9,41.78,Динамичное движение
73.81,46.2,Динамичное движение
41.08,44.18,Динамичное движение
19.23,57.88,Свободно
41.9,80.0,Свободно
94.83,63.47,Динамичное движение
87.7,46.28,Динамичное движение
200.0,23.3,Затор
23.39,9.48,Авария/перекрытие
20.97,62.81,Свободно
86.81,8.39,Авария/перекрытие
11.43,62.36,Свободно
10.18,76.64,Свободно
64.77,6.52,Авария/перекрытие
13.55,63.82,Свободно
15.07,66.18,Свободно
20.69,53.69,Свободно
98.92,38.77,Динамичное движение
84.27,40.54,Динамичное движение
55.26,39.82,Динамичное движение
22.6,59.56,Свободно
98.58,38.47,Динамичное движение
158.03,17.15,Затор
35.5,70.59,Свободно
56.92,58.99,Динамичное движение
29.63,69.1,Свободно
13.99,74.99,Свободно
162.16,10.32,Затор
7.54,63.11,Свободно
97.77,47.44,Динамичное движение
72.69,5.0,Авария/перекрытие
12.46,65.39,Свободно
119.76,17.57,Затор
22.27,73.07,Свободно
23.41,80.0,Свободно
35.79,80.0,Свободно
147.53,7.93,Затор
78.14,51.14,Динамичное движение
35.65,77.67,Свободно
92.8,14.93,Авария/перекрытие
125.67,10.75,Затор
13.38,78.05,Свободно
27.82,75.36,Свободно
160.92,14.44,Затор
41.44,64.79,Свободно
43.15,56.64,Свободно
63.89,8.96,Авария/перекрытие
103.46,38.74,Динамичное движение
9.38,67.84,Свободно
57.43,11.2,Авария/перекрытие
151.61,28.11,Затор
27.14,58.62,Свободно
21.71,71.95,Свободно
150.85,8.01,Затор
22.58,70.96,Свободно
164.94,18.44,Затор
11.61,69.85,Свободно
95.15,56.17,Динамичное движение
64.38,42.53,Динамичное движение
149.77,26.37,Затор
42.68,5.0,Авария/перекрытие
14.56,61.95,Свободно
124.27,40.16,Динамичное движение
74.65,43.04,Динамичное движение
57.03,41.51,Динамичное движение
164.87,6.63,Затор
133.77,10.78,Затор
47.76,5.0,Авария/перекрытие
47.75,50.91,Динамичное движение
16.15,80.0,Свободно
68.03,56.73,Динамичное движение
86.68,32.05,Динамичное движение
60.87,5.0,Авария/перекрытие
180.47,9.08,Затор
17.47,79.61,Свободно
126.67,11.47,Затор
163.96,14.85,Затор
147.79,17.26,Затор
200.0,8.67,Затор
82.06,40.32,Динамичное движение
61.12,51.41,Динамичное движение
10.92,72.59,Свободно
114.66,13.03,Затор
95.26,51.47,Динамичное движение
155.03,25.7,Затор
37.44,44.52,Динамичное движение
117.6,46.87,Динамичное движение
14.82,65.79,Свободно
18.14,80.0,Свободно
163.75,5.0,Затор
31.63,72.62,Свободно
5.0,71.99,Свободно
65.66,41.92,Динамичное движение
144.33,46.91,Динамичное движение
92.33,53.95,Динамичное движение
20.7,58.17,Свободно
22.42,76.6,Свободно
9.29,57.15,Свободно
13.73,40.54,Динамичное движение
53.01,14.46,Авария/перекрытие
200.0,19.12,Затор
5.0,74.56,Свободно
165.97,12.45,Затор
57.37,10.37,Авария/перекрытие
163.58,14.98,Затор
92.31,44.19,Динамичное движение
190.34,21.02,Затор
110.74,12.2,Затор
20.13,74.61,Свободно
181.19,14.15,Затор
160.34,8.28,Затор
174.1,16.98,Затор
72.31,11.12,Авария/перекрытие
95.4,44.01,Динамичное движение
11.79,71.71,Свободно
37.65,72.97,Свободно
125.26,16.57,Затор
27.67,9.12,Авария/перекрытие
200.0,27.98,Затор
60.55,29.77,Динамичное движение
66.38,46.97,Динамичное движение
5.0,80.0,Свободно
44.63,80.0,Свободно
189.86,23.67,Затор
62.94,9.14,Авария/перекрытие
70.98,32.2,Динамичное движение
18.39,66.4,Свободно
18.08,72.66,Свободно
83.76,63.01,Динамичное движение
116.33,40.06,Динамичное движение
84.62,51.35,Динамичное движение
122.41,49.48,Динамичное движение
12.98,59.44,Свободно
31.87,5.0,Авария/перекрытие
25.13,65.38,Свободно
100.58,50.84,Динамичное движение
59.34,5.43,Авария/перекрытие
93.9,10.99,Авария/перекрытие
75.2,7.58,Авария/перекрытие
175.25,5.0,Затор
153.14,5.92,Затор
200.0,6.43,Затор
16.08,79.44,Свободно
15.34,78.79,Свободно
88.15,29.74,Динамичное движение
60.81,65.77,Динамичное движение
16.99,65.94,Свободно
18.84,71.96,Свободно
107.35,56.88,Динамичное движение
38.97,76.06,Свободно
97.04,29.24,Динамичное движение
49.28,5.75,Авария/перекрытие
114.0,19.1,Затор
150.7,15.86,Затор
5.85,57.24,Свободно
80.46,40.48,Динамичное движение
17.35,80.0,Свободно
92.94,34.98,Динамичное движение
82.86,38.24,Динамичное движение
70.26,5.0,Авария/перекрытие
59.61,5.0,Авария/перекрытие
136.06,15.99,Затор
34.54,72.49,Свободно
72.26,34.3,Динамичное движение
74.84,16.93,Авария/перекрытие
179.77,18.17,Затор
50.34,7.78,Авария/перекрытие
129.91,11.74,Затор
92.23,23.01,Динамичное движение
65.34,5.0,Авария/перекрытие
174.8,24.62,Затор
12.92,66.54,Свободно
104.61,42.41,Динамичное движение
38.63,63.47,Динамичное движение
14.38,70.17,Свободно
119.83,44.67,Динамичное движение
177.15,17.26,Затор
26.86,64.7,Свободно
47.2,78.96,Свободно
65.74,11.45,Авария/перекрытие
20.68,63.45,Свободно
80.35,31.4,Динамичное движение
133.16,25.59,Затор
57.59,11.24,Авария/перекрытие
71.61,53.2,Динамичное движение
55.54,49.25,Динамичное движение
77.59,18.76,Затор
134.86,17.27,Затор
30.54,74.5,Свободно
154.5,20.06,Затор
16.72,80.0,Свободно
134.41,12.74,Затор
23.62,70.78,Свободно
152.61,14.06,Затор
41.33,71.45,Свободно
140.87,15.88,Затор
105.73,44.96,Динамичное движение
22.32,74.03,Свободно
28.22,63.86,Свободно
153.34,16.4,Затор
84.67,62.98,Динамичное движение
11.53,80.0,Свободно
5.64,80.0,Свободно
5.0,63.12,Свободно
91.48,30.36,Динамичное движение
8.31,70.93,Свободно
73.43,6.63,Авария/перекрытие
116.17,56.49,Динамичное движение
144.77,12.74,Затор
184.39,23.21,Затор
10.09,62.28,Свободно
19.65,80.0,Свободно
104.31,66.42,Динамичное движение
124.63,11.8,Затор
16.91,67.69,Свободно
76.95,5.0,Авария/перекрытие
61.51,10.55,Авария/перекрытие
107.29,46.94,Динамичное движение
15.6,55.03,Свободно
15.39,58.42,Свободно
97.41,36.83,Динамичное движение
23.85,74.31,Свободно
68.54,5.02,Авария/перекрытие
168.55,6.75,Затор
104.09,16.24,Затор
9.76,67.39,Свободно
80.65,38.18,Динамичное движение
146.75,22.62,Затор
90.34,59.21,Динамичное движение
121.73,50.07,Динамичное движение
16.96,7.21,Авария/перекрытие
22.97,61.53,Свободно
25.87,75.16,Свободно
134.66,8.31,Затор
23.24,72.49,Свободно
52.34,57.78,Динамичное движение
59.26,6.86,Авария/перекрытие
5.0,53.46,Свободно
97.69,50.23,Динамичное движение
75.38,47.43,Динамичное движение
142.98,19.54,Затор
60.24,43.23,Динамичное движение
5.88,68.96,Свободно
154.58,22.98,Затор
154.01,15.17,Затор
113.03,7.95,Затор
123.87,49.57,Динамичное движение
55.04,47.39,Динамичное движение
168.97,23.38,Затор
6.72,73.3,Свободно
28.27,68.01,Свободно
16.65,63.62,Свободно
134.86,21.99,Затор
156.97,19.42,Затор
163.41,11.62,Затор
57.35,9.15,Авария/перекрытие
22.93,65.76,Свободно
25.88,63.2,Свободно
134.03,16.69,Затор
176.27,18.55,Затор
170.96,21.33,Затор
23.14,67.52,Свободно
14.34,75.49,Свободно
127.05,31.21,Динамичное движение
15.16,66.7,Свободно
133.43,21.69,Затор
54.63,10.22,Авария/перекрытие
15.53,69.94,Свободно
23.02,64.01,Свободно
184.61,26.69,Затор
132.8,20.27,Затор
26.26,68.98,Свободно
56.95,39.45,Динамичное движение
161.87,13.23,Затор
163.47,5.0,Затор
142.09,5.5,Затор
190.98,5.0,Затор
60.38,9.63,Авария/перекрытие
102.24,56.61,Динамичное движение
47.75,11.81,Авария/перекрытие
12.8,71.86,Свободно
86.3,8.57,Авария/перекрытие
24.74,61.72,Свободно
69.78,15.1,Авария/перекрытие
11.84,51.58,Свободно
9.87,75.46,Свободно
69.01,16.51,Динамичное движение
23.44,64.25,Свободно
61.54,5.0,Авария/перекрытие
22.5,9.23,Авария/перекрытие
42.86,33.8,Динамичное движение
45.83,5.0,Авария/перекрытие
84.44,42.43,Динамичное движение
7.62,80.0,Свободно
131.61,5.0,Затор
76.16,7.16,Авария/перекрытие
30.89,55.56,Свободно
8.49,79.26,Свободно
23.94,5.62,Авария/перекрытие
104.57,53.77,Динамичное движение
58.79,13.05,Авария/перекрытие
62.18,44.05,Динамичное движение
26.8,62.77,Свободно
5.0,67.43,Свободно
42.18,8.36,Авария/перекрытие
44.81,56.95,Динамичное движение
125.31,49.24,Динамичное движение
45.62,7.39,Авария/перекрытие
67.01,5.42,Авария/перекрытие
180.69,13.41,Затор
133.06,11.68,Затор
21.73,80.0,Свободно
68.2,12.0,Авария/перекрытие
49.29,13.22,Авария/перекрытие
68.44,47.61,Динамичное движение
40.26,12.54,Авария/перекрытие
166.95,17.83,Затор
158.22,13.06,Затор
55.78,7.22,Авария/перекрытие
31.59,64.4,Свободно
92.25,5.0,Авария/перекрытие
13.2,62.11,Свободно
104.95,17.28,Затор
61.86,10.83,Авария/перекрытие
127.54,8.33,Затор
19.73,61.0,Свободно
20.64,56.98,Свободно
164.22,6.81,Затор
11.98,70.38,Свободно
37.25,38.19,Динамичное движение
78.58,30.69,Динамичное движение
133.3,13.72,Затор
179.74,13.26,Затор
188.27,18.39,Затор
165.84,13.41,Затор
27.52,70.54,Свободно
26.12,68.72,Свободно
23.46,77.64,Свободно
44.79,59.44,Динамичное движение
44.96,6.52,Авария/перекрытие
25.14,63.09,Свободно
114.93,15.62,Затор
153.41,5.58,Затор
184.76,21.18,Затор
15.31,74.38,Свободно
159.8,24.22,Затор
22.09,63.4,Свободно
55.6,45.6,Динамичное движение
139.26,11.14,Затор
30.32,72.04,Свободно
113.89,56.89,Динамичное движение
172.98,19.33,Затор
179.68,22.51,Затор
148.44,15.1,Затор
167.7,7.89,Затор
56.62,8.03,Авария/перекрытие
5.0,76.97,Свободно
87.51,14.03,Затор
23.07,62.17,Свободно
79.06,44.1,Динамичное движение
22.5,69.5,Свободно
140.3,29.44,Затор
152.63,11.14,Затор
94.21,7.94,Авария/перекрытие
174.95,7.67,Затор
38.93,5.0,Авария/перекрытие
78.25,47.24,Динамичное движение
6.8,62.48,Свободно
7.63,72.93,Свободно
177.28,20.56,Затор
58.34,9.99,Авария/перекрытие
96.18,15.6,Затор
193.74,25.34,Затор
74.23,57.07,Динамичное движение
77.6,38.11,Динамичное движение
67.22,62.95,Динамичное движение
24.73,64.83,Свободно
5.98,77.77,Свободно
82.19,11.68,Авария/перекрытие
174.54,24.03,Затор
21.85,69.29,Свободно
28.38,12.22,Авария/перекрытие
21.54,68.48,Свободно
141.88,19.71,Затор
16.15,79.15,Свободно
28.5,72.67,Свободно
66.93,42.59,Динамичное движение
34.03,68.01,Свободно
24.82,71.63,Свободно
30.83,58.81,Свободно
121.64,42.79,Динамичное движение
15.25,74.62,Свободно
107.58,59.4,Динамичное движение
29.91,6.14,Авария/перекрытие
117.2,37.35,Затор
57.25,5.0,Авария/перекрытие
157.48,23.31,Затор
38.64,9.7,Авария/перекрытие
14.97,55.93,Свободно
144.38,5.0,Затор
62.39,32.48,Динамичное движение
153.72,12.66,Затор
151.42,15.79,Затор
116.72,19.85,Затор
27.96,10.0,Авария/перекрытие
20.82,76.01,Свободно
116.65,32.91,Затор
43.14,5.83,Авария/перекрытие
145.63,10.48,Затор
136.34,16.18,Затор
71.03,6.11,Авария/перекрытие
131.15,9.51,Затор
41.29,13.24,Авария/перекрытие
149.37,12.96,Затор
73.99,34.79,Динамичное движение
55.5,10.62,Авария/перекрытие
57.63,41.29,Динамичное движение
5.7,61.94,Свободно
127.88,18.83,Затор
48.01,24.58,Динамичное движение
79.01,51.52,Динамичное движение
20.6,57.73,Свободно
144.91,27.41,Затор
20.46,69.47,Свободно
51.29,6.36,Авария/перекрытие
200.0,17.67,Затор
157.75,19.07,Затор
70.71,38.0,Динамичное движение
64.66,5.0,Авария/перекрытие
200.0,21.1,Затор
13.48,60.31,Свободно
141.57,12.17,Затор
151.1,28.19,Затор
98.14,48.34,Динамичное движение
155.6,22.17,Затор
85.28,51.43,Динамичное движение
63.79,10.24,Авария/перекрытие
148.61,13.1,Затор
84.95,51.45,Динамичное движение
24.44,73.16,Свободно
152.05,5.0,Затор
147.54,17.94,Затор
172.96,27.09,Затор
35.86,75.06,Свободно
52.24,39.41,Динамичное движение
49.45,49.4,Динамичное движение
15.28,63.89,Свободно
29.73,5.38,Авария/перекрытие
179.91,24.08,Затор
95.81,44.76,Динамичное движение
78.64,46.47,Динамичное движение
72.27,38.28,Динамичное движение
125.79,23.84,Затор
62.17,10.06,Авария/перекрытие
51.41,12.4,Авария/перекрытие
87.47,9.79,Авария/перекрытие
171.34,18.11,Затор
55.17,5.32,Авария/перекрытие
168.98,12.53,Затор
161.01,29.04,Затор
116.32,8.0,Затор
165.32,5.05,Затор
70.17,20.55,Авария/перекрытие
131.14,7.28,Затор
112.88,18.0,Затор
14.98,71.2,Свободно
25.05,74.24,Свободно
155.84,20.36,Затор
26.57,60.42,Свободно
68.86,54.96,Динамичное движение
7.79,68.82,Свободно
78.76,44.28,Динамичное движение
11.1,67.8,Свободно
151.22,13.81,Затор
57.91,10.19,Авария/перекрытие
98.0,7.0,Авария/перекрытие
125.71,10.26,Затор
64.26,10.49,Авария/перекрытие
173.92,15.43,Затор
5.36,66.25,Свободно
162.39,30.16,Затор
12.07,76.69,Свободно
149.85,18.06,Затор
190.84,7.69,Затор
140.52,14.81,Затор
65.61,58.17,Динамичное движение
146.51,20.03,Затор
79.01,6.1,Авария/перекрытие
25.15,65.26,Свободно
52.97,51.5,Динамичное движение
173.74,7.56,Затор
48.72,38.08,Динамичное движение
123.37,17.09,Затор
180.01,18.6,Затор
17.63,62.18,Свободно
17.66,69.83,Свободно
134.76,12.02,Затор
134.97,11.05,Затор
46.15,15.83,Авария/перекрытие
115.26,13.54,Затор
122.42,9.21,Затор
87.23,45.79,Динамичное движение
153.54,14.75,Затор
200.0,13.97,Затор
20.05,69.08,Свободно
135.59,17.37,Затор
159.83,23.15,Затор
121.42,9.13,Затор
47.99,48.43,Динамичное движение
82.4,49.94,Динамичное движение
30.57,58.74,Свободно
19.87,70.61,Свободно
165.0,20.97,Затор
131.16,13.19,Затор
23.58,77.41,Свободно
10.81,80.0,Свободно
23.76,76.33,Свободно
55.53,11.86,Авария/перекрытие
12.7,75.11,Свободно
38.48,55.47,Динамичное движение
148.24,21.43,Затор
103.39,60.66,Динамичное движение
22.81,76.64,Свободно
70.91,44.6,Динамичное движение
145.37,12.39,Затор
108.98,53.72,Динамичное движение
146.25,16.27,Затор
80.71,59.77,Динамичное движение
28.14,56.37,Свободно
8.94,69.13,Свободно
65.94,39.26,Динамичное движение
163.81,23.46,Затор
21.0,78.47,Свободно
38.19,12.5,Авария/перекрытие
67.07,44.53,Динамичное движение
150.8,16.98,Затор
92.24,10.08,Авария/перекрытие
28.13,75.52,Свободно
152.99,5.0,Затор
5.0,80.0,Свободно
38.66,69.14,Свободно
27.38,63.42,Свободно
86.79,55.79,Динамичное движение
111.79,44.34,Динамичное движение
19.27,61.35,Свободно
163.95,14.46,Затор
12.27,74.01,Свободно
150.08,24.89,Затор
13.23,76.86,Свободно
67.35,5.0,Авария/перекрытие
81.83,41.41,Динамичное движение
156.68,15.15,Затор
180.9,11.3,Затор
180.33,18.27,Затор
13.07,65.92,Свободно
170.84,13.57,Затор
29.18,68.75,Свободно
200.0,5.0,Затор
83.05,46.98,Динамичное движение
145.81,48.93,Динамичное движение
85.31,7.89,Авария/перекрытие
