hour,dayofweek,cust_dist,items_count,total_price,barista_exp,promo,rain,time_to_serve,good_review,repeat_visit
3,1,12.14,2,280.0,21,1,1,120,0,0
0,6,6.52,8,794.54,44,0,0,216,0,0
4,2,4.61,7,745.34,20,0,1,262,0,0
22,4,4.62,7,1091.75,33,0,1,223,0,0
9,6,7.49,1,225.6,3,0,0,95,0,0
21,4,10.93,5,1002.8,40,0,0,112,1,0
4,0,5.7,4,962.92,23,1,0,113,1,0
3,3,9.35,8,427.07,44,0,1,252,0,0
1,0,6.05,6,859.35,47,1,1,180,1,0
19,4,4.92,4,411.09,23,0,1,180,0,0
9,6,0.86,8,305.69,27,0,0,279,0,1
18,1,0.56,4,902.39,35,0,0,112,0,1
0,5,3.79,4,1468.46,25,0,1,136,0,0
23,1,6.39,6,431.71,32,0,0,148,1,0
4,6,12.84,4,597.47,22,0,0,100,1,0
12,0,12.08,2,459.2,8,0,0,102,0,0
3,5,4.37,5,473.04,56,0,1,145,1,1
15,6,4.05,7,665.87,51,0,0,179,1,0
23,4,3.8,1,1082.6,52,0,0,30,1,1
15,1,5.42,4,154.33,38,0,1,130,0,0
22,4,7.72,7,1439.97,18,1,1,277,0,0
1,5,6.86,4,164.79,28,1,1,137,1,0
16,5,3.66,8,1333.75,28,0,1,298,0,0
19,1,2.39,1,1352.13,11,0,0,65,1,0
23,4,0.68,8,834.28,12,0,0,278,0,0
11,2,2.73,1,291.8,55,1,1,30,1,1
17,4,10.73,4,891.2,2,0,0,160,0,0
2,5,4.03,2,980.09,59,0,1,30,1,1
0,4,7.29,7,1300.86,37,0,1,240,0,0
0,6,9.07,1,871.25,60,0,0,30,1,1
18,0,13.36,5,674.99,4,1,0,224,0,0
10,2,13.39,7,1273.61,41,1,0,201,1,0
4,3,11.31,5,1473.33,45,0,0,132,1,0
11,6,1.01,7,1003.14,45,1,0,173,1,1
2,0,8.84,2,1324.14,47,0,1,58,1,0
0,3,11.91,8,938.23,34,1,0,214,0,0
0,1,0.75,6,1065.7,23,1,1,202,0,0
7,3,8.47,8,1063.43,13,0,0,256,0,0
9,6,12.94,3,1086.7,7,1,0,142,0,0
10,4,7.37,2,549.42,32,0,0,48,1,0
11,6,0.56,4,905.93,23,0,1,117,0,1
12,3,0.66,3,931.79,49,0,0,41,1,1
11,5,6.54,4,541.1,8,0,0,155,0,0
13,0,2.75,5,589.79,50,0,1,148,1,1
1,0,10.13,1,1167.15,47,0,0,30,1,0
18,3,10.78,7,915.81,47,1,0,162,1,0
17,0,3.08,4,308.9,37,0,0,131,1,1
