house_id,district,house_age,floors,management_company_id,contract_amount,planned_duration_days,actual_duration_days,citizen_complaints_raw,citizen_complaints,inspection_score_raw,inspection_score,budget_overrun_pct
31,Ленинский,13,5,2,12010266.46,73,83,4.0,4,66.0,66.0,16.9
32,Центральный,78,8,15,9435250.6,107,261,2.0,2,17.9,17.9,135.9
33,Центральный,56,16,18,11123523.12,161,157,1.0,1,62.2,62.2,-30.0
34,Приречный,61,16,3,10445215.07,146,149,6.0,6,29.6,29.6,13.0
35,Приречный,30,18,17,10044010.79,96,98,4.0,4,67.6,67.6,2.4
36,Приречный,45,8,4,6752747.09,69,98,3.0,3,65.2,65.2,39.5
37,Заводской,39,16,4,7840107.86,154,203,2.0,2,75.7,75.7,41.7
38,Центральный,67,12,14,13935750.41,119,125,2.0,2,59.4,59.4,22.3
39,Ленинский,29,2,9,10276280.16,117,111,4.0,4,64.8,64.8,-0.3
40,Заводской,94,5,9,10542994.3,121,150,1.0,1,76.0,76.0,40.1
41,Центральный,79,7,18,7840023.06,206,221,1.0,1,52.7,52.7,-8.3
42,Заводской,42,13,10,10085641.21,115,105,2.0,2,50.4,50.4,-2.0
43,Центральный,6,4,4,6465158.35,164,154,1.0,1,56.2,56.2,-7.4
44,Приречный,11,2,12,6808360.92,112,153,3.0,3,47.6,47.6,28.7
45,Заводской,86,9,8,8328717.97,172,198,,4,27.7,27.7,-4.2
46,Ленинский,95,6,2,6725120.68,135,175,1.0,1,48.8,48.8,35.7
47,Заводской,38,8,13,9328188.44,154,165,,0,78.0,78.0,15.9
48,Ленинский,95,6,16,9183701.04,148,140,1.0,1,,58.8,8.0
49,Ленинский,21,2,2,8118500.13,71,61,1.0,1,71.6,71.6,-2.3
50,Центральный,47,8,11,9619315.43,146,159,2.0,2,53.1,53.1,1.2
51,Приречный,63,10,10,16505317.12,130,171,0.0,0,,58.8,44.4
52,Приречный,55,11,15,9962336.12,87,225,1.0,1,43.7,43.7,153.2
53,Приречный,58,14,17,9821404.48,211,221,2.0,2,63.9,63.9,18.7
54,Приречный,28,3,8,6698000.0,125,168,5.0,5,58.1,58.1,40.0
55,Ленинский,29,3,18,10170400.31,89,93,0.0,0,88.7,88.7,2.9
56,Приречный,75,14,9,13928342.0,136,153,1.0,1,53.2,53.2,15.9
57,Центральный,56,10,8,7814407.5,169,162,,4,64.9,64.9,8.3
58,Центральный,74,17,14,11594812.67,246,236,,0,47.8,47.8,-11.9
59,Центральный,92,16,18,13068095.59,202,235,2.0,2,88.5,88.5,9.8
60,Заводской,37,7,20,8217858.08,97,87,2.0,2,52.2,52.2,-13.4
61,Заводской,53,17,20,7666187.25,109,144,5.0,5,58.4,58.4,11.1
62,Заводской,33,6,12,6691227.03,169,209,3.0,3,36.7,36.7,25.0
63,Приречный,67,12,19,10332160.65,168,169,4.0,4,55.5,55.5,-18.3
64,Заводской,26,5,14,9462576.64,84,98,3.0,3,81.4,81.4,17.2
65,Заводской,30,19,17,11164166.89,113,108,0.0,0,57.7,57.7,4.2
66,Ленинский,32,5,3,9176900.48,64,93,,4,,58.8,40.5
67,Центральный,89,7,7,10587676.0,171,193,3.0,3,56.5,56.5,29.6
68,Приречный,53,14,17,9008090.78,163,159,3.0,3,75.6,75.6,-17.1
69,Центральный,75,12,12,16133391.0,154,191,1.0,1,65.6,65.6,35.9
70,Приречный,85,8,9,9189399.41,199,189,1.0,1,73.9,73.9,1.7
71,Приречный,88,18,15,10871326.74,91,282,4.0,4,0.0,0.0,149.9
72,Центральный,53,11,18,8942460.39,192,210,0.0,0,59.3,59.3,-7.8
73,Центральный,24,2,13,8671099.02,148,138,2.0,2,81.9,81.9,-23.4
74,Приречный,90,16,8,10758416.2,170,218,6.0,6,37.2,37.2,34.4
75,Ленинский,96,18,14,12618539.33,193,241,3.0,3,53.5,53.5,17.9
76,Ленинский,67,18,8,10615404.43,257,256,,4,34.8,34.8,-2.6
77,Приречный,65,6,14,7296089.89,175,218,2.0,2,47.3,47.3,12.0
78,Центральный,53,11,7,6953399.33,166,161,1.0,1,83.8,83.8,5.8
79,Заводской,75,9,12,19329950.4,163,193,0.0,0,44.8,44.8,18.0
80,Центральный,5,5,11,7487168.4,163,179,2.0,2,71.6,71.6,20.7
81,Приречный,100,10,11,7597107.44,188,236,0.0,0,63.1,63.1,27.3
82,Ленинский,17,5,13,8386641.32,151,172,3.0,3,53.3,53.3,-5.4
83,Заводской,98,13,18,11852903.23,214,250,2.0,2,52.6,52.6,27.8
84,Центральный,91,18,2,8148649.52,217,262,4.0,4,,58.8,0.6
85,Заводской,55,10,15,9016915.68,92,160,1.0,1,47.4,47.4,126.9
86,Заводской,60,16,20,8609127.8,171,214,0.0,0,75.3,75.3,38.3
87,Ленинский,87,17,18,15144219.36,247,248,0.0,0,63.3,63.3,-9.1
88,Ленинский,66,19,15,12004044.57,161,330,4.0,4,51.3,51.3,100.0
89,Приречный,36,18,19,4214768.79,119,116,0.0,0,74.5,74.5,-6.9
90,Заводской,34,12,12,10700987.94,169,213,5.0,5,37.6,37.6,43.6
91,Центральный,33,11,13,6849520.08,92,82,0.0,0,84.6,84.6,-14.5
92,Ленинский,53,13,11,6448848.22,98,88,3.0,3,70.4,70.4,-18.6
93,Приречный,49,8,5,8785656.66,160,150,2.0,2,,58.8,0.6
94,Ленинский,97,6,1,5392729.29,190,196,1.0,1,,58.8,-1.2
95,Приречный,34,11,3,6956796.15,158,180,,4,48.9,48.9,5.5
96,Заводской,20,1,19,10335647.81,122,160,1.0,1,35.6,35.6,26.4
97,Ленинский,44,15,7,8834326.37,196,207,2.0,2,93.2,93.2,5.2
98,Заводской,23,1,12,9218359.67,101,113,2.0,2,73.9,73.9,25.3
99,Центральный,22,1,15,7014634.1,44,131,3.0,3,,58.8,177.2
100,Центральный,5,4,5,5692445.0,140,174,3.0,3,49.1,49.1,4.9
101,Центральный,82,6,15,9060226.14,121,250,1.0,1,,58.8,151.0
102,Ленинский,51,7,8,9395384.23,168,209,,4,17.3,17.3,26.3
103,Заводской,70,9,10,14301902.17,205,218,2.0,2,35.4,35.4,19.4
104,Ленинский,96,9,16,12360559.78,168,203,4.0,4,79.5,79.5,20.1
105,Приречный,98,19,8,11624086.49,244,236,2.0,2,87.6,87.6,-5.1
106,Центральный,42,5,1,7739170.04,76,111,1.0,1,51.4,51.4,52.0
107,Заводской,55,12,12,8277351.23,123,120,2.0,2,77.6,77.6,-1.4
108,Приречный,67,16,5,10572204.78,226,259,0.0,0,,58.8,10.7
109,Центральный,8,4,3,9287769.73,65,87,3.0,3,66.0,66.0,39.0
110,Центральный,5,5,1,8227096.53,94,112,4.0,4,33.0,33.0,12.6
111,Заводской,12,3,4,7831469.16,169,209,3.0,3,25.9,25.9,17.6
112,Центральный,33,14,8,8961875.59,97,118,6.0,6,65.5,65.5,16.4
113,Приречный,59,7,3,8904929.05,131,128,7.0,7,19.3,19.3,11.2
114,Приречный,7,2,10,7745548.82,120,122,4.0,4,55.4,55.4,-30.0
115,Ленинский,36,17,2,6876189.56,105,138,2.0,2,51.9,51.9,35.4
116,Приречный,14,2,11,8512593.37,86,95,3.0,3,52.3,52.3,10.8
117,Приречный,78,16,10,13573053.59,152,189,2.0,2,61.3,61.3,7.5
118,Центральный,87,18,14,11738526.17,270,317,3.0,3,41.4,41.4,20.5
119,Приречный,38,13,7,6736399.28,79,125,2.0,2,60.7,60.7,63.0
120,Ленинский,91,5,2,8615713.77,187,184,2.0,2,66.1,66.1,4.3
121,Приречный,59,9,9,8825142.59,159,149,2.0,2,95.5,95.5,-30.0
122,Приречный,96,8,16,7459951.83,109,128,2.0,2,39.4,39.4,31.1
123,Заводской,36,12,13,7130094.45,178,227,0.0,0,60.6,60.6,20.2
124,Центральный,54,15,9,6754617.22,80,124,4.0,4,55.7,55.7,61.9
125,Центральный,11,4,20,8573382.41,118,165,4.0,4,,58.8,47.2
126,Заводской,97,5,4,6794034.39,160,188,1.0,1,41.3,41.3,8.7
127,Приречный,12,1,10,11361701.85,63,94,3.0,3,73.7,73.7,55.8
128,Приречный,69,10,12,18458685.54,132,140,0.0,0,73.5,73.5,2.2
129,Центральный,61,8,17,7994738.01,98,98,2.0,2,45.0,45.0,-20.7
130,Ленинский,71,16,14,9516735.82,165,155,0.0,0,76.6,76.6,5.6
131,Заводской,92,13,14,10607849.75,202,228,3.0,3,81.3,81.3,5.1
132,Центральный,91,15,2,15021189.13,161,182,2.0,2,59.3,59.3,4.5
133,Центральный,63,9,20,11513292.91,248,278,1.0,1,61.0,61.0,8.1
134,Заводской,76,19,11,12450704.75,199,234,0.0,0,86.5,86.5,20.3
135,Приречный,58,9,16,6753245.17,158,188,0.0,0,49.4,49.4,18.4
136,Заводской,71,16,19,16685973.14,122,171,4.0,4,74.1,74.1,45.6
137,Ленинский,55,9,6,9256261.81,119,118,2.0,2,78.6,78.6,-14.2
138,Ленинский,96,5,19,9960311.14,209,215,2.0,2,48.9,48.9,-4.6
139,Заводской,12,1,5,8972205.9,95,112,3.0,3,,58.8,16.7
140,Приречный,38,12,4,9133782.44,87,131,5.0,5,38.3,38.3,69.6
141,Приречный,39,16,15,7852341.52,57,229,3.0,3,0.0,0.0,150.8
142,Заводской,100,12,4,12289986.06,229,232,0.0,0,73.3,73.3,0.2
143,Заводской,92,16,20,14462050.25,222,248,0.0,0,51.6,51.6,7.8
144,Заводской,82,19,10,9403014.93,211,253,2.0,2,60.0,60.0,26.8
145,Заводской,36,19,3,7484883.35,134,170,,4,22.4,22.4,38.7
146,Центральный,50,10,5,10947042.57,139,173,1.0,1,74.0,74.0,5.5
147,Ленинский,20,4,6,6787709.62,87,126,0.0,0,73.3,73.3,38.4
148,Ленинский,72,15,8,10842522.67,188,229,2.0,2,45.2,45.2,32.4
149,Центральный,41,17,7,9503127.82,194,203,1.0,1,70.6,70.6,-2.4
150,Заводской,58,8,10,8775795.25,83,84,2.0,2,65.0,65.0,5.4
151,Приречный,89,6,6,8344808.31,124,132,3.0,3,81.6,81.6,-1.1
152,Центральный,18,2,14,10219829.15,132,152,1.0,1,47.5,47.5,10.7
153,Центральный,99,13,4,11799184.97,200,221,3.0,3,54.5,54.5,4.8
154,Заводской,59,19,13,7047639.62,163,207,3.0,3,42.6,42.6,33.4
155,Приречный,52,9,20,8264730.97,195,205,1.0,1,65.7,65.7,7.1
156,Центральный,86,8,17,8123494.83,197,206,3.0,3,,58.8,5.6
157,Ленинский,11,2,7,8988547.02,158,155,4.0,4,48.2,48.2,23.2
158,Приречный,78,17,4,10672032.51,133,129,2.0,2,58.5,58.5,14.4
159,Центральный,11,1,14,8925545.26,77,94,1.0,1,78.1,78.1,2.3
160,Ленинский,37,11,3,8551083.04,187,180,,4,69.4,69.4,-8.2
161,Заводской,27,3,5,7836337.22,176,211,0.0,0,70.4,70.4,44.2
162,Ленинский,89,10,16,11663146.21,247,248,3.0,3,,58.8,-5.3
163,Ленинский,23,5,20,5455731.4,157,203,1.0,1,54.3,54.3,50.2
164,Ленинский,23,5,4,7507197.64,102,137,4.0,4,59.2,59.2,30.1
165,Центральный,40,15,2,7337047.7,136,134,3.0,3,64.4,64.4,-3.8
166,Приречный,33,9,18,7495889.02,167,203,0.0,0,38.1,38.1,30.2
167,Заводской,64,5,19,8347472.02,88,111,2.0,2,68.0,68.0,25.2
168,Центральный,86,5,19,9646763.54,194,208,3.0,3,45.3,45.3,12.2
169,Центральный,6,3,17,7712441.13,65,55,2.0,2,42.7,42.7,0.4
170,Ленинский,5,4,14,6962573.65,91,122,1.0,1,35.8,35.8,41.7
171,Ленинский,51,14,19,6310179.78,192,241,4.0,4,45.0,45.0,26.9
172,Центральный,73,8,13,7297725.81,133,149,1.0,1,48.6,48.6,28.8
173,Ленинский,24,5,12,5168262.74,155,199,1.0,1,23.3,23.3,37.2
174,Центральный,15,2,6,6912300.36,132,162,,0,58.6,58.6,15.4
175,Ленинский,6,3,4,9866080.84,160,150,3.0,3,53.6,53.6,13.6
176,Центральный,71,15,19,9398596.81,187,187,0.0,0,67.8,67.8,6.4
177,Ленинский,91,18,16,14407284.87,212,244,2.0,2,48.2,48.2,13.0
178,Заводской,16,2,13,10878501.34,70,65,1.0,1,94.4,94.4,-27.4
179,Приречный,24,1,4,8886532.33,102,142,1.0,1,66.8,66.8,25.4
180,Центральный,9,2,17,10986878.9,76,109,2.0,2,49.9,49.9,60.4
181,Заводской,41,17,1,8533689.46,168,187,4.0,4,53.2,53.2,28.7
182,Центральный,42,13,18,9152775.67,135,140,4.0,4,78.2,78.2,4.6
183,Приречный,98,11,20,15259390.2,192,236,3.0,3,66.5,66.5,5.2
184,Приречный,13,3,17,8269577.68,91,134,4.0,4,28.5,28.5,36.4
185,Заводской,57,6,15,6598472.59,35,111,1.0,1,37.2,37.2,144.4
186,Ленинский,48,11,11,7000641.91,125,163,2.0,2,44.7,44.7,41.5
187,Приречный,90,16,13,13052030.91,194,196,,0,60.0,60.0,-21.7
188,Ленинский,28,4,1,8224897.51,171,161,1.0,1,58.1,58.1,-7.9
189,Ленинский,85,11,17,10886030.81,230,253,4.0,4,,58.8,41.2
190,Центральный,78,18,6,12164878.12,205,237,2.0,2,68.6,68.6,15.5
191,Центральный,34,17,4,11189653.38,140,153,0.0,0,80.9,80.9,-1.9
192,Приречный,63,8,20,8649465.02,179,204,3.0,3,51.1,51.1,13.4
193,Приречный,91,6,16,9260014.74,193,240,1.0,1,33.1,33.1,23.8
194,Ленинский,100,14,15,17673975.62,130,267,2.0,2,21.0,21.0,176.0
195,Заводской,85,16,15,13921326.15,96,171,2.0,2,41.2,41.2,156.3
196,Заводской,85,11,6,11112575.16,256,254,0.0,0,51.3,51.3,-11.2
197,Ленинский,18,2,15,7309390.08,57,118,2.0,2,68.9,68.9,100.0
198,Приречный,13,5,14,9297117.04,157,147,5.0,5,,58.8,-3.9
199,Приречный,44,5,11,9355173.55,168,197,2.0,2,67.5,67.5,24.5
200,Приречный,70,11,7,15491806.86,242,233,3.0,3,35.8,35.8,-10.0
201,Ленинский,29,5,9,9684295.93,137,186,0.0,0,70.1,70.1,48.6
202,Центральный,77,10,16,14735066.27,246,247,,0,,58.8,-2.2
203,Центральный,26,5,5,9864775.16,100,111,,0,87.5,87.5,13.8
204,Приречный,8,2,20,6651780.22,84,74,3.0,3,44.0,44.0,-21.2
205,Ленинский,30,5,10,6941861.53,137,170,2.0,2,48.9,48.9,14.1
206,Центральный,62,11,18,12755313.34,230,267,1.0,1,54.0,54.0,23.0
207,Центральный,33,11,3,8674413.55,178,227,,4,45.9,45.9,23.1
208,Ленинский,91,14,13,12437671.73,140,137,2.0,2,58.8,58.8,-10.7
209,Центральный,41,15,11,5466412.33,167,157,5.0,5,50.1,50.1,-12.4
210,Центральный,79,14,17,11104328.98,141,165,3.0,3,51.1,51.1,24.0
211,Ленинский,74,18,13,14630916.83,165,167,4.0,4,26.5,26.5,-5.1
212,Ленинский,22,2,6,7778214.5,101,103,2.0,2,,58.8,0.8
213,Ленинский,89,6,17,8981981.24,171,176,2.0,2,,58.8,3.1
214,Центральный,46,5,13,8276979.16,75,65,0.0,0,74.5,74.5,-30.0
215,Ленинский,45,14,19,8422602.6,200,223,2.0,2,42.4,42.4,-3.2
216,Центральный,42,12,19,10352508.91,89,95,1.0,1,50.3,50.3,10.1
217,Заводской,38,19,10,7744730.5,212,217,1.0,1,75.2,75.2,-5.0
218,Ленинский,21,1,3,6028899.04,149,164,6.0,6,,58.8,20.6
219,Ленинский,41,16,14,9630792.78,90,124,1.0,1,55.9,55.9,47.4
220,Приречный,29,3,19,8272758.56,116,159,2.0,2,66.7,66.7,44.3
221,Ленинский,80,12,5,14803441.02,235,271,1.0,1,28.8,28.8,33.5
222,Ленинский,91,13,5,10747425.99,175,223,2.0,2,65.7,65.7,26.6
223,Центральный,90,18,20,11676180.25,233,273,1.0,1,62.6,62.6,23.7
224,Заводской,89,8,17,8277413.42,164,154,1.0,1,52.1,52.1,-11.9
225,Заводской,31,5,10,6857467.69,86,120,3.0,3,32.7,32.7,64.1
226,Центральный,61,5,5,8464815.93,165,182,3.0,3,59.4,59.4,30.1
227,Приречный,35,7,4,7955847.9,66,74,1.0,1,86.5,86.5,12.2
228,Заводской,10,5,6,11417499.54,122,127,0.0,0,65.6,65.6,8.0
229,Приречный,95,9,4,13309584.99,266,280,3.0,3,45.4,45.4,18.9
230,Ленинский,44,13,7,7831064.26,93,139,3.0,3,54.7,54.7,48.0
231,Приречный,16,2,7,7673688.88,102,110,3.0,3,,58.8,1.3
232,Ленинский,57,18,18,5766499.47,114,127,0.0,0,73.9,73.9,20.1
233,Ленинский,75,16,3,10686266.24,225,245,,4,71.1,71.1,9.7
234,Заводской,14,2,1,9975438.26,67,87,4.0,4,72.3,72.3,31.7
235,Центральный,49,6,4,8788966.34,128,130,1.0,1,73.7,73.7,-6.8
236,Ленинский,21,1,6,7817444.07,149,139,3.0,3,49.3,49.3,-23.9
237,Заводской,30,5,9,7861648.69,139,176,0.0,0,36.4,36.4,29.0
238,Центральный,89,13,14,14123019.58,173,184,0.0,0,54.0,54.0,15.4
239,Ленинский,96,13,12,13553275.13,197,207,4.0,4,39.4,39.4,2.8
240,Центральный,66,17,20,14197895.19,156,178,1.0,1,72.5,72.5,28.5
241,Приречный,50,13,4,8843474.93,92,82,2.0,2,76.0,76.0,-17.9
242,Приречный,68,9,12,19167989.95,224,214,4.0,4,60.6,60.6,-15.0
243,Приречный,6,5,10,8695164.61,126,166,1.0,1,40.0,40.0,31.1
244,Заводской,58,19,7,8819783.95,87,80,0.0,0,96.8,96.8,-8.9
245,Центральный,69,13,3,15151584.97,166,197,1.0,1,54.6,54.6,26.4
246,Приречный,55,15,14,4825004.36,195,185,2.0,2,73.1,73.1,-12.9
247,Заводской,57,8,10,8090482.87,123,113,1.0,1,67.7,67.7,5.6
248,Приречный,40,6,16,6015093.47,96,105,1.0,1,68.3,68.3,29.0
249,Приречный,30,17,16,7088710.49,118,118,1.0,1,75.5,75.5,-0.4
250,Приречный,33,10,10,9141154.46,213,252,3.0,3,42.8,42.8,30.8
251,Заводской,25,4,13,7164079.55,79,121,1.0,1,78.2,78.2,42.6
252,Заводской,15,3,6,5814743.2,84,105,1.0,1,39.1,39.1,35.8
253,Приречный,44,10,12,13243816.68,142,172,3.0,3,,58.8,31.6
254,Заводской,15,2,9,5804891.06,61,104,1.0,1,77.8,77.8,79.1
255,Центральный,40,6,13,11385127.09,81,116,2.0,2,65.9,65.9,43.1
256,Ленинский,63,17,4,10074099.74,217,237,0.0,0,100.0,100.0,-20.3
257,Приречный,43,13,11,5442954.48,159,170,1.0,1,65.8,65.8,0.5
258,Ленинский,58,11,20,7366188.33,198,192,3.0,3,86.5,86.5,-9.3
259,Ленинский,59,7,18,9867032.07,104,145,1.0,1,30.9,30.9,29.6
260,Центральный,28,5,11,5125749.23,78,84,4.0,4,35.6,35.6,8.9
261,Ленинский,26,3,4,9689300.13,146,153,2.0,2,76.0,76.0,0.6
262,Приречный,73,5,18,7589455.86,125,168,0.0,0,35.3,35.3,26.2
263,Центральный,60,12,1,8730746.66,141,179,4.0,4,47.4,47.4,16.4
264,Ленинский,37,18,7,8986286.62,215,252,2.0,2,74.1,74.1,10.1
265,Приречный,40,10,6,8662132.25,190,180,1.0,1,74.5,74.5,6.0
266,Ленинский,24,1,15,6702574.02,76,262,1.0,1,30.0,30.0,134.5
267,Ленинский,87,9,18,11833139.36,139,154,2.0,2,54.3,54.3,15.7
268,Ленинский,85,19,11,8858605.94,227,219,1.0,1,70.0,70.0,-9.5
269,Заводской,66,5,20,5263338.67,163,157,2.0,2,72.7,72.7,-5.0
270,Заводской,77,16,15,11217987.38,90,238,2.0,2,,58.8,150.4
271,Приречный,30,14,16,7673071.92,136,175,1.0,1,64.8,64.8,17.9
272,Приречный,70,11,7,15408333.12,135,136,1.0,1,83.0,83.0,11.0
273,Приречный,77,19,10,12081160.8,221,263,5.0,5,43.3,43.3,33.4
274,Приречный,77,9,12,22941610.25,178,182,1.0,1,67.2,67.2,-8.3
275,Ленинский,44,7,14,8168773.57,103,130,6.0,6,53.9,53.9,16.5
276,Ленинский,21,4,5,9474728.32,93,115,4.0,4,61.9,61.9,19.2
277,Приречный,5,5,18,7015535.91,136,153,2.0,2,73.8,73.8,4.9
278,Ленинский,93,13,5,9659831.82,148,168,1.0,1,47.8,47.8,15.8
279,Ленинский,65,5,3,7354851.19,180,204,1.0,1,54.3,54.3,-6.1
280,Приречный,47,5,5,8129532.97,127,146,3.0,3,49.8,49.8,3.8
281,Приречный,46,5,17,5928335.37,78,74,2.0,2,50.4,50.4,10.3
282,Заводской,29,3,19,10077723.39,165,201,1.0,1,32.8,32.8,12.5
283,Заводской,43,16,19,9015739.57,165,155,4.0,4,9.2,9.2,6.4
284,Центральный,39,10,12,7451955.51,146,187,2.0,2,73.7,73.7,31.6
285,Ленинский,7,2,9,6644984.77,120,110,1.0,1,43.7,43.7,-26.4
286,Центральный,48,15,1,7866161.82,118,165,3.0,3,,58.8,46.2
287,Заводской,55,7,18,9349152.56,154,150,2.0,2,75.1,75.1,-3.8
288,Ленинский,98,12,4,13137792.55,174,203,4.0,4,46.1,46.1,12.1
289,Заводской,16,2,10,8094768.84,118,137,4.0,4,63.4,63.4,18.6
290,Ленинский,23,2,7,9965577.05,175,212,,0,66.0,66.0,25.9
291,Центральный,48,18,1,7093262.59,80,80,4.0,4,41.5,41.5,7.1
292,Центральный,63,13,17,11224421.0,194,191,,0,69.8,69.8,10.2
293,Приречный,53,7,2,7749205.79,155,189,3.0,3,39.5,39.5,26.0
294,Заводской,65,9,11,13666981.49,133,141,3.0,3,69.2,69.2,-7.7
295,Центральный,21,2,9,11633608.31,98,101,2.0,2,52.7,52.7,-1.7
296,Ленинский,78,12,7,17114683.33,246,242,3.0,3,59.6,59.6,27.8
297,Приречный,61,6,17,10050254.69,167,164,1.0,1,64.9,64.9,5.4
298,Центральный,59,10,17,6733581.47,102,123,4.0,4,55.6,55.6,44.3
299,Ленинский,51,16,2,7126832.61,157,181,3.0,3,81.1,81.1,29.2
300,Центральный,16,5,6,7117942.13,130,126,0.0,0,66.4,66.4,-0.7
301,Центральный,66,17,14,13155096.14,142,135,2.0,2,82.3,82.3,-1.9
302,Ленинский,84,14,6,10129987.07,223,251,1.0,1,,58.8,12.2
303,Ленинский,92,13,2,11322921.44,199,207,0.0,0,89.7,89.7,-13.4
304,Ленинский,87,16,1,10195587.79,188,178,3.0,3,55.9,55.9,-5.1
305,Ленинский,12,5,10,10224072.19,165,164,1.0,1,77.4,77.4,11.5
306,Приречный,99,6,5,7278389.66,106,132,1.0,1,60.9,60.9,18.5
307,Ленинский,25,5,2,9280587.01,167,157,1.0,1,22.2,22.2,-1.9
308,Заводской,85,19,16,13594513.65,143,149,4.0,4,40.5,40.5,12.7
309,Приречный,91,16,2,9071730.17,151,145,3.0,3,69.7,69.7,-13.1
310,Заводской,84,8,10,6614711.91,157,155,0.0,0,77.7,77.7,-5.8
311,Заводской,74,19,2,9525482.61,198,229,,0,41.4,41.4,5.5
312,Центральный,76,15,16,11079580.18,160,165,4.0,4,60.3,60.3,-5.1
313,Центральный,29,2,16,7469756.83,75,80,2.0,2,70.5,70.5,-6.2
314,Приречный,86,16,19,9443699.45,139,144,1.0,1,65.5,65.5,-5.4
315,Приречный,93,15,7,16302953.35,178,203,2.0,2,69.9,69.9,28.2
316,Ленинский,16,3,12,5376169.94,155,183,1.0,1,70.3,70.3,8.9
317,Заводской,19,5,15,7512839.79,71,212,3.0,3,32.3,32.3,168.3
318,Центральный,63,9,8,16542490.34,173,205,4.0,4,43.9,43.9,19.8
319,Центральный,30,11,6,8216891.75,197,187,5.0,5,70.6,70.6,9.4
320,Заводской,30,15,10,8737212.6,196,241,1.0,1,64.9,64.9,10.3
321,Ленинский,51,11,3,8258023.55,120,141,,4,30.1,30.1,8.7
322,Ленинский,36,19,19,6411031.07,202,200,4.0,4,61.3,61.3,5.8
323,Ленинский,14,5,17,9069591.77,168,164,2.0,2,46.7,46.7,0.3
324,Заводской,20,4,7,9440207.76,81,93,3.0,3,44.1,44.1,23.8
325,Приречный,75,19,20,8495026.33,182,210,1.0,1,51.6,51.6,2.6
326,Ленинский,21,1,4,7728490.79,166,201,2.0,2,57.7,57.7,18.2
327,Ленинский,27,4,14,7373330.3,86,128,2.0,2,,58.8,42.7
328,Ленинский,30,15,20,9413357.23,125,115,2.0,2,57.9,57.9,-19.1
329,Заводской,89,7,15,7447662.09,106,272,1.0,1,28.3,28.3,168.6
330,Центральный,90,19,8,11448520.01,190,218,,4,,58.8,25.1
331,Заводской,11,4,15,9106059.7,38,152,1.0,1,59.9,59.9,100.0
332,Приречный,18,5,20,9711699.1,135,140,2.0,2,20.2,20.2,21.0
333,Центральный,83,17,14,14890806.51,196,227,2.0,2,,58.8,11.1
334,Центральный,11,3,9,4784949.01,155,145,5.0,5,78.2,78.2,-19.3
335,Центральный,13,2,8,9937105.32,157,182,3.0,3,63.8,63.8,10.9
336,Центральный,52,18,17,2919779.36,136,161,0.0,0,84.0,84.0,20.5
