transaction_id,product_category,quantity,is_member,hour_of_day,unit_price
T016241,Groceries,5,1,10,360.55
T054017,Books,4,0,10,346.95
T084708,Groceries,3,0,21,318.52
T049897,Electronics,5,1,18,4742.83
T009634,Groceries,7,0,11,288.0
T035615,Books,3,0,17,698.33
T082041,Groceries,9,1,18,225.57
T032226,Groceries,2,0,9,317.08
T012661,Clothing,18,0,14,1140.56
T039886,Clothing,7,1,21,947.56
T033849,Groceries,11,0,10,235.64
T067878,Electronics,16,0,20,4253.2
T088085,Books,2,1,21,465.07
T067719,Books,2,0,18,723.72
T090994,Groceries,16,1,17,72.92
T053210,Groceries,8,0,19,69.43
T064675,Groceries,10,0,21,168.68
T049256,Groceries,11,0,21,173.07
T061250,Groceries,9,0,12,347.23
T037323,Clothing,17,0,15,525.63
T079302,Clothing,12,1,13,621.89
T051932,Electronics,19,0,9,2222.31
T076708,Groceries,13,0,11,299.36
T084530,Clothing,10,0,18,973.44
T019386,Home,3,1,18,1789.14
T059762,Groceries,10,1,16,80.09
T036108,Clothing,18,0,17,638.53
T078473,Electronics,5,0,17,4833.59
T039636,Groceries,2,1,13,289.1
T043689,Electronics,10,0,17,1348.26
T011997,Home,17,1,21,1488.25
T003008,Electronics,19,0,17,4232.9
T074158,Clothing,9,0,13,317.26
T027277,Clothing,13,1,16,1036.04
T081433,Groceries,2,0,17,306.72
T059597,Electronics,5,1,18,1408.63
T000294,Clothing,12,1,14,916.81
T065285,Books,9,0,21,312.85
T058702,Electronics,18,0,18,3178.17
T020322,Groceries,16,1,12,266.11
T004343,Home,18,0,21,2429.18
T048228,Clothing,6,1,21,1367.63
T071659,Clothing,17,1,14,1443.03
T002848,Clothing,8,1,13,1430.42
T062701,Groceries,4,0,14,394.52
T014676,Electronics,18,0,11,3002.5
T005202,Books,4,1,17,945.79
T083726,Groceries,9,1,15,310.86
T082484,Clothing,16,1,21,1253.19
T092197,Groceries,19,0,9,308.19
T041524,Electronics,3,0,14,1314.16
T009363,Clothing,6,1,17,755.4
T028637,Groceries,9,0,16,269.02
T072711,Electronics,8,1,21,2562.69
T050180,Groceries,18,1,14,165.1
T029418,Home,17,1,16,922.24
T012894,Books,8,1,9,395.24
T098680,Electronics,16,1,13,2046.68
T085450,Books,5,0,9,980.76
T054498,Clothing,12,1,16,762.97
T004852,Clothing,16,0,15,419.63
T042184,Clothing,14,0,19,1385.71
T061895,Groceries,10,0,18,170.21
T026888,Groceries,16,0,16,157.98
T008741,Groceries,15,0,14,177.84
T076277,Electronics,9,1,16,2075.05
T032407,Groceries,17,0,12,327.02
T064727,Electronics,18,0,17,1317.99
T000021,Groceries,19,0,12,281.94
T062961,Groceries,7,0,13,456.1
T039602,Clothing,11,0,14,750.25
T088907,Electronics,4,1,9,3905.95
T011231,Home,2,1,18,2849.95
T075840,Home,14,0,16,2589.34
T029499,Groceries,2,0,12,250.25
T007745,Groceries,14,1,9,201.84
T084149,Clothing,16,0,12,679.05
T021330,Books,16,1,18,906.12
T067958,Electronics,20,0,9,2472.96
T073259,Books,1,1,11,437.29
T009621,Clothing,20,1,14,1108.75
T057163,Home,14,1,21,2195.86
T057609,Groceries,10,1,21,348.05
T002854,Books,6,0,17,910.65
T096329,Clothing,5,1,19,652.86
T019324,Electronics,14,0,16,4915.54
T048268,Home,6,1,14,888.93
T053058,Groceries,17,1,17,130.25
T041603,Electronics,9,1,15,1224.73
T014344,Books,17,0,19,512.48
T077573,Home,3,1,21,2015.84
T053394,Groceries,13,0,11,416.68
T009443,Clothing,4,0,16,1290.47
T022818,Electronics,11,0,19,3479.22
T072660,Electronics,10,0,17,3055.67
T019358,Home,8,0,17,1186.38
T052632,Home,11,0,17,1218.82
T047401,Groceries,18,0,18,459.81
T041020,Electronics,1,0,12,4242.5
T064098,Electronics,3,0,13,3721.69
T028585,Groceries,4,0,11,148.17
T020893,Electronics,20,1,14,2237.76
T043812,Clothing,14,1,18,1186.74
T021201,Electronics,18,1,14,3887.08
T094300,Electronics,7,1,17,4452.91
T056920,Groceries,5,0,18,424.94
T048291,Groceries,1,1,21,250.22
T009160,Clothing,14,1,13,1400.64
T020764,Home,15,0,12,2972.32
T093033,Clothing,19,0,21,1002.3
T027980,Books,5,1,14,222.32
T085899,Groceries,4,0,12,234.63
T047543,Groceries,8,1,16,294.72
T045167,Groceries,15,0,9,274.61
T072833,Electronics,12,0,11,1200.54
T075337,Clothing,1,1,21,544.53
T028086,Home,11,0,17,1206.44
T020670,Clothing,6,0,21,441.09
T015549,Electronics,3,0,19,4329.44
T031987,Books,1,0,14,829.69
T015436,Electronics,20,1,16,2285.39
T045675,Books,17,0,14,613.43
T047747,Groceries,5,0,15,150.99
T001124,Home,1,1,13,1057.06
T020193,Groceries,9,1,14,375.34
T021932,Home,6,1,10,1061.43
T020179,Clothing,9,1,19,1440.0
T069736,Home,5,0,21,959.05
T005443,Electronics,16,0,14,3843.1
T082198,Clothing,8,0,16,524.45
T082186,Electronics,15,0,15,3025.44
T048311,Books,13,1,14,355.37
T059785,Electronics,12,1,13,2681.65
T023214,Clothing,4,0,18,533.08
T066311,Groceries,16,0,18,106.03
T001509,Groceries,16,1,16,321.94
T058049,Clothing,19,0,11,976.58
T050632,Home,4,1,17,2891.27
T075960,Clothing,16,1,14,327.61
T062674,Groceries,11,0,14,100.5
T013104,Home,17,0,18,1570.93
T069502,Groceries,15,0,13,229.08
T059471,Groceries,13,0,14,308.25
T081159,Clothing,1,0,16,981.87
T095556,Groceries,14,1,15,107.12
T010090,Clothing,15,0,13,425.79
T058319,Home,4,0,21,2473.1
T028119,Groceries,11,0,13,155.21
T012626,Clothing,11,1,16,1200.53
T037119,Electronics,12,1,16,3221.5
T031325,Home,16,1,14,2490.2
T047801,Groceries,17,0,19,438.24
T002832,Groceries,5,0,10,303.7
T071413,Home,13,1,18,1890.46
T030570,Groceries,9,1,9,389.31
T016432,Groceries,19,1,15,266.25
T093315,Electronics,13,1,16,4749.65
T042943,Books,16,1,11,567.6
T073981,Home,10,0,13,2041.74
T015985,Groceries,11,0,21,293.25
T048206,Groceries,7,0,12,88.36
T019831,Home,16,0,18,1762.11
T058475,Groceries,9,1,15,52.22
T048665,Clothing,10,1,21,1073.29
T002793,Groceries,20,0,11,210.78
T093886,Groceries,4,0,20,175.64
T025464,Clothing,17,1,18,302.34
T096979,Books,6,0,11,677.02
T048350,Clothing,12,1,18,1439.87
T065122,Clothing,2,0,19,362.25
T096963,Clothing,3,1,15,1251.09
T089742,Home,16,0,18,2726.18
T027460,Home,3,1,15,1324.32
T013019,Clothing,13,1,10,1315.28
T034871,Clothing,6,1,14,1220.23
T026347,Electronics,6,0,17,3839.45
T097016,Clothing,3,0,13,1230.23
T020943,Home,9,0,11,2966.86
T016752,Groceries,19,1,21,306.9
T023778,Clothing,10,1,20,835.99
T033218,Electronics,1,0,21,3456.42
T041730,Electronics,1,0,13,3448.78
T094760,Clothing,15,0,18,476.38
T023519,Groceries,1,1,11,152.92
T020718,Clothing,5,0,14,1141.03
T018355,Electronics,10,1,21,1485.1
T074356,Clothing,8,0,19,529.02
T022266,Groceries,20,1,12,455.12
T055930,Groceries,19,1,10,64.24
T058237,Electronics,1,0,11,2022.09
T080275,Groceries,2,0,16,68.3
T030634,Groceries,7,0,20,491.54
T058360,Clothing,16,1,20,1313.35
T057662,Clothing,8,1,21,314.62
T019954,Groceries,8,1,17,150.76
T099774,Groceries,15,0,14,447.23
T093108,Books,6,1,12,686.41
T062634,Clothing,15,0,18,520.9
T041747,Books,8,1,21,581.1
T060913,Electronics,12,0,13,4433.65
T062891,Clothing,7,0,17,1423.14
T058889,Electronics,11,0,20,4987.83
T019917,Clothing,9,0,20,626.11
T009322,Home,11,1,18,2463.66
T072467,Home,9,0,15,2830.14
T067891,Electronics,11,0,9,3710.81
T053396,Groceries,19,1,13,208.63
T093549,Electronics,17,0,21,1441.36
T008509,Books,10,1,16,583.81
T021626,Electronics,2,0,18,2047.7
T005736,Groceries,12,1,10,228.2
T045826,Groceries,16,1,16,94.16
T068436,Groceries,11,0,18,473.49
T073087,Clothing,11,1,14,1105.57
T012126,Books,20,0,14,263.47
T045533,Electronics,10,0,11,4621.07
T051233,Books,3,1,18,857.3
T048127,Electronics,1,0,20,4058.94
T034006,Home,9,0,18,2264.89
T078053,Home,4,0,17,2752.99
T022281,Groceries,13,0,15,97.42
T096768,Electronics,12,1,13,1723.39
T018969,Groceries,20,1,14,159.31
T063129,Electronics,8,1,16,3150.79
T006697,Groceries,11,1,9,226.6
T006449,Electronics,19,0,13,3358.93
T006088,Clothing,10,1,16,589.69
T053477,Books,19,0,17,940.13
T069455,Groceries,13,1,14,248.79
T062460,Electronics,2,1,19,3634.16
T073117,Books,4,1,21,770.99
T094655,Clothing,9,0,16,385.25
T013558,Home,4,1,13,1610.57
T033160,Books,14,0,11,868.89
T023247,Electronics,15,0,21,4968.56
T059893,Electronics,12,0,18,2177.18
T012736,Groceries,6,0,18,487.5
T090011,Clothing,14,0,21,475.24
T052326,Home,14,1,18,2842.33
T038680,Groceries,9,0,16,387.26
T000526,Groceries,2,1,18,57.82
T096128,Clothing,3,0,19,1466.51
T007167,Home,18,0,10,1328.33
T066295,Groceries,19,0,21,51.12
T006645,Clothing,9,0,19,1031.9
T093943,Electronics,13,1,19,4347.75
T038624,Clothing,18,0,19,1454.5
T057884,Electronics,16,0,16,1994.59
T083188,Electronics,11,1,17,2438.34
T095568,Electronics,14,0,9,2565.31
T077527,Groceries,14,1,19,199.71
T080143,Home,1,0,19,2468.6
T015456,Groceries,10,0,21,244.27
T069692,Home,1,1,13,2068.6
T046107,Clothing,3,0,21,875.39
T099023,Home,19,0,15,2514.6
T083538,Groceries,3,0,19,93.56
T083364,Clothing,13,1,15,981.04
T008199,Groceries,8,0,21,252.44
T023151,Home,3,0,21,2156.56
T057318,Groceries,2,0,15,161.52
T011939,Electronics,5,1,18,3010.96
T050201,Electronics,6,0,15,2165.03
T059565,Groceries,5,0,12,246.2
T019032,Groceries,17,1,21,413.94
T043242,Home,17,0,13,2531.24
T051393,Groceries,18,1,9,190.77
T042603,Books,2,0,13,556.27
T007706,Electronics,7,0,13,3796.44
T035558,Electronics,18,1,13,4631.15
T018800,Books,4,1,15,453.56
T071486,Books,5,0,14,777.73
T021969,Books,17,1,16,579.57
T063873,Books,4,1,13,321.3
T082856,Electronics,2,0,16,4646.95
T058549,Groceries,15,1,19,472.73
T080225,Groceries,7,0,20,469.02
T031616,Electronics,4,1,9,3270.49
T030394,Groceries,15,0,16,398.32
T097504,Groceries,5,1,21,58.11
T021085,Clothing,13,1,21,720.6
T019238,Electronics,10,0,15,3033.52
T043637,Books,6,0,12,622.67
T067048,Groceries,6,0,11,109.75
T081833,Home,13,1,13,1107.39
T009213,Electronics,8,0,12,2827.99
T063544,Books,5,0,16,909.58
T055616,Groceries,4,0,17,442.33
T017710,Electronics,19,1,14,3994.83
T082121,Groceries,9,1,17,92.73
T046004,Electronics,18,1,19,3019.15
T040867,Groceries,13,0,17,290.4
T060308,Home,8,1,14,2385.41
T088762,Groceries,2,0,13,461.25
T033390,Groceries,13,0,18,379.88
T076565,Home,2,1,17,1976.28
T085197,Books,14,1,21,271.91
T050871,Groceries,16,0,20,391.79
T027139,Groceries,12,1,13,101.41
T020794,Clothing,20,0,21,1199.82
T083838,Groceries,20,0,19,179.91
T008138,Books,6,1,13,836.18
T018943,Clothing,8,0,12,471.46
T039910,Electronics,8,0,21,2113.19
T026178,Electronics,12,0,18,2856.65
T056526,Groceries,17,0,21,403.33
T004049,Home,8,0,14,898.63
T066100,Home,18,0,12,2086.43
T058654,Electronics,11,1,13,3111.72
T020818,Clothing,12,1,19,1217.5
T044790,Electronics,3,0,21,3554.0
T075319,Clothing,6,0,16,419.73
T042261,Electronics,17,1,19,2929.82
T091130,Books,17,1,21,310.28
T015092,Groceries,18,0,18,497.95
T012009,Clothing,4,1,9,1327.68
T096522,Groceries,18,0,14,73.18
T065961,Electronics,3,0,15,2285.89
T045085,Groceries,6,1,14,386.74
T016666,Electronics,2,0,11,1810.8
T023276,Electronics,12,0,9,2517.66
T008557,Electronics,20,1,16,1859.51
T036439,Clothing,16,1,12,1203.98
T073813,Groceries,9,1,16,150.37
T059998,Clothing,15,0,15,480.44
T085929,Home,2,1,20,1047.64
T003605,Clothing,13,0,20,975.78
T098616,Groceries,8,1,21,178.07
T091050,Groceries,3,1,11,222.4
T046190,Clothing,7,0,21,442.41
T079340,Clothing,11,1,14,1361.53
T067456,Groceries,7,1,19,112.24
T013916,Groceries,1,0,16,265.07
T070556,Clothing,4,0,18,334.68
T059022,Electronics,6,0,17,2329.49
T082159,Books,9,0,14,885.47
T021046,Home,7,1,20,1871.56
T034346,Clothing,4,0,21,1240.78
T096255,Groceries,4,1,13,184.59
T091789,Groceries,16,0,17,291.29
T057952,Electronics,2,0,20,3020.16
T076967,Electronics,12,0,12,2842.75
T047975,Books,10,0,12,881.89
T051051,Clothing,4,1,9,698.35
T037828,Groceries,16,0,18,259.18
T059902,Books,19,0,15,280.16
T077385,Home,7,1,14,1417.66
T024656,Electronics,8,0,19,3011.06
T090873,Electronics,12,1,14,2565.89
T003654,Electronics,4,0,16,1668.53
T016246,Clothing,1,0,18,473.59
T012837,Books,7,0,13,520.21
T039080,Home,10,0,18,1140.85
T083903,Groceries,18,1,11,198.45
T088089,Electronics,4,0,10,1935.48
T004624,Groceries,12,1,16,279.77
T085704,Books,19,0,20,327.41
T029382,Groceries,9,0,16,335.42
T011648,Clothing,12,1,21,346.99
T040973,Groceries,14,1,12,495.74
T024036,Groceries,17,1,15,373.31
T083470,Home,12,0,21,1686.43
T075530,Electronics,16,0,20,4197.69
T015387,Clothing,18,1,13,346.47
T081240,Clothing,5,0,10,416.95
T036819,Electronics,19,0,18,2760.56
T099424,Home,17,0,17,2764.97
T061316,Electronics,11,1,9,4234.21
T085086,Clothing,15,0,15,1136.78
T090695,Groceries,9,1,18,196.09
T072947,Books,12,0,18,472.03
T083211,Groceries,11,0,14,318.71
T088168,Clothing,20,0,18,1367.11
T031465,Home,12,0,13,2958.83
T005744,Books,12,1,15,247.78
T051015,Books,2,1,18,866.53
T083910,Groceries,12,0,9,391.59
T070632,Home,8,1,21,945.13
T010795,Electronics,7,0,18,3258.78
T099377,Clothing,9,0,15,494.79
T067583,Groceries,17,0,10,344.34
T050839,Clothing,5,0,9,1408.86
T051419,Clothing,11,1,13,1286.36
T067482,Groceries,11,1,21,381.69
T037374,Books,18,1,13,501.04
T097808,Groceries,1,0,16,274.13
T067884,Clothing,16,0,15,1168.58
T009947,Clothing,1,0,10,1104.3
T073795,Home,7,1,16,1018.15
T096549,Home,1,1,18,2859.15
T001804,Clothing,1,0,12,697.67
T036307,Clothing,10,1,15,596.75
T034373,Clothing,15,0,15,508.45
T084328,Home,6,1,17,1448.69
T081382,Groceries,16,1,13,410.05
T096157,Clothing,9,1,16,955.62
T097336,Books,2,1,15,803.0
T096204,Electronics,9,0,14,1446.76
T087779,Home,11,0,21,1623.11
T098340,Books,1,1,17,989.24
T070971,Home,15,1,15,2135.9
T013134,Clothing,12,1,16,1347.56
T080797,Home,4,1,16,1887.98
T051432,Groceries,7,1,19,80.39
T071459,Electronics,10,0,17,4747.39
T034734,Books,11,0,12,797.62
T000127,Home,6,1,15,2743.64
T003972,Groceries,13,0,17,236.79
T011333,Home,4,1,18,2578.95
T078315,Books,9,0,16,669.32
T097049,Groceries,20,0,9,168.76
T025059,Groceries,15,1,17,429.38
T098039,Electronics,13,0,15,3554.81
T006059,Home,6,0,18,886.7
T098716,Electronics,2,0,19,3436.15
T027328,Home,3,1,10,2128.2
T098085,Clothing,15,1,14,399.57
T044954,Groceries,19,1,19,290.78
T023481,Electronics,17,0,21,2548.61
T051090,Groceries,1,0,15,270.66
T043245,Electronics,1,0,13,3205.22
T006393,Home,2,0,13,1662.81
T020323,Clothing,7,1,21,647.92
T002029,Clothing,1,0,11,1472.02
T037822,Groceries,10,1,10,481.58
T098402,Groceries,16,1,16,401.21
T045824,Electronics,15,0,16,4404.5
T000003,Groceries,15,0,18,304.74
T055006,Groceries,6,0,19,222.23
T052247,Clothing,19,0,21,1006.83
T062113,Groceries,8,0,19,421.37
T050589,Groceries,1,1,15,345.48
T089466,Electronics,15,1,17,1017.49
T060865,Books,10,0,14,801.93
T004292,Electronics,11,0,20,4980.44
T007137,Home,19,1,20,1685.8
T057800,Groceries,20,0,11,336.2
T035794,Home,13,1,11,1906.39
T065209,Home,16,0,21,2433.8
T064120,Clothing,1,0,9,349.19
T034465,Groceries,19,1,14,116.89
T095104,Groceries,10,0,14,108.95
T071001,Electronics,8,0,9,1922.11
T079221,Electronics,8,1,16,1750.9
T089265,Electronics,12,1,14,1719.15
T079726,Groceries,3,0,17,429.92
T094367,Clothing,1,0,18,1227.08
T084920,Electronics,7,0,14,2110.74
T084829,Clothing,20,1,13,728.16
T004527,Groceries,5,1,10,441.89
T011318,Groceries,1,1,15,413.16
T025529,Electronics,12,0,18,4066.6
T017191,Electronics,12,0,21,3168.73
T088142,Groceries,11,0,13,207.94
T001636,Clothing,12,0,16,1192.54
T069988,Clothing,4,0,16,691.55
T001150,Home,11,0,17,1692.08
T025395,Clothing,18,0,13,1139.16
T057308,Books,5,1,13,470.38
T053630,Books,2,1,14,800.6
T069870,Groceries,1,1,11,97.73
T041983,Clothing,18,0,9,388.5
T018610,Groceries,11,0,21,223.14
T050460,Groceries,4,0,20,463.75
T098218,Groceries,6,1,9,96.2
T092929,Groceries,14,0,16,434.52
T086447,Books,7,0,20,490.47
T037865,Electronics,18,1,18,4178.5
T013353,Home,3,0,14,2853.29
T047709,Books,19,1,19,513.05
T009992,Clothing,7,0,13,341.61
T030147,Home,8,1,13,1282.27
T049085,Electronics,7,0,21,1571.3
T063275,Groceries,6,0,18,177.28
T037167,Books,20,0,21,306.95
T009362,Home,20,1,13,1698.44
T017682,Home,3,0,17,1286.32
T084336,Home,9,1,20,1969.1
T082226,Clothing,2,1,21,1408.32
T043630,Home,11,1,19,2281.01
T057142,Home,19,1,16,1922.14
T099724,Groceries,11,0,11,344.15
T087034,Groceries,4,0,18,58.22
T014795,Clothing,13,1,9,310.42
T071863,Electronics,1,0,19,1005.47
T004191,Home,13,0,10,2835.87
T093342,Clothing,8,1,14,1413.6
T055173,Groceries,17,1,18,116.34
T065716,Home,6,0,11,2742.6
T026279,Home,15,0,17,2377.58
T051163,Books,17,0,17,207.52
T000698,Groceries,20,1,18,110.0
T098096,Books,15,1,20,217.76
T065759,Books,8,0,12,498.6
T084142,Electronics,5,1,15,3794.37
T066180,Clothing,11,1,21,1256.37
T010965,Home,10,0,9,1200.01
T024758,Electronics,19,1,10,1623.97
T085844,Home,13,1,12,1490.35
T018301,Groceries,7,0,19,63.79
T063551,Clothing,13,0,13,1496.02
T096095,Clothing,4,0,9,665.89
T004801,Electronics,8,1,14,3119.97
T019125,Home,1,0,16,2681.76
T020641,Clothing,14,0,21,676.98
T098943,Clothing,13,0,13,302.56
T060352,Clothing,19,1,16,1132.52
T036031,Books,9,0,16,214.85
T065939,Home,17,0,11,2994.78
T051680,Electronics,4,0,19,2826.04
T050841,Groceries,13,1,16,191.88
T036066,Books,7,0,17,935.79
T039979,Books,4,0,16,559.48
T065726,Groceries,1,1,14,184.41
T021168,Clothing,12,1,16,845.98
T018505,Groceries,2,1,14,147.06
T066865,Electronics,3,0,11,3541.27
T020234,Home,13,1,10,1462.51
T002576,Groceries,2,0,13,92.06
T064537,Electronics,13,0,15,4364.82
T052619,Groceries,5,0,16,140.02
T017313,Home,2,0,12,1907.26
T003475,Home,5,0,9,2193.04
T045731,Groceries,6,0,19,189.99
T062964,Groceries,17,0,20,240.44
T033223,Clothing,16,0,21,1040.36
T095176,Books,8,0,13,636.23
T004655,Clothing,6,0,9,1279.08
T096223,Home,5,0,17,2870.88
T009928,Books,19,0,13,441.38
T054611,Home,10,1,21,1061.16
T088004,Electronics,6,1,16,1733.05
T038145,Groceries,6,1,16,322.24
T016692,Clothing,8,0,18,908.93
T092356,Clothing,16,0,13,634.55
T044248,Electronics,7,0,19,2140.23
T003027,Books,20,0,21,360.04
T007945,Clothing,3,0,19,1318.21
T064760,Groceries,7,1,15,84.25
T017558,Electronics,12,1,13,3020.22
T015605,Clothing,9,0,21,1218.3
T081630,Groceries,17,1,11,122.65
T081968,Home,5,1,15,2230.34
T037562,Clothing,11,1,11,1198.18
T090852,Home,5,1,9,1221.66
T048101,Groceries,4,1,12,321.15
T035810,Groceries,18,0,18,427.2
T004581,Books,11,0,9,999.35
T099652,Groceries,18,0,14,298.88
T047036,Groceries,18,0,16,385.55
T021325,Groceries,3,0,13,196.56
T088381,Clothing,14,0,9,759.07
T074531,Electronics,20,0,21,3088.77
T053154,Groceries,4,0,14,282.24
T024181,Clothing,4,0,14,980.11
T001449,Books,3,0,18,917.81
T083505,Groceries,9,1,12,365.16
T018819,Clothing,6,0,10,652.67
T085664,Books,12,0,20,346.22
T042694,Clothing,10,0,16,476.37
T066173,Electronics,19,1,21,2358.8
T082146,Home,16,1,12,2868.13
T099505,Clothing,1,1,10,408.22
T038943,Electronics,13,0,11,1959.86
T071719,Books,20,0,13,361.56
T019273,Electronics,5,0,14,4379.71
T011457,Clothing,16,0,21,1264.91
T074264,Clothing,9,0,13,477.02
T071960,Clothing,6,0,10,569.39
T045429,Electronics,12,0,17,2979.08
T069077,Home,7,1,14,847.78
T090738,Clothing,15,1,17,477.6
T060354,Home,10,0,15,1154.41
T061284,Groceries,8,0,18,200.58
T087419,Home,14,1,13,1077.31
T004386,Groceries,1,0,18,287.44
T035573,Electronics,15,0,15,4449.34
T080633,Groceries,3,0,10,314.67
T037873,Groceries,14,0,12,338.33
T091917,Groceries,10,0,13,466.44
T067015,Electronics,2,0,16,4138.55
T089777,Books,10,0,11,369.1
T032398,Clothing,12,0,17,1133.03
T051475,Electronics,4,0,19,3271.2
T048546,Groceries,20,0,17,102.03
T016231,Electronics,18,0,21,1590.3
T087438,Electronics,12,0,19,3908.71
T000123,Clothing,14,0,12,1224.17
T044016,Clothing,17,1,9,961.92
T051571,Groceries,3,0,21,217.07
T004005,Electronics,10,0,21,1195.52
T010131,Books,18,1,15,490.56
T063711,Groceries,10,0,15,194.44
T019793,Groceries,10,0,19,82.91
T037411,Groceries,6,0,21,433.1
T040108,Clothing,6,0,13,641.87
T084355,Electronics,5,1,14,3677.14
T085811,Groceries,19,1,17,337.97
T025997,Books,17,0,13,679.2
T028061,Clothing,18,1,18,527.61
T037000,Electronics,10,1,13,1937.68
T073875,Groceries,18,0,15,129.92
T040305,Clothing,12,0,14,804.06
T081654,Home,11,0,19,1802.17
T015302,Groceries,3,0,10,282.35
T035352,Electronics,17,1,13,3739.59
T025872,Groceries,1,1,14,349.66
T005222,Groceries,10,0,18,192.45
T018391,Electronics,20,0,18,3954.86
T018764,Clothing,18,0,17,1296.5
T029051,Electronics,12,0,20,1905.37
T015636,Electronics,19,0,17,1447.18
T013713,Home,16,0,13,2919.17
T070106,Groceries,5,1,18,66.82
T002327,Home,4,0,13,959.23
T006430,Groceries,13,0,15,115.4
T090932,Groceries,12,1,15,314.4
T019446,Clothing,3,0,16,1127.86
T030477,Books,5,0,13,790.45
T021878,Home,10,1,18,1911.89
T090397,Electronics,15,1,16,2179.31
T029138,Clothing,7,0,18,674.23
T092168,Clothing,17,1,18,606.84
T064552,Home,10,0,13,1496.25
T026321,Electronics,20,0,9,3060.93
T032992,Home,4,1,17,1940.87
T081470,Electronics,12,0,19,2798.34
T013982,Home,8,1,17,2562.88
T083654,Groceries,5,0,13,385.03
T035540,Electronics,8,0,15,2596.72
T039836,Clothing,13,1,20,685.69
T076434,Home,9,1,14,831.62
T042293,Groceries,8,0,14,253.41
T028241,Home,11,0,18,2921.16
T005802,Electronics,7,0,17,3571.86
T097797,Groceries,3,0,10,172.74
T002565,Clothing,3,0,16,1145.03
T037929,Home,5,0,12,2032.02
T058271,Home,9,1,19,1446.09
T062409,Groceries,10,1,14,210.01
T006226,Groceries,18,1,13,236.81
T007367,Groceries,9,1,18,472.26
T071648,Clothing,14,1,12,1052.74
T011640,Clothing,2,1,12,1184.22
T002028,Books,20,1,15,671.52
T038406,Home,16,0,12,1604.82
T058396,Home,18,0,9,2153.72
T093368,Clothing,19,0,20,1410.22
T017408,Groceries,20,1,13,459.1
T065645,Clothing,18,1,17,394.28
T010332,Groceries,6,0,17,63.34
T073300,Home,4,1,15,2539.58
T025639,Electronics,10,1,16,4851.87
T052922,Electronics,13,0,12,4085.89
T054091,Home,3,0,17,1254.5
T053806,Groceries,4,0,20,258.95
