location_tier,trainer_level,club_name,members_count,avg_monthly_fee,service_years,high_profit
Спальный район,средний,FlexForge Premium ВДНХ,1876,3052,7.0,1
ТЦ/бизнес-центр,профи,Железная тяга,856,3620,18.3,1
ТЦ/бизнес-центр,профи,FlexForge Mini,365,4585,2.0,1
Окраина/промзона,средний,FlexForge Gym,1048,5004,16.6,1
Окраина/промзона,средний,Олимпийские надежды,695,1656,6.0,0
Окраина/промзона,новички,Железная тяга,789,10426,12.3,0
Спальный район,средний,FlexForge Studio,628,9005,7.2,1
ТЦ/бизнес-центр,профи,Фитнес-планета,362,8662,18.1,1
Спальный район,средний,Тяжёлый вес,2613,7023,23.6,1
Спальный район,средний,FlexForge Premium ВДНХ,1462,9043,22.9,1
ТЦ/бизнес-центр,профи,Домашний фитнес,271,9555,14.6,1
Спальный район,новички,FlexForge Ultra,854,6154,11.6,1
ТЦ/бизнес-центр,профи,IronFlex Pro,468,7750,20.5,1
Окраина/промзона,средний,Заводной фитнес,1976,8746,17.1,1
Спальный район,элита,Ритм-фитнес Кунцево,2662,1654,4.7,1
Спальный район,средний,FlexForge Studio,1468,9450,20.5,1
Спальный район,профи,Железная тяга,1215,2496,10.8,1
Спальный район,профи,Тяжёлый вес,2922,11986,4.8,1
Спальный район,новички,FlexExpress Химки,1283,6126,7.1,1
ТЦ/бизнес-центр,профи,Домашний фитнес,205,4405,6.8,1
Окраина/промзона,элита,Фитнес-хаус,1181,10869,13.0,1
Окраина/промзона,профи,FlexForge Metro,2817,1653,5.9,1
Окраина/промзона,профи,FlexForge Lux Патрики,606,9353,3.2,1
Окраина/промзона,элита,FlexForge Premium ВДНХ,2153,7981,3.2,1
Спальный район,средний,FlexForge Light,2273,7099,14.6,1
Окраина/промзона,средний,Волна здоровья,1185,3216,18.4,1
ТЦ/бизнес-центр,профи,FlexForge Studio,589,2286,8.1,1
ТЦ/бизнес-центр,средний,FlexForge Metro,909,5868,1.0,1
ТЦ/бизнес-центр,профи,Фитнес-хаус,2818,9596,3.3,1
Спальный район,элита,Тренерский центр,1671,5772,22.9,1
Спальный район,средний,Олимпийские надежды,953,5267,12.4,1
Спальный район,средний,Тренерский центр,2393,10334,11.4,1
Окраина/промзона,профи,Ритм-фитнес Кунцево,1611,7494,1.0,1
Спальный район,средний,FlexForge Studio,1472,8716,18.2,1
Спальный район,профи,Адапт-фитнес,725,10357,13.2,1
Спальный район,средний,Фитнес-планета,1685,4926,5.1,1
ТЦ/бизнес-центр,профи,Волна здоровья,2260,5283,2.8,1
Окраина/промзона,новички,Адапт-фитнес,2631,6927,9.6,1
ТЦ/бизнес-центр,профи,Фитнес-планета,755,8511,20.9,1
Окраина/промзона,средний,FlexForge Ultra,218,9552,21.6,0
Окраина/промзона,профи,FlexForge Basic Выхино,774,5201,15.1,1
ТЦ/бизнес-центр,средний,Заводной фитнес,2998,10761,18.2,1
ТЦ/бизнес-центр,профи,FlexForge Mini,1203,3849,3.0,1
Окраина/промзона,элита,Тонус-клуб Коломенская,2666,8511,14.7,1
Окраина/промзона,средний,Здоровая спина,2666,8555,16.7,1
Окраина/промзона,новички,Домашний фитнес,2138,2712,5.1,1
Окраина/промзона,новички,Адапт-фитнес,2139,8465,22.0,1
ТЦ/бизнес-центр,профи,FlexForge Basic Выхино,1835,10844,5.0,1
Спальный район,профи,Лёгкая атлетика +,1898,8204,7.9,1
ТЦ/бизнес-центр,средний,FlexExpress Химки,2369,8933,15.6,1
Окраина/промзона,средний,SportFlex Крылатское,631,4011,16.0,1
Спальный район,средний,Здоровая спина,2291,1643,17.5,1
Спальный район,профи,Железная тяга,2095,8867,2.9,1
ТЦ/бизнес-центр,средний,FlexForge Gym,2143,4728,21.3,1
Спальный район,элита,Домашний фитнес,1540,6082,13.4,1
Спальный район,новички,Заводной фитнес,2628,7531,11.8,1
Окраина/промзона,профи,Железная тяга,344,5743,24.5,1
Спальный район,средний,FlexForge Ultra,2610,11049,18.5,1
Окраина/промзона,средний,Здоровая спина,1273,4213,3.0,0
Спальный район,профи,Волна здоровья,1288,5685,18.9,1
ТЦ/бизнес-центр,профи,Заводной фитнес,2602,11049,2.5,1
Окраина/промзона,элита,Лёгкая атлетика +,999,8828,0.8,1
Окраина/промзона,новички,Тяжёлый вес,1351,6133,10.2,1
Спальный район,новички,Лёгкая атлетика +,2645,4692,24.8,1
Окраина/промзона,профи,Качалка на районе,2156,1800,4.5,1
Спальный район,профи,FlexForge Metro,662,2223,16.8,1
Спальный район,средний,Тяжёлый вес,1974,7194,4.4,1
Спальный район,новички,Качалка у Палыча,2245,4510,18.1,1
ТЦ/бизнес-центр,новички,FlexForge Basic Выхино,1007,7055,12.7,1
ТЦ/бизнес-центр,элита,FlexExpress Химки,386,1567,17.0,1
ТЦ/бизнес-центр,средний,FlexForge Mini,1943,4006,5.2,1
Спальный район,средний,Качалка у Палыча,931,3037,18.7,1
Спальный район,средний,IronFlex Pro,2135,1897,24.9,1
Спальный район,средний,FlexExpress Химки,1413,7180,16.7,1
Окраина/промзона,новички,FlexForge Gym,1611,10855,12.4,1
ТЦ/бизнес-центр,средний,Фитнес-планета,628,6325,23.1,1
Спальный район,новички,FlexForge Basic Выхино,1507,10247,0.5,1
Окраина/промзона,профи,SportFlex Крылатское,2484,7548,18.3,1
ТЦ/бизнес-центр,средний,FlexForge Studio,1417,5161,22.2,1
ТЦ/бизнес-центр,средний,Здоровая спина,1510,11443,1.6,1
Спальный район,элита,Элит-фитнес Рублёвка,970,4441,11.3,1
ТЦ/бизнес-центр,профи,Тренерский центр,957,8567,5.2,1
Окраина/промзона,средний,FlexForge Metro,335,6591,14.2,1
Окраина/промзона,средний,Тяжёлый вес,991,11651,16.3,1
Спальный район,средний,Адапт-фитнес,370,3101,7.6,0
Окраина/промзона,профи,Фитнес-хаус,2406,2980,11.6,1
Окраина/промзона,элита,SportFlex Крылатское,2448,7730,7.1,1
ТЦ/бизнес-центр,профи,Волна здоровья,1780,10794,9.3,1
Окраина/промзона,профи,Тяжёлый вес,1161,4776,4.1,1
Спальный район,профи,Заводной фитнес,2830,7947,22.2,1
Окраина/промзона,средний,FlexForge Studio,1075,6999,0.3,1
Окраина/промзона,новички,Волна здоровья,2618,7773,22.1,1
Спальный район,профи,Качалка на районе,302,2799,14.3,0
ТЦ/бизнес-центр,элита,Ритм-фитнес Кунцево,1201,7318,8.4,1
ТЦ/бизнес-центр,средний,Волна здоровья,1348,8201,18.1,1
Спальный район,профи,Качалка у Палыча,1681,6494,12.7,1
Окраина/промзона,средний,Фитнес-хаус,857,8989,12.5,1
Окраина/промзона,средний,FlexExpress Химки,1420,11227,2.8,0
ТЦ/бизнес-центр,новички,Домашний фитнес,2980,9769,9.8,1
Спальный район,средний,Спартанец,622,4331,6.1,1
Спальный район,профи,FlexExpress Химки,2819,4221,0.5,1
ТЦ/бизнес-центр,средний,FlexForge Studio,370,3032,9.1,1
ТЦ/бизнес-центр,профи,Качалка у Палыча,2420,9929,2.3,1
Спальный район,профи,SportFlex Крылатское,2910,6753,6.5,1
Окраина/промзона,элита,Фитнес-хаус,652,3496,2.4,0
Спальный район,средний,Тяжёлый вес,2597,6811,2.6,1
Спальный район,средний,FlexForge Basic Выхино,2175,1777,5.1,1
Окраина/промзона,средний,Заводной фитнес,1857,4589,25.0,0
Спальный район,элита,FlexForge Premium ВДНХ,2741,2023,0.2,1
Окраина/промзона,элита,IronFlex Pro,2867,5775,16.0,1
Окраина/промзона,средний,SportFlex Крылатское,2253,6865,3.6,1
Спальный район,профи,Заводной фитнес,487,4622,23.0,1
Спальный район,средний,Тяжёлый вес,1841,9667,2.4,1
Спальный район,профи,FlexForge Lux Патрики,1647,6690,23.9,1
Спальный район,новички,Тяжёлый вес,2113,6075,15.3,1
ТЦ/бизнес-центр,профи,FlexForge Gym,807,9227,0.1,1
Спальный район,новички,FlexExpress Химки,656,3297,22.4,1
Спальный район,профи,Адапт-фитнес,1964,3631,13.1,1
ТЦ/бизнес-центр,профи,FlexForge Lux Патрики,1425,8822,6.6,1
Спальный район,профи,FlexForge Premium ВДНХ,1435,8000,19.2,1
Окраина/промзона,новички,Ритм-фитнес Кунцево,1229,2315,23.2,1
ТЦ/бизнес-центр,средний,Здоровая спина,2871,10134,12.1,1
ТЦ/бизнес-центр,средний,FlexForge Mini,2623,8166,8.0,1
Спальный район,средний,FlexForge Basic Выхино,646,1642,19.7,1
Окраина/промзона,новички,Спартанец,1034,2910,17.1,1
ТЦ/бизнес-центр,элита,Фитнес-хаус,1010,2034,22.2,1
Спальный район,профи,Тяжёлый вес,1624,11408,17.3,1
Окраина/промзона,средний,FlexForge Studio,1611,4864,6.2,1
ТЦ/бизнес-центр,средний,Ритм-фитнес Кунцево,1158,2532,23.3,1
Окраина/промзона,средний,IronFlex Pro,1675,4842,2.7,1
Спальный район,профи,Спартанец,1008,11102,6.8,1
Спальный район,средний,Тяжёлый вес,1178,7585,13.1,1
Спальный район,элита,Фитнес-планета,2663,6000,14.2,1
Спальный район,средний,FlexForge Studio,925,2672,0.5,1
ТЦ/бизнес-центр,элита,FlexForge Lux Патрики,2701,10580,19.5,1
Окраина/промзона,элита,FlexExpress Химки,1416,6017,9.1,1
Спальный район,средний,Домашний фитнес,2397,9507,10.2,1
ТЦ/бизнес-центр,элита,FlexForge Mini,2103,3141,20.3,1
ТЦ/бизнес-центр,новички,FlexForge Light,978,1971,9.5,1
Спальный район,профи,FlexForge Gym,1172,4440,1.3,1
Спальный район,средний,FlexForge Premium ВДНХ,1738,10238,4.5,1
ТЦ/бизнес-центр,элита,Лёгкая атлетика +,1616,6226,23.9,1
Спальный район,элита,FlexForge Light,2323,9170,1.9,1
ТЦ/бизнес-центр,профи,FlexForge Lux Патрики,798,5223,8.9,1
Спальный район,профи,FlexForge Metro,424,1863,12.6,1
ТЦ/бизнес-центр,средний,Лёгкая атлетика +,1753,11858,12.4,1
Спальный район,новички,Заводной фитнес,2360,4809,0.2,1
Спальный район,средний,FlexForge Lux Патрики,2498,2045,12.6,1
Окраина/промзона,средний,Ритм-фитнес Кунцево,1040,4740,9.7,1
ТЦ/бизнес-центр,профи,FlexForge Premium ВДНХ,2014,8165,24.3,1
Спальный район,средний,FlexForge Basic Выхино,913,3436,4.1,1
ТЦ/бизнес-центр,элита,FlexForge Lux Патрики,1306,10654,8.9,1
Окраина/промзона,профи,Заводной фитнес,324,2382,10.5,1
Окраина/промзона,профи,FlexForge Light,1292,5340,9.8,1
Спальный район,новички,Олимпийские надежды,1479,8423,16.7,1
Спальный район,элита,FlexForge Basic Выхино,1950,10562,5.5,1
Окраина/промзона,элита,SportFlex Крылатское,229,6111,5.6,1
Спальный район,средний,IronFlex Pro,2528,10557,18.3,1
Спальный район,профи,SportFlex Крылатское,2217,6704,12.6,1
ТЦ/бизнес-центр,профи,Лёгкая атлетика +,2615,8788,10.4,1
ТЦ/бизнес-центр,средний,FlexForge Basic Выхино,694,4703,4.3,1
Окраина/промзона,средний,FlexForge Ultra,1809,3744,4.8,1
Окраина/промзона,средний,Тяжёлый вес,917,1518,0.4,1
Спальный район,новички,FlexForge Studio,1216,2141,2.4,0
Спальный район,средний,FlexForge Ultra,1537,4583,14.0,1
Спальный район,новички,Качалка у Палыча,805,6700,22.3,1
Окраина/промзона,новички,Волна здоровья,574,10021,7.3,0
Окраина/промзона,новички,Тяжёлый вес,2886,2365,8.3,1
Окраина/промзона,элита,Спартанец,2160,2273,3.0,1
Окраина/промзона,средний,FlexForge Mini,1248,6232,9.8,1
Спальный район,элита,FlexForge Gym,1557,5018,1.0,1
ТЦ/бизнес-центр,средний,Фитнес-хаус,315,8295,22.9,1
ТЦ/бизнес-центр,средний,Фитнес-хаус,2295,8484,16.9,1
Окраина/промзона,средний,FlexForge Lux Патрики,2001,4067,24.8,1
Спальный район,средний,Адапт-фитнес,2346,3174,22.1,0
ТЦ/бизнес-центр,новички,Тяжёлый вес,1682,2239,11.9,1
ТЦ/бизнес-центр,профи,Заводной фитнес,1746,3045,13.0,1
Спальный район,средний,Тяжёлый вес,1820,11951,4.8,1
ТЦ/бизнес-центр,профи,Здоровая спина,2652,10827,11.6,1
ТЦ/бизнес-центр,профи,Ритм-фитнес Кунцево,884,6627,22.6,1
Спальный район,средний,Фитнес-планета,2750,8447,1.4,1
Спальный район,новички,FlexForge Gym,1671,8120,21.6,1
Спальный район,профи,Лёгкая атлетика +,1799,10565,8.6,1
ТЦ/бизнес-центр,средний,Элит-фитнес Рублёвка,2505,6055,22.5,1
Окраина/промзона,новички,FlexForge Mini,2368,11992,23.5,1
ТЦ/бизнес-центр,элита,Заводной фитнес,1009,7145,16.8,1
Спальный район,новички,FlexForge Basic Выхино,1177,10443,16.6,0
Окраина/промзона,профи,FlexForge Ultra,2301,8624,11.4,1
Спальный район,элита,Волна здоровья,1554,10545,20.9,1
Окраина/промзона,средний,FlexForge Light,983,5232,24.0,1
Спальный район,новички,Тонус-клуб Коломенская,440,3783,19.4,1
Спальный район,новички,FlexForge Metro,1978,11021,15.6,1
ТЦ/бизнес-центр,средний,Лёгкая атлетика +,1753,10169,15.2,1
Спальный район,новички,Спартанец,682,8498,21.3,1
Спальный район,профи,Тренерский центр,1212,6913,13.6,1
ТЦ/бизнес-центр,новички,Фитнес-хаус,386,2769,20.1,1
Окраина/промзона,средний,Волна здоровья,2081,9368,12.8,1
Спальный район,элита,Фитнес-хаус,2903,4103,1.7,1
Окраина/промзона,профи,FlexForge Premium ВДНХ,2509,7461,9.7,1
Спальный район,профи,FlexForge Mini,1152,11161,11.2,1
Окраина/промзона,средний,Олимпийские надежды,1587,10069,3.6,1
Спальный район,профи,Железная тяга,690,9057,2.7,1
Спальный район,средний,Элит-фитнес Рублёвка,630,3180,13.4,1
Спальный район,средний,IronFlex Pro,438,9933,2.2,1
ТЦ/бизнес-центр,новички,FlexExpress Химки,2551,10611,7.6,1
Окраина/промзона,элита,Тонус-клуб Коломенская,2545,7182,18.6,1
Спальный район,средний,Элит-фитнес Рублёвка,275,9584,24.1,1
ТЦ/бизнес-центр,средний,Адапт-фитнес,1556,6867,18.0,1
Спальный район,средний,FlexForge Ultra,2123,1569,24.8,1
ТЦ/бизнес-центр,средний,Качалка у Палыча,1981,5424,17.5,1
Окраина/промзона,профи,Домашний фитнес,2889,7700,7.4,1
Окраина/промзона,профи,Здоровая спина,1026,11778,16.8,1
Окраина/промзона,профи,FlexForge Premium ВДНХ,2530,3507,17.6,1
Спальный район,новички,Элит-фитнес Рублёвка,790,10492,9.4,1
ТЦ/бизнес-центр,средний,IronFlex Pro,2319,9619,0.5,1
Окраина/промзона,средний,FlexForge Ultra,2950,4279,17.6,1
Спальный район,новички,Домашний фитнес,2102,6420,0.6,1
Окраина/промзона,средний,IronFlex Pro,2110,2255,15.8,1
Окраина/промзона,профи,Тренерский центр,774,7995,4.2,1
Окраина/промзона,новички,FlexForge Basic Выхино,1091,11687,14.2,1
Спальный район,средний,FlexForge Ultra,2259,7435,12.6,1
Спальный район,средний,SportFlex Крылатское,340,11013,0.4,1
Окраина/промзона,новички,Ритм-фитнес Кунцево,1989,3830,9.1,0
Спальный район,средний,FlexForge Lux Патрики,216,7205,15.1,1
ТЦ/бизнес-центр,элита,Тяжёлый вес,1286,9801,21.2,1
Спальный район,профи,FlexForge Light,452,2516,22.2,1
Окраина/промзона,элита,Фитнес-планета,664,8847,12.1,1
Спальный район,средний,Олимпийские надежды,575,9716,18.2,1
Спальный район,новички,Качалка у Палыча,2027,6438,8.0,1
ТЦ/бизнес-центр,средний,FlexForge Basic Выхино,719,4338,8.6,1
Спальный район,средний,SportFlex Крылатское,2060,2237,4.9,1
Окраина/промзона,профи,FlexForge Premium ВДНХ,289,7700,14.1,1
ТЦ/бизнес-центр,новички,Тренерский центр,919,9871,7.9,1
Спальный район,средний,Фитнес-планета,829,1731,2.2,0
Окраина/промзона,средний,Тяжёлый вес,2084,3417,17.2,1
Окраина/промзона,средний,Олимпийские надежды,275,10034,17.7,1
Спальный район,профи,Тонус-клуб Коломенская,1125,7418,9.1,1
Окраина/промзона,средний,Ритм-фитнес Кунцево,2647,4123,2.0,1
Спальный район,средний,Олимпийские надежды,2005,10146,10.7,1
Спальный район,средний,FlexForge Basic Выхино,1169,7901,11.1,1
Окраина/промзона,средний,Лёгкая атлетика +,1294,8572,16.7,1
Окраина/промзона,профи,Заводной фитнес,2228,3776,8.0,1
Окраина/промзона,элита,Адапт-фитнес,1604,8893,17.1,1
Окраина/промзона,элита,SportFlex Крылатское,394,10287,21.8,1
Спальный район,профи,Элит-фитнес Рублёвка,427,5374,6.0,1
Спальный район,средний,FlexForge Mini,1659,6030,24.5,1
Окраина/промзона,профи,FlexForge Metro,660,8664,9.7,0
Спальный район,средний,Лёгкая атлетика +,817,5997,6.8,1
Окраина/промзона,средний,FlexForge Gym,263,9433,10.6,0
Окраина/промзона,профи,FlexForge Gym,2412,3635,2.5,1
Окраина/промзона,новички,FlexForge Premium ВДНХ,2274,8227,3.2,1
Спальный район,элита,FlexForge Studio,484,3065,10.4,1
Спальный район,средний,Железная тяга,1883,1808,19.1,1
ТЦ/бизнес-центр,профи,Заводной фитнес,2528,10034,22.5,1
Спальный район,профи,FlexForge Ultra,1037,10127,16.7,1
ТЦ/бизнес-центр,элита,Фитнес-планета,1030,9868,2.7,1
Спальный район,профи,Тяжёлый вес,1387,1638,16.8,1
Спальный район,профи,Спартанец,423,1693,15.9,1
Спальный район,новички,FlexExpress Химки,983,4757,20.2,1
Спальный район,средний,Адапт-фитнес,1149,4735,20.6,1
ТЦ/бизнес-центр,средний,Здоровая спина,244,2442,21.7,1
ТЦ/бизнес-центр,профи,Элит-фитнес Рублёвка,2010,6120,10.4,1
Окраина/промзона,средний,Тяжёлый вес,670,7220,17.5,1
Спальный район,профи,FlexForge Gym,2281,7853,6.8,1
ТЦ/бизнес-центр,новички,SportFlex Крылатское,2900,6457,25.0,1
Спальный район,новички,Здоровая спина,1029,10645,4.5,1
Окраина/промзона,профи,Тонус-клуб Коломенская,2109,10994,0.4,1
ТЦ/бизнес-центр,новички,FlexForge Lux Патрики,2468,4881,3.8,1
Спальный район,новички,FlexForge Ultra,2091,7339,19.4,1
ТЦ/бизнес-центр,новички,FlexForge Gym,2781,4380,11.2,1
ТЦ/бизнес-центр,элита,Элит-фитнес Рублёвка,891,11879,11.2,1
Спальный район,профи,Железная тяга,1590,6387,23.9,1
Спальный район,средний,Фитнес-хаус,1131,2045,23.0,1
Спальный район,средний,FlexForge Gym,1040,3427,7.8,1
Окраина/промзона,средний,FlexForge Ultra,2138,5652,5.3,1
Окраина/промзона,профи,FlexExpress Химки,1773,1504,21.2,1
Спальный район,профи,FlexForge Studio,2829,7033,22.7,1
Спальный район,средний,Элит-фитнес Рублёвка,2486,11054,13.6,1
Окраина/промзона,средний,Здоровая спина,2688,11512,15.8,1
Спальный район,новички,FlexForge Mini,347,6878,6.5,0
Спальный район,профи,FlexForge Light,1232,7733,20.0,1
ТЦ/бизнес-центр,профи,FlexForge Lux Патрики,1511,4163,15.8,1
ТЦ/бизнес-центр,средний,FlexForge Studio,587,10965,12.6,1
Окраина/промзона,новички,FlexForge Metro,2073,4826,1.6,1
Окраина/промзона,новички,Адапт-фитнес,1115,5159,22.9,1
Спальный район,элита,Элит-фитнес Рублёвка,2078,2631,15.4,1
Спальный район,средний,FlexForge Studio,2885,6263,4.9,1
ТЦ/бизнес-центр,профи,Фитнес-планета,477,8237,15.2,1
ТЦ/бизнес-центр,профи,FlexForge Lux Патрики,2177,6592,17.0,1
Спальный район,средний,FlexForge Gym,2059,7522,13.2,1
Спальный район,средний,Фитнес-хаус,2025,4659,18.0,1
Окраина/промзона,новички,FlexForge Premium ВДНХ,2836,7659,14.6,1
Спальный район,профи,Тренерский центр,2033,8818,23.7,1
Спальный район,профи,Качалка у Палыча,2896,9945,1.4,1
Окраина/промзона,профи,Олимпийские надежды,817,6807,2.7,1
Окраина/промзона,средний,SportFlex Крылатское,1830,10020,4.4,1
Спальный район,новички,FlexForge Ultra,2382,4544,17.3,1
Спальный район,элита,FlexForge Mini,779,11112,16.2,1
Спальный район,профи,FlexForge Premium ВДНХ,1370,7136,22.3,1
ТЦ/бизнес-центр,средний,SportFlex Крылатское,689,4392,18.3,1
Спальный район,элита,SportFlex Крылатское,2725,6788,12.8,1
Окраина/промзона,профи,Спартанец,1382,7312,24.8,1
ТЦ/бизнес-центр,профи,IronFlex Pro,583,2154,6.7,0
ТЦ/бизнес-центр,профи,Адапт-фитнес,362,6981,20.8,1
ТЦ/бизнес-центр,профи,Железная тяга,2688,2259,10.7,1
ТЦ/бизнес-центр,профи,Лёгкая атлетика +,2076,8282,16.3,1
Окраина/промзона,новички,FlexForge Basic Выхино,1412,3298,18.2,1
Окраина/промзона,средний,FlexForge Gym,2662,6659,15.9,1
Спальный район,элита,Спартанец,1562,9946,3.6,1
ТЦ/бизнес-центр,средний,FlexForge Ultra,1830,6762,11.1,1
Спальный район,средний,FlexForge Metro,1404,5323,14.1,1
Спальный район,средний,Качалка у Палыча,487,3376,21.2,1
ТЦ/бизнес-центр,средний,FlexForge Light,2057,7654,11.1,1
Спальный район,профи,Фитнес-хаус,386,9287,23.0,1
Спальный район,элита,Волна здоровья,2107,6016,11.1,1
Спальный район,средний,Ритм-фитнес Кунцево,1361,5234,13.8,1
Спальный район,новички,Качалка у Палыча,329,10936,19.9,1
ТЦ/бизнес-центр,средний,FlexForge Lux Патрики,2441,7472,14.6,1
Спальный район,элита,Железная тяга,2563,8139,24.0,0
Спальный район,профи,FlexForge Premium ВДНХ,2087,6856,16.5,1
Спальный район,средний,FlexForge Lux Патрики,343,7880,13.1,1
Окраина/промзона,профи,Качалка на районе,215,2508,0.7,1
Спальный район,элита,FlexForge Gym,2670,5814,10.4,1
ТЦ/бизнес-центр,профи,Тяжёлый вес,444,11202,7.6,1
ТЦ/бизнес-центр,элита,Фитнес-планета,1126,11651,18.7,1
Спальный район,средний,FlexForge Basic Выхино,2376,4008,5.3,1
ТЦ/бизнес-центр,профи,Тренерский центр,1106,6258,5.2,1
Спальный район,средний,FlexForge Mini,1086,4182,4.8,1
Окраина/промзона,профи,Спартанец,540,8811,3.2,1
Спальный район,профи,Адапт-фитнес,2251,2489,7.8,1
Спальный район,профи,Здоровая спина,1633,9946,22.2,1
Спальный район,профи,Волна здоровья,505,6211,19.4,1
Спальный район,средний,Фитнес-планета,1107,7979,18.4,1
Спальный район,средний,FlexForge Mini,2854,8464,20.0,1
Окраина/промзона,элита,FlexForge Light,1571,9575,6.8,1
Спальный район,элита,Тренерский центр,520,5952,22.2,1
Окраина/промзона,новички,Олимпийские надежды,758,9947,3.5,1
Окраина/промзона,средний,Тренерский центр,1404,2507,8.5,1
ТЦ/бизнес-центр,новички,Железная тяга,2865,7996,14.7,1
ТЦ/бизнес-центр,профи,FlexForge Lux Патрики,2958,11447,2.7,1
ТЦ/бизнес-центр,профи,Олимпийские надежды,1609,9188,18.3,1
ТЦ/бизнес-центр,средний,FlexForge Basic Выхино,1841,5408,9.7,1
ТЦ/бизнес-центр,средний,Лёгкая атлетика +,1331,4303,19.6,1
Спальный район,профи,FlexForge Basic Выхино,2778,5879,12.4,1
ТЦ/бизнес-центр,профи,Здоровая спина,2657,1598,4.6,1
Спальный район,средний,FlexForge Metro,1017,9888,18.4,1
Окраина/промзона,профи,IronFlex Pro,1394,2377,6.4,1
ТЦ/бизнес-центр,средний,FlexForge Premium ВДНХ,2740,3368,12.3,1
Окраина/промзона,средний,Лёгкая атлетика +,211,4165,2.0,0
Спальный район,профи,Спартанец,394,2888,15.5,1
ТЦ/бизнес-центр,профи,Адапт-фитнес,2737,3915,16.7,1
Спальный район,элита,Заводной фитнес,2429,10261,9.5,1
Спальный район,профи,SportFlex Крылатское,855,4137,23.9,1
Окраина/промзона,профи,Ритм-фитнес Кунцево,2121,8742,21.9,1
Окраина/промзона,средний,FlexForge Light,2941,10757,17.7,1
Окраина/промзона,средний,Качалка у Палыча,2277,10113,17.9,1
Спальный район,новички,FlexForge Metro,1819,4383,6.4,1
ТЦ/бизнес-центр,средний,FlexForge Studio,1319,2704,16.5,1
Окраина/промзона,профи,Заводной фитнес,977,2044,5.0,1
Окраина/промзона,элита,FlexForge Studio,643,2723,3.7,0
Окраина/промзона,новички,Железная тяга,497,4672,25.0,0
Спальный район,средний,FlexForge Basic Выхино,1007,10459,15.6,1
Спальный район,профи,Тренерский центр,1960,7950,10.8,1
Окраина/промзона,средний,Лёгкая атлетика +,1044,8020,7.3,1
Спальный район,профи,Качалка на районе,1215,2154,15.1,1
Окраина/промзона,профи,Тренерский центр,1584,8321,1.3,1
Окраина/промзона,профи,IronFlex Pro,1597,3946,2.5,1
Спальный район,средний,Качалка у Палыча,753,7392,0.9,1
Окраина/промзона,средний,Домашний фитнес,2550,9912,12.5,1
Окраина/промзона,профи,FlexForge Mini,620,5166,15.1,1
ТЦ/бизнес-центр,профи,FlexForge Studio,1469,5777,1.7,0
Окраина/промзона,новички,Заводной фитнес,1460,5902,18.1,0
Спальный район,профи,Адапт-фитнес,384,4069,5.8,1
Окраина/промзона,новички,Фитнес-хаус,667,7015,17.2,0
Спальный район,профи,Железная тяга,2610,10705,24.5,1
Окраина/промзона,средний,Тренерский центр,1506,11743,17.3,1
Спальный район,элита,FlexForge Light,1776,5485,22.1,1
ТЦ/бизнес-центр,средний,Олимпийские надежды,535,9667,23.7,1
Окраина/промзона,средний,Волна здоровья,2409,8948,12.2,1
ТЦ/бизнес-центр,новички,Фитнес-хаус,1697,5810,17.6,1
Спальный район,средний,IronFlex Pro,2259,4519,21.3,1
