damage_zone,car_class,detail_code,car_age,engine_volume,mileage,repair_cost
боковая,эконом,WHEEL-01,18,5.1,351.9,50.9
боковая,бизнес,BRAKE-01,17,5.3,18.0,105.6
передняя,комфорт,BRAKE-02,21,3.1,292.5,221.9
передняя,эконом,ELECTRIC-02,17,4.5,348.8,314.8
боковая,бизнес,MOTOR-03,13,2.3,39.2,600.0
боковая,бизнес,BUMPER-03,23,6.0,174.5,210.5
боковая,бизнес,BRAKE-02,7,1.9,384.9,170.2
боковая,эконом,BUMPER-01,11,1.1,333.7,128.3
передняя,комфорт,BRAKE-02,20,1.7,195.9,170.2
задняя,премиум,ALTERNATOR-01,9,4.9,305.0,447.7
передняя,бизнес,EXHAUST-01,22,3.2,333.4,396.5
боковая,эконом,ENG-02,19,3.2,139.2,349.8
задняя,эконом,CABLE-02,16,5.8,356.9,59.8
передняя,комфорт,RADIATOR-02,10,5.6,188.2,374.6
передняя,премиум,FENDER-04,1,2.6,211.1,295.9
передняя,комфорт,ENG-02,25,2.0,399.9,600.0
передняя,комфорт,ENG-02,25,5.2,337.3,600.0
боковая,эконом,CABLE-03,3,5.5,144.7,25.1
задняя,комфорт,LIGHT-03,0,3.7,4.1,140.3
боковая,бизнес,HOOD-01,14,4.1,250.5,383.2
задняя,эконом,EXHAUST-01,12,2.3,281.6,74.5
передняя,бизнес,DOOR-03,7,5.0,260.3,500.3
боковая,премиум,DOOR-03,24,4.2,387.1,450.8
боковая,эконом,INTERIOR-03,3,3.5,345.2,59.2
задняя,комфорт,FRAME-01,9,1.3,179.5,447.1
боковая,эконом,ALTERNATOR-01,18,5.6,25.1,95.8
задняя,бизнес,BRAKE-02,17,4.1,190.4,251.6
задняя,комфорт,WHEEL-02,4,2.0,275.7,122.4
задняя,комфорт,LIGHT-03,18,4.0,243.1,188.9
передняя,бизнес,ENG-01,25,4.4,215.3,600.0
передняя,эконом,FENDER-11,22,3.6,187.5,141.9
передняя,премиум,MOTOR-01,21,4.6,117.5,600.0
задняя,комфорт,BUMPER-03,15,3.9,110.9,150.9
передняя,эконом,TRANS-01,0,5.7,200.1,400.5
задняя,комфорт,FENDER-01,11,1.3,64.2,173.8
боковая,бизнес,GLASS-02,23,1.5,136.3,116.0
передняя,эконом,AC-01,1,1.9,129.6,142.7
задняя,бизнес,BATTERY-02,20,4.5,234.9,88.1
боковая,премиум,FENDER-12,24,4.2,26.7,162.3
передняя,эконом,BRAKE-02,7,5.5,331.9,186.9
передняя,премиум,HOOD-01,17,4.7,225.0,600.0
передняя,эконом,EXHAUST-02,24,3.5,268.3,185.3
передняя,эконом,FENDER-11,15,6.0,281.2,105.3
боковая,эконом,SUSP-02,4,2.3,116.6,192.0
боковая,бизнес,EXHAUST-01,25,5.2,188.1,202.8
задняя,комфорт,ENG-01,21,3.1,382.5,600.0
боковая,эконом,AC-01,12,4.2,306.7,179.0
боковая,комфорт,SUSP-02,18,4.6,387.8,391.2
передняя,комфорт,ALTERNATOR-01,2,4.2,298.5,294.6
боковая,эконом,WHEEL-01,25,1.7,70.2,29.6
задняя,бизнес,FENDER-01,7,3.2,25.8,238.3
боковая,бизнес,ENG-02,25,3.8,231.1,600.0
боковая,комфорт,WHEEL-01,25,5.2,143.1,82.2
передняя,премиум,LIGHT-03,11,3.2,110.2,250.5
передняя,комфорт,TRANS-01,1,5.6,322.9,600.0
передняя,премиум,INTERIOR-01,10,3.2,146.8,217.6
задняя,комфорт,BUMPER-01,11,3.7,126.8,173.3
боковая,комфорт,GLASS-02,17,5.0,340.0,119.7
боковая,эконом,FENDER-11,12,3.9,338.5,41.8
передняя,бизнес,FRAME-02,4,5.8,142.5,600.0
задняя,комфорт,BATTERY-02,21,4.3,333.0,97.7
задняя,эконом,WHEEL-02,11,3.6,340.3,62.6
передняя,эконом,FENDER-11,1,1.1,169.6,59.0
передняя,комфорт,INTERIOR-02,4,3.1,26.6,122.7
передняя,комфорт,ENG-03,6,2.5,0.6,575.2
боковая,бизнес,FENDER-12,25,4.7,209.3,111.2
передняя,бизнес,ENG-03,25,2.0,137.6,600.0
задняя,эконом,WHEEL-01,23,2.0,398.9,44.3
боковая,бизнес,SUSP-01,11,1.9,309.0,284.5
задняя,эконом,BATTERY-01,15,1.6,304.5,96.1
боковая,бизнес,ALTERNATOR-02,22,2.6,382.1,375.4
боковая,бизнес,ENG-02,7,5.4,355.1,600.0
передняя,комфорт,BATTERY-01,8,4.9,127.3,59.9
задняя,бизнес,DOOR-03,14,4.7,66.4,329.1
передняя,эконом,ENG-02,4,5.0,298.4,600.0
передняя,комфорт,CABLE-03,12,2.3,151.3,58.7
передняя,бизнес,ALTERNATOR-02,4,5.4,189.3,438.9
задняя,комфорт,BRAKE-01,10,1.7,252.2,119.2
задняя,эконом,BUMPER-02,9,2.7,363.1,182.6
передняя,комфорт,PAINT-03,19,3.9,167.6,108.8
передняя,бизнес,SUSP-02,12,1.5,313.3,600.0
боковая,эконом,GLASS-01,8,4.7,107.3,62.3
передняя,эконом,EXHAUST-01,20,2.9,279.2,183.7
передняя,бизнес,FENDER-04,13,4.9,0.6,247.1
задняя,бизнес,CABLE-03,17,3.5,348.6,47.6
боковая,эконом,WHEEL-01,14,1.9,12.2,45.7
передняя,эконом,FRAME-02,9,4.7,285.1,489.9
задняя,эконом,EXHAUST-02,23,2.3,18.5,123.4
боковая,эконом,FENDER-13,6,3.5,106.5,108.1
передняя,комфорт,MOTOR-02,7,1.4,198.9,600.0
боковая,бизнес,FRAME-03,2,4.1,168.0,466.5
задняя,комфорт,ALTERNATOR-02,14,4.3,76.7,240.5
задняя,комфорт,WHEEL-01,15,2.9,133.5,115.8
задняя,эконом,AC-01,3,5.8,291.1,223.1
задняя,бизнес,PAINT-02,20,5.4,267.7,141.9
передняя,комфорт,ALTERNATOR-02,5,4.5,28.7,358.1
боковая,премиум,DOOR-03,0,4.6,298.9,346.7
передняя,комфорт,INTERIOR-02,3,2.3,21.2,117.0
передняя,эконом,LIGHT-01,10,4.3,217.2,98.2
передняя,комфорт,MOTOR-03,11,2.0,104.0,600.0
задняя,эконом,BUMPER-02,25,1.7,235.1,147.3
задняя,комфорт,BATTERY-02,4,6.0,104.5,96.8
передняя,эконом,WHEEL-02,22,4.1,394.0,146.6
задняя,эконом,SUSP-01,20,3.2,123.9,191.9
передняя,бизнес,FRAME-03,15,2.4,96.8,600.0
задняя,эконом,DOOR-03,12,4.0,111.4,176.7
передняя,бизнес,ELECTRIC-01,12,1.2,358.6,445.4
задняя,эконом,EXHAUST-01,16,1.5,254.5,126.5
задняя,комфорт,GLASS-02,6,1.2,292.3,71.8
боковая,комфорт,GLASS-01,7,3.5,367.2,52.8
передняя,комфорт,ENG-02,12,4.0,364.7,600.0
передняя,эконом,FENDER-12,22,1.3,295.6,114.3
передняя,эконом,FRAME-02,15,4.6,79.1,401.6
боковая,эконом,FENDER-03,3,2.2,337.3,106.2
боковая,эконом,FENDER-12,7,4.4,81.5,65.6
передняя,комфорт,GLASS-02,15,5.9,297.2,161.7
задняя,премиум,FENDER-03,20,4.5,274.2,477.0
боковая,бизнес,FENDER-04,9,5.4,303.6,217.3
задняя,бизнес,EXHAUST-01,24,5.7,213.1,277.3
задняя,бизнес,MOTOR-03,11,3.4,255.5,600.0
передняя,комфорт,ELECTRIC-01,11,4.5,381.3,429.6
передняя,эконом,AC-02,25,5.3,40.4,293.8
боковая,премиум,BUMPER-02,4,2.8,123.5,297.8
боковая,комфорт,FRAME-01,15,2.3,244.5,390.0
задняя,комфорт,CABLE-03,0,5.7,385.6,48.0
передняя,эконом,ENG-02,8,4.6,38.2,478.9
передняя,комфорт,ENG-01,11,2.1,9.0,600.0
боковая,комфорт,RADIATOR-01,4,3.2,22.3,164.1
боковая,бизнес,CABLE-03,21,5.0,21.0,42.2
боковая,комфорт,PAINT-01,19,3.7,363.1,64.8
боковая,эконом,LIGHT-03,21,4.2,288.5,104.1
задняя,премиум,ALTERNATOR-02,23,4.8,270.8,600.0
передняя,эконом,SUSP-01,2,4.1,209.0,260.3
передняя,комфорт,ENG-02,4,3.7,312.8,600.0
боковая,эконом,BRAKE-02,1,4.7,62.3,38.7
задняя,бизнес,MOTOR-03,13,4.6,156.8,600.0
передняя,премиум,DOOR-01,1,4.1,196.0,600.0
передняя,эконом,ENG-02,12,2.8,44.2,433.3
задняя,бизнес,SUSP-03,6,3.0,167.8,337.5
передняя,эконом,DOOR-02,9,5.9,126.6,287.5
передняя,премиум,FENDER-12,12,1.6,14.2,137.3
задняя,бизнес,PAINT-02,15,2.3,54.7,71.4
задняя,бизнес,SUSP-02,25,3.5,305.6,579.9
задняя,эконом,BUMPER-02,13,5.2,7.2,127.0
передняя,премиум,FRAME-01,10,1.8,373.7,600.0
боковая,бизнес,LIGHT-03,9,2.4,34.6,159.5
передняя,эконом,BUMPER-03,5,1.3,319.7,115.0
передняя,бизнес,FENDER-04,3,4.5,359.4,318.2
боковая,эконом,INTERIOR-03,20,2.2,376.5,100.3
задняя,бизнес,DOOR-01,0,2.9,347.0,369.9
боковая,эконом,PAINT-02,6,3.2,115.0,40.9
задняя,бизнес,HOOD-02,23,5.5,133.2,600.0
задняя,комфорт,LIGHT-03,8,3.1,170.6,167.3
передняя,эконом,DOOR-01,7,1.7,55.7,145.8
задняя,эконом,ELECTRIC-01,4,3.6,8.9,116.4
передняя,эконом,CABLE-01,18,5.8,347.6,32.2
передняя,комфорт,FENDER-12,9,4.0,221.7,110.1
боковая,эконом,LIGHT-01,10,5.9,243.5,23.2
задняя,комфорт,MOTOR-02,24,5.2,370.8,600.0
боковая,эконом,TRANS-03,14,1.2,266.0,237.6
задняя,эконом,PAINT-01,5,4.3,276.3,20.7
боковая,бизнес,INTERIOR-02,14,2.4,314.8,213.7
задняя,эконом,PAINT-01,4,3.8,46.5,17.4
задняя,премиум,LIGHT-01,18,2.4,144.1,148.6
задняя,бизнес,DOOR-01,21,2.7,387.3,471.2
передняя,комфорт,DOOR-03,18,5.6,369.2,405.8
боковая,комфорт,PAINT-01,9,2.0,353.6,23.4
передняя,бизнес,MOTOR-02,11,5.4,180.8,600.0
передняя,эконом,GLASS-01,21,1.2,342.9,122.6
задняя,эконом,EXHAUST-01,3,1.5,19.4,69.9
передняя,эконом,EXHAUST-02,17,5.3,59.4,148.4
боковая,бизнес,INTERIOR-02,15,4.2,165.6,168.2
боковая,эконом,PAINT-01,7,4.7,193.4,26.4
боковая,комфорт,BUMPER-02,3,2.0,105.4,220.6
задняя,премиум,HOOD-02,24,3.7,142.6,600.0
передняя,бизнес,PAINT-03,22,4.7,65.1,164.7
боковая,комфорт,ENG-03,11,4.1,195.7,534.3
задняя,эконом,LIGHT-02,1,3.4,317.5,67.5
боковая,бизнес,EXHAUST-01,3,5.8,264.5,199.5
боковая,комфорт,INTERIOR-02,4,4.4,43.1,70.7
боковая,эконом,CABLE-02,2,5.5,195.0,20.1
передняя,эконом,DOOR-03,8,4.6,279.1,218.7
задняя,премиум,CABLE-02,20,4.7,212.0,130.4
боковая,комфорт,TRANS-02,17,1.4,156.7,410.4
передняя,бизнес,TRANS-01,10,2.8,248.8,600.0
передняя,бизнес,BUMPER-03,2,5.3,387.5,327.2
задняя,комфорт,FRAME-02,24,2.2,38.0,505.0
боковая,комфорт,RADIATOR-01,22,1.6,156.0,186.4
задняя,комфорт,DOOR-01,1,2.6,162.6,230.8
задняя,эконом,FRAME-01,8,2.1,230.8,303.0
передняя,комфорт,BRAKE-02,13,5.6,60.9,181.5
задняя,бизнес,DOOR-01,3,5.3,70.7,350.1
боковая,комфорт,TRANS-03,8,3.5,114.1,362.9
передняя,бизнес,FENDER-12,12,1.3,382.3,198.4
задняя,комфорт,DOOR-03,17,4.6,293.6,292.3
боковая,комфорт,HOOD-01,14,4.1,264.7,342.0
боковая,комфорт,INTERIOR-02,9,5.9,326.8,146.7
задняя,комфорт,LIGHT-02,15,3.8,51.0,73.8
боковая,бизнес,DOOR-01,11,2.7,343.7,317.3
задняя,эконом,FENDER-01,19,3.6,237.9,132.0
передняя,комфорт,INTERIOR-03,4,5.9,134.1,211.7
боковая,эконом,EXHAUST-01,1,4.5,326.3,101.9
боковая,эконом,DOOR-02,9,4.4,321.0,166.1
боковая,комфорт,INTERIOR-01,0,2.2,338.3,82.5
боковая,комфорт,HOOD-01,6,4.7,46.2,236.2
задняя,премиум,FRAME-03,25,4.8,387.7,600.0
задняя,комфорт,ALTERNATOR-02,16,2.6,383.9,298.4
боковая,бизнес,AC-01,15,3.4,143.0,265.3
задняя,комфорт,INTERIOR-01,23,2.5,26.4,81.3
боковая,комфорт,ELECTRIC-01,2,2.3,66.8,213.6
боковая,эконом,TRANS-02,13,1.1,397.1,373.2
боковая,эконом,INTERIOR-02,9,2.4,225.2,31.6
передняя,эконом,SUSP-01,21,3.8,142.6,256.5
задняя,комфорт,RADIATOR-02,6,1.0,115.3,230.7
передняя,эконом,LIGHT-02,25,2.4,102.8,108.7
задняя,эконом,FRAME-02,16,5.4,265.7,441.4
передняя,эконом,CABLE-02,5,4.0,167.8,54.2
задняя,премиум,DOOR-01,22,4.0,386.2,600.0
задняя,эконом,DOOR-02,21,3.0,273.5,253.4
передняя,комфорт,WHEEL-02,3,4.4,316.8,159.5
задняя,эконом,EXHAUST-02,16,1.9,117.1,91.8
передняя,комфорт,ALTERNATOR-01,8,5.1,31.7,222.0
передняя,эконом,BRAKE-02,3,1.6,195.1,103.5
боковая,эконом,ELECTRIC-02,6,4.3,125.8,102.8
задняя,комфорт,HOOD-01,22,2.7,80.8,332.2
передняя,эконом,SUSP-02,1,4.7,381.1,325.1
задняя,эконом,BUMPER-01,16,3.7,177.6,187.5
боковая,эконом,INTERIOR-03,23,3.3,69.9,99.6
передняя,эконом,ALTERNATOR-02,7,1.8,79.5,189.6
задняя,эконом,LIGHT-02,22,4.2,112.3,40.9
передняя,эконом,EXHAUST-01,14,5.9,399.7,159.4
передняя,бизнес,FRAME-02,14,5.1,107.2,600.0
задняя,комфорт,FENDER-13,7,1.3,131.5,119.8
задняя,комфорт,CABLE-02,15,2.9,263.7,129.3
задняя,эконом,BUMPER-02,18,5.6,117.6,165.0
боковая,премиум,ELECTRIC-02,10,3.5,86.3,388.4
боковая,эконом,TRANS-02,1,4.3,63.5,234.9
задняя,эконом,FENDER-03,22,5.6,125.1,186.0
передняя,комфорт,SUSP-03,23,5.4,42.4,346.2
боковая,эконом,TRANS-03,16,3.5,7.5,243.0
передняя,эконом,GLASS-01,25,3.2,321.9,100.8
задняя,комфорт,BRAKE-02,15,2.7,55.2,131.9
передняя,бизнес,LIGHT-01,24,4.6,310.4,245.4
передняя,комфорт,ENG-02,14,2.4,319.0,600.0
боковая,бизнес,INTERIOR-02,12,2.2,215.2,188.7
боковая,премиум,TRANS-02,14,2.8,123.9,600.0
задняя,эконом,CABLE-03,3,1.9,58.0,47.5
задняя,эконом,SUSP-01,15,4.5,294.7,237.2
передняя,эконом,GLASS-01,11,4.1,240.6,52.0
передняя,комфорт,FENDER-02,3,3.4,262.2,131.0
передняя,комфорт,MOTOR-01,2,3.0,3.5,600.0
задняя,премиум,ENG-01,21,5.5,371.0,600.0
боковая,бизнес,BUMPER-02,16,1.1,26.5,207.8
задняя,комфорт,INTERIOR-01,21,4.8,146.7,137.4
передняя,эконом,LIGHT-02,17,5.5,161.1,88.9
боковая,бизнес,EXHAUST-01,24,3.2,0.5,214.9
боковая,премиум,FENDER-11,17,3.8,198.8,178.8
задняя,бизнес,FRAME-01,22,5.7,301.1,600.0
задняя,эконом,AC-01,16,2.1,329.3,182.2
задняя,комфорт,ALTERNATOR-02,11,3.6,351.8,310.6
передняя,эконом,LIGHT-03,22,3.4,195.1,130.0
задняя,эконом,FENDER-11,20,2.3,252.3,65.0
боковая,эконом,SUSP-03,23,5.1,31.8,145.1
передняя,комфорт,ALTERNATOR-02,3,5.5,195.2,322.5
передняя,комфорт,GLASS-02,11,4.9,61.9,106.5
передняя,эконом,DOOR-03,25,2.0,147.9,200.5
передняя,эконом,ELECTRIC-02,22,1.4,131.7,256.9
боковая,комфорт,BUMPER-02,21,4.0,169.4,198.0
боковая,эконом,INTERIOR-03,20,1.3,228.7,82.1
задняя,эконом,ENG-03,19,4.4,361.2,514.2
передняя,комфорт,ENG-01,14,3.7,157.8,600.0
задняя,бизнес,CABLE-01,22,4.3,392.5,67.0
задняя,эконом,ALTERNATOR-01,15,4.0,303.6,188.0
передняя,эконом,AC-01,4,3.1,204.6,190.0
задняя,эконом,ENG-01,20,2.0,257.6,511.1
задняя,премиум,HOOD-01,14,2.5,40.9,504.5
задняя,комфорт,ENG-02,16,3.6,337.8,600.0
задняя,комфорт,SUSP-03,17,4.3,232.9,300.7
передняя,эконом,BUMPER-02,4,4.9,394.4,234.0
задняя,комфорт,TRANS-03,12,4.8,254.6,502.7
задняя,эконом,FENDER-02,18,5.9,333.6,148.9
задняя,комфорт,SUSP-03,12,2.4,319.9,280.5
боковая,премиум,AC-02,17,1.4,138.2,420.4
задняя,комфорт,RADIATOR-01,13,2.7,103.8,189.9
передняя,бизнес,EXHAUST-02,3,4.7,172.2,335.4
передняя,бизнес,ENG-03,3,3.2,186.9,600.0
задняя,эконом,CABLE-03,19,5.1,96.0,34.2
передняя,премиум,ELECTRIC-02,19,3.7,357.8,600.0
задняя,эконом,TRANS-02,18,5.6,217.0,488.3
боковая,комфорт,SUSP-01,12,5.7,391.4,320.9
задняя,эконом,INTERIOR-01,11,1.3,324.0,81.5
задняя,эконом,FENDER-12,6,3.3,222.3,87.0
задняя,комфорт,BUMPER-02,24,4.0,378.8,293.2
задняя,эконом,INTERIOR-02,11,2.3,201.9,101.3
задняя,комфорт,BUMPER-02,20,3.0,354.8,258.9
боковая,комфорт,FENDER-03,3,4.4,143.3,172.6
задняя,эконом,FRAME-01,1,2.1,151.5,254.9
боковая,эконом,TRANS-01,1,4.0,167.3,256.8
боковая,комфорт,RADIATOR-01,4,4.5,218.7,177.2
передняя,эконом,ALTERNATOR-02,22,1.5,221.4,215.8
передняя,бизнес,BUMPER-01,9,3.5,198.6,343.0
передняя,комфорт,PAINT-03,9,2.3,122.4,87.7
передняя,бизнес,SUSP-01,8,4.6,370.9,600.0
передняя,комфорт,INTERIOR-02,12,1.9,235.4,209.4
задняя,комфорт,WHEEL-02,6,5.5,163.1,122.1
передняя,комфорт,FENDER-13,4,3.2,260.5,191.0
передняя,эконом,FENDER-13,25,2.0,307.2,121.7
боковая,эконом,CABLE-03,9,3.2,384.3,72.4
передняя,бизнес,MOTOR-03,9,3.0,199.8,600.0
боковая,комфорт,LIGHT-01,5,3.1,44.8,67.3
передняя,бизнес,SUSP-02,18,3.9,176.3,600.0
передняя,бизнес,RADIATOR-02,20,3.6,191.6,483.5
задняя,бизнес,AC-01,7,1.7,358.8,300.5
задняя,премиум,ALTERNATOR-01,0,1.3,157.9,347.8
боковая,комфорт,INTERIOR-02,16,4.6,381.3,119.8
боковая,эконом,LIGHT-01,6,3.8,194.1,78.0
боковая,комфорт,WHEEL-02,13,2.8,389.5,92.8
передняя,эконом,BUMPER-01,20,5.0,3.3,188.7
передняя,комфорт,FENDER-02,20,2.9,359.5,191.1
боковая,бизнес,RADIATOR-02,16,5.0,372.4,350.0
боковая,комфорт,FENDER-02,8,2.5,384.4,122.6
боковая,эконом,WHEEL-01,16,1.4,5.2,19.2
задняя,эконом,GLASS-02,4,5.7,68.7,39.3
задняя,комфорт,AC-02,25,3.0,261.5,338.1
боковая,эконом,RADIATOR-01,24,5.0,10.2,126.3
передняя,бизнес,GLASS-02,19,2.4,25.4,149.2
боковая,эконом,LIGHT-02,7,4.2,88.4,58.4
боковая,эконом,WHEEL-02,5,5.4,205.0,61.3
задняя,эконом,FENDER-13,10,1.2,218.4,107.5
боковая,комфорт,SUSP-02,18,5.2,13.7,307.0
боковая,комфорт,FENDER-03,3,3.9,68.1,163.5
передняя,эконом,BUMPER-02,17,4.0,199.9,207.0
боковая,эконом,MOTOR-02,0,3.6,237.6,403.2
задняя,комфорт,BUMPER-01,12,5.4,59.4,144.5
боковая,эконом,AC-02,13,1.2,159.5,148.4
передняя,комфорт,FRAME-01,23,2.3,361.8,600.0
боковая,комфорт,RADIATOR-01,0,5.4,399.6,196.6
задняя,эконом,FENDER-12,10,4.8,394.9,123.0
передняя,эконом,DOOR-02,16,1.1,352.7,249.3
боковая,премиум,BRAKE-02,3,3.6,157.9,160.4
передняя,комфорт,MOTOR-01,25,3.6,274.6,600.0
передняя,комфорт,DOOR-01,11,3.0,166.6,267.6
боковая,эконом,FENDER-11,9,2.5,259.4,76.3
боковая,комфорт,GLASS-02,5,4.4,123.8,112.5
задняя,эконом,WHEEL-01,24,2.0,242.5,45.3
задняя,комфорт,SUSP-01,0,5.0,209.5,273.2
задняя,премиум,FENDER-11,6,5.0,9.8,203.1
передняя,эконом,PAINT-03,25,3.1,316.3,42.6
передняя,эконом,ELECTRIC-01,20,2.4,4.8,213.1
задняя,эконом,WHEEL-02,15,2.4,117.3,48.8
боковая,эконом,BUMPER-01,23,3.4,2.4,145.5
боковая,эконом,TRANS-03,13,4.6,150.5,284.2
боковая,эконом,INTERIOR-03,22,2.8,25.3,85.7
передняя,бизнес,RADIATOR-02,19,4.1,365.4,600.0
задняя,комфорт,PAINT-03,19,2.9,166.3,96.6
передняя,эконом,BATTERY-01,5,2.5,183.8,62.1
задняя,премиум,WHEEL-01,21,1.1,139.9,107.1
задняя,эконом,SUSP-02,24,1.0,251.0,229.7
боковая,премиум,ENG-01,4,2.1,313.8,600.0
задняя,эконом,ELECTRIC-02,23,3.0,259.3,190.9
передняя,бизнес,FRAME-02,20,5.3,299.3,600.0
передняя,комфорт,FENDER-02,17,5.0,362.4,200.4
боковая,бизнес,CABLE-02,14,2.3,345.4,83.9
задняя,премиум,RADIATOR-02,5,2.2,269.6,466.8
передняя,эконом,ALTERNATOR-02,24,2.1,85.9,249.1
передняя,премиум,AC-01,18,2.7,255.1,581.1
боковая,эконом,MOTOR-02,0,3.5,202.4,429.3
передняя,эконом,FENDER-01,0,3.2,286.9,128.0
боковая,эконом,FENDER-11,12,2.1,333.2,66.0
боковая,комфорт,FRAME-01,2,1.7,297.1,361.8
передняя,эконом,TRANS-01,9,1.1,338.6,479.1
передняя,комфорт,GLASS-01,20,1.8,25.5,30.8
боковая,комфорт,FENDER-12,2,4.5,12.6,74.2
задняя,бизнес,GLASS-02,8,2.2,103.4,148.7
задняя,бизнес,PAINT-03,7,3.3,360.3,106.5
боковая,комфорт,INTERIOR-03,2,4.0,329.5,147.1
боковая,эконом,FENDER-12,24,5.4,273.1,61.7
боковая,эконом,WHEEL-02,12,5.4,280.3,113.2
боковая,эконом,RADIATOR-01,5,4.7,290.7,113.6
задняя,эконом,ALTERNATOR-01,12,1.2,377.0,159.3
передняя,эконом,PAINT-02,22,3.9,332.9,78.0
боковая,эконом,INTERIOR-03,19,4.9,249.4,112.7
задняя,премиум,ALTERNATOR-01,19,1.1,266.3,455.3
задняя,комфорт,LIGHT-03,11,3.7,85.5,104.6
боковая,эконом,DOOR-03,12,5.3,262.9,157.4
передняя,комфорт,MOTOR-03,1,3.4,169.9,600.0
задняя,эконом,FENDER-13,20,1.0,61.2,67.9
передняя,комфорт,GLASS-01,23,1.1,322.6,106.6
задняя,комфорт,ALTERNATOR-02,22,3.1,204.1,348.6
передняя,комфорт,ALTERNATOR-02,15,1.8,391.0,351.2
передняя,комфорт,MOTOR-03,22,4.3,112.7,600.0
передняя,премиум,RADIATOR-02,5,4.5,192.3,590.3
