season,weekday,guests,nights,stars,dist_center,breakfast,early_book,cancel_days
2,5,4,14,4,5.91,0,280,-1
3,2,4,11,3,2.63,0,166,17
2,6,3,3,5,0.84,1,255,-1
3,2,2,9,5,4.19,0,222,27
2,0,1,6,4,3.89,1,93,-1
4,3,6,16,5,6.47,1,160,-1
4,4,5,11,3,2.36,1,247,-1
1,6,4,18,3,7.48,0,267,-1
3,0,5,17,4,13.83,0,347,18
2,4,5,17,4,11.3,0,157,-1
3,0,5,3,4,12.68,1,69,-1
4,2,3,19,4,12.13,0,169,-1
3,5,5,15,4,6.03,1,260,-1
2,3,2,10,4,10.72,1,214,-1
3,2,2,8,3,11.39,0,315,-1
2,3,1,17,3,3.32,1,77,-1
4,6,1,4,4,12.95,0,192,-1
4,4,6,8,4,7.03,0,307,-1
4,0,5,2,3,0.54,0,136,-1
1,1,5,8,3,9.76,0,143,-1
4,1,3,7,4,10.25,1,34,-1
3,3,5,9,3,8.41,1,329,27
1,5,5,18,5,3.42,0,271,4
4,5,5,17,3,7.39,1,160,16
3,3,4,1,3,6.18,1,306,-1
3,2,4,12,4,14.63,0,316,0
3,1,3,4,5,12.42,1,78,-1
2,2,3,17,4,11.5,0,314,-1
1,4,2,7,4,2.96,1,126,-1
3,1,3,3,3,5.17,1,358,-1
2,4,6,1,4,5.88,0,3,24
4,0,2,19,3,7.54,0,326,0
3,2,5,2,4,0.74,1,185,-1
2,3,3,6,4,9.02,1,357,-1
3,1,6,11,3,5.56,0,61,2
1,2,3,21,3,8.56,0,353,-1
1,3,3,4,4,0.43,0,280,-1
4,0,2,1,4,5.03,0,326,-1
3,1,2,11,5,11.6,0,280,-1
2,4,1,16,3,7.67,0,122,-1
4,0,2,6,4,11.9,0,321,-1
3,5,2,11,3,10.57,0,281,-1
4,3,4,8,3,12.87,1,227,-1
2,1,3,20,4,0.41,0,357,10
4,1,2,1,5,4.14,0,361,-1
4,6,3,14,4,8.37,0,182,-1
4,6,3,21,4,14.13,1,130,19
3,0,4,21,4,10.29,0,156,-1
2,1,3,2,4,7.01,0,185,-1
1,3,6,6,5,2.21,1,234,21
3,0,2,9,4,7.55,1,148,-1
1,4,3,14,4,6.78,1,42,-1
1,0,1,8,4,11.74,0,3,-1
3,0,1,3,4,6.38,0,324,-1
3,4,4,10,5,4.99,0,197,21
2,5,6,18,3,1.62,0,277,29
2,6,2,20,3,0.98,0,365,-1
4,3,4,9,5,6.76,0,358,19
1,5,1,9,5,5.4,0,5,-1
2,5,6,19,4,8.46,1,149,-1
4,5,2,13,3,10.77,1,271,-1
2,6,3,1,4,0.89,0,163,28
3,2,2,17,3,7.59,1,177,-1
2,6,5,4,4,12.97,1,57,28
1,5,2,4,3,6.99,0,198,-1
2,2,3,16,4,7.96,0,86,-1
1,4,5,16,3,7.46,0,178,22
3,6,6,15,4,6.03,1,77,-1
1,3,4,6,4,1.92,0,46,-1
2,5,6,5,4,2.16,0,133,-1
4,1,2,10,3,2.93,0,152,-1
3,4,4,7,3,11.95,1,268,-1
2,2,2,7,4,4.35,0,114,-1
3,6,1,10,4,14.24,0,52,-1
3,3,1,10,4,12.21,0,241,-1
2,0,3,15,3,10.36,0,322,-1
2,3,6,6,4,10.89,0,286,26
4,3,1,2,4,1.0,0,66,-1
3,5,5,8,4,8.66,0,336,13
3,5,5,20,4,14.13,0,182,-1
2,6,2,15,5,0.87,0,230,-1
1,6,4,21,4,4.58,0,284,20
2,2,5,21,5,1.06,0,162,-1
3,6,2,18,4,8.68,0,103,-1
2,2,4,5,5,2.01,0,162,-1
4,5,1,4,3,7.34,0,305,-1
1,5,2,10,4,10.88,0,285,1
2,1,4,19,4,2.72,1,270,-1
4,1,3,14,4,11.4,1,28,-1
3,4,6,13,4,1.19,0,74,1
2,5,6,10,3,2.5,0,312,-1
3,0,3,6,5,4.42,1,111,-1
4,1,5,13,4,12.0,0,247,-1
3,2,6,21,5,12.8,1,306,-1
4,3,4,11,3,3.54,1,323,-1
4,6,3,15,4,1.71,1,245,-1
4,6,5,2,4,12.76,0,57,19
2,4,2,15,4,9.85,0,139,-1
3,1,2,19,4,2.62,0,324,-1
3,3,4,17,3,8.5,0,361,-1
1,3,4,20,3,13.12,0,242,-1
1,1,4,18,4,1.32,0,323,-1
1,0,6,6,4,1.53,0,291,13
1,0,4,15,3,4.32,1,249,-1
3,4,3,17,4,9.89,0,129,28
4,0,3,9,4,2.92,1,290,18
4,4,5,12,4,12.3,1,124,17
2,2,3,5,3,11.33,0,355,-1
4,1,6,14,4,8.55,0,263,-1
3,3,2,8,4,2.01,1,200,9
3,4,5,17,4,14.83,0,283,5
3,6,3,9,5,7.5,1,187,-1
2,0,4,3,4,6.95,1,359,17
1,6,3,7,4,14.93,0,43,-1
4,4,1,12,3,13.0,1,9,29
3,5,5,3,4,7.01,0,4,-1
3,4,6,9,3,6.46,1,356,-1
1,0,3,14,5,1.71,0,174,-1
3,5,3,18,5,13.92,0,158,-1
4,5,6,11,4,12.7,0,243,-1
2,0,2,4,3,4.86,1,28,-1
3,5,4,8,3,11.37,1,153,23
4,1,4,18,5,11.51,1,94,-1
3,3,2,13,5,3.65,0,1,-1
1,6,2,4,3,9.32,0,334,21
3,1,1,10,4,4.05,0,91,-1
3,1,6,8,3,11.91,1,55,-1
2,0,5,12,3,2.56,1,235,4
1,0,4,19,3,10.13,0,331,-1
1,6,2,12,4,5.09,1,14,-1
2,3,2,2,3,0.83,0,84,10
3,4,6,8,3,2.12,1,253,-1
4,1,5,13,3,9.93,0,220,-1
1,5,2,1,4,3.83,0,248,17
1,3,1,3,4,9.58,1,44,-1
3,1,5,2,3,6.4,1,302,-1
3,4,1,20,5,10.48,0,19,-1
1,5,3,8,3,7.55,0,123,-1
3,1,4,3,4,4.84,1,145,-1
4,2,2,21,3,2.44,1,229,-1
1,6,5,15,3,5.31,1,334,-1
4,3,1,2,3,9.63,0,60,11
4,6,4,17,3,11.18,0,120,-1
3,0,4,6,5,2.66,1,255,-1
4,1,2,1,4,10.06,0,203,-1
3,5,4,4,5,2.94,0,4,-1
2,5,2,19,3,3.56,0,313,13
3,3,3,7,4,8.11,0,336,-1
4,3,2,14,3,4.55,0,76,22
2,6,6,14,4,10.03,0,315,-1
3,5,1,10,5,14.35,1,140,-1
4,5,6,7,5,2.49,0,99,-1
1,5,4,16,3,8.69,1,207,-1
1,1,4,4,4,13.87,0,295,-1
3,5,4,7,3,2.89,0,194,-1
3,0,2,15,3,5.69,1,179,-1
1,5,5,17,3,2.12,0,257,28
4,0,2,3,3,9.74,0,194,13
4,1,1,16,4,10.14,1,138,10
4,3,2,2,4,10.06,1,10,-1
3,0,4,7,4,8.27,0,265,23
2,1,3,16,4,11.27,1,27,-1
2,5,1,21,3,0.83,0,118,-1
2,1,6,9,3,14.38,0,248,-1
2,5,3,12,4,3.56,1,6,-1
2,6,1,1,4,2.09,0,142,-1
3,1,1,14,3,14.13,1,6,-1
3,3,4,11,5,12.51,0,54,-1
2,0,6,18,4,11.54,0,19,9
3,6,2,5,4,1.84,0,2,20
3,3,6,15,4,12.17,1,19,15
2,2,4,7,4,9.25,0,265,-1
4,5,4,14,4,11.06,0,226,-1
3,0,4,20,4,14.68,1,345,-1
4,3,3,8,3,3.16,1,349,-1
3,0,6,4,5,7.71,0,217,4
3,2,6,3,4,11.37,0,164,16
2,4,1,12,4,6.67,0,339,-1
3,5,5,18,4,1.1,1,50,-1
1,5,2,15,4,1.94,0,169,-1
1,1,4,11,3,9.15,1,352,24
2,5,6,11,4,4.49,1,29,-1
4,5,6,12,4,2.33,0,243,-1
4,3,1,19,3,5.3,0,44,-1
4,6,2,17,3,3.25,0,214,13
1,5,5,6,5,0.65,1,355,-1
4,5,5,21,5,2.53,0,22,-1
4,2,4,8,4,13.28,1,52,4
2,6,5,15,4,0.48,1,41,-1
4,2,5,20,5,11.68,0,163,-1
1,0,2,10,3,11.38,0,103,20
1,0,2,15,4,8.59,1,161,-1
1,5,4,12,4,3.36,0,340,-1
2,5,6,11,4,13.21,0,153,11
2,1,1,18,3,7.28,0,326,-1
3,0,4,5,4,2.85,1,2,-1
4,3,3,12,4,6.61,1,42,-1
2,5,5,5,5,3.17,0,53,-1
1,3,1,10,4,5.83,1,307,-1
1,5,6,14,5,7.6,1,12,-1
2,3,6,16,5,5.59,1,111,5
2,4,2,5,4,9.96,1,55,9
2,3,3,11,3,14.06,0,103,17
3,6,6,19,4,5.42,0,174,15
1,0,3,8,5,5.53,0,321,29
3,5,5,19,3,11.15,1,67,0
3,0,2,20,4,8.1,0,12,-1
4,6,1,18,3,6.6,1,285,-1
1,6,2,21,3,12.26,0,331,-1
1,3,5,12,4,13.4,0,160,-1
2,2,6,13,4,8.98,1,165,3
2,2,3,21,4,3.02,1,298,-1
4,6,5,21,5,7.15,0,353,17
3,2,6,18,3,7.71,0,258,-1
2,5,4,15,3,6.65,0,42,-1
2,1,3,15,5,4.16,1,328,24
1,4,5,12,4,7.24,1,198,-1
1,3,1,9,3,6.86,0,131,2
2,1,1,19,4,3.38,0,91,-1
1,2,6,12,5,13.58,0,31,-1
4,3,6,5,4,13.31,0,256,7
2,1,1,21,4,11.47,0,35,11
1,0,4,20,3,6.19,1,281,14
4,2,2,10,3,5.74,1,204,-1
1,1,1,7,5,10.83,0,149,15
1,5,6,11,4,9.24,0,343,-1
1,0,6,8,3,9.13,0,138,-1
2,2,4,21,4,2.12,0,280,27
3,4,1,7,4,9.39,1,334,-1
1,6,4,16,3,13.56,0,172,-1
4,2,1,16,4,1.56,0,163,-1
2,5,2,14,3,5.29,0,101,10
2,4,5,15,4,7.78,0,289,-1
4,4,1,20,4,10.38,0,287,12
1,4,5,9,3,1.62,1,101,-1
3,3,1,16,3,13.13,1,152,-1
1,3,2,16,5,0.9,0,120,25
4,6,6,5,4,12.91,1,56,-1
2,4,5,3,4,0.71,1,106,20
3,6,4,21,3,2.56,1,238,-1
2,0,1,13,4,12.06,1,20,-1
4,4,6,8,4,12.94,1,72,-1
1,1,1,17,3,14.74,0,340,-1
3,4,4,5,4,2.0,0,20,-1
2,3,2,6,4,8.04,1,297,10
2,3,3,2,4,1.43,1,10,-1
2,1,1,14,3,2.6,0,57,21
1,1,4,4,3,2.87,0,353,-1
3,2,3,3,5,1.23,0,239,-1
1,0,1,9,5,13.43,1,296,-1
1,0,5,18,4,2.16,1,85,-1
1,0,6,12,4,9.55,0,143,-1
4,5,6,9,4,9.5,1,224,-1
4,3,4,18,3,3.22,0,193,-1
4,0,5,13,3,14.98,0,102,18
3,2,2,14,4,5.41,1,363,-1
1,2,3,10,4,13.6,0,325,-1
1,0,4,3,4,14.24,0,161,-1
4,1,1,7,5,14.25,0,301,-1
1,2,6,18,4,11.37,1,47,-1
1,6,1,16,5,4.03,0,233,-1
2,1,3,17,5,2.07,1,292,14
1,6,5,6,5,8.68,0,21,-1
2,3,5,12,4,5.59,1,335,14
1,5,4,19,3,12.52,0,134,29
3,2,4,3,4,11.25,1,174,-1
4,1,5,3,4,4.36,1,332,-1
2,6,4,18,4,0.55,0,241,0
4,0,5,11,5,3.79,0,16,-1
2,6,3,6,5,8.64,0,258,-1
2,6,4,19,4,1.46,1,197,11
2,3,5,5,4,9.98,0,75,19
3,4,4,13,5,10.17,1,202,-1
1,4,1,5,3,2.79,0,232,-1
2,0,6,3,3,9.07,0,274,-1
3,3,1,19,5,9.22,1,158,11
2,3,2,17,4,7.33,1,114,-1
1,3,5,3,4,14.31,1,257,-1
2,3,2,15,5,1.89,1,236,-1
3,4,5,17,4,6.28,1,95,-1
1,1,6,13,4,13.28,0,127,3
3,3,4,14,4,5.98,0,273,7
1,1,5,16,3,6.54,0,310,5
1,6,1,11,3,10.12,1,259,-1
4,6,4,17,5,10.08,0,333,-1
4,3,6,5,3,0.64,0,77,-1
4,2,1,21,3,7.0,1,348,-1
1,5,4,15,4,5.2,1,289,12
2,2,5,18,3,9.53,0,175,-1
3,6,5,16,5,8.47,0,126,-1
3,5,1,14,3,9.87,0,197,-1
3,2,3,14,4,9.91,0,362,-1
4,3,5,13,4,4.05,0,203,-1
1,1,3,1,5,3.92,0,44,-1
4,5,4,6,4,5.74,1,348,-1
2,4,3,11,4,3.86,1,163,-1
1,0,1,11,5,10.34,1,97,-1
3,5,2,16,3,9.16,0,306,-1
4,5,2,3,4,3.48,1,242,14
4,4,1,17,5,13.3,1,142,-1
2,3,2,14,4,7.07,1,136,16
2,2,1,2,4,2.17,1,57,-1
4,2,5,9,3,3.43,1,268,4
2,6,3,8,3,8.24,0,168,-1
3,1,2,11,3,5.27,1,107,20
2,3,5,7,5,12.81,1,43,-1
2,4,2,2,5,7.57,0,85,-1
4,3,4,4,4,13.75,0,285,-1
4,3,1,14,3,1.8,0,76,3
1,2,1,13,3,10.13,1,241,-1
1,4,5,13,4,13.32,1,223,2
4,0,4,13,4,4.61,1,313,10
2,5,3,5,4,2.29,0,338,19
2,2,4,12,5,7.01,0,162,-1
1,4,4,6,4,14.43,1,121,-1
1,1,6,14,4,9.61,0,176,3
1,5,3,8,4,9.77,0,186,12
3,5,3,8,4,10.17,1,243,8
3,2,4,7,4,0.88,1,220,14
1,6,2,17,4,6.85,1,134,19
2,1,6,21,3,1.44,0,34,-1
1,2,2,11,4,4.94,0,166,-1
3,3,4,10,5,12.38,1,261,13
2,6,2,13,4,9.95,0,333,-1
3,4,3,10,5,14.93,0,219,-1
2,1,3,21,3,2.83,0,64,-1
3,5,2,14,4,6.14,0,109,2
2,2,3,9,5,12.2,0,340,-1
2,5,1,7,4,3.47,0,8,-1
2,1,3,7,5,2.56,0,181,-1
2,5,4,18,4,6.59,0,42,-1
4,2,5,16,3,5.94,0,119,-1
3,6,2,8,3,14.71,1,305,10
3,2,6,16,4,7.01,0,112,-1
4,0,2,19,5,12.96,0,318,-1
2,5,3,15,3,13.35,0,253,-1
2,0,3,15,4,2.62,0,230,-1
3,6,5,6,4,10.81,0,135,-1
4,0,5,9,3,4.38,0,167,-1
2,5,6,15,3,1.69,0,178,14
2,1,4,7,4,13.16,0,253,17
2,3,1,8,3,4.6,0,46,-1
1,6,4,18,3,5.38,0,141,19
4,2,6,21,3,5.06,0,280,-1
2,4,2,16,3,3.24,0,84,-1
1,6,3,15,4,6.69,1,92,3
4,0,4,3,4,6.6,0,158,-1
2,1,3,1,4,6.31,1,51,-1
3,5,3,13,4,13.77,1,259,-1
1,1,4,12,5,5.29,0,117,27
1,1,4,9,5,0.75,1,45,13
2,5,5,2,5,2.92,1,156,26
2,4,6,9,4,10.91,0,192,-1
1,5,6,8,5,8.99,0,95,-1
3,4,1,5,4,14.29,0,256,4
3,5,5,13,4,10.51,0,323,10
4,0,1,2,3,3.16,0,186,8
2,4,4,10,4,2.07,1,231,-1
3,0,6,6,3,7.96,0,253,-1
4,6,6,7,3,10.08,1,77,29
3,4,1,3,4,2.73,0,179,-1
2,4,2,14,4,9.14,1,247,-1
4,5,5,16,5,13.02,1,333,12
4,4,5,6,4,11.0,0,245,-1
4,0,5,8,4,10.06,1,129,-1
3,6,6,1,4,11.9,0,20,-1
2,5,3,20,4,1.83,0,284,-1
4,2,6,15,4,3.3,1,75,-1
1,6,3,17,5,0.86,0,337,-1
2,6,6,18,4,2.43,0,159,-1
1,0,4,3,4,13.72,0,168,-1
1,6,6,6,4,3.57,1,277,5
4,2,4,17,5,10.03,0,139,-1
4,1,3,13,5,10.47,1,312,-1
3,5,5,17,4,9.79,1,7,-1
3,1,3,21,4,8.44,0,155,-1
3,5,1,16,4,7.45,0,312,-1
2,6,5,17,5,6.47,1,180,-1
3,5,6,1,4,13.78,1,213,-1
1,0,6,16,3,0.44,0,203,-1
3,2,6,6,4,1.09,0,240,23
4,5,6,8,4,7.54,1,16,-1
3,2,6,1,4,5.16,1,276,-1
2,5,3,2,3,6.3,1,50,-1
2,2,4,15,3,14.97,0,211,-1
1,1,3,5,4,11.69,1,53,2
2,0,2,20,5,13.2,0,315,-1
3,5,3,15,5,5.72,1,43,-1
4,3,5,21,4,3.82,1,332,-1
2,2,6,10,5,11.59,0,232,-1
1,2,3,5,3,12.17,0,28,-1
3,3,4,3,4,8.38,1,170,-1
1,0,6,6,3,13.47,1,60,-1
2,2,1,21,4,14.52,0,60,-1
2,0,2,15,5,7.22,1,327,15
1,2,5,18,5,3.57,0,19,-1
3,6,4,14,4,7.9,1,55,-1
2,4,2,10,4,14.85,1,175,-1
4,6,3,4,5,4.61,0,329,-1
2,2,2,11,3,9.38,1,248,-1
3,4,6,20,4,10.5,1,203,-1
2,5,6,7,3,3.44,0,183,-1
1,0,1,15,5,8.95,0,45,-1
2,2,2,9,3,4.92,0,44,-1
2,1,2,15,3,12.86,1,41,-1
3,1,6,12,4,10.81,0,7,-1
1,3,3,18,3,12.45,0,339,23
3,1,3,6,3,3.24,1,13,-1
2,4,5,18,4,0.81,0,228,-1
4,1,3,18,5,12.8,0,281,-1
2,1,2,6,3,5.99,0,101,-1
3,1,1,15,5,2.94,1,296,-1
4,2,3,19,5,1.65,0,236,-1
3,3,6,5,4,7.89,1,28,22
3,0,6,4,4,2.51,0,190,-1
1,3,5,17,3,8.63,0,268,-1
4,4,5,21,4,10.99,0,353,-1
2,2,2,10,3,8.17,0,302,25
3,5,3,12,3,13.58,1,215,3
2,2,3,5,4,2.59,1,247,-1
1,6,5,7,4,7.56,1,276,-1
1,1,3,12,4,2.7,0,350,-1
4,1,2,2,4,13.18,0,11,-1
1,4,1,20,5,14.0,0,105,-1
1,5,6,17,3,6.18,1,23,-1
2,6,2,13,3,4.79,1,276,-1
1,2,3,5,4,4.41,1,3,-1
1,5,2,5,3,12.94,1,280,-1
3,0,6,20,4,10.33,0,7,-1
1,3,4,12,4,13.24,1,163,27
3,2,6,12,4,2.03,1,289,-1
1,5,6,7,4,7.3,0,113,-1
1,0,4,6,4,10.24,1,49,-1
4,0,3,10,4,13.49,1,237,-1
4,6,3,19,3,5.92,0,346,5
3,6,1,16,3,4.9,0,283,0
1,3,6,2,4,13.72,0,61,-1
2,0,2,4,3,1.0,1,348,2
4,4,1,9,4,7.35,1,126,11
2,0,3,5,3,7.04,0,220,19
4,5,3,1,3,2.45,1,201,-1
4,6,5,11,3,6.11,0,299,-1
1,4,1,19,4,10.92,0,159,24
4,6,3,3,3,5.69,0,7,5
2,6,4,1,3,4.85,0,124,-1
4,6,5,4,4,11.79,0,89,3
3,0,2,9,4,14.83,1,243,-1
1,1,5,16,5,11.76,1,194,-1
1,0,6,7,5,12.74,0,105,-1
3,6,6,5,3,14.11,0,205,27
3,4,2,13,3,12.09,0,70,-1
3,0,4,11,4,14.71,0,356,27
4,6,2,14,5,11.29,0,31,14
1,6,1,17,5,10.02,1,165,22
3,0,2,12,3,10.49,0,211,-1
4,0,2,21,4,13.53,0,9,-1
3,4,5,21,4,10.34,0,334,3
2,0,4,21,5,11.49,1,197,-1
2,3,2,19,3,3.48,0,246,-1
1,5,1,5,4,13.72,0,216,25
4,3,5,8,3,6.87,0,128,14
2,4,4,2,3,2.67,0,197,-1
2,1,4,17,4,12.06,1,332,-1
4,3,3,2,3,5.54,0,74,12
3,6,6,3,4,3.01,1,89,-1
4,5,1,20,4,4.07,0,280,29
3,2,6,18,5,0.81,0,51,-1
2,5,5,15,4,1.63,1,307,22
2,3,5,5,3,9.01,1,11,11
2,2,1,17,3,13.03,0,45,-1
1,4,4,14,4,6.89,0,136,-1
1,5,2,1,4,9.5,0,300,-1
1,1,1,14,4,12.2,1,291,-1
4,2,5,9,4,5.54,1,136,-1
2,2,6,5,4,9.92,0,96,12
2,5,1,4,3,5.45,0,161,-1
4,3,4,1,4,9.75,0,87,-1
1,2,3,3,4,3.5,1,52,-1
4,4,3,20,5,14.67,0,108,22
1,5,2,11,4,1.42,0,44,19
2,4,2,16,3,7.73,1,352,2
3,5,4,11,4,4.51,0,160,5
1,4,6,21,4,9.13,0,284,0
2,3,2,10,3,6.6,0,303,-1
2,5,3,12,4,4.81,0,81,29
3,6,4,5,3,3.98,0,314,3
