customer_id,tenure_months,monthly_charges,total_charges,contract_type,internet_service,payment_method,churn,customer_satisfaction
954,11,61.25,673.75,Two year,Fiber optic,Credit card,1,1.0
784,19,143.73,2730.87,One year,No,Mailed check,0,
2356,39,22.25,867.75,Month-to-month,DSL,Bank transfer,0,4.0
1619,61,133.2,8125.2,One year,DSL,Mailed check,1,2.0
1522,66,116.72,7703.52,Two year,DSL,Electronic check,1,1.0
774,58,116.25,6742.5,One year,Fiber optic,Bank transfer,1,2.0
605,57,55.92,3187.44,One year,Fiber optic,Mailed check,1,5.0
1461,33,47.6,1570.8,Month-to-month,No,Mailed check,1,4.0
391,45,70.21,3159.45,Two year,DSL,Electronic check,1,1.0
2915,6,52.09,398.8,Month-to-month,Fiber optic,Electronic check,1,
2206,56,105.21,5891.76,Month-to-month,No,Bank transfer,1,2.0
19,7,68.25,477.75,Month-to-month,DSL,Mailed check,1,4.0
1324,64,80.02,5121.28,Month-to-month,DSL,Credit card,1,2.0
1464,18,117.34,2112.12,Month-to-month,DSL,Credit card,1,2.0
1430,61,34.13,2081.93,One year,No,Electronic check,1,2.0
2995,26,107.64,2798.64,Month-to-month,No,Electronic check,1,3.0
1958,42,122.54,5146.68,Month-to-month,No,Bank transfer,0,3.0
1255,17,130.22,1363.12,One year,DSL,Electronic check,1,4.0
1526,60,83.71,5022.6,Month-to-month,DSL,Bank transfer,1,4.0
1127,17,135.37,2301.29,Two year,Fiber optic,Electronic check,0,
2122,22,93.99,2067.78,Month-to-month,DSL,Electronic check,0,
2883,20,35.24,704.8,Two year,No,Mailed check,0,
207,38,46.18,1754.84,Two year,DSL,Electronic check,1,2.0
160,66,115.6,7629.6,One year,Fiber optic,Electronic check,1,5.0
2865,70,33.63,2354.1,Month-to-month,No,Mailed check,1,2.0
2295,63,68.77,4332.51,One year,No,Electronic check,1,2.0
2979,36,59.78,2152.08,One year,Fiber optic,Credit card,1,4.0
1583,17,127.38,2165.46,Two year,DSL,Credit card,0,
2311,67,115.54,7741.18,One year,DSL,Credit card,0,3.0
1704,21,29.78,625.38,Month-to-month,Fiber optic,Electronic check,1,3.0
2203,54,24.84,1341.36,Two year,DSL,Electronic check,1,3.0
738,30,79.5,2385.0,Month-to-month,No,Electronic check,1,4.0
929,25,146.21,3655.25,One year,DSL,Credit card,0,
1742,13,83.68,1087.84,Two year,No,Mailed check,0,4.0
674,67,83.17,5572.39,One year,Fiber optic,Mailed check,0,4.0
455,34,31.95,1086.3,Month-to-month,No,Electronic check,1,5.0
2004,22,91.43,2011.46,Month-to-month,Fiber optic,Electronic check,1,4.0
1083,28,104.92,2937.76,One year,Fiber optic,Bank transfer,1,2.0
812,38,20.08,763.04,One year,DSL,Bank transfer,0,4.0
284,14,45.53,637.42,One year,DSL,Mailed check,0,
1199,46,108.04,4969.84,Two year,Fiber optic,Mailed check,0,
350,50,45.88,2294.0,One year,DSL,Credit card,0,4.0
2611,62,88.73,5501.26,Month-to-month,DSL,Mailed check,0,
363,25,126.06,3151.5,Two year,Fiber optic,Electronic check,0,5.0
1809,20,104.44,2088.8,Month-to-month,Fiber optic,Bank transfer,1,2.0
1444,50,76.48,3824.0,Month-to-month,No,Mailed check,1,1.0
803,32,121.92,3901.44,Month-to-month,Fiber optic,Electronic check,1,
1922,12,105.77,1269.24,Month-to-month,DSL,Bank transfer,1,
1277,5,42.86,214.3,One year,No,Mailed check,1,2.0
636,57,47.11,2685.27,One year,DSL,Bank transfer,1,3.0
2751,48,146.56,7034.88,Month-to-month,Fiber optic,Electronic check,1,4.0
1108,27,45.82,1237.14,Month-to-month,DSL,Mailed check,1,5.0
475,33,134.69,4444.77,Two year,DSL,Electronic check,1,5.0
1660,67,144.36,9672.12,Two year,Fiber optic,Credit card,1,2.0
2980,30,97.69,2930.7,Month-to-month,DSL,Electronic check,0,5.0
1731,14,120.05,1680.7,Two year,DSL,Electronic check,1,
2811,12,66.61,799.32,Two year,DSL,Mailed check,0,
2644,65,47.56,3091.4,One year,No,Bank transfer,1,1.0
1711,69,47.27,3261.63,One year,DSL,Bank transfer,0,3.0
2534,0,21.33,0.0,Month-to-month,Fiber optic,Mailed check,1,
1097,32,101.82,3258.24,Month-to-month,Fiber optic,Mailed check,0,4.0
500,61,49.74,3034.14,Month-to-month,No,Bank transfer,1,1.0
1924,24,141.67,3400.08,Two year,Fiber optic,Mailed check,0,4.0
1481,35,80.39,2813.65,Month-to-month,No,Credit card,0,4.0
2125,22,144.83,3186.26,One year,Fiber optic,Electronic check,1,4.0
2754,54,96.04,5186.16,Two year,DSL,Credit card,0,
2112,8,47.34,378.72,Month-to-month,DSL,Bank transfer,1,3.0
1206,59,82.61,4873.99,Month-to-month,DSL,Electronic check,1,2.0
1515,5,74.77,373.85,Month-to-month,DSL,Bank transfer,1,4.0
2721,22,104.73,2304.06,Month-to-month,DSL,Credit card,1,4.0
442,27,45.3,1223.1,One year,Fiber optic,Credit card,0,5.0
1279,2,60.81,121.62,Month-to-month,DSL,Electronic check,0,
2806,9,23.75,213.75,Month-to-month,Fiber optic,Mailed check,0,3.0
1024,46,47.66,2192.36,Month-to-month,DSL,Mailed check,0,5.0
2127,71,111.88,7943.48,Month-to-month,Fiber optic,Mailed check,1,2.0
2703,67,55.24,3701.08,Two year,No,Mailed check,1,1.0
1740,17,94.46,1972.3,Two year,Fiber optic,Mailed check,1,2.0
470,59,23.78,1403.02,One year,No,Credit card,1,5.0
523,39,52.72,2056.08,One year,Fiber optic,Bank transfer,1,
2744,7,106.65,746.55,Two year,Fiber optic,Mailed check,1,1.0
2158,43,40.57,1744.51,Month-to-month,DSL,Bank transfer,0,3.0
2784,43,43.84,1885.12,Month-to-month,Fiber optic,Mailed check,1,2.0
468,67,78.74,5275.58,One year,Fiber optic,Bank transfer,0,4.0
632,47,28.52,1340.44,Month-to-month,No,Mailed check,1,1.0
1498,53,129.14,6844.42,One year,No,Electronic check,0,3.0
2643,9,127.24,1145.16,Month-to-month,Fiber optic,Mailed check,1,1.0
1039,24,76.11,1826.64,Month-to-month,Fiber optic,Bank transfer,1,4.0
681,41,27.38,853.87,Month-to-month,Fiber optic,Bank transfer,1,1.0
1501,28,122.06,3417.68,One year,Fiber optic,Electronic check,1,1.0
756,18,70.69,1272.42,Month-to-month,Fiber optic,Credit card,0,
2614,21,123.02,2583.42,Month-to-month,DSL,Credit card,1,1.0
790,14,123.53,986.6,Month-to-month,DSL,Bank transfer,1,3.0
537,54,30.41,1080.33,One year,Fiber optic,Mailed check,1,5.0
1700,25,117.16,2929.0,Month-to-month,DSL,Credit card,1,3.0
2844,8,134.78,1078.24,Month-to-month,DSL,Credit card,0,5.0
2694,58,89.67,5200.86,One year,Fiber optic,Mailed check,1,4.0
992,30,132.28,3968.4,One year,No,Mailed check,0,4.0
661,48,22.94,1101.12,Two year,Fiber optic,Credit card,1,
1737,11,49.68,546.48,Month-to-month,No,Bank transfer,1,3.0
1196,2,59.31,118.62,Month-to-month,Fiber optic,Bank transfer,1,3.0
1952,38,94.25,3581.5,Month-to-month,No,Electronic check,1,
414,27,23.1,623.7,Two year,No,Electronic check,0,4.0
2646,32,48.45,1550.4,Month-to-month,DSL,Electronic check,1,1.0
649,29,43.67,1266.43,One year,Fiber optic,Mailed check,1,2.0
1084,43,101.03,4344.29,Month-to-month,No,Mailed check,1,4.0
1550,5,130.64,653.2,Two year,DSL,Bank transfer,0,3.0
2943,17,98.65,1677.05,Month-to-month,DSL,Mailed check,1,3.0
1081,10,32.82,328.2,One year,No,Electronic check,1,2.0
318,18,46.3,833.4,One year,No,Electronic check,0,3.0
1935,39,34.52,1346.28,Month-to-month,No,Credit card,1,
1496,51,86.66,4419.66,Month-to-month,Fiber optic,Electronic check,1,5.0
1686,67,147.83,9904.61,Month-to-month,Fiber optic,Mailed check,1,1.0
1539,42,25.05,1052.1,One year,Fiber optic,Bank transfer,0,5.0
871,1,113.55,113.55,Two year,No,Electronic check,1,3.0
426,53,120.21,6371.13,Month-to-month,No,Credit card,0,
1349,21,137.23,2881.83,One year,DSL,Electronic check,1,3.0
2303,64,40.37,2583.68,Two year,DSL,Bank transfer,0,4.0
1467,1,75.81,75.81,Month-to-month,No,Mailed check,1,3.0
2586,50,38.31,1915.5,One year,DSL,Credit card,1,1.0
424,8,26.22,209.76,Two year,Fiber optic,Mailed check,1,3.0
2065,8,120.14,961.12,Month-to-month,No,Mailed check,1,3.0
2238,2,58.86,117.72,Month-to-month,Fiber optic,Mailed check,1,3.0
80,15,32.16,482.4,One year,Fiber optic,Mailed check,0,4.0
607,14,90.09,1261.26,Month-to-month,Fiber optic,Mailed check,0,3.0
969,16,110.41,1766.56,Month-to-month,Fiber optic,Bank transfer,1,
1985,10,21.07,210.7,One year,DSL,Credit card,1,2.0
1598,2,145.93,291.86,Month-to-month,DSL,Electronic check,1,4.0
1873,18,125.44,2257.92,Month-to-month,No,Bank transfer,1,4.0
2608,35,110.41,3864.35,One year,DSL,Bank transfer,1,2.0
508,27,44.62,1204.74,Two year,No,Electronic check,1,2.0
291,28,81.97,2295.16,Month-to-month,No,Mailed check,1,1.0
825,24,144.42,3466.08,Two year,Fiber optic,Mailed check,1,
412,46,134.7,6196.2,Month-to-month,Fiber optic,Electronic check,1,1.0
1672,37,131.41,4862.17,Two year,Fiber optic,Mailed check,1,1.0
2330,52,84.59,4398.68,Month-to-month,No,Bank transfer,1,1.0
1082,27,103.92,2805.84,Month-to-month,Fiber optic,Mailed check,1,
371,71,85.27,6054.17,One year,DSL,Mailed check,0,
515,1,106.76,106.76,Month-to-month,DSL,Electronic check,1,4.0
2319,11,136.62,1502.82,Month-to-month,Fiber optic,Credit card,1,1.0
62,3,59.7,179.1,Month-to-month,DSL,Mailed check,1,2.0
124,2,29.59,59.18,Month-to-month,DSL,Bank transfer,1,1.0
1840,1,92.48,92.48,Month-to-month,Fiber optic,Mailed check,1,1.0
662,46,140.45,6460.7,Month-to-month,Fiber optic,Electronic check,1,
2212,46,98.53,4532.38,Month-to-month,No,Electronic check,1,
2664,38,101.14,3843.32,Two year,No,Mailed check,0,
2442,16,57.99,927.84,One year,Fiber optic,Bank transfer,1,2.0
786,67,31.13,2085.71,Month-to-month,Fiber optic,Mailed check,0,5.0
481,2,21.38,35.94,Two year,DSL,Credit card,0,
1240,29,36.95,1071.55,One year,DSL,Electronic check,1,1.0
2681,33,95.26,3143.58,One year,Fiber optic,Electronic check,1,5.0
2022,1,88.57,88.57,Month-to-month,No,Bank transfer,1,3.0
2012,53,65.53,3473.09,One year,No,Credit card,0,4.0
1380,13,69.91,908.83,One year,No,Credit card,1,1.0
1378,67,20.79,1392.93,One year,Fiber optic,Mailed check,1,1.0
1046,51,59.16,3017.16,Month-to-month,No,Mailed check,0,
154,9,49.68,447.12,Month-to-month,No,Electronic check,1,3.0
1936,3,67.85,203.55,Month-to-month,DSL,Credit card,1,5.0
245,14,141.52,1981.28,Month-to-month,DSL,Mailed check,1,1.0
2725,28,96.24,2694.72,One year,No,Credit card,0,4.0
648,4,76.73,306.92,Month-to-month,Fiber optic,Bank transfer,1,2.0
841,40,66.6,2664.0,Month-to-month,No,Mailed check,1,
1238,3,127.84,383.52,Two year,Fiber optic,Mailed check,1,
2454,8,107.38,859.04,Month-to-month,No,Electronic check,1,5.0
2629,14,86.37,1209.18,Two year,Fiber optic,Credit card,0,5.0
2316,33,92.56,3054.48,One year,DSL,Credit card,1,1.0
2828,24,116.88,2805.12,Month-to-month,No,Bank transfer,1,5.0
2053,67,144.16,9658.72,Month-to-month,DSL,Electronic check,1,4.0
1573,57,32.38,1845.66,Month-to-month,Fiber optic,Mailed check,1,2.0
678,57,105.04,5987.28,One year,Fiber optic,Mailed check,1,
1689,42,141.43,5940.06,Month-to-month,No,Credit card,0,
1224,59,63.8,3764.2,Month-to-month,DSL,Credit card,1,5.0
2704,40,61.92,2476.8,Month-to-month,Fiber optic,Mailed check,1,2.0
1877,4,50.46,201.84,One year,DSL,Electronic check,1,5.0
2734,36,100.24,3608.64,Month-to-month,Fiber optic,Electronic check,1,
610,34,78.73,2676.82,Month-to-month,Fiber optic,Electronic check,1,
1577,71,58.55,4157.05,Month-to-month,No,Mailed check,1,2.0
1525,58,94.07,5456.06,Two year,Fiber optic,Credit card,1,2.0
1658,70,90.08,6305.6,Two year,No,Mailed check,1,1.0
2648,71,40.52,2876.92,Month-to-month,Fiber optic,Credit card,1,1.0
2890,36,37.81,1361.16,One year,Fiber optic,Credit card,0,3.0
788,63,42.73,2691.99,Month-to-month,No,Mailed check,1,2.0
2156,47,32.94,1548.18,Month-to-month,Fiber optic,Electronic check,1,2.0
1832,32,133.38,4268.16,One year,No,Electronic check,0,5.0
2133,68,134.67,9157.56,Two year,No,Mailed check,0,
98,7,99.92,699.44,Two year,Fiber optic,Bank transfer,1,2.0
1714,19,42.67,810.73,One year,No,Electronic check,1,1.0
275,16,36.87,589.92,Month-to-month,DSL,Electronic check,1,1.0
1398,69,100.74,6951.06,Month-to-month,DSL,Credit card,0,4.0
1285,46,91.14,4192.44,Month-to-month,No,Mailed check,0,4.0
1633,40,83.12,3324.8,Two year,Fiber optic,Credit card,0,
921,50,135.81,6790.5,Two year,Fiber optic,Electronic check,0,4.0
1115,48,81.81,3926.88,Month-to-month,Fiber optic,Credit card,1,1.0
1827,10,97.81,978.1,One year,Fiber optic,Bank transfer,1,3.0
169,49,44.22,2166.78,Month-to-month,Fiber optic,Mailed check,1,3.0
36,70,79.83,5588.1,Month-to-month,DSL,Electronic check,1,3.0
2039,38,110.66,4205.08,Month-to-month,Fiber optic,Electronic check,1,4.0
2551,2,52.08,104.16,Month-to-month,Fiber optic,Bank transfer,1,3.0
1043,47,70.55,3315.85,One year,DSL,Credit card,1,1.0
857,19,61.4,1166.6,Month-to-month,No,Mailed check,1,2.0
1020,12,26.47,317.64,One year,DSL,Electronic check,1,3.0
18,48,73.63,3534.24,Two year,Fiber optic,Credit card,1,3.0
659,42,96.32,4045.44,Two year,DSL,Credit card,0,5.0
1468,39,21.94,855.66,Month-to-month,Fiber optic,Bank transfer,1,4.0
755,6,111.04,666.24,One year,No,Electronic check,1,3.0
1538,71,133.72,9494.12,Month-to-month,No,Electronic check,1,
101,28,77.46,2168.88,One year,Fiber optic,Electronic check,1,3.0
487,27,147.64,3986.28,Month-to-month,DSL,Mailed check,1,4.0
196,28,86.75,2429.0,Two year,No,Electronic check,1,
2590,8,76.63,613.04,Month-to-month,Fiber optic,Electronic check,1,4.0
2451,24,109.78,2634.72,Month-to-month,Fiber optic,Mailed check,1,1.0
913,11,31.78,349.58,Two year,No,Bank transfer,0,5.0
1713,48,82.26,3948.48,Month-to-month,No,Electronic check,0,
2403,51,77.02,5488.43,One year,Fiber optic,Electronic check,0,4.0
1629,29,86.27,2501.83,One year,Fiber optic,Credit card,1,2.0
2727,43,33.51,1440.93,Month-to-month,DSL,Mailed check,0,3.0
589,0,137.7,,Month-to-month,No,Mailed check,1,2.0
286,0,129.78,,Two year,No,Bank transfer,0,4.0
2740,12,24.76,297.12,Month-to-month,Fiber optic,Electronic check,1,4.0
1392,4,85.3,341.2,Two year,DSL,Electronic check,1,2.0
2860,32,33.74,1079.68,Month-to-month,DSL,Credit card,1,3.0
762,63,93.93,5917.59,One year,DSL,Bank transfer,0,
1783,36,48.17,1734.12,Month-to-month,Fiber optic,Mailed check,1,2.0
2248,57,96.26,5486.82,Month-to-month,Fiber optic,Mailed check,1,1.0
1849,7,57.43,402.01,Two year,Fiber optic,Electronic check,0,3.0
54,44,38.05,1674.2,Month-to-month,No,Credit card,0,5.0
148,48,60.81,2918.88,One year,Fiber optic,Credit card,1,4.0
686,23,33.79,777.17,Month-to-month,DSL,Electronic check,1,5.0
2298,37,35.16,1300.92,Two year,Fiber optic,Credit card,1,2.0
1007,21,95.09,1996.89,One year,Fiber optic,Credit card,1,2.0
182,39,80.67,3146.13,Two year,No,Electronic check,1,3.0
5,32,44.87,1435.84,One year,No,Electronic check,1,
2552,71,110.65,7856.15,Month-to-month,Fiber optic,Mailed check,1,
2178,67,21.41,1434.47,Month-to-month,Fiber optic,Electronic check,1,3.0
2028,23,59.43,1366.89,Month-to-month,Fiber optic,Bank transfer,1,4.0
47,50,22.23,1111.5,Month-to-month,No,Credit card,1,2.0
57,49,125.37,6143.13,Two year,DSL,Mailed check,0,5.0
1594,31,75.48,2339.88,Month-to-month,Fiber optic,Credit card,1,5.0
2341,31,134.65,4174.15,Two year,No,Bank transfer,1,2.0
936,56,74.71,4183.76,Month-to-month,DSL,Electronic check,0,
1477,66,140.46,10459.76,One year,Fiber optic,Mailed check,0,3.0
1144,69,127.92,8826.48,Two year,DSL,Bank transfer,1,5.0
2624,62,121.96,7561.52,Month-to-month,No,Electronic check,1,
550,67,82.73,5542.91,Month-to-month,No,Electronic check,0,4.0
1540,17,62.91,1069.47,Month-to-month,Fiber optic,Credit card,1,
337,39,72.36,1924.67,Month-to-month,Fiber optic,Credit card,1,3.0
647,23,107.1,2463.3,Two year,DSL,Mailed check,0,
1918,24,113.47,2723.28,Month-to-month,DSL,Credit card,1,1.0
509,28,148.24,4150.72,Two year,No,Electronic check,1,
2847,60,140.33,8419.8,Month-to-month,No,Mailed check,1,2.0
1996,43,141.75,6095.25,One year,Fiber optic,Electronic check,1,3.0
2710,31,40.59,1258.29,Month-to-month,Fiber optic,Mailed check,1,1.0
2501,13,97.55,1268.15,Month-to-month,DSL,Credit card,0,3.0
60,11,127.65,1404.15,Month-to-month,DSL,Electronic check,0,5.0
2445,14,146.6,2052.4,Month-to-month,No,Bank transfer,0,3.0
108,6,138.99,833.94,One year,Fiber optic,Credit card,1,4.0
554,70,32.11,2247.7,Month-to-month,No,Electronic check,1,5.0
1790,15,107.47,1612.05,One year,DSL,Mailed check,0,3.0
2656,57,143.08,8155.56,Month-to-month,Fiber optic,Electronic check,1,5.0
2616,33,133.22,4396.26,Month-to-month,No,Bank transfer,1,3.0
655,25,127.91,3197.75,One year,Fiber optic,Bank transfer,1,5.0
2255,7,81.14,567.98,Two year,Fiber optic,Credit card,1,
293,40,63.49,2539.6,Month-to-month,DSL,Mailed check,1,3.0
2996,27,36.69,990.63,Month-to-month,Fiber optic,Credit card,1,4.0
1661,4,81.45,325.8,Two year,Fiber optic,Electronic check,1,4.0
1961,24,55.3,1327.2,Two year,DSL,Credit card,1,1.0
45,55,113.01,6215.55,Two year,Fiber optic,Bank transfer,1,
2352,59,79.76,4705.84,Month-to-month,DSL,Mailed check,1,4.0
924,17,24.55,417.35,One year,Fiber optic,Mailed check,1,2.0
800,33,35.08,1157.64,Two year,Fiber optic,Mailed check,1,1.0
289,21,131.94,2770.74,Month-to-month,Fiber optic,Electronic check,0,5.0
524,15,70.44,1056.6,Two year,Fiber optic,Electronic check,1,2.0
2148,9,126.26,1136.34,Month-to-month,Fiber optic,Electronic check,0,
2652,53,109.14,5784.42,Month-to-month,DSL,Bank transfer,1,
1944,22,137.78,3031.16,Month-to-month,Fiber optic,Bank transfer,1,3.0
679,39,66.4,2139.17,Month-to-month,No,Credit card,1,4.0
7,25,147.04,3676.0,Month-to-month,Fiber optic,Bank transfer,1,3.0
944,32,91.7,2934.4,Two year,Fiber optic,Bank transfer,0,5.0
1754,62,81.47,5051.14,One year,DSL,Bank transfer,1,1.0
1814,19,91.49,1738.31,Month-to-month,Fiber optic,Electronic check,1,1.0
1300,31,114.35,3544.85,Month-to-month,Fiber optic,Bank transfer,1,1.0
2623,28,69.23,1938.44,Month-to-month,No,Electronic check,1,1.0
2026,26,116.05,3017.3,Month-to-month,Fiber optic,Mailed check,1,2.0
2472,60,127.24,7634.4,Two year,DSL,Credit card,0,5.0
1411,26,29.18,758.68,Two year,No,Bank transfer,0,4.0
1001,12,129.97,1559.64,Month-to-month,Fiber optic,Credit card,1,1.0
1347,2,22.67,45.34,Two year,Fiber optic,Electronic check,1,3.0
2691,16,146.48,2343.68,One year,No,Electronic check,1,
250,6,40.81,244.86,Month-to-month,No,Mailed check,1,
1118,38,96.56,3669.28,Month-to-month,No,Credit card,1,
1869,13,79.07,1027.91,One year,No,Bank transfer,0,5.0
2205,55,91.46,5030.3,Month-to-month,DSL,Electronic check,0,4.0
867,21,77.58,1629.18,One year,DSL,Mailed check,0,5.0
359,60,39.56,2373.6,Month-to-month,Fiber optic,Mailed check,1,4.0
1692,52,41.34,2149.68,One year,DSL,Electronic check,1,1.0
319,35,105.64,3697.4,Two year,Fiber optic,Mailed check,1,2.0
2010,66,88.83,5862.78,Two year,DSL,Bank transfer,0,4.0
436,45,144.16,6487.2,Two year,Fiber optic,Mailed check,1,5.0
2757,0,91.51,,Month-to-month,DSL,Electronic check,0,3.0
1932,39,69.6,2714.4,Month-to-month,No,Electronic check,1,4.0
2207,48,149.75,7188.0,Month-to-month,DSL,Electronic check,1,5.0
2587,12,74.58,894.96,Month-to-month,DSL,Electronic check,1,3.0
2750,62,103.62,6424.44,Two year,DSL,Bank transfer,1,1.0
2672,50,39.14,1957.0,Two year,No,Electronic check,0,
641,12,106.77,1281.24,One year,DSL,Electronic check,1,4.0
2239,43,100.96,4341.28,Month-to-month,Fiber optic,Mailed check,1,1.0
1322,11,122.55,1348.05,Month-to-month,No,Bank transfer,0,
2904,65,23.25,1511.25,Month-to-month,No,Bank transfer,1,5.0
2384,17,145.13,2467.21,Month-to-month,DSL,Bank transfer,1,1.0
2544,18,135.49,2438.82,Two year,DSL,Credit card,0,3.0
86,0,116.87,,Month-to-month,Fiber optic,Mailed check,0,3.0
1933,53,73.61,3901.33,Month-to-month,No,Mailed check,0,4.0
932,14,108.01,1512.14,Month-to-month,No,Credit card,1,2.0
1752,16,80.52,1288.32,Month-to-month,Fiber optic,Mailed check,0,4.0
900,52,147.04,7646.08,Month-to-month,No,Bank transfer,1,
828,59,104.71,6177.89,Two year,Fiber optic,Bank transfer,1,2.0
711,52,96.41,5013.32,Month-to-month,DSL,Electronic check,1,4.0
1558,56,20.37,1140.72,One year,DSL,Mailed check,1,2.0
1296,70,140.29,9820.3,One year,No,Electronic check,1,
2308,35,57.36,2007.6,Month-to-month,No,Electronic check,1,1.0
2591,58,122.82,7123.56,Month-to-month,Fiber optic,Mailed check,1,2.0
2931,69,49.5,3415.5,Month-to-month,Fiber optic,Mailed check,1,3.0
1352,28,82.0,2296.0,Two year,No,Bank transfer,1,2.0
1130,6,34.94,209.64,Month-to-month,Fiber optic,Bank transfer,1,5.0
866,48,98.72,4738.56,Month-to-month,Fiber optic,Mailed check,1,2.0
1312,69,81.14,5598.66,Month-to-month,No,Electronic check,1,3.0
1057,56,23.02,1289.12,Month-to-month,DSL,Bank transfer,1,1.0
1991,2,123.76,247.52,Month-to-month,DSL,Credit card,0,4.0
2866,38,67.69,2572.22,One year,Fiber optic,Bank transfer,1,4.0
165,23,29.62,681.26,One year,DSL,Credit card,0,3.0
975,45,85.48,3846.6,One year,Fiber optic,Electronic check,1,1.0
2692,12,56.04,672.48,One year,No,Mailed check,0,5.0
1527,49,28.65,1403.85,Month-to-month,No,Electronic check,1,
1047,71,26.35,1870.85,Two year,Fiber optic,Mailed check,0,5.0
2371,24,60.69,1456.56,One year,DSL,Mailed check,1,2.0
