order_id,client_age,gender,procedure_price,procedure_duration,master_rating,return_visits,satisfaction_score
ID0474,44.0,female,1995.81,45,low,4,8.0
ID0395,65.0,male,1593.79,37,low,8,8.0
ID0481,44.0,male,2543.89,68,med,9,10.0
ID0045,46.0,female,2855.25,67,med,4,4.0
ID0351,40.0,male,2617.71,69,top,10,9.0
ID0673,58.0,female,2324.78,58,top,9,9.0
ID0524,63.0,male,1575.75,29,top,10,9.0
ID0491,38.0,female,2771.52,65,low,4,8.0
ID0766,23.0,male,3099.62,98,low,5,6.0
ID0759,40.0,male,1810.41,47,top,8,9.0
ID0198,30.0,male,755.94,24,low,8,7.0
ID0096,26.0,female,1706.05,37,low,4,6.0
ID0483,22.0,female,2065.22,55,low,5,7.0
ID0094,55.0,male,3030.46,80,low,9,10.0
ID0346,35.0,female,2207.48,53,low,3,7.0
ID0107,45.0,male,2880.1,84,low,5,8.0
ID0234,49.0,female,,40,med,7,8.0
ID0544,32.0,female,1633.88,47,top,9,8.0
ID0595,,female,1925.28,56,top,8,9.0
ID0702,49.0,female,2084.83,58,med,6,5.0
ID0330,30.0,female,2980.69,86,top,10,8.0
ID0926,38.0,female,1373.08,28,top,7,9.0
ID0027,27.0,female,2562.34,60,med,7,9.0
ID0044,27.0,female,1369.27,32,top,7,8.0
ID0519,35.0,female,1600.82,39,low,1,8.0
ID0835,63.0,female,2135.28,58,med,3,5.0
ID0134,18.0,male,1308.33,31,med,9,8.0
ID0225,35.0,female,1298.52,27,low,3,6.0
ID0492,21.0,female,1575.89,36,top,10,10.0
ID0106,37.0,female,2684.21,63,top,7,
ID0754,27.0,female,2582.25,73,med,8,9.0
ID0959,50.0,male,2410.18,47,med,7,10.0
ID0934,26.0,female,1607.11,36,top,11,10.0
ID0837,24.0,female,1125.23,15,med,5,8.0
ID0895,28.0,female,3126.35,85,med,6,7.0
ID0979,45.0,female,1799.81,53,top,7,5.0
ID0310,31.0,female,825.65,16,med,8,6.0
ID0658,36.0,female,1401.57,28,top,7,8.0
ID0713,33.0,female,2842.08,72,med,11,7.0
ID0308,34.0,male,2366.49,58,top,11,6.0
ID0501,30.0,female,1277.43,19,low,4,5.0
ID0069,45.0,male,1933.26,37,med,6,6.0
ID0627,49.0,male,1854.15,40,top,12,10.0
ID0746,50.0,female,3236.84,84,med,3,6.0
ID0219,31.0,male,1837.2,53,top,9,8.0
ID0416,31.0,female,1077.04,20,med,5,6.0
ID0386,45.0,female,2275.33,60,top,6,8.0
ID0136,38.0,female,2531.93,65,top,5,10.0
ID0005,42.0,female,2883.09,86,low,2,7.0
ID0891,46.0,male,2589.88,68,top,7,9.0
ID0723,32.0,male,1875.76,44,med,14,7.0
ID0289,35.0,female,1513.07,45,med,7,7.0
ID0994,24.0,female,1939.44,48,top,8,8.0
ID0482,37.0,female,2842.3,79,top,10,10.0
ID0801,43.0,female,3050.11,100,low,5,6.0
ID0623,39.0,female,2815.13,71,med,8,7.0
ID0049,29.0,female,1982.3,41,med,8,7.0
ID0956,21.0,female,2863.1,70,low,2,9.0
ID0824,27.0,female,2332.45,69,med,5,8.0
ID0321,29.0,male,2495.99,74,low,4,8.0
ID0127,26.0,male,1905.6,43,med,9,7.0
ID0654,30.0,female,1701.52,28,low,7,7.0
ID0471,58.0,male,3975.59,116,top,10,10.0
ID0087,35.0,female,2385.74,66,top,6,6.0
ID0123,44.0,female,2056.17,55,low,7,6.0
ID0807,37.0,male,2726.9,63,top,11,8.0
ID0336,37.0,male,47094.19221422542,80,med,4,9.0
ID0119,23.0,female,2050.36,53,top,9,9.0
ID0874,35.0,female,1911.63,50,top,11,8.0
ID0960,30.0,female,2208.87,64,low,2,5.0
ID0916,21.0,female,1864.25,48,low,2,8.0
ID0885,31.0,female,3511.93,96,med,8,6.0
ID0952,31.0,female,2204.15,58,med,9,8.0
ID0752,35.0,female,3385.12,93,low,4,9.0
ID0889,37.0,female,1575.75,36,low,4,8.0
ID0800,44.0,male,1464.4,15,low,4,8.0
ID0146,26.0,female,1315.24,27,low,6,5.0
ID0543,60.0,male,1833.37,39,med,5,8.0
ID0949,50.0,female,2837.67,82,med,4,7.0
ID0066,34.0,female,1654.87,40,low,2,2.0
ID0365,,female,2978.87,84,top,7,10.0
ID0852,25.0,female,2205.76,62,med,9,10.0
ID0708,18.0,female,2143.76,44,top,7,9.0
ID0300,28.0,female,2601.99,79,med,9,5.0
ID0022,32.0,female,2564.36,66,med,7,8.0
ID0834,30.0,female,1774.69,46,low,3,7.0
ID0707,39.0,male,2989.92,79,top,9,10.0
ID0414,18.0,female,860.13,26,low,3,8.0
ID0345,,female,2481.05,64,med,6,8.0
ID0320,41.0,female,2772.3,87,med,2,4.0
ID0070,32.0,male,2171.45,65,low,5,6.0
ID0172,19.0,female,,88,low,6,7.0
ID0285,20.0,female,1654.78,44,med,6,10.0
ID0048,27.0,female,,97,top,9,10.0
ID0775,35.0,female,2375.09,60,low,4,5.0
ID0869,50.0,male,1775.62,44,low,6,6.0
ID0010,36.0,female,2084.3,46,low,0,6.0
ID0590,30.0,female,2019.29,54,low,5,8.0
ID0770,30.0,female,2215.04,59,low,4,6.0
ID0178,52.0,male,1773.05,46,low,5,7.0
ID0687,35.0,female,2203.49,54,med,5,8.0
ID0821,45.0,female,1846.61,40,med,5,5.0
ID0118,46.0,male,2771.83,77,med,10,10.0
ID0170,18.0,male,1007.73,16,med,11,7.0
ID0190,33.0,female,1463.39,40,med,7,8.0
ID0969,42.0,female,2295.77,71,med,5,6.0
ID0255,47.0,female,1732.73,49,low,5,5.0
ID0971,58.0,male,2333.8,58,med,8,7.0
ID0564,41.0,female,,72,low,3,5.0
ID0722,23.0,female,1839.26,40,med,6,7.0
ID0928,30.0,female,2053.28,55,med,3,9.0
ID0901,,female,2746.04,75,med,6,6.0
ID0661,56.0,male,2330.52,53,top,8,10.0
ID0996,36.0,male,2711.19,76,top,14,10.0
ID0040,26.0,female,1929.21,40,low,3,6.0
ID0594,53.0,male,1431.98,29,top,10,8.0
ID0326,,female,3084.52,93,med,8,7.0
ID0145,18.0,female,3423.6,94,low,5,10.0
ID0981,30.0,male,2719.77,67,med,6,9.0
ID0731,46.0,male,2549.67,74,top,7,10.0
ID0778,43.0,male,2432.08,68,top,12,6.0
ID0264,30.0,male,1748.72,47,low,4,7.0
ID0375,42.0,female,2040.63,43,med,5,7.0
ID0575,43.0,male,2789.56,82,med,10,7.0
ID0397,31.0,female,1912.82,61,med,7,4.0
ID0607,47.0,female,2013.5,48,low,4,8.0
ID0437,39.0,male,2342.46,63,low,8,8.0
ID0674,37.0,female,,81,low,2,6.0
ID0588,27.0,female,2188.92,51,low,1,9.0
ID0652,,female,2570.04,65,top,5,10.0
ID0349,35.0,female,1989.75,53,low,5,5.0
ID0497,35.0,female,1898.93,57,low,6,7.0
ID0103,42.0,female,2290.26,58,med,6,6.0
ID0739,50.0,female,2847.94,80,top,9,9.0
ID0783,40.0,female,2635.03,73,top,10,6.0
ID0864,21.0,female,1339.61,32,top,5,6.0
ID0459,48.0,female,3348.87,79,top,15,8.0
ID0545,18.0,female,2122.77,57,med,5,9.0
ID0206,47.0,female,1331.87,39,med,8,7.0
ID0457,26.0,female,1057.69,15,med,8,6.0
ID0447,32.0,male,2430.12,75,med,12,7.0
ID0643,23.0,female,950.21,23,med,8,10.0
ID0712,26.0,female,3078.97,90,top,9,10.0
ID0929,22.0,female,2678.36,67,med,5,7.0
ID0109,43.0,female,1893.07,42,low,1,
ID0112,34.0,male,2761.28,85,med,5,6.0
ID0016,31.0,female,3789.16,106,low,3,5.0
ID0913,18.0,female,2223.11,60,med,7,10.0
ID0797,43.0,female,2346.43,62,top,10,9.0
ID0154,71.0,male,2572.21,77,top,9,10.0
ID0924,36.0,female,1840.63,40,top,7,10.0
ID0472,18.0,female,2434.37,57,top,9,7.0
ID0441,32.0,male,3098.44,73,med,8,8.0
ID0476,48.0,female,2638.33,69,med,8,6.0
ID0555,28.0,female,2468.77,60,low,4,6.0
ID0364,37.0,male,2627.45,67,top,9,7.0
ID0604,39.0,female,2493.73,65,med,6,9.0
ID0753,30.0,female,1680.62,51,low,8,7.0
ID0526,32.0,female,3159.67,87,top,12,7.0
ID0598,25.0,female,2289.94,56,low,0,7.0
ID0890,31.0,male,2868.71,77,low,6,5.0
ID0205,20.0,female,2148.31,53,med,8,6.0
ID0649,29.0,female,2385.33,70,low,3,6.0
ID0529,50.0,male,2460.33,64,top,13,10.0
ID0842,41.0,female,1945.94,52,low,5,6.0
ID0307,34.0,female,1855.07,42,low,5,4.0
ID0566,18.0,female,,67,low,5,7.0
ID0560,48.0,male,2335.9,58,top,8,10.0
ID0577,41.0,male,1744.16,45,low,6,5.0
ID0449,54.0,female,1843.1,53,med,8,7.0
ID0769,65.0,male,2634.97,60,med,9,9.0
ID0378,55.0,male,2005.37,48,med,7,9.0
ID0884,45.0,male,2982.68,83,med,7,8.0
ID0489,39.0,male,,47,low,5,6.0
ID0033,50.0,male,1862.22,51,med,9,9.0
ID0637,,female,1239.86,22,low,7,5.0
ID0302,28.0,female,1233.72,29,top,9,7.0
ID0779,29.0,female,2898.98,74,top,7,8.0
ID0390,51.0,male,2292.11,66,top,10,10.0
ID0987,30.0,female,2569.4,64,top,9,10.0
ID0541,37.0,female,1042.11,22,top,8,7.0
ID0640,37.0,female,3468.19,97,low,3,7.0
ID0047,26.0,female,2454.36,60,med,7,8.0
ID0071,26.0,female,2413.09,64,med,2,10.0
ID0131,34.0,female,,87,med,8,8.0
ID0635,41.0,female,1754.3,49,med,9,7.0
ID0615,22.0,male,2441.74,65,med,10,6.0
ID0911,27.0,female,2025.67,48,top,14,6.0
ID0857,36.0,female,1870.97,48,low,3,4.0
ID0409,22.0,female,1367.16,18,med,7,7.0
ID0063,35.0,female,,69,med,6,8.0
ID0353,36.0,female,2361.35,63,low,6,7.0
ID0772,23.0,female,1330.22,41,top,9,7.0
ID0657,48.0,female,2548.61,70,med,2,3.0
ID0773,23.0,female,1946.81,48,med,8,6.0
ID0530,36.0,male,1914.01,54,low,6,10.0
ID0477,36.0,female,2335.74,63,med,5,9.0
ID0617,22.0,female,831.74,15,med,5,9.0
ID0862,31.0,female,,53,med,8,8.0
ID0228,47.0,male,1707.45,42,med,6,10.0
ID0850,36.0,female,2702.78,67,low,2,5.0
ID0777,40.0,male,1512.45,26,med,7,9.0
ID0727,54.0,male,2830.71,74,med,6,10.0
ID0768,39.0,female,1814.1,46,med,8,8.0
ID0059,29.0,female,1867.15,65,low,3,8.0
ID0670,35.0,female,2270.04,63,top,7,9.0
ID0619,40.0,male,1914.27,50,top,10,8.0
ID0918,47.0,male,2896.17,77,med,8,7.0
ID0083,49.0,female,3459.54,104,top,7,6.0
ID0573,39.0,female,2485.12,64,low,5,7.0
ID0815,21.0,female,2812.34,76,med,6,7.0
ID0210,34.0,female,2626.19,66,top,8,8.0
ID0523,43.0,male,2343.61,61,med,11,7.0
ID0984,43.0,male,1430.89,38,med,8,8.0
ID0193,25.0,female,2099.34,48,low,4,4.0
ID0686,48.0,female,2804.48,75,low,8,5.0
ID0371,18.0,female,2273.08,68,med,7,10.0
ID0603,25.0,female,2093.14,53,med,5,9.0
ID0967,37.0,female,1900.48,48,low,4,6.0
ID0179,36.0,female,49066.194160478146,20,top,11,7.0
ID0373,42.0,male,1606.9,34,low,8,4.0
ID0095,49.0,female,2483.73,77,low,2,6.0
ID0426,24.0,female,1940.87,60,top,11,7.0
ID0236,25.0,female,1891.89,42,med,9,8.0
ID0865,36.0,female,2293.35,64,top,6,8.0
ID0794,36.0,female,1001.55,25,top,6,8.0
ID0644,21.0,female,1306.96,15,top,11,10.0
ID0374,48.0,female,2648.04,70,top,7,8.0
ID0760,31.0,female,1177.49,26,med,6,9.0
ID0079,38.0,female,2940.99,67,top,5,7.0
ID0584,43.0,female,2354.6,60,med,6,7.0
ID0581,23.0,male,2583.63,50,med,9,6.0
ID0678,45.0,male,2256.46,64,low,3,7.0
ID0930,43.0,female,2479.76,73,med,7,8.0
ID0533,37.0,female,2436.22,64,low,4,5.0
ID0964,22.0,female,2007.84,39,top,7,9.0
ID0919,33.0,female,3034.86,93,top,8,9.0
ID0026,34.0,female,3827.01,100,low,6,6.0
ID0796,57.0,male,1420.76,38,low,6,9.0
ID0369,23.0,female,3048.01,78,top,5,10.0
ID0912,40.0,female,2667.71,77,low,4,6.0
ID0721,26.0,female,2511.76,62,low,5,5.0
ID0080,38.0,male,2236.94,60,med,8,9.0
ID0506,49.0,male,3306.89,93,top,10,10.0
ID0314,52.0,male,2525.58,73,low,3,7.0
ID0500,19.0,male,2068.26,52,top,12,7.0
ID0613,33.0,female,2586.23,58,top,5,10.0
ID0088,26.0,male,3133.68,83,top,10,8.0
ID0520,25.0,female,2807.83,71,top,8,7.0
ID0985,23.0,female,3314.75,94,med,5,10.0
ID0511,56.0,female,2431.0,61,low,7,3.0
ID0620,21.0,female,3135.89,81,low,3,4.0
ID0218,26.0,female,2269.98,60,med,4,7.0
ID0133,47.0,female,2292.25,60,low,6,8.0
ID0212,29.0,female,1971.94,63,top,8,6.0
ID0747,47.0,female,1682.06,38,med,7,8.0
ID0625,24.0,female,1537.97,38,low,6,5.0
ID0636,32.0,female,2714.94,75,low,8,6.0
ID0745,45.0,male,1970.32,57,med,7,8.0
ID0974,37.0,female,2915.45,87,med,2,7.0
ID0186,37.0,male,1924.39,43,med,8,6.0
ID0793,,female,2737.79,64,med,8,8.0
ID0061,38.0,female,2265.94,67,low,3,5.0
ID0335,35.0,female,2685.06,64,med,10,7.0
ID0226,40.0,male,1270.91,35,low,4,6.0
ID0965,,female,3773.98,98,med,5,3.0
ID0905,43.0,male,2540.12,65,low,6,4.0
ID0256,44.0,male,3017.57,80,med,7,7.0
ID0324,25.0,male,1861.62,48,med,9,7.0
ID0099,43.0,female,2137.47,61,med,7,7.0
ID0202,22.0,female,820.95,18,med,7,8.0
ID0935,31.0,female,3075.7,81,med,8,9.0
ID0281,18.0,female,2819.76,71,med,5,8.0
ID0538,25.0,female,3233.16,92,top,9,8.0
ID0448,41.0,female,2335.42,46,low,3,5.0
ID0251,18.0,female,2729.6,69,low,2,8.0
ID0903,35.0,female,3149.8,81,top,10,9.0
ID0498,47.0,male,2070.17,51,top,11,10.0
ID0464,59.0,male,2519.82,64,med,4,10.0
ID0822,25.0,female,2551.45,81,med,7,9.0
ID0435,43.0,male,1576.71,31,top,9,10.0
ID0624,41.0,female,2353.85,64,low,5,5.0
ID0709,18.0,male,2503.17,64,low,5,6.0
ID0749,20.0,female,2898.16,80,med,6,6.0
ID0844,50.0,female,,87,med,9,5.0
ID0946,26.0,female,2720.68,69,med,10,7.0
ID0790,39.0,female,2242.65,49,med,8,7.0
ID0400,33.0,female,2875.69,70,top,6,10.0
ID0892,43.0,male,2294.67,62,med,4,9.0
ID0147,35.0,female,1159.29,24,med,4,7.0
ID0839,43.0,female,2788.92,72,low,4,4.0
ID0253,38.0,female,2359.88,69,top,11,10.0
ID0941,29.0,female,2605.31,66,top,11,9.0
ID0442,38.0,female,2001.06,49,low,5,6.0
ID0075,31.0,male,2755.32,71,low,10,7.0
ID0961,30.0,female,2019.26,53,top,10,10.0
ID0111,37.0,female,2259.99,65,top,7,8.0
ID0036,34.0,female,2468.39,56,med,3,9.0
ID0064,33.0,female,2162.8,50,med,7,9.0
ID0184,31.0,female,2226.0,66,top,6,9.0
ID0943,57.0,male,1459.43,42,med,6,9.0
ID0683,25.0,male,2164.52,42,low,3,6.0
ID0054,31.0,female,2321.01,71,med,5,6.0
ID0860,61.0,male,2978.59,83,low,6,5.0
ID0882,18.0,female,1132.74,28,top,9,8.0
ID0144,43.0,female,,79,med,8,6.0
ID0551,39.0,male,,95,low,3,9.0
ID0664,35.0,female,1169.6,23,med,6,7.0
ID0513,30.0,male,1917.28,52,med,8,7.0
ID0692,30.0,female,1342.83,37,top,8,10.0
ID0376,35.0,male,3747.98,103,med,5,6.0
ID0318,41.0,female,1847.16,52,top,9,8.0
ID0494,44.0,female,,71,top,6,8.0
ID0101,26.0,female,2401.17,56,low,3,9.0
ID0606,45.0,female,1749.87,43,top,8,5.0
ID0612,52.0,female,1846.4,51,low,6,5.0
ID0743,22.0,female,2198.06,53,med,5,7.0
ID0567,41.0,female,2398.51,66,low,7,7.0
ID0240,40.0,male,2324.08,52,med,10,6.0
ID0339,42.0,female,2282.28,58,low,1,4.0
ID0879,43.0,female,2729.9,65,med,5,5.0
ID0461,29.0,female,2012.66,55,low,4,4.0
ID0257,33.0,male,1553.95,31,med,8,9.0
ID0325,59.0,male,2006.45,57,low,4,4.0
ID0585,30.0,female,2155.07,69,med,2,9.0
ID0019,32.0,female,2991.62,82,med,5,5.0
ID0774,29.0,male,1192.75,19,top,8,10.0
ID0829,29.0,female,2781.25,76,low,1,9.0
ID0467,24.0,male,2287.44,65,med,6,7.0
ID0085,28.0,female,1793.36,45,low,1,5.0
ID0189,18.0,female,2349.91,60,low,8,7.0
ID0244,49.0,female,2028.34,52,med,3,7.0
ID0823,24.0,female,2902.3,78,top,9,6.0
ID0751,28.0,male,,78,top,9,9.0
ID0199,44.0,male,2726.53,69,med,6,7.0
ID0735,43.0,male,1496.74,25,med,6,10.0
ID0008,31.0,female,2292.35,61,top,10,10.0
ID0478,18.0,male,1426.68,39,top,9,9.0
ID0215,29.0,female,1950.02,51,low,6,3.0
ID0540,45.0,male,2484.67,55,low,7,9.0
ID0725,30.0,male,1397.47,32,med,7,
ID0811,34.0,male,1127.49,31,low,9,4.0
ID0537,28.0,female,1089.15,29,top,12,7.0
ID0631,58.0,male,848.81,15,low,4,8.0
ID0846,27.0,female,3235.2,85,med,5,9.0
ID0469,51.0,male,2244.22,51,low,8,7.0
ID0138,27.0,female,2916.26,80,low,3,7.0
ID0848,32.0,female,,41,low,5,6.0
ID0149,,female,,71,med,8,6.0
ID0032,46.0,female,1627.27,33,low,1,7.0
ID0323,30.0,female,2630.76,67,top,7,10.0
ID0354,29.0,female,2909.31,73,top,7,7.0
ID0204,31.0,female,2235.82,56,low,4,5.0
ID0018,32.0,female,3048.38,85,low,1,8.0
ID0077,36.0,female,1914.68,43,low,3,8.0
ID0602,53.0,female,3355.02,96,med,10,9.0
ID0309,30.0,female,2505.16,70,top,6,10.0
ID0750,33.0,female,1836.45,48,low,6,6.0
ID0920,44.0,male,,43,med,11,10.0
ID0809,32.0,female,2034.64,51,low,5,8.0
ID0135,34.0,female,1608.51,33,med,4,6.0
ID0430,19.0,female,1159.7,15,med,6,8.0
ID0562,36.0,female,2671.53,77,med,7,8.0
ID0499,45.0,male,2380.16,62,med,9,7.0
ID0480,37.0,female,3311.87,89,low,4,7.0
ID0024,27.0,female,1746.81,43,low,3,6.0
ID0388,37.0,male,1778.86,47,top,10,10.0
ID0795,26.0,male,1744.88,49,top,11,8.0
ID0438,65.0,male,2255.32,58,med,7,9.0
ID0698,23.0,female,988.04,19,med,2,7.0
ID0591,49.0,female,2119.88,55,med,8,6.0
ID0845,,female,1401.92,38,med,6,5.0
ID0348,31.0,female,2209.48,54,med,4,5.0
ID0222,32.0,female,1289.93,40,low,4,7.0
ID0164,50.0,female,1953.77,45,med,4,7.0
ID0002,21.0,male,1676.72,43,low,5,4.0
ID0703,28.0,female,2525.79,67,top,5,
ID0565,18.0,female,3367.28,92,med,4,8.0
ID0982,32.0,female,,49,low,7,8.0
ID0894,27.0,male,2783.09,66,low,4,7.0
ID0004,37.0,female,,102,low,4,9.0
ID0789,37.0,male,3230.51,101,med,4,10.0
ID0781,24.0,female,1909.01,53,top,7,6.0
ID0843,56.0,male,714.18,15,med,11,8.0
ID0046,,female,922.53,20,low,3,4.0
ID0401,35.0,male,3163.16,88,low,5,7.0
ID0685,37.0,female,1964.2,54,top,8,10.0
ID0557,28.0,female,3140.72,85,med,7,8.0
ID0693,32.0,female,2984.83,78,top,7,9.0
ID0391,34.0,female,1383.85,22,med,7,9.0
ID0428,18.0,female,1606.57,32,low,5,7.0
ID0347,24.0,female,1592.84,27,top,13,9.0
ID0454,23.0,female,,77,top,8,6.0
ID0427,44.0,male,2503.98,69,med,7,8.0
ID0124,33.0,female,2731.43,81,low,1,6.0
ID0765,36.0,female,2475.56,63,low,3,6.0
ID0419,45.0,male,2290.21,60,low,7,8.0
ID0355,41.0,female,,90,top,6,6.0
ID0641,42.0,female,1898.6,50,top,6,6.0
ID0463,21.0,female,1956.63,46,low,3,8.0
ID0992,25.0,female,3224.62,89,top,9,9.0
ID0465,19.0,female,2411.55,75,med,7,10.0
ID0394,24.0,female,2365.75,52,top,5,10.0
ID0382,18.0,female,2949.7,82,low,4,7.0
ID0295,27.0,female,2662.02,63,low,7,7.0
ID0626,18.0,female,1729.89,40,med,6,10.0
ID0053,43.0,male,1995.06,47,top,6,10.0
ID0396,20.0,male,2278.31,66,med,10,9.0
ID0653,37.0,male,2491.59,60,low,5,
ID0384,58.0,male,1786.25,45,top,8,8.0
ID0704,34.0,female,3401.78,101,low,8,7.0
ID0130,,female,2251.39,49,med,6,9.0
ID0151,50.0,female,2832.3,81,low,5,5.0
ID0259,,female,2078.6,52,top,7,7.0
ID0188,,female,2221.11,64,med,8,8.0
ID0808,23.0,female,2078.46,47,med,9,8.0
ID0422,33.0,female,,92,top,10,9.0
ID0896,44.0,female,2975.33,85,low,2,6.0
ID0404,22.0,female,2870.41,87,low,4,5.0
ID0271,29.0,male,1894.11,50,top,12,7.0
ID0856,22.0,female,2441.41,64,top,9,6.0
ID0863,36.0,female,2587.99,70,low,4,7.0
ID0900,36.0,female,1963.34,50,top,8,10.0
ID0424,32.0,female,1675.25,42,low,2,5.0
ID0432,24.0,female,1853.15,50,low,3,8.0
ID0786,32.0,female,2462.38,65,top,11,8.0
ID0462,63.0,male,2594.78,59,top,8,10.0
ID0108,37.0,female,2452.59,72,low,6,6.0
ID0243,53.0,female,1524.1,36,top,10,7.0
ID0216,49.0,female,2427.07,65,med,5,7.0
ID0651,40.0,female,2623.17,68,top,6,8.0
ID0908,34.0,female,1793.14,59,top,10,10.0
ID0897,21.0,male,2499.96,70,low,5,3.0
ID0589,23.0,female,2944.72,75,top,7,8.0
ID0840,33.0,female,2373.51,65,low,1,5.0
ID0503,28.0,male,2385.61,53,top,9,10.0
ID0280,50.0,male,1634.15,32,top,8,6.0
ID0980,48.0,female,1685.12,39,low,1,5.0
ID0582,33.0,female,1873.17,47,low,2,7.0
ID0413,35.0,female,2298.42,44,med,5,7.0
ID0792,34.0,female,1782.22,46,top,10,7.0
ID0039,42.0,female,,74,top,12,4.0
ID0906,45.0,male,1806.55,43,med,10,7.0
ID0268,46.0,female,3493.27,92,low,4,7.0
ID0968,33.0,female,2436.95,67,low,5,7.0
ID0150,25.0,male,2612.12,69,top,9,5.0
ID0758,25.0,male,2415.65,69,med,5,7.0
ID0317,18.0,female,1105.2,21,med,3,6.0
ID0826,33.0,female,1866.87,42,low,3,6.0
ID0380,18.0,female,2200.86,58,low,4,7.0
ID0841,18.0,female,734.81,21,med,6,10.0
ID0669,32.0,female,1367.34,29,med,8,8.0
ID0621,37.0,female,1272.62,28,low,3,6.0
ID0224,38.0,female,1561.4,32,low,7,7.0
ID0403,56.0,male,1225.92,39,low,6,8.0
ID0999,25.0,female,1758.53,55,low,3,8.0
ID0646,52.0,female,2225.03,59,med,9,6.0
ID0062,33.0,male,1806.53,57,med,7,7.0
ID0639,37.0,female,2730.86,71,low,0,4.0
ID0174,31.0,female,2160.79,48,top,8,8.0
ID0113,38.0,male,2083.42,56,med,10,7.0
ID0187,50.0,female,2856.84,76,low,4,3.0
ID0098,31.0,female,2404.56,58,top,6,7.0
ID0716,36.0,male,1100.77,30,low,3,7.0
ID0328,25.0,female,3388.9,92,med,4,6.0
ID0866,30.0,female,2459.88,71,low,6,4.0
ID0647,39.0,male,2804.24,83,top,7,10.0
ID0810,54.0,male,2150.2,46,med,6,8.0
ID0042,54.0,female,0.0,83,top,8,8.0
ID0714,,female,2914.75,70,med,6,6.0
ID0546,22.0,female,2818.48,79,med,6,6.0
ID0732,24.0,female,2028.21,56,med,7,7.0
ID0246,32.0,female,2100.87,59,top,7,7.0
ID0383,53.0,male,2490.62,63,top,9,10.0
ID0814,50.0,male,2460.12,70,med,10,6.0
ID0512,41.0,male,2976.9,82,med,6,8.0
ID0402,41.0,female,2707.92,71,med,6,7.0
ID0628,28.0,female,2836.34,62,top,9,7.0
ID0818,32.0,female,2497.79,76,top,4,7.0
ID0966,42.0,male,1434.79,23,med,5,5.0
ID0656,29.0,female,1698.79,47,low,2,6.0
ID0528,42.0,female,2320.05,58,top,7,6.0
ID0235,37.0,male,2157.19,68,low,7,9.0
ID0211,49.0,male,1629.87,42,top,9,10.0
ID0737,18.0,male,2547.7,67,low,7,7.0
ID0001,39.0,male,,47,top,8,9.0
ID0266,40.0,male,3007.12,79,med,8,5.0
ID0466,32.0,female,1275.92,27,med,7,10.0
ID0100,57.0,female,2468.55,61,top,9,
ID0907,34.0,female,2637.36,71,top,6,8.0
ID0229,26.0,female,2280.82,70,top,8,9.0
ID0700,39.0,female,1645.9,48,top,11,10.0
