days_since_last_visit,visits_last_30d,avg_session_len_min,classes_attended,trainer_assigned,promo_used_last_90d,contract_type,days_to_expiry,feedback_score,missed_classes
1,6,57.34519154608566,4,0,1,4,41,2.9755522901629963,2
5,5,53.539141290405894,6,1,0,5,3,4.4905129038922125,2
16,2,75.51743512670949,1,0,1,4,43,4.3075290578427525,1
26,2,32.398270129324956,3,0,2,5,58,3.3648128940639963,1
5,8,53.948672636431915,6,1,0,2,7,2.5459346384850656,2
24,5,56.27352893275604,2,0,1,5,46,3.749914062564587,3
16,6,62.68210729776314,5,0,1,5,52,3.765048765753955,1
6,3,73.52407795347798,0,0,1,3,54,3.9977661898820305,3
31,2,63.094638289005786,1,0,1,2,18,3.5757185004650918,0
10,6,56.73671383301504,3,0,1,3,46,3.771690011288369,2
15,3,72.53422435369598,2,0,2,5,39,5.0,2
10,4,64.26190003331686,1,0,2,3,39,3.728165481231153,2
9,8,61.94081848057131,5,0,0,4,50,4.995675908457048,1
28,1,84.0247960493636,1,0,1,1,8,3.0976956238006457,1
5,4,74.53533583943482,2,0,1,4,29,4.824046541202715,2
0,7,99.81648511966193,8,0,0,4,55,4.039593460260748,1
31,5,30.695800446183426,6,1,1,5,16,3.0674286783537594,0
26,3,79.41807370724258,2,0,0,4,39,4.278908227606905,4
6,4,82.28180034913146,3,1,0,5,43,3.907027219654947,1
3,9,49.7700538255512,4,1,1,4,58,3.899178311774364,2
16,3,58.257934915162885,1,0,0,1,14,3.03299511125841,1
1,7,61.29660767478428,2,0,1,3,3,3.6772728816050475,2
8,9,53.26800619337928,5,0,1,4,5,4.856853143643949,1
1,8,54.890732770008356,3,0,0,5,60,3.954134828395342,0
13,4,109.59184479815995,2,0,0,5,15,3.307601222117419,0
0,7,60.031945518081336,1,0,1,3,25,3.8642282142811935,0
14,4,68.84826997694593,5,0,1,3,56,4.4884243292369606,1
16,2,65.6186854631773,0,0,0,3,36,3.7190910412780758,4
10,6,61.40185133648057,5,1,0,5,22,4.753693385033201,0
2,6,43.13987545711123,1,0,2,5,12,5.0,1
1,7,74.47086905755772,6,1,1,5,46,3.711897891062625,0
5,7,59.289861437280805,6,1,1,4,16,4.206253091538611,0
9,6,36.6472739904647,3,0,2,4,56,3.6474982750959253,2
15,4,62.42435012608233,5,0,0,4,53,3.694105711610788,1
0,8,64.61857810271785,2,0,1,3,26,3.692929941819564,0
18,7,77.40455108678725,3,1,2,4,51,4.419221961313212,0
18,2,39.778795931750864,1,0,1,1,21,2.8015814386543525,7
8,5,58.25989382722855,8,0,0,2,36,3.705209107137724,1
6,6,49.786857372556376,2,0,2,5,18,2.938752214349879,2
27,4,47.51066391677206,1,0,1,5,38,4.764233979721096,0
23,10,63.375064494642686,12,1,0,4,34,3.9491588988161963,1
61,1,53.32267456992089,1,0,0,4,12,4.03541608501103,2
6,6,67.55696261626122,5,1,1,4,13,4.981484407680027,0
35,2,46.606492183939416,0,1,1,5,47,4.6720673748222445,1
1,10,57.87272658398025,11,1,0,5,30,3.9631682673304467,1
7,4,64.29966061556169,1,0,1,5,44,3.605673693111765,2
9,4,66.27619471806698,3,0,1,5,1,4.052682725058035,0
8,6,62.813299918082556,1,0,1,3,45,3.6635665348658852,0
14,3,59.36742784215588,0,0,0,3,51,4.436966514732653,2
2,12,51.331601626565735,8,1,2,4,38,4.279918478087692,0
30,3,83.82164238300538,2,0,1,3,36,3.330533337311618,3
12,6,63.2118186732408,3,0,2,5,13,4.473262508676587,1
35,2,42.98221280998847,2,0,0,3,8,3.8827701022402477,4
0,12,30.538200597660065,6,0,0,2,9,3.21030901132617,3
14,8,77.9534645045473,5,1,1,4,6,4.412620915231461,1
7,2,40.66991140645504,2,0,1,5,27,5.0,1
10,5,62.78834655013456,5,0,1,3,45,4.134580144961687,1
20,5,42.085357925135256,6,0,1,4,24,4.58158340234838,0
3,5,62.15165890817104,1,0,0,4,45,4.808208472902597,2
3,8,64.68165484188975,3,0,0,2,56,4.644170512639986,2
18,1,72.00976463170508,1,1,2,4,27,2.674082970644652,4
11,6,58.62751513630344,1,0,2,5,1,2.7240070823123155,3
3,3,58.68553537264534,3,0,1,4,16,4.341925821317735,2
9,13,43.98562426429823,5,1,1,5,58,5.0,0
9,11,56.17802410198594,7,1,0,3,51,3.5538409813865695,0
17,3,60.57235482005101,2,0,0,2,3,4.661528209684259,0
0,19,60.6184573549664,15,1,0,5,12,4.111052559366223,0
13,3,57.47852369317164,2,1,1,4,17,3.8938446215941394,0
13,3,43.88364280270843,2,0,1,4,2,3.646149517392668,1
20,2,40.564433277282205,2,0,1,5,50,5.0,0
33,10,82.61325086388709,8,1,0,3,36,3.5514781349623474,0
8,5,68.82804542073424,1,0,0,5,32,3.6326322360978565,1
6,8,95.38185030191087,1,0,1,2,40,4.455628702926512,1
1,4,66.01957355588475,2,0,1,3,23,3.6171846854430783,0
6,3,69.98903104758472,3,0,1,2,7,4.887181324670431,2
1,7,46.41785496388859,2,0,1,5,34,4.042968980506842,2
24,6,82.02968609075613,7,1,1,3,1,4.655594552194665,1
24,2,32.2978256138735,0,0,0,5,32,4.007435763187169,2
8,7,69.68365946812071,2,1,1,5,11,4.361548095430312,0
4,6,61.66875830177647,2,1,2,4,21,4.821007769151547,0
1,7,81.88594156209365,5,0,0,4,12,4.483753259186604,1
28,2,58.0379799010966,4,1,1,4,9,4.85078180214788,0
31,4,60.576348736666944,4,0,2,3,16,3.845150520316717,1
4,8,31.02181108108747,5,0,1,4,42,4.1341247545053355,3
14,5,31.61020035252128,2,0,1,4,4,2.4358222905116755,6
4,6,65.54017173142832,6,1,0,5,56,3.4836026486953404,0
3,6,77.08115595461793,1,0,1,5,58,3.5624408604195557,1
0,9,64.34652690964553,4,0,2,5,8,3.466603327332056,3
12,2,57.97346476246965,2,0,0,5,12,4.270140273764657,0
2,8,64.61979748308522,3,0,0,4,59,3.434313339269479,1
0,13,62.97458749247493,11,1,2,5,51,4.3522262040375495,1
1,15,69.93550459448899,15,1,3,5,22,4.471083430238224,0
5,6,45.567073974065536,5,0,0,4,29,3.9820080331078915,2
16,2,63.83896922303012,1,1,0,5,42,4.055786295035984,1
3,8,44.82471621542025,4,0,2,4,54,4.309916809146035,0
32,4,76.54962768852417,4,0,0,4,3,5.0,1
5,3,43.58141166024616,7,0,1,5,20,3.852996375521857,3
6,3,56.63002606797177,2,0,1,5,42,4.015812562184739,0
3,3,68.95951338096376,3,0,0,3,8,2.856173142455306,3
4,4,40.19326515584183,4,0,1,5,6,3.2876954430997163,0
1,9,47.78390194893791,4,0,0,4,15,4.773617764956317,3
5,3,93.5257218060144,3,0,1,3,22,4.220929494685504,4
29,6,74.11070165983436,7,0,2,5,57,4.540653463519845,2
17,5,65.01959133374999,0,0,0,4,22,4.700679499706962,3
31,1,69.67900295565148,2,0,0,5,30,4.010368943358226,3
1,8,34.43485408281457,3,0,0,3,56,5.0,0
9,3,69.4269252291213,0,1,0,4,4,3.2644559956940347,2
3,17,89.32090435522845,11,1,1,4,5,3.5240499583855613,0
19,5,52.591594525782476,4,1,0,4,50,4.079236979602007,0
52,3,87.35392740550941,3,1,0,3,0,4.082233814086964,2
25,10,53.06083986146842,4,0,1,5,58,4.448821194588706,1
0,12,61.820903017943095,8,1,0,4,47,5.0,0
5,6,39.91024707306997,1,0,0,5,27,4.088393463651572,1
0,11,66.53684107685683,5,0,1,4,17,4.804203635438494,0
0,14,62.236205159343356,11,1,0,4,23,4.251282453539575,1
1,8,56.66237119314591,7,1,1,4,12,3.6322063676032794,1
4,10,47.086787108536484,6,0,0,4,32,4.504491456404234,0
5,10,63.37850380174549,5,0,0,4,9,4.596835066151727,1
7,9,50.584178983201326,4,0,2,4,6,4.172948391357946,1
7,4,76.59606595916878,3,0,2,4,36,3.796819738437978,3
22,6,63.889531684198325,2,0,1,2,31,3.5669616937292994,3
2,5,52.71370935066537,1,0,0,4,44,3.4014015833376945,2
2,7,75.00626229191617,7,1,1,3,21,4.519518445864922,1
14,2,53.53666631813177,0,0,1,2,15,3.043598951403032,5
12,11,74.58835816165241,6,1,2,5,23,3.7465504327022794,0
2,10,61.76677358355465,6,0,1,4,51,4.308778353929404,1
28,3,31.382235015732547,3,0,0,5,53,3.516852558534505,0
5,3,68.81993090382122,3,0,1,4,13,3.9663925339140786,1
6,12,59.20375882173886,9,1,2,5,10,5.0,0
8,6,68.32401529675431,4,0,0,4,18,3.9970758626655836,2
5,4,63.235605609294204,2,0,0,5,22,3.1800322792564626,1
12,4,63.333431403053886,3,0,0,4,33,3.817147931736481,3
7,11,60.63957196997243,7,1,0,5,59,3.3337161787889213,0
4,4,103.23993766082263,0,0,0,5,39,2.417573490807696,2
35,3,67.88826951887813,1,0,0,5,12,3.1925862474029394,2
5,6,33.476985014935266,3,0,1,3,38,5.0,0
17,6,37.382467517673035,5,0,1,3,43,3.5379207117989453,2
6,5,66.49999509344418,2,0,0,3,27,5.0,0
8,8,51.413580674789436,6,1,2,3,39,4.686238575463384,1
4,7,76.10168961181466,6,1,2,5,15,5.0,1
20,4,64.84374835242748,3,0,1,1,49,2.520478167680593,2
20,3,65.65107341741694,1,0,0,2,50,4.198529065961792,4
0,9,46.19447371480747,5,1,1,3,27,3.911216314570987,2
0,5,68.61764747682898,1,0,0,3,3,4.569530010432558,1
38,3,62.583377514970955,4,0,0,3,27,3.821391937604066,1
32,4,45.95377371583838,3,1,1,5,56,4.13406948423691,0
10,6,46.0140331503503,3,0,1,4,59,4.003517280680818,1
10,1,84.84228713196502,0,0,1,1,11,3.8010542898560193,3
25,4,68.52018771451162,4,1,0,4,15,4.926235514480527,0
2,6,54.262791857422584,3,0,0,4,52,4.225132195946464,2
15,2,51.81342443326248,4,0,0,2,53,3.863883668981544,1
9,12,60.15700152268394,5,1,1,5,48,3.6271542009337407,1
20,4,64.32712277113507,3,1,0,5,35,3.826314352557052,0
0,10,39.78388747182717,5,1,1,5,19,3.561993770453611,1
13,4,58.12727630604962,5,1,0,5,25,3.5480269885736075,1
12,5,30.0,0,0,1,1,55,4.39684394199695,3
27,3,59.63081258680667,2,1,0,5,55,4.246985075631449,1
16,6,81.85821723325938,2,1,0,5,25,5.0,0
31,4,40.48203086193067,4,0,1,5,21,3.815648782049716,1
32,2,57.90165458065219,1,0,1,1,55,3.9834076498974924,1
7,8,56.74160316571134,7,1,1,5,8,4.089147256497378,2
2,16,43.13536995537514,15,1,2,5,4,4.442278332952373,0
14,5,53.20453445315975,3,1,0,5,16,3.135460897740548,2
31,3,40.180088794881456,1,0,1,2,48,3.743317902672893,1
1,11,45.48336613054844,8,1,3,5,33,4.7282780955313175,1
12,6,62.45580568315732,8,1,2,5,1,4.433731343674172,0
1,11,65.81105610260974,5,1,0,5,52,4.302080612617138,2
0,5,55.06111831403173,3,0,2,4,54,4.824399391052236,2
17,4,80.1290979545833,6,1,2,5,6,4.959884996064735,1
17,2,70.97324932557473,0,0,0,4,35,4.355565550327045,2
13,5,89.51815993622981,2,0,1,4,12,5.0,1
29,2,58.223018497417314,3,1,1,4,19,4.228406014543981,3
1,11,44.266581958721126,10,0,0,5,29,4.01885427209316,0
1,7,57.16726644727653,7,0,0,2,29,3.8209809453505335,1
29,4,90.23610031146384,2,0,1,4,10,4.205512058132956,2
10,6,44.96257344094624,8,1,0,5,30,3.8396637975063497,0
4,5,72.73924062004514,0,0,2,5,57,4.651688727307271,1
20,3,44.55785596413582,1,0,1,4,2,2.3580324370281653,3
33,6,54.50515526811967,4,0,0,5,58,3.8090971248443544,0
17,0,52.494382953050916,0,0,0,5,1,3.9798282733103587,4
23,5,46.240069425950466,3,1,0,2,47,4.034371583080061,1
4,3,71.69429315610444,1,0,1,4,2,3.0413736498975146,2
5,6,81.59425436042095,5,0,1,1,55,4.100692221238331,2
29,4,73.53482481028841,1,0,0,3,14,4.361106690613276,3
14,4,60.39969043628685,1,0,0,4,16,2.9152571190193264,2
4,9,37.70059041838234,2,0,2,5,47,5.0,0
11,2,61.947974415187076,2,1,0,5,51,3.416869868476927,2
17,1,69.3804559843738,1,0,1,2,6,3.3813053787822605,5
3,6,58.621045791528495,4,0,1,2,47,3.3153824566705468,1
15,5,79.92333932577912,6,0,0,4,4,4.185767378304888,0
0,15,57.04988234698104,9,0,0,4,33,5.0,2
5,11,51.00852218569548,8,0,0,3,32,4.04333782647763,1
16,5,74.80711516134197,3,1,2,5,53,4.081598821268803,1
2,7,73.00117512948114,4,0,1,5,60,3.7086548317673294,0
3,8,82.47189865053295,6,1,2,4,44,3.4367266002673107,1
31,4,67.83758078438309,1,1,1,5,15,4.208616452155574,0
16,6,47.93071376273718,3,0,1,4,36,3.64774503398158,2
10,3,30.0,0,0,1,5,2,4.240298001482024,0
3,2,34.159738665857546,1,0,1,4,58,3.1987929515688127,4
6,8,51.28948062798745,3,0,1,2,58,4.107982908930933,2
12,2,79.89774750992615,0,0,1,5,46,2.5806335266789793,1
2,13,78.35484505873985,12,1,2,4,47,3.0304009404809857,1
9,7,53.934011577069114,6,0,2,5,42,4.8515367396333025,0
7,5,72.20300836392718,1,0,1,4,56,3.8297751948604506,1
9,8,39.35694933937676,4,1,0,1,50,3.675430354614138,1
1,12,78.61959918918305,12,1,1,2,49,3.9804003241623316,0
1,13,55.78965845125458,10,1,2,4,20,4.366797952489896,1
49,0,69.70825915037003,0,1,1,5,40,3.214318572793328,5
58,2,68.07113419359499,0,0,0,3,7,3.256728254001746,1
8,6,66.9789719919565,2,1,2,5,21,4.275250860148389,2
23,3,41.99642464989218,3,0,3,5,50,3.8877052204551776,0
15,5,51.193841787108184,4,0,0,5,53,2.8856802880558474,2
1,10,75.81993321931506,6,0,1,4,4,4.127266618622682,1
5,2,67.61574742478298,0,1,0,5,16,3.2116783113040412,3
5,9,43.78476403304732,7,0,0,4,36,3.876971000193611,0
13,7,65.64222689054876,4,0,1,4,13,3.6852914739566036,0
13,6,44.30517707917652,3,0,1,3,38,4.586646086093987,2
38,2,41.02759306229216,2,0,1,3,40,3.4256280002491386,6
23,2,50.69133660744993,1,0,0,1,27,3.880624652205785,0
29,4,58.5551992900785,3,1,1,4,30,3.949159045389759,2
33,3,41.967204879049035,0,0,1,3,16,3.57104342208194,2
24,1,73.37230934796719,0,0,1,3,34,3.2899184205068672,1
6,3,49.359519619857515,2,0,0,5,39,3.9984742578012034,0
3,8,59.518810316104386,3,0,0,3,21,3.263934430216928,2
12,1,66.72335983683212,2,0,0,3,44,3.8773607191581214,4
17,0,87.69410803445541,0,0,1,3,47,4.046328185590326,2
7,6,68.9011944591362,4,1,1,5,52,3.3170853085476932,1
28,2,55.431596101465935,1,0,0,2,28,3.1541396341352237,2
48,2,45.197040097854796,2,1,0,4,9,3.543060202091349,2
12,4,41.22184912227827,1,0,0,4,17,4.737127996534983,3
9,9,45.27521618782498,6,0,2,5,34,4.23732499943795,0
27,4,57.757859396005976,1,0,1,4,43,4.29905773420345,1
0,11,78.0865098379953,12,0,1,5,15,2.7997346501223483,1
2,7,58.06950420843173,4,0,1,1,49,3.6626082916356433,0
28,4,51.597832525486666,2,0,0,3,48,4.158148374313999,1
19,4,61.71068006650439,3,0,3,3,6,4.908004335217012,0
8,4,84.72422932573573,3,0,1,2,29,4.540602956512391,4
32,1,48.67774787242564,0,0,1,3,18,3.9626672007116452,3
6,2,66.87201860884954,1,0,0,3,54,4.886388334709511,1
15,6,54.55961310493966,3,1,0,4,59,5.0,0
15,8,63.01543355400326,9,1,0,5,22,4.0739127647304025,1
3,4,69.5803794835461,6,1,0,4,7,4.569879177994564,0
5,8,80.61140494178412,6,0,2,5,16,3.2431947674694586,2
37,3,59.16992880731192,0,0,0,3,20,4.816099915829341,2
3,15,77.01011477824962,7,0,0,3,25,4.882193766122289,1
2,9,66.0795373102966,5,0,0,4,56,4.598160858909322,1
9,5,40.553849757659926,0,0,2,1,27,3.9497151772057024,2
1,9,57.06328645303988,10,1,1,2,58,4.9065448737378645,0
33,5,94.86677102926592,6,1,2,4,38,4.649237652270752,1
1,4,58.28535802300486,3,0,2,5,32,3.4640763231290377,1
14,5,55.28029358779614,3,0,0,5,39,4.174030924972338,1
6,7,55.2427103440957,8,1,1,2,18,4.459652895661458,0
24,4,53.01737274145518,1,0,3,5,28,3.9368590225687474,0
13,0,39.35550898044953,0,1,1,5,19,4.446159117801452,3
7,4,30.0,3,0,0,4,19,5.0,0
61,2,48.39687660754234,2,1,1,5,9,4.685039846157553,1
1,8,54.72802154559767,7,0,0,4,11,3.4860756105449493,2
12,3,68.25861655222052,3,0,1,3,55,3.915777077266013,2
68,4,54.45007669065231,2,0,0,4,32,3.504711861922542,3
17,2,61.901553434246935,1,0,1,4,55,3.8255694138131573,0
20,4,42.272879027565075,1,0,1,4,24,3.7626325912416605,1
0,8,34.27880136827621,4,0,2,4,24,4.8027599064479825,1
0,9,65.21517366792662,10,1,0,5,52,3.503247264729331,2
0,6,69.76542884032689,6,1,1,5,3,3.553412855661291,2
71,3,74.73034005061729,2,0,2,5,3,4.002467272773934,2
58,2,78.06519265177744,1,0,1,5,8,4.89315002758555,3
6,6,79.77858718188301,4,1,0,5,14,4.86019922975021,2
5,2,70.30740016226916,0,0,0,2,55,3.776141294064851,6
2,11,51.4411130558906,13,1,2,3,25,3.8154211959909974,0
5,10,64.24368119853861,7,1,2,4,14,4.356327221719639,2
6,9,55.17358057315357,5,0,1,5,25,4.889075003328431,0
20,4,56.55140785918771,1,0,1,4,27,4.824567207497785,1
30,7,65.87655830174884,5,0,2,5,6,4.843407009789677,2
20,2,78.98729364409695,1,0,1,2,31,4.935088058813561,0
15,4,71.40843564941599,0,0,1,3,11,4.555538780093238,1
21,13,59.87688428986425,9,1,2,5,34,4.6906504113760095,0
20,2,61.477799640161344,0,0,2,3,51,4.26525841987687,2
9,5,65.40445029070973,2,0,1,4,31,5.0,0
6,11,77.67428066964953,8,1,2,3,8,4.6444228860219114,1
4,8,87.84353068393733,5,0,0,3,13,3.702635014067532,1
17,5,61.94895270723494,2,0,3,5,12,4.537240889276126,1
48,0,56.94785277589252,0,0,0,4,55,3.1234346602787775,2
13,9,62.36704134244081,10,1,1,4,59,4.288464083433911,0
36,2,75.47294814657913,3,1,0,2,43,3.2883363772357947,1
0,12,67.81536869575555,6,1,2,5,32,5.0,0
23,2,52.33352650406886,2,0,0,4,31,4.347280016462501,0
28,0,60.186187585154684,0,0,1,4,18,4.255920497410035,3
14,3,60.24032862118567,1,0,0,5,29,4.157433440791399,3
40,6,50.298016941915776,3,0,1,3,15,3.8712796746871168,1
13,7,50.12178847421789,5,1,0,5,11,4.246287235892822,3
4,8,41.86532762663387,3,0,1,4,9,4.148311645133522,2
3,7,57.78736256384357,7,1,1,4,1,4.346501176207574,0
12,7,76.96674255792314,3,1,1,3,17,4.466774865444431,0
35,2,75.28319229750319,1,0,0,5,12,3.698792539451523,3
1,7,59.606628516608126,9,1,0,5,28,3.7444445585280177,3
13,5,86.75393475430076,5,0,0,3,23,3.7284483901604895,1
22,4,59.17951122351813,3,0,0,3,37,4.187362146730909,2
1,13,54.88886598822086,15,1,1,5,11,3.98504065926955,1
1,9,30.34005703643431,6,0,0,5,59,4.382742827760121,2
6,9,62.98813822197004,4,1,2,5,59,4.593453592873237,1
4,4,46.56551289877038,2,1,0,4,28,5.0,0
3,9,81.7812556255173,8,0,0,5,21,4.627059485717143,1
3,12,41.34983585334041,8,0,0,4,35,3.4403682390889294,0
2,9,79.3060520498457,5,0,1,3,0,4.372809514276825,2
14,5,63.07227447924583,1,0,0,4,42,4.8542666945496915,0
17,5,42.764536863398135,4,0,1,5,54,3.894817684701417,0
18,3,35.08150522326217,2,0,1,3,39,4.420468673722707,2
11,4,65.55348655377713,1,1,1,4,33,4.4147841119028355,0
45,1,46.186391138917536,1,0,1,5,33,4.745299324427303,1
31,2,30.435377904775645,1,0,1,4,47,4.224503025841671,2
47,3,89.6911296012545,2,0,0,5,32,3.921985143971035,2
7,6,73.02564121654164,1,0,2,5,3,4.196592077952643,1
31,8,42.829341310092616,5,1,1,2,37,4.342344875914749,0
21,4,32.739741735356915,0,0,1,5,29,4.008404042565176,1
6,8,77.7133529381895,6,0,1,5,52,3.4668676457207797,1
1,4,39.68417071899164,1,0,1,5,51,4.188405355968119,2
17,6,61.488896594654776,5,0,2,5,45,4.7499010481524175,1
2,7,66.56428887049191,7,0,2,5,19,4.620115202788004,1
5,4,52.282993490493446,2,0,2,2,25,4.001066298646016,1
10,1,45.3446302289378,2,0,1,3,14,3.491895906910651,4
17,3,31.471794288374166,2,0,2,5,6,3.6009681711258676,1
39,2,66.88535961480765,3,0,1,3,6,3.2720029759654627,2
13,3,95.70807138293218,2,0,1,2,49,4.180444543283269,3
16,3,42.78905783919278,3,0,0,5,28,4.141558002418502,1
5,6,45.04854000200451,6,1,0,5,22,3.978448939645594,0
17,5,71.62546161877154,2,0,2,3,33,4.446323467098301,0
8,6,30.0,5,0,2,5,19,4.570826337808299,0
29,5,48.15497873706802,4,0,1,5,14,5.0,2
7,5,63.13443443370366,4,0,0,4,32,2.964403457492744,3
9,6,47.58172453733253,4,1,2,5,52,3.4270878067276,2
8,13,67.77481265507141,13,1,1,4,16,5.0,0
24,3,66.1999708864556,2,0,2,3,19,3.8484233338073173,2
46,4,61.72313453159554,3,0,1,3,60,4.2757530353512925,0
5,9,48.6156531744347,8,1,3,4,56,4.419735837652027,1
9,8,53.846265236362356,2,0,1,4,12,3.702841868884504,1
18,2,61.17496188606253,0,1,0,5,43,3.4699832615816013,2
33,5,63.1602929079944,4,0,1,5,23,3.5019126499077347,2
10,11,81.40739083867365,10,1,0,4,53,3.353704523311073,0
1,12,70.93882111592016,13,1,1,5,46,4.780567158482203,2
6,8,54.35109907184686,5,0,1,3,55,4.940197245324907,3
11,8,68.4711421007387,9,0,1,2,36,3.8319039510927473,0
8,3,69.4906058666237,2,0,1,5,6,4.787681763709936,2
3,12,50.16246114077387,10,1,1,2,7,4.66117583593933,0
0,11,68.72832654771473,4,0,2,3,22,5.0,0
17,3,56.46588756987933,0,0,1,5,13,4.153842892243446,2
73,0,64.37914934948766,0,0,0,4,3,4.596901243054729,0
37,3,75.13853844258233,2,1,3,5,20,4.2957666094711575,1
17,2,75.38985565490474,3,0,0,3,60,3.386940267671307,3
27,2,46.95900637693524,0,0,0,1,45,4.064934011359737,2
4,8,43.29937705583914,7,1,1,3,9,4.549412722881422,0
14,3,86.66860001861134,2,0,1,4,21,4.808655689264685,2
0,5,86.74014229787224,3,0,2,4,29,4.271894172832083,2
18,5,70.9875119990133,0,0,0,4,29,3.2718148612095774,3
52,2,55.554963635746546,2,1,0,5,59,3.844905131586546,0
29,4,55.59960621285487,1,1,1,5,15,4.651071570477082,0
11,6,45.3059321839732,4,0,1,3,10,3.841333735259292,1
23,4,63.25941591704141,3,0,0,4,21,3.9588015747435996,1
43,1,58.165121587045235,0,0,1,4,28,3.5109383227652895,6
3,4,58.58754779154468,2,0,0,5,24,2.9037386419805316,2
23,4,42.74557428831476,3,0,1,5,57,4.319434827146252,0
4,7,74.30643625802867,4,1,1,3,13,5.0,0
31,4,66.72936755637384,1,0,1,5,13,2.6699162826818874,1
1,8,66.84605531758744,15,1,0,4,1,4.121613291562729,0
2,7,33.210745503045175,4,0,1,1,53,3.429232544186163,0
19,4,37.23893071115547,3,0,1,1,12,3.9223178751747145,3
2,13,43.51154621737213,8,1,1,4,2,4.507899257156009,0
2,4,71.60249664923714,0,0,1,4,29,4.320628797064741,0
12,4,52.662142647268446,2,0,1,1,17,4.288384250124345,2
27,5,44.48272317516135,3,1,1,5,53,3.7223788582778488,1
4,6,69.80948497514918,2,0,1,3,35,3.139499778872257,2
27,1,55.13855899908736,0,0,0,4,20,3.576511366805163,3
24,5,65.59554094604917,2,1,0,3,52,3.6686881633021864,0
12,6,44.727507169154904,1,1,1,3,18,4.088106794316477,1
15,3,59.595465767214755,0,0,1,4,15,3.695607336264901,3
0,8,80.02992490324479,3,0,0,3,27,3.8256348725217904,0
6,6,78.59791635039949,6,0,0,4,3,4.1586852535316545,1
4,3,48.10488112158509,3,0,1,3,50,4.44857801427009,3
2,4,55.86365717048122,1,0,1,4,54,4.740353318660853,1
7,1,72.17972862954751,0,0,0,3,14,3.4912467276955637,5
6,5,61.327835685650214,7,0,1,5,0,4.6621648254255295,0
19,3,65.29401397581606,3,0,1,5,47,2.9027463484901888,1
13,5,80.75654324607281,4,0,2,2,46,3.6481431487235856,1
36,5,63.266799669204616,5,0,0,4,15,2.086781996129496,2
2,10,51.093670572564086,11,1,0,2,53,3.5594019254273395,0
0,8,78.84033014412036,5,0,1,4,19,4.386718687325927,1
11,2,47.65984786678268,0,0,1,3,32,3.4826011664702072,3
0,11,59.6600237699376,5,0,1,4,16,3.456526548874756,0
23,5,51.31790972191489,4,1,1,4,4,4.303292990836699,1
10,6,42.107538903287846,3,0,1,5,4,3.7610400720164083,1
10,3,58.4718177938025,1,0,2,4,57,4.847627183666656,0
6,9,60.90619855062378,3,0,2,4,38,2.7724993067518575,1
7,2,56.23439243877203,0,0,2,4,12,4.48776435188895,0
8,6,75.0065295574232,5,0,2,5,43,5.0,0
0,11,48.60174075815604,7,1,2,5,35,5.0,1
1,1,65.42269489872204,0,0,0,3,29,4.177815213611841,3
10,5,41.81255952902798,3,0,1,5,56,4.661115825729246,2
2,11,95.9710467157525,12,1,1,4,3,4.197304921118979,0
22,2,50.16523982309965,2,1,2,5,22,3.782280621761822,0
4,6,35.70249990850214,4,1,1,5,20,4.0951560258392075,0
1,7,56.50342285453134,4,0,3,3,20,3.7248680936632748,0
