distance,cargo_weight,cargo_type,departure_hour,day_of_week,season,weather_score,driver_exp,traffic_index,fuel_consumption
1216.9,9.7,3,4,3,2,2,20,6.6,27.5
,12.9,4,0,2,1,8,9,1.7,27.7
468.1,,1,23,3,1,5,5,7.0,33.4
1039.6,19.3,1,4,2,3,8,18,7.8,30.7
252.6,14.3,3,2,0,2,10,19,9.5,29.9
339.9,0.5,2,7,6,2,2,21,8.2,25.2
60.7,1.0,3,23,5,1,6,1,1.7,25.5
,14.0,4,20,5,4,3,10,9.5,34.3
1014.0,8.5,1,17,6,4,5,7,8.1,31.1
1072.5,16.9,4,4,4,2,3,15,1.0,31.1
1182.1,3.9,1,15,6,1,2,25,7.4,29.3
715.4,0.8,4,19,6,4,6,3,3.7,29.1
,8.1,4,8,1,3,5,17,6.4,29.4
,14.9,3,6,3,4,8,12,3.5,26.5
216.1,19.4,4,20,0,3,5,12,7.6,33.8
1019.2,17.7,4,3,4,4,7,24,2.7,31.0
733.1,9.9,1,21,0,1,8,19,8.5,32.3
869.6,16.3,1,11,5,3,1,3,1.7,30.3
1159.2,,1,17,5,2,5,11,1.2,24.3
,11.7,3,8,2,4,6,19,2.2,27.2
,18.5,3,17,4,3,7,3,4.5,29.9
860.9,8.2,3,22,6,3,1,13,6.9,28.9
490.7,19.2,3,11,5,4,2,13,5.3,29.6
94.7,4.8,3,5,3,3,9,2,5.3,22.0
683.2,2.6,1,1,6,3,8,24,8.8,24.7
361.1,10.7,2,22,0,3,5,10,6.0,27.0
642.4,18.2,4,23,1,1,1,7,5.6,36.2
,6.6,2,15,2,3,3,3,4.8,25.0
389.2,16.1,2,0,2,2,7,2,9.8,32.1
134.5,3.8,2,21,4,1,7,5,3.2,25.6
,15.0,4,11,5,2,9,19,2.4,26.1
475.7,11.4,2,5,0,2,6,7,5.4,26.5
1009.8,3.9,3,8,1,2,8,12,7.1,24.8
,14.5,1,22,5,2,3,17,1.2,28.5
1186.7,14.4,1,18,3,4,2,9,8.7,34.2
1013.3,10.6,3,14,2,4,4,11,3.5,27.8
639.3,4.9,3,17,3,1,9,13,6.8,25.5
1230.3,3.1,3,20,4,2,9,23,2.6,24.0
292.1,19.2,2,15,4,2,1,24,8.8,33.1
82.9,13.3,4,7,5,4,2,8,4.2,31.9
180.6,16.3,3,1,6,2,1,7,2.7,30.1
1097.4,14.1,4,2,5,3,8,11,1.2,26.7
719.7,,2,5,0,1,9,6,3.8,31.5
283.8,3.7,3,18,2,3,10,15,4.4,20.1
776.5,10.2,2,2,3,2,2,14,1.3,28.2
270.9,13.5,3,3,4,4,6,12,6.0,29.2
1059.7,2.5,3,23,6,1,5,12,5.1,27.9
696.9,3.4,3,9,3,2,10,22,5.4,24.1
,12.9,1,3,2,4,10,4,2.2,26.6
487.2,17.4,2,20,6,1,9,20,4.4,32.3
963.9,13.4,1,23,5,2,3,15,9.7,31.9
574.6,1.2,4,12,3,2,4,20,4.2,25.3
177.1,19.4,2,2,6,3,8,15,8.1,30.5
221.1,3.2,1,15,2,1,7,20,2.1,24.8
1444.8,5.0,3,20,1,3,6,16,2.1,22.2
1367.4,19.5,1,23,0,4,1,18,10.0,35.8
1064.6,15.5,4,13,0,2,5,11,6.8,33.8
,18.8,2,22,6,1,10,23,7.0,32.1
,16.2,4,19,0,2,5,8,4.8,31.2
1179.2,13.2,3,3,5,3,9,18,7.9,27.2
1089.5,6.0,3,15,0,3,5,9,9.4,26.6
701.6,6.9,3,15,1,3,9,20,1.7,22.1
444.8,19.0,3,18,2,4,9,21,2.6,27.2
189.8,17.3,3,12,1,4,7,5,8.8,30.5
1358.8,7.5,1,17,0,2,9,16,1.7,23.5
710.9,7.8,4,14,6,4,1,14,4.2,27.8
343.4,6.3,3,6,2,2,4,10,1.7,26.3
,6.9,3,11,2,1,1,7,4.7,31.0
889.9,17.3,3,22,5,3,7,16,5.0,26.8
306.3,0.7,3,20,6,4,3,21,2.6,24.1
1292.1,9.0,3,15,2,2,6,9,1.7,25.4
1149.9,18.9,3,7,3,3,9,9,4.8,26.9
1093.2,11.1,1,4,3,3,8,22,5.6,25.8
676.5,9.3,3,6,1,4,7,19,7.6,27.5
959.6,6.6,1,7,0,1,1,19,7.5,33.1
896.9,1.9,4,23,6,1,7,15,1.6,28.0
,4.9,2,12,4,2,4,3,4.9,25.7
172.4,2.3,4,9,4,1,10,4,8.6,31.0
,3.0,3,21,2,4,4,2,6.4,26.3
110.3,,3,8,4,3,8,8,8.7,24.5
766.3,6.4,4,19,0,3,6,1,9.6,31.4
528.3,0.7,2,15,0,3,4,12,4.0,23.3
,19.0,3,7,6,2,3,1,2.2,30.9
199.9,2.9,1,23,1,1,3,25,1.8,25.9
902.1,8.0,1,16,5,4,6,13,2.1,25.6
297.4,17.7,3,23,1,2,9,1,7.1,31.5
1391.4,2.6,3,0,4,2,10,5,2.1,21.9
892.5,9.9,4,6,4,2,4,5,9.6,32.6
553.0,17.0,2,7,5,2,1,17,6.9,30.6
,11.4,3,16,6,4,3,20,9.6,30.8
83.1,4.6,2,20,2,1,6,13,6.1,27.0
1439.9,14.8,1,2,6,1,5,19,2.8,32.0
749.3,13.8,1,3,2,1,2,3,2.5,31.4
1185.0,7.6,3,16,6,3,2,8,7.9,27.9
170.0,1.4,3,8,3,1,6,1,1.0,27.0
755.7,0.7,2,16,5,4,3,11,8.9,27.3
761.5,16.6,1,0,5,3,3,1,1.3,28.8
1409.8,6.8,3,12,4,3,4,20,6.4,27.1
879.0,3.2,4,0,6,2,10,14,4.5,24.9
,10.6,1,22,4,2,9,19,6.5,27.0
437.1,18.5,3,3,4,4,4,15,8.0,31.7
530.8,0.7,3,4,1,4,8,1,2.0,23.6
805.0,1.6,3,2,2,1,10,9,9.5,29.2
686.4,8.6,1,5,0,2,3,1,6.4,29.4
81.3,13.7,4,11,5,1,1,2,4.4,34.8
1248.1,9.8,3,14,4,2,3,24,9.8,30.5
1349.4,18.0,3,21,4,3,9,24,8.3,32.2
253.4,1.4,4,21,4,1,2,3,2.5,29.2
,7.1,4,2,1,1,3,11,1.8,32.2
207.4,7.4,3,10,6,2,10,8,9.3,27.7
1024.7,7.1,4,20,3,3,3,11,6.3,30.3
457.8,10.0,1,3,4,3,5,16,5.2,28.9
1006.2,15.9,3,16,0,1,9,10,1.7,29.5
1104.1,6.7,2,10,4,3,9,21,5.9,24.2
1164.5,15.0,4,4,2,1,4,2,3.4,33.9
206.2,3.4,3,1,6,2,3,15,2.7,25.0
1378.2,,1,6,5,3,6,18,4.5,28.8
383.8,7.8,3,0,6,1,4,14,1.3,29.2
104.2,11.0,3,4,2,3,8,17,6.4,27.9
854.5,2.6,3,13,4,1,7,16,6.6,26.9
587.8,19.1,3,18,4,1,5,5,7.3,34.0
1253.2,18.2,1,12,1,3,5,20,1.2,27.4
1222.0,16.6,2,17,2,2,2,7,2.6,29.9
509.9,17.9,3,1,4,2,7,5,8.0,32.6
1431.7,3.4,3,7,1,2,10,14,6.2,23.6
471.8,10.3,3,15,2,3,9,16,1.1,23.1
,,4,1,5,1,7,10,7.6,32.9
421.1,17.8,3,14,5,1,8,2,4.7,31.7
,4.2,3,4,4,4,9,25,3.4,22.7
288.7,4.8,3,10,4,2,3,21,7.8,28.7
115.1,13.9,4,15,5,3,8,13,4.2,29.1
680.9,2.2,3,23,1,1,2,9,5.1,27.5
,14.8,4,2,4,1,8,23,8.7,34.8
1342.9,5.7,2,13,5,4,3,9,2.3,25.9
1135.5,13.4,3,12,5,2,6,6,6.1,32.2
,17.5,1,1,4,2,1,7,1.9,33.0
1345.5,12.4,3,14,1,1,1,14,9.8,38.2
802.3,4.6,4,1,0,2,7,19,3.8,25.4
508.1,1.5,4,16,4,1,9,9,9.2,32.2
1169.4,1.4,1,4,1,4,2,5,4.3,28.4
1009.4,2.2,4,3,2,4,9,24,8.6,27.4
591.8,11.8,1,1,3,1,8,3,7.9,32.3
187.0,7.3,3,11,5,1,8,14,3.1,28.0
1132.8,5.2,3,5,2,3,3,5,6.8,26.2
430.6,4.8,3,11,4,4,9,17,3.1,22.0
1408.4,19.0,2,21,3,2,7,10,1.2,26.5
399.4,,3,20,0,4,2,2,3.7,23.9
228.0,6.4,3,18,4,1,9,5,7.4,29.3
,9.7,3,11,3,3,3,13,2.6,26.6
272.3,0.5,3,2,1,4,5,4,6.7,24.2
309.9,18.5,3,9,5,2,2,15,7.9,33.3
919.1,2.4,3,0,0,3,4,21,3.8,23.8
1318.1,,1,2,1,2,7,8,1.9,28.5
334.8,,3,7,1,4,9,24,6.4,28.3
500.0,16.3,3,16,4,4,5,19,2.2,28.3
1177.2,13.2,2,18,6,4,7,3,1.0,28.0
,,1,14,5,4,2,12,2.2,30.9
,8.7,4,6,0,1,3,14,3.4,30.3
,10.0,4,17,0,3,6,15,7.1,31.9
70.2,14.2,3,23,5,3,1,12,4.0,27.5
383.0,11.6,3,15,4,1,4,10,9.3,33.1
241.1,10.5,4,18,2,4,1,15,7.7,35.7
1032.6,4.5,3,21,6,1,5,17,9.9,30.9
226.7,5.5,2,17,1,2,3,22,7.0,26.2
784.2,7.5,3,21,0,1,3,3,1.2,28.6
1056.7,0.7,4,7,3,4,5,4,2.3,26.4
892.6,8.6,3,7,1,1,2,13,3.4,29.8
339.7,0.6,1,4,1,3,8,11,7.3,24.1
1216.0,11.5,4,4,4,3,5,23,6.8,28.5
1087.3,14.2,3,13,2,1,10,15,2.8,27.4
1121.5,11.5,3,22,4,4,3,6,7.3,29.1
240.0,14.0,4,5,3,1,1,22,3.5,35.5
229.4,0.5,3,17,5,3,5,22,7.0,22.3
1395.0,1.7,4,1,6,1,2,2,3.8,30.5
,14.1,4,23,4,3,4,23,2.9,30.9
486.4,16.2,1,12,2,1,8,10,5.5,33.6
758.4,14.5,3,11,4,3,10,6,9.8,30.9
1011.2,13.4,3,8,3,3,5,3,6.8,28.3
1435.7,14.3,4,23,3,3,2,3,4.2,32.1
465.3,14.9,4,10,2,4,4,2,5.7,34.2
1391.0,,4,2,0,2,3,20,4.9,33.0
86.0,14.9,3,13,1,4,2,23,1.3,28.9
855.0,1.9,3,14,4,4,8,24,7.1,22.9
969.3,1.7,2,17,0,2,8,13,2.8,23.4
203.6,7.5,3,11,1,2,3,7,5.8,28.4
253.5,10.8,1,6,3,3,5,23,1.6,25.7
657.7,15.4,4,0,6,4,5,23,8.1,32.3
1451.0,7.0,3,23,1,1,5,11,1.2,27.7
914.3,5.9,3,4,0,1,8,6,3.9,26.2
1402.9,15.7,2,8,2,1,7,21,4.4,30.2
1216.3,5.4,3,3,0,3,1,9,8.0,28.9
727.7,16.5,3,5,6,2,3,14,9.8,34.0
1187.9,4.0,4,1,5,3,10,23,2.7,24.4
75.9,7.5,4,8,0,2,5,5,2.3,27.5
208.3,8.3,3,22,0,2,5,8,6.6,26.6
,6.3,4,5,3,4,8,6,3.0,26.1
1205.4,0.6,2,23,2,2,8,19,1.2,22.7
387.3,5.1,1,15,4,2,6,3,3.1,26.3
819.6,7.1,3,21,6,1,10,4,3.1,26.8
928.7,6.6,3,14,2,2,6,9,6.0,26.8
,15.8,1,23,5,4,9,10,5.1,30.5
924.5,1.4,2,13,2,1,5,19,4.0,25.0
648.2,8.1,3,19,1,2,3,24,3.6,25.7
592.6,1.2,1,0,6,2,2,15,3.4,26.4
667.5,18.6,3,22,1,2,6,6,8.8,32.7
995.3,15.9,3,0,1,4,9,17,5.1,29.6
1307.9,19.7,4,4,4,4,5,18,8.7,35.9
708.2,18.2,2,17,4,2,8,3,10.0,31.4
409.4,6.7,2,6,3,3,6,23,5.5,20.9
393.2,14.0,1,1,0,4,9,13,9.4,31.3
1131.7,6.5,1,20,0,4,8,20,2.6,23.8
,17.8,3,12,5,3,7,2,3.8,29.1
202.7,8.5,3,11,1,1,4,24,6.9,32.2
146.5,7.8,2,7,1,2,5,25,3.1,24.0
911.9,18.3,4,17,5,2,5,24,6.3,33.9
262.0,16.8,3,7,2,3,9,14,9.1,30.7
1245.8,19.3,1,13,2,1,7,3,9.8,37.0
500.0,1.8,2,3,6,1,2,12,5.8,28.8
258.6,5.2,4,7,5,4,3,16,7.6,27.6
,6.4,3,0,4,1,4,12,6.4,29.8
290.0,8.8,4,6,1,4,7,11,4.8,28.9
462.8,9.7,1,9,1,4,8,9,4.2,28.7
272.7,,3,17,4,4,2,18,6.5,28.8
217.5,15.9,1,19,5,2,8,15,4.1,28.7
80.7,4.9,2,12,3,3,7,19,7.7,22.9
,14.1,3,22,5,3,3,3,2.1,25.5
303.2,17.1,3,8,2,1,2,7,7.5,36.5
127.4,12.3,1,11,2,2,2,22,5.6,30.2
,7.4,2,14,4,2,8,20,1.7,22.0
1037.0,4.2,3,4,3,2,3,17,8.6,26.1
620.8,3.1,1,10,0,3,2,11,5.9,27.0
511.1,15.0,2,21,2,2,5,11,7.6,30.8
781.6,9.6,2,11,5,1,7,17,2.1,29.6
1318.8,1.4,1,22,3,1,5,20,2.4,26.5
1284.1,19.7,4,16,5,3,6,11,8.9,34.6
113.0,13.6,1,4,5,3,4,23,5.2,28.9
313.2,17.0,3,10,2,4,5,9,3.7,30.4
393.3,9.0,3,8,1,1,6,9,5.7,32.0
411.6,19.1,1,22,4,2,7,18,4.3,31.8
878.3,4.4,3,8,3,2,8,20,9.8,29.1
653.6,,2,11,6,3,9,14,2.8,22.7
121.4,17.9,4,16,1,2,4,24,5.8,31.1
591.7,17.9,3,23,2,2,2,22,4.0,29.3
809.4,10.2,3,13,0,4,1,6,2.5,28.8
,3.0,3,20,2,1,7,20,7.1,27.4
1258.5,6.5,4,2,4,4,5,21,2.2,27.0
125.3,15.2,3,21,5,2,5,22,3.5,27.2
,17.0,3,4,5,1,8,14,5.4,33.4
193.7,7.3,1,18,0,3,7,20,4.8,27.6
1273.2,1.7,1,12,6,1,10,19,9.2,28.4
1358.8,13.5,2,14,4,3,9,23,6.9,26.8
1470.4,14.9,2,2,1,4,8,8,1.6,28.3
1212.9,8.8,4,12,1,2,7,4,2.3,29.2
,11.9,4,2,5,4,9,20,6.3,27.9
981.6,19.8,1,13,4,1,2,17,3.0,35.2
1179.5,5.3,4,9,1,2,10,25,2.8,25.8
245.1,,3,4,3,1,5,3,9.9,33.6
827.3,12.4,3,11,6,3,3,1,7.4,28.5
795.6,11.2,4,5,0,3,6,13,3.7,27.4
1293.5,17.4,3,1,3,4,9,16,1.3,23.2
721.1,12.3,3,0,6,2,2,22,8.2,29.6
608.4,10.4,2,8,0,4,2,17,6.2,26.6
,2.9,2,17,3,3,7,19,3.8,21.9
436.4,14.2,4,13,3,3,7,10,5.7,30.8
252.7,3.1,2,2,2,1,8,15,9.1,27.2
,1.0,1,10,3,4,9,4,1.6,24.6
654.5,10.0,2,13,4,4,8,18,7.6,30.0
387.2,11.7,3,5,1,4,9,4,8.8,29.4
582.9,20.0,3,3,3,2,2,5,5.7,33.3
581.3,14.4,4,5,3,3,4,5,9.6,31.5
524.9,17.0,3,1,0,1,8,24,3.1,30.4
600.2,7.3,4,5,1,3,9,5,7.5,26.7
1044.3,10.4,3,12,4,3,4,6,4.8,25.0
480.5,19.5,3,19,3,4,6,25,4.4,28.2
1425.8,8.6,2,20,6,3,3,5,6.7,27.6
1378.7,16.2,2,16,5,4,9,14,6.5,29.1
747.3,10.8,4,8,1,4,6,4,4.3,29.9
526.1,,3,22,6,1,1,12,4.4,27.7
826.4,11.8,3,22,6,4,6,24,5.3,27.6
1280.4,4.8,4,8,2,1,3,9,9.9,33.0
996.3,0.6,4,0,4,2,5,12,8.2,28.5
1216.4,5.1,1,10,1,4,4,22,4.3,26.3
822.4,4.3,3,11,0,3,9,14,4.3,20.7
,7.7,3,16,1,4,9,24,9.1,26.3
,17.8,4,3,5,3,2,10,8.0,34.9
1115.6,8.1,1,13,3,3,4,6,6.9,29.6
343.5,17.0,2,7,3,3,5,1,7.4,29.1
1057.5,,3,11,3,4,9,10,1.5,24.2
1298.0,0.6,2,0,5,1,3,2,1.8,25.6
241.5,4.2,1,12,4,2,8,15,3.8,26.5
940.9,18.7,3,0,4,3,1,1,5.3,31.9
187.9,12.3,3,20,3,2,10,3,7.4,26.8
,18.6,2,17,0,4,4,14,8.0,32.8
172.5,6.5,3,22,2,3,3,16,9.0,29.3
1407.1,14.5,1,15,0,1,8,5,3.4,31.6
249.2,15.6,3,23,5,3,7,19,7.7,28.0
1440.4,19.5,3,5,2,2,6,11,10.0,34.1
,0.9,4,0,1,2,10,5,2.9,24.8
910.8,19.1,2,21,3,1,5,12,1.6,31.2
1184.8,8.1,4,15,3,4,6,24,9.1,31.7
1202.9,16.8,4,16,6,2,5,14,2.2,30.9
1421.7,11.1,3,6,1,4,2,22,7.5,29.8
417.4,11.5,4,8,5,2,4,23,4.5,31.2
905.6,7.5,2,16,1,4,7,6,4.2,25.3
187.8,16.7,1,9,5,2,2,2,9.5,33.2
943.4,5.6,4,1,3,1,8,17,4.2,29.9
298.4,10.1,3,7,3,2,6,13,4.7,28.9
869.2,11.4,2,9,4,1,7,9,1.1,25.4
880.0,15.0,1,19,0,4,9,4,2.7,29.3
725.7,9.7,1,8,5,4,5,4,4.3,28.6
807.8,13.8,1,11,5,1,8,24,7.0,31.5
1157.7,10.0,2,14,1,1,8,4,1.6,27.0
,13.4,4,3,0,4,3,23,4.1,32.0
763.6,13.6,2,13,5,3,3,7,4.3,29.0
,14.3,4,4,0,4,5,4,8.1,32.2
,16.6,1,21,4,3,1,13,3.5,30.8
,11.0,2,7,1,3,6,3,9.0,30.6
,4.3,4,7,5,2,10,7,9.5,29.8
177.2,13.8,2,9,6,2,9,3,3.0,25.0
,2.0,2,8,5,3,8,1,4.4,23.7
,4.8,4,14,5,4,2,3,7.6,29.3
1172.8,,1,17,4,2,9,25,3.4,28.5
1023.3,9.0,1,23,0,2,2,4,8.4,30.4
533.8,10.2,4,21,6,3,5,6,9.8,32.2
1352.6,19.8,3,6,6,1,10,4,6.7,32.3
1155.7,5.1,3,14,0,3,8,2,2.5,21.8
442.3,0.9,1,7,5,1,2,5,1.0,27.6
578.1,2.7,2,19,0,3,6,3,4.7,24.0
,5.3,3,0,4,4,10,4,3.0,24.7
278.5,14.7,3,23,1,4,5,12,8.0,30.0
264.3,15.6,2,8,0,1,6,10,5.2,30.0
1407.4,,4,17,1,3,4,5,6.7,31.8
685.0,5.5,3,16,2,2,5,7,6.5,28.6
605.8,10.7,3,8,2,2,6,12,1.3,24.9
1108.0,0.8,3,23,2,3,2,11,7.4,26.0
851.8,13.8,3,6,3,4,10,4,8.4,29.0
1407.4,12.5,3,17,4,3,9,23,5.2,28.2
1181.4,0.9,1,22,3,3,2,10,6.2,25.5
745.1,16.4,4,2,4,3,2,9,2.3,30.9
595.7,15.4,3,22,2,3,7,15,6.9,26.2
1480.6,6.5,4,21,1,2,5,8,9.5,33.1
1090.8,12.9,4,9,1,4,7,16,7.4,30.8
1429.2,12.2,1,20,2,3,1,23,1.1,28.9
221.8,3.3,3,0,1,3,8,22,3.8,21.5
1283.3,4.3,3,4,3,1,1,9,9.6,31.6
973.8,13.8,3,18,4,2,2,3,7.0,30.2
,18.7,4,22,5,2,8,4,3.9,30.8
903.0,11.7,1,3,2,3,4,6,6.4,29.2
1044.8,11.6,3,17,0,1,3,16,2.5,29.6
67.8,13.1,4,2,5,2,9,13,9.3,31.6
708.8,9.1,4,18,5,2,7,8,4.5,27.2
1246.8,1.6,1,21,2,3,3,5,2.7,24.9
478.3,8.2,4,11,6,1,8,13,1.7,27.0
714.9,18.1,1,2,4,3,2,25,1.3,28.7
691.4,,3,4,5,3,5,20,6.8,27.4
487.8,,2,12,2,3,2,7,7.1,32.8
1381.7,3.5,3,19,3,1,7,15,6.9,29.5
1182.9,10.4,1,12,2,3,3,13,3.8,28.5
210.4,11.9,2,11,5,2,3,21,8.1,29.4
1495.7,4.6,2,14,5,2,3,9,8.6,27.3
,4.4,4,23,6,1,9,9,6.4,29.9
461.7,15.7,3,18,2,2,9,12,6.5,29.0
1263.5,13.6,3,3,5,2,3,5,2.7,29.1
204.3,13.1,3,4,4,1,2,22,8.7,33.9
1498.7,5.7,3,8,0,4,6,10,1.8,21.7
1015.2,10.4,1,6,5,3,7,22,8.2,29.3
992.7,0.9,1,17,0,2,9,11,4.8,24.7
181.1,3.0,3,23,0,1,9,17,1.9,23.7
1350.7,10.6,4,13,0,3,8,18,1.6,25.2
92.0,6.5,2,21,3,1,1,20,9.9,32.2
399.2,19.3,3,10,0,2,1,18,6.1,32.5
257.4,9.7,4,16,3,1,2,18,5.0,31.8
1176.3,2.1,4,16,5,1,4,8,9.3,32.4
,0.8,2,7,3,4,8,2,5.2,24.1
1370.4,14.6,4,17,1,2,9,24,8.6,32.8
1001.6,3.8,3,12,2,1,8,22,8.7,28.3
102.4,4.2,3,13,5,2,9,7,7.8,23.5
57.9,8.8,3,6,2,1,4,1,1.9,29.1
124.9,5.6,2,7,4,3,7,25,9.6,24.1
928.6,12.5,4,20,4,2,2,3,6.6,31.9
1212.1,10.0,3,14,3,1,2,1,4.7,29.6
395.9,2.7,3,3,2,2,9,25,7.9,25.3
,15.8,4,13,0,4,5,17,1.7,28.9
133.0,8.8,3,14,5,3,8,16,2.6,25.0
1211.4,12.4,1,19,2,3,10,16,7.1,26.6
1395.3,0.6,2,20,3,4,6,19,6.7,22.1
1169.6,12.7,4,15,0,2,2,15,5.7,31.7
1062.3,6.0,3,0,5,2,7,19,7.1,24.7
1265.1,10.1,4,11,6,4,9,20,9.5,32.4
,6.3,3,4,6,3,3,6,2.2,23.8
342.6,19.9,3,0,2,1,5,15,4.1,34.3
231.1,5.0,4,22,0,4,7,9,3.6,26.7
,18.3,3,4,0,4,8,16,9.4,32.0
,18.4,3,5,2,2,2,5,2.7,29.9
963.5,8.7,1,8,0,2,1,22,4.3,31.6
1284.1,6.4,4,11,1,3,7,7,9.2,28.1
275.1,7.9,3,14,4,3,1,5,7.0,24.6
1115.2,19.8,3,7,0,1,5,4,1.3,32.2
329.9,12.6,3,19,4,1,4,14,9.6,32.2
442.6,11.1,2,3,6,4,5,9,1.5,26.5
1079.4,1.2,3,23,6,4,9,18,5.7,23.3
1471.3,17.0,2,20,6,4,10,11,3.2,27.0
936.7,2.1,2,14,2,2,7,8,6.7,24.7
129.0,1.4,4,1,4,3,4,8,3.6,26.3
943.6,5.9,3,17,0,3,7,6,8.4,26.0
111.4,9.8,4,16,1,2,2,18,6.1,31.0
1332.0,18.0,3,14,5,4,10,4,3.8,27.9
,15.9,1,6,1,2,9,23,8.8,33.0
,4.4,3,10,2,1,4,7,8.0,31.6
,7.8,2,9,2,1,1,1,5.4,29.3
316.1,15.7,3,14,2,4,9,17,5.4,28.3
1471.0,10.8,4,7,5,1,1,18,5.2,32.9
714.9,3.9,3,9,6,3,2,16,5.9,24.1
1186.9,8.2,3,21,3,2,1,10,8.7,26.2
972.8,12.7,4,10,4,4,2,5,1.7,30.1
880.0,19.5,3,14,5,4,10,22,4.5,28.4
260.4,13.4,3,21,2,2,5,13,7.8,31.7
1421.7,0.8,3,22,3,3,2,12,9.7,27.8
486.9,14.2,3,13,6,4,10,6,2.4,27.0
888.1,5.4,1,6,2,4,5,20,1.4,25.9
,17.3,3,2,1,4,8,24,8.2,31.3
991.4,8.0,3,20,0,3,6,17,9.7,28.3
1413.9,4.4,2,12,0,2,2,19,7.4,29.0
265.2,9.6,4,13,5,3,8,18,6.0,26.7
787.1,5.5,1,22,1,3,10,5,3.1,23.4
635.8,5.1,3,8,5,2,10,12,9.6,25.9
737.5,11.7,4,2,0,4,8,8,7.5,30.5
222.9,15.5,2,16,5,2,7,11,7.2,29.8
244.4,16.8,4,23,2,4,8,22,8.9,35.0
453.2,8.3,4,4,5,3,10,21,8.9,29.6
491.8,1.8,3,23,5,4,6,14,1.7,24.1
670.5,9.9,4,12,3,3,10,3,1.2,25.9
935.9,9.0,3,13,6,3,4,9,3.0,25.4
970.2,4.3,3,23,6,4,4,19,9.2,28.3
647.1,18.0,3,7,4,2,2,15,5.8,32.0
642.7,19.5,3,17,3,2,5,14,6.8,32.2
365.6,1.5,2,0,6,4,7,10,4.1,26.4
,16.0,1,16,6,2,5,25,4.8,30.9
509.7,13.1,3,0,2,3,2,23,3.7,26.5
102.3,5.6,4,0,2,3,5,17,9.5,28.7
,12.9,4,9,2,1,6,22,4.7,33.7
,3.0,4,8,6,2,2,5,8.5,31.4
377.1,1.9,2,18,1,1,6,5,2.4,27.0
880.1,19.9,3,21,0,1,4,18,3.9,33.6
870.4,12.9,3,22,3,2,6,17,2.6,25.6
,5.4,2,14,6,2,1,7,3.6,28.5
989.5,9.3,3,3,2,3,9,21,7.0,27.3
996.0,19.0,3,16,3,2,4,19,2.3,28.9
508.5,9.1,4,11,0,4,5,6,5.8,30.8
1191.8,18.1,2,12,5,1,2,16,1.0,31.8
846.3,17.4,4,12,6,4,5,22,9.8,34.2
675.6,7.2,4,21,4,3,4,20,1.3,24.8
957.7,14.1,3,9,0,1,1,11,7.8,34.8
573.0,13.4,2,23,0,1,6,21,8.8,30.7
793.5,15.5,2,12,5,1,3,8,10.0,34.5
