machine_id,hour,day_type,drinks_sold,beans_level,milk_level,pressure,last_clean_hours,water_temp,brew_time,water_consumption
54,12,0,11,80.2,69.3,2.26,50,74.2,16.1,0.218
63,16,1,13,35.8,20.0,5.45,115,,15.0,0.213
2,21,0,11,46.2,97.3,8.29,36,85.6,15.0,0.22
50,9,1,9,76.6,35.0,3.33,26,83.2,15.0,0.224
6,11,1,16,97.2,84.6,8.88,33,90.6,15.0,0.243
20,8,1,20,51.0,94.5,7.65,100,90.0,15.0,0.247
72,14,0,16,84.7,86.5,6.97,68,81.8,15.4,0.18
38,15,0,10,97.8,6.7,6.74,73,81.4,15.0,0.222
17,19,1,12,88.6,65.0,6.11,8,89.1,15.0,0.224
3,16,0,13,30.4,12.0,7.04,66,84.7,15.0,0.215
88,23,0,8,10.7,0.6,4.95,93,77.3,15.0,0.261
59,17,0,12,54.3,5.2,7.92,23,94.1,15.0,0.19
13,17,1,7,57.8,91.6,6.87,70,84.6,15.0,0.237
8,18,0,13,28.1,90.8,7.4,55,84.6,15.0,0.252
89,18,0,9,35.6,22.6,7.55,43,87.2,15.0,0.2
52,19,1,11,78.9,54.7,2.64,100,77.6,15.0,0.196
1,9,0,18,52.3,95.5,2.39,110,,15.0,0.206
83,18,1,10,38.6,49.7,7.61,21,89.6,15.0,0.208
91,13,0,9,66.0,39.4,3.82,22,81.2,15.0,0.221
59,17,0,13,68.7,48.3,6.07,9,92.4,15.0,0.203
70,23,0,15,79.2,79.0,5.11,34,80.1,15.0,0.184
43,11,0,14,24.1,47.7,2.15,59,77.0,16.4,0.154
7,23,1,13,76.7,78.3,2.28,26,85.7,15.0,0.207
46,10,0,7,63.9,43.2,7.79,1,91.5,15.0,0.198
34,14,0,10,15.2,25.2,6.25,100,,15.0,0.188
77,8,0,9,80.0,32.6,5.67,108,71.3,16.5,0.242
80,15,0,11,44.5,7.8,8.61,5,84.0,15.0,0.239
35,8,0,16,39.7,49.7,3.21,41,,15.0,0.199
49,20,0,14,50.3,14.8,3.81,63,81.0,15.0,0.218
3,6,0,10,41.2,81.2,7.3,22,91.0,15.0,0.164
1,12,1,6,40.4,42.1,7.43,68,82.8,15.0,0.205
5,17,0,13,82.7,76.5,4.83,48,89.4,15.0,0.177
53,22,0,19,21.2,95.4,8.66,66,87.2,15.0,0.211
3,10,0,15,97.4,84.9,8.57,16,90.9,15.0,0.229
53,9,1,15,59.9,95.1,2.09,80,79.0,16.5,0.243
92,17,0,12,26.5,56.8,3.21,53,77.1,17.5,0.174
62,23,0,12,21.8,16.5,7.74,120,81.2,15.0,0.195
17,22,0,12,63.2,93.5,4.35,120,,15.0,0.234
89,14,1,10,67.0,86.9,2.67,86,75.4,17.1,0.191
43,9,0,15,14.8,86.4,7.49,107,80.8,15.0,0.217
33,7,1,11,31.9,69.3,5.18,65,83.9,15.0,0.194
73,9,0,17,81.6,62.5,5.45,79,80.9,15.0,0.197
61,7,0,8,14.5,1.5,3.3,64,72.2,15.0,0.152
99,20,1,16,87.0,74.8,6.63,88,85.3,15.0,0.281
13,7,0,11,69.2,9.2,5.86,68,78.6,15.0,0.24
94,9,1,16,49.1,26.0,3.45,63,79.0,15.7,0.207
47,11,1,13,41.2,55.1,4.38,62,77.0,15.0,0.25
14,12,1,12,11.7,45.2,6.18,82,85.2,15.0,0.188
71,15,0,23,84.3,1.6,8.47,81,91.7,15.0,0.247
77,17,1,11,22.8,82.4,8.44,71,91.0,15.0,0.208
86,8,0,10,37.9,87.9,4.02,114,72.7,17.7,0.242
61,18,1,11,61.2,68.2,7.15,45,90.8,15.0,0.24
39,23,0,10,32.1,54.1,7.43,52,82.4,15.0,0.201
84,13,1,12,54.7,96.1,7.66,116,75.6,15.0,0.249
79,20,0,15,82.8,12.0,6.0,74,80.8,15.0,0.219
81,6,0,4,52.3,73.8,2.07,65,71.0,15.3,0.154
52,8,0,8,95.4,12.8,7.33,2,89.0,15.0,0.227
23,13,1,19,86.3,38.2,2.75,49,88.0,15.0,0.223
25,9,0,10,40.0,58.5,2.82,22,81.2,15.0,0.209
88,21,0,7,46.0,73.7,6.24,96,84.1,15.0,0.15
59,15,1,13,48.1,0.4,8.88,29,92.8,15.0,0.239
40,17,0,12,66.4,26.1,3.7,35,82.1,15.0,0.196
28,19,0,15,35.8,53.8,6.52,81,84.1,15.0,0.212
14,19,0,19,97.2,53.3,4.13,76,83.1,15.0,0.205
44,7,0,18,64.8,63.8,8.29,24,93.2,15.0,0.204
64,10,0,12,45.9,30.4,6.15,94,75.4,15.0,0.288
88,10,0,9,68.1,54.1,3.45,108,74.7,15.0,0.203
70,11,0,13,45.6,19.0,3.83,30,90.1,15.0,0.179
8,18,0,11,83.6,18.7,5.03,84,75.8,15.0,0.237
87,14,1,14,61.1,57.7,2.85,42,,18.8,0.199
0,20,0,5,13.8,68.5,2.55,71,69.1,17.6,0.153
7,19,0,12,25.9,12.0,6.76,106,81.7,15.0,0.24
87,12,1,11,87.8,12.3,4.85,50,,15.0,0.208
62,7,0,10,60.7,56.5,7.08,118,72.4,15.0,0.27
10,12,0,14,95.5,27.0,2.77,102,70.4,15.0,0.248
80,11,1,15,16.5,39.2,6.27,71,78.9,15.0,0.181
7,22,1,12,36.6,40.1,5.1,60,88.5,15.0,0.218
34,7,1,15,27.4,17.9,2.41,113,72.3,22.4,0.267
34,8,1,7,59.8,0.1,5.81,30,83.9,15.0,0.168
32,10,1,7,44.5,85.3,2.58,12,80.3,15.0,0.214
4,10,0,16,24.2,71.5,7.79,49,,15.0,0.229
40,6,1,9,67.8,69.1,6.42,95,81.6,15.0,0.232
27,13,0,10,58.3,54.7,5.9,82,80.9,15.0,0.202
6,17,1,14,34.7,70.1,2.93,46,80.1,15.0,0.257
72,9,0,12,53.2,93.6,4.01,43,82.9,15.0,0.15
71,18,0,10,77.1,66.6,5.45,2,89.6,15.0,0.207
11,20,0,9,28.5,26.5,6.43,117,78.4,15.0,0.224
33,16,1,8,36.4,57.1,3.28,97,71.0,17.2,0.268
32,15,0,12,41.1,44.2,2.06,75,71.8,18.0,0.168
47,8,1,6,77.2,55.6,4.41,98,80.1,15.0,0.26
22,19,1,9,86.2,51.8,5.38,80,86.3,15.0,0.175
61,21,0,18,43.9,85.9,3.29,54,82.4,15.0,0.187
87,15,1,11,36.7,65.2,5.45,35,85.5,15.0,0.188
36,15,1,9,90.1,18.9,4.37,52,81.9,15.0,0.239
98,17,0,14,99.9,6.3,5.19,33,86.9,15.0,0.171
43,14,0,13,70.3,42.4,4.43,85,73.8,15.0,0.247
85,6,0,12,99.1,1.6,6.4,84,80.9,15.0,0.161
90,10,0,16,69.4,31.8,2.3,72,,16.8,0.188
34,13,0,17,76.0,36.8,3.2,51,81.6,18.9,0.25
64,16,1,8,45.0,37.6,5.03,26,81.9,15.0,0.198
98,17,0,7,49.0,97.9,4.49,97,72.3,16.6,0.235
46,6,1,7,23.0,30.4,4.74,62,79.9,15.0,0.241
77,16,0,14,84.0,26.5,7.63,61,84.1,15.0,0.179
2,10,0,15,93.8,12.9,8.2,26,87.1,15.0,0.225
0,20,1,15,66.1,51.1,3.74,37,89.7,15.0,0.256
4,10,1,13,40.9,15.4,7.85,30,87.3,15.0,0.229
89,17,0,11,23.9,61.6,5.21,95,70.6,15.0,0.2
13,10,0,16,33.9,15.5,3.92,97,,15.0,0.214
26,22,0,12,33.0,57.7,8.9,11,91.6,15.0,0.202
8,22,0,9,65.2,82.6,7.77,53,,15.0,0.162
78,17,0,11,95.1,4.3,8.96,41,89.0,15.0,0.205
14,20,0,19,14.3,42.0,3.18,5,91.6,15.0,0.166
89,20,0,7,10.1,46.1,3.01,66,81.0,15.0,0.171
41,11,1,12,64.0,79.1,5.52,13,89.0,15.0,0.15
76,17,0,9,35.6,46.8,6.47,63,,15.0,0.222
50,23,0,14,89.2,56.8,3.2,82,,15.0,0.15
62,19,0,12,39.5,79.1,8.02,90,84.7,15.0,0.238
95,7,1,11,36.1,56.0,5.72,25,89.6,15.1,0.249
51,14,1,10,34.3,35.8,4.88,44,83.8,15.4,0.16
95,10,0,10,23.0,8.6,6.21,14,84.5,15.0,0.237
3,6,1,11,62.3,73.0,6.44,69,80.5,15.0,0.237
93,8,0,15,25.1,87.1,2.3,59,77.8,16.3,0.225
22,11,0,13,48.2,97.0,9.0,56,83.2,15.0,0.256
14,10,0,9,51.5,92.7,4.55,106,,15.0,0.159
42,10,0,9,11.8,79.7,2.43,52,,15.5,0.158
28,6,1,16,11.5,64.3,7.97,66,88.9,15.0,0.294
35,22,1,4,56.8,78.1,8.95,68,87.0,15.0,0.194
12,19,0,13,72.6,43.2,7.71,12,95.1,15.0,0.206
31,17,0,11,94.8,59.5,7.96,75,83.4,15.0,0.193
70,15,0,11,26.1,34.9,6.38,68,,15.0,0.179
58,23,0,12,19.3,32.7,8.46,43,87.6,15.0,0.213
85,16,0,8,14.7,75.7,2.25,73,,16.9,0.248
27,7,0,14,49.2,45.4,7.37,74,83.7,15.0,0.24
65,23,0,10,66.1,21.2,6.69,91,83.7,16.1,0.172
41,12,0,7,85.6,20.2,2.35,6,83.2,15.0,0.172
44,20,0,5,71.4,85.9,5.81,15,84.6,15.0,0.15
61,16,0,12,28.8,67.8,5.61,42,83.6,15.0,0.15
56,23,1,11,51.6,54.6,6.84,31,,15.0,0.233
5,17,0,10,91.9,40.1,2.54,86,75.4,16.9,0.211
27,11,1,10,39.4,43.1,7.64,53,87.9,15.0,0.279
27,18,0,13,54.9,5.7,2.98,6,83.3,15.0,0.194
43,21,1,15,96.3,45.5,4.93,33,88.5,15.0,0.221
83,23,1,15,76.1,79.5,8.17,29,90.8,15.0,0.231
29,15,0,16,77.3,38.8,5.92,21,89.7,15.0,0.214
61,13,0,16,32.7,38.4,4.66,54,80.9,15.0,0.17
74,23,1,10,47.3,1.6,2.34,56,81.5,15.5,0.185
91,6,0,9,17.4,45.8,6.71,116,75.0,15.0,0.184
88,13,0,13,64.6,2.5,8.91,94,88.9,15.0,0.2
61,11,0,12,19.3,57.0,8.38,21,,15.0,0.186
96,10,0,11,85.2,50.7,7.02,100,80.0,15.0,0.192
0,20,0,15,83.3,84.0,2.74,55,75.9,16.6,0.181
26,20,1,10,58.0,58.2,3.68,58,84.9,15.0,0.215
61,7,0,9,22.7,32.3,3.31,64,76.0,15.0,0.23
76,6,0,17,12.3,51.6,4.49,86,84.8,15.0,0.208
2,16,1,11,81.7,70.0,3.65,46,82.2,15.4,0.199
69,15,0,22,64.0,9.4,3.71,84,81.1,16.8,0.225
71,23,1,12,74.0,62.1,6.32,22,88.0,15.0,0.23
26,23,0,18,37.3,91.7,4.23,116,80.0,15.0,0.214
8,22,0,8,55.9,29.9,6.74,60,83.8,15.0,0.199
61,13,1,12,77.2,62.7,8.64,104,80.0,15.0,0.312
36,20,0,13,51.6,82.1,6.47,11,87.4,15.0,0.204
96,13,1,9,64.1,51.2,7.26,47,88.3,15.0,0.21
50,22,1,10,81.1,71.8,7.26,31,,15.0,0.208
43,17,1,17,29.4,31.1,4.31,115,76.7,15.0,0.271
23,13,0,12,15.9,30.6,2.1,104,72.8,19.3,0.16
78,19,1,13,57.9,66.8,2.39,77,78.5,15.8,0.259
58,9,0,7,15.6,70.5,3.97,18,79.4,15.0,0.15
31,6,0,13,79.0,93.7,6.83,22,92.8,15.0,0.229
95,6,1,16,74.7,22.5,8.35,56,89.5,15.0,0.271
87,21,0,9,89.4,46.8,8.71,17,86.1,15.0,0.199
51,19,1,18,67.6,25.1,2.18,38,79.5,15.0,0.202
61,21,1,10,16.0,8.0,8.93,25,95.0,15.0,0.265
57,10,1,10,32.8,40.3,4.26,32,80.1,15.0,0.277
51,14,0,7,82.7,37.4,7.9,15,,15.0,0.181
11,7,1,12,25.0,27.0,3.26,13,82.0,15.0,0.233
38,23,0,15,72.9,29.7,2.44,58,79.4,18.6,0.22
1,11,1,13,80.2,36.0,4.65,90,80.8,15.0,0.248
2,14,0,19,39.7,98.9,8.01,50,85.9,15.0,0.229
55,6,0,11,39.0,78.3,3.55,11,81.3,16.0,0.175
80,14,0,10,60.2,7.1,3.08,13,79.8,15.0,0.193
58,21,0,13,87.5,87.2,8.37,97,80.5,15.0,0.166
1,18,0,14,30.2,63.3,8.57,50,87.5,15.0,0.259
1,14,1,13,94.7,89.1,2.09,101,73.2,16.5,0.175
91,18,0,12,63.9,34.2,7.09,38,89.3,15.0,0.174
53,14,0,14,99.3,46.5,4.16,1,84.5,15.0,0.181
86,16,0,8,18.1,89.6,4.62,39,,16.1,0.157
95,9,0,19,21.4,27.3,5.28,27,89.1,15.0,0.167
96,7,0,7,84.4,91.6,4.99,36,75.9,15.0,0.242
0,11,0,7,87.8,82.8,5.6,32,80.5,15.0,0.249
18,19,0,14,50.1,98.1,6.08,41,,15.0,0.25
1,9,0,17,74.3,32.4,5.26,15,88.9,15.0,0.222
52,11,0,10,88.1,23.6,6.91,31,84.9,15.0,0.277
43,11,0,10,13.9,33.1,7.03,6,91.4,15.0,0.183
89,7,0,13,61.7,95.5,5.08,89,78.6,15.1,0.197
31,23,1,12,86.8,33.3,3.0,113,76.8,16.2,0.224
69,18,1,10,45.8,56.5,6.48,52,83.5,15.0,0.275
31,14,0,10,37.2,40.4,7.41,82,,15.0,0.228
67,18,1,6,81.6,39.6,6.47,22,92.1,15.0,0.259
54,16,0,10,40.2,19.3,6.12,31,86.3,15.0,0.196
74,6,0,11,10.3,53.7,3.61,100,77.2,15.4,0.151
55,12,1,20,96.4,84.9,6.52,73,,15.0,0.226
16,20,0,9,63.3,4.9,4.34,46,83.2,15.0,0.216
37,6,1,9,83.8,88.9,8.44,67,88.5,15.0,0.22
23,17,0,13,84.3,66.5,6.58,97,81.1,15.0,0.217
68,12,0,16,16.0,61.7,3.95,91,78.0,15.0,0.214
97,20,0,8,25.4,62.6,5.31,43,77.2,15.0,0.256
69,6,1,11,38.0,29.6,7.93,1,92.2,15.0,0.254
85,22,0,17,38.9,41.5,4.35,44,86.5,15.0,0.216
10,22,1,19,69.3,79.9,5.68,57,86.2,15.0,0.245
15,8,0,13,66.1,30.6,6.76,9,85.0,15.0,0.183
96,17,0,12,54.5,47.0,7.28,5,,15.0,0.206
72,11,0,8,29.0,2.0,3.22,79,74.9,17.5,0.256
58,16,0,12,44.4,73.4,5.96,114,73.1,15.0,0.239
69,8,1,16,58.9,41.8,8.39,9,94.9,15.0,0.22
79,13,0,13,52.1,52.5,8.78,45,89.5,15.0,0.201
92,19,1,12,21.5,11.5,6.59,92,86.5,15.0,0.274
2,19,1,11,68.5,99.2,8.89,77,85.6,15.0,0.232
19,15,0,12,16.6,30.2,6.0,24,,15.0,0.179
58,7,0,9,44.0,63.5,5.1,109,74.5,15.0,0.174
35,19,0,7,73.9,58.1,5.86,74,75.2,15.0,0.2
18,14,0,9,11.8,78.5,2.81,42,,15.0,0.2
89,8,0,5,61.3,29.4,4.81,22,77.3,15.0,0.183
66,13,0,7,40.1,75.6,5.21,103,73.9,15.0,0.207
18,21,0,11,10.8,38.3,7.94,60,86.9,15.0,0.174
19,7,0,8,27.1,41.1,7.31,86,80.2,15.0,0.194
95,11,0,10,94.7,67.3,6.21,37,80.5,15.0,0.27
70,17,0,14,56.9,78.4,4.43,116,72.0,16.7,0.214
51,10,0,9,99.8,66.7,3.31,39,80.1,15.0,0.194
32,7,1,11,57.2,90.0,4.43,84,80.7,15.0,0.201
39,21,0,9,59.0,28.5,6.76,74,79.8,15.0,0.211
38,10,0,13,45.3,90.1,3.84,74,70.5,17.7,0.207
81,20,1,20,37.9,13.1,4.99,90,81.0,15.0,0.28
0,17,0,13,32.6,66.0,4.71,89,81.3,15.0,0.231
10,9,0,17,40.9,54.8,7.36,53,85.2,15.0,0.255
91,20,0,10,51.4,49.5,8.19,120,78.2,15.0,0.228
56,16,0,15,27.3,31.1,6.9,28,90.4,15.0,0.263
88,21,0,10,30.2,50.4,4.39,77,77.0,15.0,0.224
49,11,0,17,34.4,16.2,5.03,15,92.0,15.0,0.15
22,19,0,18,50.4,36.9,3.0,60,,16.4,0.246
30,23,0,6,68.8,9.9,3.18,60,73.5,15.0,0.189
93,17,1,14,87.1,57.2,3.15,6,90.4,15.0,0.236
41,16,1,10,35.8,9.6,2.91,52,80.0,16.0,0.181
98,18,0,15,26.5,16.0,3.26,12,81.8,15.8,0.19
6,16,1,9,44.1,8.5,3.42,19,84.8,15.0,0.227
15,21,0,9,90.5,38.1,2.78,96,72.3,15.0,0.202
89,20,0,6,10.9,84.2,6.48,75,75.8,15.0,0.205
59,20,1,11,71.0,90.7,8.93,102,85.0,15.0,0.176
1,9,0,7,52.9,7.2,8.15,97,78.7,15.0,0.196
0,16,0,14,24.5,63.5,2.32,2,78.9,17.6,0.159
47,20,0,15,38.9,68.4,4.96,55,80.2,15.0,0.152
11,9,0,10,30.2,53.4,8.02,15,94.3,15.0,0.171
68,18,1,15,89.0,66.7,2.94,64,81.6,15.0,0.276
36,7,1,7,53.4,23.4,7.93,100,84.5,15.0,0.27
31,19,1,10,60.7,49.0,6.15,69,,15.0,0.204
8,9,1,13,63.4,39.1,8.52,15,,15.0,0.21
98,21,0,10,67.6,9.0,8.13,43,,15.0,0.187
18,19,0,14,54.6,62.6,6.74,74,80.8,15.0,0.241
47,20,0,18,11.6,49.5,6.6,17,93.0,15.0,0.213
79,8,0,13,40.1,27.5,3.49,98,72.2,15.0,0.187
2,13,0,13,26.5,47.4,2.82,116,75.3,15.8,0.18
19,21,1,11,71.2,77.5,4.91,24,87.2,15.0,0.248
23,15,0,8,15.1,80.2,3.31,74,75.2,15.0,0.237
53,9,0,8,60.7,65.0,2.72,116,68.3,18.9,0.174
32,23,0,14,29.0,46.8,4.12,30,86.9,15.7,0.183
23,7,0,19,95.4,57.6,8.02,67,87.4,15.0,0.229
74,22,1,11,40.2,38.5,2.12,51,74.0,15.5,0.215
71,18,0,15,39.3,12.7,4.05,60,76.2,18.1,0.243
35,9,0,17,93.1,38.6,4.97,101,75.2,15.0,0.218
37,16,1,8,47.6,53.0,5.57,3,90.1,15.0,0.265
83,12,0,11,96.7,59.9,3.27,104,75.9,16.2,0.232
98,17,0,13,12.2,93.6,8.75,5,,15.0,0.185
88,15,0,15,37.6,77.7,6.05,28,88.3,15.0,0.202
98,12,1,12,70.0,15.2,5.65,108,83.4,15.0,0.201
24,18,0,14,90.2,17.4,2.06,78,77.1,17.4,0.179
92,12,1,12,33.1,10.0,5.4,103,81.1,15.0,0.259
17,22,1,7,93.7,73.8,7.86,11,90.3,15.0,0.23
81,15,0,14,63.5,70.6,3.54,72,77.3,16.2,0.264
65,15,1,6,82.1,98.6,4.46,101,74.3,15.0,0.191
53,9,1,9,45.7,52.2,2.14,72,81.8,15.0,0.2
34,9,1,12,29.1,82.6,8.84,76,,15.0,0.239
79,12,1,19,92.0,57.6,2.47,15,88.0,15.0,0.203
60,6,0,17,94.0,87.4,8.29,83,,15.0,0.237
40,17,0,11,54.8,72.1,4.19,48,78.9,15.0,0.176
99,18,0,10,10.6,64.3,6.11,46,,15.0,0.224
32,15,0,12,19.9,56.5,6.76,28,81.5,15.0,0.265
67,20,0,7,61.6,72.3,2.99,7,84.0,15.0,0.15
32,18,1,10,12.1,42.0,5.11,104,84.2,15.0,0.263
13,14,1,14,45.7,9.7,4.28,71,82.9,15.0,0.301
20,14,0,21,37.3,4.0,2.4,94,82.0,16.4,0.203
47,20,1,7,74.3,47.9,7.83,82,83.8,15.0,0.217
19,15,1,9,15.0,59.9,2.32,88,76.9,15.0,0.195
7,15,0,16,54.0,7.9,6.57,6,92.2,15.0,0.189
6,13,0,18,62.1,28.7,4.2,58,81.4,15.0,0.219
66,21,0,7,65.6,32.2,3.34,115,69.3,15.5,0.188
16,22,1,10,46.5,56.3,6.67,68,87.9,15.0,0.223
32,10,0,14,37.4,27.8,6.02,55,83.6,15.0,0.178
47,9,0,13,71.4,9.6,4.21,67,78.9,15.0,0.187
75,23,0,7,86.3,16.5,5.59,49,80.8,15.0,0.183
58,9,1,3,72.4,17.4,3.72,118,71.4,15.0,0.22
85,12,1,14,93.9,84.3,8.05,51,85.8,15.0,0.204
21,15,1,10,74.6,28.4,4.2,59,80.4,15.0,0.212
29,23,1,16,78.8,71.5,3.72,111,79.7,17.8,0.225
37,9,1,8,25.1,56.8,7.26,6,85.6,15.0,0.235
50,15,1,9,47.8,97.7,2.12,90,74.9,15.0,0.257
53,6,1,12,53.7,27.3,3.88,108,73.3,15.0,0.234
7,23,1,14,33.1,15.8,4.63,51,,15.0,0.185
26,10,0,17,57.6,5.2,8.18,38,96.7,15.0,0.207
26,20,0,9,36.2,24.1,8.65,11,90.0,15.0,0.182
97,22,0,16,71.9,68.4,7.02,52,84.3,15.0,0.195
20,8,0,16,52.3,8.5,5.45,93,,15.0,0.204
29,17,0,13,51.3,24.5,6.48,20,,15.0,0.181
96,7,0,13,98.5,85.5,4.9,10,83.1,15.0,0.166
27,6,1,13,45.3,58.3,4.09,26,79.9,16.0,0.213
63,22,1,9,42.6,7.0,8.65,48,86.0,15.0,0.255
96,21,1,16,38.7,4.8,2.81,91,,15.0,0.228
68,10,0,9,90.5,6.1,4.42,114,71.6,15.0,0.179
60,20,0,6,54.7,94.2,8.29,14,91.2,15.0,0.166
47,8,0,7,64.0,85.0,7.06,100,78.7,15.0,0.214
18,12,0,17,26.3,84.5,2.2,59,79.6,18.0,0.163
3,16,0,7,58.7,92.4,2.16,12,73.9,15.0,0.156
34,15,0,10,34.7,50.5,5.62,116,77.3,15.0,0.191
63,14,1,15,75.8,24.7,5.39,23,94.7,15.0,0.183
48,19,1,11,84.9,40.1,5.1,85,83.1,15.0,0.228
16,18,0,10,74.3,71.9,4.12,72,75.8,15.0,0.191
43,7,0,7,75.7,87.6,8.91,39,85.6,15.0,0.252
91,8,0,16,56.1,43.5,3.9,9,87.4,15.0,0.153
29,12,0,6,74.1,53.5,5.43,88,79.9,15.0,0.228
92,23,1,12,48.0,93.2,4.83,95,77.9,15.0,0.243
45,8,0,10,68.6,10.7,3.19,25,79.0,15.0,0.231
5,15,0,13,33.3,86.2,3.42,17,83.4,17.2,0.227
98,12,0,10,16.3,15.9,8.43,42,,15.0,0.198
36,14,0,10,47.2,48.4,8.01,29,90.0,15.0,0.159
23,22,0,12,51.6,21.8,3.39,60,80.0,15.0,0.186
92,16,1,13,33.1,60.3,8.13,67,83.4,15.0,0.192
45,12,0,15,75.5,55.9,3.46,85,75.6,15.0,0.226
52,19,0,15,16.6,38.0,6.39,57,83.4,15.0,0.217
94,9,0,11,30.0,86.3,2.57,72,68.7,20.6,0.187
98,11,0,10,77.4,66.0,8.16,14,91.9,15.0,0.185
59,15,1,10,49.3,72.1,2.36,39,80.6,15.0,0.177
96,12,0,10,73.5,15.1,5.88,16,84.0,15.0,0.196
62,18,0,8,61.1,88.3,7.46,18,89.9,15.0,0.163
84,19,0,9,95.6,16.7,2.82,95,74.0,16.3,0.191
31,9,0,6,63.8,22.3,4.83,75,72.1,15.0,0.215
86,13,0,9,11.3,12.8,2.29,102,73.0,15.0,0.209
32,10,0,10,41.8,44.0,6.78,20,90.5,15.0,0.204
66,6,0,13,22.9,88.8,4.15,117,73.6,15.0,0.202
17,9,1,11,93.2,25.2,5.92,46,84.7,15.0,0.241
24,8,0,10,19.4,37.4,8.53,117,79.5,15.0,0.23
94,14,1,12,44.9,84.6,4.14,45,79.6,15.0,0.231
53,13,0,7,30.3,61.8,2.34,4,80.5,16.0,0.15
57,6,1,13,86.2,75.2,6.73,84,80.5,15.4,0.209
66,11,1,10,37.8,21.4,7.51,95,82.0,15.0,0.251
45,14,0,12,99.3,71.6,8.71,20,91.1,15.0,0.223
23,12,1,12,13.5,22.8,3.1,11,86.5,15.0,0.187
31,9,0,7,21.5,98.7,4.74,114,74.1,15.0,0.237
46,18,1,13,30.2,56.0,7.91,65,84.9,15.0,0.313
85,22,0,7,83.0,69.6,7.65,108,78.9,15.0,0.267
22,7,0,14,89.1,11.8,6.37,18,90.7,15.0,0.188
65,10,0,17,16.4,25.1,3.89,39,80.2,18.4,0.191
26,17,1,10,12.9,14.0,3.99,44,,15.0,0.229
1,13,0,13,77.0,39.0,2.87,97,71.6,15.0,0.226
89,11,0,12,22.0,28.4,8.45,118,85.1,15.0,0.185
16,13,1,7,22.0,73.3,3.21,100,70.9,15.0,0.22
32,23,1,6,12.0,10.9,6.01,18,86.3,15.0,0.235
8,8,0,8,14.5,75.2,6.09,47,81.0,15.0,0.173
42,17,0,8,33.7,4.6,4.59,31,,15.0,0.174
47,8,0,12,15.9,20.2,4.47,99,,15.9,0.185
38,11,0,9,43.2,79.2,6.68,39,86.2,15.0,0.184
92,7,0,17,84.9,74.3,4.72,38,86.7,15.0,0.15
41,17,1,11,39.4,47.6,3.79,79,78.3,15.0,0.246
