distance,cargo_weight,cargo_type,departure_hour,day_of_week,season,weather_score,driver_exp,traffic_index
185.0,7.3,4,22,6,1,7,22,6.5
436.1,12.2,3,4,4,4,8,6,3.4
1239.0,11.1,1,6,6,1,7,19,8.3
813.6,6.3,3,15,0,4,2,1,5.2
,9.1,4,8,2,2,7,20,1.1
1010.1,,4,11,4,1,9,12,8.1
,11.2,1,19,0,3,10,23,4.8
240.7,1.6,2,21,3,3,1,11,9.9
372.8,14.4,2,19,6,3,1,4,7.9
372.7,4.1,3,1,1,4,10,17,6.0
919.9,10.0,2,22,0,3,8,13,2.1
719.4,9.6,1,10,4,2,1,2,5.7
612.0,10.0,3,20,1,2,9,4,6.5
857.1,1.1,4,6,1,3,10,13,8.7
1456.7,5.8,2,14,3,4,3,19,8.3
505.6,1.5,3,23,4,2,3,25,9.4
804.3,8.6,1,22,5,1,8,11,7.4
746.5,12.6,3,15,0,2,4,24,5.3
1089.1,13.3,3,14,5,3,2,19,4.7
1108.9,1.8,4,0,4,4,7,14,5.3
1107.2,2.8,3,14,4,4,6,4,3.7
342.2,13.4,1,10,1,4,3,22,2.3
701.2,10.9,3,0,5,2,4,16,3.3
1226.2,16.8,1,22,0,1,5,20,7.2
603.2,4.5,2,10,4,1,3,3,1.7
1477.2,2.8,4,18,0,1,1,24,4.5
,7.6,3,1,4,3,7,9,2.6
771.6,12.9,4,5,3,2,3,11,7.2
738.1,10.0,1,21,1,1,5,14,4.0
678.8,2.4,4,22,1,3,4,1,5.7
1276.2,1.9,4,0,3,2,2,18,8.5
275.1,13.7,3,21,2,3,6,7,5.8
873.1,6.3,1,7,3,4,7,13,3.7
947.0,13.6,4,5,3,1,6,14,6.4
1284.3,6.3,4,23,0,1,6,19,9.8
,6.6,2,12,3,4,8,21,6.1
1442.0,4.6,4,19,2,4,1,5,4.1
1314.6,19.7,4,3,2,2,8,21,7.9
555.7,0.8,2,18,1,1,9,17,6.6
1296.9,,3,8,1,2,2,23,9.7
1439.8,16.8,2,17,0,2,10,10,2.4
422.9,3.2,3,15,4,1,5,14,9.9
934.8,6.0,4,1,3,1,4,4,7.3
458.6,5.6,4,20,5,1,3,9,6.5
991.9,14.1,2,6,1,3,10,22,7.8
185.8,8.5,3,8,2,2,6,20,2.4
1114.6,16.9,3,19,1,4,10,25,3.3
,15.1,3,21,6,2,8,22,2.1
901.6,10.9,3,21,5,2,5,6,5.4
87.5,5.4,3,10,1,2,1,9,5.6
,16.0,2,8,5,4,10,4,9.1
769.2,17.4,2,19,6,1,3,13,5.0
956.6,16.8,4,6,4,3,8,20,7.5
507.7,1.5,2,15,6,4,2,21,4.6
261.4,14.1,3,5,1,4,9,25,8.2
,14.2,4,5,2,1,1,9,2.0
1418.8,18.9,4,13,4,3,2,11,1.9
380.3,5.6,3,20,3,4,3,15,3.9
1030.0,15.8,2,6,4,3,8,20,10.0
122.3,13.9,3,17,6,4,10,25,5.8
1091.2,17.6,3,0,1,4,3,4,6.9
395.7,14.0,3,16,6,4,6,9,1.9
,17.1,1,9,0,3,8,6,4.5
583.2,7.5,3,1,3,1,9,7,9.4
,3.6,3,13,3,4,3,4,6.1
551.1,7.6,4,5,5,3,2,15,1.5
557.7,16.4,3,15,2,2,8,17,8.7
807.1,3.1,1,1,5,3,1,11,2.0
1459.9,12.9,2,8,1,1,9,15,6.6
731.5,19.8,3,5,6,4,5,18,2.4
1375.9,18.0,3,7,1,3,6,17,8.9
719.3,13.6,1,0,4,3,5,24,9.8
205.9,16.0,4,6,3,2,5,5,3.3
383.7,2.8,4,2,0,1,1,24,8.6
,10.2,4,14,3,2,2,3,9.2
521.8,10.9,3,11,6,2,4,1,7.8
1305.5,15.8,4,6,3,4,3,14,8.0
1034.0,6.0,3,14,4,4,9,13,7.3
888.5,,3,22,6,3,10,14,1.6
762.3,14.1,1,13,2,4,3,25,4.2
626.0,10.1,2,6,0,4,8,11,3.8
937.7,16.9,2,9,4,3,6,22,2.9
230.7,9.9,4,18,5,2,8,18,5.1
285.7,17.0,3,2,0,1,8,2,3.3
489.5,10.4,4,7,2,2,9,11,5.7
298.2,15.8,3,11,2,2,10,4,5.3
1031.8,14.6,1,15,5,1,6,22,1.1
85.9,5.7,3,13,6,3,10,10,2.2
,6.5,1,16,5,4,5,20,6.3
,18.0,4,22,2,2,1,2,9.8
,5.0,2,4,4,2,4,9,6.2
757.0,14.1,2,11,1,4,7,21,9.4
768.3,,3,9,4,4,1,23,9.9
1171.4,15.2,4,2,6,1,9,1,7.2
102.5,4.9,3,3,4,2,9,13,6.3
669.2,12.1,1,15,5,2,3,22,6.2
194.8,11.5,3,12,5,2,9,12,2.8
631.3,4.5,1,7,3,4,8,8,2.5
1476.5,10.1,3,21,0,4,4,19,3.7
1142.8,17.6,3,7,6,1,10,20,4.0
1478.3,13.8,2,14,2,3,6,24,3.5
1131.8,19.9,3,23,6,3,5,23,2.7
931.8,15.8,1,16,5,3,6,1,7.8
1143.6,13.0,2,17,4,3,10,21,4.4
1005.7,11.5,3,6,3,2,7,5,6.2
,18.8,2,21,1,3,6,21,4.6
474.2,10.8,1,11,0,2,7,21,5.0
804.3,8.4,3,7,6,4,8,6,4.8
424.8,,3,17,6,4,2,12,6.2
755.7,18.8,4,12,4,1,6,20,3.1
261.9,9.8,4,3,6,1,7,22,9.8
869.8,3.2,3,0,1,2,2,22,6.4
405.7,12.4,3,2,3,1,8,9,7.3
475.7,14.9,3,3,1,1,1,2,4.1
773.6,7.8,3,5,3,1,1,25,8.7
,15.1,3,8,6,4,4,22,4.3
1445.5,10.9,4,5,2,2,7,6,8.5
698.1,6.4,3,21,2,4,2,15,3.0
560.8,12.8,2,23,3,4,5,24,8.5
92.3,8.1,3,23,3,1,2,9,9.6
1272.7,15.8,2,3,6,3,9,20,2.8
957.5,0.6,4,12,2,3,8,13,1.3
653.8,16.5,2,2,1,4,10,25,8.4
406.0,6.5,3,17,2,4,4,11,6.3
1130.4,19.2,3,3,2,3,6,5,3.2
,15.3,1,6,2,3,4,24,5.8
602.2,5.2,3,4,6,3,4,9,9.9
,19.6,2,11,3,3,6,7,9.5
208.3,10.2,3,8,2,3,10,5,3.8
59.2,10.7,1,12,0,4,9,11,7.2
1128.7,18.2,4,4,6,4,3,21,5.6
1473.0,18.4,4,12,1,1,4,9,3.6
1489.6,14.1,1,2,2,1,5,7,2.3
1187.1,19.6,4,0,4,2,8,12,2.1
285.2,6.9,4,3,0,2,4,14,1.2
1467.7,5.0,1,6,2,1,1,21,6.7
525.3,1.1,4,18,6,2,2,5,3.4
533.7,7.3,1,7,0,2,4,9,6.3
1046.6,,4,12,1,4,9,18,7.8
121.1,6.5,3,16,0,2,7,11,1.0
1247.4,11.8,4,17,4,1,3,19,5.0
,1.4,2,14,0,2,6,12,3.4
1173.9,7.4,3,4,0,1,8,3,6.5
1183.4,15.1,4,15,3,1,3,22,2.3
616.0,2.5,3,7,5,3,8,18,6.1
145.6,14.4,3,14,6,2,7,4,6.3
1199.4,15.4,3,23,1,3,7,5,6.8
915.9,11.6,3,1,4,1,2,9,1.9
,17.8,1,2,5,2,2,24,9.8
218.1,19.1,1,5,5,3,5,8,4.9
492.4,1.2,2,10,6,3,5,22,5.1
573.0,13.7,2,11,0,3,4,13,7.5
,5.1,4,7,0,3,10,6,9.3
1192.2,8.5,3,21,4,2,3,3,7.2
1443.5,12.7,3,0,2,2,4,9,7.0
478.3,14.4,1,13,5,2,1,6,7.3
765.8,16.9,4,13,5,2,1,15,7.1
92.0,14.3,1,18,3,4,4,25,5.9
416.8,15.7,1,13,6,1,8,21,5.6
592.3,12.2,4,3,6,3,6,8,5.3
911.0,2.8,1,7,2,4,7,24,7.9
,0.9,3,4,0,2,8,25,5.2
578.5,10.8,3,11,6,2,6,11,2.2
954.9,14.5,3,21,6,3,5,13,5.4
1251.5,2.6,1,9,6,3,4,13,6.7
400.4,8.9,2,8,0,3,1,11,6.1
547.2,5.5,3,11,5,2,4,4,6.6
1072.1,11.6,3,3,6,1,5,23,4.4
1178.0,8.1,4,20,2,1,3,9,2.6
1246.8,4.4,2,15,5,2,2,3,7.5
353.5,0.6,3,17,3,3,6,25,1.3
831.9,6.8,2,8,3,1,5,4,3.3
1355.0,10.6,3,6,5,2,10,24,9.4
618.3,18.6,4,11,4,1,9,4,4.3
673.3,4.9,1,5,4,1,8,11,4.0
1478.0,10.5,1,0,1,4,5,14,2.1
213.9,11.5,3,17,2,4,7,6,3.3
1073.1,13.2,4,20,4,4,9,15,4.1
1282.8,6.9,3,5,3,4,6,15,3.5
268.7,2.4,3,15,2,2,3,22,3.2
1086.0,18.5,3,21,5,3,8,11,9.4
,19.1,2,17,2,2,2,22,6.0
1286.7,9.0,4,19,3,3,6,19,1.4
1365.8,11.8,4,21,2,2,9,21,9.4
1315.1,1.1,4,6,3,3,9,16,8.3
143.4,1.4,4,1,3,2,8,5,1.9
1147.4,2.0,4,19,2,2,6,17,3.1
,14.9,1,18,5,1,4,18,2.7
951.0,,4,4,1,2,3,10,7.2
,4.1,2,21,5,2,5,16,6.4
115.3,0.7,3,0,0,3,6,16,7.9
1291.2,0.9,3,9,1,4,4,17,5.6
117.3,8.4,2,23,2,3,3,18,3.7
504.6,11.1,3,8,2,3,8,17,3.2
1392.5,11.8,3,18,4,2,6,17,7.0
1427.1,9.4,1,0,6,2,5,8,4.4
1488.3,9.5,3,11,5,4,9,18,4.6
740.8,15.2,2,18,3,4,10,4,2.9
307.3,6.1,3,20,0,2,8,23,8.1
757.5,5.1,3,10,6,3,8,20,6.5
198.4,17.2,3,1,2,2,3,7,3.0
1315.2,13.9,3,12,4,3,9,2,4.8
862.8,9.8,3,17,5,2,8,4,7.3
636.5,5.9,2,10,4,4,6,18,7.2
165.3,3.2,3,22,0,3,2,1,5.1
637.6,1.2,3,7,1,1,6,3,6.9
1306.0,17.1,1,19,6,1,7,18,6.6
,12.1,4,18,5,4,2,13,1.8
169.6,1.4,1,10,4,2,4,9,6.2
281.9,3.6,4,2,3,1,8,7,1.4
618.8,6.0,1,8,6,3,7,13,8.2
197.0,5.6,3,18,5,2,3,8,8.4
1404.4,11.2,2,21,5,3,9,2,1.5
,8.3,4,10,6,3,9,12,4.0
,17.7,4,6,6,2,2,24,8.0
1192.7,14.5,1,18,6,3,1,13,7.0
584.2,18.3,1,22,4,3,7,15,4.5
405.1,17.3,3,3,1,3,1,9,3.4
876.5,18.5,1,7,1,4,7,4,3.7
69.4,19.6,1,19,1,2,6,19,2.1
724.8,6.6,4,3,5,3,8,11,10.0
,4.6,3,23,2,4,1,2,7.1
1395.7,3.7,1,5,1,3,10,8,5.9
546.7,12.7,3,11,5,4,1,1,9.9
981.5,13.8,2,12,3,1,5,22,4.3
378.9,2.2,4,8,1,4,9,25,8.8
862.3,16.5,1,3,2,2,2,22,9.0
418.3,15.8,3,0,3,1,8,21,2.1
878.5,12.8,2,9,5,2,7,20,9.9
299.0,9.0,4,6,0,2,9,12,7.7
1414.8,3.5,1,21,5,4,6,10,4.1
,10.4,3,15,0,1,4,2,4.6
538.5,3.6,3,2,6,1,9,24,1.6
1176.2,12.3,4,18,0,3,2,1,8.1
188.5,6.5,2,14,1,4,8,7,3.7
1123.5,5.3,4,3,2,1,2,11,4.1
459.6,9.1,4,9,6,2,8,17,5.7
246.7,11.8,2,17,2,2,1,25,5.6
,7.7,2,15,5,2,4,14,2.9
731.2,19.3,4,13,1,4,9,21,1.1
818.7,0.6,3,11,2,3,5,11,7.4
804.8,18.3,4,16,3,1,1,25,4.9
136.2,0.5,4,21,0,1,10,5,7.5
,4.7,2,4,0,3,6,11,4.5
921.7,19.9,2,9,2,1,5,6,4.3
954.6,14.7,3,20,5,2,9,7,9.2
118.4,13.1,3,12,0,2,6,21,3.4
598.7,14.7,3,4,5,2,6,18,4.4
938.6,8.5,3,3,4,3,7,17,4.2
,15.8,3,17,1,1,2,3,2.8
1251.0,3.5,4,11,0,3,2,24,2.8
660.1,16.0,1,18,3,4,7,24,9.5
845.0,18.8,3,2,3,4,8,18,1.9
888.9,17.2,1,14,0,2,10,11,7.4
502.5,14.9,1,13,4,1,1,2,2.0
,13.2,2,11,5,3,1,12,2.4
56.1,10.7,4,10,3,4,10,3,7.6
1262.4,8.2,3,6,3,1,2,17,6.7
,17.4,2,18,6,1,6,19,4.2
963.9,13.1,3,7,2,2,5,2,3.2
886.7,9.0,3,10,1,3,2,7,4.8
629.5,15.8,3,20,5,3,8,17,8.9
1258.6,1.6,2,15,3,1,8,7,7.5
1062.7,16.4,2,0,6,1,3,22,9.1
83.0,16.3,2,1,6,4,9,11,3.6
1176.2,5.0,3,12,5,3,7,17,5.2
785.1,1.2,2,17,2,3,3,19,7.0
,,3,11,5,2,3,16,8.8
1104.0,4.4,4,22,3,2,1,16,6.5
1044.8,19.9,2,20,5,4,6,15,1.4
500.4,0.7,2,10,6,2,6,5,5.0
1475.4,5.0,4,5,5,2,2,8,8.7
990.6,1.3,3,0,3,2,7,23,8.1
928.4,15.8,3,0,6,1,4,9,9.6
151.3,11.8,4,14,6,1,2,25,7.7
455.0,,3,8,1,4,2,15,2.5
698.1,19.3,3,3,6,3,6,20,2.8
964.4,12.4,3,1,3,2,10,6,4.1
793.5,5.0,4,11,1,3,6,5,2.0
1156.4,2.3,3,14,2,2,7,10,7.2
,17.4,1,0,5,1,9,20,4.2
1068.1,5.3,3,10,2,4,7,18,2.8
1234.1,17.9,1,10,4,1,9,14,3.1
1159.3,17.6,3,1,3,3,6,5,9.5
1167.7,12.7,1,20,6,2,2,1,7.9
,12.3,3,5,0,2,7,4,3.9
172.1,19.0,3,3,4,2,8,17,8.0
1060.9,15.2,3,3,2,2,5,24,9.3
1454.6,13.8,3,11,5,1,6,25,7.9
,9.0,2,17,6,1,1,20,4.5
,9.9,2,6,2,1,5,11,2.6
1498.2,8.1,3,18,6,3,10,18,8.1
303.3,19.0,3,6,4,1,2,2,1.5
536.6,12.9,4,4,0,3,7,9,3.6
299.5,15.7,3,15,5,2,8,6,1.7
723.5,1.2,3,18,3,3,8,25,3.2
657.4,17.1,4,17,6,3,9,14,3.8
762.3,8.6,3,13,3,1,2,24,4.3
1395.6,14.9,2,20,1,3,3,20,2.3
743.6,1.3,3,20,1,3,4,19,6.5
796.2,17.9,4,6,0,2,1,5,9.7
1335.7,13.4,3,15,4,4,1,2,2.0
1235.7,9.4,2,1,6,2,7,6,7.4
397.6,6.4,3,1,4,1,3,21,2.6
68.7,6.6,2,10,4,3,10,24,6.8
,6.4,3,16,0,2,9,18,2.5
,3.1,4,14,0,2,7,23,9.0
851.6,9.5,4,3,3,2,9,2,1.2
356.2,,3,17,3,4,3,23,3.0
1125.0,8.5,4,14,2,2,8,3,6.9
1020.8,14.2,4,18,6,3,9,5,7.1
,8.7,4,14,2,4,2,21,5.1
1301.8,2.2,4,20,6,3,6,24,3.2
1187.2,17.1,4,8,1,4,10,4,6.6
,8.8,2,0,2,2,6,9,9.9
1013.9,13.3,2,14,2,1,9,21,6.8
1010.2,18.6,1,23,5,2,1,13,2.6
811.5,15.5,3,2,2,1,4,11,9.2
722.7,11.0,4,23,3,2,1,12,7.4
1078.9,11.1,4,18,0,1,8,8,6.4
935.2,17.1,4,0,2,1,6,25,2.6
,16.6,4,13,1,1,2,14,3.7
,4.0,3,7,5,4,9,7,5.3
1067.8,12.7,3,15,5,4,6,23,6.4
,17.4,3,18,1,4,8,24,4.2
546.3,16.2,1,8,6,1,8,2,6.8
566.7,2.9,3,11,2,4,10,24,2.5
407.7,9.0,3,0,5,2,3,25,8.4
1444.8,,2,0,1,2,6,23,2.5
1297.3,5.5,3,18,6,1,2,4,9.6
863.5,13.8,3,8,0,4,7,9,7.5
632.4,9.8,3,21,2,4,4,22,7.9
1118.4,6.3,4,13,2,3,7,10,4.0
815.2,,2,9,1,1,1,11,3.8
1465.0,17.2,4,21,6,2,4,6,8.3
129.9,17.4,2,1,2,2,5,11,8.5
,16.3,3,19,2,4,1,12,6.3
874.5,18.3,3,1,0,3,2,11,4.5
344.8,19.1,4,22,4,4,9,7,6.0
926.2,10.1,4,13,1,4,5,3,7.3
1183.1,2.4,1,11,1,3,1,16,8.1
,16.1,3,15,6,2,2,2,5.1
,12.9,4,19,6,4,10,22,8.1
1048.6,7.9,4,6,0,3,2,2,6.8
1259.1,19.5,2,2,4,4,9,24,8.6
769.7,7.1,2,23,5,4,3,14,8.2
,18.2,3,12,6,3,2,11,4.7
,12.1,4,6,1,3,9,22,7.9
709.0,1.2,2,21,2,2,2,11,6.4
1169.3,,3,0,1,2,9,4,7.0
,15.4,4,20,3,1,8,13,3.0
455.2,,3,0,4,1,10,13,8.0
1143.9,12.5,3,15,1,4,6,23,2.0
800.7,4.8,4,0,0,1,10,13,2.8
307.4,4.7,3,3,0,1,7,2,4.2
,1.1,2,7,1,4,1,9,7.9
1425.1,,2,4,4,1,3,8,4.7
,7.1,3,1,1,2,1,6,6.6
483.3,11.0,2,16,5,2,9,5,9.3
,,2,18,4,2,5,2,7.4
459.8,11.4,2,7,1,2,6,20,8.5
836.9,5.6,3,16,6,1,9,10,2.2
813.6,5.5,4,7,4,2,6,10,1.5
408.7,19.0,3,5,6,3,10,11,3.2
554.4,19.9,3,20,4,1,10,25,9.1
,16.3,4,12,4,2,3,18,7.6
413.4,1.6,3,0,3,4,8,25,4.4
,14.7,3,16,4,3,2,15,9.2
,4.0,1,9,5,3,7,23,6.9
822.3,11.6,3,1,6,3,6,24,8.2
249.4,17.9,2,5,4,4,9,13,1.8
346.6,7.9,3,7,5,1,2,13,8.5
309.5,18.6,4,0,6,4,10,24,5.4
,14.3,2,17,4,2,6,19,1.8
1461.4,6.4,2,5,5,2,9,10,1.4
1322.0,2.4,4,3,1,1,9,8,6.1
86.6,16.4,4,4,6,2,9,10,6.3
446.9,9.4,3,17,6,3,3,7,2.6
278.0,1.9,1,12,2,2,2,12,3.8
1464.7,2.5,3,19,6,2,1,17,4.5
391.6,19.4,3,10,5,4,9,18,1.1
341.9,5.2,3,16,1,4,7,2,9.7
950.3,19.3,3,11,6,3,9,2,8.5
856.5,13.8,4,14,4,2,4,16,3.3
377.5,6.4,2,21,1,4,6,14,8.6
1022.0,8.0,4,14,0,4,1,2,6.5
190.7,15.7,2,11,3,4,7,25,2.6
78.1,9.0,1,20,3,3,10,25,8.1
169.5,2.0,4,15,6,1,7,2,1.9
579.1,5.0,3,22,3,2,9,1,4.8
1463.8,17.3,3,15,2,4,6,3,7.8
843.5,14.1,2,16,2,1,5,17,9.1
1144.4,10.3,1,12,3,4,2,24,3.6
516.2,5.3,2,20,1,3,3,11,6.4
,9.8,3,7,5,2,7,21,8.6
1451.0,15.9,2,13,0,1,4,6,8.8
568.8,2.1,4,21,5,4,4,1,1.0
1498.6,19.9,3,5,1,1,6,13,1.9
975.7,17.3,4,10,1,3,6,12,2.7
1135.5,6.7,4,0,6,3,9,25,1.1
415.6,,3,13,2,2,10,8,9.0
982.5,13.8,3,8,4,1,2,11,1.6
,13.5,4,13,2,1,2,5,9.2
1436.8,3.2,3,5,6,3,9,11,3.8
1361.8,18.2,1,19,1,3,10,2,1.7
,9.3,3,23,3,1,6,9,4.4
1423.0,16.2,1,12,0,4,6,7,7.6
1333.0,6.3,3,14,3,3,8,10,2.2
906.1,6.5,4,10,5,1,10,17,9.6
169.1,19.3,3,7,3,2,4,20,2.6
,10.2,2,11,5,2,3,8,9.1
161.5,,1,11,5,3,9,22,1.1
206.6,16.8,3,18,6,1,1,8,7.6
1466.6,4.9,1,16,6,4,2,2,5.4
357.6,17.6,3,7,6,3,7,7,7.9
1051.7,18.4,3,14,3,3,4,7,6.9
973.0,1.9,3,22,6,3,6,3,2.8
965.2,11.9,3,10,4,2,5,17,1.4
349.7,19.6,3,20,0,4,8,15,4.6
890.1,18.7,2,11,0,2,2,8,6.2
957.0,,3,3,2,1,7,19,8.6
877.1,13.8,3,4,3,3,8,6,3.1
319.9,12.3,2,7,0,1,6,25,3.7
1098.4,4.5,3,13,4,4,4,9,4.1
156.2,13.2,3,21,4,1,10,6,7.5
907.2,7.0,2,9,4,1,2,19,2.1
682.6,7.1,3,6,6,4,4,5,5.7
412.9,8.7,2,15,2,2,6,24,6.3
1220.7,17.1,3,7,0,3,3,18,5.7
305.0,5.1,1,10,6,4,7,6,5.9
1402.8,5.4,4,5,3,1,9,9,4.9
1332.6,0.6,3,7,4,2,6,25,9.9
572.9,3.5,1,1,3,1,4,13,5.1
492.5,19.6,1,13,3,4,7,14,8.5
249.4,9.0,4,11,1,1,6,18,6.0
1378.7,4.3,3,4,3,4,9,7,6.5
959.9,19.3,3,18,5,3,7,11,8.3
96.1,1.0,4,4,0,2,1,11,9.8
790.9,9.9,2,15,2,2,3,10,2.3
,16.2,3,2,6,3,4,8,6.2
881.9,15.6,3,0,2,3,4,11,2.6
788.0,4.2,4,2,1,2,9,20,1.4
170.1,14.3,3,12,6,2,1,12,9.1
1233.0,12.6,4,4,0,1,8,3,9.9
430.4,13.7,3,7,1,2,3,1,7.2
835.2,5.7,4,12,3,2,6,1,4.7
976.6,16.3,1,15,2,3,4,5,7.8
1445.3,11.4,3,18,2,4,1,20,9.9
766.0,,2,9,5,1,1,16,9.2
1380.1,18.8,4,2,3,1,4,9,8.8
,17.2,2,23,3,2,9,1,5.6
1293.3,15.8,3,18,4,1,4,9,2.9
391.9,6.1,1,19,4,1,9,7,2.2
1075.8,1.6,2,22,4,4,10,13,1.6
178.5,11.7,2,16,3,3,2,12,4.1
1479.8,1.2,3,23,3,4,9,5,1.4
1433.2,14.4,2,12,1,3,7,12,7.1
691.2,14.9,4,13,2,4,6,4,8.4
,11.5,3,14,1,2,5,2,8.2
916.8,3.8,4,12,0,4,10,24,1.8
448.8,,3,10,5,3,2,22,2.8
1028.0,12.1,3,7,5,1,1,25,9.7
1062.9,10.5,3,19,1,1,1,3,10.0
811.4,11.6,1,7,3,3,9,17,9.7
,2.1,3,21,6,4,7,22,9.3
,14.9,4,17,3,1,6,11,2.3
,1.7,1,23,0,4,1,25,8.1
962.3,11.8,1,15,4,4,2,25,2.9
199.5,3.8,3,14,6,1,9,5,3.3
,4.6,4,8,1,3,9,22,5.4
79.8,5.0,2,16,6,4,8,2,8.2
576.9,0.8,4,13,5,2,9,4,5.0
977.4,17.9,2,9,0,2,8,4,3.0
,16.2,3,1,6,2,8,25,9.2
1028.1,1.1,4,0,4,2,9,22,3.6
1028.8,1.6,3,5,1,2,5,7,8.0
253.3,15.8,3,16,5,3,2,25,7.9
,0.6,4,22,5,2,2,4,1.8
956.8,9.6,2,22,4,4,7,15,5.0
,2.6,1,12,6,3,2,22,2.2
857.2,12.0,4,20,6,1,3,24,7.5
406.4,20.0,3,0,2,4,9,6,7.7
1225.6,3.9,4,21,0,2,6,20,3.7
159.7,19.2,4,23,5,3,5,18,7.1
966.9,17.4,3,9,6,4,4,15,4.7
224.6,19.7,3,1,2,3,3,21,6.0
998.9,15.4,3,17,3,4,2,23,7.2
655.7,17.2,2,0,3,3,10,4,8.6
1091.2,12.1,3,15,2,4,8,12,5.4
125.7,17.4,4,7,3,2,9,6,7.3
854.9,2.7,4,12,3,1,4,11,3.5
260.1,15.0,4,22,6,1,2,10,5.2
1039.5,12.8,4,3,2,3,2,18,1.8
223.9,1.7,1,0,1,1,10,16,5.3
156.7,6.2,3,13,3,2,9,19,4.3
1084.0,4.7,2,16,0,2,10,18,9.3
142.1,8.4,3,7,1,1,2,9,3.4
375.6,4.4,4,3,4,4,5,17,10.0
1245.9,5.9,4,16,5,1,3,12,2.9
1224.0,6.3,4,16,0,2,6,14,6.4
1288.5,12.2,3,22,2,4,1,6,3.9
