session_count,device_type,pages_viewed,time_on_site,key_pages_viewed,consultation_requested,visit_time_of_day,weekend,order_made
1,планшет,5,7.36,3,0,день,0,1
1,ПК,1,9.71,0,0,вечер,0,0
3,смартфон,3,32.81,5,0,утро,0,0
1,планшет,4,5.53,1,0,вечер,1,0
1,ПК,4,11.03,1,0,день,0,1
1,смартфон,1,7.38,3,0,вечер,0,0
1,смартфон,3,26.82,3,1,вечер,0,1
1,смартфон,5,6.69,2,0,вечер,1,0
2,смартфон,2,2.96,1,0,день,0,0
1,смартфон,3,6.59,3,0,день,0,0
3,смартфон,4,24.86,1,0,вечер,0,1
4,смартфон,3,6.95,1,1,утро,0,1
4,смартфон,4,1.58,1,0,вечер,0,1
1,смартфон,6,7.8,0,0,день,1,1
1,планшет,3,4.9,2,0,день,0,1
1,смартфон,5,10.49,1,0,день,0,1
1,ПК,5,2.76,0,0,ночь,0,0
4,смартфон,2,3.89,0,0,вечер,0,0
2,смартфон,3,7.27,2,0,ночь,0,1
1,смартфон,4,1.26,1,0,утро,0,0
1,ПК,5,2.36,1,0,ночь,0,0
3,планшет,3,16.16,0,0,утро,0,0
4,ПК,4,28.0,2,1,утро,0,1
4,смартфон,5,34.91,4,0,утро,0,0
3,планшет,8,27.69,0,0,утро,0,1
2,смартфон,2,28.48,0,0,вечер,0,1
2,ПК,1,17.21,3,0,вечер,0,0
1,смартфон,3,13.3,1,0,день,0,0
4,смартфон,5,2.64,1,0,утро,0,0
2,смартфон,5,5.83,2,0,день,0,1
5,планшет,2,5.07,1,0,ночь,0,0
2,смартфон,5,13.11,1,0,день,0,1
1,смартфон,7,6.45,1,0,вечер,0,1
3,смартфон,5,4.47,1,1,день,1,1
5,ПК,3,16.82,0,0,вечер,1,1
1,смартфон,7,13.86,0,0,день,0,1
1,ПК,2,4.6,0,0,вечер,0,0
8,ПК,3,5.44,2,1,утро,0,1
1,ПК,2,22.37,1,0,вечер,1,0
2,ПК,3,13.19,2,0,день,1,0
3,ПК,5,11.71,3,0,день,0,1
4,смартфон,2,12.44,1,1,день,0,1
3,смартфон,2,1.08,2,0,день,0,1
1,планшет,2,8.29,3,1,день,1,1
1,смартфон,5,3.44,3,0,утро,0,0
3,смартфон,5,1.0,0,0,утро,0,0
1,планшет,2,13.13,2,0,утро,0,1
2,смартфон,7,3.63,2,0,вечер,1,1
3,ПК,7,3.71,3,0,день,0,1
5,планшет,3,10.21,2,0,ночь,0,0
2,смартфон,6,10.97,0,0,вечер,1,1
3,смартфон,4,6.43,1,0,день,0,0
2,смартфон,4,8.13,0,1,день,0,1
1,ПК,9,18.9,2,0,вечер,0,1
1,смартфон,7,1.13,2,0,утро,0,1
1,смартфон,5,1.0,1,0,утро,0,0
1,планшет,3,10.68,4,0,день,1,0
3,смартфон,6,9.26,2,0,день,0,1
1,смартфон,4,2.06,2,0,утро,1,0
1,смартфон,1,7.38,0,0,день,1,0
1,смартфон,3,13.69,2,0,утро,0,0
1,смартфон,1,13.16,1,0,вечер,1,0
1,ПК,2,9.06,1,0,ночь,1,0
1,смартфон,5,1.4,0,0,вечер,1,1
2,смартфон,9,3.62,1,0,утро,0,1
1,смартфон,4,5.21,2,0,вечер,0,0
2,смартфон,3,15.52,1,0,день,0,0
2,ПК,4,7.85,2,0,вечер,0,0
3,смартфон,5,13.21,1,0,день,0,0
1,ПК,4,25.71,3,0,ночь,1,1
2,смартфон,6,9.78,0,0,вечер,0,1
2,ПК,4,2.71,0,0,утро,0,0
3,смартфон,3,1.5,1,0,вечер,0,0
1,смартфон,7,1.0,1,0,день,0,0
2,смартфон,5,1.93,2,0,вечер,0,0
1,планшет,2,3.14,1,0,день,0,0
1,смартфон,4,3.14,2,0,утро,0,0
1,смартфон,3,11.0,1,0,день,0,0
1,ПК,2,1.63,1,0,вечер,1,0
5,смартфон,6,5.72,3,0,утро,0,1
3,смартфон,3,1.0,1,0,ночь,0,1
1,ПК,2,3.03,1,0,день,0,0
1,смартфон,3,1.0,3,0,день,0,0
2,ПК,5,12.36,2,0,утро,0,1
3,смартфон,5,4.37,0,0,утро,0,0
1,смартфон,7,6.54,0,0,день,0,1
1,смартфон,3,14.33,0,0,день,1,0
1,ПК,1,19.87,2,1,ночь,0,0
1,ПК,3,7.27,0,0,вечер,0,0
3,ПК,1,10.49,3,0,вечер,0,1
4,смартфон,5,13.32,2,0,день,0,0
1,ПК,4,3.36,1,0,ночь,0,0
3,смартфон,5,12.28,1,1,вечер,1,1
2,смартфон,7,10.6,1,0,утро,0,0
2,ПК,5,5.85,2,0,день,0,1
1,смартфон,9,4.17,1,0,утро,0,0
2,смартфон,3,36.37,0,0,вечер,0,1
1,смартфон,2,42.92,0,0,вечер,0,0
1,ПК,3,11.88,3,0,ночь,0,1
1,смартфон,7,4.85,2,0,ночь,0,1
1,смартфон,1,13.92,0,0,вечер,1,1
3,ПК,8,11.37,1,0,день,0,1
4,смартфон,4,7.87,2,0,утро,0,1
4,смартфон,1,1.41,2,0,день,1,0
2,планшет,5,29.3,2,0,вечер,0,0
1,ПК,4,2.65,1,0,день,0,1
3,смартфон,2,5.0,0,0,вечер,0,0
2,планшет,7,4.19,2,0,день,0,0
1,смартфон,6,1.67,2,0,день,0,1
2,смартфон,3,1.0,1,0,ночь,0,1
3,смартфон,6,26.56,2,0,утро,0,1
2,смартфон,4,13.45,3,0,день,0,0
2,смартфон,9,1.0,0,0,утро,0,0
4,ПК,4,11.64,0,0,вечер,0,0
1,планшет,3,1.39,0,0,утро,0,0
3,ПК,1,12.87,1,0,ночь,0,0
5,планшет,3,7.04,2,0,вечер,0,0
1,смартфон,4,38.1,1,0,утро,0,0
1,смартфон,4,5.66,2,0,вечер,1,0
3,ПК,2,13.82,3,0,утро,0,0
1,планшет,3,1.0,2,1,вечер,1,0
1,ПК,3,27.42,3,0,вечер,0,1
2,смартфон,1,8.27,2,0,ночь,0,1
2,смартфон,4,3.77,1,0,день,0,1
3,смартфон,1,1.36,1,0,вечер,1,0
1,смартфон,8,10.24,1,0,день,0,1
3,смартфон,2,13.72,3,0,ночь,0,0
2,смартфон,5,1.0,4,0,день,1,1
2,планшет,1,1.8,2,1,ночь,1,0
6,смартфон,4,4.87,5,0,день,0,1
3,смартфон,4,19.09,1,0,утро,1,0
3,планшет,4,40.7,1,1,день,0,1
2,смартфон,3,13.67,1,1,день,1,1
4,смартфон,3,1.0,1,1,вечер,1,1
1,смартфон,5,23.38,1,0,день,0,1
2,ПК,7,1.0,1,0,утро,0,0
1,смартфон,7,22.74,1,0,утро,0,0
3,ПК,5,5.28,2,0,день,0,0
2,смартфон,6,13.54,2,0,утро,1,1
1,смартфон,2,1.0,3,0,день,0,0
1,смартфон,1,1.8,1,0,день,0,0
3,смартфон,5,5.99,0,0,утро,0,1
1,смартфон,3,1.0,1,0,ночь,0,0
1,планшет,6,4.94,3,1,день,1,1
2,смартфон,1,13.94,3,0,ночь,0,1
1,планшет,5,10.63,1,0,утро,0,1
3,ПК,3,4.34,2,0,вечер,0,0
3,планшет,4,1.0,1,0,день,0,0
1,смартфон,5,3.14,0,0,день,0,1
2,ПК,3,14.97,2,1,утро,0,1
3,смартфон,3,4.16,2,0,утро,0,0
2,смартфон,3,4.74,3,0,день,0,1
3,ПК,5,1.0,0,0,вечер,0,0
2,смартфон,5,9.21,0,0,вечер,0,0
1,планшет,2,9.73,2,0,утро,0,0
1,смартфон,4,5.64,4,0,утро,0,0
1,смартфон,5,14.29,0,1,ночь,0,1
1,смартфон,11,20.94,0,0,вечер,0,0
1,смартфон,4,13.88,3,1,утро,1,1
1,смартфон,1,7.86,1,0,утро,0,1
2,смартфон,5,27.44,2,1,день,0,1
1,ПК,4,4.82,1,1,утро,1,0
3,ПК,1,10.63,2,0,вечер,0,0
2,ПК,9,8.56,1,0,утро,0,0
2,ПК,1,18.42,0,0,день,0,1
1,смартфон,7,6.92,4,1,день,0,1
1,ПК,2,8.06,3,0,день,1,0
1,смартфон,5,6.05,1,0,ночь,1,0
3,смартфон,2,1.51,2,0,день,0,0
1,планшет,3,21.75,0,0,день,1,0
2,смартфон,4,19.79,3,0,вечер,0,1
2,ПК,3,12.12,1,1,день,0,1
3,смартфон,4,4.27,1,0,утро,1,0
4,смартфон,5,4.39,3,0,утро,1,1
1,смартфон,2,1.0,1,0,ночь,1,0
2,смартфон,5,1.0,0,0,утро,1,0
1,ПК,8,7.21,0,0,ночь,1,0
3,ПК,4,1.0,3,0,день,0,1
1,смартфон,5,1.04,4,0,день,0,1
1,смартфон,4,2.89,0,1,ночь,1,1
2,смартфон,3,4.68,0,0,день,1,0
2,ПК,5,6.72,1,0,ночь,1,1
1,смартфон,5,3.92,2,0,день,0,0
1,ПК,3,28.25,0,0,вечер,1,0
4,планшет,3,30.14,3,0,утро,0,1
3,ПК,7,1.0,0,1,утро,0,0
1,смартфон,3,42.28,1,1,вечер,1,0
1,планшет,6,1.9,2,0,день,1,0
1,планшет,2,4.03,3,0,вечер,0,0
2,ПК,4,18.14,4,0,утро,0,1
1,ПК,3,11.64,4,0,вечер,0,1
2,смартфон,2,1.0,4,0,вечер,0,0
4,планшет,5,14.9,1,0,день,0,1
1,ПК,3,10.88,0,0,ночь,0,0
2,ПК,1,30.06,1,0,ночь,0,0
2,планшет,3,24.08,1,0,день,1,0
1,смартфон,3,36.98,0,0,день,0,1
1,смартфон,2,6.07,2,0,день,1,0
3,ПК,5,12.26,2,0,вечер,0,1
3,смартфон,1,32.68,3,0,вечер,0,0
2,смартфон,5,1.0,1,0,день,1,1
1,смартфон,3,15.56,1,0,ночь,0,0
1,планшет,3,1.0,1,0,утро,0,0
2,смартфон,5,60.0,0,1,утро,0,1
5,смартфон,2,1.0,1,0,вечер,0,1
2,смартфон,6,8.09,0,0,вечер,0,0
3,ПК,4,7.36,2,0,день,1,0
2,ПК,6,3.63,1,0,день,0,1
2,смартфон,2,13.18,1,0,утро,0,0
5,смартфон,6,2.97,0,0,день,0,0
4,планшет,4,3.44,4,1,утро,0,0
2,ПК,11,1.99,1,1,вечер,0,1
1,ПК,8,12.52,0,0,день,0,1
3,планшет,4,1.86,3,0,день,0,1
2,ПК,3,22.8,0,0,вечер,0,0
3,смартфон,3,3.39,1,0,день,0,0
1,смартфон,4,7.31,1,0,вечер,0,1
1,планшет,2,6.44,0,1,день,1,1
5,ПК,3,12.12,3,1,утро,0,1
3,смартфон,3,2.67,1,0,вечер,0,0
4,ПК,3,18.24,2,1,ночь,0,1
2,ПК,1,13.39,0,0,утро,0,1
1,планшет,7,4.19,3,0,вечер,0,1
1,смартфон,7,1.28,2,0,вечер,0,1
1,смартфон,5,7.03,1,0,утро,0,0
1,ПК,4,39.39,0,1,день,1,0
3,смартфон,1,1.0,4,0,день,0,1
3,смартфон,3,18.63,3,0,день,0,1
4,ПК,3,12.03,4,1,день,0,1
2,ПК,4,2.02,0,0,вечер,0,0
4,смартфон,3,6.47,1,1,утро,0,1
1,ПК,3,9.88,1,1,день,0,1
2,смартфон,3,11.93,0,0,утро,1,1
1,смартфон,1,25.43,1,0,день,0,1
5,планшет,8,20.64,1,0,день,0,1
2,ПК,5,3.98,0,1,ночь,0,1
2,смартфон,6,1.28,0,1,день,0,0
3,смартфон,8,1.1,1,1,день,0,1
2,смартфон,2,34.66,3,1,день,0,1
6,ПК,5,31.19,0,0,день,0,1
2,планшет,5,17.12,0,1,день,1,1
2,смартфон,1,39.35,2,0,день,1,1
2,смартфон,4,3.2,4,0,вечер,0,1
3,смартфон,7,17.46,3,0,вечер,0,1
3,планшет,5,6.98,2,0,вечер,0,1
3,ПК,3,16.06,1,0,вечер,1,1
6,смартфон,5,9.44,1,0,утро,0,0
1,ПК,2,18.72,2,0,вечер,1,0
2,смартфон,2,5.06,1,1,день,1,0
1,смартфон,5,45.23,1,0,вечер,0,1
2,смартфон,4,2.47,0,0,утро,0,0
3,смартфон,4,11.17,1,1,утро,1,0
3,ПК,4,16.22,1,0,день,0,0
2,планшет,1,8.81,2,0,день,0,0
1,смартфон,9,3.43,2,0,ночь,0,0
4,смартфон,2,8.24,1,1,утро,0,1
1,смартфон,5,7.03,3,0,день,0,1
2,смартфон,5,2.11,4,0,день,0,0
2,планшет,2,14.41,1,0,вечер,1,0
2,ПК,2,3.11,3,0,утро,0,1
1,смартфон,3,17.84,2,1,ночь,0,1
4,смартфон,5,2.41,2,1,ночь,0,1
1,смартфон,11,6.98,0,0,вечер,0,1
1,ПК,6,11.88,2,0,вечер,1,1
2,смартфон,3,54.8,2,1,вечер,0,1
2,смартфон,4,3.16,2,0,вечер,0,1
3,смартфон,3,10.1,2,0,день,0,1
2,смартфон,4,1.66,1,1,утро,0,0
1,смартфон,1,17.13,4,0,вечер,1,1
2,ПК,3,19.76,1,0,вечер,0,0
2,ПК,3,21.89,2,0,утро,0,1
3,смартфон,2,29.1,2,0,день,0,1
2,смартфон,3,4.4,2,0,день,0,1
2,планшет,5,10.98,3,0,утро,0,0
1,ПК,2,3.79,3,0,день,1,0
3,смартфон,3,16.29,1,0,утро,1,0
3,ПК,7,5.37,1,1,утро,1,1
4,ПК,3,8.09,2,0,утро,0,0
1,смартфон,5,1.43,2,0,день,0,1
4,смартфон,2,19.0,0,0,утро,0,0
1,планшет,2,6.6,3,0,вечер,1,0
2,планшет,6,10.23,2,0,ночь,0,0
1,смартфон,3,11.06,1,0,день,0,1
2,смартфон,7,3.21,2,0,день,0,1
2,смартфон,2,15.85,1,1,ночь,0,1
1,ПК,5,17.9,3,0,вечер,0,0
2,смартфон,2,7.25,2,0,день,0,0
4,смартфон,7,23.27,0,0,день,0,0
1,ПК,4,1.75,3,0,вечер,0,1
2,смартфон,4,5.35,0,0,день,0,1
3,планшет,4,1.0,2,0,вечер,0,1
1,смартфон,6,5.08,0,0,утро,1,0
2,смартфон,6,58.22,3,0,день,0,0
1,смартфон,6,6.22,1,0,утро,0,0
1,ПК,8,5.43,1,1,вечер,0,1
1,ПК,5,11.64,2,0,ночь,0,1
3,смартфон,5,1.0,2,1,вечер,0,1
1,ПК,6,4.37,1,0,вечер,0,0
2,ПК,3,7.62,2,0,утро,0,0
1,смартфон,6,6.62,3,1,день,0,1
5,смартфон,4,10.29,1,1,вечер,1,1
1,смартфон,4,1.5,1,0,вечер,0,1
4,планшет,5,5.15,4,0,ночь,0,1
2,планшет,4,10.04,2,0,вечер,0,0
1,смартфон,5,3.59,2,0,день,0,1
1,смартфон,3,9.49,3,0,вечер,1,1
3,смартфон,3,31.78,0,0,день,0,1
2,смартфон,5,26.65,3,0,вечер,1,1
3,смартфон,3,12.93,1,0,вечер,0,0
3,смартфон,4,1.96,0,0,утро,0,0
1,смартфон,5,15.34,3,0,вечер,0,1
1,ПК,3,5.92,2,0,вечер,1,1
1,смартфон,3,30.31,1,0,ночь,1,0
4,смартфон,3,9.45,2,1,ночь,0,0
2,смартфон,5,2.45,1,0,день,0,1
4,смартфон,2,3.75,0,0,день,1,0
3,планшет,5,3.84,2,0,вечер,0,0
2,смартфон,1,3.23,3,1,вечер,1,0
3,смартфон,3,14.78,0,0,вечер,0,0
2,смартфон,3,4.11,2,1,утро,1,0
2,смартфон,4,2.18,2,0,вечер,0,1
2,смартфон,4,9.07,1,0,утро,0,0
3,планшет,4,6.25,2,0,день,0,1
1,смартфон,4,1.0,1,1,утро,0,1
2,ПК,5,3.27,2,0,день,0,0
3,смартфон,6,1.0,1,0,утро,0,1
2,смартфон,5,14.57,2,0,день,0,1
1,смартфон,8,30.16,0,0,вечер,1,1
1,ПК,2,6.93,0,0,утро,0,1
2,смартфон,2,8.17,2,1,день,0,1
2,смартфон,1,18.65,0,0,утро,0,0
1,смартфон,2,1.0,5,0,утро,0,0
1,планшет,3,1.77,3,0,день,0,1
5,смартфон,3,10.62,0,1,утро,0,1
2,ПК,2,13.54,1,0,вечер,0,0
1,планшет,8,9.84,0,0,утро,0,0
2,ПК,6,28.01,1,0,ночь,0,1
1,смартфон,1,4.98,2,1,ночь,0,1
2,ПК,4,8.1,0,0,вечер,0,1
1,смартфон,2,31.33,4,0,вечер,0,1
3,смартфон,7,22.99,1,0,вечер,0,1
4,ПК,5,1.0,1,0,вечер,0,0
2,смартфон,3,4.34,2,0,утро,0,0
1,ПК,2,13.43,3,1,ночь,1,1
2,смартфон,3,1.0,2,0,вечер,0,1
2,ПК,4,19.88,1,0,день,1,1
3,смартфон,3,6.97,1,0,утро,0,0
5,ПК,3,1.0,3,0,вечер,1,0
2,смартфон,6,5.84,1,0,ночь,0,0
3,смартфон,4,6.78,3,0,день,1,1
3,планшет,6,4.57,1,0,утро,0,1
2,ПК,3,6.06,0,0,ночь,0,0
5,смартфон,7,22.2,1,1,утро,0,1
2,смартфон,4,3.92,3,0,вечер,0,1
5,смартфон,6,32.42,1,0,ночь,0,1
1,смартфон,1,11.62,1,0,день,0,0
1,смартфон,5,22.64,0,0,утро,0,1
1,ПК,6,2.34,2,0,вечер,1,1
2,смартфон,10,6.77,2,0,утро,0,1
1,смартфон,4,8.33,1,0,день,0,1
1,ПК,9,1.0,0,0,вечер,0,1
1,смартфон,3,6.81,0,0,день,0,0
3,смартфон,7,19.73,3,0,день,1,1
3,планшет,2,1.0,1,0,день,0,0
1,ПК,5,10.28,2,0,день,0,1
1,планшет,3,44.88,1,0,день,0,1
2,планшет,4,7.5,3,0,вечер,0,0
5,смартфон,7,3.61,1,0,вечер,0,0
1,смартфон,3,8.79,1,0,утро,0,0
3,ПК,8,7.8,3,0,утро,1,0
1,смартфон,3,1.11,2,0,утро,1,0
2,смартфон,1,2.41,3,0,вечер,0,0
1,ПК,4,11.07,5,0,утро,0,0
1,планшет,4,8.98,1,0,день,0,0
2,смартфон,3,4.22,4,0,день,0,1
2,ПК,4,38.41,0,0,день,0,0
1,ПК,4,10.35,1,0,день,0,0
1,ПК,4,2.62,2,0,ночь,1,0
1,ПК,2,6.37,2,0,день,0,0
1,смартфон,2,12.43,1,0,утро,0,0
3,ПК,3,11.15,3,0,утро,0,0
2,планшет,1,2.83,2,0,день,0,0
5,ПК,3,10.44,1,1,день,1,0
1,ПК,4,4.05,3,0,день,0,0
3,смартфон,5,6.12,3,0,утро,0,1
2,смартфон,4,11.06,3,0,утро,0,1
3,смартфон,6,8.7,1,1,вечер,0,1
3,ПК,2,12.47,2,0,день,0,0
3,ПК,2,4.81,2,0,утро,1,0
1,смартфон,3,13.94,5,0,вечер,0,1
3,смартфон,5,1.0,1,1,вечер,0,1
2,ПК,3,2.08,2,0,день,1,0
1,смартфон,7,36.2,2,0,утро,0,0
2,смартфон,5,1.0,2,0,вечер,0,0
3,смартфон,3,10.84,2,0,утро,0,0
1,ПК,7,24.86,1,0,утро,1,0
2,ПК,5,19.63,2,0,день,0,0
1,смартфон,2,24.39,2,0,вечер,0,1
1,смартфон,6,41.29,3,1,вечер,0,1
2,планшет,4,4.42,0,0,ночь,0,0
1,ПК,6,4.01,1,0,вечер,1,1
1,планшет,2,1.29,1,0,день,0,0
1,смартфон,6,2.25,2,1,вечер,0,1
2,смартфон,4,10.58,1,1,утро,0,1
3,ПК,6,4.02,3,1,утро,0,1
4,смартфон,2,4.17,0,0,ночь,0,0
2,смартфон,5,10.38,3,0,вечер,0,1
2,ПК,5,1.11,0,0,день,0,0
2,ПК,4,1.0,3,0,вечер,1,0
1,планшет,7,16.24,1,0,день,0,0
2,планшет,3,15.6,0,1,утро,1,1
3,смартфон,5,4.86,0,1,утро,0,0
1,смартфон,6,8.99,4,0,день,1,1
6,смартфон,7,2.72,1,0,день,0,1
1,смартфон,2,4.58,0,0,вечер,0,0
3,смартфон,1,1.0,1,0,день,0,1
1,ПК,4,3.2,1,0,день,0,0
1,смартфон,3,1.0,2,0,ночь,0,0
3,смартфон,4,5.52,4,0,утро,0,1
3,смартфон,4,7.33,3,0,день,0,1
3,планшет,5,6.84,2,0,ночь,0,0
1,смартфон,1,4.17,3,1,день,0,0
6,ПК,6,2.32,1,0,утро,0,1
1,смартфон,3,6.06,1,1,день,0,1
1,планшет,1,20.4,1,1,вечер,0,0
4,планшет,3,40.88,0,0,вечер,0,1
1,смартфон,1,3.75,2,0,день,0,0
5,планшет,6,36.66,0,0,утро,1,0
2,смартфон,3,5.7,2,0,ночь,1,1
1,ПК,4,9.5,1,1,утро,1,1
1,ПК,8,16.28,3,0,ночь,0,1
1,смартфон,5,4.45,0,0,день,0,1
4,смартфон,6,2.34,1,1,ночь,1,1
2,смартфон,3,3.19,2,0,утро,0,0
2,ПК,3,18.24,0,1,вечер,1,1
1,смартфон,2,27.25,1,0,вечер,1,1
1,планшет,3,1.38,0,0,день,0,1
2,планшет,4,11.86,2,0,утро,1,0
1,планшет,1,1.0,2,0,утро,1,0
3,смартфон,6,20.79,1,0,утро,0,1
1,смартфон,4,19.44,3,0,утро,0,1
1,смартфон,2,14.9,2,0,вечер,0,1
1,смартфон,5,17.39,0,1,вечер,0,1
4,смартфон,7,9.27,0,1,вечер,0,1
3,смартфон,3,1.59,2,0,вечер,0,0
