membership_type,distance_km,visits_per_week,duration_months,age,gender,personal_goal,late_cancels,churn
1,17.2,3.2,13,39,0,0,1,0
1,12.9,4.6,1,44,1,1,0,0
2,0.6,3.4,44,38,0,1,0,0
0,11.2,0.5,49,49,0,0,1,1
0,3.9,5.4,11,31,0,0,1,0
1,16.1,3.3,34,46,0,1,0,1
2,8.5,2.0,28,44,0,0,1,0
2,9.1,1.2,50,57,1,1,1,0
1,6.4,4.3,36,34,0,1,1,0
2,5.0,6.5,28,21,0,1,1,0
1,3.6,1.9,15,64,0,0,0,0
1,8.4,6.1,58,57,0,1,1,0
1,11.0,4.6,16,53,1,0,1,0
0,18.1,0.1,9,44,0,1,0,0
2,8.3,5.9,29,45,1,1,3,0
1,6.8,2.8,8,61,0,0,1,0
1,16.5,5.9,11,41,0,0,1,0
1,14.1,1.4,57,43,0,1,2,0
1,2.7,3.6,13,51,0,1,0,0
0,14.3,1.4,23,58,1,1,1,1
2,19.0,3.4,49,33,0,1,0,1
2,10.2,6.5,18,37,0,1,0,0
0,10.1,3.5,23,63,0,0,1,1
1,14.6,7.0,43,26,0,1,0,0
1,4.4,1.9,44,53,1,1,1,0
2,7.7,4.2,35,61,0,0,0,0
2,6.7,6.8,46,23,1,1,0,0
1,19.9,5.3,48,48,1,0,0,1
1,3.7,4.8,31,60,0,0,0,0
2,3.9,5.2,6,52,1,1,0,0
1,9.5,2.3,32,59,0,1,1,0
2,5.8,2.0,50,58,1,0,1,0
0,17.5,1.0,9,55,1,0,1,0
2,9.0,4.2,4,21,0,0,0,0
2,13.9,6.5,54,23,1,0,3,0
2,16.5,5.4,41,28,1,0,1,1
0,5.8,6.9,59,33,0,0,1,0
1,14.8,6.9,8,55,0,1,3,0
0,8.3,3.0,29,35,1,0,2,0
1,5.5,3.6,38,21,0,0,0,0
1,17.9,5.8,43,33,0,0,0,0
0,11.5,5.4,36,18,1,1,2,0
1,10.2,5.4,35,21,0,1,0,0
2,4.0,3.9,19,58,1,0,1,0
1,18.1,4.1,42,58,0,1,1,1
1,12.9,5.9,38,30,0,1,1,0
2,19.0,6.6,23,44,0,0,0,1
2,1.4,5.4,39,45,0,1,1,0
0,2.8,5.4,16,22,1,1,1,0
2,17.6,1.1,21,55,1,0,1,1
2,9.3,6.0,52,30,1,1,1,0
0,9.6,6.6,35,22,0,1,1,0
2,4.9,1.9,39,58,1,0,0,0
1,10.0,1.3,39,60,0,1,0,0
1,9.1,1.2,48,43,1,1,2,0
2,14.6,0.2,2,28,0,0,1,0
0,12.9,2.8,30,44,1,0,2,0
2,16.1,1.3,45,60,0,0,1,1
2,15.8,0.9,41,63,1,1,0,1
2,8.7,5.1,52,49,1,0,0,0
1,6.4,5.3,13,59,1,1,1,0
1,6.9,4.9,22,23,1,1,0,0
2,19.8,4.7,12,27,0,1,0,0
1,8.5,3.6,22,59,0,0,0,0
0,15.2,0.4,5,61,0,0,1,0
1,2.1,6.8,35,31,1,0,0,0
2,8.9,6.9,52,22,0,1,1,0
1,6.9,6.2,41,39,0,1,0,0
2,3.6,5.3,49,56,1,0,1,0
2,1.0,5.4,26,39,0,1,0,0
1,5.4,4.2,1,59,0,1,4,0
2,16.0,0.8,33,28,0,1,0,1
0,6.3,5.8,33,63,1,0,1,1
2,17.5,4.7,9,49,0,1,2,0
2,11.8,0.5,20,50,0,1,0,0
2,16.2,4.3,41,62,0,1,0,1
0,20.0,1.3,33,44,1,1,2,0
0,13.0,3.9,39,19,0,0,1,0
0,7.1,1.7,26,31,1,0,0,0
1,6.5,4.5,35,35,0,1,1,0
1,19.5,5.4,28,37,1,1,0,0
1,14.4,0.3,13,40,0,1,0,0
0,10.3,0.5,3,63,0,1,0,0
0,4.7,7.0,57,56,1,0,0,1
2,10.1,4.8,48,22,1,1,0,0
1,15.4,2.2,11,48,0,0,2,1
2,19.5,1.7,5,42,0,0,1,0
0,13.6,2.9,18,62,1,0,0,0
1,1.0,6.6,53,52,1,0,0,0
2,9.6,4.8,57,50,0,1,1,0
1,16.6,7.0,13,59,0,1,1,1
0,10.5,3.9,34,64,1,1,0,1
2,7.2,3.0,23,65,1,0,2,0
1,17.3,1.4,34,57,1,0,3,1
2,11.8,3.8,21,24,0,1,1,0
0,10.3,4.5,60,22,1,1,0,0
2,10.0,3.6,17,22,0,0,2,0
0,13.8,0.9,9,54,0,0,0,0
2,9.4,1.2,2,48,1,1,0,0
1,11.6,5.5,52,58,0,1,0,0
0,6.1,1.5,41,22,0,1,0,0
1,3.9,0.7,11,21,0,0,2,0
0,16.5,1.1,13,58,1,1,0,0
2,6.7,6.3,20,46,0,0,1,0
2,3.0,4.4,3,57,1,0,1,0
2,4.1,5.4,6,58,0,0,1,0
1,8.5,1.6,5,44,1,0,2,0
0,6.1,4.4,44,28,1,1,1,0
2,14.1,1.4,33,42,1,1,4,0
2,7.3,3.6,57,19,1,1,1,0
0,11.9,0.5,16,42,1,1,1,0
2,3.8,3.6,42,40,0,1,1,0
1,3.2,1.6,30,18,1,1,0,0
1,18.2,1.5,36,59,1,1,1,1
2,17.4,3.5,15,64,1,1,1,0
1,18.0,4.0,7,20,0,0,0,0
1,10.1,4.9,29,62,0,1,2,0
0,1.9,2.1,45,48,1,0,0,1
1,6.5,2.0,16,41,0,1,0,0
2,17.7,0.6,40,31,1,0,2,1
0,8.7,2.2,56,57,0,0,0,1
1,6.9,2.4,12,36,1,1,0,0
2,6.3,3.5,10,18,0,1,2,0
0,11.2,2.9,49,44,1,0,0,0
2,9.3,4.9,51,54,0,0,2,0
2,7.8,3.2,53,45,0,1,1,0
0,8.7,5.9,27,53,0,0,1,1
1,5.7,3.7,24,31,1,0,0,0
1,4.2,4.1,58,53,0,1,2,0
1,4.4,4.9,48,43,0,1,1,0
0,1.2,4.7,58,54,0,1,1,1
0,18.9,6.5,34,31,0,1,0,0
0,19.2,5.2,41,65,1,1,1,1
0,2.5,6.7,2,51,1,1,1,0
2,1.9,2.4,16,21,0,1,2,0
2,8.6,6.8,41,53,0,0,1,0
0,15.4,4.2,48,22,1,1,0,0
1,16.6,2.2,14,46,0,0,1,1
2,0.9,1.0,36,31,1,0,2,0
1,6.0,3.6,25,28,1,1,2,0
2,10.9,6.7,36,33,1,1,1,0
0,3.1,5.9,5,45,1,1,0,0
1,19.4,5.2,40,26,1,0,0,0
2,5.4,0.4,46,19,0,1,0,0
1,10.9,5.4,12,21,1,0,5,0
0,2.6,4.8,25,40,1,1,3,0
1,7.1,5.9,51,18,0,1,0,0
2,2.9,0.7,44,58,1,1,0,0
1,18.3,2.8,15,21,0,0,2,0
2,19.0,2.4,36,22,1,1,0,1
2,11.1,5.4,10,51,0,1,0,0
0,7.3,5.3,47,44,1,0,1,0
1,6.8,3.5,22,28,0,1,2,0
2,18.5,2.5,40,59,1,1,1,1
1,12.6,0.7,14,21,1,0,2,0
0,8.5,1.1,57,22,1,0,0,0
2,15.5,0.1,29,20,0,1,2,1
2,10.9,5.4,40,50,0,1,1,0
2,4.8,6.4,9,50,1,1,0,0
0,5.2,0.2,8,19,0,1,0,0
1,5.9,5.6,47,44,0,1,0,0
1,0.8,1.9,19,36,1,0,0,0
0,5.5,3.6,19,43,1,0,1,0
2,12.4,4.9,28,29,0,1,0,0
0,15.2,2.3,1,38,1,1,0,0
1,2.7,6.9,27,32,0,1,0,0
0,19.5,6.9,48,45,0,1,3,0
0,10.0,4.7,51,65,0,0,0,1
0,1.7,6.9,1,40,1,1,3,0
1,18.8,0.8,21,49,1,1,0,1
2,5.8,0.1,57,40,0,1,0,0
1,6.5,6.0,15,38,0,0,0,0
1,9.5,4.8,48,61,1,0,0,0
0,6.8,2.2,6,61,1,0,0,0
1,4.0,3.7,25,24,0,1,1,0
1,3.0,2.8,43,22,0,1,2,0
0,10.4,3.2,24,57,0,0,0,1
1,1.9,4.0,59,50,1,1,1,0
1,14.3,3.6,58,35,0,1,1,0
2,7.2,4.3,8,35,0,1,1,0
0,19.9,2.3,9,39,0,1,3,0
2,1.7,3.9,47,27,0,1,0,0
0,1.4,6.0,40,30,1,1,0,0
0,5.4,2.5,29,47,1,1,1,1
2,7.4,2.0,37,39,1,1,0,0
0,16.4,3.4,22,52,1,0,1,1
2,16.7,2.2,46,65,0,0,0,1
2,14.6,6.3,46,58,0,0,1,0
2,16.6,4.2,27,48,1,0,1,1
2,14.7,5.2,54,63,0,0,0,0
2,17.5,0.2,46,22,0,1,1,1
1,9.6,0.7,11,49,0,0,1,0
2,5.9,2.8,37,25,1,0,0,0
1,12.8,2.9,50,64,0,1,0,0
2,7.6,0.5,52,60,1,0,0,0
0,1.8,5.6,17,56,0,1,0,0
2,17.2,3.9,4,64,0,1,1,0
2,16.8,3.5,47,53,0,1,0,1
2,10.2,4.7,26,50,1,1,3,0
0,9.6,4.8,10,28,0,1,0,0
1,2.8,2.3,20,40,0,0,0,0
0,3.0,3.3,44,33,0,1,0,0
2,16.1,4.1,44,18,0,1,1,1
0,17.2,0.0,19,49,1,0,0,0
0,0.6,1.0,47,42,1,0,1,0
0,15.8,2.7,25,35,1,1,0,0
2,11.0,0.3,40,44,0,0,1,0
1,9.0,0.4,54,53,1,0,0,0
1,9.8,3.6,46,42,0,0,3,0
1,14.4,4.3,39,30,0,0,0,0
0,0.5,1.7,50,37,0,0,0,0
1,1.7,6.3,52,49,0,1,0,0
2,16.9,5.7,22,58,1,1,1,1
1,20.0,6.0,59,57,1,1,0,1
1,5.2,3.2,42,55,1,0,1,0
1,8.3,5.7,51,46,1,1,0,0
2,14.2,4.7,11,49,1,1,1,0
1,13.5,0.7,12,46,0,1,0,0
2,15.8,0.1,38,34,1,1,0,1
1,18.3,6.6,31,43,1,0,0,0
1,5.6,3.8,43,29,1,1,1,0
0,10.8,5.1,1,29,1,1,0,0
1,3.2,1.1,30,20,0,1,1,0
2,19.4,4.9,40,29,1,1,0,1
0,15.3,4.6,33,63,1,0,0,1
0,4.2,6.3,56,60,1,1,4,1
1,14.9,2.1,14,37,0,1,0,0
1,16.1,2.5,5,58,0,1,0,1
2,3.2,4.3,28,42,1,0,1,0
0,10.2,6.2,2,55,1,0,2,0
2,16.5,1.9,44,52,0,1,0,1
2,7.3,0.7,23,37,1,0,1,0
2,1.5,2.3,3,55,0,1,0,0
2,7.2,4.5,28,43,0,1,2,0
2,15.7,7.0,53,45,1,1,0,1
1,2.5,1.2,25,59,0,1,0,0
1,6.5,5.7,45,64,0,0,1,0
1,17.1,1.6,59,27,1,1,2,0
2,3.7,3.6,45,60,0,0,1,0
1,8.1,5.2,50,27,1,1,0,0
0,11.3,0.8,24,34,1,1,2,0
2,4.0,5.6,10,22,1,1,0,0
2,14.2,0.5,11,18,1,1,2,0
1,15.7,2.3,25,53,1,1,2,1
2,12.9,0.2,42,49,1,1,0,0
1,17.3,5.9,36,28,1,0,1,0
0,3.0,4.2,12,56,1,0,0,0
1,0.6,1.2,2,50,0,1,1,0
1,5.7,0.8,20,18,0,0,1,0
2,16.9,3.3,36,36,0,1,1,1
2,3.0,0.1,23,36,1,0,0,0
2,15.4,5.5,5,41,1,1,0,0
2,18.6,6.8,54,42,0,1,0,1
1,11.4,0.2,16,20,1,0,0,0
0,17.7,4.1,25,51,1,0,2,1
0,5.3,4.3,26,58,1,0,0,1
1,14.6,0.1,53,40,1,0,1,0
0,15.7,5.4,56,63,0,0,1,1
0,10.0,1.8,25,40,1,0,0,0
2,12.3,4.6,2,33,0,0,0,0
1,2.2,1.5,26,61,1,1,2,0
1,5.9,0.6,26,33,1,0,1,0
0,2.0,1.8,57,46,1,1,0,1
2,5.2,6.1,19,54,0,0,0,0
0,17.9,5.3,19,50,0,1,2,0
1,1.1,3.4,4,48,1,0,0,0
2,10.2,0.8,54,55,1,1,2,0
1,10.7,1.5,40,53,0,1,0,0
1,6.1,6.7,26,18,0,1,0,0
1,15.7,1.0,40,47,0,0,1,1
2,12.0,2.0,60,43,1,0,2,0
2,4.3,3.9,60,49,0,1,1,0
1,9.7,2.6,35,58,0,1,1,0
0,1.0,1.9,36,36,1,0,2,0
2,0.8,4.8,55,23,0,1,1,0
2,14.8,1.1,60,31,0,1,0,0
0,3.9,3.3,45,46,1,1,0,1
2,19.4,0.8,58,59,0,1,1,1
1,7.5,2.0,17,30,1,1,0,0
2,14.1,2.5,57,60,0,1,0,0
0,9.5,4.5,29,55,1,0,2,1
1,8.5,3.2,25,56,1,0,1,0
2,13.5,2.0,30,18,1,1,2,0
2,12.7,4.8,20,50,1,1,1,0
2,17.6,3.3,12,55,0,1,0,0
2,2.1,5.1,11,31,0,1,0,0
0,10.4,2.7,47,57,0,0,0,1
1,12.3,5.1,22,24,0,0,0,0
2,13.2,4.0,12,19,1,0,0,0
2,12.7,1.7,19,42,1,0,1,0
0,7.7,3.8,28,41,1,1,1,0
0,1.1,0.9,28,63,0,1,1,1
1,14.4,0.1,14,25,0,0,0,0
2,1.4,4.8,46,36,1,0,0,0
1,9.7,1.2,36,43,0,0,1,0
1,14.5,4.1,43,58,1,0,1,0
1,5.8,3.3,52,54,1,1,0,0
0,1.0,3.1,11,19,1,1,1,0
1,2.3,2.2,29,22,0,1,1,0
0,3.2,3.7,51,59,0,1,2,1
2,13.5,6.8,26,55,1,1,1,0
1,13.2,5.4,4,30,0,0,1,0
1,19.6,2.9,60,33,1,0,2,0
2,6.8,6.1,59,49,0,0,0,0
1,3.1,3.7,30,54,0,0,2,0
2,3.9,6.9,33,32,1,0,0,0
0,1.1,6.8,19,55,0,1,0,0
2,16.6,0.2,15,19,0,0,1,0
1,2.0,1.2,10,28,1,0,2,0
1,17.9,5.9,45,35,0,1,1,0
0,1.4,2.6,31,49,1,0,2,1
0,16.4,1.7,31,39,1,1,1,0
1,4.3,3.8,23,40,1,1,2,0
2,1.0,4.7,32,40,0,1,1,0
2,14.2,2.2,31,18,0,1,0,0
1,0.6,6.0,29,45,1,1,2,0
2,6.3,3.5,45,54,1,1,1,0
0,1.6,1.6,30,55,0,0,1,1
0,2.9,4.7,40,35,0,1,0,0
1,2.9,3.3,27,24,0,1,0,0
2,14.6,1.1,34,34,1,1,2,0
1,19.5,0.5,53,62,1,1,0,1
1,5.3,4.2,1,42,0,0,1,0
2,8.3,0.5,21,60,0,1,0,0
2,7.8,6.8,8,50,0,1,1,0
1,5.5,1.4,22,26,0,1,0,0
2,14.4,6.9,19,46,1,0,1,0
2,5.8,2.2,38,34,0,1,2,0
1,10.5,6.5,59,59,0,1,0,0
2,3.0,4.5,28,18,1,1,1,0
1,17.0,0.7,5,42,0,0,2,0
1,13.9,1.8,48,36,0,0,1,0
0,11.0,2.7,43,49,1,0,1,1
1,12.5,2.9,30,38,0,1,1,0
1,4.9,3.9,33,56,1,1,1,0
1,17.0,4.2,44,63,0,1,1,1
0,2.9,2.2,23,48,1,0,0,1
2,17.7,0.6,25,25,1,1,1,1
0,12.5,4.8,24,31,0,1,1,0
2,18.8,3.2,44,63,1,1,2,1
1,6.1,4.8,40,35,0,0,2,0
1,18.7,4.0,36,60,1,0,0,1
1,12.9,0.0,2,56,1,1,0,0
2,0.7,5.6,39,59,0,1,0,0
1,2.5,5.4,41,31,0,1,0,0
0,12.1,2.8,51,32,1,1,1,0
2,2.4,5.5,42,34,1,1,0,0
2,15.1,0.1,25,24,0,1,1,1
1,13.6,3.0,55,42,0,1,1,0
1,4.2,3.0,50,56,1,0,1,0
0,12.9,1.4,33,25,0,0,0,0
0,11.6,1.5,13,46,1,1,2,0
2,5.3,0.3,41,54,1,1,0,0
1,14.3,4.6,26,49,1,0,0,0
2,5.4,6.7,33,36,0,0,2,0
2,17.4,6.5,5,23,1,1,1,0
0,8.2,1.4,12,59,1,1,2,0
0,10.2,3.8,36,33,1,0,3,0
0,13.4,5.6,46,47,0,1,0,1
2,17.7,2.3,29,32,1,0,0,1
2,9.4,1.2,11,40,1,0,2,0
1,13.3,0.1,45,56,1,1,0,0
1,12.1,5.2,35,49,0,1,1,0
1,1.9,1.9,5,29,0,1,0,0
2,12.8,1.3,34,50,1,0,1,0
2,1.4,6.3,13,18,0,1,1,0
0,10.4,5.8,33,50,0,1,2,1
2,2.6,5.6,51,33,0,0,0,0
0,12.4,0.4,2,62,1,1,1,0
0,14.6,6.5,12,27,0,0,3,0
2,15.8,3.2,42,38,1,1,0,1
0,12.0,1.8,10,26,1,1,0,0
2,19.8,5.1,15,59,1,1,0,0
1,7.5,0.3,59,21,1,0,2,0
1,0.7,1.0,41,24,0,1,0,0
2,16.5,3.0,39,29,1,1,1,1
0,9.3,6.8,16,31,1,0,1,0
2,11.1,0.2,26,49,0,1,0,0
0,17.0,0.4,13,58,1,0,0,0
2,5.6,0.8,7,51,1,1,1,0
0,6.9,2.1,37,50,0,1,2,1
0,2.4,1.8,60,61,1,1,0,1
2,13.8,1.2,27,32,1,1,1,0
2,4.7,4.9,29,39,0,1,1,0
2,17.1,5.1,40,44,1,1,0,1
0,12.4,2.7,59,21,0,0,4,0
1,18.3,3.8,26,31,1,0,0,0
1,1.7,4.1,15,45,1,0,0,0
1,19.8,5.8,49,22,1,0,1,0
2,8.3,2.9,38,49,0,0,0,0
0,11.1,6.3,22,34,0,1,1,0
2,13.1,5.7,13,43,0,0,0,0
2,10.0,3.8,17,46,0,1,1,0
2,10.8,2.0,43,58,1,1,0,0
0,8.6,5.1,49,59,1,1,0,1
0,4.1,4.9,54,36,0,1,0,0
2,19.4,1.0,15,19,1,1,2,0
2,16.1,6.3,32,30,1,1,1,1
2,12.2,1.3,57,50,1,1,0,0
1,1.6,0.5,2,60,0,1,0,0
2,17.9,0.0,47,24,1,0,3,1
0,2.0,5.4,36,40,0,0,0,0
1,15.8,0.0,33,32,1,1,1,0
2,1.6,1.7,54,47,0,0,0,0
0,15.3,6.8,51,47,0,1,0,1
2,17.0,0.7,23,35,0,1,2,1
1,9.3,4.1,38,40,0,0,0,0
1,11.3,0.4,33,18,0,0,2,0
1,16.8,3.2,24,24,1,1,1,0
2,19.4,4.4,20,49,1,1,0,0
1,0.8,3.7,29,28,0,1,1,0
2,3.0,4.7,46,40,1,1,0,0
2,17.4,1.1,23,35,1,1,0,1
2,13.7,4.9,58,36,1,0,0,0
1,5.8,0.2,6,27,1,0,1,0
1,9.2,2.1,23,22,0,0,0,0
1,2.7,6.5,21,55,0,1,3,0
1,1.1,1.3,56,34,0,1,0,0
2,14.8,1.1,50,39,1,1,1,0
1,14.6,2.9,15,42,1,1,0,0
1,14.0,3.0,10,62,1,0,0,0
2,17.7,2.0,58,33,1,1,0,1
1,6.1,1.3,27,54,1,0,2,0
2,8.8,1.6,24,50,1,1,0,0
0,5.4,4.8,52,26,1,1,1,0
0,12.7,0.8,1,34,1,1,1,0
1,12.9,0.8,31,37,0,0,1,0
0,8.5,1.1,28,46,0,0,0,1
1,18.7,6.3,45,24,0,1,1,0
2,10.0,6.0,57,61,1,1,1,0
1,18.4,6.6,55,33,0,1,1,0
0,14.7,6.6,46,53,0,1,1,1
2,18.8,0.4,59,31,0,1,0,1
2,15.3,5.7,14,59,1,0,0,0
0,4.9,2.4,54,42,0,0,0,0
2,13.9,5.7,46,64,1,1,1,0
1,5.1,6.6,40,57,0,1,1,0
0,6.2,5.0,33,36,0,1,2,0
1,4.8,5.9,45,38,1,1,0,0
2,10.2,3.9,19,56,0,0,0,0
2,9.0,3.7,15,65,1,1,0,0
0,18.2,6.6,49,27,0,1,0,0
1,12.1,3.0,39,42,0,1,1,0
1,7.5,0.7,22,28,1,0,3,0
2,12.7,1.5,44,61,0,1,2,0
1,7.2,4.7,23,63,0,1,1,0
2,16.8,2.8,21,22,0,1,0,1
2,2.2,5.4,33,45,0,0,0,0
0,4.8,3.7,46,45,0,1,0,0
1,2.3,0.9,12,31,0,1,0,0
2,17.4,4.6,30,21,0,0,0,1
1,5.8,6.6,60,48,0,1,0,0
0,19.9,3.6,19,60,0,0,2,0
1,3.5,6.2,25,34,0,0,2,0
2,6.8,6.8,23,39,0,1,0,0
0,17.9,2.0,53,53,0,0,0,1
2,12.9,3.7,17,19,1,0,2,0
0,10.1,0.1,13,46,1,0,0,0
1,3.7,3.6,20,48,0,0,1,0
1,15.9,1.5,39,57,0,1,3,1
0,7.0,2.9,46,53,1,1,1,1
2,15.2,0.5,57,34,1,1,1,1
0,11.9,5.5,15,35,1,0,0,0
2,12.5,4.0,44,53,1,1,0,0
1,6.8,4.5,48,44,0,0,0,0
2,2.0,2.7,10,55,1,1,0,0
1,12.1,0.7,9,58,0,1,1,0
0,15.0,2.6,54,65,0,1,2,1
0,11.7,4.2,54,33,1,0,1,0
2,12.2,3.9,27,56,0,0,1,0
1,14.1,5.3,15,50,1,0,2,0
1,1.4,2.4,50,47,1,1,0,0
1,4.9,6.6,37,58,1,0,0,0
1,12.5,4.7,18,24,0,0,2,0
2,3.1,3.8,15,32,0,1,0,0
1,5.8,0.4,16,23,1,1,0,0
2,1.4,4.0,48,23,1,0,2,0
2,4.7,5.7,44,46,1,0,2,0
2,0.7,2.4,1,40,0,0,0,0
2,16.5,5.7,6,58,0,1,1,0
2,12.0,6.1,27,35,0,1,2,0
2,11.2,5.3,5,48,0,1,1,0
2,0.6,2.8,10,37,1,0,2,0
2,17.1,0.6,36,24,1,1,0,1
2,0.5,4.0,3,44,0,1,0,0
2,15.9,2.9,20,36,1,0,2,0
2,4.8,2.6,37,38,0,0,1,0
0,16.5,1.0,27,19,1,1,1,0
1,3.0,4.7,28,18,0,1,1,0
2,11.2,3.1,28,45,1,1,0,0
0,1.1,2.5,36,53,0,0,1,1
1,11.3,6.6,37,47,0,1,2,0
1,3.1,2.7,12,24,1,0,0,0
1,16.2,1.2,3,26,0,0,0,0
0,5.1,0.4,6,35,1,1,1,0
1,2.8,6.9,40,60,0,0,2,0
1,1.1,2.6,16,44,1,1,1,0
2,11.7,5.9,29,49,1,1,1,0
1,13.4,0.5,43,29,0,0,0,0
0,17.9,3.5,27,58,0,0,2,1
0,1.7,2.8,26,37,0,0,2,0
2,8.1,1.9,44,58,1,0,1,0
2,3.7,5.2,11,25,0,1,2,0
2,10.3,4.5,15,61,0,0,1,0
2,5.1,0.5,58,46,0,1,3,0
1,8.5,2.0,16,46,1,0,2,0
2,7.7,1.9,57,55,0,0,0,0
1,14.0,6.4,49,29,0,1,0,0
0,15.0,1.6,41,40,0,1,1,0
1,8.8,3.6,7,58,0,1,1,0
0,5.3,6.7,18,21,0,1,0,0
2,16.0,6.9,36,55,1,1,3,1
0,17.0,3.5,5,61,1,0,0,0
1,11.0,2.6,32,35,0,1,1,0
2,5.4,3.1,43,65,0,1,0,0
0,15.8,1.5,56,33,0,1,0,0
0,7.4,7.0,41,26,0,1,1,0
1,18.4,2.2,19,38,0,1,2,0
2,5.7,1.1,12,38,1,0,1,0
2,18.8,0.8,6,57,0,0,1,0
0,8.8,6.1,40,60,0,1,0,1
2,15.2,1.8,56,47,0,0,0,1
2,4.6,2.2,5,23,1,1,1,0
1,12.7,2.1,60,24,0,1,2,0
2,11.9,5.2,58,64,0,1,1,0
2,8.7,6.1,51,19,0,1,0,0
1,14.8,1.8,44,18,1,1,0,0
2,16.5,1.0,37,25,0,1,3,1
2,14.7,5.0,60,62,0,1,1,0
1,16.4,3.3,53,21,0,1,1,0
0,15.0,0.6,32,20,0,0,0,0
1,3.4,2.9,2,35,1,0,0,0
1,15.6,0.5,15,25,1,0,1,0
