id_заказа,регион,тип_доставки,расстояние_км,время_доставки_ч,рейтинг_клиента,кол_во_товаров,сумма_заказа_руб,подарок,задержка
192,Восток,Стандарт,33.3,35.7,2.1,2,2361,Нет,1
274,Восток,Стандарт,11.6,11.7,4.3,2,966,Нет,0
156,Центр,Стандарт,7.8,7.1,3.6,3,3352,Да,0
320,Центр,Экспресс,1.5,1.0,4.3,3,3650,Нет,0
63,Юг,Стандарт,16.1,13.1,4.3,2,1858,Да,0
109,Центр,Экспресс,7.3,3.3,4.2,2,258,Нет,0
221,Юг,Бесконтактная,19.2,11.8,3.7,3,1229,Да,0
191,Центр,Экспресс,1.6,1.0,4.0,4,1415,Да,0
490,Восток,Бесконтактная,27.9,27.4,4.2,7,387,Нет,0
469,Центр,Экспресс,8.8,1.4,3.5,1,1494,Нет,0
14,Центр,Экспресс,1.4,1.0,4.3,1,3701,Да,0
335,Центр,Экспресс,9.8,4.7,2.7,4,477,Нет,0
58,Центр,Стандарт,4.6,3.9,2.7,4,3699,Нет,0
394,Юг,Стандарт,11.8,7.7,2.5,4,2069,Нет,0
420,Юг,Стандарт,18.9,12.1,4.4,4,4062,Нет,0
387,Центр,Экспресс,8.0,2.1,4.9,1,563,Да,0
441,Центр,Стандарт,9.7,6.8,4.1,4,3340,Нет,0
36,Юг,Бесконтактная,14.8,9.6,3.1,4,3605,Нет,0
343,Центр,Стандарт,8.8,10.8,4.2,2,2259,Нет,0
82,Юг,Бесконтактная,4.5,4.3,4.7,3,2301,Да,0
20,Центр,Стандарт,1.3,3.2,4.4,2,2229,Да,0
133,Центр,Экспресс,1.7,1.3,3.4,1,2208,Нет,0
429,Центр,Экспресс,6.8,2.4,3.6,3,2686,Нет,0
12,Восток,Стандарт,49.5,27.4,2.7,1,1306,Нет,1
386,Юг,Стандарт,8.5,8.9,3.1,3,2438,Нет,0
436,Юг,Стандарт,3.5,4.2,3.5,2,4474,Нет,0
74,Юг,Экспресс,3.3,1.0,3.0,3,3974,Нет,0
290,Север,Бесконтактная,7.0,4.9,3.8,7,4177,Да,0
117,Юг,Стандарт,4.6,4.9,3.0,3,1803,Нет,0
360,Север,Стандарт,19.8,22.1,2.6,2,2081,Нет,0
457,Центр,Экспресс,7.2,1.1,4.9,4,569,Да,0
451,Юг,Экспресс,11.5,5.1,4.6,1,1359,Да,0
283,Центр,Стандарт,6.0,6.9,3.8,3,1588,Да,0
265,Восток,Стандарт,10.5,12.4,3.0,5,2613,Да,0
428,Восток,Стандарт,48.1,39.6,3.3,5,4054,Нет,0
294,Центр,Экспресс,7.2,1.0,2.7,3,4774,Нет,0
285,Север,Стандарт,13.2,9.2,5.0,1,1400,Да,0
478,Север,Стандарт,24.1,17.2,2.8,1,3852,Да,1
284,Центр,Экспресс,1.1,1.0,4.2,2,1687,Нет,0
385,Юг,Экспресс,14.2,5.2,3.5,6,4436,Нет,0
182,Центр,Стандарт,4.1,2.2,4.1,2,3735,Нет,0
168,Центр,Стандарт,5.6,2.2,3.6,3,273,Нет,0
371,Центр,Экспресс,9.7,5.6,4.7,1,3505,Да,0
389,Юг,Стандарт,19.5,18.8,3.6,2,4057,Нет,0
246,Восток,Бесконтактная,35.0,49.3,3.2,3,1490,Нет,1
65,Центр,Экспресс,4.8,2.6,2.6,4,4897,Нет,0
212,Юг,Экспресс,10.7,7.7,3.2,1,3261,Нет,0
416,Север,Стандарт,28.4,32.0,3.3,2,1245,Да,0
267,Юг,Экспресс,9.7,2.1,3.6,6,2557,Нет,0
240,Центр,Экспресс,2.7,1.4,4.6,4,2703,Да,0
139,Центр,Стандарт,5.3,5.5,3.0,1,4906,Нет,0
113,Восток,Стандарт,19.0,12.5,3.5,2,1581,Да,1
356,Юг,Стандарт,17.8,12.7,3.8,2,1819,Да,0
491,Север,Экспресс,10.9,2.9,2.6,2,3401,Нет,0
495,Север,Стандарт,20.1,19.5,4.4,1,1761,Нет,0
336,Центр,Экспресс,6.9,6.1,4.0,3,2077,Да,0
224,Центр,Экспресс,9.5,4.5,3.7,1,500,Да,0
102,Юг,Стандарт,19.5,18.9,4.5,2,3429,Да,0
372,Центр,Стандарт,2.6,2.9,2.9,3,1416,Нет,0
439,Юг,Стандарт,6.4,7.9,2.5,3,3842,Да,1
326,Юг,Бесконтактная,8.7,7.1,3.1,1,996,Нет,1
158,Юг,Стандарт,18.0,11.6,2.9,3,3097,Да,1
186,Юг,Экспресс,18.9,7.4,3.3,6,3565,Нет,0
277,Юг,Стандарт,7.1,3.8,3.2,5,1091,Да,1
16,Центр,Стандарт,9.3,8.2,3.0,3,1277,Нет,0
381,Центр,Стандарт,2.5,1.0,3.4,1,3999,Нет,0
140,Восток,Стандарт,33.7,22.7,2.5,2,524,Нет,1
194,Юг,Стандарт,13.6,15.0,4.3,3,2115,Нет,0
427,Север,Стандарт,5.1,3.7,4.5,1,3808,Да,0
392,Север,Бесконтактная,6.8,8.0,3.2,5,521,Да,0
88,Юг,Стандарт,5.8,5.5,2.7,3,448,Нет,0
118,Центр,Стандарт,8.9,9.1,2.0,1,3717,Да,1
366,Центр,Экспресс,2.2,1.0,2.9,2,4005,Нет,0
177,Юг,Стандарт,16.3,17.0,3.5,3,4357,Нет,0
26,Юг,Стандарт,11.1,6.7,3.5,2,1981,Нет,0
315,Юг,Бесконтактная,10.7,14.2,4.3,4,3531,Нет,0
6,Центр,Стандарт,6.9,4.9,3.5,4,2708,Нет,0
248,Восток,Стандарт,11.3,8.8,2.7,3,4498,Нет,0
307,Север,Бесконтактная,22.9,12.2,3.9,1,4222,Нет,0
225,Центр,Экспресс,4.8,1.1,3.6,2,2403,Нет,0
236,Юг,Бесконтактная,9.3,7.0,4.9,6,1161,Да,0
93,Юг,Стандарт,13.3,9.2,3.5,3,4040,Нет,1
388,Центр,Стандарт,2.2,2.8,3.3,1,2062,Нет,1
79,Центр,Экспресс,3.0,2.0,2.6,1,255,Нет,0
251,Центр,Стандарт,8.2,6.9,4.4,2,2381,Нет,0
415,Юг,Экспресс,12.0,2.4,2.8,5,240,Нет,0
473,Центр,Экспресс,8.9,1.0,3.2,7,3057,Да,0
453,Север,Стандарт,26.7,24.1,4.2,4,2239,Да,0
410,Центр,Экспресс,8.8,3.8,4.4,2,1974,Да,0
129,Центр,Стандарт,4.4,5.1,3.5,4,3280,Нет,0
252,Центр,Бесконтактная,5.3,6.4,3.2,4,3225,Нет,0
162,Юг,Бесконтактная,5.2,7.8,4.3,2,1627,Нет,0
8,Восток,Бесконтактная,44.0,28.0,3.8,3,4871,Нет,0
479,Восток,Стандарт,41.9,31.3,3.1,2,1101,Нет,1
449,Центр,Экспресс,9.5,2.9,3.7,1,1171,Нет,0
401,Центр,Стандарт,2.5,1.0,2.8,2,4058,Нет,0
127,Юг,Стандарт,4.5,5.2,2.4,3,1995,Да,1
408,Центр,Экспресс,8.3,6.4,3.4,3,1988,Нет,0
470,Восток,Стандарт,41.3,40.0,2.6,6,1116,Нет,1
219,Юг,Стандарт,14.1,9.3,3.6,4,266,Нет,0
32,Центр,Бесконтактная,6.4,7.6,2.9,1,3035,Нет,0
134,Центр,Экспресс,3.0,1.0,3.2,2,3805,Нет,0
231,Юг,Стандарт,18.2,17.8,2.0,3,4225,Нет,1
276,Север,Стандарт,7.6,7.3,3.1,1,538,Нет,1
122,Восток,Стандарт,48.2,30.4,4.4,4,1572,Да,0
187,Юг,Экспресс,14.7,5.2,2.8,4,3465,Нет,0
382,Юг,Экспресс,9.6,1.7,2.8,6,2366,Нет,0
397,Восток,Стандарт,27.2,27.3,2.4,3,520,Нет,1
318,Центр,Экспресс,7.6,3.2,3.2,3,993,Нет,0
243,Восток,Экспресс,40.8,14.1,3.1,4,4620,Нет,0
324,Центр,Экспресс,3.0,2.4,2.9,2,601,Нет,0
275,Север,Экспресс,17.0,6.6,3.3,1,970,Да,1
148,Север,Экспресс,21.5,8.5,4.8,2,2229,Да,0
42,Север,Экспресс,24.8,6.9,2.9,5,1474,Нет,0
45,Центр,Экспресс,9.0,1.5,3.5,2,3629,Нет,0
500,Восток,Стандарт,44.5,35.8,4.3,1,1395,Нет,0
196,Центр,Экспресс,8.8,2.2,3.3,5,1105,Нет,0
217,Центр,Экспресс,1.7,1.0,4.2,1,4412,Да,0
51,Восток,Стандарт,45.0,27.0,3.6,2,4678,Да,1
497,Север,Бесконтактная,20.5,24.0,3.0,3,4982,Нет,0
111,Центр,Стандарт,8.3,9.6,3.3,4,449,Да,0
190,Центр,Стандарт,7.4,5.8,3.9,6,2998,Да,0
43,Центр,Стандарт,3.9,2.5,3.3,1,3087,Нет,0
13,Юг,Бесконтактная,19.0,14.1,5.0,3,207,Да,0
424,Север,Экспресс,8.7,2.7,3.2,4,3879,Нет,0
282,Центр,Экспресс,7.3,1.6,3.5,4,730,Нет,0
105,Восток,Стандарт,49.8,42.5,2.9,1,3199,Да,0
126,Север,Стандарт,18.8,22.1,3.9,3,472,Да,1
185,Центр,Бесконтактная,1.9,1.9,3.9,2,3020,Нет,0
483,Север,Стандарт,18.6,18.0,3.7,6,2275,Нет,0
62,Центр,Стандарт,9.9,6.5,1.6,2,1137,Да,1
448,Юг,Бесконтактная,17.2,21.5,3.7,5,1501,Нет,0
471,Центр,Экспресс,6.1,3.5,3.4,2,3534,Да,0
234,Север,Экспресс,5.8,2.8,3.4,3,4677,Нет,0
166,Юг,Стандарт,16.9,11.3,2.9,1,3313,Нет,1
132,Центр,Экспресс,5.5,2.6,3.9,3,1155,Да,0
114,Юг,Стандарт,12.1,11.7,4.2,3,1673,Нет,0
351,Север,Стандарт,26.7,30.8,2.1,1,3231,Нет,1
493,Центр,Стандарт,3.0,3.0,2.5,6,4510,Нет,0
247,Север,Стандарт,8.3,9.2,3.6,6,1969,Да,1
68,Юг,Стандарт,4.9,4.7,3.4,3,3690,Нет,0
273,Восток,Стандарт,41.2,37.8,4.9,4,1449,Да,0
203,Центр,Экспресс,1.2,1.0,3.0,5,3792,Нет,0
61,Центр,Экспресс,8.9,4.7,3.0,6,4074,Нет,0
11,Центр,Экспресс,3.0,1.0,3.2,1,1659,Да,0
35,Восток,Экспресс,13.1,1.3,3.4,4,2814,Нет,1
239,Юг,Стандарт,19.5,22.2,3.1,2,3742,Да,0
450,Центр,Экспресс,7.1,1.9,3.4,4,1706,Нет,0
340,Центр,Экспресс,1.3,1.0,3.5,3,3158,Нет,0
106,Центр,Экспресс,2.6,1.0,4.1,3,2944,Нет,0
496,Центр,Стандарт,7.0,7.7,3.7,2,4525,Нет,0
230,Юг,Стандарт,10.0,9.1,4.1,2,4767,Нет,0
485,Север,Экспресс,13.1,4.8,3.0,1,1446,Да,0
204,Восток,Стандарт,22.9,16.2,3.5,2,4590,Да,0
309,Юг,Стандарт,8.8,4.8,4.3,1,3792,Да,0
167,Центр,Стандарт,8.5,4.5,2.8,1,1484,Нет,0
97,Север,Экспресс,10.5,7.7,3.7,4,4353,Да,0
130,Север,Стандарт,11.5,11.5,2.7,1,3423,Нет,0
321,Север,Бесконтактная,11.2,10.8,3.2,2,3716,Да,0
301,Центр,Экспресс,1.3,1.0,4.4,2,2085,Да,0
311,Север,Бесконтактная,7.0,8.7,2.2,7,3131,Нет,1
31,Юг,Бесконтактная,3.6,5.5,4.3,2,2087,Нет,0
295,Центр,Стандарт,8.2,10.1,3.4,4,1768,Да,1
146,Центр,Экспресс,8.9,5.1,4.3,3,3742,Нет,0
303,Север,Экспресс,6.3,2.4,3.5,2,2615,Нет,0
355,Центр,Стандарт,5.4,5.8,4.4,2,763,Нет,0
121,Юг,Стандарт,18.1,20.5,4.0,3,3962,Да,0
384,Восток,Стандарт,20.3,23.8,3.8,3,4304,Да,0
99,Центр,Стандарт,8.0,5.3,2.8,5,1687,Нет,0
155,Восток,Стандарт,34.7,30.6,2.9,1,1580,Нет,1
44,Восток,Стандарт,35.0,31.3,2.5,4,1623,Да,1
327,Север,Стандарт,9.6,8.1,3.0,1,4476,Нет,0
369,Центр,Экспресс,2.6,1.2,4.3,2,2891,Нет,0
467,Центр,Экспресс,9.8,6.3,4.3,2,3255,Нет,0
92,Юг,Экспресс,14.0,3.4,3.4,4,1060,Да,0
159,Центр,Экспресс,8.8,2.7,4.0,1,570,Нет,0
426,Север,Стандарт,29.1,14.4,2.6,4,3953,Да,1
404,Юг,Экспресс,15.5,7.3,2.9,1,2883,Нет,0
286,Центр,Бесконтактная,5.7,1.1,4.2,4,2672,Нет,0
244,Центр,Экспресс,8.6,4.2,4.0,3,3005,Нет,0
499,Восток,Бесконтактная,25.2,17.3,3.0,1,4255,Нет,0
475,Север,Стандарт,13.2,13.9,2.6,4,3377,Нет,0
454,Восток,Бесконтактная,32.8,42.6,4.1,1,4558,Нет,0
297,Юг,Бесконтактная,5.8,8.5,2.7,3,2627,Да,1
487,Центр,Экспресс,4.6,1.0,2.8,4,4420,Нет,0
431,Центр,Стандарт,5.1,8.0,3.4,4,3422,Да,0
108,Юг,Стандарт,15.9,10.9,4.3,3,4549,Нет,0
298,Центр,Экспресс,1.9,1.0,3.4,3,4717,Нет,0
363,Север,Экспресс,20.6,9.2,3.0,7,2637,Нет,0
380,Центр,Стандарт,6.3,4.3,2.7,2,1801,Нет,0
278,Юг,Экспресс,19.8,8.7,4.2,6,3388,Да,0
300,Центр,Бесконтактная,7.4,6.7,3.1,1,692,Нет,0
52,Юг,Бесконтактная,12.0,11.5,3.7,4,4172,Нет,0
346,Юг,Стандарт,10.2,8.4,4.0,3,3570,Да,1
3,Юг,Стандарт,17.8,17.0,4.0,1,3875,Да,0
4,Север,Бесконтактная,23.3,30.1,2.8,1,200,Нет,1
472,Восток,Бесконтактная,39.5,30.7,1.6,5,1250,Нет,1
271,Юг,Стандарт,14.8,11.0,3.1,2,2166,Нет,0
447,Восток,Стандарт,37.7,38.4,3.0,1,3639,Нет,1
361,Центр,Экспресс,9.2,3.4,3.8,1,4499,Нет,0
422,Юг,Стандарт,11.6,7.7,3.8,1,2832,Нет,0
1,Центр,Экспресс,2.7,1.0,3.8,4,380,Нет,0
21,Юг,Экспресс,14.9,7.6,4.0,4,1654,Да,0
253,Восток,Стандарт,14.7,7.9,1.8,3,1392,Нет,1
396,Восток,Стандарт,43.2,22.3,2.8,2,4847,Да,1
456,Север,Стандарт,28.3,19.8,3.1,3,1102,Нет,1
421,Юг,Бесконтактная,8.4,10.6,3.7,1,3909,Нет,0
151,Восток,Стандарт,38.3,31.5,2.8,5,1469,Нет,1
433,Юг,Бесконтактная,11.3,12.8,4.1,1,3763,Нет,0
446,Восток,Стандарт,17.1,15.7,4.0,4,2475,Да,1
332,Юг,Стандарт,15.2,17.3,4.1,2,2692,Да,0
341,Север,Стандарт,11.4,8.9,1.5,4,2873,Нет,1
60,Центр,Экспресс,6.6,2.8,3.6,3,1516,Нет,0
172,Центр,Экспресс,9.8,3.1,2.6,4,3592,Нет,0
25,Север,Бесконтактная,28.6,20.8,4.9,3,1072,Да,0
375,Центр,Стандарт,3.2,1.0,1.7,3,2771,Нет,1
358,Север,Стандарт,15.5,15.8,2.2,1,3522,Да,1
198,Восток,Стандарт,48.8,56.6,3.8,2,4890,Да,1
291,Центр,Стандарт,4.6,3.9,3.9,5,3989,Да,0
443,Центр,Экспресс,7.1,2.4,4.7,1,2978,Да,0
141,Восток,Стандарт,43.0,32.5,3.5,5,2690,Да,1
460,Центр,Экспресс,6.9,1.8,2.9,3,4145,Нет,0
414,Север,Стандарт,6.4,4.7,2.7,3,3602,Да,1
280,Юг,Экспресс,11.5,2.5,3.2,2,4108,Нет,0
71,Юг,Экспресс,8.0,3.3,3.5,3,2582,Да,0
101,Центр,Стандарт,1.5,1.7,2.9,1,4383,Нет,0
202,Центр,Стандарт,1.2,1.0,3.5,4,645,Да,0
430,Центр,Стандарт,8.8,7.3,2.5,4,874,Нет,0
250,Восток,Стандарт,34.7,28.3,2.7,1,3979,Нет,1
348,Центр,Бесконтактная,4.3,5.2,3.4,3,2601,Нет,0
314,Восток,Бесконтактная,42.7,41.6,1.7,4,1060,Нет,1
435,Центр,Стандарт,2.3,1.7,2.9,3,1136,Нет,0
464,Север,Стандарт,21.4,17.7,3.5,3,3523,Нет,0
481,Юг,Стандарт,16.9,17.8,4.1,1,3555,Да,0
55,Север,Бесконтактная,29.9,38.0,4.3,1,2416,Нет,0
459,Центр,Стандарт,2.9,1.0,2.5,4,2037,Нет,0
199,Восток,Стандарт,40.0,43.3,1.3,4,689,Нет,1
57,Центр,Стандарт,7.9,8.1,3.6,3,3534,Да,1
489,Восток,Стандарт,25.5,25.1,3.7,1,2875,Нет,0
119,Восток,Бесконтактная,20.6,11.5,1.1,7,2142,Нет,1
480,Север,Экспресс,15.9,7.8,3.5,4,624,Нет,0
176,Центр,Бесконтактная,5.9,5.7,3.2,3,3069,Нет,0
413,Восток,Стандарт,20.8,15.3,4.2,4,3352,Нет,0
80,Центр,Стандарт,9.5,8.0,3.6,4,3578,Нет,0
116,Восток,Бесконтактная,33.2,45.8,3.8,1,3182,Нет,1
325,Восток,Стандарт,49.0,39.3,3.9,3,292,Да,0
18,Север,Бесконтактная,19.2,26.4,3.8,2,3761,Нет,0
174,Центр,Экспресс,3.3,1.0,4.0,7,1702,Нет,0
170,Север,Стандарт,12.2,11.9,4.2,2,1404,Нет,0
255,Центр,Стандарт,7.2,4.6,2.9,2,2252,Да,0
233,Север,Экспресс,10.3,3.0,3.7,2,4150,Да,0
352,Восток,Экспресс,33.1,16.3,2.8,3,2756,Нет,0
305,Юг,Стандарт,15.1,14.4,3.0,1,4322,Нет,0
486,Восток,Стандарт,24.7,15.2,3.2,2,362,Нет,1
249,Восток,Бесконтактная,46.8,61.1,3.1,3,3399,Нет,1
66,Север,Экспресс,23.4,15.1,4.3,1,4311,Да,0
452,Север,Экспресс,20.4,3.9,3.4,6,1232,Нет,0
281,Восток,Стандарт,34.7,25.5,3.5,5,3489,Нет,0
390,Юг,Стандарт,10.7,8.8,4.4,2,4529,Да,0
179,Восток,Бесконтактная,40.4,28.7,3.3,5,708,Нет,0
120,Север,Экспресс,8.2,1.3,3.3,6,528,Да,0
337,Восток,Бесконтактная,18.0,14.1,2.6,1,1324,Нет,1
458,Север,Стандарт,21.9,13.2,4.0,2,3542,Нет,0
329,Север,Экспресс,21.5,4.4,4.4,4,1901,Да,0
24,Центр,Экспресс,9.7,3.0,3.9,3,4121,Нет,0
344,Север,Бесконтактная,23.2,24.8,3.4,5,2796,Нет,0
72,Центр,Экспресс,3.1,1.0,3.6,1,2026,Да,0
28,Север,Стандарт,26.1,19.5,3.4,3,4072,Нет,0
417,Центр,Стандарт,1.4,2.1,3.0,2,3376,Нет,0
354,Центр,Экспресс,7.5,3.2,4.3,4,3107,Нет,0
423,Центр,Экспресс,1.4,1.0,4.3,1,519,Нет,0
367,Восток,Стандарт,38.6,27.8,3.4,1,531,Да,0
137,Север,Экспресс,26.3,10.4,3.6,1,1526,Да,0
465,Восток,Стандарт,50.0,45.9,3.6,1,1467,Да,1
264,Север,Экспресс,16.4,4.1,3.2,2,1645,Да,1
188,Север,Стандарт,6.7,3.0,2.8,3,2159,Нет,1
107,Север,Стандарт,14.9,6.9,4.0,2,4198,Нет,0
313,Центр,Стандарт,5.9,5.1,4.4,2,3433,Нет,0
432,Юг,Бесконтактная,11.8,10.4,3.0,4,3178,Нет,0
75,Юг,Бесконтактная,19.8,17.5,3.9,5,3725,Нет,0
438,Юг,Бесконтактная,15.0,14.9,3.0,4,4559,Нет,0
48,Север,Экспресс,5.6,3.6,3.0,2,2667,Нет,0
492,Юг,Экспресс,9.3,5.3,1.6,5,1751,Нет,1
40,Север,Стандарт,12.9,11.5,4.2,4,4771,Нет,0
22,Центр,Экспресс,3.7,1.0,3.3,4,1761,Нет,0
364,Север,Стандарт,20.8,20.7,2.8,2,2213,Нет,1
378,Центр,Экспресс,5.6,1.9,3.8,3,4248,Нет,0
19,Север,Бесконтактная,27.9,16.7,3.6,1,4272,Нет,0
124,Центр,Экспресс,8.3,4.5,2.9,1,3490,Да,0
306,Восток,Экспресс,44.8,15.6,3.0,3,3449,Нет,1
189,Север,Экспресс,12.5,5.0,3.8,3,274,Нет,0
218,Юг,Бесконтактная,14.6,21.3,3.6,3,3746,Нет,0
70,Восток,Стандарт,21.5,10.9,4.3,5,4746,Нет,0
27,Центр,Экспресс,8.8,3.2,3.2,2,4529,Нет,0
279,Юг,Экспресс,5.4,4.9,2.6,1,4432,Нет,0
165,Центр,Стандарт,2.4,1.7,1.9,8,3194,Нет,1
112,Центр,Экспресс,3.0,1.0,4.2,5,2835,Нет,0
310,Центр,Стандарт,8.3,5.1,4.4,1,2308,Да,1
302,Север,Стандарт,28.4,27.3,1.2,3,2856,Нет,1
365,Восток,Стандарт,39.3,38.3,3.3,2,287,Да,1
206,Центр,Бесконтактная,7.9,6.0,3.9,4,1442,Да,0
350,Юг,Экспресс,3.7,1.1,4.4,5,4379,Нет,0
53,Восток,Стандарт,47.6,33.1,3.9,1,3547,Нет,0
9,Юг,Бесконтактная,7.2,6.0,3.2,3,1285,Нет,0
223,Центр,Стандарт,4.9,5.7,4.2,3,1388,Да,0
412,Восток,Стандарт,14.5,12.2,3.0,2,3669,Нет,1
211,Север,Экспресс,15.7,4.0,2.8,4,3144,Нет,0
444,Центр,Экспресс,5.0,1.2,3.5,2,3235,Нет,0
175,Юг,Стандарт,13.8,13.3,2.9,3,1501,Нет,0
339,Север,Экспресс,6.8,2.0,4.4,1,4807,Нет,0
104,Север,Стандарт,28.2,28.7,3.4,5,1402,Нет,0
270,Центр,Экспресс,3.6,2.4,3.2,3,3869,Да,0
87,Юг,Стандарт,13.4,8.6,3.5,6,4842,Нет,0
91,Центр,Стандарт,9.5,9.6,2.5,4,4341,Нет,0
78,Центр,Бесконтактная,7.1,6.2,4.1,7,4227,Нет,0
5,Центр,Экспресс,8.3,3.7,2.8,7,2200,Нет,0
161,Центр,Экспресс,8.4,4.8,3.0,3,4767,Нет,0
409,Восток,Стандарт,33.4,37.9,2.7,5,530,Нет,1
84,Центр,Экспресс,8.9,3.2,4.6,3,3583,Да,0
164,Север,Стандарт,23.6,22.3,4.2,1,3075,Да,0
398,Север,Бесконтактная,11.2,9.2,3.6,2,3312,Нет,0
90,Север,Стандарт,10.8,6.8,4.1,1,3649,Да,0
115,Юг,Бесконтактная,13.1,13.2,4.0,2,1894,Нет,0
498,Центр,Стандарт,5.2,5.7,2.9,5,4162,Да,0
143,Север,Стандарт,22.0,10.7,2.4,5,4859,Нет,1
299,Юг,Экспресс,13.8,3.8,3.2,4,4406,Нет,0
292,Центр,Экспресс,2.2,1.0,4.4,3,1677,Нет,0
474,Восток,Стандарт,26.2,19.6,2.9,5,1470,Да,1
147,Юг,Экспресс,16.6,6.0,3.3,6,3582,Да,0
220,Юг,Экспресс,7.6,3.8,3.8,6,1392,Нет,0
330,Центр,Экспресс,5.5,3.8,3.8,6,706,Да,0
296,Север,Бесконтактная,10.0,10.3,2.0,1,1901,Нет,1
316,Юг,Экспресс,13.9,5.6,4.3,1,1302,Нет,0
331,Центр,Стандарт,6.0,3.4,1.6,4,1267,Нет,1
338,Юг,Стандарт,14.6,7.2,3.7,2,1254,Нет,0
359,Восток,Стандарт,21.1,20.2,2.3,2,1190,Нет,1
402,Восток,Стандарт,16.7,17.4,4.0,5,2281,Да,1
349,Центр,Экспресс,9.9,3.4,4.4,2,2177,Нет,0
195,Центр,Стандарт,1.4,1.6,3.0,4,4231,Нет,0
232,Север,Бесконтактная,10.7,10.6,4.0,2,4064,Нет,0
15,Центр,Стандарт,7.4,8.0,2.6,3,4841,Нет,0
163,Юг,Экспресс,8.7,1.8,3.7,3,642,Нет,0
228,Центр,Экспресс,3.5,1.3,4.3,4,3430,Да,0
455,Центр,Экспресс,1.3,1.0,3.3,3,2634,Нет,0
131,Север,Экспресс,23.1,10.3,3.6,3,3235,Нет,0
257,Восток,Стандарт,18.0,18.2,3.3,1,3317,Да,0
391,Восток,Экспресс,19.4,6.2,1.6,4,1177,Нет,1
477,Центр,Экспресс,8.3,1.1,3.8,4,3935,Нет,0
157,Юг,Стандарт,5.7,3.2,3.4,6,4849,Нет,0
353,Юг,Стандарт,10.5,9.8,2.6,3,754,Нет,1
10,Юг,Экспресс,11.3,3.3,5.0,3,1660,Да,0
154,Север,Экспресс,22.0,8.9,3.3,3,1489,Нет,0
425,Центр,Экспресс,9.9,3.3,3.7,3,3002,Нет,0
466,Центр,Экспресс,1.4,1.0,3.7,1,4708,Да,0
200,Юг,Стандарт,5.2,6.1,3.1,4,240,Нет,0
110,Центр,Экспресс,2.4,1.0,3.9,5,3435,Нет,0
47,Центр,Стандарт,3.1,2.2,2.6,5,692,Нет,0
288,Север,Стандарт,13.8,13.9,4.2,2,1913,Нет,0
77,Юг,Стандарт,9.5,8.8,3.0,2,321,Нет,0
419,Юг,Экспресс,10.7,1.9,2.7,3,226,Нет,0
207,Центр,Экспресс,7.1,4.1,4.7,5,2285,Да,0
293,Юг,Экспресс,12.6,4.8,3.1,1,4586,Нет,0
266,Юг,Экспресс,4.2,3.4,4.2,6,470,Нет,0
322,Юг,Стандарт,5.7,3.4,2.7,4,2672,Нет,0
213,Юг,Стандарт,5.8,1.9,4.5,2,1362,Да,0
208,Юг,Бесконтактная,10.6,11.7,4.0,2,3673,Нет,0
89,Восток,Стандарт,49.6,32.3,3.5,2,2623,Да,1
262,Восток,Стандарт,41.9,38.2,1.2,3,2331,Нет,1
