transaction_id,user_id,category,price,quantity,total_amount,payment_method,is_return,rating
1461,4506,Clothing,132.86,5,458.9,Card,0,4.0
2961,3416,Other,62.8,4,943.86,Online,0,1.0
1125,4032,Clothing,52.01,3,1161.81,Cash,0,2.0
2381,4123,Other,154.55,5,878.4,Card,0,2.0
2944,1207,Electronics,251.4,3,2431.4,Card,0,2.0
633,1091,Food,63.18,2,476.91,Cash,0,4.0
688,1351,Food,7.72,2,316.27,Card,0,4.0
1719,4130,Food,134.67,4,2255.92,Card,0,2.0
346,1973,Other,437.88,3,44.82,Card,1,5.0
4640,4872,Clothing,278.24,2,306.0,Cash,0,1.0
4038,3410,Clothing,255.93,2,1410.88,Card,0,1.0
4219,1606,Books,418.89,4,2286.9,Online,0,5.0
3828,4933,Clothing,141.73,4,658.34,Card,0,4.0
1524,4977,Books,434.7,3,1451.54,Card,0,3.0
3243,3591,Clothing,291.14,4,1113.61,Cash,0,3.0
3000,4448,Books,227.82,1,1393.25,Online,0,4.0
3265,3981,Clothing,449.29,5,996.4,Card,0,3.0
2338,4811,Clothing,93.74,2,2233.08,Cash,0,2.0
4826,4635,Food,358.46,1,1433.73,Card,0,
1865,4016,Electronics,22.09,1,2281.54,Online,0,3.0
4974,2895,Electronics,483.99,3,2268.88,Cash,0,4.0
3519,4787,Food,219.95,5,2189.26,Cash,0,
913,4919,Clothing,496.47,1,283.59,Cash,0,3.0
3606,1095,Electronics,249.38,3,2405.52,Cash,1,
3402,2543,Clothing,23.67,1,313.86,Card,0,2.0
3228,1029,Books,450.53,1,2269.58,Cash,0,5.0
1177,2602,Other,495.93,4,1930.97,Online,1,
4474,3869,Electronics,196.07,1,167.48,Cash,0,3.0
4925,4969,Other,406.14,3,1189.69,Online,0,4.0
2971,4572,Electronics,308.91,2,1991.69,Card,0,3.0
4531,2455,Electronics,51.3,2,916.64,Cash,0,2.0
3979,1455,Clothing,190.15,5,1212.1,Card,0,3.0
2328,1933,Food,379.81,5,1932.05,Cash,0,5.0
1886,3763,Clothing,204.25,2,1446.84,Online,0,5.0
1564,3690,Clothing,369.79,5,2044.27,Online,0,2.0
4815,4966,Other,479.63,1,1406.99,Cash,0,1.0
1089,4250,Food,85.57,4,890.91,Online,0,5.0
2842,3927,Other,182.4,2,961.82,Card,0,1.0
4930,1729,Books,474.64,2,2289.46,Card,0,1.0
383,3936,Books,64.11,4,1546.39,Online,0,4.0
3744,2099,Clothing,112.61,4,2032.4,Card,0,5.0
4042,3045,Food,361.58,2,2255.53,Card,0,1.0
3849,3571,Books,90.27,5,843.3,Cash,0,2.0
3473,3892,Clothing,71.03,5,1479.1,Cash,0,2.0
3735,2377,Electronics,450.83,5,2437.8,Online,0,5.0
3608,4996,Electronics,319.97,1,1062.21,Card,0,5.0
1260,4909,Electronics,402.55,2,2019.89,Card,0,1.0
117,4487,Food,288.96,5,1949.0,Cash,0,5.0
1687,4012,Clothing,118.91,1,275.84,Online,0,3.0
1914,4529,Food,457.69,5,140.16,Online,0,4.0
3361,3027,Books,324.99,1,2239.06,Online,0,3.0
2213,1081,Clothing,362.54,3,2360.26,Cash,0,1.0
3869,1401,Food,319.21,1,429.48,Card,0,
3004,2555,Books,67.09,1,989.36,Cash,0,5.0
146,1869,Clothing,185.09,4,799.64,Card,1,
2542,3658,Electronics,305.78,4,807.02,Card,0,2.0
3830,1481,Electronics,348.37,1,1334.29,Cash,0,2.0
2383,3915,Food,241.29,1,1663.23,Cash,0,
4151,2994,Other,37.48,5,1608.39,Cash,1,4.0
187,4926,Electronics,376.35,1,524.92,Cash,0,3.0
2174,3331,Other,349.9,5,1800.99,Card,0,3.0
2646,4939,Clothing,338.51,1,544.2,Cash,0,3.0
4784,1934,Other,100.03,5,2206.75,Card,0,3.0
4536,3181,Electronics,83.41,1,2442.2,Online,0,5.0
4335,4230,Electronics,344.89,4,485.37,Card,0,2.0
3991,1735,Clothing,114.31,1,1323.96,Card,0,2.0
2896,2149,Food,450.87,4,1365.85,Cash,0,
1515,1807,Clothing,60.22,3,2287.88,Card,0,2.0
581,1528,Other,349.79,3,705.14,Online,0,3.0
2249,4012,Electronics,347.59,2,1432.78,Card,1,
4251,2622,Food,181.51,5,1652.93,Online,0,
714,2023,Clothing,430.14,5,2024.33,Card,0,5.0
4889,4440,Electronics,436.33,2,709.04,Card,0,5.0
4428,2137,Books,95.91,4,1028.34,Online,0,2.0
4910,2153,Food,482.05,1,1918.84,Card,0,3.0
4175,3051,Electronics,368.96,5,1989.57,Card,1,4.0
1468,4419,Electronics,483.34,3,1893.42,Cash,0,2.0
2179,4084,Other,133.15,4,2314.15,Card,0,3.0
2976,4066,Electronics,173.24,5,1756.57,Online,0,3.0
3540,4099,Food,215.98,4,388.33,Cash,0,1.0
590,4892,Clothing,456.71,5,909.1,Cash,0,1.0
4156,3130,Clothing,84.32,1,691.49,Cash,0,3.0
4193,1131,Other,435.68,2,1708.09,Card,0,1.0
2302,2985,Books,427.42,2,2040.28,Cash,0,1.0
2141,4212,Clothing,267.22,5,1730.9,Card,0,5.0
4373,1357,Books,9.3,1,1082.82,Cash,0,4.0
3933,4325,Clothing,231.64,3,1727.71,Card,0,4.0
151,1678,Clothing,91.52,4,2094.61,Card,0,2.0
358,3962,Food,459.1,1,718.69,Card,0,
260,1949,Books,439.67,2,1741.81,Card,0,1.0
631,2935,Electronics,411.2,4,2187.79,Online,1,2.0
1085,2080,Electronics,67.89,2,1858.37,Card,0,4.0
1048,3237,Clothing,77.2,1,1687.97,Card,0,3.0
3023,1625,Food,434.73,5,32.59,Online,0,5.0
3342,3724,Food,384.23,3,2064.68,Card,0,2.0
1180,4815,Clothing,298.79,2,439.16,Card,0,5.0
4177,3237,Food,386.9,2,1775.43,Cash,0,
1686,4850,Books,433.34,4,1616.95,Card,0,3.0
274,4174,Other,467.17,3,909.84,Online,0,2.0
4485,2409,Other,186.06,4,314.7,Card,0,4.0
2053,2709,Food,309.25,3,2263.95,Online,0,2.0
2936,3077,Other,164.32,1,1626.23,Cash,0,5.0
3911,2023,Clothing,486.51,2,930.19,Card,0,2.0
4262,2454,Electronics,93.03,1,1907.5,Online,1,
2733,4849,Other,301.52,5,1329.9,Online,0,2.0
893,4088,Books,286.35,5,1078.47,Online,0,5.0
3022,3114,Books,79.16,1,2454.23,Cash,0,3.0
3452,1167,Food,432.46,3,2097.5,Card,0,
900,3497,Food,159.38,4,1310.55,Card,0,5.0
326,2120,Clothing,492.78,3,430.54,Cash,0,3.0
607,1711,Clothing,360.75,1,1172.76,Card,0,4.0
2292,1387,Electronics,22.54,1,241.29,Card,0,3.0
476,4151,Other,464.05,1,1556.22,Card,0,4.0
4918,4578,Electronics,176.16,1,918.56,Card,0,4.0
2510,2480,Other,291.21,4,1105.99,Card,0,4.0
3723,3083,Food,222.93,2,45.73,Card,0,1.0
3713,3732,Clothing,48.82,4,1074.5,Cash,1,
4809,1355,Clothing,73.64,3,2419.52,Card,0,2.0
3832,2381,Electronics,39.64,4,1167.02,Online,0,2.0
4409,2396,Books,490.83,4,955.5,Cash,0,2.0
420,4808,Clothing,333.09,5,100.66,Card,0,5.0
102,2530,Other,340.21,5,1258.64,Cash,1,1.0
899,2326,Electronics,344.68,5,2067.85,Cash,0,4.0
1671,2961,Food,313.43,1,1828.15,Card,0,1.0
4305,1387,Other,66.22,4,706.75,Card,0,4.0
3345,2789,Other,105.96,5,815.02,Cash,0,2.0
2291,3211,Other,259.57,2,2397.79,Card,0,3.0
2882,1797,Books,8.39,2,1244.77,Cash,0,4.0
2536,3984,Other,340.63,3,2359.27,Card,0,4.0
144,1185,Other,353.16,2,398.87,Card,0,4.0
1963,4424,Other,284.76,4,891.64,Online,0,5.0
4295,2927,Clothing,213.52,2,1615.7,Online,0,1.0
4043,2758,Clothing,425.75,3,1875.21,Cash,0,5.0
3343,3001,Other,178.89,3,919.62,Cash,0,4.0
1183,2122,Clothing,494.95,1,1811.56,Cash,0,4.0
634,4657,Other,443.02,1,336.61,Card,0,1.0
2171,4579,Clothing,469.77,1,2183.4,Online,0,4.0
3389,4356,Other,92.89,1,2093.16,Online,0,1.0
4597,1710,Electronics,492.58,3,1131.28,Cash,0,3.0
3647,1635,Other,355.36,1,900.37,Card,0,1.0
3545,2968,Clothing,222.48,5,1478.85,Card,0,4.0
1316,1118,Books,450.27,3,1228.82,Online,0,4.0
4753,3007,Food,110.7,2,1740.4,Cash,0,4.0
3922,1780,Food,387.16,3,577.7,Card,0,5.0
801,4443,Clothing,149.56,4,1933.85,Cash,0,4.0
1120,3180,Clothing,90.89,4,2200.54,Cash,0,4.0
2932,4780,Electronics,37.01,5,474.56,Card,0,1.0
2461,1204,Clothing,300.13,1,504.61,Card,0,3.0
4883,4741,Food,282.95,2,1448.15,Online,0,
1982,2562,Clothing,162.35,5,78.06,Cash,1,
3113,2842,Food,347.18,3,613.49,Cash,0,
2153,1676,Clothing,369.48,1,1959.84,Card,0,3.0
1064,2036,Clothing,75.92,2,658.14,Card,0,2.0
1493,2612,Books,134.73,4,221.24,Online,0,5.0
3283,3364,Food,155.35,4,315.89,Cash,0,2.0
2459,3237,Food,451.79,5,665.21,Card,0,
442,4508,Clothing,331.09,3,179.5,Online,0,3.0
3500,1500,Clothing,249.09,1,792.22,Cash,0,5.0
2090,3064,Electronics,240.26,5,1753.04,Online,0,3.0
268,4419,Clothing,278.82,5,1815.35,Card,0,2.0
2986,4150,Electronics,15.79,1,897.97,Online,0,5.0
2526,1822,Other,101.76,2,2248.41,Online,0,2.0
1741,1347,Books,466.0,2,852.85,Online,0,3.0
3045,2778,Clothing,207.55,2,917.65,Cash,0,2.0
2360,2395,Electronics,100.95,2,780.78,Cash,0,5.0
3390,2093,Electronics,404.1,4,1354.91,Cash,0,3.0
2371,3112,Food,333.7,1,2347.33,Card,0,
637,4250,Books,425.67,3,1894.7,Card,0,4.0
3824,2830,Electronics,92.64,3,2068.89,Card,0,5.0
3206,3164,Food,352.1,1,1888.43,Online,0,
3161,3932,Clothing,361.39,5,1692.07,Online,0,1.0
4368,4793,Electronics,285.55,3,1183.21,Card,0,1.0
1739,4821,Food,295.63,2,308.72,Online,0,
897,1369,Books,115.44,5,195.04,Card,0,2.0
2504,2597,Food,110.79,3,1278.26,Cash,0,
994,4959,Electronics,488.07,3,2232.2,Card,0,3.0
1746,2873,Food,329.73,1,401.42,Card,0,
118,1925,Books,470.26,5,109.77,Cash,0,1.0
3360,4674,Electronics,322.18,2,1015.52,Cash,0,5.0
795,1517,Clothing,350.83,1,384.35,Card,0,1.0
1903,3610,Clothing,305.26,3,2187.07,Cash,1,
1860,1130,Electronics,278.4,1,1873.09,Card,0,1.0
2688,2876,Books,492.09,1,873.78,Online,0,3.0
2475,3742,Clothing,355.44,3,484.8,Cash,0,5.0
124,1619,Other,108.46,2,1782.95,Online,1,
4301,2745,Electronics,404.16,4,1796.67,Card,0,5.0
2377,2580,Books,342.25,2,938.9,Card,0,3.0
4296,4133,Clothing,5.81,1,2298.6,Cash,0,5.0
4252,4179,Other,122.49,4,2328.46,Online,1,2.0
2245,1709,Clothing,56.45,3,1396.73,Cash,0,2.0
1560,2953,Clothing,12.9,5,801.74,Online,0,3.0
248,3077,Food,125.35,4,1041.24,Cash,0,
2024,3421,Other,258.81,4,2442.72,Online,0,3.0
3811,3740,Clothing,251.67,5,1641.12,Online,0,2.0
2884,2194,Food,279.77,1,353.88,Cash,0,
2326,4279,Other,7.66,1,529.65,Card,0,5.0
4908,2585,Food,281.07,2,1210.39,Cash,0,5.0
1478,1962,Electronics,218.82,4,1914.04,Card,0,2.0
1161,4691,Books,394.24,1,2395.02,Online,0,2.0
3238,3213,Electronics,287.27,1,122.84,Card,0,1.0
1032,1530,Other,228.33,3,2047.34,Cash,0,4.0
1126,1111,Electronics,426.64,3,969.47,Online,0,5.0
79,1540,Food,376.09,3,252.16,Online,0,
1938,3214,Food,233.8,1,411.52,Card,0,
3521,1377,Electronics,310.26,4,355.89,Cash,0,4.0
3144,4543,Electronics,492.66,1,597.0,Cash,0,4.0
1717,1056,Other,152.19,3,2254.29,Cash,0,5.0
2330,4845,Books,277.17,1,2259.49,Cash,0,1.0
408,4633,Electronics,289.95,1,127.55,Online,0,1.0
175,2670,Food,436.88,1,150.8,Online,0,
2983,4800,Food,333.51,1,99.8,Cash,0,
4872,2085,Other,389.07,5,457.41,Cash,0,3.0
1306,4978,Food,13.85,3,1046.51,Cash,1,3.0
3358,3270,Food,188.74,3,1723.78,Cash,0,4.0
162,4974,Food,318.73,1,773.96,Cash,0,
263,2495,Clothing,415.18,2,169.4,Cash,0,1.0
1029,1656,Food,267.98,3,2409.34,Online,0,
2151,2946,Clothing,40.77,4,2464.64,Card,0,1.0
840,4157,Food,418.18,5,806.57,Online,0,3.0
914,4928,Food,26.27,4,1880.65,Cash,0,
1946,4295,Food,99.5,4,1684.82,Cash,0,3.0
1593,3535,Food,217.59,1,542.27,Cash,0,
507,2835,Electronics,232.73,3,1002.8,Card,0,3.0
1613,4653,Books,251.67,5,1036.57,Online,0,3.0
2836,1593,Electronics,404.06,2,2395.22,Online,0,3.0
3003,4726,Other,59.05,5,1934.65,Card,0,5.0
2241,4069,Books,54.95,2,1463.88,Online,0,5.0
2726,1732,Other,49.61,4,896.14,Card,1,
2614,2098,Clothing,444.51,2,2374.41,Cash,0,2.0
2300,4883,Clothing,277.9,3,767.83,Online,0,5.0
4055,1693,Electronics,488.9,4,894.01,Card,0,3.0
2618,3017,Electronics,85.0,3,253.84,Cash,0,4.0
4768,2676,Clothing,426.31,3,58.7,Online,0,1.0
1385,4212,Clothing,107.84,1,1627.14,Card,0,1.0
4132,1940,Clothing,32.4,4,954.93,Online,0,5.0
3972,2343,Food,413.4,5,11.58,Card,0,
3268,1556,Electronics,272.28,3,1438.08,Online,0,3.0
2823,3732,Other,252.78,3,2484.43,Card,0,3.0
4419,2620,Books,190.31,1,868.65,Cash,0,3.0
784,1368,Other,5.28,2,1724.15,Online,0,2.0
638,2965,Food,210.65,3,1126.92,Card,0,1.0
747,4933,Clothing,150.54,1,692.91,Online,0,2.0
744,4509,Clothing,462.33,2,997.5,Online,0,5.0
67,4274,Food,84.01,4,891.74,Cash,0,1.0
1532,4249,Clothing,226.08,2,1057.8,Online,0,5.0
614,4148,Books,288.36,2,2104.83,Online,0,4.0
382,3381,Clothing,89.88,5,2415.16,Card,0,5.0
731,4398,Books,235.21,5,720.54,Card,0,2.0
4565,4542,Books,372.96,4,717.86,Cash,0,5.0
1198,2555,Clothing,309.58,1,740.13,Online,0,1.0
2201,1810,Clothing,153.99,3,788.07,Card,0,5.0
344,4754,Food,362.06,2,1529.87,Card,0,
3443,1457,Electronics,183.18,5,1359.39,Online,0,5.0
1163,4453,Clothing,396.56,3,1656.65,Card,0,5.0
3404,3388,Electronics,445.16,4,1907.45,Card,0,3.0
1189,1000,Clothing,100.32,3,951.2,Cash,0,2.0
2891,1226,Food,431.44,4,836.71,Cash,0,4.0
4690,3390,Food,93.11,1,2176.85,Online,0,
2112,2453,Clothing,246.82,3,2416.66,Cash,0,2.0
2674,2658,Clothing,16.0,3,1652.95,Cash,0,1.0
