client_id,age,gender,membership_type,monthly_fee,avg_visits_per_week,trainer_rating,avg_session_duration,weight_change_kg,member_satisfaction
EYU7M,38,male,full,3081.89,3.1,senior,64.0,-4.6,8.0
2VXW7,30,female,day,2038.41,3.3,junior,60.0,,7.0
LHQ95,32,female,full,2528.61,4.0,mid,31.0,-2.2,5.0
Y5Y7O,26,female,morning,1665.69,1.4,senior,35.0,,8.0
8M0PA,35,male,full,3391.92,3.7,mid,56.0,,7.0
ZK82E,39,male,vip,6240.36,2.4,mid,49.0,-10.0,
1L6TM,34,female,day,1578.9,3.3,mid,50.0,,5.0
UZEWE,30,female,vip,5752.56,1.9,senior,53.0,,7.0
EMXXB,16,male,vip,5495.59,1.7,mid,62.0,0.9,5.0
UMNIP,40,male,full,3125.96,3.7,elite,60.0,-0.3,
HETX7,68,female,morning,1103.77,14.0,elite,57.0,-0.5,8.0
YOJFA,32,female,morning,1218.13,2.2,junior,46.0,-2.6,6.0
JRJL7,32,female,day,2096.51,2.8,junior,51.0,,5.0
V4TX8,40,male,morning,1866.82,3.8,junior,25.0,-2.7,
SJW1L,50,male,day,1922.13,7.0,senior,52.0,-2.0,6.0
XA9Q8,48,female,morning,1632.02,5.4,senior,45.0,,
Y576O,37,male,vip,6386.46,1.1,mid,48.0,-3.8,7.0
98I3M,42,female,morning,1189.84,3.3,senior,56.0,-7.6,9.0
HMWTR,30,female,morning,1488.45,1.7,junior,65.0,1.2,6.0
2UGWF,24,female,day,2136.41,3.3,mid,35.0,-0.4,5.0
6834Z,42,female,vip,5937.4,3.3,elite,67.0,-4.3,8.0
2XDN0,32,female,full,3008.06,3.2,mid,48.0,-3.5,10.0
E09AH,35,female,day,1935.61,4.3,mid,28.0,0.1,6.0
4UU8N,52,female,vip,4.28690553473408,2.1,senior,66.0,3.4,7.0
8SXFS,43,male,vip,6184.07,1.6,mid,35.0,,
D0MJB,16,female,morning,1058.67,1.8,mid,33.0,-3.1,8.0
V2FKT,43,female,morning,1650.03,3.3,mid,60.0,1.3,10.0
M9G0A,23,male,full,2910.63,3.2,elite,63.0,,7.0
VRP36,29,male,day,1704.89,5.0,mid,25.0,-2.4,7.0
99GSG,42,female,vip,5772.86,3.4,senior,60.0,,
TF5S5,30,male,day,1951.66,4.0,senior,60.0,-4.1,8.0
XANNH,39,male,vip,6295.8,3.9,senior,77.0,,6.0
FVE9R,32,male,day,2055.83,2.7,junior,39.0,-1.0,5.0
50NWX,47,female,morning,1228.94,4.0,mid,45.0,-3.0,8.0
M6ES3,28,female,morning,1236.72,9.7,mid,44.0,-6.9,7.0
YQVC2,39,female,vip,6514.12,1.9,mid,59.0,2.8,6.0
DRL1I,26,male,day,2143.49,4.2,junior,25.0,-0.9,6.0
LSL60,55,male,day,1927.52,5.3,elite,54.0,-2.0,8.0
4OG3H,41,female,day,2437.09,4.9,senior,41.0,2.6,8.0
YM2O2,39,female,day,1663.67,4.6,senior,62.0,-4.9,8.0
NF0XE,38,male,day,1637.77,2.0,junior,24.0,,4.0
J4L4Q,40,male,morning,1381.13,3.0,elite,20.0,-5.3,10.0
FWI9U,46,female,morning,1729.43,3.0,junior,41.0,,7.0
EKQOA,33,female,full,3479.27,2.8,elite,67.0,-4.0,6.0
ZYMY7,25,male,day,2018.0,4.5,mid,45.0,0.3,6.0
648YT,39,male,morning,1503.6,4.3,elite,71.0,-2.3,7.0
HML70,22,female,morning,1464.57,4.2,senior,42.0,-5.2,
AUJMX,41,male,vip,21.747988384918003,0.5,mid,46.0,,8.0
O2R6M,16,female,full,3200.87,2.1,senior,73.0,,8.0
BHE4J,41,male,full,3356.91,3.5,mid,39.0,-0.9,7.0
AHQJW,40,female,vip,5916.16,4.6,senior,55.0,,9.0
CYTAD,50,male,vip,5309.22,0.5,mid,55.0,,6.0
LHQVG,40,female,full,3642.79,4.1,senior,61.0,2.0,7.0
LUZYU,33,female,day,2088.35,3.4,senior,41.0,-1.7,10.0
DJPG0,50,male,vip,7047.11,0.5,junior,66.0,-4.4,7.0
996XM,44,male,full,3163.48,2.8,elite,73.0,,
MVJ54,49,male,vip,5783.97,2.3,senior,61.0,-3.0,8.0
BRA3J,23,female,morning,1386.84,4.2,elite,62.0,-0.6,9.0
1HJ4O,26,female,morning,1443.05,4.1,senior,49.0,,
HBOCZ,21,male,full,2995.01,3.1,mid,56.0,-5.8,6.0
XY1KR,44,male,full,2796.76,2.0,mid,55.0,0.5,7.0
DSSLL,42,female,morning,1490.44,5.6,junior,41.0,-3.8,6.0
MG95G,57,male,day,1854.21,4.4,senior,40.0,-3.6,8.0
J85SN,22,male,day,1717.74,4.2,mid,59.0,0.4,
DVHQH,50,female,day,1742.39,3.6,senior,62.0,-1.6,6.0
SSS2J,25,female,day,1832.82,4.1,senior,50.0,-0.5,9.0
5RU4L,16,female,full,2457.17,1.0,junior,33.0,-2.4,7.0
9OWTF,48,male,full,2955.33,2.5,mid,56.0,,
T90E3,40,male,day,2058.96,13.3,mid,66.0,-3.8,7.0
XCXB2,17,male,day,1877.82,5.5,elite,59.0,,8.0
7GJTM,16,female,day,2191.47,3.4,junior,49.0,,5.0
QGBGF,25,female,full,2979.68,1.8,junior,60.0,,5.0
XRTBH,19,male,day,1721.92,3.8,junior,51.0,1.8,6.0
NTQ0F,36,male,full,3262.13,5.3,mid,38.0,-30.0,6.0
LZBAD,66,male,day,2186.63,3.0,junior,48.0,-0.7,6.0
VZ3J1,55,female,morning,1760.36,3.2,mid,47.0,,6.0
FG3PP,18,female,morning,1437.01,2.5,mid,33.0,,8.0
3GI8H,34,female,morning,1684.84,3.2,mid,55.0,-0.7,6.0
F9PP4,37,male,morning,1497.54,4.7,senior,56.0,-6.9,
Z8WP8,16,female,vip,5488.62,0.6,senior,58.0,-1.8,7.0
VD60E,18,female,morning,1886.65,2.1,junior,51.0,0.5,8.0
CZWFG,26,male,morning,1532.87,5.3,senior,71.0,-3.3,6.0
XG89B,21,male,full,3290.13,4.0,elite,62.0,-2.1,7.0
8X62K,41,female,day,1907.24,3.6,senior,48.0,-1.9,7.0
NAS54,19,female,morning,1835.07,2.1,mid,33.0,1.3,6.0
RE2U8,31,male,day,1568.85,7.2,senior,56.0,,5.0
QVV7Y,45,female,full,2993.51,4.5,mid,49.0,-3.7,7.0
LJYQM,26,female,morning,1565.99,3.8,mid,51.0,,8.0
3STDJ,32,female,day,1962.25,4.3,senior,48.0,,7.0
BVC7U,37,male,morning,1091.93,3.9,junior,,,7.0
NXUQR,31,female,morning,1809.68,3.1,mid,57.0,,7.0
A6EDD,35,female,morning,1617.59,4.1,senior,37.0,-1.6,9.0
TJ80C,20,female,morning,1435.05,0.5,junior,42.0,0.2,5.0
VE86Z,60,male,morning,1251.88,3.2,mid,50.0,-2.2,
LQL6Y,16,female,morning,1563.61,4.6,elite,50.0,-0.6,8.0
OS4PR,34,female,morning,1735.79,6.1,mid,45.0,-4.0,
VP1VV,32,male,day,1583.71,3.2,senior,45.0,-5.3,6.0
RA8NB,45,male,morning,1372.27,3.3,junior,53.0,,6.0
QFISJ,43,male,vip,5830.49,1.2,mid,53.0,-5.6,7.0
P0AVS,31,male,day,2098.98,2.9,mid,45.0,2.6,7.0
8ENHC,16,female,morning,1412.01,3.5,senior,45.0,-3.5,8.0
GODD9,50,male,day,2244.11,3.6,mid,45.0,,7.0
OAHJ2,22,female,morning,1544.41,2.5,junior,41.0,4.3,7.0
S6DG6,19,male,day,2080.33,6.0,senior,39.0,-3.7,8.0
H42U6,26,male,day,1824.9,5.1,mid,29.0,,9.0
TB89Y,42,male,full,3128.21,5.4,senior,74.0,-0.9,7.0
4S786,23,female,morning,1541.45,3.9,mid,38.0,1.5,9.0
8X8BD,56,male,vip,5520.13,1.9,senior,57.0,-2.5,7.0
XKAWB,31,female,vip,5586.74,5.1,mid,57.0,,7.0
7CZTT,25,female,full,3643.14,3.6,mid,54.0,-6.3,
STRBM,34,female,day,1651.9,5.0,mid,53.0,2.1,5.0
TQIAN,33,female,morning,1685.83,2.0,junior,55.0,0.9,7.0
DYGIU,42,male,morning,1479.23,3.8,elite,64.0,-2.2,8.0
SMKXG,58,male,day,1628.65,4.3,mid,59.0,0.5,7.0
DM0E7,25,female,morning,1239.33,2.0,mid,46.0,3.4,
523RY,38,male,vip,4644.86,4.9,senior,51.0,,7.0
YLREA,32,female,day,1987.34,4.0,senior,57.0,1.2,5.0
N8RPU,45,male,full,2255.26,4.2,mid,33.0,,8.0
SM0VX,22,female,morning,1529.26,6.5,elite,63.0,-1.2,6.0
INIKY,18,female,morning,1311.89,4.3,senior,51.0,-3.5,8.0
YULT9,16,male,day,2314.2,4.1,mid,45.0,-3.0,9.0
M0ZVI,52,male,vip,6704.54,0.5,senior,63.0,-4.2,7.0
Q7VSX,16,female,vip,45.97027361144205,3.1,junior,51.0,,7.0
EEWLO,35,female,day,1779.55,3.0,junior,18.0,,8.0
JPKFW,42,male,day,2035.41,5.8,mid,54.0,,7.0
AVD3P,38,male,day,2174.9,2.1,mid,55.0,-7.8,5.0
CNJ10,29,male,day,1756.81,4.8,senior,51.0,-2.9,5.0
3J0OK,59,male,day,2081.2,3.8,mid,54.0,-3.7,9.0
LGWBH,30,female,morning,1585.71,4.2,junior,,,5.0
ZZ1O5,16,female,morning,998.29,2.3,junior,35.0,-2.3,5.0
XFDNV,31,female,day,2241.18,1.9,mid,40.0,,6.0
XOWKT,36,female,morning,1459.66,2.6,junior,39.0,-0.6,6.0
8YM7I,33,male,day,1816.17,4.6,elite,69.0,,9.0
SBWHG,52,male,morning,1700.85,1.0,junior,41.0,1.9,4.0
PUQNR,40,female,day,2233.44,2.6,mid,38.0,18.0,7.0
CLBVM,36,female,full,3762.04,4.5,senior,50.0,1.5,7.0
KO9WT,16,female,morning,1649.31,3.3,junior,21.0,0.5,7.0
38KX8,54,male,day,2051.17,3.5,junior,39.0,0.6,6.0
S3MOH,48,male,day,2000.71,2.9,junior,50.0,0.5,6.0
PPW64,53,male,vip,5887.26,3.6,junior,49.0,-2.8,7.0
2UN55,36,female,day,2290.89,4.6,senior,57.0,18.0,8.0
BIGWR,30,female,vip,6596.48,0.5,junior,,,8.0
3PGBD,39,female,vip,5996.06,4.0,senior,70.0,,8.0
DHEVW,48,male,vip,5892.59,1.1,mid,86.0,,8.0
9WOL6,34,female,full,3147.82,3.1,senior,57.0,,9.0
DCMFW,32,female,morning,1494.53,3.5,senior,42.0,,
DD35T,22,female,full,2759.15,0.8,mid,47.0,,8.0
RVEMF,19,female,vip,5845.87,1.6,mid,53.0,-0.5,7.0
Q4D92,41,female,morning,1208.0,3.8,junior,51.0,,5.0
P8DYP,37,female,vip,5062.15,3.4,senior,,-1.7,7.0
9PCR0,29,male,full,3159.76,4.4,elite,62.0,1.8,7.0
9OPCZ,29,female,day,2027.41,3.3,senior,35.0,-0.7,9.0
SPMG4,16,female,morning,1527.3,4.6,senior,50.0,-2.0,8.0
V2J22,30,female,day,2411.03,4.6,mid,58.0,,8.0
ZN1OW,29,male,full,2502.91,5.0,mid,53.0,0.3,8.0
UWL45,52,male,day,2088.72,2.5,mid,43.0,-4.5,6.0
L0VGP,46,female,full,3394.14,4.4,senior,68.0,0.9,7.0
BVSK0,35,male,day,2666.56,3.3,mid,44.0,,8.0
5H70P,53,male,full,3122.74,2.2,mid,38.0,-2.1,9.0
MS8L5,16,female,day,1727.54,3.8,mid,62.0,-5.0,8.0
I7VML,19,female,morning,1439.77,3.8,junior,46.0,-4.0,7.0
7WXOP,28,female,day,1773.06,4.0,senior,43.0,3.7,8.0
QNDN3,29,female,full,3726.02,3.3,senior,57.0,-0.7,6.0
PYVUM,47,female,full,2790.07,2.5,mid,41.0,0.9,6.0
1NMJR,25,female,day,1928.16,2.5,senior,47.0,,
MQV5K,33,female,morning,1811.83,3.0,mid,32.0,-0.8,6.0
92ELJ,39,female,morning,1367.43,3.1,mid,40.0,,8.0
K5ZAH,27,female,morning,1771.71,4.2,senior,36.0,5.1,7.0
CGZ78,16,female,full,2273.02,3.8,senior,62.0,,8.0
TDWSW,36,female,day,2020.13,2.5,senior,35.0,,
KDPE9,16,male,vip,6584.76,3.0,elite,66.0,-4.5,8.0
62CV0,31,male,full,2531.12,2.1,junior,15.0,,6.0
NE8UA,67,male,vip,5419.75,1.1,mid,64.0,-2.0,8.0
1K7U4,23,female,full,2407.39,4.4,mid,47.0,,6.0
P7OFX,38,female,full,2184.62,4.9,mid,47.0,,6.0
9FOBQ,24,female,day,2472.93,4.9,senior,52.0,-2.1,
U3PW2,27,male,morning,1510.38,5.0,mid,27.0,-2.4,8.0
K22PJ,36,female,vip,5314.47,4.7,senior,46.0,,8.0
0SFL1,44,female,morning,1592.32,5.2,mid,48.0,-3.0,6.0
YBDQC,36,male,morning,1440.09,3.9,mid,46.0,2.8,6.0
OC9NY,31,female,vip,5748.72,1.4,mid,57.0,-3.7,8.0
JHMDT,16,female,vip,5441.76,2.5,elite,67.0,-2.5,7.0
ETYQM,29,female,morning,1427.04,2.5,senior,61.0,-5.4,5.0
2EFTY,16,female,morning,1735.64,4.5,mid,41.0,-2.5,6.0
OVQG1,39,female,morning,1787.48,3.6,senior,37.0,-3.2,6.0
7R6VW,30,female,morning,1595.15,5.2,senior,40.0,,
K9T9M,46,female,full,3066.13,5.0,senior,49.0,-2.7,8.0
7ZR77,16,female,morning,1509.58,3.2,mid,46.0,,6.0
FQ68Z,31,male,morning,1469.76,4.6,junior,40.0,-0.7,4.0
HE83C,55,female,full,2583.6,4.5,senior,60.0,,8.0
LK8Z3,36,female,morning,1655.15,2.0,mid,60.0,-1.3,8.0
7KP5X,26,male,vip,6332.47,3.8,mid,51.0,-1.9,9.0
7A9HW,22,female,full,3380.72,5.1,senior,59.0,-0.4,8.0
LJ94Y,35,female,full,2542.88,3.1,mid,55.0,,6.0
TWB4U,50,female,full,3375.31,2.1,junior,48.0,-3.4,
RYYCX,24,female,full,2715.76,1.8,junior,40.0,,7.0
5H7TS,46,male,full,2426.23,2.0,junior,53.0,0.1,5.0
2T1W5,36,female,full,2493.08,3.3,elite,45.0,,5.0
2P7BV,37,male,morning,1233.19,3.9,senior,49.0,-2.7,9.0
R5RE6,40,female,full,3300.47,3.9,mid,32.0,0.3,5.0
58JII,16,female,vip,6317.33,3.0,senior,93.0,-4.0,8.0
H9QYE,36,male,full,3494.28,0.7,mid,38.0,,7.0
0SMO2,25,male,day,1991.95,2.2,elite,52.0,,8.0
X3ZKL,53,male,full,2807.0,3.5,senior,71.0,1.4,8.0
PPPPD,66,female,full,2460.79,3.8,mid,20.0,,7.0
NNHTV,22,female,morning,1432.73,3.0,elite,63.0,,9.0
18JLZ,48,male,vip,5104.98,2.8,senior,61.0,-1.0,7.0
034LD,27,female,full,2935.05,6.9,senior,54.0,,6.0
HJCGZ,21,male,day,2200.74,2.5,mid,,-1.1,8.0
ILO4B,33,female,full,2769.38,4.1,mid,41.0,-2.2,9.0
J85KD,46,male,day,2158.42,3.1,junior,42.0,-1.8,7.0
B42M3,28,female,morning,1719.95,4.8,senior,53.0,-2.8,6.0
15S0P,45,male,full,2771.43,3.7,mid,77.0,-1.9,6.0
EYEB5,30,female,morning,1654.75,0.6,mid,46.0,-2.4,
ILULI,37,female,full,2761.26,5.8,mid,61.0,,6.0
WJY6U,32,female,morning,1635.86,12.4,senior,51.0,-2.7,7.0
JRQSZ,33,female,day,1701.28,2.3,mid,61.0,1.9,5.0
01E2O,32,female,day,2216.18,2.3,junior,45.0,-5.9,6.0
G8WOU,40,female,morning,1557.06,3.6,mid,46.0,,6.0
AUC59,75,male,vip,4662.84,1.1,senior,54.0,,7.0
BLEAB,48,male,vip,4823.83,2.5,senior,60.0,,7.0
A7PB1,38,female,morning,1353.16,3.6,junior,41.0,,10.0
VR8BQ,23,female,morning,1471.4,4.4,senior,42.0,,8.0
HL9RY,16,female,day,2091.72,2.7,junior,71.0,1.7,6.0
YDPZ4,16,female,day,2146.21,3.8,mid,42.0,-2.0,
6LIDA,39,female,vip,5445.15,2.9,senior,67.0,,9.0
BS8BK,32,male,vip,5670.57,0.5,mid,,-5.1,5.0
WAAFH,21,female,morning,1637.77,3.7,mid,47.0,-5.0,5.0
PDPD6,35,male,vip,5443.82,1.0,mid,,2.3,6.0
GV6C9,26,female,morning,1476.61,2.5,mid,35.0,-1.9,7.0
PBZ21,26,female,full,3004.43,3.0,junior,60.0,0.5,6.0
5QAMR,28,female,full,2303.23,0.5,junior,41.0,,6.0
0VWH4,26,female,morning,1494.05,4.7,junior,24.0,-12.0,7.0
C5GR4,17,male,day,1972.47,3.8,junior,60.0,,7.0
9YDPN,23,female,morning,1236.39,2.9,elite,42.0,-6.0,8.0
5EV5V,28,female,full,3269.0,3.8,senior,52.0,2.9,8.0
697XQ,26,female,vip,5420.23,2.1,mid,52.0,1.8,7.0
MJ6CO,65,female,day,2205.72,1.5,junior,32.0,-2.7,
83DR2,28,female,morning,1409.05,5.1,elite,61.0,-4.1,7.0
S93UH,27,female,full,3210.1,3.8,elite,54.0,-4.2,8.0
TDJQ9,43,female,morning,1551.83,2.0,senior,65.0,0.5,9.0
YYFJ3,21,male,day,1856.52,2.2,junior,37.0,-0.4,9.0
0O3SG,32,male,full,2991.9,2.9,mid,45.0,,7.0
AXW9A,43,female,vip,6109.47,3.7,mid,44.0,-5.2,7.0
0ZEZF,55,male,full,3168.67,9.8,mid,37.0,0.3,8.0
F0EFI,30,female,day,2023.99,3.7,elite,55.0,,9.0
Q92YV,41,female,vip,6439.12,1.6,mid,50.0,-4.7,8.0
ZBC9E,22,male,morning,1610.27,3.4,mid,57.0,,7.0
9VTAE,33,female,vip,6089.35,2.0,elite,47.0,,7.0
E6BDI,38,male,morning,1391.19,6.3,mid,40.0,,7.0
WMGV5,35,male,full,3672.53,1.0,mid,42.0,-0.3,5.0
P89Q7,33,male,day,2191.85,4.2,junior,52.0,3.5,6.0
26OBS,53,male,vip,6037.9,0.5,mid,44.0,0.2,6.0
D4ODD,33,female,full,3493.36,2.4,senior,62.0,-2.5,10.0
TMCBF,59,male,vip,6213.06,1.2,senior,68.0,-3.1,6.0
HO1UV,30,male,vip,6892.51,2.3,senior,58.0,-1.2,8.0
MJEKO,27,male,day,1444.51,3.7,mid,48.0,-4.6,8.0
LLC50,30,male,full,3171.49,3.0,mid,68.0,2.8,7.0
E09BG,35,female,day,1864.61,2.8,mid,52.0,-7.0,7.0
5RCZ5,39,male,day,1956.88,2.7,senior,37.0,,8.0
R8E14,57,female,day,1753.48,5.5,elite,54.0,,9.0
IWCMN,31,female,full,2805.47,3.0,senior,62.0,0.4,7.0
VUOT1,35,male,day,1712.29,3.8,mid,42.0,-2.1,7.0
LHNB7,25,female,morning,1440.67,1.7,mid,65.0,,5.0
7FMFM,33,female,vip,5915.93,1.0,mid,56.0,0.7,10.0
FNZDT,40,female,full,2439.77,4.8,junior,50.0,-1.2,8.0
EX339,39,female,morning,1454.85,3.4,mid,16.0,-1.3,9.0
KU4EH,16,female,morning,1426.62,5.8,senior,51.0,5.8,7.0
S0CI2,40,female,morning,1688.85,3.9,junior,36.0,,4.0
06EGH,51,male,day,1387.32,6.0,senior,45.0,-2.8,6.0
3SXNR,28,female,day,2023.08,4.2,elite,59.0,3.7,6.0
62QOK,25,female,day,2584.72,5.4,junior,42.0,,6.0
AKG4S,16,female,morning,1071.2,4.4,mid,22.0,1.1,6.0
LYJ1P,23,male,full,2995.66,2.3,junior,36.0,,7.0
4CZW6,32,female,day,2066.46,3.7,senior,63.0,2.1,7.0
WRJWO,29,male,day,1749.42,2.7,mid,38.0,-8.2,8.0
B37QI,29,male,day,2031.71,2.6,senior,57.0,-5.9,10.0
I0XMK,22,male,morning,1426.52,2.7,mid,55.0,,7.0
O8AOM,31,female,morning,1525.54,6.0,senior,61.0,2.0,6.0
JHHQ2,38,male,full,3204.66,5.0,junior,74.0,,7.0
YGTRD,31,male,day,2107.83,3.4,senior,49.0,,7.0
W7OJO,47,male,vip,6703.66,1.5,junior,47.0,,7.0
V3BIG,44,male,day,2050.49,3.5,senior,53.0,-9.8,7.0
LT373,33,female,day,1581.19,4.0,senior,58.0,-6.4,8.0
OYAMS,18,male,vip,6619.78,1.9,mid,72.0,-3.5,8.0
7MOKC,31,female,morning,1284.48,3.6,senior,52.0,-1.9,5.0
UGX6U,32,male,vip,6451.77,4.3,senior,65.0,,9.0
GGUTP,32,female,day,2236.22,4.4,mid,49.0,-4.5,9.0
UI6ZR,29,female,day,2201.92,5.7,elite,43.0,,9.0
EAUVR,32,female,morning,1564.67,3.6,junior,34.0,1.0,4.0
YB13G,47,male,full,2899.87,6.9,senior,44.0,,9.0
AR7W2,30,male,vip,5319.59,0.5,mid,39.0,-1.8,8.0
8FWJG,40,male,full,3169.78,5.6,senior,72.0,,
RFZ03,34,female,day,1740.5,4.8,elite,58.0,-1.7,7.0
JJCQP,33,female,morning,1632.65,2.4,mid,47.0,-3.4,5.0
P2JFH,20,female,full,2929.47,4.2,senior,55.0,,
PRPVD,25,female,full,2907.48,3.6,junior,51.0,2.7,6.0
DN841,48,male,full,3082.42,2.0,senior,52.0,-4.9,7.0
KP29O,43,female,day,2102.27,3.4,elite,81.0,,
EMGTV,49,female,full,3056.09,3.0,mid,65.0,,7.0
BHGEP,47,female,day,1806.36,5.7,mid,43.0,-3.6,7.0
OPV9F,37,female,day,1754.19,3.4,junior,63.0,-3.9,6.0
4HG1G,31,female,morning,1322.91,3.2,mid,30.0,4.6,8.0
U0RNA,35,female,morning,1222.24,5.4,mid,35.0,,8.0
8E0WF,42,female,day,2302.72,2.9,mid,42.0,,7.0
GRGNL,25,female,full,2552.95,5.6,elite,60.0,0.6,8.0
UGDZH,34,male,vip,6832.58,2.2,mid,56.0,0.8,7.0
LP2Z6,26,female,morning,1555.3,5.4,senior,44.0,,9.0
JA4CN,47,male,day,2214.65,3.7,senior,42.0,0.1,
8KB6P,32,female,day,2208.07,1.2,mid,25.0,-1.7,7.0
MWK07,35,female,full,3405.37,6.2,senior,49.0,-2.1,7.0
BWZL6,16,female,full,2382.39,3.0,mid,69.0,-5.6,7.0
T8E2C,29,female,morning,905.08,5.1,senior,60.0,,7.0
2PJYT,45,female,full,2550.05,2.1,elite,37.0,,6.0
36S6V,20,female,morning,2070.94,3.0,senior,46.0,-3.6,
327P7,28,female,vip,6285.98,1.9,mid,,,
ACU83,36,female,vip,6120.41,3.5,junior,32.0,1.6,9.0
Z87LC,42,female,full,3098.16,2.7,mid,46.0,-2.3,6.0
DMR0I,47,male,morning,1518.75,4.2,mid,23.0,-3.1,7.0
WECYM,28,male,day,1990.98,3.4,mid,33.0,-5.1,6.0
U04V4,16,female,morning,984.17,6.0,elite,47.0,,5.0
84TS3,16,female,full,2563.12,2.9,mid,58.0,-6.2,6.0
0KVIC,28,female,morning,1488.61,5.7,senior,43.0,-0.5,8.0
KHWHN,22,female,day,2212.53,5.6,mid,46.0,-6.0,7.0
UQL9P,44,male,day,2204.66,5.7,elite,65.0,-4.5,7.0
L8FQJ,43,female,full,3297.15,3.7,mid,54.0,3.2,7.0
ZAU9S,52,male,vip,5838.18,1.2,senior,70.0,,
0NSMP,34,female,vip,5508.57,2.8,elite,,1.1,8.0
3ELTL,23,female,day,2177.12,2.9,mid,54.0,,8.0
1CS9Z,31,female,morning,1306.52,4.9,mid,42.0,-3.0,7.0
JXOHR,45,male,full,3489.9,4.0,senior,58.0,-5.6,6.0
NOZFX,34,male,day,1918.6,3.6,mid,30.0,,8.0
XTELH,50,male,day,2524.55,1.8,mid,45.0,-7.3,7.0
CW67H,33,female,morning,1630.99,3.5,senior,31.0,,8.0
BJQNY,41,female,full,3402.22,2.8,senior,68.0,,6.0
2SOUT,28,female,day,1923.6,4.2,senior,24.0,,6.0
L2ZCP,26,male,full,2935.99,3.1,mid,57.0,,7.0
C3XXB,39,male,day,2080.71,4.5,mid,45.0,-2.1,5.0
6PWPI,30,male,full,2326.8,3.0,mid,55.0,-2.0,8.0
9GV4N,29,male,morning,1584.57,4.8,mid,27.0,-1.9,8.0
