id,age,gender,skin_type,baseline_hydration,after_hydration,satisfaction_score,days_used,comments
359,57,Female,Normal,38.7,56.1,5.0,17,
181,44,Male,Oily,74.5,79.4,10.0,10,
408,60,Female,Oily,33.6,91.5,9.0,1,
90,58,Female,Combination,41.6,80.1,6.0,9,
377,46,Female,Normal,44.3,99.9,4.0,10,
473,50,Female,Normal,78.3,75.7,,17,
292,35,Female,Combination,62.6,72.5,7.0,15,
483,36,Male,Combination,62.1,,4.0,15,
485,18,Male,Oily,64.8,,3.0,11,
203,20,Female,Oily,65.0,42.6,5.0,26,
453,29,Female,Oily,71.7,66.9,9.0,1,
39,24,Male,Dry,75.5,77.1,5.0,25,
389,25,Male,Normal,56.3,78.0,8.0,23,
125,57,Male,Combination,61.6,70.3,4.0,15,
435,40,Female,Dry,85.9,67.5,5.0,8,
446,18,Female,Normal,62.8,83.5,8.0,10,
386,62,Female,Dry,51.3,73.7,5.0,9,
63,19,Male,Oily,57.1,71.5,7.0,15,
310,50,Female,Normal,65.9,72.0,,1,
26,29,Male,Dry,40.8,58.7,8.0,28,
481,48,Male,Normal,52.7,77.5,2.0,27,
459,31,Female,Dry,70.4,75.0,6.0,17,
357,48,Male,Combination,74.9,73.7,10.0,14,
113,45,Female,Dry,22.5,90.8,,27,
400,40,Female,Normal,68.8,74.6,,21,
376,56,Female,Oily,47.4,77.9,8.0,5,
256,42,Male,Normal,48.7,56.8,4.0,27,
9,40,Male,Oily,59.6,86.0,8.0,25,
288,42,Female,Normal,54.9,,2.0,18,
443,42,Female,Combination,51.7,84.6,9.0,10,
120,40,Female,Normal,68.5,68.9,4.0,20,
416,21,Female,Normal,47.2,82.7,5.0,15,
331,21,Female,Oily,50.9,54.8,8.0,15,
158,46,Male,Dry,60.6,72.1,6.0,27,
76,32,Female,Normal,42.9,67.0,4.0,8,
305,37,Male,Normal,68.1,60.7,4.0,22,
178,56,Male,Oily,58.1,88.0,,9,
361,41,Male,Oily,55.2,60.7,,26,
385,53,Female,Dry,72.9,69.4,6.0,22,
115,26,Male,Combination,39.2,49.5,,6,
8,36,Male,Normal,49.9,79.4,,19,
33,33,Female,Combination,54.8,,1.0,27,
398,19,Female,Combination,50.2,,4.0,23,
493,45,Male,Oily,59.6,66.7,1.0,24,
365,40,Male,Oily,66.8,82.7,2.0,17,
486,22,Female,Oily,57.8,81.1,6.0,26,
420,47,Female,Combination,65.9,73.2,1.0,2,
189,26,Female,,85.2,62.4,8.0,22,
60,53,Female,Oily,44.2,94.5,2.0,20,
394,40,Female,Oily,77.6,70.3,4.0,16,
318,62,Female,,57.6,55.1,10.0,6,
412,61,Female,Dry,70.1,77.7,4.0,19,
269,54,Female,Combination,44.0,49.2,5.0,28,
101,25,Female,Dry,83.9,89.2,5.0,3,
157,60,Female,Normal,60.7,,8.0,21,
45,42,Female,Normal,70.9,80.2,4.0,27,
308,20,Male,Oily,21.1,,2.0,28,
431,45,Female,Combination,46.7,65.7,4.0,22,
10,28,Male,Oily,77.6,65.4,9.0,5,
494,49,Male,Normal,86.6,70.1,5.0,24,
15,41,Female,,77.2,45.9,,23,
40,38,Female,Dry,63.6,70.6,5.0,28,
171,61,Female,Dry,47.5,83.5,7.0,17,
250,56,Female,Dry,55.6,65.4,,3,
199,58,Female,,60.5,86.7,,4,
309,34,Male,Combination,51.8,,4.0,15,
251,35,Female,Dry,64.0,,,10,
297,33,Female,,74.2,,5.0,11,
413,61,Female,Oily,57.9,74.3,7.0,14,
448,56,Male,Normal,90.1,87.8,6.0,18,
285,57,Female,Normal,56.8,,6.0,26,
499,52,Female,Normal,45.0,75.0,10.0,9,
319,25,Female,Normal,59.6,87.4,9.0,6,
323,38,Female,Dry,57.4,61.7,1.0,17,
99,18,Male,Dry,43.6,72.8,10.0,2,
474,47,Female,Combination,68.7,78.3,1.0,7,
455,33,Female,Combination,47.7,65.5,,16,
84,35,Female,,66.3,64.8,,28,
390,63,Female,Oily,84.1,80.6,7.0,13,
492,19,Female,Combination,16.9,53.8,5.0,9,
77,25,Female,Dry,84.5,97.5,7.0,26,
12,41,Female,Oily,54.4,71.7,5.0,7,
114,198,Female,,94.4,73.6,6.0,15,
421,64,Male,Combination,42.1,72.7,7.0,9,
107,52,Male,,84.6,79.1,6.0,6,
30,44,Female,Normal,53.6,89.0,10.0,21,
137,43,Female,Normal,45.2,,7.0,16,
314,63,Female,Combination,68.7,84.7,10.0,6,
396,45,Female,Oily,40.5,70.9,,13,
335,45,Male,Normal,92.4,60.2,10.0,4,
326,45,Male,Dry,35.8,84.4,,21,
104,34,Female,Oily,27.7,78.9,6.0,28,
466,29,Female,Normal,32.0,63.7,7.0,13,
247,58,Female,Combination,61.2,77.6,,13,
249,57,Male,Normal,73.8,71.2,5.0,14,
128,52,Female,Normal,55.8,71.1,8.0,2,
252,57,Male,Combination,64.8,,7.0,6,
96,24,Female,Dry,61.9,80.4,1.0,27,
58,31,Female,Dry,44.4,63.6,9.0,1,
148,56,Female,,66.6,98.3,7.0,26,
91,46,Female,Dry,69.0,99.8,1.0,17,
317,55,Female,Normal,77.9,90.7,7.0,1,
184,20,Female,Combination,39.5,70.8,9.0,6,
74,31,Female,Oily,77.8,57.7,6.0,9,
304,38,Male,Normal,33.0,,,11,
451,46,Male,,75.4,73.0,10.0,13,
22,55,Female,Dry,65.2,68.7,3.0,18,
289,52,Male,Combination,50.8,61.3,,28,
261,52,Female,Normal,76.3,56.0,8.0,10,
454,43,Female,,51.7,73.3,1.0,2,
154,56,Male,Normal,53.6,80.9,7.0,22,
401,39,Male,Oily,78.6,88.5,4.0,2,
478,22,Female,Dry,76.3,,8.0,17,
334,61,Female,Normal,52.7,94.4,3.0,3,
204,54,Female,Combination,72.5,83.1,4.0,19,
320,44,Male,Oily,46.0,88.5,9.0,21,
414,22,Male,Dry,41.6,78.4,8.0,26,
329,22,Female,Dry,50.0,,4.0,3,
47,26,Female,Oily,71.0,,9.0,18,
169,45,Female,Dry,49.9,79.0,8.0,4,
59,34,Female,Normal,69.2,76.5,,13,
176,45,Male,Combination,66.2,82.4,6.0,10,
159,53,Female,Combination,49.5,83.1,4.0,24,
147,49,Female,Dry,36.1,76.5,4.0,19,
222,28,Female,Normal,78.5,81.6,6.0,15,
68,35,Male,Oily,65.5,100.0,2.0,22,
271,26,Female,Dry,50.9,72.5,5.0,1,
337,46,Male,Combination,71.1,74.7,,1,
49,19,Female,Combination,61.2,82.4,4.0,9,
212,50,Female,Dry,59.2,90.8,2.0,18,
88,42,Male,Combination,74.5,70.2,8.0,26,
363,64,Female,Oily,79.9,95.8,8.0,16,
103,28,Female,Oily,45.1,82.0,5.0,2,
298,58,Female,Dry,37.7,62.7,3.0,26,
343,41,Male,Oily,66.9,81.6,5.0,10,
422,52,Female,Dry,66.7,88.6,10.0,10,
346,48,Female,Oily,62.0,73.7,7.0,21,
366,19,Female,Oily,92.5,81.0,8.0,21,
1,56,Female,Combination,82.1,,10.0,20,
370,43,Female,Dry,64.0,67.5,,13,
130,52,Female,Combination,58.5,93.3,6.0,3,
392,31,Female,Dry,71.0,76.2,6.0,20,
146,30,Female,Normal,64.8,58.8,5.0,1,
134,20,Female,Dry,80.9,74.7,,10,
339,243,Female,Normal,79.5,65.3,7.0,12,
121,41,Female,Dry,68.9,,10.0,12,
353,20,Female,Combination,44.3,83.4,,14,
348,50,Female,Normal,62.8,70.6,4.0,20,
255,45,Male,Dry,57.4,66.5,8.0,24,
444,57,Female,Normal,98.4,84.1,8.0,8,
98,41,Male,Combination,60.2,80.1,6.0,10,
100,61,Female,Combination,38.4,,5.0,25,
467,33,Female,Combination,58.8,85.0,1.0,5,
379,43,Female,Normal,90.8,44.6,5.0,17,
243,36,Male,Normal,65.8,52.5,10.0,6,
260,59,Male,Normal,59.9,81.1,4.0,14,
165,19,Female,Normal,49.2,48.9,7.0,28,
490,41,Female,Combination,52.0,,8.0,22,
191,50,Female,Normal,68.5,86.4,,3,
491,33,Male,Oily,42.5,74.7,3.0,28,
217,43,Female,Dry,62.5,72.0,6.0,17,
287,52,Female,Normal,62.2,67.7,7.0,4,
202,19,Male,Oily,36.7,87.0,2.0,27,
270,49,Female,Oily,55.4,66.4,10.0,28,
293,63,Female,Combination,62.4,73.5,1.0,28,
5,25,Female,Dry,67.4,64.5,1.0,2,
236,46,Male,Dry,74.4,84.1,2.0,11,
215,19,Male,Oily,68.1,75.9,5.0,8,
89,62,Female,Combination,77.8,63.5,6.0,20,
19,41,Male,Dry,40.6,75.8,4.0,23,
367,44,Male,Normal,50.3,,8.0,9,
432,43,Female,Combination,53.4,79.9,4.0,15,
301,21,Female,Oily,39.5,86.6,7.0,4,
282,25,Female,Combination,69.0,,10.0,27,
284,55,Female,Normal,78.3,77.8,9.0,6,
221,21,Female,Oily,49.0,76.5,3.0,20,
75,48,Male,Dry,69.6,86.0,,25,
118,51,Female,Combination,96.6,74.7,8.0,9,
277,37,Male,Oily,61.0,77.0,8.0,27,
32,45,Female,Oily,72.8,65.3,10.0,5,
372,57,Female,Dry,67.6,69.3,9.0,7,
57,52,Female,Normal,76.6,69.2,7.0,4,
127,44,Female,Dry,48.7,94.4,,21,
2,46,Female,Oily,80.7,89.7,2.0,4,
123,52,Female,Combination,71.4,72.1,6.0,20,
177,42,Female,Dry,57.2,63.8,9.0,4,
111,56,Male,Combination,74.7,62.9,3.0,23,
355,42,Female,Dry,77.8,89.1,9.0,5,
174,47,Female,Combination,64.6,71.9,4.0,19,
138,31,Female,Oily,74.1,89.3,5.0,6,
411,25,Male,Normal,79.3,87.7,6.0,10,
495,44,Male,Normal,84.9,68.7,6.0,1,
139,56,Female,Dry,45.3,69.4,9.0,9,
170,45,Female,Combination,64.2,77.3,9.0,7,
273,52,Male,Combination,60.8,73.4,10.0,5,
315,47,Male,Normal,61.8,84.5,4.0,18,
384,24,Female,Combination,72.2,81.0,6.0,25,
61,57,Male,Normal,50.6,78.9,3.0,22,
371,34,Female,Dry,82.9,73.0,2.0,3,
452,20,Female,Normal,68.9,66.1,7.0,22,
122,54,Female,Dry,72.8,81.6,10.0,19,
470,38,Female,Combination,69.5,51.0,10.0,3,
38,54,Female,Dry,66.5,83.3,7.0,5,
241,43,Male,Normal,43.4,78.8,6.0,10,
87,43,Female,Normal,56.3,71.0,5.0,18,
338,63,Female,Dry,64.5,78.4,7.0,4,
220,49,Female,Dry,46.4,72.9,10.0,15,
257,40,Female,Oily,68.0,53.4,,14,
208,45,Female,Oily,41.9,91.5,6.0,11,
286,37,Female,Combination,82.4,78.4,8.0,8,
465,22,Female,Dry,49.2,65.8,,7,
168,23,Female,Normal,78.7,73.9,10.0,13,
55,25,Male,Oily,91.3,67.2,5.0,15,
258,48,Female,Dry,46.5,56.0,7.0,8,
81,38,Female,Combination,59.0,75.8,8.0,6,
321,44,Male,Combination,53.4,61.9,5.0,16,
163,39,Female,Normal,41.3,88.3,2.0,25,
477,27,Female,Dry,54.4,38.8,3.0,17,
437,29,Female,,63.4,86.4,1.0,9,
265,19,Female,Dry,80.9,94.3,9.0,11,
190,54,Female,Combination,51.7,,4.0,18,
360,63,Male,Dry,82.5,61.5,,10,
272,58,Female,Dry,57.2,,8.0,22,
426,59,Female,Oily,60.2,77.3,1.0,7,
341,58,Female,Dry,60.5,69.3,10.0,27,
358,20,Female,Oily,0.0,80.4,3.0,10,
449,22,Female,Dry,90.9,,,2,
109,22,Male,,49.7,,4.0,26,
17,39,Female,Dry,54.6,83.8,9.0,18,
162,24,Female,Normal,86.2,63.3,9.0,2,
322,51,Female,Normal,46.7,70.1,10.0,5,
80,57,Female,Combination,48.7,,8.0,2,
48,43,Male,Oily,58.8,62.9,5.0,16,
234,23,Female,Dry,57.7,74.0,5.0,26,
13,53,Male,Dry,71.6,74.7,9.0,14,
42,56,Female,Combination,57.1,76.0,,5,
46,31,Male,Oily,60.8,85.8,9.0,1,
151,47,Female,Normal,63.4,,9.0,21,
149,49,Female,Dry,59.7,63.0,4.0,25,
419,49,Female,Combination,85.0,72.6,8.0,4,
23,19,Female,Normal,59.3,,3.0,20,
69,43,Male,Dry,96.1,78.6,9.0,24,
306,25,Male,Combination,71.4,86.0,4.0,24,
424,33,Female,Combination,50.9,39.7,2.0,11,
112,58,Female,Dry,55.1,88.7,9.0,7,
105,25,Male,Combination,50.4,,8.0,24,
349,38,Female,Oily,39.8,71.9,2.0,24,
143,32,Female,Normal,61.6,82.0,7.0,28,
438,18,Female,Combination,74.0,81.2,,15,
259,47,Male,Normal,60.4,,,19,
175,28,Female,Oily,69.5,83.9,,1,
93,62,Male,Oily,55.5,75.3,5.0,17,
498,29,Male,Combination,67.0,88.5,3.0,16,
206,19,Female,Dry,65.6,53.0,9.0,28,
194,41,Female,Oily,56.9,73.0,6.0,21,
407,32,Female,Combination,68.5,67.9,5.0,22,
62,21,Female,Normal,88.7,72.0,9.0,7,
312,39,Female,Oily,62.8,78.1,,3,
447,33,Female,Oily,83.1,79.2,7.0,1,
391,33,Female,Dry,67.4,88.0,7.0,14,
332,52,Male,Combination,87.4,185.0,3.0,20,
378,59,Female,Dry,30.5,64.0,7.0,23,
182,30,Female,Combination,93.2,97.1,9.0,6,
207,19,Female,Oily,78.4,81.1,8.0,17,
375,60,Female,Normal,54.5,62.1,5.0,22,
43,35,Female,Oily,58.9,62.1,8.0,22,
290,42,Female,Normal,55.5,,,11,
232,50,Female,Combination,55.4,66.7,10.0,18,
344,46,Female,,49.8,,5.0,23,
188,44,Female,Dry,84.6,55.6,8.0,27,
380,52,Female,Normal,43.5,71.6,5.0,12,
410,50,Female,Normal,65.7,100.0,9.0,11,
172,61,Female,Dry,92.2,69.8,5.0,9,
136,22,Male,Dry,36.4,78.9,6.0,1,
213,18,Female,Normal,68.4,94.7,10.0,20,
67,46,Female,Combination,62.3,,4.0,19,
116,25,Female,Dry,35.3,67.7,6.0,20,
409,54,Male,Combination,71.3,49.4,3.0,17,
268,22,Male,Oily,40.3,64.3,4.0,17,
430,36,Female,Dry,66.3,86.4,1.0,19,
73,53,Male,Dry,76.6,76.4,8.0,10,
228,23,Male,Dry,62.1,59.2,9.0,16,
187,25,Female,Normal,47.9,84.6,5.0,18,
300,50,Female,Dry,74.0,64.6,1.0,13,
192,59,Female,Normal,84.4,95.5,,20,
231,33,Male,Combination,62.9,69.8,8.0,11,
246,24,Female,Normal,72.6,83.1,3.0,27,
106,52,Female,Oily,40.2,,,10,
83,62,Female,Dry,64.8,80.8,4.0,5,
205,34,Female,Dry,30.1,67.2,4.0,24,
126,39,Male,Oily,59.1,63.9,7.0,2,
425,30,Female,Dry,58.0,82.9,9.0,14,
185,56,Male,,58.7,74.8,10.0,17,
296,52,Female,Normal,77.9,76.1,4.0,22,
333,34,Male,,70.2,86.6,5.0,19,
460,45,Male,Dry,74.3,65.2,4.0,21,
468,43,Female,Oily,58.2,72.7,,26,
429,34,Male,Oily,58.2,88.5,9.0,22,
404,39,Female,Dry,85.5,90.1,7.0,12,
458,46,Female,Dry,53.2,,6.0,16,
342,54,Male,Oily,48.7,74.8,8.0,24,
54,61,Female,Oily,16.6,91.5,,2,
52,64,Female,Oily,65.2,66.3,5.0,5,
484,49,Female,Oily,33.5,63.3,8.0,21,
434,43,Female,Dry,54.4,,5.0,24,
476,40,Female,,45.6,,4.0,1,
402,42,Female,Oily,60.3,74.4,9.0,5,
196,49,Male,Oily,44.8,,6.0,28,
173,37,Female,Dry,42.2,81.2,8.0,4,
240,36,Male,Normal,67.6,66.0,6.0,23,
86,41,Female,,66.8,87.4,6.0,5,
242,20,Male,Normal,27.7,,,18,
152,54,Female,Dry,80.5,,8.0,15,
198,41,Female,Combination,41.6,,9.0,15,
347,52,Male,Oily,54.5,73.9,10.0,26,
180,18,Female,Normal,57.8,84.7,7.0,14,
369,19,Male,Normal,60.9,65.5,4.0,19,
488,21,Female,Dry,36.1,100.0,,16,
50,37,Female,Oily,30.0,99.7,3.0,19,
279,50,Male,Normal,45.9,61.9,5.0,2,
457,39,Male,Dry,57.4,52.3,9.0,13,
14,57,Female,Dry,17.3,66.0,9.0,24,
223,34,Female,Normal,76.4,75.5,8.0,1,
167,62,Male,Oily,55.6,68.6,4.0,17,
82,33,Female,Normal,64.9,85.2,7.0,26,
6,38,Female,Dry,63.9,65.1,7.0,24,
441,51,Female,Dry,37.1,67.3,4.0,19,
78,31,Male,Combination,42.8,,,10,
330,36,Female,Combination,75.6,72.5,5.0,13,
72,27,Male,Combination,75.8,88.8,6.0,18,
267,29,Male,Oily,60.2,71.8,10.0,7,
16,20,Male,Combination,33.9,85.6,,3,
160,30,Female,Oily,50.1,,8.0,22,
21,47,Female,Dry,53.0,56.2,,19,
450,39,Female,Normal,78.1,64.4,7.0,19,
150,21,Female,Normal,68.3,66.9,3.0,10,
472,53,Male,Normal,87.8,,4.0,26,
7,56,Male,Normal,51.7,72.3,8.0,22,
133,31,Female,Oily,62.7,79.8,9.0,27,
295,19,Male,,66.6,68.4,4.0,2,
145,59,Female,Combination,51.0,85.5,9.0,4,
352,50,Female,Normal,50.1,71.5,9.0,23,
200,29,Male,Normal,48.5,81.0,10.0,27,
480,51,Female,Oily,83.1,89.9,,25,
179,50,Female,Combination,60.7,68.6,10.0,13,
340,52,Male,Dry,83.4,80.1,7.0,28,
11,28,Male,Combination,68.2,92.9,6.0,8,
35,64,Female,Oily,55.2,,8.0,17,
496,37,Female,Oily,53.1,,8.0,25,
479,53,Male,Oily,88.3,96.6,10.0,11,
399,49,Male,Oily,52.1,,6.0,8,
41,26,Female,Dry,56.1,,5.0,14,
225,41,Male,,43.6,67.5,1.0,14,
28,61,Female,Dry,52.6,74.6,5.0,17,
156,32,Female,Combination,68.1,88.3,8.0,16,
281,28,Male,Combination,41.9,73.8,3.0,11,
440,64,Male,Normal,33.6,81.2,3.0,1,
266,18,Female,Oily,68.4,,5.0,25,
299,53,Female,Normal,21.7,90.2,3.0,25,
27,39,Female,Dry,74.9,80.6,,1,
497,41,Female,Oily,51.0,65.1,,22,
374,26,Female,Oily,76.1,84.0,7.0,9,
500,50,Female,Dry,64.5,74.9,9.0,19,
239,53,Male,Dry,32.5,71.3,7.0,16,
144,43,Male,Combination,40.0,69.3,4.0,2,
226,22,Male,,55.3,,,5,
442,49,Female,Combination,78.9,80.2,,3,
129,18,Female,Normal,34.6,89.6,10.0,22,
350,49,Female,Oily,45.4,94.2,4.0,25,
303,31,Male,Dry,42.4,67.2,1.0,7,
34,32,Female,Dry,54.8,88.8,9.0,12,
20,61,Female,Combination,77.4,81.2,4.0,19,
302,50,Male,Combination,56.6,80.1,10.0,22,
307,24,Male,Dry,51.4,,5.0,4,
56,64,Female,Normal,57.9,65.4,6.0,7,
336,47,Female,Normal,50.9,67.9,3.0,5,
153,40,Male,Combination,61.9,79.2,,27,
142,32,Female,Combination,45.5,71.9,10.0,27,
44,21,Female,Normal,0.0,39.9,1.0,24,
406,23,Female,Oily,99.0,67.2,,22,
469,43,Male,,82.7,71.8,3.0,17,
461,22,Female,Normal,61.3,82.9,4.0,7,
294,35,Male,Normal,60.0,52.4,,18,
211,49,Female,Dry,49.4,94.3,6.0,10,
51,45,Female,Combination,73.7,75.2,3.0,22,
351,40,Female,Dry,78.0,,8.0,13,
193,61,Female,Normal,54.3,73.7,4.0,27,
263,33,Female,Combination,59.6,69.2,6.0,9,
108,50,Female,Oily,75.1,71.5,1.0,22,
85,64,Female,Dry,84.2,67.3,3.0,9,
313,39,Female,Combination,59.8,73.4,10.0,14,
280,41,Female,Oily,57.8,91.9,9.0,26,
3,32,Female,Oily,50.6,73.8,6.0,12,
278,41,Female,Combination,30.4,80.3,6.0,21,
445,62,Female,Combination,51.5,89.3,,15,
276,20,Male,Oily,67.3,67.2,7.0,24,
210,54,Female,Dry,66.3,86.4,2.0,9,
364,39,Female,Combination,68.3,100.0,4.0,1,
489,33,Male,Normal,67.7,79.7,1.0,25,
433,54,Male,Normal,70.8,63.3,9.0,28,
71,51,Female,Normal,63.0,69.9,6.0,24,
436,26,Female,Dry,54.0,85.3,6.0,11,
264,43,Female,Combination,72.3,76.8,6.0,6,
368,59,Male,Oily,73.9,68.5,10.0,6,
328,50,Male,Combination,56.9,91.7,9.0,7,
140,44,Female,Combination,56.6,77.4,1.0,27,
183,58,Female,Normal,51.6,72.3,10.0,16,
110,59,Female,Normal,93.8,90.8,10.0,11,
238,37,Male,Oily,40.0,57.5,7.0,18,
79,40,Male,Oily,64.5,69.6,9.0,17,
244,37,Female,Dry,97.4,76.4,6.0,19,
316,55,Female,Dry,45.4,54.0,4.0,25,
29,42,Female,Combination,36.7,55.6,1.0,12,
311,29,Male,Combination,37.8,78.5,2.0,23,
195,32,Male,Normal,51.3,75.8,8.0,25,
119,50,Female,Oily,80.8,63.0,9.0,22,
18,19,Male,Dry,43.2,71.6,,16,
354,156,Female,Dry,68.0,71.0,7.0,23,
36,61,Female,Normal,91.2,75.7,7.0,6,
64,23,Female,Dry,63.3,56.2,9.0,23,
383,30,Male,Normal,64.6,60.2,9.0,3,
161,49,Female,Normal,39.0,73.4,,4,
397,51,Female,Dry,66.0,82.5,6.0,17,
327,64,Female,Oily,82.1,90.7,8.0,18,
66,21,Female,Combination,67.4,74.1,5.0,23,
373,50,Female,Combination,68.1,51.2,,22,
291,46,Female,Combination,54.2,74.6,9.0,5,
254,28,Female,Combination,74.9,74.3,10.0,23,
97,26,Male,Dry,57.4,62.3,6.0,3,
209,40,Female,Oily,85.1,73.4,1.0,25,
245,49,Male,Oily,59.9,73.1,4.0,4,
382,41,Female,Normal,55.8,98.5,9.0,16,
117,29,Female,Oily,75.3,90.6,4.0,27,
462,64,Female,Dry,82.2,86.3,5.0,24,
275,33,Female,Normal,58.9,,2.0,18,
214,36,Female,Oily,61.1,83.9,5.0,13,
