client_id,age,gender,manager_id,destination,tour_duration_days,tour_cost_rub,extras_count,post_tour_rating,refund_requested
123,41,М,10,ОАЭ,14,196325.95,9,4.0,Да
124,43,,3,ОАЭ,10,179802.5,9,5.0,Нет
125,42,,1,Турция,5,37261.18,1,,Нет
126,77,,5,Мальдивы,10,179456.23,4,,Нет
127,77,М,13,ОАЭ,14,204134.53,10,5.0,Нет
128,77,Ж,4,Египет,10,99287.09,2,4.0,Нет
129,62,,10,ОАЭ,11,160609.5,4,5.0,Нет
130,58,М,8,Таиланд,7,149350.33,6,4.0,Да
131,46,М,1,Европа,17,193462.67,5,4.0,Нет
132,32,Ж,10,Европа,16,132379.1,0,5.0,Нет
133,62,Ж,1,Турция,3,45951.96,0,,Нет
134,18,М,12,Мальдивы,11,200389.15,5,4.0,Нет
135,42,Ж,4,Египет,12,94196.14,1,4.0,Нет
136,24,М,8,Мальдивы,13,239283.46,8,5.0,Нет
137,26,Ж,5,Египет,12,105793.89,0,4.0,Нет
138,41,М,2,Турция,7,83671.8,0,2.0,Нет
139,18,М,6,Египет,10,113939.38,3,3.0,Нет
140,61,М,5,Египет,11,107279.03,3,4.0,Нет
141,25,Ж,2,Турция,13,140493.25,6,4.0,Нет
142,41,Ж,13,Таиланд,9,103614.41,0,5.0,Да
143,80,Ж,14,Европа,18,158527.0,2,2.0,Нет
144,28,,11,ОАЭ,11,163673.39,7,5.0,Нет
145,68,,11,ОАЭ,13,167325.79,7,5.0,Нет
146,34,М,11,ОАЭ,13,174236.15,8,4.0,Да
147,25,Ж,3,Таиланд,3,55180.05,0,4.0,Нет
148,52,Ж,15,Европа,19,149499.02,0,,Нет
149,52,М,9,Таиланд,6,202420.92,7,3.0,Нет
150,50,,7,Мальдивы,8,189747.01,5,,Нет
151,76,М,7,Таиланд,4,103421.53,3,4.0,Нет
152,22,М,15,Европа,6,117988.17,0,3.0,Нет
153,59,Ж,11,ОАЭ,10,147721.17,3,5.0,Нет
154,56,М,6,Египет,3,108072.45,6,4.0,Да
155,75,Ж,8,Европа,19,173873.36,1,4.0,Нет
156,58,Ж,4,Египет,6,112195.03,6,5.0,Нет
157,45,Ж,8,Таиланд,4,118266.79,6,,Нет
158,24,М,4,Мальдивы,11,199073.07,5,,Нет
159,26,М,8,Таиланд,5,112835.89,5,5.0,Нет
160,25,М,9,Таиланд,10,326525.65,8,5.0,Да
161,29,,3,Турция,6,93818.92,6,4.0,Нет
162,51,М,3,Турция,3,63535.02,1,4.0,Нет
163,50,Ж,11,ОАЭ,7,169226.78,9,4.0,Нет
164,65,М,13,Египет,12,133258.07,4,4.0,Нет
165,72,М,2,Турция,5,90670.99,5,4.0,Нет
166,40,М,13,Мальдивы,13,186144.49,3,4.0,Нет
167,79,,10,ОАЭ,7,110744.07,3,,Нет
168,41,Ж,3,Турция,9,83129.14,1,3.0,Да
169,54,М,3,Таиланд,4,80226.1,2,4.0,Нет
170,52,Ж,5,Европа,19,153933.25,0,4.0,Нет
171,61,Ж,5,Египет,11,105716.55,4,4.0,Нет
172,57,Ж,2,Турция,12,55530.65,0,4.0,Нет
173,39,М,12,Мальдивы,8,201311.9,7,5.0,Нет
174,44,,10,ОАЭ,9,171864.29,8,4.0,Нет
175,52,М,13,Мальдивы,9,219810.72,8,4.0,Нет
176,18,М,6,Египет,12,120560.01,3,4.0,Нет
177,52,,5,ОАЭ,12,183124.09,6,5.0,Нет
178,54,Ж,6,Египет,4,97641.54,4,1.0,Да
179,64,Ж,1,Таиланд,5,93786.19,2,3.0,Нет
180,31,Ж,5,Египет,8,54726.66,0,2.0,Нет
181,20,М,9,Таиланд,11,358155.35,7,4.0,Нет
182,18,Ж,12,Мальдивы,7,178426.67,6,5.0,Нет
183,22,Ж,10,ОАЭ,13,194678.76,10,5.0,Нет
184,43,М,14,Европа,16,201646.2,6,5.0,Нет
185,72,Ж,2,Турция,5,84532.49,4,,Нет
186,80,,1,Турция,6,101314.31,6,5.0,Нет
187,31,М,14,Европа,10,103265.15,0,4.0,Нет
188,56,М,10,ОАЭ,9,124433.15,3,5.0,Нет
189,44,Ж,13,Мальдивы,11,180670.64,5,5.0,Нет
190,26,,11,ОАЭ,8,125968.2,4,5.0,Нет
191,32,М,9,Таиланд,8,186084.51,4,4.0,Нет
192,32,,10,ОАЭ,9,204028.27,10,5.0,Нет
193,43,М,9,Турция,10,213911.16,5,3.0,Нет
194,59,Ж,15,Европа,6,122831.82,3,1.0,Нет
195,77,М,9,Таиланд,3,219609.79,5,4.0,Нет
196,30,Ж,6,Египет,11,119335.16,2,3.0,Нет
197,68,Ж,15,Европа,18,166771.47,2,3.0,Нет
198,80,Ж,8,Таиланд,5,96546.99,3,2.0,Нет
199,49,М,14,Европа,15,145398.13,2,4.0,Нет
200,56,Ж,11,ОАЭ,7,160775.38,10,5.0,Нет
201,66,Ж,15,Европа,11,167704.74,5,,Да
202,69,Ж,13,Таиланд,12,123478.17,1,4.0,Да
203,78,Ж,1,Турция,7,52864.56,0,4.0,Нет
204,49,,10,ОАЭ,11,157644.15,8,5.0,Нет
205,21,М,4,Египет,3,55357.76,1,4.0,Нет
206,47,М,1,Европа,19,187816.0,4,3.0,Нет
207,54,М,8,Таиланд,11,136715.0,6,5.0,Нет
208,40,М,1,Египет,9,87795.32,3,4.0,Нет
209,56,Ж,3,Египет,10,91191.55,2,4.0,Нет
210,62,Ж,13,Мальдивы,7,199297.01,7,4.0,Нет
211,32,Ж,4,Египет,8,71116.1,2,2.0,Нет
212,60,М,15,Европа,16,175827.16,5,5.0,Нет
213,46,Ж,15,Европа,9,112027.32,0,4.0,Нет
214,53,М,15,Европа,10,113590.96,0,3.0,Нет
215,30,Ж,8,Таиланд,13,88829.63,0,3.0,Нет
216,49,М,6,Египет,4,82412.58,2,4.0,Нет
217,24,,14,Европа,8,139556.13,4,4.0,Нет
218,76,Ж,10,ОАЭ,9,111050.55,3,4.0,Нет
219,68,Ж,12,Мальдивы,11,211642.98,7,5.0,Нет
220,39,Ж,7,Египет,9,95251.99,2,2.0,Нет
221,45,Ж,14,Европа,13,161039.84,5,4.0,Нет
222,19,М,8,Таиланд,7,107403.37,4,4.0,Нет
223,59,М,2,Мальдивы,12,229509.46,10,4.0,Нет
224,62,,13,Европа,14,168533.47,5,5.0,Да
225,79,,10,ОАЭ,12,167068.5,5,,Нет
226,74,М,14,Европа,16,152859.41,2,5.0,Нет
227,70,М,11,ОАЭ,10,166395.94,6,4.0,Нет
228,23,Ж,8,Таиланд,4,78311.68,2,2.0,Нет
229,45,М,3,Египет,5,72163.1,2,,Нет
230,45,Ж,7,Таиланд,5,92540.14,1,,Нет
231,61,М,3,Таиланд,11,84943.95,0,4.0,Нет
232,61,М,15,Европа,19,181121.36,3,,Нет
233,37,Ж,7,Таиланд,9,128716.16,6,5.0,Нет
234,47,Ж,14,Европа,12,146783.37,3,5.0,Нет
235,79,,11,ОАЭ,9,171701.63,6,5.0,Нет
236,28,М,15,Таиланд,12,139641.81,6,4.0,Да
237,75,,12,Мальдивы,9,180453.46,4,4.0,Нет
238,72,М,13,Мальдивы,7,227164.36,10,5.0,Нет
239,45,,2,Турция,8,106265.09,5,3.0,Нет
240,42,,10,ОАЭ,10,152550.53,5,,Да
241,56,М,6,Египет,3,53434.6,0,4.0,Нет
242,79,М,3,Турция,10,88977.61,4,5.0,Нет
243,50,М,3,Египет,9,123482.89,6,,Да
244,18,М,15,Европа,6,140675.32,5,,Нет
245,74,Ж,9,Таиланд,10,369150.65,7,5.0,Нет
246,44,М,7,Мальдивы,10,183559.54,5,5.0,Нет
247,79,Ж,5,Таиланд,7,100520.31,1,2.0,Нет
248,74,Ж,12,Мальдивы,13,257221.69,10,4.0,Нет
249,69,Ж,10,ОАЭ,10,165973.24,9,5.0,Нет
250,30,М,7,Таиланд,7,84844.02,2,4.0,Нет
251,58,М,9,Таиланд,10,209876.13,7,5.0,Нет
252,20,Ж,1,Турция,3,74884.68,3,4.0,Нет
253,56,,7,Таиланд,3,93668.15,3,2.0,Нет
254,23,М,6,Египет,6,73769.23,0,2.0,Нет
255,25,Ж,10,ОАЭ,9,123586.07,3,5.0,Да
256,44,Ж,14,Европа,17,181608.02,3,3.0,Нет
257,26,М,12,Мальдивы,8,214647.14,8,,Нет
258,79,Ж,9,Таиланд,4,168909.69,5,4.0,Да
259,54,М,1,Турция,5,95141.69,4,,Нет
260,50,М,13,Египет,13,92844.83,2,3.0,Нет
261,68,,4,ОАЭ,13,159684.57,6,5.0,Нет
262,59,Ж,9,Таиланд,13,276516.42,7,4.0,Да
263,61,М,4,Европа,18,147224.67,0,2.0,Нет
264,41,Ж,10,Египет,13,113769.33,4,4.0,Нет
265,32,М,3,Турция,3,55967.31,0,5.0,Нет
266,76,М,9,Таиланд,3,275890.74,8,4.0,Нет
267,71,Ж,13,ОАЭ,12,168362.89,7,5.0,Нет
268,49,,2,Египет,7,110773.51,5,4.0,Нет
269,49,Ж,15,Египет,10,93929.88,2,4.0,Нет
270,41,Ж,4,Египет,4,60776.15,0,5.0,Нет
271,58,,15,ОАЭ,14,189925.98,8,5.0,Нет
272,69,Ж,6,Египет,6,86905.03,1,5.0,Нет
273,66,М,2,Турция,10,65403.23,0,2.0,Да
274,79,Ж,15,Турция,8,64742.64,2,2.0,Нет
275,66,,8,Таиланд,3,102021.26,5,,Нет
276,75,М,8,Европа,19,186572.67,4,3.0,Нет
277,69,М,1,Турция,6,74233.3,2,3.0,Нет
278,29,М,12,Мальдивы,7,168324.01,4,5.0,Нет
279,79,М,3,Мальдивы,11,206235.03,8,5.0,Нет
280,56,М,10,Мальдивы,8,218212.86,9,5.0,Нет
281,19,М,9,Таиланд,7,244731.99,5,4.0,Нет
282,20,Ж,5,Египет,10,79431.99,0,5.0,Нет
283,66,Ж,6,Египет,10,102116.08,4,1.0,Нет
284,54,,4,Египет,13,112201.18,3,1.0,Нет
285,66,Ж,10,ОАЭ,9,171807.07,8,,Нет
286,73,М,2,Турция,13,120688.1,6,,Нет
287,34,,11,ОАЭ,11,187827.89,9,5.0,Нет
288,76,Ж,8,Таиланд,6,123092.89,6,5.0,Нет
289,66,Ж,11,ОАЭ,8,174970.65,8,5.0,Нет
290,19,М,13,Мальдивы,9,216608.34,9,,Нет
291,19,Ж,6,Мальдивы,12,183102.34,5,4.0,Нет
292,45,Ж,5,Египет,8,111669.87,5,4.0,Нет
293,71,М,9,ОАЭ,9,259442.51,7,5.0,Да
294,40,М,1,Таиланд,13,127363.35,3,,Нет
295,54,М,5,Европа,14,156854.85,4,5.0,Нет
296,49,М,6,Египет,5,76969.74,1,4.0,Нет
297,50,Ж,5,Египет,4,99666.95,6,5.0,Нет
298,18,М,6,Египет,8,79256.98,1,2.0,Нет
299,36,Ж,6,Турция,13,97366.75,0,,Нет
300,79,Ж,7,Таиланд,7,66687.18,0,5.0,Нет
301,19,,4,Египет,12,87242.18,1,3.0,Нет
302,70,Ж,14,Турция,7,105082.72,5,5.0,Да
303,61,,11,ОАЭ,8,167646.98,7,,Нет
304,43,Ж,14,Европа,17,136587.66,1,5.0,Нет
305,49,М,14,Европа,9,101642.1,0,4.0,Нет
306,23,М,14,Мальдивы,8,186907.49,4,5.0,Нет
307,49,,15,Европа,16,170795.85,5,4.0,Нет
308,72,Ж,8,ОАЭ,11,137377.17,4,,Нет
309,21,Ж,7,Таиланд,5,122502.5,4,4.0,Нет
310,72,Ж,9,Европа,11,281197.02,8,5.0,Нет
311,28,Ж,7,Таиланд,8,94318.68,0,3.0,Нет
312,73,М,3,Турция,6,103458.03,4,2.0,Нет
313,76,М,3,Турция,4,67372.53,1,3.0,Нет
314,34,М,15,Европа,16,135083.89,1,4.0,Нет
315,80,М,8,Таиланд,11,110631.74,3,5.0,Нет
316,55,Ж,5,Мальдивы,7,146422.8,3,5.0,Нет
317,41,,4,Египет,13,99960.48,0,4.0,Нет
318,22,М,8,Таиланд,6,90432.61,2,3.0,Нет
319,69,Ж,15,Европа,5,128332.89,0,4.0,Нет
320,51,Ж,6,Египет,8,112552.3,3,5.0,Нет
321,23,Ж,2,Турция,6,96965.74,6,4.0,Нет
322,39,Ж,4,Египет,7,74917.32,2,4.0,Нет
323,28,М,12,Мальдивы,11,197661.9,5,5.0,Нет
324,80,Ж,11,ОАЭ,7,115454.58,4,5.0,Нет
325,65,Ж,4,Египет,3,57617.41,1,4.0,Нет
326,33,М,15,Европа,17,135618.41,0,4.0,Нет
327,50,Ж,6,Египет,4,91511.66,2,3.0,Да
328,26,М,6,Египет,8,78610.18,1,4.0,Нет
329,77,,1,Таиланд,7,102152.33,3,5.0,Нет
330,76,Ж,14,Европа,15,136685.15,1,4.0,Нет
331,23,М,8,Таиланд,9,135940.5,5,4.0,Нет
332,33,М,6,Египет,5,95032.89,5,,Да
333,46,,3,Турция,5,62497.17,1,3.0,Нет
334,20,М,14,Европа,14,141608.76,2,3.0,Нет
335,37,Ж,9,Египет,4,177503.71,6,3.0,Да
336,77,Ж,2,Египет,5,66160.67,2,4.0,Нет
337,76,М,15,Европа,14,161281.8,4,2.0,Нет
338,53,Ж,11,Мальдивы,7,207001.71,9,4.0,Нет
339,36,М,8,Таиланд,7,109337.62,5,,Нет
340,43,Ж,10,Европа,18,146841.58,3,3.0,Нет
341,20,М,3,Турция,7,80023.11,2,,Нет
342,80,М,13,Мальдивы,10,181528.27,3,5.0,Нет
343,36,Ж,12,Таиланд,13,135032.55,5,4.0,Нет
344,37,Ж,5,Египет,9,93342.24,3,4.0,Нет
345,49,Ж,6,Египет,6,87028.11,3,2.0,Нет
346,24,,10,ОАЭ,9,162787.84,5,5.0,Нет
347,69,М,6,Турция,3,57322.92,3,5.0,Нет
348,58,М,4,Египет,10,86855.1,2,4.0,Нет
349,50,Ж,3,Европа,17,171780.27,6,,Нет
350,57,Ж,4,Турция,5,66623.18,1,5.0,Нет
351,56,Ж,1,Турция,4,90560.42,5,5.0,Нет
352,35,М,4,Египет,13,118029.92,4,1.0,Нет
353,57,М,1,Турция,6,67531.23,1,3.0,Нет
354,18,М,12,Мальдивы,9,220907.08,8,5.0,Нет
355,28,М,15,Европа,17,162381.33,2,3.0,Нет
356,45,Ж,1,Турция,3,97305.08,5,3.0,Нет
357,74,Ж,10,Европа,7,148344.65,6,5.0,Нет
358,42,М,14,Европа,16,165931.71,2,,Нет
359,67,Ж,6,Турция,4,52776.37,1,3.0,Нет
360,40,М,5,Турция,10,63351.3,0,4.0,Нет
361,48,М,14,Европа,10,122708.43,0,3.0,Да
362,47,,11,ОАЭ,7,184019.18,10,5.0,Нет
363,59,М,15,Европа,12,155281.43,5,,Нет
364,52,М,4,Египет,12,79267.21,0,3.0,Нет
365,24,Ж,13,ОАЭ,9,161882.35,5,5.0,Нет
366,77,Ж,11,ОАЭ,11,146316.63,6,5.0,Нет
367,33,Ж,3,Египет,9,102852.19,2,4.0,Нет
368,43,Ж,1,Таиланд,7,102583.02,3,4.0,Нет
369,65,Ж,6,Турция,10,54622.45,1,3.0,Нет
370,74,М,2,Турция,7,79332.68,4,4.0,Нет
371,69,Ж,8,Таиланд,3,83365.22,3,3.0,Нет
372,77,,10,ОАЭ,11,130760.71,3,5.0,Нет
373,66,Ж,5,Египет,6,77952.87,2,3.0,Нет
374,19,Ж,7,Таиланд,8,64965.2,1,4.0,Нет
375,18,,10,ОАЭ,9,132868.04,3,,Нет
376,65,Ж,12,Мальдивы,13,180449.09,4,5.0,Да
377,79,Ж,2,Турция,13,124905.23,4,4.0,Нет
378,29,М,13,Мальдивы,11,222298.23,9,4.0,Нет
379,22,М,8,Таиланд,4,97428.46,2,4.0,Да
380,54,,2,Турция,13,130103.49,5,5.0,Нет
381,49,Ж,4,Египет,8,95832.73,2,3.0,Нет
382,76,Ж,1,Турция,8,90335.93,4,5.0,Нет
383,72,Ж,15,Европа,9,127208.0,2,3.0,Нет
384,26,Ж,5,Египет,8,106750.27,5,5.0,Нет
385,58,Ж,9,Таиланд,13,221714.63,7,5.0,Нет
386,52,М,1,Турция,9,98050.63,5,5.0,Нет
387,36,Ж,9,Таиланд,7,203917.36,7,4.0,Нет
388,65,,11,Египет,3,77741.79,3,1.0,Нет
389,33,М,15,Европа,12,130338.85,0,3.0,Нет
390,20,М,8,Таиланд,6,84718.87,0,3.0,Да
391,37,Ж,6,Египет,11,99009.37,4,1.0,Нет
392,41,Ж,7,Таиланд,12,111879.15,3,4.0,Нет
393,71,Ж,3,Турция,8,102292.48,6,4.0,Нет
394,73,Ж,14,Европа,5,119124.47,0,4.0,Нет
395,50,М,15,Европа,7,109797.29,0,4.0,Нет
396,41,М,1,Турция,5,79161.29,3,2.0,Нет
397,69,,5,Европа,14,148577.74,2,5.0,Нет
398,28,Ж,14,ОАЭ,14,138843.3,3,4.0,Нет
399,66,Ж,12,Мальдивы,10,197642.7,4,5.0,Нет
400,25,Ж,12,Таиланд,6,106110.27,3,4.0,Да
401,53,М,2,Турция,8,64395.91,0,5.0,Нет
402,55,Ж,14,Европа,19,167947.44,4,2.0,Нет
403,57,Ж,5,Турция,9,95380.68,5,4.0,Нет
404,37,Ж,8,Таиланд,12,100910.92,1,4.0,Нет
405,79,М,11,ОАЭ,10,183000.08,10,4.0,Нет
406,52,Ж,9,Таиланд,8,199325.56,7,5.0,Да
407,65,М,2,Турция,13,104581.56,5,5.0,Нет
408,79,М,12,Мальдивы,7,173573.31,3,5.0,Да
409,42,Ж,3,Турция,10,68678.87,1,1.0,Нет
410,52,М,3,Турция,9,62779.79,1,3.0,Нет
411,42,М,1,Турция,13,103415.05,2,3.0,Нет
412,46,Ж,8,Таиланд,13,142696.2,5,4.0,Нет
413,35,М,6,ОАЭ,14,162045.01,4,4.0,Нет
414,63,Ж,12,Мальдивы,7,190160.83,5,4.0,Нет
415,35,М,13,Мальдивы,9,214374.55,6,5.0,Да
416,19,Ж,8,Таиланд,4,86439.6,2,5.0,Нет
417,71,,11,Турция,3,66423.92,4,,Нет
418,52,Ж,9,Египет,5,188710.38,8,4.0,Да
419,33,М,5,Египет,7,95275.37,3,4.0,Нет
420,78,М,14,Европа,18,189385.34,6,4.0,Нет
421,58,Ж,12,Мальдивы,9,235856.65,9,5.0,Нет
422,53,М,14,Европа,6,135417.0,3,4.0,Нет
423,50,Ж,3,Турция,5,76554.26,4,5.0,Нет
424,21,М,5,Турция,6,56631.84,2,4.0,Нет
425,50,М,5,Египет,9,71217.61,0,4.0,Нет
426,31,М,5,Египет,5,75108.77,2,4.0,Нет
427,38,,3,ОАЭ,14,157137.66,4,,Нет
428,65,,11,ОАЭ,13,171106.91,5,5.0,Нет
429,37,,14,ОАЭ,7,191791.13,10,5.0,Нет
430,73,М,10,ОАЭ,14,164210.99,6,4.0,Нет
431,25,Ж,14,Европа,8,101061.81,0,3.0,Нет
432,24,Ж,4,Европа,17,144658.79,2,3.0,Нет
433,20,Ж,9,Европа,5,298424.33,7,,Да
434,34,М,13,Мальдивы,7,176405.08,4,4.0,Нет
435,50,М,10,Египет,3,57614.14,1,3.0,Нет
436,65,Ж,9,Таиланд,3,228550.32,7,4.0,Нет
437,29,Ж,2,Турция,10,122678.27,6,5.0,Нет
438,76,Ж,8,Турция,5,75812.7,0,2.0,Нет
439,68,Ж,8,Таиланд,8,118458.97,4,5.0,Да
440,39,М,7,Египет,5,78469.25,6,5.0,Нет
441,72,,8,ОАЭ,9,191408.8,9,5.0,Нет
442,39,М,14,Европа,9,133972.52,3,4.0,Да
443,63,Ж,3,Турция,9,137657.13,6,3.0,Нет
444,47,М,13,Мальдивы,14,243163.63,10,5.0,Нет
445,55,Ж,6,Египет,4,88152.99,6,,Нет
446,55,Ж,1,Турция,8,43353.03,0,2.0,Да
447,62,М,7,Таиланд,8,99397.41,0,3.0,Нет
448,68,М,15,Европа,15,186059.05,5,4.0,Нет
449,71,Ж,15,Египет,5,114260.19,4,3.0,Нет
450,25,Ж,1,Турция,8,80109.24,2,5.0,Нет
451,44,М,9,Таиланд,12,187299.95,5,3.0,Нет
452,44,Ж,1,Турция,12,86683.38,2,5.0,Нет
453,51,М,1,Турция,7,98555.89,4,4.0,Нет
454,38,Ж,15,Европа,20,182292.83,1,5.0,Нет
455,47,,7,Таиланд,4,86039.93,2,3.0,Нет
456,50,,2,Турция,11,96373.74,5,,Нет
457,45,М,14,Европа,12,119947.51,1,5.0,Нет
